[00:00:07.919] そ
[00:28:58.799] ということで、じゃ、もうちょっと次たこ焼きにすべ。
[00:29:00.600] はい。もう次行くべ。長、お疲れちゃん。
[00:29:02.880] そんなこと言ってたこ焼き直に入ってたらどうするねん。私神なので大阪人ちゃいますねん。レターパックでもっとうまいもの送ってこい。
[00:29:13.200] 551。551
[00:29:15.600] の豚マン送ったらと食いとか言われちゃうのかな。そんなことだ。リクロおじさん、言われるんだろうな。多分な。と食いとか言われるんだろうな。と食いとか言われんだろうな。
[00:29:26.039] 笑笑
[00:29:27.360] 言われたからな。マイクラで。ちょっとこれじゃ食っていいか?これパンナこたって誰?お猫こんばんは。パンナこタ監修誰なん?パンなこたって。うわあ。で、俺結構グミ好きなんだよな。グミ好きなんだよ。
[00:29:43.240] あの、シュワシュワ、あの
[00:29:44.760] 味覚の行かれた青年肌質だけは似てるかも。
[00:29:48.480] 肌質、肌質の俺と。俺と肌質んの?ちょっとじゃ、食わせてもらおうか。激辛甲羅組。いや、俺なんかこう曲のみしてた。
[00:29:59.919] あ、マジで?え、こいつやばくない?その人の激辛。ああ。ああ。なんか辛いかも。辛そう。
[00:30:16.480] あか、あっ、赤。何これ?
[00:30:23.519] 笑笑。
[00:30:26.000] た、もう俺た鼻血鼻血みたい。俺の俺たまにこんな赤い鼻血地出すねん。
[00:30:31.519] ケ、
[00:30:32.679] こんな赤い鼻血出るよ。夜中に。たまにな。
[00:30:36.360] んで茶げはそんな突然部屋みたいなこと。
[00:30:39.480] ほんまよな。俺やなんだけどこんな送ってこないでな。
[00:30:43.640] 心配
[00:30:44.640] 送ってこないでな。こんなんやんなきゃあかんやんでこれ。あれなんだよ。モラが送ってきたんだが分かるだろ?いきなり
[00:30:53.039] 夜中にいきなりさ。本当に夜中にいきなりさ。はい。じゃあちょっとごさせていただきますよ。このすん
[00:30:59.000] だろうな。笑。
[00:31:00.760] むちゃぶりすんなって。無理だろ。火吹くのは。ただきます。
[00:31:06.000] 俺あんま辛いの得意じゃないんだけど。そんな辛ないし。え、辛くないんだけど。全然コーラの味するよ。
[00:31:21.360] 笑笑ダブル。
[00:31:25.679] え?あ、辛い。
[00:31:27.760] 美味しいよね。笑笑後からちゃうの?
[00:31:33.000] 笑笑。
[00:31:33.480] ごめん。さっきのな辛くないわ。
[00:31:35.200] ごめん。あの、あんま配信者魂やねん。どっち?
[00:31:38.600] 配信者魂がどっちやねん。ピリピリ辛くない?
[00:31:43.000] でも、でもちょっと辛い。ちょっと辛い。
[00:31:45.120] 来ない。
[00:31:45.760] ちょっと辛い。ちょっと辛い。辛で辛くない?ちょっと辛い。甲羅組俺もうどうすんのが正解やねん。これ
[00:31:56.760] ラー油来た。
[00:31:58.120] どうすんのが正解なんの?これ。
[00:32:00.039] のラゆ
