[00:00:05.879] ちゃまぷんちゃめちゃまんちゃめちゃまんちゃ
[00:10:03.760] がなんかピンチの時の
[00:10:05.279] BGM
[00:10:05.640] なんのテレレレデレレレレレレレみたいななんかさすなんかもう
[00:10:10.360] BGM
[00:10:10.800] がそれだけになっちゃうのあれはちょっと直した方がいいです。あれは直した方がいいね。
[00:10:15.040] 最悪や
[00:10:15.720] あれ最悪町の
[00:10:17.480] BGM
[00:10:17.839] とか何もなくなる。どこ行っても全部一し
[00:10:20.800] 次エグゼいつですか?
[00:10:22.200] 次のエグゼはもう配信やりません。マジでエグゼ配信でやった時
[00:10:28.320] 4だったからやらない。
[00:10:30.772] [笑い]
[00:10:31.480] 俺も同説気にしてないねんとか言いながら
[00:10:35.399] 4
[00:10:35.639] はきつい。ブレ[笑い]
[00:10:37.880] 4
[00:10:38.120] はきついって。
[00:10:39.120] メトロイド楽しみ。
[00:10:40.519] メトロイドもしんどい。なんだかんだ文句言いながらでもまだメトロイドは見てくれるやつがいるから
[00:10:45.279] ですもんね。笑
[00:10:46.639] いやおもろいんだけどね。
[00:10:48.440] そのうちの1
[00:10:49.279] の私が見たい。おもろいんだけどね。エグゼ好きだったよ。
[00:10:53.320] いや、おもろいんだけどね。俺も好きなんだけどね。エイグゼね。
[00:10:58.120] えっとね、とりあえずあれか、あの
[00:11:02.880] りうちゃんに会いに行きますか。竜平に。
[00:11:05.760] 竜兵に会いに行くわ。
[00:11:08.279] ね、これクリア後の世界なんすわ。なんす
[00:11:10.839] わ。で、なんか竜王の竜王のさ、白竜王の
[00:11:17.079] ひ孫だっけに会うとりゲなのにエグゼと
[00:11:20.320] 太陽
[00:11:21.279] いやもうエグゼと太陽は最高ですよ。
[00:11:24.079] エグゼと太陽ね。
[00:11:25.800] エグゼント太陽ちなみにあれだからゲーム内でコラボしてるからな。僕らの太陽とロックマグゼは通信できるんだよ。すごくない?メーカー違うのにカプコンとコなミなのに。そういうとこも好き。
[00:11:29.067] [音楽]
[00:11:40.639] すご
[00:11:41.639] ちなみに、え、ちなみにあの僕らの太陽にはあの
[00:11:45.920] 僕らの太陽はあれあのガリガリ君ともコラボしててガリガリ君が出てくるわ。
[00:11:50.639] ゲームの中にダンジョンに立ってるガリガリ君が。あ、綾たお疲れ。笑。
[00:11:58.839] あたお疲れ。
[00:12:01.160] おお。
[00:12:02.040] よく来てくれた。
[00:12:02.839] はいはいはい。
[00:12:03.880] 話したいことがあった。
[00:12:05.279] 大塚放中ね。
[00:12:07.399] どうしたんですか?しいお顔をして
[00:12:12.880] 強い闇の力を感じるのだ。
[00:12:15.519] いや、これ絶対
[00:12:16.480] 強く深く恐ろしい力を疲れ今。
[00:12:21.199] ありさんもお疲れちゃん。裏行くぞ。裏ボ
[00:12:24.519] 包中大好き。
[00:12:26.040] 包中俺も大好き。わ
[00:12:27.279] から
[00:12:28.320] 放中大塚フォーチン
[00:12:30.760] ハーゴンのものではあの
[00:12:32.120] やったれやったれ。
[00:12:33.120] やったんねん。今日クリアしたんねん。
[00:12:36.680] いずれにすリオの孫なのに味方。そう、そう、そう。
[00:12:39.880] ドラゴンクエスト1より100
[00:12:41.480] 年後の世界だからテの伝説の勇者が手に
[00:12:46.320] ジライアの声な。ちなみにジライアの声。
[00:12:49.160] 光やしばらく
[00:12:53.800] ちょっと聞きます。の一部我らに宿る力の厳選なのだ。
[00:13:00.240] 中
[00:13:01.000] 好きな放中
[00:13:02.800] なんでジライアも知られんだよ。
[00:13:04.320] に拒絶されてしまったよう。
[00:13:06.519] エロ戦人だろうがよ。
[00:13:08.279] わしならば光を得て真の姿を取り戻しお前たちに
[00:13:14.920] メタルギアのザルやってます。
[00:13:17.480] ができる。[笑い]
[00:13:19.279] 何をされてるかイチイチパラダイス書いて
[00:13:21.639] の切札とな。
[00:13:23.240] これないと知らなくて
[00:13:25.360] 熱くない。光の玉でさ、光の玉を探してきますね。
[00:13:28.560] リオのひが光の竜に戻ったら熱くない?
[00:13:31.240] 言うのは簡単だけど光の玉が道に落ちてるとでも思ってる?
[00:13:38.320] 大塚フォーチン。フォーチンクッキーね。
[00:13:42.320] そうだな。
[00:13:43.920] 光のての勇者が足の届か特別な場所
[00:13:52.160] お前たちの先祖かしての勇者の即石を辿どるのだ。光の玉のありかが
[00:14:00.920] あ、やっぱ勇者のあれなんか光の玉どこどっかにあるとか言ってたよね。
[00:14:08.680] どこだったかな?
[00:14:11.040] あ、無限の?え、光の玉無限の回廊という
[00:14:14.880] 場所にある。勇者が行って戻れる場所。え
[00:14:16.839] 、どこ?え、無限の回廊ってどこです?え
[00:14:21.240] 、無限の回廊ってもしかしたらあそこか?
[00:14:26.000] あ、やっぱ絶対そうじゃん。あの、
[00:14:29.199] ちょっとちょっとあれしたとこだ。何?何
[00:14:31.759] の音今の?あ、マーブルを使。うわあ、
[00:14:34.759] 70人もそんなあかんて。
[00:14:39.040] 70
[00:14:39.720] 人のレイドはあかん。もう僕無理。そんなんもう、
[00:14:44.600] もう無理。
[00:14:46.480] 無理、無理、無理。
[00:14:48.440] 本当だよ。うちそんな入れないから。うちの店は
[00:14:51.880] 明るなんやねん。配信やめようから。
[00:14:52.120] [笑い]
[00:14:55.519] はい。どうも。お疲れさん。岩おたんお疲れさん。え、あるスさん、あるスさんこんばんは。え、お嬢やなちゃんこんばんは。笑い男さんこんばんは。え、こんばんは。
[00:15:07.120] から
[00:15:08.000] どうも
[00:15:08.480] やぽみんな立つって
[00:15:10.440] ガドルトさんもこんばんは。
[00:15:11.519] からこんばんは。
[00:15:12.399] どうもこんばんは。チまゲームです。
[00:15:14.199] すごいハゲから
[00:15:15.320] すごいハゲからなさんこんばんは。
[00:15:17.160] レイドからこんばんは。
[00:15:18.279] えっとですね、あれですよ。なるきちゃんもこんばんは。レドありがとう。マーブルお疲れさん。お前つまでマカマカやってんねん。つまでやってんねん。お前
[00:15:28.800] [笑い]
[00:15:32.959] マカやってんな。あ、レフィさんもお疲れさん。
[00:15:37.360] なんでお疲れ?今日はドラゴンクエスト
[00:15:40.199] HD2Dリメイク1&amp;2の2
[00:15:42.959] の、え、ラスボスを、え、ぶっ倒しに行きたいと思います。よろしくお願いします。よろしくお願いします。
[00:15:49.680] おお。
[00:15:50.920] ということで、え、どこだっけ?妖精の城やな。行きますよ。もうね、あの、指導はね、前回倒したんで、あ、ごめんね。指導っていうボスがいるんだけど、これはもうネタバレなんですけど、これごめんな。バカ野郎。
[00:16:04.000] 銀ミニオンも俺痩せたっちゅうねん。痩せたっちゅうねん。え、マジで言、あのね、マジでね、あれだからね。ま、さんのレからこんばんは。
[00:16:14.160] マジで。あの、俺昨日会社であさんこんばんは。昨日会社で健康診断だったんだよ。で、配信やめた時ね、やめた時の体重が俺もう
[00:16:27.839] 107ぐらいあったのね。
[00:16:30.519] 107ぐらいあったのね。俺96
[00:16:32.880] になってたからね。配信やってないだけで
[00:16:35.360] 11km
[00:16:36.440] 痩せた。配信やめてごらん。痩せるで。配信やめたら
[00:16:36.921] [笑い]
[00:16:43.279] 11kg才能です。笑。はい。あ、こさんこんばんは。こんばんは。痩せるんだした時と同じ。
[00:16:52.360] 3
[00:16:52.600] 桁言ってたのってがりそうですけど。笑。
[00:16:56.880] やめたら痩せんね。
[00:16:59.360] やめてごらん。
[00:17:01.000] てやめるというかなんかそのなんか無理してやっちゃだめね。睡眠時間とか削ってさ、もう俺は平日
[00:17:12.120] 12
[00:17:12.439] 時で配信やめてるじゃない。もうそういうの大事よ。
[00:17:15.566] [笑い]
[00:17:16.400] 無理くない。
[00:17:17.360] うん。毎日4
[00:17:18.160] 時間睡眠だったからね。ガチでやってた頃。もうええねん。もう楽しくやろう。もうゲーム配信禁止。
[00:17:26.480] 12
[00:17:26.839] 時閉店体は張っとるし心はすりへ。
[00:17:29.840] そういうことやね。
[00:17:30.760] まちゃゲームはこ[笑い]
[00:17:32.200] うんちゃんお疲れ。うんちゃんお疲れ。うんちゃんがまたさうんちゃんがまたあのマリコバタフライに俺の俺に俺のなんかやらせてたよね。マリコバタフライに抹茶ゲームって言ってたね、あの人。まチゲームって言ってたな。マリコマタフライが。
[00:17:42.422] [笑い]
[00:17:46.720] 笑笑
[00:17:47.919] え。集めていただいた世界の思い出に書かれた無限の回廊という言葉を覚えていますか?ということで全く覚えていません。怖くて。
[00:17:57.080] あ、OBS
[00:17:57.600] のバージョン俺もアプデしてない。怖くて。
[00:18:00.039] アプデ全くしてない。怖いもんな。怖い
[00:18:02.559] もん[音楽]。何もしてないのに壊れる
[00:18:05.080] からね。
[00:18:07.039] もう脆弱。常弱脆弱。それすらも分から
[00:18:11.080] ないけど。常弱の何?豆知識。光の玉ね。
[00:18:16.919] あ、ドワーフの城つてたね。光の玉へ続く
[00:18:20.520] 玉を扉を管理するドワーフたちはこの妖精
[00:18:23.919] の城と同じく誰にも認識されない守りの中
[00:18:26.280] にいました。
[00:18:27.280] え、でもルビス様はかつて世界を作ったものが現れた時光の道が明かされると言ったのです。
[00:18:34.799] だからその時が訪れたんだと思います。
[00:18:36.960] じゃなくて水泳のバタフライが知ら。そうなんだ。
[00:18:41.520] 知らね。
[00:18:42.320] たまたま
[00:18:43.480] 知らねえ。茶まげのたまたま年に
[00:18:46.520] 1
[00:18:46.679] 回ぐらい無償に痒くなります。はい、よろしく。これ、これ豆縛ね。これ豆ちなちな茶まげの玉ま年に
[00:18:54.360] 1
[00:18:54.480] 回死ぬほど痒くなる。そういう日があります。
[00:18:57.919] 男誰しもあるけどな。男って誰しもあるけどな。
[00:19:02.320] 豆サイズ。
[00:19:03.640] 誰が豆サイズやねん。バカお前。
[00:19:05.679] かゆなったら握にぎしよ。
[00:19:07.320] かなったらにぎにぎ。もうやめてほんま。
[00:19:11.360] 70
[00:19:11.760] 人もレドもらったのに。お前あんま配信で下ネタ言いたくないねん。貴様らと違って
[00:19:17.840] デリケアムズ塗りたくね。
[00:19:19.440] デリケアムズは最高。夏は交換が痒くなる。
[00:19:25.480] いや、陰金しとかじゃないねんて。男はあるねん。
[00:19:31.039] あれスースーしすぎる。
[00:19:33.039] みんな塗ったことありますみたいな。
[00:19:33.118] [笑い]
[00:19:35.120] うい。お疲れ。
[00:19:36.280] あ、もこらお疲れ。もこらお疲れ。はい。今日はドラゴンクエ卒
[00:19:40.200] 2
[00:19:41.000] 裏エンディングラエンディングも食卓に流れるからやって。あ、ごめん。お食卓で見るなよ。チマゲームをまずおい食卓と
[00:19:50.760] 18歳以下は見るな。
[00:19:52.080] 俺の配信は食卓に流すな。俺をご家族で見てる。もしかしてやめて。本当に本当にやめてくれ。
[00:20:02.559] で、ドワーフの城ってどこやねん。
[00:20:04.679] 18以下の耳にも流れて
[00:20:06.880] 水タバコ吸やつは水タバコ吸やつは水タバコ吸やつは水タバコ吸うやつはるんじゃんじんルルバー吸で
[00:20:26.960] あーブル水タバコ吸うんだいやいいと思いますよいと思いますも殺され
[00:20:31.414] [音楽]
[00:20:34.679] 何か何かまだ何も言ってないじゃん。でも
[00:20:40.480] 2次回でC
[00:20:41.280] シャバー行こうとするやつ全員くばれな。
[00:20:45.600] 2
[00:20:45.760] 次回で新バー行こうとするやつ全員くばれな。マジで
[00:20:52.360] 自分の自分の欲望しか
[00:20:56.200] 考えてないじゃん。なんか私
[00:20:58.159] C
[00:20:58.360] シャバーも行けちゃうんです。アピえねん。ええねん。
[00:21:01.919] 別にさ、行きま、このこの赤場って
[00:21:11.440] シ体に悪そう。
[00:21:12.840] こっちか?下か?こっちだ。ごめん。こっちだ。
[00:21:16.159] 水タバコ吸女の子に振られた。まあ、全車。い
[00:21:20.320] や、全然振られてないですけど。振られるチャンスすらないですけど。振られるチャンスすらないです。
[00:21:26.360] 見ててよ。
[00:21:31.240] まあまあ全員行きたかったらええな。
[00:21:33.639] [笑い]
[00:21:34.240] C者系。笑笑。CBDCBD
[00:21:38.480] 配合。笑ルルグうめえ
[00:21:49.240] 。笑やめ[笑い]
[00:21:52.480] もうやめ。本当やめ。もういるかもしれ
[00:21:54.159] ないから。好きな方にすごい嫌悪感
[00:21:56.600] あるじゃん。
[00:21:57.120] いや、ないよ、別に。感は別になんか言いたいだけ。言いたいだけです。ドワーフの洞窟。こんなとこがかったよな。こんなとこ初めて来るよね。違うよ。初めてじゃねえよな。ここなんか来たことあるぞ、ここ。
[00:22:21.799] あ、そのちゃん、こんばんは。ちゃん、お疲れ。今日はドラゴンクエスト
[00:22:24.919] 2ウボス配信。
[00:22:27.039] 裏ボスがいるということを今ネタバレしているけど
[00:22:29.120] 来てるんじゃないですかね。
[00:22:31.200] あ、そうか。これ1
[00:22:32.360] で来てんのか。そうだね。確かに
[00:22:35.279] 2
[00:22:35.480] でこれなかったもんね。あ、隠れてたんだな。何なんだっけ?ドワフの洞窟ってなんで来たんだっけ?ワンの時も忘れちゃった。何?キックバックって
[00:22:49.400] 4剣士ベンベンベか
[00:22:53.559] し直したり。
[00:22:55.000] ああ、橋直した。そうだ。橋直すイベントあったわ。そしてここモンスターいないのか。
[00:23:03.919] たぬかナの視聴者のたまり場がドワーフの洞窟。
[00:23:07.305] [笑い]
[00:23:07.760] 超疲れ。たぬかの視聴者ってなんかドワーフって言うんだよね。
[00:23:10.640] 喉
[00:23:12.240] 喉へ来る吸応え。あ、それキックバックって言うんだ。へえ。
[00:23:16.520] ホビット。
[00:23:17.919] ホビットひどい言いよだな。あ、小さ見た。あざす。
[00:23:19.096] [笑い]
[00:23:22.520] ホビットだよ。
[00:23:23.679] ホビットか。
[00:23:24.320] 麦茶沸かして。こんばんは。ホ、ホビ。
[00:23:33.520] ウ
[00:23:34.480] うい。お疲れちゃん。たぬかな。もな、なんかあんなこと言ってて実は結婚してましたってだったしな。
[00:23:42.360] 叩かれてたよね。今はどうか知らないけど。でも別に叩かれる意味わからんけどな。
[00:23:45.951] [音楽]
[00:23:49.120] ってしまったよな。
[00:23:50.200] 丸くなってしまったんだ。
[00:23:51.000] やっぱ結婚して悪くなったの。
[00:23:54.440] しかも旦那180超え[笑い]
[00:23:58.240] じゃ。もう本当にもう返す言葉もないやん。ホビットは返す言葉もないや。
[00:24:04.559] ぶっさの体型の話じゃないの?今中だから。
[00:24:08.279] 俺が俺丸くなったって俺が。いや、これでも
[00:24:11.120] 11km安痩せてたんですけど。ま、体重
[00:24:13.760] 100km超えの11km
[00:24:14.880] なんてお前らからしたらもう誤サみたいなもんだろうけど。
[00:24:18.679] 11kgも痩せたのに誰からも痩せたねっ
[00:24:20.880] て言われないのなんで。おい、ちょっと
[00:24:24.320] 気い使って言えよ。ちょっと気い使げ痩せ
[00:24:27.720] たとか言えよ。[音楽]
[00:24:29.760] は。
[00:24:32.840] 俺たちは人間のユ玉とも妖精とも友達なん
[00:24:35.799] だ。大流瓶と同じ自分でやん。ごさや誤
[00:24:41.480] さやね。せやね。ごさや邪魔痩せた遅い。
[00:24:45.080] それ養殖された痩せたはいらん。
[00:24:47.520] おお、お前たちここが見えんのかわかんのか?あれチマ君の元々でしょ?え、ちゅうことはじいちゃんが言ってた道が開かれる時が来たってことだな。
[00:24:57.559] 痩せたのわかる?笑
[00:25:00.559] なんとあんたらが勇様の子孫かいな。だからだがそれなら全部脱得だな。にしてもそうか。やはり無限の回廊へ行くのか。入ったやつは戻れないから俺たちは入っちゃいけねえ洞窟呼んでるか。
[00:25:15.960] そんなことに、そんなとこに本当に行くん
[00:25:18.159] だな。
[00:25:21.080] 入っちゃいけねえ動物に入る気満々とは
[00:25:23.240] 恐れいるな。さすが勇者様のご質問だ。い
[00:25:26.679] 、入り口は井戸の中にある。あそこは
[00:25:29.039] とんでもないとこだぞ。行くなら覚悟決め
[00:25:30.960] てけよ。もしかしてめっちゃ強かったり
[00:25:32.679] する敵。もしかして
[00:25:35.240] もしかしてめっちゃ敵強かったりすんのか
[00:25:37.520] ?
[00:25:42.120] 俺たちの存在が秘密なんじゃなくて、俺
[00:25:43.919] たちが守ってる扉が秘密なんだ。何言っ
[00:25:45.960] てんなこいつ?お前たち世界救ったのか?
[00:25:49.240] なんてな、この場所を知るには世界を救わ
[00:25:51.039] なきゃならんっていう伝承があるんだよね
[00:25:52.320] 。これさ、マジで世界救ったことになって
[00:25:54.559] ねえんだよな。それが悲しいわ。俺昨日、
[00:25:57.679] 昨日じゃない、前回指導倒したのに
[00:26:00.227] [音楽]
[00:26:01.480] 世界が戻ってしまった。
[00:26:07.399] なんでやろうね。な、なんやねん、これ。なんかこれ宝りそうじゃね?宝ありそうじゃね?はい。やった。幸せのベスト。猛牛ヘルム。黒、黒い。あ、黒い。いいじゃん。分はない。
[00:26:31.640] 十分すぎる準備を去る。あ、そうなんだ。
[00:26:34.039] その無理しないこと。そのさ、困った時の
[00:26:36.640] こそお宝を探す。え、どういうこと?どう
[00:26:39.440] いうこと?どういうことなの?この
[00:26:43.039] ダンジョン無限の回廊って何?
[00:26:49.520] ちょっとさっきさ、幸せのベストってさ、
[00:26:53.840] 幸せのベストって誰が装備できるの?
[00:27:00.760] あった、あった、あった、あった。弱せ、
[00:27:03.720] 戦闘後に入手する。ああ。ええ、どん
[00:27:07.039] くらいね、これどんくらいアップすんのね
[00:27:10.080] 、戦闘後に入手術する経験値が増える
[00:27:13.120] イケルベストってこれどんくらいアップ
[00:27:15.080] すんの?1.5倍とかだったらさ、
[00:27:21.760] 無理してても来ていいけどさ。
[00:27:27.960] あれ、何だっけ?これ1の時さ、
[00:27:31.960] こんなとこあったかな?
[00:27:34.960] あ、これあれか。コン取ったとこだ。ああ
[00:27:38.080] 。はいはいはいはいはいはいはい。この
[00:27:40.799] ロトロ県作ったとこね。
[00:27:43.600] ああ、思い出した。思い出した。
[00:27:48.039] え、これ行っていいよな。なんか準備しろ
[00:27:50.760] 、準備しろって言ってるけど別に準備する
[00:27:52.440] ことねえしな。
[00:27:54.640] ちょ、鳥間行ってみますか。じゃあ、
[00:27:58.120] え、無限の回廊への道が開かれました。
[00:27:59.720] このダジョンはかなりの長さがあり、1度
[00:28:01.120] 入ると簡単には出ることができないよう
[00:28:02.360] です。え、装備の強化、アイテムの補充、
[00:28:04.559] 教界でのセーブなどしっかりと準備を整え
[00:28:06.840] てから、え、光の玉が眠るゴールを目指し
[00:28:09.159] ましょう[音楽]。ドワフの動物のどこか
[00:28:10.360] に、え、攻略のヒントがあります。
[00:28:12.519] リ詰まったらそれを参考にしてみて
[00:28:13.799] ください。ま、とりあえず行ってみようぜ
[00:28:15.480] 。え、な、めっちゃ念じゃん。一度この中
[00:28:18.840] に入ると特定の回層に進むが外に出ること
[00:28:20.760] ができません。本当に中に入りますか?
[00:28:23.600] なんでこんな念を押すの?別にいいよ。
[00:28:26.640] 行くよ。
[00:28:32.200] え、そんな言うてだってくらい聞かれる。
[00:28:34.919] アモスこんな聞かれてないから俺。アモスもっと聞いてくれてたら
[00:28:40.640] 仲間になってたって声出して。そう
[00:28:44.519] 俺アモス仲間になんなかったけどな。ドラクエ
[00:28:46.279] 6でめくさかったな。
[00:28:47.519] え、そうなの?めんどくさかった。え、どういうこと?これなんな?おう。
[00:29:00.080] なん、なんか全然知らね。え、何このモンスター?こんな色のやつら見たことないんだけど。
[00:29:04.285] [笑い]
[00:29:07.039] ここでいくつレベル上がったかな?
[00:29:09.200] え、強そう。
[00:29:13.960] ほ、あ、でも鳳王って確かに聞いたことあるわ。鳳凰ね。ダースモ。うざ。
[00:29:20.559] 行け。
[00:29:21.480] デーモンアミゴ。当たらないか。
[00:29:24.039] デーモンアみゴって誰?
[00:29:26.480] 逃がさない。
[00:29:27.559] デーモンアみゴって。
[00:29:29.279] は。
[00:29:30.360] こんな白いの見たことない
[00:29:31.760] ね。全然見たことない。うわ、すげえ。
[00:29:35.120] 9300。[笑い]
[00:29:37.039] そんなくれんの?え、そんな働いた?びっくりするぐらい給料いいんだけど。ここ怖いんだけど。逆に。お、闇バイトじゃねこれ。え、そんな大変な仕事してないんですけど。なんでこんなお金もらえるんすか?
[00:29:45.550] [笑い]
[00:29:49.080] ホワイト
[00:29:49.640] なん?なんでこんなに給料もらえんの?
[00:29:51.600] モンアみって実は?
[00:29:53.679] あ、そうなんだ。
[00:29:54.799] だよね。
[00:29:55.600] やべ、闇バイトかもしんね。みんなこれ闇バイト。
[00:30:00.360] 闇ベートじゃん。これ9000
[00:30:02.240] ももらえんの?
[00:30:09.240] 多分ヤザの資金戦。
[00:30:11.095] [笑い]
[00:30:11.760] え、ロンダリングしてる。あ、なんか火った。これ。あ、な、え、あ、なんかさ、同じとこぐるぐるしてるよね。
[00:30:15.025] [音楽]
[00:30:30.240] ダースギズムでしょ。
[00:30:32.159] 初めて見るわ、こんなん。いや、まあでもぶっちゃけクッキー先輩がめっちゃ強いんで。えー、これで
[00:30:42.840] 8000怖いって。怖いって。これで
[00:30:45.156] [笑い]
[00:30:47.559] 8000
[00:30:48.000] くれるの?あ、なんかあった。素早さの種めっちゃいいじゃん。
[00:30:58.320] わあ、これレミラーやってった方が良さそうな。お、待って待って。これ出たよ。こういうマップじゃねえかよ。俺が
[00:31:07.200] 1
[00:31:07.360] 番苦手とするやつじゃねえかよ。この迷いの森やめてマジで。
[00:31:10.720] 笑笑。
[00:31:12.360] 1
[00:31:12.559] 番嫌いなんだよ、俺。この迷いの森。あ、これメタル反闘じゃね?
[00:31:21.039] あ、違う。あ、メタルファントだ。
