[00:00:32.680] わこつ
[00:08:27.720] そう。壁コンにしたらもう全くそんなことなくなったからちょっと配線をちょっと調整しましてもう全然超い。そしてあのワイヤレスコントローラーも使えるというあのもちろんあのレシーバーさしてたけどね。
[00:08:40.360] 全力不足になっちゃうの。
[00:08:42.519] おいこと。
[00:08:43.279] ほんでね、ま、今、あの、充電ないんで普通に充電しながらやってるであんま意味ないんですけど。で、ま、もちろんインストール配信は後にやりたいんで、あの、今まで配信でやってきたとこだけはもう先にインストールしちゃうということで色々インストールしました。配信でやったところはね。が
[00:08:58.040] 復活の良かったよ。良かったよ。なんで今まで配信でやったところはちょっと色々インストールしてきました。ラストハルマゲドンしカリ。あれもね、ちゃんとインストールしたんだよ、これ。アフターハルマゲドン外伝。
[00:09:10.079] ま、魔獣少伝エクリプスインストールしたんで、これも後にやりますけども、ま、セガサもね、色々クソ楽しみ。
[00:09:18.800] やる、絶対やる。でも、あの、これさ、ちょっとやったんだけど、あの、ロードそんな早ないね。そんなに早くなかった。まあまあでも全然できるから。全然できるから、ま、やりますわ。ま、後にやりますということで。ということで
[00:09:27.236] [笑い]
[00:09:35.480] 爆速になると聞いたけど爆速
[00:09:37.320] 爆速とまではかなかった。
[00:09:39.079] ま、ということで今日やるのはですね、
[00:09:40.720] プレステのね、えー、
[00:09:44.560] こちらでございますよ。こちら
[00:09:45.880] ドラゴンクエスト1ツ下振りの勇者たち。
[00:09:49.519] 下ふの勇者と牧場の仲間たちというのをね
[00:09:52.720] 、人生プレイで、ま、もう説明不要です
[00:09:55.079] けども、一応しますと、ま、人生プレイと
[00:09:58.079] いうのは
[00:10:01.360] あれですよ。あ、下振りじゃないか。あ、
[00:10:03.519] 星振りだ。ごめん。下振りじゃ。ごめん。
[00:10:05.000] 下振り。下振りと勘違しちゃった。
[00:10:07.000] ごめん、下りに行くかと思った。あの、何かと言いますと、死んだモンスターは使えません。はい、それだけです。はい、よろしくお願いします。やっていく。
[00:10:07.846] [笑い]
[00:10:15.240] 思考が出。
[00:10:16.959] いや、下フリックって出ますやん。新しいゲーム起動。
[00:10:20.720] 極よに負けてる。
[00:10:22.160] 行くで。なんかさ、なんかさ、音ちっちゃい疑惑あるんよね。ポリメが。音ちっちゃい気がすんだよな。
[00:10:30.440] 勇者はお前だろ。
[00:10:31.600] 俺か。音ちっちゃない?こんなもん。
[00:10:36.560] 笑。
[00:10:37.600] こんなもん。音ちっちゃい気がすんだよな。こんなもんかな。なんかこれ以上がんねえんだよな。ポリメが音ちっちゃくない?これ以上がんない。
[00:10:51.279] ちょいちっさいかも
[00:10:52.399] だよね。でもこれ以上がんねえんだよね。これ以上アプリのさ、音量ミキサーでこれ以上音が上がらない時ってどうすればいいの?なんか裏技ないの?
[00:11:02.120] ちゃ君のマイク下げれば。
[00:11:04.399] あ、そういうこと。
[00:11:06.720] ああ、こんなもん。こんなもんでどう
[00:11:09.959] 歌う?
[00:11:11.440] こんな俺の声ちっちゃいとかどうなん?それ意味あんの?音上げらんないのよ、これ以上ね。ちょっと待って、ちょっと待って、待って、待って。ちょっと待って。ちょっとね、音上がんの。
[00:11:26.880] こちらで調整する
[00:11:28.399] 音がシステムの音量ってだってシステムオーディオってあれだよね。
[00:11:32.680] システムで聞いてる人多分いないからさ。そこでも上がる。
[00:11:37.440] え、これ、これで上がる。あ、ごめん。あ、めっちゃできえわ。あ、そ、あ、小さくあ、これだんだよ。違う違う。ちゃう。勘違いちゃうねん。ちゃうねん。これあれかと思ったの。あの、このシステムの音っていうのはこのなんかこのこのさ、後ろの
[00:11:44.788] [笑い]
[00:11:59.399] BGMかと思ったの。
[00:12:00.519] このこのこのメニュー画面のうるせえからさ、ブーンみたいな。もう背景音楽消すわ。いらない。お前がいらないね。
[00:12:04.438] [うめき声]
[00:12:08.399] 全体の音やね。
[00:12:09.720] お、なるほど。なるほどね。通りでちっちゃいと思った。あ、通りでちっちゃえと思った。あ、バカでけえ。これでいいね。これでいいね。これでいいね。
[00:12:16.228] [笑い]
[00:12:20.399] よし
[00:12:21.120] よし。行くぜ。テリ。しかもこれルカルカイル入るカ入ってんすよ。イルルカえぐくない?これもできるんだぜ。
[00:12:29.680] ま、今回はテリーのアンダということでよろしくお願いします。ここは
[00:12:32.800] 1
[00:12:32.959] つ。え、俺の名前はテリー。俺の名前は俺の名前はあ、うんち曲げで行きます。
[00:12:42.360] ボリュームタプーリち曲げで行かせてもらいます。
[00:12:48.000] インデンテリーバイトやげで行くぜ。これさ、メモリーカードとかってま、いいか。よし。やべえ。
[00:12:58.199] 久々にモンスターズやるわ。モンスターズ
[00:13:01.320] 3以来。モンスターズ[笑い]
[00:13:04.040] 3以来です。いいすね。これ
[00:13:06.440] 死んだモンスターとさよならし。
[00:13:08.079] そういうことです。死んだモンスターは生き返れません。そこまでで配合もちょっとみんなで考えながらあのなんかあの俺正味俺このゲームもうガキの頃からめっちゃあのゲームボゲームボイ版だけどやってたから未だに覚えてるのね。あのレシピ。レシピ大体ちょっとちょっと覚えてんの。
[00:13:28.519] あんま覚えてないけど、ま、なんか要所覚えてるんだよ。例えばなんかアンドレアルとアンドレアルとガップリンでとかなんかなんかあるやん。なんかえ、違う。ガップリン、ガップリンとドラゴン族でアンドレアルだっけ?なんかなんかあるやん。で、なんかアンドレアルとなんかでヤたのオロチみたいなのあったよな。
[00:13:48.560] なんかそう覚えてるからあんまにみんなこれあんまり覚えとだって面白くないからちょっと配合の時は強い
[00:13:56.759] ちょっとみんなで
[00:13:57.639] 要素色のみ
[00:13:58.880] みんなでちょっとなんかまあなんかなんかまめんどくさくなって結局俺が配合するかもしんないけどはいやきます。えーちゃいまけ寝なさいってもう寝る時間よ。
[00:14:06.924] [笑い]
[00:14:11.720] ダブル
[00:14:12.560] お父さんとお母さんが言ってたこと忘れたの?夜更かしする悪い子は魔物にさわれちゃうのよ。
[00:14:18.759] よき音でけえな。急に音でかい。やっぱちょ、ちょっと下げるね。ほらね。魔物は本当にいるんだから。え、魔物に会いたい。バカなこと言うんじゃないの?早く寝なさい。
[00:14:20.679] [笑い]
[00:14:30.199] やっぱ姉さん顔怖い。
[00:14:32.160] 確かにちょっと怒ってるね。ちょっと怒ってる。しかも真なし。眉なしです。ガーラと一緒。おやすみ。ちやまげ。なるほね。
[00:14:46.959] わ、斜め移動もできます。俺ね、これあの
[00:14:48.920] PS版やんの初めてなんだよね。PS版
[00:14:51.199] やんの初めてなんだよね。あれ何ボタンで
[00:14:53.240] 調べんの?これ
[00:14:58.040] お前がミレユか?いや、確か見れは女の子
[00:15:00.680] だったはずだ。何?名前はちまげ。じゃあ
[00:15:02.839] はねえな。
[00:15:05.120] ドゥドゥルトゥ。ゲモンでかくね?
[00:15:07.840] [笑い]
[00:15:08.519] ゲーモンでちっちゃけたらちっちゃえって
[00:15:10.240] も文句言うしでけえたらでけえっても文句
[00:15:11.839] 言うんだよ。もんもがもごもごもんもんも
[00:15:15.759] もんもんも。
[00:15:16.680] ももこもこもこもなちいなあ。ちょっと何そんなよ話しなさいよ。俺の名前悪ボだ。マルタの国の悪ボだ。覚えておきな。悪ボも可愛いんだよな。
[00:15:36.319] スピーカー勢としてえ
[00:15:38.240] で嘘。音ちょうどいい。こんくらいあった方がいいってこと。じゃ、俺の声ポちあげるか。なんでなんでそうなるねん。分かった。分かった。
[00:15:46.279] ミレイはどこにいるのかな?
[00:15:49.519] あれ?君は誰かな?え?弟?それならミレ
[00:15:53.120] がどこにいるか知らないか?え?さわれた
[00:15:55.120] ?そうか。違かったか?悪坊?違うよ。僕
[00:15:57.800] は渡房だよ。え、姉さんがどこに行ったか
[00:16:00.040] 教えてほって。
[00:16:02.120] うん。じゃ、ついてきなよ。姉さん
[00:16:03.680] 連れ戻してんだろ?君が腕のいい
[00:16:05.680] モンスターんマスターだったらいいな。何
[00:16:08.040] のこと分からない。くれば分かるさ。わ、
[00:16:09.720] わた、可愛い。俺もゴ尾にワタワタ
[00:16:12.360] つけようかな。女に可愛いって言われたい
[00:16:14.399] から。
[00:16:15.399] わた、わた。これさ、丸ボタンね。これさ、あのなんだっけ?ポリメガって未だにさ、ポリメガって未だにあれ、あのキーコンフィグないよね。キーコンフィグないんだよ。これすげえやりづれんだよな。
[00:16:33.519] ないね。
[00:16:34.480] くぬくぬくんくん。くぬくぬくぬ。親の声より聞いた
[00:16:40.600] BGM。親の声より聞いた[音楽]
[00:16:43.199] BGM。うん。
[00:16:45.399] 俺マジで将来子供できたら将来子供できたら本当にあの生まれる時先生に行ってこれ流してもらもん。子供が生まれる時にこれこれを流してほしい。
[00:16:57.480] 子供が生まれる時。
[00:16:58.880] うんちゃんお疲れちゃん。チまさんって何?新しいモンスターマスターということじゃよ。
[00:17:03.480] では行こうか。配合出てきも配合していきたいな。どんどんな。では行こうか。城へ行き王様に挨拶せねばな。
[00:17:17.640] あ、ダンジョンエビいるやん。
[00:17:18.839] でもねえ、キメラ生まれそう。化けモみてえのが化けモみてのが生まれるだろうな。ラ君を
[00:17:20.806] [笑い]
[00:17:40.760] 乗せて。
[00:17:46.720] お渡が新しいマスターを連れてきたのかい
[00:17:48.640] 。
[00:17:50.240] そうじゃ。これから王様にしに行くところ
[00:17:52.760] じゃ。星の大会で優勝してくれよ。
[00:17:57.320] 音でかくない?[笑い]
[00:17:59.760] ちょ、音でま、でか、ま、ま、こんくらい
[00:18:01.520] あってもいいか。こんくらいあってもいい
[00:18:03.280] な。さあ、大たに行くんじゃ。画質いいね
[00:18:06.720] 。
[00:18:08.520] 画質良き。音でけえよ。[笑い]
[00:18:12.760] 音でかい気がする。こんくらいちゃうか。言うても言うてもあなたが新しいマスターさんね。綿棒から聞いてますよ。王様の前は乱しますからついてきてくださいね。やべえなち。ここは大児の言います。姿は見えませんが。ボはいつもここにいて私たちを見守ってるんです。へえ。あ、そうなんだ。
[00:18:41.600] 今もきっとあなたのことを見てると思い
[00:18:43.679] ますよ。
[00:18:47.120] 早くちょっと配合したい。早く配合したい
[00:18:50.480] から。もう今日今日さ、ワン合ぐらいまで
[00:18:53.679] 行こうぜ。今日ワン合ぐらいまで。私は
[00:18:56.880] この気の大臣。お前が新たなマスターか。
[00:18:59.400] 王様がお困まりなんだ。どうか頼みを聞い
[00:19:01.440] てほしい。
[00:19:08.159] よくぞ来た。新たなマスターよ。わしは
[00:19:10.559] 大児の国の王者。その他名を何ともす。
[00:19:14.240] どうもちや負けと申します。うむち負けと
[00:19:16.840] 申し速だ。頼みがある。星振りの夜の大会
[00:19:20.280] に出て優勝してほしいんじゃ。
[00:19:23.559] まあいいだろう。何?お主はマスターじゃ
[00:19:26.320] ないとな。さらわれた姉をお家ちここに
[00:19:28.640] やってきたと思うすか?なんとそのはわし
[00:19:31.400] の頼みを聞きに参ったのではないのか。
[00:19:33.600] うむむ。[音楽]
[00:19:37.120] じゃがじゃなちまげと申したな。広い世界でさわれた姉さんを探すのは大変なことじゃ。そこで探すよりも簡単な方法を教えてやろう。やはりマスターとして星振りの大会で優送するんじゃ。いでは優勝したものは何でも夢が叶うという。
[00:19:52.720] 悪い大人。
[00:19:53.760] 悪い大人だよね。これ大人のこれ子供が大人をこうじゃ大人が子供をこう言いくるめる時のこれ悪いで。これ悪いで。
[00:20:03.520] 嫌な大人。うむ。割れながらうまいこと丸めたの。
[00:20:08.559] むちゃくちゃやな。
[00:20:09.520] むちゃくちゃだよな。今見たら本当に都合良すぎだろ。す、
[00:20:14.280] それ言いすぎ。
[00:20:15.240] それ言いすぎ。このはマスターの才能があるということじゃ。さあ、そのに魔物を与えよう。お前魔物がおらのではマスターの仕事も伝わらんからな。城の入り口を右に行けば魔物たちの牧場じゃ。そこでプリをボすものに魔物をもらってくるかよ。魔物をもらったらここに戻ってくるんじゃぞ。
[00:20:32.799] なるほどね。なんかさ、薬草毎回くれる人
[00:20:36.480] いなかったっけ?
[00:20:46.679] 君を乗せ
[00:20:49.159] て。こんなプリオかよくなかったけどね。
[00:20:51.840] 何これ?これマジキーコンフィグがる。
[00:20:55.080] 何が?俺が俺がたラ。今ラロラ[笑い]
[00:21:13.000] 歌詞あるんや。
[00:21:13.919] うん、あるあるあるよ。
[00:21:19.039] いい気になった。
[00:21:20.539] [笑い]気持ちよくなってきた。気持ち
[00:21:22.279] よくなっスらりんスら何ですか?お前の
[00:21:24.600] 名前は?
[00:21:29.320] ちょ、ちょっと待ってね。ちょっと待って
[00:21:31.080] ね。あのさ、このコントローラーダメかも
[00:21:33.600] な。[笑い]
[00:21:34.840] このコントローラーさ、なんかさ、なんか
[00:21:37.720] ボタンがなんかずれてXが丸ボタンになっ
[00:21:40.919] てて、これキーコンフィグこれないとこれ
[00:21:44.039] 何もできなくないか?だってさ、
[00:21:48.360] メニューボタンが開けない。
[00:21:49.799] メニューが開けないんだよね。ちょっとこれちょっと一瞬変えてみていい?他のコントローラーに
[00:21:54.279] キーコンフィグなぜない。
[00:21:55.919] 早く実装しろや。ちょっと待って。今ちょっと変えますね。変えますね。ちょっとちょっと変えさせてもろてええか。箱にするわ。いてでてて。箱フィグ画面設定はよ。
[00:22:12.360] 本当だよな。マジで
[00:22:15.240] ちょっと箱にえ、ありがとう。ありがとう。
[00:22:16.870] [笑い]
[00:22:18.080] 許可を得ましたので、じゃあ箱コンにするわ。でも箱コンは確かにね、相性がいい。ただこれ俺の箱コン、マイクロ
[00:22:25.440] USB
[00:22:26.000] っていう、ま、あの、もコラにもらったもんだから文句言えねえんだけど。マイク
[00:22:32.320] USBかい。
[00:22:35.720] あれね、
[00:22:36.919] そうなんよね。うわ、しかも待って。これもうちょっとこれスタートボタン。え、ちょっと待って。
[00:22:44.279] 口帰るやつ買いなよ。[音楽]笑。
[00:22:46.279] え、そんなのあるの?口やつ。何?口やつって?何?口やつって?これあのさん、ちょっと待ってさ、ゲームやりながら変えたらさ、今度こいつ設定しないと聞かねえしさ。どうすりゃええのよ、これ。どうすりゃええねん、これ。
[00:22:51.585] [音楽]
[00:22:54.205] [笑い]
[00:23:02.760] もたもた
[00:23:03.559] もタモタ。ちょっとどうすりゃいいの?キーボードでメニューってどうやって開くの?ね、キーボードでメニューグダグダ。
[00:23:04.685] [笑い]
[00:23:11.760] キーボードでメってどうやって開くの?
[00:23:19.000] もうなんやねんそれ
[00:23:28.279] やりたいねんけど。はよやりたいねんけど
[00:23:31.720] 。ちょっともう
[00:23:33.240] 結局いつもなんとかしてくれる[笑い]
[00:23:37.039] ねえ。
[00:23:38.240] コントローラーかなくなっちゃったんですけど、もうキーマウでやるよ。じゃあキーマウでやろう。今日もう
[00:23:44.440] URL
[00:23:45.080] 省略キーマウでやるからいい。いいです。キーマでやるんで。
[00:23:47.880] こういうやつ
[00:23:48.960] キーマウでやります。ちょ、
[00:23:55.776] [笑い]
[00:23:57.320] キーマジか。エスケープキーでメニューだ。
[00:24:00.360] エスケープキー。あ、来た、来た、来た、来た、来た。
[00:24:03.000] ごめん。これ逆やわ。
[00:24:04.320] 来た、来た、来た、来た。
[00:24:06.799] これ[鼻息]さ、え、
[00:24:10.240] 感じでちょっと待って。もうちょっとね、
[00:24:13.679] ポリメガさんちょっとはよ。アプデはして
[00:24:16.559] くださいよ。
[00:24:19.360] こんな前回やってられないんですわ。
[00:24:22.120] こんな前回やってらんないっすよ。やっぱ
[00:24:25.360] 箱でしばらくやろう。ちょっと
[00:24:27.159] キーフィ来るまでは
[00:24:35.240] 来た来た来た来た来た。オオオオオオオ。
[00:24:38.600] あ、よしよしよしよしよしよし。
[00:24:42.279] あ、ああ、よかった。ああ、よかった。
[00:24:45.000] よかった。よかった。よかった。行けた。
[00:24:46.120] 行けた。行けた。行けた。行けました。
[00:24:47.120] 行けました。すいませんね。オ。じゃあ
[00:24:49.399] 行きます。
[00:24:51.840] お待たせ。何?さっきそのAmazon何
[00:24:54.640] ?このAmazonなんだ。
[00:24:56.692] [音楽]
[00:24:57.320] リンク先に移動。
[00:24:59.919] ああ、こういうことね。こういうのね。
[00:25:04.080] こういうのね。あるよね。確かに。確かに
[00:25:06.440] あるよね。で、俺のさ、あのDSのなん
[00:25:11.840] だっけ?ニセトロキャプチャーもさ、
[00:25:14.159] マイクUSB嫌でさ、これね。うん。こう
[00:25:17.760] いうの買ったんだけどさ、おっこしてさ、
[00:25:20.039] あの端子ぶち壊したんだよね。[笑い]
[00:25:23.399] だからちょっと怖いんだよな。
[00:25:27.559] 笑笑
[00:25:30.720] 真っさかり。ADHD
[00:25:32.880] 真っさかりだから。うん。すぐ壊す。邪魔けよ。なぜその魔物をもらってくるんじゃ。
[00:25:38.679] 悲しモンスター
[00:25:39.600] 悲しモンスターだから。おでおで誰も傷つけたくない。他の魔物を逃しまったらプリオ。プリオ。誰かプリオを呼んでまれ。プリオのやつめ。今回今場から許すことはできぬぞ。
[00:25:56.297] [音楽]
[00:25:57.440] うわあ、プリオ俺が一番嫌いな髪型してるから。これあれじゃねえか。あのボロボロのジーパー入ってさ、こうやって踊ってる踊ってるやつの髪型してんじゃねえか。後ろ借り上げて。このもうプリオ一番嫌いや、俺。
[00:26:00.882] [笑い]
[00:26:11.559] 確実に全。
[00:26:12.640] これ全あるでしょ?これ
[00:26:14.399] 1
[00:26:14.559] 番あれやリラフィードやリラフィじゃねえかよ。やりラフィだよ。
[00:26:19.480] これね踊ってんじゃないの?こうやってこうやって踊ってんじゃないの?こうやって
[00:26:25.399] 薬やってる髪型
[00:26:27.083] [笑い]
[00:26:27.840] 伏な
[00:26:28.640] やってるよな。七伏なんかのなんかスタッツめちゃめちゃついてるなんかトゲトゲのバック抱えてそう。小きに何が入ってるかわかんない。あの
[00:26:38.559] A4
[00:26:39.000] ぐらいの小脇きに抱えてそう。セカンドワック。セカンドバックをファーストで持ってそう。
[00:26:44.159] 明らかに者の喋り方。ジン
[00:26:47.200] ジンボロボロ。[笑い]
[00:26:49.279] ジーパンボロボロなんでこんな出てきたばっかなのにボロくせ言われてんだかわいそうになんじゃまけよなんか言うことあんのか
[00:26:57.279] ありますみんを捕まえて助けるからこいつを助けてやってほしいそんなたら小民を捕まえてくると言うんだないわけよってみるかよい様は旅立ちの扉に行ただそうかではち山げ
[00:27:18.600] 旅立ちの扉に行くがよ。見事ホ民を連れて
[00:27:21.039] 帰ればプリオは許そうぞ。下の部屋の宝箱
[00:27:24.520] はスキルするがよかろう。詳しいことは
[00:27:26.360] 大事に聞くんじゃ。い、い、いそ、いそ。
[00:27:31.399] ま、こいつメダル王なんですけどね。初見
[00:27:33.520] さん
[00:27:36.760] 大ネタバレ。[笑い]
[00:27:39.159] 大ネタバレ。
[00:27:42.200] ま、あいつ
[00:27:45.080] メダル王なんですけどね。
[00:27:46.799] 初見さんじゃあ行きますか。えー、旅の扉。
[00:27:53.159] そういうこと。いや、別にいなる。そんくらい別にそんくらいだろ。さして重要ではない。そ、そっつって行くねん。あのなんかコロシアムのあれに。さあ行きますよ。
[00:27:54.199] [笑い]
[00:28:07.519] さあ行きますよ。さあ行きます。
[00:28:15.399] 神ラララロラされてる。快
[00:28:27.360] いいよ。やっていく。ちょ、これ戦闘のスピードもうちょっと早くするとかねえのか。
[00:28:34.799] カツカスやん。
[00:28:35.919] え、声カツカツじゃねえだろね。
[00:28:38.720] プレステ版の画質しっとりして。
[00:28:40.600] しっとりしてるね。
[00:28:41.559] しっとりしてる。でもこれプレスうえい来たで。え、お前の名前つ仲間がドラクラ
[00:28:43.979] [叫び声]
[00:28:50.960] お前。お前の名前
[00:28:54.960] ど
[00:28:55.760] ドラ投げた。1発ツモ。
[00:28:57.960] どん、どん、どん、どん、どん、どん、どん、どんも、どん、どん、
[00:29:11.880] タコ
[00:29:12.200] どん、どん、どん、どん。こういうの、こういうのスピードで行かないと。こういうのスピードで行かないと。なんかおもろい、おもろいことしないとなんかあれになるから。
[00:29:22.919] げる。
[00:29:23.720] どんどんメル。
[00:29:27.865] [笑い]
[00:29:28.880] ドンベルでどンドンベルで行きます。ドンベルちなみに鳴き声はドンメルドンメルでも可愛くない?ドラキーメスドンメル可愛いじゃない?ドンメル連れてくよ。よし。いいですね。いいですよ。さす
[00:29:47.279] いいです。いいっすよね。ね、ミングセンスさすがじゃない?
[00:29:51.080] 進化系が両等種族の悲しきポケモン。
[00:29:54.480] いいです。おいおい。
[00:29:55.760] めちゃくちゃアイテム落ちてるじゃねえかよ。めちゃめちゃアイテム落ちてるじゃねえかよ。肉落ちてねえか。だから要は死んだモンスターはもうそれまでなんすよ。死んだ死んだモンスターをもう全て逃がさなきゃいけないという悲しき悲しきさ宿命にある俺たちは笑い男さんこんばんは。ドラゴンクエストモンスターズテリードアンダーランド人生縛り
[00:30:20.320] 1日目です。
[00:30:23.559] ちょっと戦闘の戦闘のスピードとか変えらんないかな。
[00:30:27.000] ちゃまゲームのトる猫配信も見たかった。
[00:30:29.559] トル猫ね。懐かしいね。トル猫もね。待って。作戦の表示速度もバカ早くていいよ。表示速度バカ早。表示速度バカ早並び替え満タ。いや、もうないな。戦闘速度やべえ。ドパ書きだからダめだ。最近のゲームはクエ
[00:30:35.331] [音楽]
[00:30:49.720] 7ぐらい早くしてくんねえと。
[00:30:51.706] [音楽]
[00:30:52.200] ドパガ書きだからさ。ドキすぎる。
[00:30:54.799] 30
[00:30:55.279] 秒同じ画面見てらんないよ。もうスワイプして早く次の動画行きたいな。朝起きたらまず動画。あ、うわー。ちょ、メる。
[00:31:02.841] [叫び声]
[00:31:06.000] ちゃまくもうガキってさ。
[00:31:08.279] ああ、
[00:31:10.240] あ、
[00:31:10.639] あ、そっか。もう俺[笑い]
[00:31:13.960] 30歳だった。もうおじさんなんだ俺。
[00:31:20.679] 笑笑。ドパおじ。
[00:31:22.919] ドパおじになっちゃった。ドパおじ。おい、
[00:31:25.399] HP8て。[笑い]
[00:31:27.840] HP満タ8
[00:31:29.080] なん?お前連れ替るの相当しんどいぞ。攻撃力は強いね。やっぱね。
[00:31:42.440] 30歳なんてまだエチェンみたい。
[00:31:44.600] エケチェンみたいなもんか。今だ。まだエケチェンかい俺は。
[00:31:52.120] ポ穴に落ちた音いいな。パ
[00:31:55.760] ドパちゃんか。
[00:31:56.799] ドパちゃんアイテムよき。はい。これだ。
[00:32:00.840] マイケルいた。ポ
[00:32:03.000] ポーポー。
[00:32:05.200] チカチか
[00:32:06.000] ね。あとさ、マイケルの映画見たい。マイケルの映画見たい。
[00:32:12.360] マイケルの映画。あの新しいやつあるじゃん。あれ見たら俺多分そう。これプレステ版。そう。
[00:32:17.440] これプレステ版あのポリメが届いたんでせっかくなんでポリメが届いたんで
[00:32:22.799] え、嘘?見に行ったの?あれ?俺や見に行ったら多分もうだいぶ
[00:32:28.320] の映画はめちゃ公評
[00:32:29.799] 本当?俺多分あれ映画見たらあの前に投げたあのメガドライブのメガドライブのあるじゃん。あのマイケルのゲームあれやるかもしんねえな。
[00:32:42.760] マイケルのこと好きになりすぎて1
[00:32:44.399] 週間くらいマコのやりそうなんか笑あるある。
[00:32:45.022] [笑い]
[00:32:48.720] なんか好きになっちゃってできそう。
[00:32:50.320] 全然マイケル知らないけど見に行ったよ。
[00:32:53.120] ええ、俺マイケル好き。あ、肉来た。た、
[00:32:55.679] マイケルカ、
[00:32:56.320] マイケルカレになっちまうかもしんない。
[00:32:57.880] そしてまた序盤で
[00:32:59.432] [笑い]
