[00:00:15.360] ひひひちゃまうすんの
[00:09:29.519] ドネルでね。だドネルでたくさんもらいましたからドネルも今もらってますんでドネルでももう何千円かみんななんかなんかしんないけどドネル投げる時って
[00:09:38.839] 1000
[00:09:39.040] 円投げるんだよな。これ心理だよな。これ心理だと思うわ。これね、これ稼げますよ。あのなんか
[00:09:48.519] Twitchで100
[00:09:49.240] ビ投げようとするじゃん。
[00:09:50.360] トネルでもらってるのにもらってないみたいな顔した。
[00:09:52.781] [笑い]
[00:09:53.440] 100
[00:09:53.680] ビ投げるじゃん。そ、300
[00:09:54.959] 円かかるんすよ。350
[00:09:56.440] 円ぐらいかかんだ、多分。100
[00:09:57.519] ビ投げようとすると。で、じゃ、ドネルでじゃあ
[00:10:00.200] 300
[00:10:00.600] 円投げるかな。言ったらなんかこう、じゃあもう
[00:10:04.440] 1000
[00:10:04.640] 円上げちゃおっかみたいななるからこれ稼ぎますね。ありがとうございます。本当に助かる。助かるね。助かる。もう助かる。本当にゲームだから今高いです。
[00:10:08.501] [笑い]
[00:10:15.880] いや、ほんまそうやで。ほんまそうやで。ありがとう。ありがとね。フランスさん。ありがとう。
[00:10:19.839] 5かけ5[鼻息]
[00:10:21.800] まっすぐなめで稼げますね。
[00:10:23.800] やめます。やっぱり人の心理これを握ってたら一番稼げますからよろしくお願いします。で、明日あれね、あの、なん、あのグータラジオ
[00:10:35.800] 12時からです。夜のね、夜の
[00:10:39.880] 12時からな。夜の
[00:10:41.639] 12時から。
[00:10:42.079] おおめ目キラキラだね。起きてられるかな?
[00:10:44.720] いつもこうだろ。起きてください。
[00:10:47.200] ほぼ日曜。
[00:10:48.680] ま、ほぼ日曜。うん。ほぼ日曜な。
[00:10:50.639] 分かりそう、分かりにくいで
[00:10:52.279] 12時っていうのは分かりにない
[00:10:56.160] だよ。12時なんで12時かって言うと
[00:10:59.920] 12時からやということ。
[00:11:02.079] そう、0時ということ。つまり明日の
[00:11:04.440] 12時、明日の24時、
[00:11:07.240] 明日の24時209日の0
[00:11:10.959] 時でもあるという。これもかなり分かりづらい。俺もね、告知作っててね、分かりづらと思ったんだけど本当は
[00:11:17.600] 10時とかからにしたいさ。
[00:11:19.200] したいけどはずいやん。
[00:11:22.517] [笑い]
[00:11:23.920] 10
[00:11:24.120] 時からやってバカすべバカったらさ、イベントやるの下手くそ。はず
[00:11:30.079] はずいやろ。なんかちゃう。なんかさ、
[00:11:32.560] 22時からやれよ。
[00:11:34.040] 違う。なんかさ、ええ、ラジオやりますとか言ってさ、別に喋ることとか用意してないし。そんなおろないでな。
[00:11:45.443] [笑い]
[00:11:47.399] いや、もう怖くなっちゃった。5
[00:11:48.959] 年前の俺らだったらな。
[00:11:50.800] 5年前の
[00:11:52.279] それは走ってる。5
[00:11:53.519] 年前のチャマゲームと純々チャンネルだったら
[00:11:56.839] ファンサだと思え。
[00:11:58.279] もうバリバリ。もうあれだから同説
[00:12:02.240] 2でも9時からやってたよ。朝[笑い]
[00:12:04.639] 6
[00:12:04.839] 時まで丸越しでできなくなっちゃったね。できなくなっちゃった。怖くなっちゃった。知っちゃったんだよね。世間を。自分のこの身のたを知ってしまった。
[00:12:11.643] [音楽]
[00:12:16.440] ハイプトレイン成功でござす。ハイプトレーイン。
[00:12:19.600] 今回も朝6時まで。
[00:12:20.959] うん。全然ね、もうそ、もうすぐやめる。わかんないけどな。決まってないけど。シュポ
[00:12:26.480] 決まってないけど。
[00:12:27.800] 決まってないけどね。うん。
[00:12:29.360] コメントお待ちしてますって自分でコメントしなあかんくなるから定期的に。この間だ。だからこのあのグートラジオやるから。グートタラジオやるからあの久々に
[00:12:41.680] YouTubeの見たんよ。
[00:12:43.680] どんな話してたかなと思って見たら
[00:12:46.240] YouTubeのタイトル、その配信の
[00:12:47.920] タイトルに初見初見20まって書いてあっ
[00:12:51.399] てだろっていう[笑い]
[00:12:53.880] 当たり前。お前がお前が初見を拒む意味
[00:12:57.600] あるか?そなかんでもそうやろ別になんか
[00:13:01.040] 初見大歓迎みたいな書いてあって[笑い]
[00:13:03.360] ラジオの
[00:13:06.760] 当たり前だろ。なんでお前が初見ダメな
[00:13:09.320] ことあんねんていう。お互く止まってたな
[00:13:11.760] 。お互たな。
[00:13:14.399] ちょっと頼むで。本当もうほんまにもう
[00:13:17.160] ほんま。
[00:13:19.279] え、出ないんだけど。何円?誰が何円?今
[00:13:23.600] ちょっとこっち。はい。3000円
[00:13:26.440] ありがとうございます。[叫び声]
[00:13:28.600] 3000円ごちそうさです。ご
[00:13:31.959] ちそうさです。ちょっと待にもちょっとあまりにも
[00:13:35.800] パチパチパチ
[00:13:36.480] あまりにもあのあれだ。ごめん。
[00:13:38.160] 今日配信やめ。
[00:13:39.240] ちょ、あのあまりにもちょっとあの整備されてなくてごめん。
[00:13:42.440] こっちに出すの忘せてた。今出るから。今出るから。もう
[00:13:45.240] 1
[00:13:45.320] 回投げてくれたら今出るから。ありがとう。終電さん
[00:13:48.199] 1000円も1000
[00:13:49.120] 円だね。いいよな。やっぱドネルだわ。ドネルいつもありがたですね。ありがたすわな。
[00:13:52.514] [笑い]
[00:13:55.320] 1000円単位で投げ投げてくれるから。
[00:13:57.560] お変わり。
[00:13:58.560] おいやめて。囚人さんはマジで投げそうだから。はい。ということで、ということでやっていきますよ。ドラゴンクエスト。
[00:14:08.079] 今日もやっていいすか?今日もやっていいすかね?今日もやらせてもらってよかですか?もうあのもうバッとあ、今日雑談かったのに。な
[00:14:12.164] [鼻息]
[00:14:18.059] [笑い]
[00:14:18.680] んでゲームやっちゃだめかよ。いや、でも別に明日も嫌でも話さなきゃんないからな。もう今日このもったいないよね。もったいない。明日のラジオに取っとかなきゃいけないから。待ってくだないけど話すこと。別に話すことないけど別に。でもなんか皆さんいろんなお便りくれてますな。
[00:14:37.040] くれてました。ありがとうございます。くれてました。ありがとうございます。ただもうまだ明日の貯金
[00:14:41.959] 明日のあの12
[00:14:43.480] 時までは受け付けてますから。受け受けてますから。だこの後もし投げてくれる人があのマシュマロ投げてくれる人がもしるんであれば
[00:14:51.120] 1
[00:14:51.279] 個行っとくわ。もうあの俺とじんちゃんとの慣れ染めは聞かないでくれ。もう
[00:14:55.120] 12
[00:14:55.399] 件ってるから。それで同じ内容や。もうそれたくさん来て話すこといっぱいあるなと思ったらもう俺とじんちゃんとのなれそめで
[00:14:56.705] [笑い]
[00:15:05.680] 12元げ。
[00:15:06.759] もうやっぱないよね。急に言われても
[00:15:10.040] みんな慣れ染め聞きたいんだ。
[00:15:11.800] いや、急に俺とじちゃんになんか質問なんでもいいよとか言っても
[00:15:19.959] ないねん。興味ないねん。みんな
[00:15:22.040] 投稿した方がいい
[00:15:23.440] でも誰かわかんないけどいい
[00:15:26.639] 着い連投してるやついたよ。着グい
[00:15:28.800] [笑い]
[00:15:30.600] 10
[00:15:30.800] 件ぐらいなんかブって投げてるやついたな。なんか
[00:15:33.079] 56
[00:15:33.399] 件一気に投げてるやついた。多分同じ人だと思うんだよな。
[00:15:35.839] 時間が全部しとったからんちゃんと嫁の慣れ染みありますか?まあまあまあまあままままあまあまあまそっ笑笑
[00:15:37.315] [鼻息]
[00:15:43.839] まあまあまあまあまり言うとネタバレになっちゃうんであんまり言うでじんちゃんでは
[00:15:47.240] 1個も見せてないから
[00:15:49.160] おいす
[00:15:50.240] じんちゃんには1
[00:15:51.040] 個も見せてないからゼトマお疲れちゃんマもお疲れやりますよ今日もドラゴンクエストやっていきます貯金ということでもうこれ以上はもう喋りません。さよなら。さあやっていこうか。
[00:16:04.560] ドラゴンクエストセブリイマジンズ
[00:16:06.959] じんちゃんは瞬発力。
[00:16:08.319] 今日も瞬発力。あいつあいつにねえ考えといてねつっても絶対おもろないね。あいつはもうなんかわって言ったのがおもろいからおもろい。おもろくなる可能性がある。おもろくなる可能性がある。あれなんだっけ?もう話覚えてないよ。話覚えてないよな。何でしたっけ?もう覚えてないんだから。もう覚えてないで。なんだっけ?なんかあったな。旅の記録。
[00:16:32.279] あ、はいはいはい。なんか取りに来てるね。
[00:16:34.279] なんかあのこれ伝説の英雄メルビンの仲間に加えたちは新たなる大将を降りとった。
[00:16:40.360] え、宝をと、え、島を探検し、魔法の研究を逆がマーデラスのマーディラスの王城へ届いたちは、え、モン番の兵士からお前たちはメディルの使いかとねられる。
[00:16:52.880] その通りだと嘘たレたちに対しモ番の弊所
[00:16:55.440] はメディルの使いが少年だとは信用でき
[00:16:57.160] ないといつも王に格分に吊るぬる中で待て
[00:16:59.480] と城の通行を許可してくれるのであった
[00:17:03.120] ですな。ですなほんでなんかほんでなんか
[00:17:07.640] ここになんかなんかあるからここに行けっ
[00:17:10.760] て言われたね。なんかなんかなんかわかん
[00:17:14.319] ないけどここ来いて言われた来ました。
[00:17:15.799] よろしく。おなんだお前?[鼻息]
[00:17:19.039] ちっちゃい俺がいるやん。はい。おい。
[00:17:23.160] なんだな、お前さんたちは。わざわざ
[00:17:24.799] こんな山奥に来るとなんたる変わりだべ。
[00:17:28.559] 何?大人家様に星空の決しを取ってくる
[00:17:31.120] ように命じられただと。ふわ、そらご苦労
[00:17:33.720] さんだの。ほびほびしてる。えー、天空の
[00:17:38.320] 、え、星空の決勝ならこの山のてぺの池泉
[00:17:42.240] のに時々落ちてることがあるっぺよ。
[00:17:44.880] もっと今行きとくでもいけないんだけどね
[00:17:46.480] 。なんであんた何でも1人に立ててなこと
[00:17:49.080] 自分で確かめたらエべ。
[00:17:52.840] だってさ。あ、ほらな。こういうのがあんねん。
[00:17:58.797] [鼻息]
[00:18:01.480] はい。
[00:18:02.039] あら、こんなとこに人が来るなんて珍しいわ。え、星の化粧を探してるの?だったら色々教えてあげられるけど、今手が放せないからうちの
[00:18:09.480] 1
[00:18:09.520] つでも話して話してくれるかしら?もう教えてくれないねん。しかもなんだここ?あれなねんかい?ここダンジョンじゃねえのかよ。ここダンジョンじゃないんだ。
[00:18:19.159] どこ行けばいいの?これか?あ、ここか。
[00:18:22.360] ここ行けんのか?行けないじゃん。ん?
[00:18:27.240] どこに行けばいいの?これ俺ってどっから
[00:18:29.600] 来た?こっちから来たんだよな。
[00:18:36.240] どこに行けばいいんだ?これ
[00:18:40.880] どこ?
[00:18:43.159] ああ、アン、その顔はなしてっぺに行け
[00:18:45.679] ねえか分かった顔じゃよね。そう、ちまで
[00:18:48.760] もA情報さ、提供してあげるけん。心配は
[00:18:51.919] 無だべ。あんたらも見たと思うけどのてぺ
[00:18:55.600] に続く道のんとこに滝がドカンと当たっ
[00:18:57.760] てるべさ。滝が止まらんことにはあの道は
[00:19:01.080] どうやっても通れんのよ。でも開け方の
[00:19:03.960] 短い間だけなんでかあの滝は止まるべ。
[00:19:06.280] つまり朝まで待てばいっぺよ。うん。
[00:19:10.880] 星の先は汚れなき水面にみえー
[00:19:14.960] 反射して生まれる奇跡の決勝。
[00:19:17.280] それが星空の決晶です。つまり星空の決晶は星の出てる間にしか手に入らん。ペってりお疲れちゃう。
[00:19:24.360] ぺってりお疲れちゃう。えー、取りに行きたいのなら明日の朝星が消える前にここを出ればきっと真似ようでしょう。きしければそれまでここで休いよろしく。ちなみに明日は棒読み消すからね。明日は棒読み消すからね。明日は棒読み消します。生意きにも
[00:19:41.960] 生意きにもラジオなので
[00:19:44.000] あんたらそろ起きないってやばいっぺよ。ちっちゃ。
[00:19:47.600] いや、まいったいった。実は俺はもうちょっと俺はもうちょっと寝坊しちまっただよ。今なら滝は止まってるだよ。お空お様消えちまうのうちにあんた急いただこいべ。
[00:19:58.520] はい。
[00:20:01.280] だって。おお。なほね。
[00:20:16.600] じゃあもう戻れないってことか、これ。あ、戻れないんだ。大丈夫かな?
[00:20:26.919] あ、絶対大丈夫だ。[笑い]
[00:20:29.960] 絶対大丈夫だ。敵一発だわ。初見で。初見ワンパンだわ。あんまなんかこれ真面目に戦ってるのよ。レベル上がりすぎちまっても今ですらもうなってるんだけど。
[00:20:43.120] レベル上がりすぎちゃう病なんだよな、これ。
[00:20:48.080] おお、メペロお疲れ。
[00:20:50.240] メペロンお疲れちゃん。ペロンお疲れ。シュシュぽぽ。
[00:20:53.679] バトルマスター排水拳。なんだ排水拳って?今日もドラクエやってるで。
[00:21:00.039] せいよ。せや。
[00:21:05.120] 俺がゲーム始まったら誰も喋んなくなっちゃったんだよね。
[00:21:08.280] せ、[笑い]
[00:21:10.880] 俺がゲーム始まったらん誰も喋んなくなっちゃった。
[00:21:13.640] おい、
[00:21:14.120] 邪魔ベリーベリー
[00:21:15.360] 喋れよ。
[00:21:16.240] もういいってよ。
[00:21:17.440] もう喋、俺ともっと喋ってよ。
[00:21:22.240] もっと喋ってよ。さっき、さっきまでなんかワイワイ喋ってたじゃん。ワイワイ喋ってたじゃん。
[00:21:28.400] 俺らの声奪うって。
[00:21:29.919] え?俺らの声奪うって何?
[00:21:33.600] よせ。
[00:21:45.159] わ、明日やっぱ不安なんだよな。なんかな、
[00:21:49.600] 私そんな誰もそんなさ、なんか逆に
[00:21:52.919] 明日のマシュマロどのくらい来てるんだ?
[00:21:54.799] 明日のマシュマロ2今30
[00:21:57.120] 近く来てるかな?
[00:21:58.720] いい感じ。
[00:21:59.120] だからさ、正味さ、最初ね、じんちゃんと話してたんだけど言うてそんな長々やってもさ、しょうがないから。
[00:22:08.360] URL省略。
[00:22:09.600] ありがとう。ナイス。いいね。あの、長々やってもしゃあなからもうなんか
[00:22:15.760] 2時間ぐらいんちゃうつって
[00:22:18.400] お言ってたのだからさ。
[00:22:20.720] そのやもうマシュマロ返すだけでもんだ。むちゃいな。
[00:22:24.480] もうジム行ってんだ。
[00:22:25.640] あのマシュマロがマシュマロを返してるだけでもさ、
[00:22:29.799] 2
[00:22:29.960] 時間ぐらい経っちゃうんじゃないかなと思って。ま、ね、いつまでやるかわかんねえんだけど、ちょっとこれ転職します。
[00:22:32.590] [音楽]
[00:22:36.760] はい。
[00:22:38.320] まあつもそうだったんだけど。
[00:22:39.720] さて、マシュマロ争っと
[00:22:42.415] [笑い]
[00:22:43.720] いいよ。荒らしてくれよ。どんどん助かるわ。そっちの方が。あ、ほら、スーパースターなれますが。ス、バイキルトだよ。バイ、これ。はい。
[00:22:55.240] スーパースターと
[00:22:58.520] なんだろうな。
[00:23:02.640] なんかなんか違う職業やってった方がいい
[00:23:06.640] かな。
[00:23:10.520] 羊会。え、どうすっかな?笑わせし。
[00:23:14.799] 笑わせしはなんかどうしよっかな。転職
[00:23:18.200] する。武踏。武踏とかさ、
[00:23:22.279] ちょっといいんじゃない?武踏家とかいい
[00:23:24.480] んじゃない?
[00:23:26.559] 武踏もちょっと行こ、行こっか。武踏家も
[00:23:28.960] 行こっか。
[00:23:34.760] 職業本色がスーパースター。
[00:23:39.520] ほんで武踏かよ。これで行こう。ちょっと
[00:23:41.919] どっちも初見になっちゃうから弱くなっ
[00:23:43.960] ちゃうかもしんないけど。ま、周り強え
[00:23:45.520] からな。
[00:23:52.120] 明日ね、何時間やるかで決まってないんだよ。ま、だから、あ、こっから、こっから落ちちゃうんだ。まあ、別にいいんだけどさ、何時間やっても。
[00:24:05.600] ただなんかそのあんま遅くまでやってもな。
[00:24:14.360] ま、なんかなんかね、ちょっとね、ちょっと口ではなんかこう
[00:24:16.081] [音楽]
[00:24:22.480] だるいなみたいなこと言ってるけどね。ちょっと乗り気でもあるんだよね。
[00:24:25.906] [笑い]
[00:24:26.440] どんなもんだ。
[00:24:27.200] ちょっと乗り気でもある。嬉し。恥ずかしい。
[00:24:30.440] えへ。
[00:24:34.760] じゃ、また
[00:24:35.200] Spotifyあげ。ゴミ。ゴミ。
[00:24:36.387] [笑い]
[00:24:38.559] Spotify。
[00:24:39.640] せい。
[00:24:44.440] あの辺ななんかあの
[00:24:46.520] Spotify
[00:24:47.000] のトレーラーみたいなも取り直すべかな。くの
[00:24:49.487] [笑い]
[00:24:51.480] もう1回もう1回あれかな。あのもう
[00:24:56.120] 1
[00:24:56.159] 回あれかな作り直そうかな。あのドクロ歴史
[00:25:02.480] どんな問題?
[00:25:07.080] いいね。
[00:25:10.640] ま、ちょ、いいや。もうちょっと戦うのちょっと後めにしよう。
[00:25:14.960] あ、意外と近くにあるんや。もうこの辺にあるんだって。
[00:25:17.679] てい、
[00:25:20.440] この辺にあるんだって。絶対あれだろ。絶対あれだろ。絶対これやん。ありましたわ。はい。ありましたと。早、早ない?すぐあるじゃん。もういいの?これ。
[00:25:39.919] もういいんかい?もうこれで終わりかい?
[00:25:47.080] 時短
[00:25:48.120] 時短すぎるな。えー、で大神に届けるんでしょ?もうルーラしちゃっていいよね。今はルーラすることなんでだよ。絶対イベントあるやん。
[00:26:06.559] も絶対イベントあるやん。こんな今ルーラできないんだったらなんかあるだろ、絶対。これこの後来る来る。
[00:26:13.799] おめ、メタでネタバレすんのよ。メタで。
[00:26:20.760] はあ。どだや。
[00:26:26.440] 強すぎね。バクロス
[00:26:31.720] 強くなりすぎたなあ。
[00:26:34.120] 強くなりすぎてんな。人形欲しい。
[00:26:36.919] マリベルのうわー。まあ、まあだんて
[00:26:40.838] [息をのむ音]
[00:26:45.360] きちゃ
[00:26:46.200] 終わりです。今終わった。このゲームが終わって終わり申したん?こっち?あ、違う。上から帰んなきゃだめか。マリベルのドール人形ってあるの?そんなの。
[00:27:01.039] そんなん出てんの?なんかドラクエ
[00:27:03.480] 40周年のグッズが出るらしいじゃん。
[00:27:05.799] 大体どのドラクエも裏ボスみたいなのいるけど
[00:27:09.200] そこまでやるの?
[00:27:10.159] うん。まあそうね。セブンの裏ボスってな、あれだもんな。い
[00:27:15.120] から出してほしい。
[00:27:19.760] これ何?どういうの?これマリベルのさ、あのじゃね、ドラクエのさ、
[00:27:26.360] 40周年のグッズがさ、出るんだよな。
[00:27:30.039] ねえ。
[00:27:32.559] せい
[00:27:33.960] なんかあの金色の金色のさ、メタリックモンスターズギャラリーみたいなやつ
[00:27:39.399] ちょっと欲しいよね。ちょっと欲しいよね。
[00:27:43.159] 切りどうせバカバカたけえけど。
[00:27:48.304] [笑い]
[00:27:51.039] マジでドラクエのさ、もう何回も言ってるけどさ、ドラクエのフィギュアをフィギュアのさ、なんかその展開をさ、もうちょっとそのもうメタリックモンスターズギャラリーじゃなくていいんだけど普通の出してほしいわ。もうなんかあれしか出さないや。ア
[00:28:09.080] 昔なんかいろんなさ、ドラクエのグッズって売ってたのにさ、今全然ないよな。
[00:28:17.559] のなんかんだよ。高いな。1個5000
[00:28:19.880] とかすんだもん。高いよな。魔王とかあったとさ。だけやから楽やねん。
[00:28:25.640] だって高いねん。
[00:28:27.600] 1
[00:28:27.919] 万とかすんだもん。普通に高いよ。あの集められるか。安くても
[00:28:34.600] 5000
[00:28:34.799] 円ぐらいすっからな。昔みたいになんかコンビニとかでさ、ちょっとなんかあのモンスター図鑑みたいななんか売ってたやん。よくなんか躍動感
[00:28:44.679] あるあるモンスターのフィギュアみたいな。あ、くなっちゃったんだよね、あれね。
[00:28:48.564] [音楽]
[00:28:48.679] ああいうのを集めたいんだよな。
[00:28:52.760] あの武器武器武器武器のフィギュアとか
[00:28:56.919] あったよな。武器のフィギュア。あの魔人
[00:29:00.559] の金槌で俺のばあちゃん魔人の金槌
[00:29:03.159] 踏みつぶ足怪我してもう全部捨てられた
[00:29:05.720] けどね。俺[笑い]
[00:29:07.679] ぶち切れた。
[00:29:08.240] お母さんにぶち切りられて集め集めたモあのアイテムギャラリー全部捨せられたけど
[00:29:14.110] [笑い]
[00:29:15.120] 魔人の風土で遊んでそのまその辺にポイってやったらおばあちゃんが踏んじゃって足怪我してお母さんぶち切れたお母さんに全部捨られた。危ないってめっちゃ持ってたのに色。
[00:29:18.695] [音楽]
[00:29:34.000] おおぞまさしく星空の決晶。
[00:29:38.720] よし、これで全ての材料が揃ったわい。ご苦労じゃったな。霊の代わりにそなたらにもこの魔法のことを話しておこう。
[00:29:48.880] 何ですか?何の魔法ですか?
[00:29:50.600] どこかで聞いたかもしれんが、今の周り王にはちょっとよからぬ噂があるんじゃ。
[00:29:57.279] というと、
[00:29:58.720] 何でも王は究極魔法を世に復活させようとしているらしいなどな。
[00:30:05.480] 話からちょっとじちゃんに似てるな。
[00:30:07.760] 究極魔法とはその力の兄大さのあり、かつて大陸をも吹き飛ばしたという恐怖の魔法でな。
[00:30:15.679] 絶対魔ダんテやん。さっき覚えましたけどうちのマリベルたんがさっき覚えたやつ。
[00:30:20.279] この魔法を封印した賢者たちが残した文献によればマナスティス。全然違った。恥ずかしい。
[00:30:28.720] まだま何?マナスティス何?マダンテじゃないの?
[00:30:32.039] わしも噂の真層を聞こうと王を尋ねたがを切るばかりでつり出しよった。
[00:30:41.080] そんなこんなで王はこの神殿との間に石書を作り寄ったというわけ。トゥ
[00:30:47.776] [笑い]
[00:30:49.960] トトゥト違う。
[00:30:50.880] どういうパソルティスってどういう角だっけ?
[00:30:54.519] 神ルデルデルデルデルか
[00:30:58.720] そじは万が一の場合に備え
[00:31:02.760] ソルスティスみたいなゲームやりてえ
[00:31:05.799] ソルスティスみたいなゲームやりてえまたね
[00:31:08.679] ちんチキチキちんちんみたいな
[00:31:10.799] BGM
[00:31:11.159] だなダラダラがお前さんたちのマップをやっと完成させるこ
[00:31:20.639] あれめっちゃ良かったよな。ああいうレトロゲームやりたいね。あれめっちゃむずいけどな。あれめっちゃむずいけどな。
[00:31:29.240] また先じゃんこじゃんみたいなのしないといけないぞ。な
[00:31:32.760] んだっけ?あの鳥ジャン。鳥ジャね。自分の下に置いたブロックを取りながらジャンプするっていうじゃさあ。お前さんたち完成の瞬間を見逃せでないぞ。
[00:31:45.039] ま、こういう大名作をやんのもいいんだけど、あいうゲームをね、やんのもいいのよね。うん。だ、次はなんかそういうゲームやりたいなと思ってます。難しいのよ。なかなかああいうゲームに当たんのって。ほ、だって本当にクソゲーあるからさ。
[00:32:02.360] そ、そんなまじゃなる。[笑い]
[00:32:05.760] あの曲めっちゃかっこいい。なんなった?ごめん。全然話聞たな。
[00:32:10.799] ああ、失敗じゃん。失敗じゃん。
[00:32:14.892] [鼻息]
[00:32:15.440] は完璧はずじゃがマジャスティスは気難しいの
[00:32:20.000] んなんかまジャスティスまナスティスなんなどっちなんか違くないか
[00:32:25.960] ねえもし王の究極魔法が完成してしまったらこの国に未来はないわどうやらマーデラスを無事に現代に復活させるためにはこの人を助ける必要がありそうお疲れにするといつも飛び起きる
