[00:00:34.360] ひ
[00:08:48.279] よ。ガつ売り。ガつり進めるからな。24
[00:08:52.519] 時間もやってんじゃねえかよ。
[00:08:56.360] 鼻の調子が悪い。
[00:09:00.320] よし、
[00:09:02.640] やっていくぜ。やっていくぜ。
[00:09:07.720] えっと
[00:09:11.560] 何すんだっけ?全然覚えてない。もう前回
[00:09:15.320] もさ、ストーリー進めてねえからさ。
[00:09:18.720] あ、満月の塔に行けみたいな感じでしたっ
[00:09:21.360] け。なんだ満月の塔って?
[00:09:24.560] 妖精の笛を探す。満月の塔に向かう。7つ
[00:09:28.160] の思い出を集める。じゃ、満月の塔行き
[00:09:31.399] ますか。満月の塔に。
[00:09:34.399] あれ?これ配信配信止まってないよね?おい、こら。おめえらなんで何も喋んねんだ。
[00:09:42.720] え?何?何?なんか止まってる。
[00:09:46.399] うんち。笑。
[00:09:48.040] 何?
[00:09:48.600] コメント見ろ。バカたれが。服きブリブリ。
[00:09:53.000] コメント見ろ。バカたれて。
[00:09:54.360] 何?なんかコメント欄ん?ちょっと何これ?え?どういうこと?何?何?何?
[00:10:04.880] 生き返りましたよ。
[00:10:08.279] ああ。右下。
[00:10:11.519] あれ?
[00:10:12.079] あれ?なんだこれ?あれ?なんでコメラン死んでんの?これ
[00:10:22.680] 画面右下おかしなってるで。ドにプレステ
[00:10:26.680] 5なんか起動するから。
[00:10:29.560] あれ?なんで?あしじさんこんばんは。あれなんかコメ欄出なった。
[00:10:38.440] 右上も日おかしい。
[00:10:41.720] 右上何?
[00:10:45.639] 行き台きはいいんだけど
[00:10:48.839] してないのに
[00:10:49.600] ね。何もしてないのに出たよ。これ何もしてないのに。何もしてないのに。これまろちゃんこんばんは。いや、久しぶりじゃないでも年開け前からちょっとずつやってますがな。ねえ、もうこんまこれやめて。こういうの
[00:11:07.320] こういうのやめて本当に。
[00:11:10.760] ね、こういうのやめて。本当もうあのなんかしんないけどコメントが出ない。
[00:11:20.600] 配信者の機嫌を損ねんなよ。
[00:11:22.720] 本当だよ。これでどうこれで?これどう?
[00:11:28.399] 叩けば治るっておばあちゃん言って。
[00:11:30.360] ちょっと待って。
[00:11:30.839] マジで何これなあ。もうこれなんで?
[00:11:40.320] ああ、
[00:11:41.200] ちょ、マジで出ない。いや、出てないわ。もうだるいわ、もう。もうなんでだよ、これ。もうだるい。気
[00:11:58.480] です
[00:11:59.800] ね。だるい。これ何?マジで?
[00:12:25.720] ごめん。わかんないや、みんな。ね。
[00:12:28.839] ごめん、みんな。
[00:12:29.399] わからん。これ何これ?ど、どうすればいいの?え、何?どうしたの?
[00:12:40.279] あ、ハ、こんばんは。ねえ、なんかコメント欄、コメント欄出なくなっちゃった。コメント欄出なくなっちゃったの?コメント欄出なくなっちゃったよ。
[00:12:56.720] 何でコメント入れてるの?ストリームラボ。ちょ、もうだるい。もう、もうね、もだるいって。
[00:13:15.160] ストリームラボのログイン切れてたり。
[00:13:17.320] 切れてないよ。切れてない。
[00:13:27.639] はいはい
[00:13:29.000] はいはいはいはい分かったわかった
[00:13:33.320] 笑笑
[00:13:34.279] 分かったわかったああもうだめだお亡くなりになったわ
[00:13:44.000] ああ
[00:13:44.480] ああだめだもうほんまもうほんまお前いい加減にせえよい加減にせえ
[00:13:51.920] よ、これ
[00:13:54.759] ストリームラボケース珍
[00:13:58.519] もう、もうやん。だるいこれ。
[00:14:02.880] あさんの出番か。こういうところでやる気がね。村ラボ場でプレビューできるんやっけ?
[00:14:09.399] ほわかんない。できないかも。もう、もうや。
[00:14:24.600] あ、もうわかんない。もうわかんねえや。
[00:14:26.880] もう
[00:14:30.480] 、もう1回別にコメント欄なくていいしょ
[00:14:34.320] ねえ。
[00:14:39.440] これなくていいっしょ。もうめんどくさく
[00:14:41.920] ね。
[00:14:45.399] ストリームラボのサイトでプレビュー
[00:14:47.279] できるならオブスが悪いし。
[00:14:49.320] プレビューできないが悪いかな。でもいいよ。ちゃまく来た。プレビューからゆっくり調べるが良い。あ
[00:14:57.480] あ、出た、出た。あ、出たわ。は、マジで何もしてない。マジで何もしてないのに壊れるんだけど。パソコン何もしてないんだけど。何もしてないのに壊れた。
[00:15:11.519] 詰まってたか。
[00:15:13.120] つまえ。コメント欄って詰まるの?ふん詰まりしてた。ふん詰まり。
[00:15:19.959] ここに行けばいいのね。分かった。もうお騒がせしましたと。はい。お騒がせしました。
[00:15:24.639] コメントが貫いた。
[00:15:26.040] はい。お騒がせしましたね。やっていきましょう。スルスする改弁ね。というわけでやっていきますかね。ブリブリ解弁でやっていきます。
[00:15:37.920] ほんまにもう
[00:15:38.920] ほぼなんか鼻の鼻詰まりも良くなったわ。コメントなくなったらコメント通るようになったら
[00:15:46.600] 先生助かった。
[00:15:48.199] ちょ、本当になんか最近さ、じゃ、これ本当の脆弱だから言ってんじゃなくてマジで何もしてないのになんか調子悪いんだけど勝手に何もしてないのにマジでもこれあるよな。配信者
[00:16:05.839] 何
[00:16:09.759] あるある弱くからちゃまくがやるの珍しいから帰りアフるやんけボケかまして入ろう。
[00:16:17.959] こんにちは。パソコン買い替えよう。
[00:16:20.160] いいぞさん、こんばんは。いさん、こんにちは。やってくよ。またり今日はドラクエ進めちゃうよ。もうクリアしちゃうからね。パソコン買い換える。パソコン買い換えるお金ないわ。パソコン買い換えるお金なあ。お前らでは募って俺に寄付しろ。お前らでれ。募って。パソコン購入基金。
[00:16:46.279] た力き本願笑
[00:16:48.519] 1もうちょっともう無謀すぎる。
[00:16:51.160] 1
[00:16:51.360] ビッツありがたいけど無謀すぎる。無謀すぎる。ま、力き本願の男で有名だからチマゲームは
[00:17:03.440] ベギラゴン。
[00:17:05.400] おお、今日はもう
[00:17:06.520] もやね。
[00:17:07.280] チリツモやね。
[00:17:08.199] 食いても
[00:17:08.799] チり立やね。
[00:17:14.919] まあでもマジで1年ぐらいあの
[00:17:18.760] Twitchの収益貯めれば買えると思う
[00:17:21.199] 。どんくらいの求めるかだけどだって今
[00:17:25.760] パパソコン
[00:17:27.280] さ
[00:17:28.799] 変えようと思ったらさぐらいはいっちゃう
[00:17:31.760] よね。多分
[00:17:32.799] 暑いですよ。バカバカけえよね
[00:17:35.960] 。
[00:17:36.559] あのグラボだけでさ、正味さとかでしょ。たま
[00:17:45.960] 30はたまんない。30はたまんない。
[00:17:50.280] 20ぐらいはたまんじゃない。20
[00:17:51.640] ちょいぐらいは30
[00:17:52.640] 弱ぐらいたまんじゃない。
[00:17:54.720] ちゃんと配信すれば
[00:17:57.360] 皆様がサブスクを継続していただけるよう
[00:17:59.799] にちゃんと
[00:18:01.640] ちゃんと配信を継続するまで
[00:18:08.919] 月2万言わない方がいい
[00:18:12.720] 言わない方がいいんだろうな。
[00:18:13.960] 頑張り込ん知らたまんないかも。出す
[00:18:19.919] 生々しい。
[00:18:20.760] 生々ましいね。せい
[00:18:22.640] 生々しい。
[00:18:26.480] おいじゃないですか。だ
[00:18:32.039] までも誕生日の月はどうせもっともらえるからとか。ま、誕生日の月はもうちょっともらえるからと冗談です。
[00:18:43.000] 笑笑。
[00:18:43.440] 冗談冗談冗談ね、これ冗談だよ。冗談。
[00:18:47.240] おい。笑笑。
[00:18:49.440] 冗談、冗談、冗談。
[00:18:53.360] ははは
[00:18:54.159] ははは。ま、ボーナス入ったら買おうかな。
[00:18:59.880] 誕生日のおもろい配信期待して。
[00:19:02.000] なんか、なんかやろうかじゃ。本当に嫌いなと嫌い。おいおい、ここも含めてチャームだろ。しかも冗談やん。本気で思ってない。
[00:19:10.880] 5周年
[00:19:12.600] 確かにな
[00:19:14.640] で5周年で
[00:19:17.520] しかも30
[00:19:19.520] 歳何したろうかなてない
[00:19:23.520] 何したろうかな
[00:19:26.840] 何しよっかないものリストにさのパーツ
[00:19:39.880] 1個1個入
[00:19:41.520] ディアゴスティーニみてにさ、これそれぞれのなんかリスナーからさ、パーツ
[00:19:45.799] 1個1個買ってもらってさ、
[00:19:47.440] 買うしかない。
[00:19:48.480] これディアゴスティーニみたいになんね。なんか
[00:19:51.280] ディアゴスティーニみたいな感じで。
[00:19:54.039] よいしょ。
[00:19:56.280] 1個1個
[00:19:57.000] パーツを正味さ、パソコンもし本気で作る、ま、多分
[00:20:04.720] BTO
[00:20:05.080] で作ることになると思うけど作るんだったら、
[00:20:08.880] そう、グラ、俺正味ね、グラボ今これ
[00:20:10.919] 30なんだけどフ
[00:20:12.520] ファンタンと
[00:20:14.600] 1
[00:20:14.760] 番安そう。あのグラボ正味俺そんないいのいらないんだよね。パソコンでゲームやんないから。
[00:20:20.039] 行け。
[00:20:20.960] どうせさ、グラボ今
[00:20:22.679] 1番高いの50だっけ?遅い。50
[00:20:25.840] 何万出して買ってもさ、俺ファミコンじゃん。やるの。どうせファミコンだし。ゲーム俺さ、あの結局このなんつうの?コンシューマーでやるからさ、俺ってだグラボいらないんだよな。
[00:20:38.720] 30マで十分味。
[00:20:40.640] それ。
[00:20:41.919] うん。俺プレステ5
[00:20:42.679] でやるし、新しいゲームなんかやっぱね、ゲームはお金出して物で買いたいんだよね。そうだ。配信だけ止まんなきゃいい。
[00:20:53.080] ハ長、お疲れ。ハッチ、お疲れちゃん。
[00:20:54.320] ステアムに毎回切れてる男にグラボなんてもったいない。
[00:20:57.840] うん。マジで俺に50
[00:20:58.720] はマジで宝の持ちされだからマジでいらない。
[00:21:02.520] 3マで全然十分。大体動くしね。
[00:21:06.840] 3マでも重たいゲームはプレステ
[00:21:11.679] 5とかでやるよ。
[00:21:13.039] 甘いわね。
[00:21:14.760] そしたら20万いかないんじゃない?10
[00:21:16.440] 何万で全然いんじゃないかな?でなら必要ないもん。
[00:21:21.679] うん。もう動画とか作んないしね。
[00:21:28.799] MP消費激なったなあ。
[00:21:31.279] MP
[00:21:31.600] 消費めっちゃ激しくなったね。でも俺は昨日覚えたあれがあんねん。特技大声。これ宿屋呼べるんやろ。これ無敵やん。そんなん無敵やん。え、で、ここに向かえばいいのね。ちょっと遠いな。
[00:21:53.520] 魔王城にも来るんかな?
[00:21:55.000] 魔王城にも来るよ。魔王城にも魔王城にも呼ぶよ。マドとかやるようになっちゃったから多分この人たち
[00:22:03.880] ベギラゴン
[00:22:06.400] ちょもうちょっともうちょっと弱い攻撃でいいんだけどな。せい
[00:22:14.559] じんちゃんがね、新しいパソコン買ったらしいんだよね。あいつも別にパソコンでゲームやんねえけどな。
[00:22:27.760] で、使わなくなったパソコンのグラボをつンに上げたらしい。よっ。
[00:22:33.159] あいつ太っぱらだよな。
[00:22:34.760] 行け。
[00:22:36.240] あいつ変なとこ太っぱやねんな。変なとこあいつ太っ張らんなよ。こな間だ俺にあのなんかメタルギアスリットの最新作くれたし。意味わからんね。なんか
[00:22:49.200] 人にもらうし自分も。
[00:22:51.039] そうそうそうだな。ギブアンドテイクなのかもしれない。
[00:22:56.279] 甘いわね。
[00:22:56.880] 俺もあいつにラス上げないとダめかも。せろ。
[00:23:08.320] あいつ今日昼間さ、昼間ってか朝やってたから見に行ったんだけど、見に行ったんだけどなんかずっともうだいぶ中盤ぐらいまで来てるんのにずっとレガで戦ってた。やり方わかんないんかな?ラスアスの銃とかあるのに。
[00:23:24.400] 笑笑
[00:23:24.919] ずっとレンガで戦ってた。なんかホだ。
[00:23:36.720] レガ縛り
[00:23:37.720] レガ縛りしてたよね。なんかね。で、終わった後俺に
[00:23:41.120] LINE
[00:23:41.360] 入ってきてさ、ラスアスやばいわ。もう
[00:23:44.440] 2
[00:23:44.640] 回泣いたよて。別にその何回泣いた報告別にいらないなと思いながら
[00:23:50.600] もう2回泣いたよてLINE来た。
[00:23:52.520] 笑。レガで
[00:23:55.000] レガでもう2回泣いたらしい。
[00:23:58.039] エリーを娘と重ねてしまうとか言ってたけど、お前の娘まだ全然幼稚園生やろ。お前だいぶ数ネるには無理あるよ。
[00:24:08.919] ダブル
[00:24:11.360] 別にそんな共通せいや、エリー多分言いたかったのエリーじゃないねんな。あの最初の
[00:24:15.279] 娘の未来と
[00:24:16.279] 最初のさ、最初の娘のことを言いたかったのかなと思ったんだけど。なんて言うんだっけ?名前出ちゃった。あの最初に死んじゃう方の。あ、ごめん。ネタバレした。ごめん。ネタバレした。
[00:24:26.080] 新山法の娘。
[00:24:31.200] それ
[00:24:37.960] でもラスアスやっぱおもれえよな。も俺も見ててもう
[00:24:41.159] 1回やりたくなった。
[00:24:41.799] 絶妙に聞こえなかったからいいよ。
[00:24:43.720] 絶妙に聞こえなかった。もう
[00:24:45.919] 1回やっておくか。うん。
[00:24:46.960] これはちょっとね、世間は許してや
[00:24:55.440] 逃がさないよ。
[00:24:57.399] いいね。サやね。だ、
[00:24:59.760] MP
[00:25:00.159] マジでちょっとレベルアップしてくんないときついな。
[00:25:10.960] PCもう1
[00:25:11.720] 個買う。うん。どうなんだろうな。
[00:25:13.880] しまった。砕らけちりなさい。
[00:25:18.600] 正直さ、
[00:25:20.720] PCもう1
[00:25:21.559] 個買うってでもグラボを更新しないんだったらあんまりあんまり意味ないよね。あんまり意味ないよね。
[00:25:30.399] それ
[00:25:32.159] 全然知識がねえからわかんないんだけどさ。パソコンの何を新しくするの?グラボ。
[00:25:36.919] このまんまだとしたら何が新しくなるの?
[00:25:50.000] メモリでかいのも。
[00:25:52.080] そう、俺メモリgね。
[00:25:55.159] 322
[00:25:55.799] 個積んでんの別になんか別に何も不満ないんだよな。なんか
[00:26:03.039] OBS
[00:26:03.520] とかがたまに調子悪いぐらいでいらないよね、正味ね。
[00:26:11.039] あんなわかんない。俺全然知識ないから。ま、グラボ高いからな。
[00:26:20.080] 反動体が不足してんのよ。反動体が。反動体ってもう常にファミコン時代から言われてるからな。反動体不足ってもっと作ろうよ。ファミコン時代から言われてんだから反動体が不足してます。
[00:26:35.760] な、何なん?反動体ってよく聞くけど全然わかんないんだけど。
[00:26:42.679] 決める。
[00:26:44.880] が反動クラス
[00:26:46.840] そうだよ。俺が反動体作ったらバカ儲かるよ、マジで。でも反動体業界はぐい。今儲かってる。
[00:26:57.159] 本当に仕事でろんな業界のさ、あのところとさ、行ったりするけど反動体業界やばい。みんな優しい。みんな優しいねん。反動体業界で働いてる人って余裕があるから。なん
[00:27:14.720] 打ち合わせとかでも全然なんかその険悪なムードにならない。優しい。みんな金あるから。あと医療業界ね。うん。あと医療業界の人たちはマジで優しい。
[00:27:25.440] あの製造でみんなカリカリ。みんなカリカリしてる
[00:27:29.720] の型だね。笑。
[00:27:31.360] いや、マジでそうなんだよ。本当に。これね、今の仕事して誰?
[00:27:35.600] 笑笑
[00:27:36.520] なんだこいつ?怪しい。おら、とっとと歩け。製造業の人はね、わ
[00:27:42.919] かる。
[00:27:43.640] みんなカリカリしてる。本当に。ちょ、ちょっと待ってください。ここに来れば願いは叶うのではないんですか?
[00:27:50.720] 農期は命より大事。月
[00:27:53.760] 80時間残業。
[00:27:54.960] 頑張ります。え、お金がもらえるって話はどうなったんですか?
[00:28:00.120] 黙れ。ハーゴン教団の信者ならば疑問を持つな。曰岩
[00:28:05.799] K
[00:28:05.960] さんどうもこんばんは。やだ。楽園に連れてくれる連れてってくれるって言うから来たのに
[00:28:12.399] 安い
[00:28:12.919] 意識前にあんまりダだをこねるようなら一ここでやっちまうか。
[00:28:15.960] 怒られてたけど寿で働いてた時全然怒られなかった。
[00:28:20.080] やっぱりね人間のね心を豊するのはトなんですよね。
[00:28:23.919] やっぱり。おやべ。
[00:28:28.279] MPないよ、俺。やばい。
[00:28:30.279] MPないよ。やめなさい。
[00:28:31.919] 新父様はどういうつもり?
[00:28:34.720] なんだお前らは?本物の神父様とはとても思えない口ぶりですね。へ、人間のくせにいい感してるな。
[00:28:44.000] お、誰?誰やねん?誰?こいつ誰や?直に角だけ生やしやがって。ホ音ウィザード。
[00:28:56.080] わしじゃよ。
[00:28:57.559] わしじゃよつって。全然知らないやつ出てくる。え、誰?いっぱいいる。いっぱいいた。
[00:29:07.399] MPね。
[00:29:10.919] 頑張れそう。
[00:29:11.799] ま、行けるべ。
[00:29:16.159] ああ、いいね。グループなの嬉しいわ。
[00:29:20.159] ま、どうにかなんだろ。多分
[00:29:22.760] どうにかなるよ。
[00:29:32.360] まあまあまあ、なんか魔力の風とかでほら、
[00:29:34.799] 魔力の風とかでほら、MP
[00:29:36.200] 回復してホラー。
[00:29:38.279] え、ちょっとMPねやばい。
[00:29:41.799] MB
[00:29:42.159] マジでいや、もう回復してくればよかった。勝てるな、これ。ええ、たる。何これ?
[00:29:57.120] 頑張れそう。行け。
[00:30:01.600] あ、これちょっと回復しきたよかったな、これな。
[00:30:04.799] さすがに
[00:30:08.519] さすがに回復してくるべきだった。
[00:30:10.480] いや、そら、そんな、そ、どうするこれ?ちょっと待てよ。ああ、ボスの前に。ああ、大声使うべきだった。絶対まずいよ、これ。
[00:30:36.640] MP全然ねえし。
[00:30:40.960] これまずいっすね。なんか魔力の風ってあった。
[00:30:54.039] 好きにはさせない
[00:30:55.679] ねえ。魔法もできないんだ。は
[00:31:06.240] 1
[00:31:06.399] 回ごめるって制度がよくわか
[00:31:09.159] 一旦負けていいかごめん。一旦負けていい。一旦負けるにました仕事に戻り。
[00:31:16.679] あ、お疲れちゃん。そう、バッチ実装しましたよ。
[00:31:22.480] あのバッチあのあれしましたよ。
[00:31:24.480] バッチの一掃し一進しました。大声で天員やつゴミ。多分ため口だろうな。店員に店員にため口だろうな。注文する時ちょうだいっていうタイプだろうな。あ、なちょうだい。生ちょうだい。
[00:31:44.360] 怖い。それ
[00:31:50.880] 居酒屋の店員に王兵なタイプね。
[00:31:53.440] もうこんなこんなあかんで覚えとけよ。
[00:31:57.720] まだここのビールまだ
[00:32:00.799] よりはまし茶ゲーがなんか物してます。笑
[00:32:05.000] ね、ここのここのビールまだ頼んだよねえ。オートセーブ一旦一旦ちょっと一旦などこセーブからってまずどこ?あ、こっからか。いいじゃん。
[00:32:22.960] えっと、じゃあ、え、早速、あ、やべ、
[00:32:25.480] MPねえと呼べねえのか。えー、道具で
[00:32:29.240] 一旦ちょっとMP回復するか。
[00:32:35.440] え、魔法の精水。仲間全員のM30回復。
[00:32:40.440] え、めっちゃ強くね?何それ?
[00:32:43.639] 何?魔法の精水って仲間全員な。めっちゃ
[00:32:46.519] 強いじゃん。あれ、そんな効果だったっけ
[00:32:49.200] ?
[00:32:53.080] 大声。レ、大声を開けた。多分こういう
[00:32:58.559] やつが多分電車の中とかにいるやつだろう
[00:33:01.360] な。電車の中にたまにいるおじさんとかだ
[00:33:03.880] よね。なんと神の新父が現れた。いやもう
[00:33:07.039] じゃえなのこれ。いや、新父じゃねえよ。
[00:33:10.799] え、ランダムなの?これ誰を呼ぶかって?誰を呼ぶかって、これ何あれできないの?
[00:33:16.720] 水の紋章を手に入れるとアイテムの効果が全員になるって書いてあったでしょうか?
[00:33:21.600] いや、見てない、見てない。いや、もう道具屋じゃないって。え、ちょっと待って。ちょ待って。え、もうこれランダムなのかよ、これ。
[00:33:35.600] じゃあもう魔法の潜水で回復した方が良く
[00:33:37.679] ねえか?
[00:33:43.480] ガバガバ。およしよし。来た。
[00:33:46.960] 高ミラコスタ
[00:33:48.799] やん。
[00:33:53.720] ずる
[00:33:54.559] ずるじゃないよ。
[00:33:55.799] ずルじゃないよ。こういうゲームだから。そういうこと。そういうこと。こういうことだから。もう負けないぜ。
[00:34:03.000] これは申し訳ないけど。申し訳ないけど。もう見たねん。これぶっ飛ばせ。行くぜ。
[00:34:12.520] 宿屋が来るってどうやってくるんだろうね。
[00:34:16.480] 布団持ってくんじゃねえんけど。さて、
[00:34:19.079] てくれんのかな。
[00:34:20.079] さて、しょうがねえな。じゃあ命令させてみせろ。
[00:34:28.079] えー、爆裂剣とかやった方がいいんかな?
[00:34:34.839] ドラゴンキリ爆。こいつなんだろう?
[00:34:36.839] こいつ飛び膝蹴り。うーん、
[00:34:42.000] どうでしょうね、これね。ようやく本編か
[00:34:45.280] 。
[00:34:45.399] ようやく本編です。あーちゃんこんばんは
[00:34:46.800] 。
[00:34:49.919] 爆裂剣でもやっとく。どうせ1匹倒しても
[00:34:51.960] さ、これじわじわとみんなまとめて削っ
[00:34:54.000] てった方がいいタイプだよね。
[00:34:55.599] バグレスやってくわ。どうせあれだから、あの、生き返らせられちゃうから。
[00:34:59.920] 1匹狙っても。
[00:35:01.079] チまぷんちゃ
[00:35:02.040] そこちゃんな。爆裂剣チまぷんチアニメ。えー、何やろっかな?スクルト。スクルト入れとこっかなね。スクルト入れとこう。で、もうワンパスクルト
[00:35:15.640] 声出してこう。
[00:35:17.760] いくらやってもいいんだよ。スクルトってのは
[00:35:21.760] 1
[00:35:21.920] 人じゃないわ。
[00:35:23.240] オけろ。おら。うお。強え。
[00:35:29.240] あ、マジックバリア入れよう。マジックバリア。
[00:35:31.520] マジックバリアも入れます。気づいたら寝ちゃってたわ。
[00:35:34.440] 昨日気づいたら寝ちゃってた。眠いって言ってたもんな。えー、爆裂拳からのマジックバリアがね、
[00:35:43.760] 1
[00:35:43.920] 人しか行けないのがちょっとしんどいんすよ、これ。えー、ルカに、ルカナンは覚えてない。うわあ。
[00:35:52.359] ルカなん覚えてないんだよ。じゃも麻どでまあベホマやってやるかここにな。いいね。
[00:36:04.920] ごめん。1人じゃないわ。
[00:36:07.040] まとめて倒してかないとな。
[00:36:09.560] オッオ。お、よし。オケオ。
[00:36:11.240] もうほら、これ結ど、え、どうすんの?これ
[00:36:15.880] こんなんされたらもうま、でもこうやってまとめて、ま、他のやつらもダメージを与えていくということやんな。で、マラ入れて麻痺ド入れちゃおっかなね。ヒアド入れちゃおう。あと全体攻撃な。あ、ベギラゴンでもいいよ。
[00:36:40.880] 見っかりいい。
[00:36:44.079] 無理しないで。
[00:36:45.680] ナイス、ナイス、ナイス、ナイス、ナイス。
[00:36:50.000] お、いい、いい、いいよ、いいよ。で、爆裂剣。え、もう爆裂剣先に入れてよ。
[00:36:56.800] よしよしよし。これ行けぞ、行けぞ。まままままままままあまあまあまあまあ。よしよしよしよ
[00:37:05.440] よしよしよしよしよしよしよしよしよしよしよし。
[00:37:08.920] きっかり
[00:37:11.760] ない。
[00:37:12.920] 暑いですよ。
[00:37:15.319] い、おしよし。勝った。勝った。勝った。危ねえ。
[00:37:18.119] 危ねえ。危なくねる。
[00:37:20.920] はい。お疲れちゃん。白かけますね。よしよしよし。うん。
[00:37:31.720] パチパチ。
[00:37:32.359] え、MPがあればこんなもんや。
[00:37:33.839] パチパチ。
[00:37:34.760] MPがある。お、HP伸びるね。
[00:37:36.240] グーぐ。
[00:37:37.240] うわお。すごい
[00:37:40.319] すごいじゃん。ギデギデとざりか。
[00:37:43.800] パチパチパチパチパチ。
[00:37:48.480] 白菜かけますね。
[00:37:50.079] 白菜かけますね。正しかったのはラゴさんの方ね。
[00:37:54.440] Cさん15
[00:37:55.359] 回連続記録に達成。どうもこんばんは。ありがとうございます。えっと
[00:38:04.280] 15回ってことは1回見逃してるな。
[00:38:07.720] 1
[00:38:07.880] 回見逃してますわな。助けてくれてありがとう。あの神父さんずっと優しかったのに。急に怖くなってまさか魔物だったなんて。でも変だと思ったんだよな。悪いことしたからお金あげるとか言ってたし。何それ?そんなこと言われたの?ああ、でも俺悪いことなんてできないってことあったらこの塔に連れてこられて本当に危なかった。あいつらにまた見つかる前に私たちは先に行きますね。良かったよかった。
[00:38:34.960] 誰もじじのこと助けてやんねんかよって言おうと思ったら
[00:38:38.359] これなんかおかしい気がする。連続視長な
