[00:00:29.720] ສ
[00:08:26.080] 生きてよかった。
[00:08:27.159] おいおいおい。
[00:08:28.240] いただきます。
[00:08:29.800] スケベがフード入れちゃおうかな。じゃあフード入れちゃおうかな。じゃあ
[00:08:36.000] フードでも入れちゃおうかな。
[00:08:39.640] 焼き築は入れちゃおう。焼きは入れちゃおう。あ、入れちゃうってそういう意味じゃないですよ。
[00:08:44.640] 私結構入れちゃうってそういう意味。
[00:08:46.920] 石を聞いてあげます。
[00:08:48.360] はいはいはいはい。
[00:08:50.399] あーんてする。
[00:08:51.839] やりたいやりたい
[00:08:53.279] やりたいですか?
[00:08:54.040] やれたいや。お前そのために
[00:08:55.959] 2000
[00:08:56.320] お前こんなお前やらなかったらダメだろ。
[00:08:59.040] 2500円もすんだぞ。1
[00:08:59.959] 本。これあんてしてあげる。ふ。
[00:09:02.680] てかこれおかしいけどな。好きなんですね。
[00:09:04.760] 2500円払ってさ。
[00:09:06.920] ちワ1
[00:09:07.399] 本買ってさ、なんで食べさせてあげ?俺が食えない。ま、でも、ま、それを見たいというね。ペル、こんばんは。お疲れちゃん。
[00:09:15.440] やっていく。やっていく。なんで下、なんで下出してんだよ。
[00:09:19.376] [笑い]
[00:09:23.440] あら、やだ
[00:09:24.760] な。ちょっとあれむず。
[00:09:26.079] 下ほんま?
[00:09:27.480] え、むずくない?ちょっと待って。
[00:09:30.360] え、あ、た、え、お、当たり判定おかしいけどな。
[00:09:34.200] ああ、
[00:09:35.000] 目がってる。しょぼん。な
[00:09:38.200] んで下出して待ってんだ?昨日な誰だっけな。昨日の誰かのコメントめっちゃキモいなったんだよな。めっちゃキモいなったんだよな。昨日のなんだっけ?あの
[00:09:49.240] ごち様です。
[00:09:50.279] だっけ?あ、可愛い。あの下なんだっけ?下出して下出してお迎えしてて偉らいみたいな。
[00:09:58.021] [笑い]
[00:09:59.480] あれガチかったの誰だか忘れたけど。
[00:10:02.160] ペペロンだっけ?誰か言ってたんだよな。下を出してお迎えしてて偉い。
[00:10:07.519] 迎えできてえね。[笑い]
[00:10:09.640] 気持ち悪い。気持ち悪い。たくお疲れ。あたお疲れ。下でお迎えできてえ。
[00:10:18.880] 怪っていうより開分な。あの、あの
[00:10:22.200] 怪物の方の開分。
[00:10:24.040] LINE超えだね。[笑い]
[00:10:26.320] LINE超えだね。
[00:10:27.240] 気持ち悪いコメントですか?[音楽]
[00:10:29.000] 気持ち悪い。
[00:10:30.772] [笑い]かこ分ね。
[00:10:33.160] 気になる。
[00:10:33.880] かこ分
[00:10:35.320] でもさすがにちょっと無理だよね。
[00:10:38.120] 何よ。この子も可愛いよね。でもね、メインこの子じゃないんですよ、今日は。いや、気をつけなくていいよ。
[00:10:43.040] 気をつけなくていい。え、エリサちゃん何が気になってるの?
[00:10:45.639] 映画です。今見たいけど見たくない映画が劇場で上映されてて。
[00:10:51.120] なんだ見たいけど見たくない映画って
[00:10:53.760] ホラー映画なんです。
[00:10:55.720] とある廃行場に監禁された男女
[00:10:58.279] 8
[00:10:58.480] 名は謎のデスゲームに強制的に参加さられるっていうやつ。
[00:10:58.937] [笑い]
[00:11:02.959] そうそう。ほら、そうはホラー映画じゃないよ。あれはホラーではないよ。そうそうもなおもろいの
[00:11:10.399] 2マだからな。そうおもろいのは
[00:11:13.560] 2
[00:11:13.760] 丸ですから。そうって分かるみたい。映画ジグソのあのそうね。あれおもろいグいやつめっちゃ黒いんだけど
[00:11:20.440] 2
[00:11:20.639] までだよな。おもろいの。あ、でも3以降
[00:11:22.600] はもう、もうなんか、もうなんか
[00:11:24.920] グロテスクな人の死に方で人集めてるよう
[00:11:27.120] なもんだからな。2まではストーリーも
[00:11:29.839] めっちゃおもろいのよ。ドで返しとかって
[00:11:32.360] もうそれ以はもうだせ、あの、打速なんで
[00:11:34.360] 。はい。えー、怖いの大丈夫なの?そう
[00:11:38.079] いうの好き。デスゲームに参加しょ。デス
[00:11:40.639] ゲームに参加し[咳払い]てみたい。
[00:11:42.160] やる気ある人ほど[音楽]最初に離脱する
[00:11:44.680] ん[笑い]ですよね。あな5
[00:11:47.880] 分で退になっちゃいますよ。
[00:11:49.399] 前回のあのマイクラコラボけちゃんとのマイクラコラボの時にさ、
[00:11:53.320] 俺は行くぜみたいな感じで
[00:11:54.839] 5
[00:11:55.000] 分で俺クリーパーで爆破して退場になってたからな。そう、
[00:11:58.839] 3
[00:11:59.120] 以降はただのね、そう、ただのスプラッタムービーになっちゃったんだよな。
[00:12:02.600] 2
[00:12:02.880] まではなんかその不気味さというかね。うん。少々感みたいのあったんだけど、もうそれ以降はもう、もう、もう、もうま、
[00:12:11.560] うち全部DVDあるけど。6ですけど7
[00:12:14.639] か7までDVDあるけど全部
[00:12:16.440] だから
[00:12:17.519] 見たいけど
[00:12:18.440] 見た方がいい2
[00:12:19.120] まではめっちゃ面白いマジで
[00:12:20.920] 家で配信とかで見るなら部屋も明るくできるし好きな時に一時停止できるから大丈夫なんですけど
[00:12:28.160] ててあじゃあオレン俺ち来てさ俺オレンち
[00:12:30.199] DVDあるけど一緒に見る俺ちあの
[00:12:33.279] 1人暮らしだしいいよDVD
[00:12:34.760] あるしうんどうち来て一緒にお酒なんか飲みながら見る
[00:12:39.199] 映画館だと逃げ場がないですからね
[00:12:41.519] 映画の話。
[00:12:42.800] 映画の話。そう、そう。コメちゃんこんばんは。あのね、そう、そうってあるじゃん。グロ、グロ映画のそう。なんかこの子がなんかその、そう見たいんだけど怖くて見れない。そうとは言ってないんだけどね。あの、そう見たねがグくて見れないとか言ってたけど、まあ面白いの
[00:12:54.680] 2までだなと思って。そうはね、面白いの
[00:12:56.839] 2
[00:12:57.040] までだね。なら一緒に見に行こうよ。怖かったら手を繋いであげるし。
[00:12:57.493] [音楽]
[00:13:01.720] あ、私の悪力なめないでください。
[00:13:05.199] あなたの手なんて簡単に握りつぶしちゃいますよ。
[00:13:07.920] なんなお前舐めんなよお前。
[00:13:10.320] 俺の手。お、俺の見ろ、このクリームパンみたいな手。握りつせるか?
[00:13:15.760] それでもいいの?
[00:13:17.959] え、
[00:13:18.360] いいなら、
[00:13:19.000] え、
[00:13:20.240] 一緒に見てあげてもいいよ。
[00:13:22.040] え、マジで?え、行けんの?
[00:13:23.519] あ、お酒がもうないですか?
[00:13:25.680] いや、いや、いや、いや。
[00:13:26.680] どうです?[音楽]
[00:13:27.440] このタイミングは絶対延長するしかない。
[00:13:29.519] ありがとうございます。
[00:13:30.120] ええ、なんかどうしよう。この子も可いいな。
[00:13:32.720] 私と一緒に過ごせてよかったですね。
[00:13:34.680] この子も可愛くないすか?
[00:13:36.480] どれにしますか?
[00:13:39.040] もう安酒しか入れたけないけど。このゴ
[00:13:41.040] 私も頂いていい。
[00:13:42.120] 本命じゃないから。本命じゃないから。ごめん。安酒しか入れてあげらんないけど。ごめんね。
[00:13:46.120] も見ると大がちょ続でちゃうよ。
[00:13:50.399] そうなんだよ。また今さ、のさ、の本編が
[00:13:55.199] 7ぐらいまであって8
[00:13:56.920] まであったんだっけ?で、その後なんかそのジグ装になったよね、今度ね。
[00:14:00.374] [音楽]
[00:14:00.680] いや、もう、もう、もう、もう、もうプリズムブレイクと一緒でさ。酒入れるのですか?
[00:14:04.600] 本命にはお前あれだよ。ドンペリ入れちゃうよ、俺。ガツンと
[00:14:08.360] 5万1パ、1発なぜたら26
[00:14:10.639] 万もあるから。今日本命いねえからよ。
[00:14:14.839] 新キャラの中ではがいい。
[00:14:17.560] もうほぼほぼじゃかなんとか。
[00:14:20.759] プリズムブレイクまだプリズムブレイクまだ新作んのかよ。もういいよ。ブリズムレイク。あれ、もう引き延ばしえぐいから。
[00:14:21.989] [笑い]
[00:14:29.320] 引き延ばしえぐいよ。あれもシーズン
[00:14:31.160] 2
[00:14:31.399] までやな。面白いのな。新から新キャラの中ではこの子がいい。まあ、確かにこの子可愛いよな。この子でも良かったよね。この子でも良かったよね。
[00:14:39.120] 1
[00:14:39.279] つ言い忘れてました。
[00:14:40.920] うん。
[00:14:41.639] 私
[00:14:42.519] ホラー映画見てる時しまった。
[00:14:46.519] あのね、あのめっちゃおもろいのはプリズンブレイクのうん。
[00:14:50.600] 1作目1回脱獄するじゃん。あそこ脱獄し
[00:14:53.839] て、脱獄した後にさ、あの、敵だった刑事
[00:14:57.959] とかも仲間になって一緒に逃げたりするや
[00:14:59.759] ん。そこまでおもろいのよ。もう3以降は
[00:15:02.720] もうええってなんかもうシーズン新しく
[00:15:05.320] なるたびに組織がまた新たな組織がなん
[00:15:10.160] って毎回出てくるけど組織って何
[00:15:15.045] [笑い]
[00:15:17.600] シーズンの最後倒したせ倒して
[00:15:20.320] そうもうAPてなんのよ。
[00:15:22.399] もういいよって。また新たな組織が出てきたよってぎゃとかボばっと。
[00:15:22.905] [笑い]
[00:15:30.399] 最近の冒頭あすがグ装のためにあって犯人たちに復讐するって見て。あんな硬活な人が騙されるの?
[00:15:39.319] 何?何?最近の冒がジグ装がえが治療の詐欺に合うして
[00:15:44.520] [笑い]
[00:15:45.199] らしいです。
[00:15:45.720] もうその時点で頭おかそんなやつじゃねえだろ。
[00:15:49.319] あんなさ、デスゲーム用意にさ、あの罠とか全部作れるやつがさ、詐欺に合うわけないやん。てか何?あのジグ装を詐欺にかけるやつってなんだそれ?
[00:16:01.800] だからホラー映画を一緒に見に行ったらあなたが恥ずかしい思いをしちゃうかも。
[00:16:07.040] じゃ、おいで。うちおいで。あ、じゃあ。あ、じゃあさ、うちにおいでよ。
[00:16:10.399] じゃあうちにおいでよ。うちだったらいくら叫んでもいいしさ。うん。うん。うちだったらほらあの疲れたらあのベッドとかで休めるし。うん。うん。
[00:16:17.639] うちに来るの?どう?あの、お酒飲み
[00:16:19.600] ながら。うん。好きなタイミングであの、
[00:16:21.160] ほら、あのね、あの、1から6まで全部見
[00:16:23.839] てさ。うん。止まってっていいし。全然。
[00:16:25.639] うん。うちおいでよ。うん。うちおいで。
[00:16:28.440] 真の犯人がいるの?真の犯人。ガンダム
[00:16:30.839] 実写版も収録予定。ガンダム実写版
[00:16:34.956] [笑い]絶対こける。こけるあの気がする
[00:16:38.480] わ。やられちじゃないかな、その。やられ
[00:16:40.319] ちば。やられちば。俺よくネタわかって
[00:16:42.360] ないけど。えー、一緒になって避けるから
[00:16:44.800] 問題ないよ
[00:16:47.120] 。あなたも叫んじゃうんだ。でも
[00:16:50.759] 2
[00:16:50.920] 人一緒に恥ずかしいなら大丈夫だね。だから家で見る時は枕とかぬぐるみが必須です。
[00:16:58.480] うん。うん。
[00:16:59.319] 叫ぶ時は枕に口を押し付けて叫ぶの。そうじゃないと近所迷惑になっちゃいますからね。
[00:17:05.839] うん。まあ、俺昨日夜中の夜中の
[00:17:08.199] 3
[00:17:08.360] 時ぐらいまでおっぱいとか叫んでたけどね。うん。大丈夫だよ。だからうちだったら大丈夫だよ。うちだったら
[00:17:14.520] うん。大好き。
[00:17:16.760] 何が俺が?
[00:17:17.959] あ、もうドリンクがなくなってますね。何か用意します?
[00:17:19.496] [音楽]
[00:17:22.160] 今何の大好きだった?今。今何の大好きだった?でもそこまでしてみるんだからホラー映画時代は大好きなんだ。あ、そういうことか。
[00:17:30.960] うん。大好き。
[00:17:33.440] いいね、これ。こうやって聞けるんや。ここだけ切り取ってさ、ここだけ切り取って
[00:17:38.280] LINEの着信音にしたいな。
[00:17:39.600] うん。大好き。
[00:17:41.960] ここだけ切り取ってLINE
[00:17:43.320] の着信音にしよう。
[00:17:44.559] うん。
[00:17:46.280] 大好き。
[00:17:46.799] 怖すぎ。
[00:17:47.679] 仕事中になったら終わるやつだよ。
[00:17:49.840] ドンペリ入れるしかないか。
[00:17:51.559] ドンペリ入れて。まあ、この子本命じゃないんだけどな。痛いんだ。
[00:17:57.520] 本命じゃないんだけどな。でもこの子可愛いんだよな。
[00:18:03.760] え、ね、なんかさ、え、え、何これ?何これ?え、
[00:18:07.640] ち巻てiPhoneだっけ?
[00:18:09.520] ちまきiPhoneだよ。
[00:18:10.360] iPhoneこれ
[00:18:12.240] この声で嫌なりね。ないようだったらへこむね。
[00:18:15.827] [笑い]
[00:18:18.039] ねえ、これ何?カラオケ。なんか歌のマークついてるよ。歌のマークついてるけど。これ何?ブブブくりかなり何これ?いや、
[00:18:26.120] 4万か。でも
[00:18:28.280] 26万あるしな。いっか。
[00:18:30.600] ありがとう。嬉しいです。カラオケあるの?これってきますね。
[00:18:34.120] もうドリームクラブやん、これ。ほぼドリクラやん。
[00:18:40.440] どこ見てるんですか?
[00:18:41.520] え?何?何?何が?何が何が何が?見てないけど。は、何がは?その棚見ては?どんな酒あるかなって見てただけだし。は、
[00:18:43.992] [音楽]
[00:18:51.880] いただきます。
[00:18:52.799] なんなんお前?
[00:18:54.200] ケツ、
[00:18:55.120] ケツなんか見てねえよ。なんな、なんちゃには映ってしまった。
[00:19:02.760] ホラー映画好きな。しかも歌ってくれないや。
[00:19:05.159] 見た後は数日間大変なんだよ。
[00:19:07.360] え、歌ってくれないんやん。
[00:19:08.520] え、歌ってくれるんじゃなかったんかい?
[00:19:09.840] 怖いのを思い出しちゃって実生活にも障が出ちゃう。
[00:19:13.400] え、歌ってくれるんじゃなかったの?
[00:19:16.080] そう、シャワーのお湯が急に血に変わったらどうしようとかトイレに座った瞬間やり出してきケツ見ちゃったからケツ見て怒られたからだめ。キャンセルされた。トイレに座った人中からやりが怖。
[00:19:32.919] しばらくは何をするにもビクビクしちゃうんですよ。
[00:19:36.039] ま、分かる。
[00:19:36.400] 俺も怖いの見た後だと廊下の電気っぱ寝るからな。怖くなったら誰かに電話せれば実はいつもルナに電話してます。
[00:19:39.013] [音楽]
[00:19:48.760] 俺には[音楽]
[00:19:49.400] あの子ホラーとか全然平気だからでもたまに意地悪で怖がらせてきてむかつくんですよね。こういう時恋人と同棲とかしてたらきっと怖くないんだろうな。
[00:20:02.593] [笑い]
[00:20:04.640] どうせえな。
[00:20:06.320] 一緒の布団でぴったしくら。お風呂も一緒に入ればな。
[00:20:10.840] あら、あらあらあらあらあらあら。ね、お風呂一緒に入ればね、あのお湯の量も半分で済むから節約だねっつって。おいおい。
[00:20:12.418] [叫び声]
[00:20:18.960] 何も言ってませんけど。
[00:20:20.480] おは仕事だな。その耳じゃないですか。困ったものですね。
[00:20:23.554] [笑い]
[00:20:25.840] もう情緒が不安定になってきた。俺こんなことこ今ここで言ってるけど俺明日よか考えて明日仕事だなと思ってなんやだなと思って情緒不安てなった。
[00:20:34.039] でタイムやめて。[笑い]
[00:20:36.919] 大賢者タイム。
[00:20:39.039] 美しいシャンパンを飲んだらなんだか歌いたくなってきちゃ。来た来た来た。
[00:20:43.919] 1
[00:20:44.080] 曲歌ってもいいですか?
[00:20:45.559] いいよ。
[00:20:46.080] 聞いてもらいたい曲があるんです。
[00:20:47.880] ちょっと待って。この子に乗り換えるのを悪くまでもえ、カラオケなんで
[00:20:53.000] 2000円。
[00:20:53.520] お前、お前が歌いたくて歌うのになんで俺が
[00:20:55.600] 2000
[00:20:55.799] 円払わなかんねん。お前が払えや。
[00:20:57.880] 2000円。
[00:20:59.440] ありがとう。いいけど。
[00:21:00.559] 早速こっちに来てください。はい。
[00:21:07.360] そういうとこなんかマジでなんかあのマジ
[00:21:10.120] で金まいかえ、タイミングよくボタンを
[00:21:13.360] 押してキャストのえ歌を盛り上げましょう
[00:21:15.600] 。はい。気持ちよく歌えるかどうかは
[00:21:17.640] あなた次第です。え、何ボタンなの?
[00:21:21.799] ドラムスティック乙女403どういうこと
[00:21:24.039] ?どこ?
[00:21:27.320] あ、すいことね。
[00:21:29.960] 俺リズムゲ大事よ。
[00:21:38.400] え、これはどっちなの?あ、こ、あ、あ、
[00:21:40.520] ど、待って。ボタンがわかんねえ。
[00:21:45.360] どこがボタン?何ボタンなの?これ、それ
[00:21:48.080] は、それは何ボタンなんだよ。それは何
[00:21:50.840] ボタンなの?これね、ちょっと待てよ。
[00:21:53.039] これ、あの、そっちは何ボタン?この
[00:21:55.640] スティックは。あ、え、ちょっと待って。
[00:22:00.200] あ、Xって書いてあるやん。
[00:22:16.640] うくうくね愛
[00:22:47.080] こんばんは。あ、こんばんは。あい、あい、これうまくないでもうまいやん。
[00:22:48.310] [叫び声]
[00:23:00.640] さすがもバンドマンランディこんばんは。あ、使った。うまいやろ。はい。
[00:23:04.685] [鼻息]
[00:23:09.270] [拍手]
[00:23:09.925] [大歓声]
[00:23:11.919] ちょっとすごすぎ
[00:23:13.320] でしょ。
[00:23:13.880] さすがです。
[00:23:14.799] おいおいおい。なめんなよ。しかも初見だからね。これすごくない?やっぱりやっぱりなあ。やっぱリズムか。やっぱね、リズム関係やらせちゃったらちょっとも俺右に出るものないからな。
[00:23:28.799] いい運動になったかも。はい、どうも。
[00:23:31.000] 体を動かすって気持ちいいですね。
[00:23:33.600] どうも。
[00:23:34.640] それはない。
[00:23:35.600] なんでだよ。右に高か。びっくりした。びっくりした。ま、言うて元バンドマンですし、
[00:23:45.200] DJもやってますし、
[00:23:46.520] いいですよ。
[00:23:48.080] そんなのあなたの自由ですからね。
[00:23:50.559] はい。今日はごち様。またね。そうか。
[00:23:54.640] この子も可愛いなあ。
[00:23:57.240] この子も可愛いっすな。
[00:24:01.279] 今日は出勤してんのか?今日は出勤してん
[00:24:03.679] のかな?
[00:24:15.200] いらっしゃい。あ、たたた。いやあ、
[00:24:18.360] まあまあまあまあまあまこっちもやっぱい
[00:24:20.360] す。こっちもやっぱいんすよ。何を飲むの
[00:24:23.039] 飲みますよ、今日は。
[00:24:24.600] え、でもさ、あ、ない。あれないじゃん。ないじゃない。ないこともあるとん。じゃあもうつもの言っとく。
[00:24:36.960] 私も一緒していいかしら。
[00:24:38.720] 誰長おっぱ長。びっくりしたわ。[笑い]
[00:24:43.440] 長くない選択よ。
[00:24:46.840] ほう。わあ、もうもうもうもうもうもうもうもうもうほぼほぼ肌。
[00:24:54.240] ほぼや肌派だ。えー、くんちゃん、今恋人はいないって言ってたけど、今までどんな恋人がいたの?
[00:25:03.840] 異世界出身の毛高かき女騎士かしら?
[00:25:07.000] 何それ?
[00:25:08.120] 口癖はく殺せ。
[00:25:11.279] くっこ
[00:25:12.080] な。
[00:25:13.760] え、別に答えなければ答えたくなければ無理聞かないって。
[00:25:18.760] 教えてあげてもいいけど後悔し。
[00:25:22.039] ああ、俺、俺こういうのあんま聞きたくないタイプだわ。自分の彼女の元彼の話とかあんま聞きたくないタイプなんだけど俺。聞きたくないなあ。
[00:25:24.857] [笑い]
[00:25:33.440] 例えば
[00:25:34.120] きつい。
[00:25:34.880] きついよね。
[00:25:35.720] 過去の恋人は
[00:25:36.799] きついよね。
[00:25:37.919] とんでもなく変わった趣味を持った人。あ、きつい、きつい、きつい、きつい、きつい、きつい、きつい。俺そ、あんま聞きたくないタイプ。
[00:25:41.232] [音楽]
[00:25:43.440] 私はその人に
[00:25:45.080] でも聞いちゃ、
[00:25:45.480] 身も心もしてた。
[00:25:47.127] [笑い]
[00:25:47.600] でも聞いちゃう。1
[00:25:49.039] から
[00:25:49.600] わかる。
[00:25:50.120] でもきで色々教育されてたとしたら
[00:25:53.640] 聞きたくないけどなんか知っておきたいみたいな
[00:25:58.917] [笑い]
[00:25:59.760] あなたは耐えられるかしら。
[00:26:01.440] いやあやだけどなあ。やだけ再教育するから問題ない。そんなことそんなこと言えねえな。過去のことなんて全然信じないよ。
[00:26:08.088] [笑い]
[00:26:15.520] 過去にどんな経験をしていようと
[00:26:18.840] 今の私を見てくれるのかしら。
[00:26:20.919] まあなでもお前なんか結構闇深そうだからな。
[00:26:24.360] 簡単なことじゃないわよ。
[00:26:26.039] 闇深そうだよこいつ
[00:26:28.240] 嬉しい。
[00:26:29.240] 結構闇深いじゃん。いないわ。過去に恋人がいたことはないの。
[00:26:29.703] [音楽]
[00:26:33.960] 絶対嘘やん。絶対嘘だろ。そのおっぱいでそれは無理がありますって。そのおっぱいでそんなのはちょっとちょっと無理があるよ。
[00:26:46.320] もしかして理想がすごく高いとかくちゃんの理想の恋人ってどんな感じなの?
[00:26:49.840] すごく不潔で
[00:26:51.679] 性格も最悪で暴力的。私のことを二人も尊重してくれない人かしらね。
[00:27:00.120] お前はないわ。こりこんばんは。
[00:27:02.440] 完璧やん。
[00:27:04.080] 完璧俺やん。なんやったら俺やん。
[00:27:08.348] [鼻息]
[00:27:09.799] ごめんなさい。適当に答えちゃった。
[00:27:13.720] 理想の恋人のことなんて考えたこともなかったからでも恋愛の恐ろしいところはそんな人のことさえ
[00:27:23.320] いやまあなまあなあのダメンズメーカーって言ますからね。いや結局女の子もねダメな男の方がモテすんだよな。クズみていなパチンカスみたいなさ。あのごめんね。
[00:27:34.549] [笑い]
[00:27:38.279] のうちのリスナーにいたらパチンカスが
[00:27:40.039] それ[笑い]
[00:27:41.760] 結局そういうやつの方がモてたりするんだよね。
[00:27:45.919] たまたま心の隙間になった。
[00:27:48.600] ほんまになほんまに
[00:27:50.120] 孤独な夜に耐えられなくなって誰でもいて思う。
[00:27:54.559] いや、何なんだろうねあれ。え、ちょ、女の子に聞きたいわ。なんで普通に仕事しててね。
[00:28:02.039] 仕事しててさ、あの生活も取れなりに自立してて、なんで俺が持てないわけ?こんな有料物件ある?なんでなんで?よし、な、何なんだろうね。
[00:28:16.469] [笑い]
[00:28:17.440] 始ま
[00:28:17.799] 結局それはでもいい人りで終わっちゃうんですよ。
[00:28:20.960] に歯まれていく。
[00:28:22.480] 髪の毛
[00:28:23.480] 引かれるもん。素敵な。
[00:28:25.000] わからんわな。わからんわな。
[00:28:26.960] とても恐ろしいわ。
[00:28:28.440] で、めっちゃ可愛い子とかが、めっちゃいい子がとかがさ、あの、いい、いい、この子、あの、いい子だなっていう効果さ、もうクズみていなと付き合ってるわけよ。おい、パチンコ貸してっていうような。なんな、なん
[00:28:41.080] それな、な、
[00:28:42.240] 何なんだろうな。な、何なんだろうな。つまりぴょんちゃんは恋愛するのが怖いのかな。
[00:28:49.760] そうね。誰かを好きになるって勇気がいることだと思うわ。
[00:28:56.000] うん。
[00:28:57.200] 今まで私にはその勇気がなかったの。こさ、この
[00:29:02.120] になって恋愛には臆病なのよ。
[00:29:05.000] この店さ、なんかあのこの
[00:29:08.679] 3
[00:29:08.880] 人はさ、接客してるけど、その接客してない時の後ろにいる
[00:29:14.519] 3
[00:29:14.919] あのさ、なんかその余ったやつは掃除とかしてんのなんかリアルだよな。
[00:29:18.919] グラスからだけどどうする?
[00:29:22.760] な、ちょ、延長します。延長。
[00:29:25.600] まだ足りない。
[00:29:26.760] あのさ、歌聞きたい。おめの
