[00:00:45.399] 今日は茶色やな。
[00:06:46.080] 回挨拶された。
[00:06:47.080] あ、2
[00:06:47.280] 回した。ごめん。なかない。適当。あの買い直したんで。で、
[00:06:52.759] 部屋大丈夫?やったん?
[00:06:54.039] あ、自信だ。全然平気でした。なんか死んねえけど震度
[00:06:57.000] 5
[00:06:57.160] で揺れたんだけどこっち。昨日な、昨日な、振度
[00:07:00.160] 5
[00:07:00.319] で自信あって仕事中だったんだけどやべえ。
[00:07:03.120] 1番やっぱ1
[00:07:03.879] 番最初心配すんのはこの部屋なんですけど全然平気でしたね。全然平気でした。あ、ありがとうございます。
[00:07:08.280] あの、ランディは、あの、
[00:07:09.800] 1
[00:07:10.000] 番最初になんか俺のことツイートしてくれてたけど、俺のチマの
[00:07:14.919] 自信がいっぱい揺れた。
[00:07:16.360] コレクションが心配だなって言ってたけど、俺心配せえよ。まず
[00:07:21.400] まず俺の心配せいや、まずな。まずな。あらゲムさん、こんばんは。あさん、
[00:07:26.199] 自でおっぱいめっちゃ揺れた。もうおっぱい、おっぱいめっちゃ揺れたわ。うん。おっぱいめっちゃ揺れた。バルルンつってな。はい、どうも。はい。
[00:07:38.199] ということで今日はやっていきますからね
[00:07:40.759] 。久々に23、3年ぶり。何年ぶり?前回
[00:07:44.759] やった3年ぐらい前か。イベントぶりなん
[00:07:46.720] だけど。ちょっとやっていいすか?もう
[00:07:48.800] ちょっともうちょっとやっちゃっていい?
[00:07:50.159] やっちゃうよ。やっちゃう。よろし。頼ま
[00:07:52.639] 。頼ま。頼まい。
[00:07:57.240] はい。これ買い直しました。あの
[00:07:59.680] Minecraftね。なんかあの
[00:08:02.080] Minecraftの会社あるやん。なん
[00:08:03.639] かもうやん。
[00:08:04.919] もジャングなんか買収されたらしくて、なんかマイク
[00:08:07.680] rソフt
[00:08:08.039] に買収されたらなんか今までもやでやってた人は買い直してください。
[00:08:12.639] もうや
[00:08:13.280] ふざけんじゃないっていう話なんですよ。ま、買いました。
[00:08:15.440] 4000、4400円しましたけどね。
[00:08:17.919] 4400円しましたけどはい。
[00:08:20.360] あの、他ならのK
[00:08:21.720] チャンネルがイベントやるということなんで買いました。ま、と言ってもこのイベント、あの、このイベントのあの飯シップ俺なんだけどね。
[00:08:30.120] ジャバ版。ジャバv版。そう、パソコン版。
[00:08:31.960] あの、ハードコアモードって
[00:08:33.399] Jav版しかできないらしくて、で、なんか俺が
[00:08:37.880] 23
[00:08:38.159] 年前にイベント、イベントっていうかやったやん、みんなも参加してくれたやつ。あの、
[00:08:42.479] 38
[00:08:42.919] 時間ぐらい買ったやつ。あれやった後に、あ、マイクラおもれえと思って配信者でやり、
[00:08:47.560] 配信者でやりてえなと思ってZ
[00:08:49.040] もこんばんは。練習するねん。
[00:08:50.399] 今からあのやろうぜつって
[00:08:53.200] K
[00:08:53.399] チャンネルに声かけてさ、うでみんなでやらねえやれやらねえかて言って早
[00:09:00.240] 2年全く動きがないからもう
[00:09:03.480] Kチャンネルがしびれ切らせて
[00:09:05.839] あのごめんなさい僕がやってもいいですかって言うんでいいよってもうもうあなたのイベントにしてくださいっつってあの
[00:09:13.839] 2
[00:09:13.920] 年越しの企画楽しみ
[00:09:15.399] 僕はあロボさんこんばんは。よろしくね。よろしくね。下手くそだけど俺
[00:09:18.640] いいよ。
[00:09:19.000] 下手くそだけどな。リビさんもこんばんは。リビさんもこんばんは。はい。はこんばんは。お疲土曜日、え、昼
[00:09:29.360] 12時からやらせていたおいおいおい。
[00:09:33.519] そんなにくれるんですか?そんなにサブスクレ。ペロンもお疲れ。ペロンも疲れちゃ
[00:09:39.720] やりますぜ。やりますぜ。久々にニューワールド新規作成か。ちょっとやり方よくあってね。
[00:09:46.680] これさ、これハードコアにすればいいんだろ。今週の昼から最初は言うか
[00:09:54.760] やっちゃうよ。
[00:09:55.440] 死ぬにしても前のめりよ。前のめり面白く死にたない?死ぬんだったら面白くなんかしょうもない死に方だけはしたくねえな。おゲ音どう?もっとあげていいか?
[00:10:08.399] を頼む。
[00:10:09.680] 死ぬんだったら面白くない。
[00:10:12.519] 爪やとべっつり
[00:10:14.920] 爪跡とっつり。
[00:10:17.360] 練習練習サバで行きますよ。よろしくよろしく。久々も操作とか忘れてるわ。
[00:10:23.760] マイクラなくしたと聞いて。
[00:10:25.360] マイクラなくしたんだが。こめちゃんこんばんは。マイクラ前のやつなくして買い直した。始まったで。うわ、ちょっと待って。まず何からないましずまず何からすればいいんだって。まず何からすればいいん?俺
[00:10:43.440] 1人でやんの初めてなんだけど。まず
[00:10:45.720] ハートんだったっけ
[00:10:47.279] これ。あのハードコアモード。あの
[00:10:49.040] 1
[00:10:49.240] 回死んだらもうリセットってやつなんだよ。
[00:10:51.720] 1回死んだらリセットってやつな。
[00:10:54.200] 本当の最初の最初ってこんな感じな。
[00:10:56.800] そうやべえ。俺もさ、1
[00:10:57.959] 人でやんの初めてなんだけど。ひめプしかして覚ないんだけど。
[00:11:01.320] マイクラの最初がまず新鮮
[00:11:03.200] 本当だよな。
[00:11:04.399] チャクラドりゃ。茶まどぷんちゃにどりゃだよ。茶らどりゃみちゃんこんばんは。久にや。
[00:11:13.120] 偉そうやな。分かってんねんなことは言われなくてもそのつもりじゃ。これ走れなんかさ、右城さんが
[00:11:22.000] おいおい何マイクラってそんなマイクラってそんな稼げんの?
[00:11:25.959] もうある程度建築来上がってる配信しか見たこと
[00:11:29.399] マイクラって結構稼げる。もしかしてマイクラ配信者だろうかな?レトロゲーム全部捨て家にあるレトロゲーム全部捨てて。あもさんこんばんは。
[00:11:38.959] よろしい。下手だけどね。
[00:11:40.720] なんか俺経験者枠にカテゴリされてるらしいんだけど。経験者枠にカテゴリされてるんだけど俺がやったことあるの
[00:11:48.760] 実況者になるか俺がもらいに行きます。てきてあげるからリスナーになんかあのんだんだこ悪い色豚マイクラじゃなくてもサブスクしてくれそうな人たではある。
[00:12:03.600] 確ねえ色
[00:12:05.600] は出るんですか?
[00:12:07.000] 出んじゃない?あ、出る出る出るよ。さちゃんとか出るよ。
[00:12:10.360] 晴れのさちゃんとかなんかちょっとかくつくんだけどこんなもんかくつくんだけどちょっと待ってむ
[00:12:17.279] かつくんだけどえっとよくわかんねちょっとさマイクラニ
[00:12:23.880] マイクわかるやねのマイクラつい
[00:12:26.399] てるめっちゃ重い痒いの好きな人
[00:12:32.720] めっちゃ重いってのは配信が配信がめっちゃ重いこれどうやって何をどうすればいいんです
[00:12:40.079] 何をどうすればいいの?なんかなんでこんな重いの?これ。え、もしもし。
[00:12:49.600] 配信もたまに止まる。あれをあれすればいいよ。
[00:12:52.560] どうすればいいの?
[00:12:55.760] あ、
[00:12:56.000] 全部リスナーに丸投げ。
[00:12:58.959] こんなんで本当に大丈夫なんだろうか?こんなんで俺分かった。これさ、フルウィンドウにした方がいいんじゃないの?フルウィンドウじゃないとね、多分ね、重いんだよ。
[00:13:09.079] 生げ消えちゃった。
[00:13:10.399] あ、で
[00:13:13.440] 早く姫のこと助けてあげて。チま君のパソコンじゃできないんですか?
[00:13:19.760] これでどう?これでマシになるんじゃない?これでマシになったんじゃない?ウィンドウモードからフルスクリーンにした。あ、よげじゃない。よげじゃない。よげじゃない?
[00:13:34.959] いい。
[00:13:35.880] 良くなった。よなった。
[00:13:41.240] 良さそう。
[00:13:41.880] よしよしよし。いや、ウンドウはね、重いんだよね。ウンドウは重いんだよ。
[00:13:45.360] よい
[00:13:46.120] よきよきでおい、まずさ、おい、何すればいいんだ?ましたね。
[00:13:50.040] BGMこんな良いんだ。
[00:13:51.720] おい、そう、めっちゃBGMいいのよ。い
[00:13:53.440] いかどうかはこっちが決めるから静かに。よいの良い。マイクラのおかげでなんか報酬もらえた。
[00:14:00.279] 嘘。ちょっと待って。コメントが見えなくなっちゃった。コメントが見えなくなった。
[00:14:03.639] どうすればいい?コメントを今度何ね?あ、え、何?あれ?
[00:14:14.920] ということでね。あ、のとりけテスにちっさい銃を置いて良い対策して。
[00:14:24.480] あれ?何?ちょっと待って。何?これどうなってんの?ちょっと待って。
[00:14:32.800] おい、まずおい、練習とかの前にまず
[00:14:36.240] 練習とかの前にまずは
[00:14:38.639] やり方がわかんねえよ。カリックルマイクラって始めるまでこんなに難しいだった。
[00:14:44.560] こうこうだよな。
[00:14:45.360] お化け。こうでいいね。こうこうやんな。
[00:14:49.000] イベント参加すらできねえぞ。
[00:14:51.839] ちょっと待って。コメントが見えない。
[00:14:54.160] 経験者枠の方
[00:14:56.160] コメントが
[00:14:57.680] マイクラの次はパソコンも買おう。
[00:15:02.440] パソコンも買わなきゃダメだね。なんかパソコンも買わなきゃダメかも。これでどう?これでこれで映ってるよな。頑張れ、頑張れ。
[00:15:11.519] ちょ、待、なんやねん、これ。はあ。え、ちょっと
[00:15:19.120] 映ってないが。
[00:15:21.519] ちょっと待て。
[00:15:31.240] 映ってたり映ってなかったり忙しいな。
[00:15:34.040] これでこれでどうだ?これで一旦ちゃう?
[00:15:37.880] これ練習枠なかったらと思うとね。
[00:15:42.079] やっといてよかったぜ。やっといてよかった。危ねえ。
[00:15:48.279] 笑。
[00:15:49.319] 危ねえ。違う。
[00:15:50.440] 昨日ね、昨日なんかあの今回のマイクラあの
[00:15:55.319] 何人だっけ?10人だか何人だかで
[00:15:58.319] やるのよ。だからなんかね、あの普通のボイスチャットだとごちゃごちゃするからなんか
[00:16:01.839] MOD
[00:16:02.079] 正直楽しみすぎます。
[00:16:03.639] MOD
[00:16:04.000] みたいの入れるんだって入れた。入れるのよ。なんかあのアマンガスみたいなさ、あの
[00:16:08.880] 本番でこの決めて死んでたらと思うと思えるね。
[00:16:12.440] アマングアースみたいなさ、あの、なんて言うの?あのボイスチャットがなんか近くの人しか聞こえないやつみたいななんかあるねんって。そういうの。そう。入れる、入れ、昨日やり方わかんないから
[00:16:24.360] K
[00:16:24.560] チャンネルに教えてもらいながらやってたんだけど、なんか
[00:16:28.000] K
[00:16:28.120] チャンネルが言うには、え、チナ君さ、ハードコアモードってやったことあるんだよねみたいなこと言われて、いや、やったことないけどつって。ええみたいな。
[00:16:39.440] 似てる。
[00:16:40.319] チャーナ君経験枠なんだけどとか言われていや俺やったことないやったことないっすよつって
[00:16:46.800] 似てる。
[00:16:49.279] え、じゃあ何?え、じゃあさの配信者まね好き
[00:16:53.240] あのはハードコアモード敵めっちゃ強いよて言われて。
[00:17:00.440] え、マジで?つって。ハードコアモードね、あのスケルトンね、アーマーなしだとね、
[00:17:05.600] 2
[00:17:05.760] 発で死ぬよとか言われて、え、ええみたいな。
[00:17:10.679] さすがにそれはと思って。
[00:17:13.600] 笑笑
[00:17:14.600] ちょいとや。いや、まあ、ちょっと見とくかつって。見とくかつって。ちょっと今日ビってて草。
[00:17:22.120] やった次第でございます。やった次第でございます。ちょっと待って。とりあえず
[00:17:26.919] 真似しやすいからあれやね。世界。今のところ覗いた練習配信みんなスケルトンで死んでます。
[00:17:34.600] え、やっぱそうなんだ。怖いな。
[00:17:38.160] ちょ、とりあえず
[00:17:39.240] 村探しのプロになるべ。
[00:17:41.039] とりあえず、とりあえずいや、俺はもうか、あれだよ。いくらハードモードで死んだら終わりだって言っても俺は果間にもあの森の妖感探しに行くからね。森の溶感を探しに行って。あれ、これどうやってどうやってやんだっけ?森の妖感探しに行くって言ってるやつのレベルじゃねえな。
[00:17:59.039] すぎるだろ。イントネーション。
[00:18:00.720] どうやってこれどうやって
[00:18:02.360] 1個
[00:18:02.640] スケルトンにブスブスされちまうよ。
[00:18:04.559] 個だけ置ってどったの?これ。あ、こっちか。はいはいはいはいはい。まずはこれでしょよ。
[00:18:11.679] 定期。
[00:18:12.400] まずはこれでしょな。まずは
[00:18:14.559] 影の速さで退場してほしい。
[00:18:16.480] まずはこれでまずはなどうしよう。俺のまず第
[00:18:20.120] 1拠点決めべ。第1決め。
[00:18:22.120] これ画面みんな動いてるの?
[00:18:23.880] え、動いてないの?え、画面動いてない。
[00:18:27.480] 毒の沼ち森の妖感。おまかん。動いてないよ。待ってら。
[00:18:32.720] 画面動いてない。
[00:18:34.080] なんで画面動は
[00:18:35.720] ずっと設定画面
[00:18:37.360] 1人だけ楽しんでら。
[00:18:40.520] ゲーム画面ずっとな
[00:18:42.280] んでそんなバグあるかよ。そんなバグないでしょ。
[00:18:47.000] 配信して
[00:18:50.000] はどうやってやんだよ。ゲームだいぶやってたぞ、俺今。俺今ゲームだいぶやってたぞ。できてなかった。
[00:18:57.760] もうみんなちゃまさんの顔見てた。こういうゲームかと思った。
[00:19:02.320] まだ動かしてないと思った。
[00:19:04.400] いや、動いてね。
[00:19:05.600] だけ分けるって何?
[00:19:07.799] 動いてね。やる時はやるよって言ってくれないと練習してよかったね。雑談タイムだと思ってた。ずっと固まってるよ。
[00:19:17.280] えね、これどうやって映すんですかね?これちょど不安になってたよ。
[00:19:25.520] え、どう、どうこれはね、ちょっと待って。
[00:19:34.720] もつらん。
[00:19:36.360] なんかおかしい。なんかなんかおかしいよ。
[00:19:40.960] ノーシグナルよ。
[00:19:44.039] なんかおかしいよ。
[00:19:48.080] ちょっと待て。
[00:19:49.640] なんかおかしいよ。
[00:19:50.760] 何か画面の最上談に表示されてたような感じ。
[00:20:02.280] ええ、
[00:20:02.799] エレギれんなくなっちゃったんですけど。
[00:20:06.320] 最前面というか。
[00:20:16.080] あ、だめだみ。あ、ちょっと待って。
[00:20:17.240] ちょっとね、剣は許してくれませんよ。
[00:20:19.919] ちょっと、ちょっと待って。みんな一応わかえな。
[00:20:23.200] 交換のやつが奥行ってたもんね。マイクラ壊れちゃった。ね。
[00:20:28.080] ちょっとおい、これもう無理かも。みんなできないかもしれん。なんでなんでできないの?これ
[00:20:36.679] 1回マイクラ落とすか。
[00:20:39.600] 1回マイクラ落とすね。え、何?
[00:20:41.840] マイクラ重いのかな?
[00:20:43.400] いや、なんかさ、ちょっと待って。え、練習ってそういう
[00:20:49.080] イベント自体もしや
[00:20:51.440] 7に逃げるな。
[00:20:53.320] え、
[00:20:53.559] ここまでハードとはスプロで
[00:20:56.880] これ映ってない?映ってないの?これ。あ、映ってるやん。映ってますやん。
[00:21:02.000] え、なんすか
[00:21:03.320] は?映ってますやん。
[00:21:04.799] 映ってる。
[00:21:06.280] 映ったよな?
[00:21:06.960] 橋本こんばんは。
[00:21:08.200] 映ったよな。
[00:21:09.080] 自態しないで参加して動いてなさそう。固まってら。
[00:21:20.159] あかんわ。
[00:21:21.760] ちょっとごめん。ちょ、俺無理かも。
[00:21:23.000] 停止がだね。
[00:21:24.600] ノーシグナルなんだわ。映ってるけど止まってる。なんで
[00:21:29.679] とほ、
[00:21:30.679] ちょっとちょっと待、ちょっと待って。
[00:21:35.120] あ、分かったか?分かったか?これもしかしてウンドウキャプチャーじゃダめ?ちょ、俺さ、配信初心者すぎない?え、これウキャプチャーじゃなくて、もしかしてゲームキャプチャーか。さては、
[00:21:52.080] 配信初心者ゲームキャプチャかな?ゲームキャプチャ使おう。気づいたか?
[00:22:02.200] ちょっともなんかこれお菓子ね。
[00:22:04.000] なんかおかしいのこれ。
[00:22:08.760] 白信のBGM
[00:22:11.320] どれだゲームキャプチャな
[00:22:17.880] 怒らないよ。メンヘラやめて。やだ、やだ。
[00:22:24.480] いや、なんかフルスクリーンにして、フルスクリーンにするじゃん。で、他のやつクリックするとなんか消えちゃうんだよ、マイクラが。
[00:22:32.360] でも前はできてたよな。
[00:22:34.000] 前はできてた。どうやってやってたのあれ?え、なんでこれマイクラ消えちゃうの?マイクラ消えちゃう。こうやってやると出てくるで。フルスクリーンをキャプ。
[00:22:46.480] ほらね。何これ?ちょっと
[00:22:51.120] アクティブじゃなくなると画面が落ちるタイプ。夢の機嫌が
[00:22:55.480] BGMだけ聞こえる。何?
[00:22:58.200] Kチャンネルに電話しよう。
[00:23:00.679] あず、こんばんは。
[00:23:03.440] え、何これ?おい、おい、練習ってそういうことなのか?
[00:23:10.200] こんばんは。どうも。
[00:23:12.000] 練習ってそういうこと?
[00:23:14.919] 助けてリスナーさん。お、
[00:23:22.400] うちはウモードでやってるから分からないな。予選配です。来た。お、動いた。
[00:23:31.360] お、い、
[00:23:32.400] 動いてねえんだよ。
[00:23:37.080] あ、あ、
[00:23:39.279] あ、あ、あ、来た。
[00:23:48.720] 固まった。
[00:23:49.360] 来た、来た、来た、来た、来た、来た、来た。こう、
[00:23:51.200] 動いてねえんだわ。お、お、
[00:23:54.360] こうか。
[00:23:55.480] 動いた。
[00:23:56.320] これで
[00:23:59.240] レッツゴー。これどう?
[00:24:01.520] うお、
[00:24:02.279] 来た。え、こんな、え、なんか目はい、神
[00:24:07.760] え、なんか
[00:24:08.559] どりゃ
[00:24:09.159] なんか奇跡、あの、なんか、あの、すごい
[00:24:11.520] 文明会か
[00:24:12.559] すごい。なんか今
[00:24:14.039] レッティゴ
[00:24:14.880] すごいね、あの、奇跡の上に成り立ってるんだけど、これすごい奇跡の上に成り立って。俺毎回これやんなきゃいけないの?これなんで?え、できてるよね。
[00:24:27.399] 唐突に落ちます。
[00:24:29.159] 笑笑。
[00:24:29.799] え、できてるよね。あ、
[00:24:32.760] これが土曜にできるかどうか。毎回お祈りから始まります。できる。次までには忘れそう。
[00:24:40.440] 再現性ありますか?てるよ。
[00:24:43.200] 再現性再現性あるのか?これ再現性あるの?これ空前のやつや。懐かしい。おはこんハロちゃお。みん。
[00:24:52.840] あ、こんばんは。みんなこんばんは。ごめん、ちょっと待って。
[00:24:56.480] あ、こりちゃんこんばんは。
[00:24:57.679] やってんねん。でも
[00:25:00.159] 本当1時間前には映るか確認しないとか
[00:25:03.559] でもいいや、ちょっと待って。これ俺こんなにできないのできないもんだと思わんかったわ。あと言うて俺マイクラそんなやったことないからね。
[00:25:13.039] ちゃまくんスキン嬉しい。
[00:25:14.960] あ、そうスキン。これお猫が前作ってくれたやつね。ごめん。あさ、今日さ、ちょっとさ、あのコメント欄見えてなくてさ。コメント欄見えてなくてさ。もしかしたら挨拶できてない人いる?ごめんね。
[00:25:26.320] ま、そんな別にいいしょ。いいよ。よし。
[00:25:30.760] 悪口が大来た。こんにちは。
[00:25:33.520] やっていくで。こんにちは。的に挨拶していくからいい視な。
[00:25:39.000] あの誰が挨拶してるかもわかんないからちゃんと名乗ってね。やまいハです。こんにちは。言ってね。ちゃんとわかんねえから。何言ってかわかんねえから。誰が何言ってかわかんねから。えっと、まず何やればいいんだよ。だからもう腹減ってるし。
[00:25:53.080] まず何すればいいんです。
[00:25:55.720] とりあえず馬殺すかと腹減ったし。うわ、なんかさ、
[00:26:01.200] さえです。
[00:26:03.559] です。ちょ待てよ。羊をやる。チソパリです。ご機げよ。みん中です。馬殺さないで。ブン。ハロー
[00:26:12.360] You。
[00:26:12.799] あ、待って。おいおいおいおいおいおいおいおい。これは運がいいぞ。幸先がいいな。幸先。よし。
[00:26:22.520] おいおい、勝ち確。
[00:26:23.720] 勝ち角じゃねえか。
[00:26:26.000] うお。
[00:26:26.960] ちょ待って。なんか待って。あのさ、早い。
[00:26:29.799] 村は練習にならない。これ吐きプレイ。
[00:26:32.600] おい、あの、あれが早い。あの、ぐるぐるが早い。ぐるぐるがどこでやんの、それ?
[00:26:38.720] 笑笑。
[00:26:39.279] ぐるぐる。
[00:26:40.440] ぐるぐる。どこでやんの?これどこで買えんの?これ
[00:26:44.840] どれだ?見て。これめちゃ見逃すやつね。
[00:26:52.640] え、あのさ、あの、あれてどうやってやんの?
[00:26:56.240] 操作設定?笑う。あれね、
[00:27:00.679] マウス設定。あ、これ
[00:27:03.080] 765
[00:27:04.799] ぐらいでいいんじゃん?65ぐらいで。
[00:27:07.399] お、
[00:27:09.480] おっそ、おっそ。あ、でもあれでもこんなもんか。
[00:27:15.080] 笑笑。
[00:27:16.039] あ、さすがに。
[00:27:16.760] 笑笑。
[00:27:17.559] さすがに。
[00:27:18.039] 笑笑。
[00:27:19.000] さすが、こういうのもやっといてよかったで。やっといてよかったんちゃ?
[00:27:24.679] 71がいいらしい。
[00:27:26.080] 71がいいの?本当かよ?何?71
[00:27:28.279] っていいらしいって。これあなたの感想ですよね。後
[00:27:31.760] から襲われた時に対処で
[00:27:33.679] あなたの感ですよね。それ
[00:27:35.159] 練習っていうか事前調査。笑笑
[00:27:38.320] ま確かに悪く
[00:27:39.240] 雪もいますと練習って大事なんだな。
[00:27:42.360] 悪くないな。
[00:27:43.960] 私の感想マジか。
[00:27:46.080] 悪くない。悪くないな。
[00:27:48.600] う、
[00:27:49.480] あの、俺さ、なんか、あの、そんなにマイクやいじゃねえか。
[00:27:54.039] そんなにマイクやったことないねんけど、まず何すればいいの?何してたっけ?みんな、みんな何してたっけな?そう、
[00:28:04.519] マイクラ何やってたから、みんなな。
[00:28:06.799] 村、
[00:28:08.440] あ、おい、おい、おい、おい、おい。ね、これさ、すってさ、自分のインベントリー入れるのってどうやってだっけ?ちゃうんかしてウールゲットしてベッド欲しいですね。
[00:28:17.440] そうだ。まずベッドだな。
[00:28:18.880] 経験としてはメンバー上位でまずまずベッドだな。おいおいおい。ありがとうございます。
[00:28:24.799] そらモす
[00:28:26.240] よ。
[00:28:27.080] これはいいじゃないすか。これはいい。お、待て、お前。お、待て。お前だ。逃げるなよ。バカが。バカ。雑魚が。だめだよ。人間を。逃げられ上級者ってマジ
[00:28:38.600] 逃げられるなと。逃げられると思う。
[00:28:40.120] こんなの自然にあるの?
[00:28:41.480] はい。ベッドもありますと。はい。ベッドもあります。
[00:28:45.519] これ自然にね、村っての
[00:28:47.320] 中いっぱいいた。家畜に吠えすぎ。笑。
[00:28:50.399] あ、これじゃ練習に、これじゃ練習にならないんじゃない?
[00:28:55.840] 31
[00:28:56.440] ご機嫌。これはずる。
[00:28:58.360] これじゃ練習にならねえよ。おい、ありがてえ。助かる。助かるわ。
[00:29:07.200] タプリンカールスみれ。
[00:29:09.080] 助かるわ。ベッドもあるからね。
[00:29:14.000] とりあえずもうここ拠点でえんちゃう?もうここ拠点でモード
[00:29:18.240] ここ拠点で
[00:29:19.799] 楽し本番困る姿みたい。
[00:29:22.960] だ、この強運を本番に持っていきますか?
[00:29:26.120] あのさ、あれが1
[00:29:27.600] 人だと。あれがこれ、これこれこれなんだっけ?松明?松明。松明。マゲ村。
[00:29:31.840] あ、お待て。おい、化けモがいるの。あ、ああ、いるんだ。ほら人が
[00:29:38.640] 松明ね。めちゃめちゃ運良くない?
[00:29:42.440] めちゃめちゃ運良くない?これやすい。え、これちょっと待って。
[00:29:48.919] もっとや
[00:29:50.200] なんだ。おい、ちょっと待って。え、とりあえず
[00:29:52.120] 村人村ちゅ
[00:29:54.159] 村チュがいるけどとりあえず俺
[00:29:55.880] 1回寝るか。
[00:29:58.039] ちょっと1回1
[00:29:58.720] 回寝させて。え、おいどけよ。お前俺の俺の家だろうかお前。それおいどうすんのこいつ?何こいつ?
[00:30:07.080] 笑笑。
[00:30:08.279] 笑笑。真ん中からずれてるし。
[00:30:10.559] 殴ってどかそう。
[00:30:11.720] ちょっと真ん中から。まだ明るいぜ。
[00:30:17.039] まだ明るいぜ。お前んちだったのか。
[00:30:18.840] 開いてるよ。
[00:30:20.519] ちょっと開いてるな。ちょっと開いてんな。ちょっと
[00:30:22.720] そいねの民
[00:30:24.320] 腹立つから開けといてやろ。
[00:30:26.000] 仲良くなって隣で寝ましょう。
[00:30:28.200] あいつ何なんだよ。俺の家なのによ。失礼しますね。
[00:30:31.519] あいつ何なんだよ。俺の家じゃねえのか。あそこはよ。
[00:30:36.640] ここ開いてるかな?ここは僕の家ですかね?ここは俺の家ですか?あ、ねえ、選客がいるとちょまちょ寝てる。しょうがない。寝てるやつが悪い。寝てるやつが悪い。寝てるやつが悪い。あるのが悪い。
[00:30:50.960] 俺は悪くないから。
[00:30:51.799] アキスえぐ。
[00:30:52.679] 俺は悪くないから。あ、開いてねえんだよな。アキスって。あ、あのアキスって人がいない時に言う。なんでこれジャがもは
[00:31:01.720] 11
[00:31:01.960] 個しか持ってねえんだ。あ、これジャガがいもじゃねえ。間違えた。
[00:31:04.880] パンとじゃがいもの区別もついてねえわ。よしよし。まずな。でもこれ村に会えたのはだいぶ
[00:31:14.679] 闇バイトか。
[00:31:15.760] だいぶあれだ。闇バイト。
[00:31:17.519] お開いてんじゃん。
[00:31:18.919] 闇バイトです。これなんでベッドないねん?俺のおなんで俺のベッドないねんか?え、家少なくない?い、あ、ほらほらほら。
[00:31:31.360] あいつ守ってくれるんだよ。あいつ守ってくれんだよ。やべえのやべえのいるぜ。なんであいつは倒せないんだ?
[00:31:40.240] やもクラフトもしてない。人ればお前最高。お前最高やな。お前ええな。この村の村は俺が守る。俺が守る。ばあ。
[00:31:56.799] ええやん。ええやん。
[00:31:59.039] ごめん。畑壊れちゃった。畑壊れちゃった
[00:32:02.960] 。
[00:32:05.760] 待って。あのまずか夜になんの早ない?夜
[00:32:10.880] になんの早くない?
[00:32:15.720] さ、俺よく分かってないんだけど、もう
[00:32:17.559] 何体か。よく分かってないんだけど、あの
[00:32:20.600] さ、あのまず何ベッド作るべきなんだよね
[00:32:23.639] 。ベッド作るべきなんだね。
[00:32:25.120] あのエンドラゴン
[00:32:26.720] 行くためにはなんかちょっと覚えてんのよ
[00:32:28.840] 。
[00:32:29.080] なんかあのエンダーパールみたいなの集めてあ、びっくりした。めっちゃ近くにいた。思ったより近くにいるな。お前やったれやったれ。よしよしよし
[00:32:43.000] よし。あ、あっちいっぱいあるじゃん。あっちいっぱいあるじゃん。これなんでなんでこれ走れないんだ?これなんで走れんの?これなんで走れないのだ?これ。え、走れないんだけど。
