[00:00:43.559] 向き合うき
[00:06:20.319] よ。もうま、だってあの片付けるとかじゃ
[00:06:23.960] ないからね。片付けるとかじゃないからね
[00:06:26.039] 。あのガスコンロをまずどかして
[00:06:30.039] その下の油を減らで[笑い]
[00:06:34.599] こそ落としガスコンロももう焦げをこう
[00:06:39.759] 激落ち君で擦すり
[00:06:42.080] 激憶で擦すり。めっちゃ掃除してた。
[00:06:44.919] ま、あとあとはもリビングもそうだけど、あと衣子衣買えで、あの、なんだ、あの、なんだっけ?リビングのさ、あのこたつの布団とかあとベッドの羽毛布団とか全部クリーニング
[00:06:56.960] と言われるもんな。
[00:06:58.080] クリーニング出して、クリーニング出して、あの、掃除機で圧縮してしまったりとかして、ま、色々大掃除してました。大掃除してたのと、あとはまあ、ま、出かけたりもしてたけど、デカでけたりとかもしてたけどね。うん。
[00:07:05.099] [笑い]
[00:07:15.199] あと、ま、普通にあのヒトラやりたくねえなっていう、あと普通にらあんまやりたくねえなと思って、あの、もう今日本当やめちゃおうかなと思って、
[00:07:18.199] [笑い]
[00:07:25.639] あ、やめちゃおうかなと思って。
[00:07:27.440] そう、
[00:07:27.879] やめちゃおうかなと思って今日あの暗け取ったんすよ。暗取ったらさ、なんでお前ら同票なの?
[00:07:34.879] 50%
[00:07:35.680] なんだね。前もそうだったけどさ、なんかいるなら鳴らしてるやついるよね。
[00:07:39.720] なんかなんかアカウント
[00:07:41.280] 10
[00:07:41.440] 個くらい使ってさ、なんかあの表が均等になるようにしてるやついるよな。
[00:07:47.675] [笑い]
[00:07:48.720] 表が均等になるやついねえか。たかバランス
[00:07:51.560] バランスはいるよね。なんかアカウント
[00:07:53.520] 10
[00:07:53.680] 個くらい使ってさ、なんかあの表がなんか均等になるようにやってるやついるよね。なのでしょうがないのでしょうがないのでやってきますよ。もうちょっともう知らん知らんで。ほんま知らんけど。
[00:08:09.120] 知らんけどやってくわ。
[00:08:11.840] ゴールデンウィークどんなでした?皆さん
[00:08:13.800] はどんな感じでしたか?どんな感じでした
[00:08:16.039] ?すいませんね。配信なくてね。はい、
[00:08:17.400] やきます。やきますよ。
[00:08:22.800] よし、やるよ。次Bでアウトでしょ。次B
[00:08:25.800] で私がまだ
[00:08:27.479] 若かった頃にこたぶりこんばんは。な
[00:08:29.759] ちゃんこんばんは。モコベッテこんばんは
[00:08:30.919] 。そんなもんここにないわ。
[00:08:32.279] え、ゴールデンウィークってないの?音うるさくね?ナチスの極費文書仕事しかしてない。ブラックもいますと。ブラックシャインもいます。かく俺もさ
[00:08:37.455] [音楽]
[00:08:45.240] こに遊んでもらった。
[00:08:46.320] 今日仕事始まりで
[00:08:48.519] しょっぱな5時起きでしょっぱな
[00:08:51.000] 5
[00:08:51.120] 時置起きでスーツ来て電車乗ってあの出張してて部屋片付けた。俺と一緒と一緒だ。全然出かけてね。書
[00:08:58.720] いてたら終わった。大会何の大会?何の
[00:09:01.120] 大会?エボエボ出たん?エボ明日行ったら
[00:09:04.079] 休み?そう、いいね。明日行ったら俺も
[00:09:05.600] 休み。俺も休みや。明日行ったら上の救出
[00:09:08.920] せよとのあ、もういいや。やめてください
[00:09:10.160] 。はい。よろしく。よろし。ヒットラーの
[00:09:14.519] 復活。あ、コンティニュー6[笑い]
[00:09:17.920] めっちゃありま、何これ?セーブされてん
[00:09:20.519] の?なんかコンティニュー6あるんだけど
[00:09:22.079] 。セーブされてる。
[00:09:26.160] 1万歳
[00:09:27.320] やってくぜ。えー、全然全然どう全然何なんだっけ?全然何なんだっけ?全然ずルしてないよ。ずルしてないよ。全然何なんだっけ?ああ、こんな感じね。はいはい。やってくぜ。やってくぜ。あ、思い出しきた。思い出しきた。え、こうな。思い出しきたよ。
[00:09:56.480] いや、本当は今日さ、違うゲームやろうと思ったんだけどさ。
[00:10:00.240] 懐かしい。
[00:10:01.240] 世間が許してくれなかった。世間が許してくれなかったよ。お前は逃げるな。懐か、もう、もう懐かしいとこまで来てる。はい。え、こうな。オ、オッケー。音でかくね?大丈夫?音でかくね?はいはいはい。こんなあったね。
[00:10:19.480] なんかどんなゲームか
[00:10:21.800] に逃げない歌のあなたですよ。
[00:10:23.680] 逃げない、逃げない、しょげない。泣いちゃだめ。行け行け。ガんこちゃんですわな。ですわな。
[00:10:34.240] はるちゃげリノ男性。リノ男性。
[00:10:37.322] [笑い]
[00:10:38.440] 手あげてるだけだから。手あげてるだけだから。何これ別にえ、何か何か手あげてるだけ。はい。邪魔ゲームです。
[00:10:44.920] え、何が?手上げてるだけだから。何が?はち、お疲れちゃん。
[00:10:50.760] 何が?手あげてるだけでやんな。手あげてるだけやんな。何が悪いんだよ。え、
[00:10:56.600] Twitch
[00:10:56.920] は種も許されなくなったんか?
[00:10:59.160] Twitch
[00:10:59.480] は挙種も許されなくなったの?
[00:11:02.760] 何が?
[00:11:03.760] 反応するやつほどやばい。
[00:11:05.240] そうだよな。ちょっと待って。おい、ちょっとば、今日こそこのステージクリアしよう。
[00:11:15.120] ただね、俺はもうね、このゲームの進め方をね、理解したんよ。理解したんよ。なんかね、要はこのゲームはいきなりこのステージを挑む、挑むった。
[00:11:28.200] 理解ったから、あの、挑む前にちゃんと
[00:11:31.519] あの、前[音楽]準備をして挑めば
[00:11:34.000] コンティニューも結構簡単に稼げるから
[00:11:36.320] 多分ね、前回はなんかね、このゲームの
[00:11:40.639] なんかなんて言うのかな?なんかこの
[00:11:44.320] ゲームの雰囲気に蹴されてしまった。うん
[00:11:46.760] 。だから大丈夫だから大丈夫なはず。
[00:11:49.360] 大丈夫なはず。もう分かったから。理解っ
[00:11:50.959] たから俺このゲームこのゲーム理解った
[00:11:53.360] から大丈夫。
[00:12:02.240] 楽しめてなかったよな、前回は。
[00:12:04.399] いや、ちょっとね、俺これ無理やなと思っちゃったんだけど、もう大丈夫やで。もう大丈夫やで。いや、大丈夫大丈夫。ほら、ほら、ほら。裏ら。馬なってますやん。馬なってますやん。あー、危ない危ねえ危ね。いい。うまいやん。はい。うまい。
[00:12:16.883] [叫び声]
[00:12:28.000] い。ああ、もうこいつうぜえな。毎回
[00:12:30.680] うぜえな、あいつ。で、ワンナップも
[00:12:32.240] 取り行くぞ。
[00:12:34.680] ワンナップもえん
[00:12:42.040] だよ、これ。どっからやねん、これ。
[00:12:46.440] これちゃんと話聞いたことなってんのか。
[00:12:51.480] さんが届。サブスクありがとう。
[00:12:54.600] てかチャビもサブスクありがとう。ペロンもサブスクありがとう。サブスクありがとうって言うの忘れてた。おはち山です。どうもこんばんは。今日こそこのゲームをクリアはできないけどちょっと進んでみようかなと思っています。ちょっと進めたいなと思っています。このゲーム。あとこのゲームはね、待つこともう待てへん。待てへん。
[00:13:16.489] [叫び声]
[00:13:25.600] 待てへん。あ、ワンナップ取。あ、待って待て待て。今取るよ。今取るよ。ねえ、なんであった?何取った?前回ここしてないもんね。このボスがカ強えんだよ。
[00:13:53.959] よし。ああ、
[00:13:59.560] うまい、うまい、うまい。馬なってます。
[00:14:02.279] うまなってます。お前さ、ふざけんなよ、
[00:14:05.000] お前。
[00:14:09.279] いや、これ体力回復してきたかったよ。
[00:14:13.959] こいつさ、結局どうやってこいつどうやっ
[00:14:17.959] て[笑い]
[00:14:18.880] こいつなんよな。問題は
[00:14:24.360] いや、無理なんだよな。
[00:14:26.800] あ、てか待って。え、てか待って。これ、
[00:14:29.399] え、これは、これはちょっと待って。これ
[00:14:32.920] はええ
[00:14:38.360] え、いや、これでええんかい。これ
[00:14:41.199] でえんかい。
[00:14:45.000] ない。ワイド砲。え、
[00:14:48.759] お
[00:14:49.560] な、なんや?
[00:14:50.759] あいつなんやねん。
[00:14:51.720] ほな、あいつなんやね。ほな、あいつなんやねん。え、これでいいの?
[00:14:53.430] [笑い]
[00:14:56.705] [音楽]
[00:15:01.600] 楽しい。あいつはただのガード。[音楽]
[00:15:03.800] え、ちょっと楽しなってきたね。うんちゃん、こんばんは。え、じゃあ、ええ、今まででなんなら
[00:15:10.720] 1
[00:15:10.839] 番弱いまで、え、ちょ、ワイド砲使ってみようぜ。
[00:15:13.040] ワイド砲。お、
[00:15:21.800] BGM
[00:15:22.199] かっこよくね。あ、弱。あ、なるほどね。あの、飛距離がないタイプね。いや、これどうだ?
[00:15:30.279] 3
[00:15:30.440] 時か。笑笑。
[00:15:31.959] どうだこれよし。
[00:15:33.959] ブグム。よしやな。連車効くぞ。あ、でも悪くないんちゃう?悪くないんちゃうか。
[00:15:39.935] [音楽]
[00:15:43.360] よさげ
[00:15:44.199] ね。ああ、これさ、上、これ上届かないの?ちょっとな、こいつ
[00:15:50.480] 50
[00:15:50.800] 型で肩上がんねえからさ、上攻撃できねえんだよ。ブムよしやな。ブムよし。あ、いい、いい、いい。悪くないよ。悪くないよ。悪くないよ。いや、これ届かない。これ届いて欲しいけどなあ。
[00:16:05.481] [笑い]
[00:16:11.639] 場に向けるだけなのにロマみたいな
[00:16:14.600] BGMかっこいい。めっちゃBGM。
[00:16:18.040] あ、まずい。はい、鍵。はい、鍵十字とはい、鍵十字。あ、ね、ちょっとこれ、これ何?いや、こんなんされたらなんできへん。困難されたら何もできへん。
[00:16:38.120] ん、どうやって行くの、これ?あ、分かっ
[00:16:39.720] た、分かった、分かった。こうやろちゃう
[00:16:43.240] な。[笑い]
[00:16:45.319] ほ、違うな。なんだこれ?どうやってんだ
[00:16:47.519] ?これ上行けなくねか?こうでしょ。
[00:16:53.160] おしよしよし。うまいよ。あ、おい
[00:16:55.916] [音楽]おい。体力が体力4になったぜ。
[00:16:59.560] 分かってきたな。分かってきたな。あ、
[00:17:02.240] 楽しいぞ、このゲーム。
[00:17:03.680] ああ、あれ倒せないから。これで飯食ってこう。
[00:17:08.799] これで飯食っていけるぞ、俺。うまくなって。あ、これいいわ。これいい。
[00:17:16.520] これいい。何がいいって?これ壁貫通するんだよね。
[00:17:20.120] 貼ったんだけどすごい画像できた。
[00:17:22.160] え?何?何が?すごい画像。何?ちょっと待ってね。え、ちょっと待って。何?
[00:17:31.287] [笑い]
[00:17:31.760] まずい。
[00:17:33.000] あ、これまずいっすね。
[00:17:36.080] ま、でもコンクライかっこいいな。俺
[00:17:38.559] 目指そっかな?え、俺髪型これにしていい
[00:17:40.840] ?かっこよくない?ちょ配信で映したいん
[00:17:44.480] だけど。
[00:17:46.320] え、これまずいか?[笑い]
[00:17:50.679] まずすぎる。
[00:17:51.640] え、これまずいの?これ。
[00:17:54.440] これまずいか?これ俺かっこよくない?これかっこよくない?俺これ目指そっかな?なんか髪型と髭生やして。え、俺これになっちゃだめ。あ、服はあれなんかさ、あれでもさ、あれだよな。なんかさ、
[00:17:55.522] [笑い]
[00:18:09.440] 35
[00:18:10.159] 過ぎた男って一旦ここ目指すあるよな。
[00:18:12.880] いいね。これなら隣歩ける髭がえ、線変更
[00:18:13.207] [笑い]
[00:18:17.320] かね。かっこいいよね。こ、
[00:18:19.039] 35
[00:18:19.799] 過ぎた男は一旦ここ目指すあるから。一旦ここ目指すある。
[00:18:27.840] 目指したことないや。
[00:18:28.919] あ、やべ、ちょっと待って。なんか待って。これちょっと待って。え、系ね。
[00:18:33.720] ちょっと待って。これちょっともうちょっとはい。
[00:18:38.752] [鼻息]
[00:18:39.240] あう。
[00:18:39.840] あ、チャンディね。そ、チャンディ系。チャンディ系。そういや今週の土曜日運動会や。みんなよろしくな。
[00:18:41.372] [笑い]
[00:18:47.960] みんなよろしくな。も、あ、森ゆがなんか素材貼ってく。
[00:18:53.163] [鼻息]
[00:18:56.919] 濃いメンツで飲んでだな。
[00:18:58.440] あ、こ、
[00:18:59.320] 仕事中の髪型はこれ
[00:19:01.120] 濃い濃いメンツで飲んできたから。こいだ濃いメンツで。濃いメンツでな。え、こちら
[00:19:04.298] [笑い]
[00:19:06.263] [鼻息]
[00:19:07.120] M5
[00:19:07.600] マップに映らない地下の通路があるらしい。これには何かあるぜ。
[00:19:11.280] ライターで茶オかす。
[00:19:13.360] 何?ライターでチオ若か。ああ、チャンディ。俺チャンディ。チャンディ。あれだかんな。
[00:19:17.480] あの、初、初絡みだったんだ、こないだ。
[00:19:20.159] あ、ここはどこだ?私を起こすのは誰だ?
[00:19:25.320] え、これ?え、びっくりした。なんやね。
[00:19:28.320] え、何?何?何?何?何?
[00:19:32.080] え、なんやねん、今の。なんやだ、今の?
[00:19:34.760] 何、今の?あ、お前なんだよ。
[00:19:38.640] うわ、何これ?いや、これさ、ちょっと
[00:19:42.360] いや、当たるんかい、それ?
[00:19:48.760] よし。
[00:19:51.840] やんお。
[00:19:54.640] いや、これちょっとさ、ワイドしんどいぞ
[00:19:56.640] 、これ。
[00:19:58.720] ワイドしよし。いた。ワイドしんどいぞ、
[00:20:02.679] これ。
[00:20:06.159] あとうるせえ。[笑い]
[00:20:08.480] あと音がこの
[00:20:10.240] この手っ越し辛そう。笑。
[00:20:14.383] [笑い]
[00:20:16.360] 今のアウトなんや。
[00:20:19.600] 笑笑。
[00:20:23.554] [笑い]
[00:20:24.159] もう何もできないやん、今のされたら。今のされたら何もできませんやん。こんどん上行っちゃおう。どんどん上行っちゃおう。
[00:20:41.200] よしよし。これは横行っちゃった方が楽だ
[00:20:44.640] から。
[00:20:46.600] いや、だりいこいつら。あー、[叫び声]
[00:20:49.360] ちょ待ってた。やめて。もう[笑い]
[00:20:54.559] なんなんだよ。
[00:21:01.679] よしよし。こいつらどんどんどんどん
[00:21:03.880] どんどん上行っちゃった方がいい。ほら。
[00:21:05.159] こが楽だからな。
[00:21:06.679] このが楽だから。待て待て待て待て待て待て。
[00:21:20.360] 同じ。あち。
[00:21:24.200] まだでもコンティニュー5
[00:21:25.000] あるからな。まだでもコンティニュー
[00:21:26.880] 5あるから。
[00:21:27.720] 馬田のプロだの。
[00:21:31.880] いや、でもワイドで行かせて。でもワイドで行かせて。
[00:21:34.949] [音楽]
[00:21:35.520] ワイドで行かせて。あと赤い。ここ画面が赤くて嫌。
[00:21:41.760] 落ちてるキャラも同じこと言ってそう。
[00:21:44.919] え、これなんだってさ、なんでこれこっちあるやんね。これ地面あるやん。なんでダメなんだよ。高いとこから落ちたらアウトなんかい。
[00:22:03.039] お、なんか一瞬味方みたいな感じだった。
[00:22:05.919] 今
[00:22:09.799] もうちょっと飛距離欲しいよな、これな。
[00:22:16.000] なら
[00:22:19.480] こういうことな。[音楽]
[00:22:22.919] これがあね。いや、もう重なるなよ、俺に
[00:22:25.960] 。
[00:22:27.039] だからさ、こ弾がこれどうしろっちゅうねん。これどうしろっちゅうねん。当たるやんあ。でもダメージ受けてねえな。ダメージ受けてねえな。ダメージ受けてないね。
[00:22:34.555] [音楽]
[00:22:44.440] 何してるの?
[00:22:45.679] 何が何が何が何が何してるのって何がわかヒトラーやってんだろうか。ヒトラーを。
[00:22:57.559] やめてこむずいって。
[00:23:02.440] 何?何?別に別に変なこと言ってないだろ
[00:23:04.919] 。ゲームの話だよ。ゲームの話
[00:23:08.159] だらこれがあかんねんて。
[00:23:11.840] あ、ほらダメージ受けない。いた
[00:23:17.919] のマークかっこいいね。[笑い]
[00:23:21.159] ねえな何て言うかわかんないけどな。な、
[00:23:23.120] 何て言うの?あれわかんない。
[00:23:26.600] これ一応これ聞かないとさ、ボスの扉がさ、開かないんです。よしさん、どうもこんばんは。よしさん、どうもこんばんは。俺じゃないよ。俺じゃないよ。俺はその倒しに行く。ああ、ここはどこだ?私を。これ、これヒトラーじゃね?これヒトラーなんじゃない?あくまでゲームの話ね。あ、え、しかも出ねえし。な、何だったんだ、さっきも。
[00:23:31.541] [笑い]
[00:23:48.760] え、なんでここさっき襲われたの?
[00:23:51.880] なんでさっき襲われたんだ?
[00:23:55.640] 距離が短け。よし。
[00:23:59.840] あいつらを無視して行っちゃうのが1番
[00:24:01.360] いいんだから。
[00:24:03.840] いや、ブさん
[00:24:07.840] やた。もう避けんないよ。それ
[00:24:12.360] ちょっとやめて。ちょ、ちょ、ほんま。
[00:24:18.720] ちょっと待っ、これな。
[00:24:24.360] よしよしよしよしよしよしよしよしよし。
[00:24:32.120] ああ、そんなとこにいるなよお前。
[00:24:36.279] よし、もう1回。
[00:24:41.000] よし、よし、
[00:24:44.960] よし。
[00:24:49.039] なあ、あぶね。やめて。
[00:24:53.520] いいよ。
[00:24:55.799] 何?何?なんで今落ちた?
[00:24:59.240] よしよし。
[00:25:01.279] 待って待って待って。もうちょどたよし
[00:25:04.919] よしよしよしよしよしよし。いいぞ。
[00:25:08.120] 分かってきたぞ。
[00:25:10.679] 今のよかったよ。今上手だったよ。
[00:25:17.000] よしよし。
[00:25:19.120] もう1個。もう行こう。もう行こう。
[00:25:23.399] やめて。
[00:25:28.039] こいつらがここに来ちゃうともう
[00:25:32.120] 来い。
[00:25:34.360] 当たん。
[00:25:37.520] これどう行くねん?これ。
[00:25:41.600] よしよしよしよしよしよしよしよしよし
[00:25:44.440] よしよし。あったったった。あれや。あれ
[00:25:46.880] ?ボスや。絶対。
[00:25:52.039] ここむずくね。ここむずくねえか。
[00:25:59.360] よしよしよし
[00:26:04.520] よしよしよしよし。行ったい。ああ、
[00:26:08.039] うまいじゃん。あれまたボスじゃないんか
[00:26:11.640] い。
[00:26:14.440] 連邦軍の人かい?俺は連邦軍のスパイダー
[00:26:16.520] 。
[00:26:16.600] さっきが連れて行かれるのを見た。あれはエリア
[00:26:19.640] 8の角だったぞ。な
[00:26:20.760] んやねん。エリア8
[00:26:21.520] どこやねん。馬やん。ええやん。敵だ。敵が侵入してるぞ。どこだ?俺が仕留めてやるぜな。何なのこの?なんなのこれ?聞く意味があるのかどうかわかんないけど。で、まだ上行くんか?まだ上行くんかい?あ、なるほどね。
[00:26:47.840] ちょっとむずいんだよな。ああ、なるほど
[00:26:49.960] なるほどね。なるほどね。あ、なるほど。
[00:26:51.159] 分かった。分かった。そういうことね。
[00:26:52.960] だる。
[00:26:56.960] ちょっと届かないんだよ。ちょっと届か
[00:26:59.159] ないんだよな。そこにいられると。
[00:27:05.919] なんでなんでなんでなんでなんでなんで
[00:27:10.000] 待ちょっと邪魔[音楽]だよお前。
[00:27:19.399] このね、絶妙なんだよね。ここね。これなんで勝手ジャンプすんの?ここあんまりギリギリでジャンプしちゃうとあれか、勝手に
[00:27:23.413] [音楽]
[00:27:29.919] 入るちゃげな
[00:27:31.640] んでこれ勝手にジャンプする?出た、こんばんは。こんばんは。げんみたいでイライラしてくる。
[00:27:39.679] みんみん。あ、あのスマブラのな。
[00:27:43.640] スマブラのな、正しくはあの、正しくは
[00:27:46.559] なんだっけ?あの、なんとかボクシングの
[00:27:48.200] な、なんとかボクシングの、あ、来ました
[00:27:51.720] 。どうもこんばんは。ビビ侵入者発見攻撃
[00:27:57.760] する。おお、なんかもうこれロックマン
[00:28:00.720] やろ。
[00:28:03.120] ロックマンやん、これ。これさ、倒す必要
[00:28:06.919] あんのか、これ。
[00:28:09.159] よしよしよし。よしよしよしよしよし。
[00:28:13.120] これ強いぜ。あ
[00:28:14.760] あ、スマブラのね。やっぱ
[00:28:16.799] よし。シャッ[うめき声][叫び声]
[00:28:18.960] ガン強い。
[00:28:24.440] サムス。あ、スマブラのね。強いじゃん。シャッガン強いじゃない?シャッガンシャッガン強くね?
[00:28:36.720] 今日クりありそうだ。
[00:28:37.840] 今日クりあんじゃね?なんかうまない?うまいやん。うまいやん。
[00:28:42.960] あとさ、ちょっとここでちょっとあれして
[00:28:44.360] こようて
[00:28:46.200] 降りる。ここは中立地帯な。あ、何?なん
[00:28:49.000] か来たよ。でもここちょっと待って。なん
[00:28:52.559] か来たけど。ここは銃打っちゃいかね。
[00:28:55.919] あかんねん。銃打っちゃ。ここは中立
[00:28:59.200] エリア。はいはいはいはいはいはいはい
[00:29:01.720] はい。分かりました。分かりましたよ。
[00:29:03.799] はい。ありがとうございます。
[00:29:07.039] 話聞かせてみろよ。は話聞かせてくれねえ
[00:29:09.840] んだ。
[00:29:12.840] おかいいて法制月。あ、頑張る太郎だ。頑張る太郎や。
[00:29:13.455] [笑い]
[00:29:20.960] あれじゃねえかけなんだっけ?あの僕研究所の僕研究所のどうもこんばんは。お来たか。中にベータ通信機があるぜ。
[00:29:26.555] [笑い]
[00:29:34.519] あの、
[00:29:35.480] あの、今日はね、ヒトラーの復活っちゅうゲームやってんのよ。取れた、取れましたよ。なんか取れたよ。ベータ通信機やって。ベータ通信機やって。あ、ごめん。間違えた。ごめん。間違えた。間違えた。ごめん。ごめん。ごめん。ごめん。間違え。間違い。間違い。なんかも敵かと思って撃っちゃったよ。敵かと思って撃っちゃった。
[00:29:37.690] [笑い]
[00:30:04.440] ごめ、もう1回行かせて。もう1
[00:30:05.760] 回行かせてくれ。ああ、もう1
[00:30:07.000] 回行ってくれ。
[00:30:08.120] 笑笑。
[00:30:10.440] こう撃っちゃいかんの。ここは中立地帯だからな。
[00:30:13.080] ここはライオン撃っちゃったよ。
[00:30:14.919] 撃ちゃったよ。きて。ちゃまちゃん配信やめんで。なんだあれは?なんだあれ?
[00:30:28.360] の髪型
[00:30:29.039] いた?おい、これ敵やね。これ敵じゃねえかよ。これはどうなんだよ。
[00:30:33.440] これで俺、これ敵じゃん。え、なんかいる。あ、戻っちゃった。何?次あの髪型って月き底方制みたいな。やだよ。
[00:30:47.120] 撃った瞬間全員ちまな子でやりにくるの。怖。
[00:30:50.440] 怖いよな。
[00:30:51.279] え、お前は何?貴様は一体嘘でしょ?なんで俺こんなこと言われなきゃいけないの?臭いねん。
[00:30:55.636] [笑い]
[00:31:04.480] 臭いやつ。臭いねん。臭いねん。ちゃんとファブリーズして。
[00:31:08.639] で、なんでこんなこと言われなきゃいけない?臭いやつ向こうへ行け。本当にそれだけなんだ。しかも
[00:31:14.519] ダブル
[00:31:16.200] 本当にそれだけなんかい。なんだよそれ。
[00:31:19.639] やなやつ。ほ、何?あいつマジでここで
[00:31:24.279] も撃ったらやばいんかな?何あいつマジで
[00:31:26.799] ?何なの?なんかあんのかな?イベントが
[00:31:29.519] 臭くなかったらなんかあんのかよ。
[00:31:34.600] なんで臭いやつとか言われなきゃいけない
[00:31:36.200] んだ?あいつ売っときゃよかったかな?
[00:31:38.159] よし、次行くぞ。俺どえ?次どうしよっか
[00:31:42.279] な?あ、間違えた。ごめん。間違えた。
[00:31:48.039] 料理配信切っ頼まよ。
[00:31:50.480] そうなんだよ。もう料理配信来そうなんだよな。現実身帯びてきてる。てかもうほぼほぼ核。ほぼ角であるよな。よし、コンティニュー増やすで。これちょっと使ってみるか。
[00:32:02.679] 現実が見えてきた。な
[00:32:04.960] んだこれ?なんだか使いやすいんだが使い貫通だよ。貫通。あ、こんな無敵に取ってんじゃ。えー、おも毎回びっくりするんだけど。
[00:32:10.307] [叫び声]
[00:32:14.237] [笑い]
[00:32:17.799] このさ、これ崖扱いなの?何なんだよ。毎回びっくりするよ。
[00:32:24.880] ダイアンだ。頼む。ああ。ああ。あんま似てねえし。
[00:32:27.992] [叫び声]
[00:32:35.080] 笑笑。
[00:32:36.600] ちょっと待て。これちょっとちょっとこれあれやな。あのぼあの変なさ。
[00:32:46.840] 上、上から目線の時は上から目線の時はさ、あれの方がいいって。
[00:32:53.320] 臭いやつ下手。
[00:32:54.847] [音楽]
[00:32:57.320] ああ、これ何?これ何なの?これ何が違うの?これべ通信なんだなの?これ何が違うの?これおなんか知らんやついる。知らんやついるな。地味に届かん。やべやべ。
[00:33:17.760] ちょっと、ちょ、ちょ、
[00:33:20.039] いや、あいつ、あいつ誰?あいつ、あいつ
[00:33:21.679] 。
[00:33:24.679] お、
[00:33:26.320] 何それ?何それ?何?お、え、あ、あ、
[00:33:28.720] なるほど。流されちゃうのね。はいはい。
[00:33:30.840] 面白いじゃん。面白いギミック考える
[00:33:33.559] じゃん。
[00:33:37.039] あ、なんか、なんかいろんなん出てくるな
[00:33:40.120] 。なんかいろんなん出てくるね。
[00:33:44.039] なんだそれ?なんだそれは?
[00:33:47.799] ブグムいいな、確かに。
[00:33:52.840] え、なんでここか?あ、これジャンプ台だ
[00:33:55.679] 。ジャンプ台になってて勝手にジャンプし
[00:33:57.600] ちゃう。だるいこいつ
[00:34:00.760] ちっちゃ。
[00:34:02.639] なんかめちゃめちゃちっちゃかったねえ。
[00:34:04.240] こいつどう倒すのよ?
[00:34:08.480] 俺がいるとさ。
[00:34:13.599] あ、ダめだ。意外とめんどくせえな、こいつ。
[00:34:16.560] 使わんの?
[00:34:17.280] 新武器ちょっとこれで死んだら新武器使ってみる。新武器も使ってみようか。確かにその方がいいのかもしれん。
[00:34:25.399] ちょまんちゃめあえてしかも下行っていい?
[00:34:27.858] [音楽]
[00:34:28.399] ちょどピちゃにめ
[00:34:31.960] こっち行ってみていい?なるほど。あの、あの穴に落ちたら終わりね。多分あの穴に落ちたら終わりな。
[00:34:48.079] だるいだるいだるい。
[00:34:51.000] こいつなんやねん。
[00:34:59.119] いや、あいつだるいな。どうなんなん
[00:35:01.160] こいつ?
[00:35:03.560] 別にダメージ食うしな。しかもいやだる。
[00:35:12.240] いや、ちょっと待って。
[00:35:17.079] どう、どう対処すんのが、どう対処すんの
[00:35:20.160] がいいんですかね、こいつ。
[00:35:25.960] とりあえず通信機。
[00:35:29.680] こちらM2ワイドとロケット法を持ってる
[00:35:32.119] なら36を目指せ。え、なんで今言うのよ
[00:35:36.040] 。[笑い]
[00:35:37.560] もっと早く言えよ、俺。ここじゃ。
[00:35:39.200] ここどうすんだ?
[00:35:40.760] 3と6、3と6
[00:35:42.760] 行け。あの、特攻できるってことね。多分ね、あのゴミ上はどこにあるか分かりますか?知らねえよ。貴様な
[00:35:49.880] 何年やってるんだ?エリア9
