[00:00:36.520] ブー
[00:08:18.199] えー、本当なのかい?なんか、あ、しかし世の中には不思議ながあるもんだね。よきよく見たらこいつら髪型超んな。
[00:08:28.840] ポッコがピーナの生まれ変わりだなんて。
[00:08:31.400] 待って。なんかもうめちゃめちゃなんか確信ついてる。めっちゃ確信ついてね。これワンの主人公じゃん。
[00:08:37.360] P
[00:08:37.599] のって。僕も信じらんないよ。でも本当なんだって。ねえねえ、カレンさんは昔山猫団だったんだから。
[00:08:44.800] なんか絶対これワンの時の話してんのも
[00:08:46.519] 全然わかんねえよ。そのPのとかいう擬人
[00:08:49.279] はどんな子だったの?
[00:08:52.200] いい子だったよ。機械の少年なのに。はい
[00:08:54.839] 。差別発言乙つ。え、心は人間より
[00:08:58.079] 美しかった。ふーん。
[00:09:03.640] 親父Zどうしたんだい?お店お休みだよ。
[00:09:06.600] ちょっと寄ってみただけ。
[00:09:10.920] あれ?
[00:09:13.000] どうして今まで気づかなかったんだろう?
[00:09:20.880] ひ、
[00:09:25.519] 一体どうしたんだい?あの、おかり。これ
[00:09:29.360] 絶対ワンやとわかんない下りやるだろ。
[00:09:32.279] 絶対これも
[00:09:34.600] 全然わかんないんだけど。
[00:09:37.279] 全然わからんけど。何?
[00:09:40.000] 全然わかんないんだけど。なんだ?全然わかんないんだけど。あ、ペロ。お疲れちゃん。ペテレお疲れ。えー、なんかちょっとぐるぐる回ってみるか。ここ病気の女の子がいて。ペロンお疲れ。ペロンもお疲れちゃん。え?うーん。今日はもう攻略サイトを見るということを隠さないね。
[00:10:06.680] 攻略サイトを見ても糸ないという気持ちで
[00:10:10.360] やってます。ただもうでもね、どうしよう
[00:10:13.240] かな。なんな、なんかでもさっきの
[00:10:15.399] イベントなんかありそうだからもう1回
[00:10:16.560] 行ってみるか。もう1回行ってみるか。
[00:10:17.800] ここに。
[00:10:24.519] あ、入れなくなってる。入れなくなって
[00:10:27.560] ますなあ。ごめん。もうちょっともう、
[00:10:29.399] あの、ちょっともうごめん。もうちょっと
[00:10:31.399] こっちで見るね。
[00:10:34.000] こっちで見るね。あの、すまん。
[00:10:36.320] あの、もうこの何していいかわからんから
[00:10:39.440] み。
[00:10:40.240] もう見てやべ。見てやんべえ。なおいるやん。
[00:10:48.920] あ
[00:10:49.639] あ、何のようなの?私の船での周りでうろつくのやめてよね。お姉ちゃん勝手にお借りなさってごめんなさい。ツン
[00:11:03.920] わこつ
[00:11:05.079] わこつ。
[00:11:05.880] どいてよね。ぶち切れてますやん。ランディ、お疲れん。あの、ランディなんかこれ今もうどしっぱなからなんだけど。
[00:11:18.560] しょっぱなからなんだけどまたむかついできたわ。ま、そんなこと言うなよ。しょっぱなからなんだけど、あの変な男の子ワンの主人公の生まれ変わりらしい。生まれ変わりであるらしいことが今判明した。
[00:11:37.639] ほえ。
[00:11:40.839] でも全然ワンやってないからわかんないっていう。お、やっぱいいるな。やっぱこいついるな。な
[00:11:50.320] んなの?私の船の周りで打つくのやめてよね。変わんないか。
[00:11:57.519] もう今日から詰まったらもう攻略サイト見てもうちゃっとちゃっとというかあのサクっとイベントを楽しみたいなという
[00:12:16.600] あれもうごめん。
[00:12:20.560] もう、もう、もう言うけど、なんで俺のこと嫌いなんだよ。もう言うけど、こ、もうこっちのこのモニターで攻略サイトを開いてるんだけど攻略を見ながらやっても進まない。なんでだ?まかえ、ま、
[00:12:35.399] 本君必死すぎ。
[00:12:36.600] 必死よ。もう必死よ。これなんか長なりそうやねんもん。だってこのゲームなんかちょっと待って。なんかね、効力サイトに大きいから嫌いなのでは?
[00:12:47.760] ええ。
[00:12:50.199] やっぱ声大きいのダメかな?
[00:12:55.399] このね、これによるとこれまたムかついて
[00:12:59.199] きたわ。で、EAをやると
[00:13:03.440] いいってやるといいらしいんだけどいいや
[00:13:06.399] んだけどな。
[00:13:08.800] ここでいいってやるといいらしいんだけど
[00:13:11.000] 。またむかついてきたわ。いいえ。いいえ
[00:13:13.600] でしょ、これ。なんで何も起きないよ、
[00:13:16.279] これ。おわ、嘘疲れてるんだけど。
[00:13:23.040] なんか俺もしかして俺今嫌われてるからか。グーグー
[00:13:27.920] ありがとう。
[00:13:30.760] 俺嫌われてるから下かも
[00:13:33.240] 攻略見ることもうまく攻略サイトを見ることもできないのか俺は。え、なんでかな?ちょっとプリン買うわ。
[00:13:46.519] プリン買うね。こいつの機嫌が悪いから
[00:13:50.360] あんまりあれなのかな。
[00:13:53.440] えっと、
[00:14:00.040] これ
[00:14:01.959] やめるじゃない。
[00:14:05.279] 2個ぐらい買っとけ。ああ、もうオ、
[00:14:11.120] しょうがねえからさ。ほら、食っていいよ
[00:14:13.440] 、これ。
[00:14:14.800] はい。いい。ポン。オ、オ、オッケー。これで不機嫌が治りましたか?また食べたいな。オッケーオッケー。もう今日からもう、あの、前回まではなんかこうもったいないからあんまり買わないとかやってたけど、もう今日からもう、もう、もうちょっとでも機嫌ねたらスープりん上げよ。
[00:14:40.920] くそテンション上がってる。はしご上がるだけで歌ってるな。
[00:14:47.639] プリンプリン。
[00:14:49.680] プリンプリンよ。プリンプリンって懐かしいね。コロッケーにいたよな。プリンプリンって。
[00:14:59.920] 横山緑みたいなやつ。横山緑みたいなキャラクターよな。コロッケに。
[00:15:07.120] 笑笑。
[00:15:09.639] え、横山緑ってもしかして元ネタあれなんかプリンプリンなのかな?うか
[00:15:15.680] ほんでいえってやればいいんだろ。はいはい。いいえ。だめだよ。そんなこと言っちゃ。え、ダメなじゃまねえじゃねえか。嘘つき。嘘つきが。嘘つきが。
[00:15:30.720] いやーん。
[00:15:32.720] いやん。
[00:15:34.199] え、な
[00:15:35.600] んでなんでこれってなんだ?なんだよ。恋ああ、そうだよ。
[00:15:45.319] あ、ごめん。プリン。
[00:15:46.800] そうだよ。あ、ごめん。何?何?何?ああ、ごめん。プリン。あ、終わった。終わっそう。
[00:15:56.240] あ、ゴ尾がプリンです。ノりノり。ふ。もういいて。
[00:16:05.839] もうエンディング見たいって。
[00:16:09.000] もう俺エンディング見たいって。これ。
[00:16:10.519] えー、あとね、これもいいらしいよ。これ
[00:16:13.319] 、これを買っとくとこプロトン鉱石を
[00:16:17.000] 食べることで刺激というものを覚えられる
[00:16:19.560] らしいんだわ。覚えよ。よ刺激
[00:16:25.279] わいま今日はマンキーも許す。マンキー
[00:16:28.240] もオッケー。マンキーもあり。いもこれ
[00:16:31.680] ちゃん。れ、もう今日もう
[00:16:34.279] マンキー許可、
[00:16:35.519] マンキー許可、マンキーも容人。
[00:16:41.680] おお、お前い加減しろよ、お前。もう今日攻略サイトを見ていきます。今日は今日は攻略サイトを見ていきます。
[00:16:53.839] お、いいね。
[00:16:57.880] え、どうした?ひ、
[00:17:05.079] え、
[00:17:07.160] た、
[00:17:09.360] どうした?この刺撃絶対変だ。下点でもっと詳しく。あ、はいはいはいはいはい。客時点ありますよ。
[00:17:17.000] 上緒不安定やな。
[00:17:18.520] なあ、
[00:17:19.600] 壊れちゃったかと思った。あれ地点なかったっけ?え、持って。
[00:17:23.679] もう何でもあり。こんばんは。
[00:17:25.559] んでもありです。うん。りさん、こんばんは。いや、なんかさ、このゲーム長なりそうかなと思ってさ。長なりそうや。
[00:17:32.360] こんマンキーひこんばんは。
[00:17:35.080] お、アンさん、こんばんは。あさんもこんばんは。うんちゃんもどうもこんばんは。ま、いましたけど、私には過去ができたの。
[00:17:44.760] 呼んでごらん。あ、あの石だ。何?プロトン鉱石。爆大のエネルギーを持つ鉱石。このエネルギーは深海線シーバなどの力源となる。シーバって何?いや、ありがとう。
[00:17:55.600] あと100
[00:17:56.039] 回ぐらい投げてくんないと食えないけどね。反面人体にかなり悪影響があるとも言われてるから実証はされておいおいおいおいめっちゃくれる。ありがとう。
[00:18:04.120] いいんですか?ゴビッツもたさんクラはブルーランドの森でよく遊んでいたよね。せやね。
[00:18:13.159] どうしたの?
[00:18:14.760] どうした?
[00:18:17.400] 森のに発あれ多分プロトン発症のさんこんばんは。
[00:18:21.440] パ1パーティ1
[00:18:23.080] クラちゃんの武器はプロトンと関係があると思う。うん。そうかもしれない。そうかもしれない。みえ、シさんもありがとう。
[00:18:31.600] 1
[00:18:32.120] シさんもありがとう。1
[00:18:33.120] ビッツ病気の剣はプロトン鉱石よ。それでも森を助けてって言ったのね。それで森も助けてって言ったのね。トクラルちゃんも
[00:18:43.840] ありがとう。
[00:18:44.760] ありがとう。ちゃムけさんちやべ。ごめん。リップクリーム塗っとくべきだったかな。
[00:18:53.000] ほんでる。
[00:18:55.760] じゃ、人工病院行きますか。ノり、もういいから。テンション高いな、お前。テンション高いな。行くで。ちょ、じゃ、リップクリーム塗っていいか?カサカサだから。
[00:19:16.679] わーい。
[00:19:17.960] マンキーいいよ。マンキー。オッケー。オッケー。最高。最高。うん。
[00:19:23.240] はい。
[00:19:24.760] なんかテンション高なってるこいつ。パ
[00:19:26.440] やって。そう
[00:19:30.120] なあ。あのなんかあのやけにはね、煙の出るあの葉ぱ減ってそうだね。しね。あ、俺病気の原因わか先生分かりました。クラちゃんの病気の原因はトン鉱石です。
[00:19:49.760] 何それ?本当なのか?ジョゼット。はい。それしか考えられないんです。黒ひ先生。
[00:19:55.320] C者か?
[00:19:56.840] いや、C
[00:19:57.280] 者は別に入ってないでしょ。そういうの。
[00:19:59.159] クラー。
[00:20:01.080] クララ。ここがプロトン研究所。ここでクラロはよく遊んでいたのか。うーむ。黒ひ先生。意外となんかあの光害が原因で女の子が死にそうになってるって結構重たいテーマ。結構重たいテーマ。
[00:20:17.919] 痛い痛い病かな?え、反面人にかなりある悪影響があると噂らされてきたな。ジョゼット
[00:20:22.520] 社会派
[00:20:23.320] 社会派です。皆病り時間がない。協力してくれ。はい。先生、ちょ、委長、ぼヤボヤするな。え、ジョネットプロトン鉱石をアナイザーにかける。何ですか?アナイザー委長。バイオディフェンスプログラムを立ち上げろ。
[00:20:44.880] そしてそいつに特攻薬を作る方法を計算さ
[00:20:48.200] せるんだ。黒ひ君、一体どうしたのかね。
[00:20:52.400] みんな喜べ。フラロは
[00:20:55.880] 助かる。
[00:21:05.400] たさん、黒ひげ先生と委員長先生は、え、
[00:21:08.120] 優秀なお医者さんでした。え、病気の原因
[00:21:10.559] が分かった。半日で特攻薬を作ったんです
[00:21:12.559] 。え、そのおかげでクラちゃんの要は
[00:21:14.760] みるみる良くなっていきました。そして
[00:21:17.080] よかけた。
[00:21:21.080] それでは黒ひ君、クララを頼みますよ。
[00:21:24.080] 心配するな。私の国で用すればクララの
[00:21:26.279] 病気は完全に治るところで委長何かね。
[00:21:31.000] この船にはこの島にはプロトン研究所に
[00:21:33.240] かなり汚染されているはずだ。第2のクラ
[00:21:35.159] が出ないようにあの特攻薬を有効に使って
[00:21:36.799] くれよな。いや、その特攻薬をこの女の子
[00:21:39.720] に使えばええんちゃん。お姉ちゃん。
[00:21:45.960] 何?くられちゃん。私が元気になって帰っ
[00:21:48.159] てきたらまたお歌を聞かせてね。
[00:21:53.880] いなくなっちゃうんや。
[00:21:59.000] クラらちゃんいなくなっちゃったけど
[00:22:00.520] きっと元気になって帰ってくるよね。
[00:22:01.799] ジョゼット。
[00:22:07.279] 茶まげさん、友達が1
[00:22:08.799] 人いなくなっちゃった。え、
[00:22:13.400] 泣いた。まあまあまあ、そういこともあらね。そういうこともあらね。これでとりあえずで、またあの森に行けばいいらしいよ。に行くといいらしい。
[00:22:33.039] 結局あのなんかプロトン鉱石でアーダコーダはどうにかすんのがこのゲームの目的なのかな。弱ってるから汚染されてる土地から離さないといけない。
[00:22:45.880] なるほどな。なるほどな。確かにそうかも。らちゃん元気してるかな?
[00:22:58.640] あ
[00:22:59.080] あ。
[00:23:02.880] え、お姉ちゃん心配しないで。クらラ必ず元気になって帰ってくるからね。クらちゃん
[00:23:12.320] 死んでそう。
[00:23:13.720] なんかね、あのこのなんかこの階層はなんか死んでそうだよねえ。次何やろっかな?次何やろっかな?
[00:23:27.120] 鳥になったんだよ。
[00:23:31.080] お星様になったんだよ。
[00:23:38.360] ここ何もなくなっちゃったんだよね。ここ
[00:23:40.480] も何もなくなっちゃったんだよな。
[00:23:45.880] え、あとちょっと俺がやってないイベント
[00:23:48.000] 何なんだろうな。ね。シーバって何?シー
[00:23:52.200] バってなんだよ。シーバ。
[00:23:59.159] 猫感
[00:24:01.880] 猫感確かにあるな。そう、そういうのも確かにある。ええ、
[00:24:08.360] 韓国語では結構な暴言。
[00:24:10.320] え、そうなんだ。どういう意味?どういう意味?シーバって?え、
[00:24:14.679] あ、もこらこんばんは。もこら、お疲れちゃん。もこら、お疲れちゃん。どういう意味なの?シーバって
[00:24:22.480] できたよ。
[00:24:23.960] あ、できた。すご。
[00:24:28.399] ちょ、また後で連絡するわ。またもこらにちょっと
[00:24:30.720] 3D
[00:24:31.120] プリンターでなんかちょっと作って欲しいもの作ってもらったんですが。え、ちょっと待ってね。え、何やろっかな?猫の人形と同じく
[00:24:39.760] 猫をにん、猫の人形を蹴ってギんだ感じを覚える。なんやね、それ?え、そうなんだ。シーバってそんなダメなんだ。
[00:24:48.840] シーバター。
[00:24:50.200] シーバター。何?シーバターって?海のバター。何?何のよ、これ?こいつも。
[00:24:55.200] パワしまくって首になった。元上司。
[00:24:58.320] 何何何何何が何俺にパーハ島食って首になった元上司何シーバがシーバっていうの外国人
[00:25:08.279] プロレスリング
[00:25:10.520] それプロレスリングシーバッターねシーバッターあそういうこと
[00:25:18.480] スパシーバ
[00:25:19.320] スパシーバって何語だっけ?スペイン語ありがとうみたいな意味だよな確かな
[00:25:25.440] え
[00:25:26.039] あさんこんにち
[00:25:27.919] さん、こんち猫
[00:25:29.679] の人形を蹴ってギな感じを覚えさせる
[00:25:32.720] らしい。次はちょっとこれ蹴れすっげえ。
[00:25:36.240] これさ、ニコニコ、ニコニコのさ、あの、
[00:25:40.000] あれに見えるんだよ。恋人いる?うん、
[00:25:41.919] いるよ。500人いる。
[00:25:46.200] ニコニコ高明のアイコンこんなだよな。
[00:25:48.880] ニコニ
[00:25:49.880] ニコ高ねえ、どんな人?
[00:25:52.440] 聞かせて、聞かせて。うん、いいよ、いい
[00:25:54.520] よ。聞かせてああげる。乾く暇もねえ。
[00:25:56.640] 乾く暇もないんだった。あ、聞けないんだった。バカ。お前順番待ちしてるっつうの。女が列作って順番待ちしてるっていうの。順番待ちしてるっちゅうの。バカが。よし。猫ちゃんです。可愛い。いや、可愛いのもいいね。
[00:26:18.640] いい
[00:26:20.320] か?可愛い。悲しいってなんだよ。
[00:26:23.240] 稽古しかいないのに。
[00:26:25.240] 稽古なんで稽古が順番落ちしてんだバカ。ちょ、これ蹴っ飛ばしていいよ。あー、まあ可愛いでもいいんだけどさ。可愛い、可愛い。え、ちょっとリさん、そのパワハラ、パワハって一体何されたの?パワハラって一体何されたの?やべえ、もうだめだ。可愛いもんとして覚えちゃってる。蹴ってくれない。
[00:26:54.320] これ蹴って欲しいのに。蹴っていいよ。蹴って。どうしたらいいかわからないわ。蹴っ飛ばしていい。あ、いそうそうそうそうそうそうそうそうそうそうそう。
[00:27:04.399] おい。
[00:27:06.640] 木の下か。
[00:27:09.120] 木の下が懐かしい。猫を投げたで有名なね。今の蹴るものなの?そうだよ。猫は投げたり蹴ったりするものです。ギャふんな感じだわ。よし、覚えた。
[00:27:22.200] あ、ギャフンな感じ覚えたね。ギャフンな
[00:27:24.760] 感じ覚えたね。じゃあ猫、猫行こう。
[00:27:26.919] じゃあ本物の猫をキリ蹴りに行きます。今
[00:27:28.960] から
[00:27:38.840] パワハってあるんだね、本当に。しかも首
[00:27:41.840] になるほどって相当じゃない?相当な
[00:27:45.200] パワハラじゃない?
[00:27:48.120] あ、来た。
[00:27:53.440] 猫ちゃんお魚取っちゃ
[00:27:57.240] だめ。
[00:28:01.000] これ今のこれ絶対これあのあれだよな。
[00:28:05.840] これリマスター版が出たらこれカットさ
[00:28:07.760] れるるってことだよ、絶対。
[00:28:12.000] ヤふンて行ったね。よしよし。ほんで猫にギャンと言わせてきましたよと。こいつに言うと
[00:28:22.559] スだったら炎上してた。
[00:28:25.960] これは大炎上です。猫をギャふンと言わせましたよ。え、本当かい?それであいつはどっかに逃げていきました。そうか。よくやってくれた。これであいつも少しはこれただろう。ありがとう。
[00:28:40.279] レート行っちゃんだからこいつを
[00:28:41.120] 受け取ってくれ。もうすぐここの国の人
[00:28:45.000] たちはお金で買お金でお礼が全部お金なん
[00:28:49.120] だよな。いや、ま、いいやいんだけど。
[00:28:51.399] 1番嬉しいんだけどね。1番嬉しいんです
[00:28:53.519] けど。うん。取引にも独特なかけて俺に
[00:28:58.320] 文句が来てたのを上司飛ば上に報告したら
[00:29:01.480] パパワハ始まったんよな。やだね。
[00:29:10.360] 何が気分だ。例え猫だろがあんな悪さする
[00:29:13.440] には何か訳けがあった。おおおお。炎上
[00:29:16.440] 炎上の日種がいる。面白かって暴力振って
[00:29:19.120] んじゃないよ。
[00:29:21.720] Twitterから
[00:29:24.200] でもナルトアニメアイコンだろうな。多分
[00:29:27.080] な。
[00:29:31.519] 何?防って
[00:29:33.679] 力?
[00:29:35.519] 暴力からなきゃいけないんだ。まずそうか
[00:29:38.320] 。今度は暴力か。
[00:29:42.480] 時には必要だけどな。
[00:29:45.799] 時には必要だと思いますよ。あ、はいはい
[00:29:48.480] はい。暴力団組織
[00:29:52.159] 反射反射力暴力うんねじゃっきのお姉さんに会いに行くか暴力って何か教えてよっとここのイベント始まるんだ
[00:30:19.080] うあ、あんたゴミ捨てばの猫面白がって蹴ったろ。面白面白かってではないけどな。あはね、弱い者いじめするやつは大嫌なんだ。
[00:30:32.240] え、
[00:30:32.519] 暴力あめ。
[00:30:35.240] あめ。しかもあめはあの、あめるの方のあめね。弱いもいじめ。
[00:30:47.000] 笑笑。
[00:30:48.960] 暴力はやめ。
[00:30:52.159] 別にうまくねえだろ。別にそんなにうまくねえだろ。
[00:30:55.880] ダブル
[00:30:57.399] きっとそれでもあのコメントしたら
[00:30:59.440] ban
[00:30:59.600] されるから気をつけて。暴力弱いもの。
[00:31:03.639] うとやっぱ反面教師というかこれはあかんなってなったし。そのおかげで血を得
[00:31:08.559] あ。いいですね。いいですね。もしかして私あの猫に行けないことしてたのかしら?そうだよ。
[00:31:16.440] 蹴っちゃいけないんだよ。
[00:31:22.200] あ、リーさんじゃ会社で偉い人なんだ。
[00:31:24.919] どうしよう。
[00:31:27.919] あ、ごめん。ほら、
[00:31:31.919] なんかやだな。
[00:31:34.440] あ、
[00:31:36.840] 猫に教えたの誰?
[00:31:41.200] バリボリの管理職やあいました。
[00:31:45.360] カがカがいました。カつが。カつ映が。あてたく。お疲れ。中間管理職
[00:31:54.120] 1
[00:31:54.240] 番大変なとこだね。上からも下からもえね。
[00:31:58.480] ごめんなさい。
[00:31:59.240] あ、ごめんなさい。した。えらいじゃん。お許してくれないの?
[00:32:12.919] 土下座しろよ。
[00:32:14.639] なんかこの配信始まる前Twitter
[00:32:16.440] 見せたらX見せたらさ、あの下振り明の
[00:32:20.200] せいやがさ、なんかすっごい笑いながら
[00:32:22.000] 怒ってる動画みたいな流れてきて、それ
[00:32:24.360] 思い出したのなんか。うん。怒ないで。怒
[00:32:27.279] ないで。ただ許さへんてだけやからてやつ
[00:32:29.679] 。
[00:32:31.840] それ思い出したわ。なんか
[00:32:34.440] 竹な音
[00:32:36.559] 笑いながら怒るやつね。
[00:32:40.279] あ、子供がいたのね。
[00:32:44.480] あなたはお母さん猫だったのね。
[00:32:47.600] これ眼体してるよな。でもな、じゃあお魚
[00:32:50.320] を盗んだのは子供たちのダメだった。でも
[00:32:51.960] ね、お魚を盗むのは犯罪です。あの良く
[00:32:55.080] ないよ。お魚を盗むのは犯罪なんだよ。
[00:33:04.960] ごめなさい私。
[00:33:08.919] え、
[00:33:09.679] 許してくれるの?
[00:33:12.159] 猫のも犯罪です。
[00:33:15.519] 確かにお互い様やな。お互い様や。
[00:33:21.720] 暴力はダめだよ。ジョゼッち。ジョゼッちで謝ってきたよと。謝ってきたよと。
[00:33:32.519] あ、あれ?どうやら仲直りしたようだね。サファイア。
[00:33:44.080] は
[00:33:44.840] わあ、私ジョゼットと言います。そん猫はカッつあの友達さ。猫が友達はおかしいか?あんたどっから来たんだい?はい。
[00:34:00.639] コル島です。それ行っちゃダメなんじゃ
[00:34:04.039] ないの?それ
[00:34:06.120] 知ってるんですか?ああ、昔その島に山猫
[00:34:09.720] 団という義族がいたんだよな。これ多分
[00:34:11.800] ワンの時の話全然何っていうかわかんない
[00:34:13.960] 俺もなんだ知らないのかい。1人称当猫団
[00:34:18.639] ていうのは女の女ボスの山猫とボの3人
[00:34:22.879] 絶対ワンの話だ。
[00:34:26.560] 悪い奴らだからお金を奪い貧しい人たちに分け与いたんだよ。ありその山猫にずっと上がれてる。憧れてるんだ。憧れてる。でもあの母さんに備すると無きなるんだ。
[00:34:41.280] いつのネタバレやめてね。
[00:34:42.639] 格好つけても山猫は初詮泥棒だ。そんなものに憧れるな。てね。それで店の前でいいやもうぜちょ待って。もうワンやってないんだけどさ。
[00:34:56.320] これ絶対山猫のボスあれでしょ。あの、あのバーの店長でしょ。絶対絶対そうじゃん。ワンやってないのに
[00:35:11.000] 山猫だね。ん、嘘。ドロと棒が昔山猫団。あ、これ
[00:35:17.720] 1
[00:35:17.839] 番最初のやつな、これ。あ、ワンのキャラクターなんやな。
[00:35:25.520] 山猫団ドロと坊が昔山猫団
[00:35:30.920] いいんじゃない?義族なんだからまさか。
[00:35:39.079] ほんで
[00:35:43.000] これさね、まだ俺あれだよな。まださ、
[00:35:45.800] あの
[00:35:49.440] まだあれなんだよね。あの恋覚えてない俺
[00:35:51.920] 恋覚えたのかな?ちょっとオーディション
[00:35:54.599] やってみていい?続きオーディションやっ
[00:35:57.079] てみていいか?なんか恋を覚えてこいって
[00:35:59.160] 言ったけど俺覚えたことになってんのかな
[00:36:00.720] ?
[00:36:08.640] ではジョゼット君早速見せてくれた前は
[00:36:15.880] 間の恋だの書き
[00:36:18.920] がちょっと変わったかな?どうしたんだい?
[00:36:32.760] そこに愛は?
[00:36:33.599] うん。なんでもない。そこにあいわねえ。
[00:36:46.880] なんだい
[00:36:49.720] このずっと一緒にいるといいね。
[00:36:57.079] ああ、いつまでも
[00:37:05.319] どうですか?合格どうですか?
[00:37:12.480] デュミエール
[00:37:14.640] やっぱりダメか?
[00:37:17.480] 合格だ
[00:37:21.680] 本当ですか?
[00:37:24.319] これで新作映画の昼には決まりですね。
[00:37:26.160] 監督、私が探じ求めていた役者にやっと巡り合えたよ。力に自然に自分が感じたことを自分の言葉で表現できるそういった役さが私は欲しかったんだ。
[00:37:37.880] ゼルダみたいな音した。
[00:37:41.079] あのてケてケてケてケてケてケのね、最初のところね。シコリニアンの連中に気づかれる前に早く設営してまいましょう。おや、君はこの企画に反対なかったのかね。確かに最初は反対でしたけど除さんの演技を見たら気が変わりましたよ。映画を取りましょう。
[00:37:54.079] 監督、僕らは夢を取るためにここの世界に
[00:37:56.599] 行くんですよね。
[00:38:00.160] その通りじゃ。私たちは夢にカメラを納め
[00:38:04.280] 、それを多くの人たちに見てもらうことが
[00:38:06.119] 仕事なんだ。あらん。
[00:38:10.160] 極めて生命に対する侮辱を感じる。
[00:38:18.520] さあ、監督、すぐクランクインしましょう
[00:38:20.680] 。スタックもスタンバイしてますよ。
[00:38:27.000] なんか映画撮ることになったわ。
[00:38:32.560] じまけさん、人間って不思議なことするん
[00:38:34.400] ですね。シコリ、シリコニアに逆らって
[00:38:36.599] 映画を作ったらひどい目に会うって知っ
[00:38:38.040] てるのに。スタッフ全員そんなのお構い
[00:38:39.720] なしです。逆にみんな生き生きとして私怖
[00:38:42.119] 怖いくらいでした。
[00:38:42.760] どうして人間はそんなことするのか擬人のはさっぱり分かりませんがただ素敵だなと羨ましく思いまして何が雨神やったか今俺
[00:38:53.520] シコリニアン心に残りすぎだろ。
[00:38:55.800] シコリニアンがもう頭にこりついぜ。これ映画撮ったことなってんの?これ映画撮れたことなってんのか?映画中演ご苦労様でした。
[00:39:12.480] 映画鑑定したんですか?さあ、今から上映
[00:39:14.960] だ。お、いいじゃない。
[00:39:20.640] さあ、みんな時間がないぞ。映画館で
[00:39:22.480] ゲリラ上映だ。
