[00:00:35.480] うお。
[00:20:10.840] 話しかけますか?はい。オスオス痩せた。
[00:20:14.960] 痩せた。
[00:20:17.159] こんばんは。こんにちは。新入りか
[00:20:20.440] エイガル。
[00:20:20.960] 魔法使いさの名前は?君の名じゃん、これ。どんこんばんは。え、シャドウゲート
[00:20:26.840] 64
[00:20:27.720] やっていきます。おそらくドラクエとの楽さで耳キンとなります。
[00:20:31.520] お疲れ様です。
[00:20:32.480] エジさんお疲れ。エジさんもお疲れ。やってくぞ。シャドウゲート
[00:20:35.720] 64。
[00:20:36.760] おや、新入りか。俺の名前。あ、読んだ。へえ。ディルっていうのか。よろしくな。これ俺が喋ってるわけじゃねえよな。俺がディ
[00:20:44.120] ルってことやな。なんだって盗賊に襲われただって。仲間はみんな死んでしまっただって。
[00:20:50.240] 生き残ったのは君1人だけか。
[00:20:52.960] これ64あったんだ。
[00:20:54.640] うん。もう多分ね、とんでもないドラクエ、昨日までやってたドラクエの楽さがいいと思うけど。よくも無事に生き延びられたもんだ。きっと君は運命の星の元に幸運の星の元に生まれついているんだろうな。おや、モン番のお出まだぜ。モン番
[00:21:11.440] はハーフリングと呼ばれるの青年ビットという名称がぬたぬカナのあれじゃねえかよ。
[00:21:18.520] ホビホビしてんじゃん。ホビットっていう名前が情報。あ、え、使えないんだ。へえ。
[00:21:22.600] ホビット。
[00:21:23.520] ホビじゃん。ノックされたな。飯の時間だぜ。ハーフリング。ここはとっても愉快な国さ。優しいローさんが美味しい手料理を差し入れてくる天国みたいなところさ。
[00:21:43.320] 腹いっぱい食ってゆっくり寝てせいぜ体を
[00:21:45.880] 休めておけよ。何しろ明日あたり盗賊の
[00:21:49.720] 旦那たちの拷問が始まるだろうからな。
[00:21:52.640] 大なしく公益路の情報を教えた方がお前の
[00:21:55.640] 身のためだと忠告しておくぜ。
[00:21:59.480] こいついでも優しいやつだな。俺たちの
[00:22:02.240] こと牢獄に閉じ込めてるのにノックしたぜ
[00:22:05.120] 。
[00:22:06.720] 敵じゃないのかもしれない。え、攻撃論の
[00:22:09.000] 情報なんて知らないなのに拷問を受け
[00:22:10.640] なきゃならないのか。そいつは罪なんだな
[00:22:12.159] 。
[00:22:13.559] 気分展開になるかどうか分からないが盗賊と魔法使いそして宝探ちの救うこのシャドゲート帳について教えてあげよう。
[00:22:20.919] の良さが出てる。
[00:22:21.960] 育ちの良さが見た目に反してな。やっぱ人間見た目じゃねえよ。ここはかつて栄えたカルトゥーン林王朝の状態なんだ。草減の街道から少し離れたところに維持している廃墟の状態さ。
[00:22:36.840] 誰がここには伝説の魔法使いミクラクミールが作った魔法の品が隠されてると言われてるんだ。シャドウゲートにはここ数百年間誰も足を踏み入れたことのない
[00:22:48.720] 4
[00:22:48.880] 本の塔が存在する。え、そんなのあったっけ?
[00:22:50.600] ミラクール。
[00:22:51.279] あ、ミラクールだった。ミラクールだった。それそれらには魔法の封印が施されていて中に入ることができない。俺のような優秀な魔法使いでも不可能だった。
[00:23:04.000] そして君にも君も目にしたかもしれない。不気味な黒い建物ガードハウス。あそこには悪を叩き今しきも眠っている。
[00:23:11.760] この盗賊に襲われ仲間は囚われたりやられたりして主人公もこの捕まってこの牢獄に閉じ込められたところからスタート。
[00:23:21.640] なるほどね。完全に理解しました。何しここシャドゲートは伝説の英雄ロードジェイルと楽ミールやんけ。ミラクールじゃないやんけ。
[00:23:32.480] やっぱラクミールであっさじゃねえか。
[00:23:34.400] ダブル
[00:23:35.279] 今しきも封印した場所なんだ。
[00:23:36.919] 頑張って。
[00:23:37.799] これってさ、ありがとね。ありがとう。ありがとう。これってさ、ファミコンの時の話だよね。英雄ロードジェイル確か確かさ、こいつのさ、ワンっていうか、このファミコン版の主人公の名前ジェイルだったと思うんだけど違ったっけ?まいっかどうでもいい。多分そんな重要じゃないし。多分な。今しきも封印しましょう。
[00:23:59.120] 笑笑。これ多分ワンの時の話なんのかな。
[00:24:03.679] 恐ろしい黒まの目名主は今もこのシャドウゲートの地奥深で眠っているという。つまりこの城は呪われた状態な。あ
[00:24:11.960] あ、やっぱりじゃあ繋がってるんだ。じゃ、この
[00:24:15.919] このその守者ワーロックアーロックってやつがこれラスボスだったんだけど、それそれが多分今わしきものってことね。あ、理解早くね。天才か。大卒。
[00:24:27.120] さて、久しぶりに誰かと話したら妙に疲れちまった。悪いが俺はもう寝るよ。君も寝た方がいいぞ。
[00:24:33.360] やめろ。おい、言うな。それじゃあお休み。学歴。え、でどうすんねん?ほんで出れないんでしょ、これ。操作が。
[00:24:50.919] してきた。
[00:24:51.840] 枠手化してきた。枠手化してきたぜ。
[00:24:54.880] 飯食うべ。あ、そうだね。うわ、またこの
[00:24:58.720] さ、
[00:25:00.559] 上下反転なのしんど。しかもこれ飯の改造
[00:25:04.760] 度引く。これチキンかな?
[00:25:10.640] 骨付きの命侵肉だ。粗松な食事だな。うま
[00:25:13.000] そうだけどね。ジビエ。ジエ料理なんだ。
[00:25:17.039] 肉を食べますか?食べます。
[00:25:20.159] いやいや、こんな
[00:25:22.960] くチラおつ。
[00:25:25.640] まずいな。なんてひどい味なんだ
[00:25:27.960] こいつ。相当あれだな。骨を拾うとかありそうじゃね?骨を拾うとかありそうじゃない?残しの骨だ。先が尖っていて丈夫。そう。これは取っといた方がいいでしょ。これは取っといた方がいいよな。画質が荒い。画質が荒。このままな板みたいのは取れないの?これも持っといた方がいいんじゃないか。
[00:25:48.760] ケムの口悪翻訳。
[00:25:51.360] この翻訳をね、聞きに来たわけですよ、俺は。
[00:25:53.640] え、で、ごめん、マジでこれ操作酔うね。
[00:25:57.880] ごめ、みんな画面から離れて見るように
[00:26:03.480] 骨投げるか?骨なんだよ。眠れないのか?
[00:26:06.159] 牢屋の地下には排水があるらしいな。それ
[00:26:09.159] で寝床が湿めってるんじゃないかな。ね、
[00:26:12.360] 寝ぐ苦しかったがわを動かすといい。少し
[00:26:14.760] はまだマしになるはずだ。それでも眠れ
[00:26:16.600] ないようなら運動したらどうだ?立ったり
[00:26:19.480] しゃがんだり屈伸運動くらいしかできない
[00:26:21.200] けどな。それでも何かしなきゃ何も始まら
[00:26:23.120] ないぞ。じゃあおやすみ。お前はもう何も
[00:26:26.919] しない人になったんだ。無敵の人になった
[00:26:29.320] んだ、あいつは。これが寝こか。じゃあ
[00:26:31.960] これが寝床か。マジで操作さ、せめてさあ
[00:26:35.600] あないよね。そうですよね。あるわけな
[00:26:37.279] いっすよね。いや、これあのカメラの上下
[00:26:40.480] 反転やだな。上に倒すと下向いて
[00:26:45.480] これか。オプション1時間散歩き
[00:26:48.760] のかな。1時間散歩歩きの太るぜ。
[00:26:51.799] 罠が湿めっている。ひどいね。どこだな。これだ。眠れそうじゃない。
[00:26:55.679] オプションあったよ。
[00:26:56.440] え、オプションあった。え、オプションオプションあった。え、オプションあった。待って。オプションあった。全、もう節。あ、本当だ。節穴すぎる。あ、画面の明るさもある。しかも、え、これなかなかいいんじゃない?画面の明るさもあるじゃん。かなり明るくなってるけど。
[00:27:16.120] 3Dスティックフライトリジナル。
[00:27:17.840] あ、だ、フライトだと多分飛行機みたいな感じでこういう操作になる。オリジナルでいきましょう。ああ、良くなった。良くなった。あ、いい、いい、いい。これがいい。これがいい。これがいい。これがいい。ひどいね。どこだな。うん。嘘でしょ?蓋が現れた。こんな都合いいことあるかい?
[00:27:42.720] いいね。
[00:27:43.840] 蓋を持ち上げることができれば脱できるかもしれない。
[00:27:46.039] 笑笑。
[00:27:46.880] 蓋を持ち上げてみますか?それもこんな簡単でいいのか?重くて無理だなね。何かテこになるようなもう骨やん。絶対これですわな。笑
[00:28:01.039] いやいやいやいやいや簡単すぎる。こんなの牢屋として成り立ってねえだろうがよ。
[00:28:11.880] なんかあかぐわしい
[00:28:14.600] BGMがなほな。笑
[00:28:21.200] なホなだよな。BGM
[00:28:23.000] ちっちゃくね。だ、脱獄成功だ。気が早いって。それにしてもひどい匂いだ。水も冷たい。急いで脱出しなければ。ちょっと待って。
[00:28:32.840] BGMちっちゃ。
[00:28:34.960] BGMもっとあげていい?あ、
[00:28:37.039] BGM
[00:28:37.760] あった方がいいよね。こんくらいね。
[00:28:40.120] ね、BGMこんくらあった方がいいよね。
[00:28:43.159] そうね。
[00:28:44.000] ま、別に大していいBGM
[00:28:45.279] ではないと思いますが。
[00:28:46.240] 良いね。
[00:28:48.880] これ酔うぞ。うわ、しかも
[00:28:52.320] BMあったんや。
[00:28:53.600] あ、聞こえてなかった。これ待って。
[00:28:58.600] 強いですね。
[00:28:59.880] これちょっと操作がキモすぎる。
[00:29:07.279] え、ここ入ればいいの?わかりづねえ。
[00:29:17.399] は、は。
[00:29:21.039] 笑笑。
[00:29:25.240] ああ、シャドゲートだわ。うわ、しかもなんか出る。シャドウゲートっぺ。油断した。まさかこの意外なんて。
[00:29:33.399] ディルは下打ちをしたい思いであった。だが水は容赦なくディルの体に流れ込んでくる。
[00:29:38.200] それはディルの口を咲き、後悔は一瞬にして恐怖へと変わっていった。そして次に流れ込む水の勢いよりも早く。
[00:29:44.519] これこれ。
[00:29:45.120] 恐怖は絶望へと変貌した。最後にディルは何も感じなくなった。
[00:29:50.640] これなんよ。
[00:29:52.720] いいね。シャドゲーだね。ちゃんとシャドウゲートじゃねえかよ。
[00:29:58.919] ちゃんとシャドウゲートだな。
[00:30:08.480] トライアゲ。
[00:30:11.720] あ、ならなちゃんこんにちは。ならならちゃんこんにちは。ならならちゃんこんにちは。
[00:30:15.440] シャドウゲート64
[00:30:16.640] というゲームをやっています。謎ゲーすぎる。いいな。味わいぶけ。
[00:30:23.240] 死神さん、また会いたい。
[00:30:24.640] おい、待て。嘘だろ。
[00:30:28.440] 何それ?面白そう。
[00:30:29.640] ちょっと待って。ちょ、ちょっと待ってね。またこっからかよ。おい、これ
[00:30:37.640] トルです。笑。
[00:30:38.760] 嘘やろ、これ。
[00:30:41.360] 笑笑。ドワー。
[00:30:43.240] これはこれはひどい。これはひどいっすね。
[00:30:48.919] ね。笑。スタートで飛ばせるはず。
[00:30:52.039] これはひどいね。た、
[00:30:53.279] 原因か。きつい。
[00:30:56.000] より化してんじゃね。
[00:30:59.279] 嘘やろ。
[00:31:01.639] これね、あのファミコン版のシャドウゲー
[00:31:03.600] トっていう、ま、これもある意味で有名な
[00:31:05.360] ゲームなんで、これの続編ね。超マイナー
[00:31:08.039] な続編。これナちゃんぜひこれ配信でやっ
[00:31:10.720] た方がいい。おもろいから。こっちな
[00:31:13.000] こっち飛ばせ
[00:31:14.960] ないじゃん。しかもこれ
[00:31:17.519] 飛ばせないじゃねえかよ。これ見るんか
[00:31:19.760] これ?え、これさら絶対
[00:31:22.760] 最初から。そんなことないよね。飛た。
[00:31:26.600] シャドウゲート。うわ、またまたこっから見るんかい。
[00:31:33.159] ああ、飛ばせないのか。
[00:31:35.120] こっから見るんだよ、また。なんだよこれ。おい、
[00:31:43.919] 始まったら即セーブ。
[00:31:45.880] 確かに確かにもうもうオープニング見る必要ないもんね。割と運び方丁寧なんだよな。だ、こいつ悪いやつじゃねえかもしれない。
[00:31:54.960] こいつやっぱ悪いやつじゃないのかもしれない。
[00:31:56.559] 来た人にも優しい。
[00:31:59.600] あんま悪いやつじゃねえんかも。伏線です。
[00:32:01.600] ここ伏線なのかいつ。あんまり悪いやつじゃないと思う。
[00:32:05.840] こいつがでかいんじゃなくて主人公がちっさい。
[00:32:08.760] ああ、ホビットだからね。ホビホビしてるからね。身長
[00:32:14.480] 125だろうな、多分。身長125cm
[00:32:20.600] 遅い足が。もう早けて。早けてくれ。
[00:32:28.399] たぬの旦那
[00:32:30.519] またこっかなんかちょっと待ってわ。またねえ。なんか最近めっちゃさ、あの
[00:32:36.720] 普通なら片足あれがかかってくんだよね。あの
[00:32:41.840] 迷惑電話がめっちゃかかってくる。なんか政府長方アーダコーダのなんとかですみたいな。
[00:32:47.840] 05のやつ。
[00:32:49.120] そう。うざいねんけど。あれ
[00:32:52.000] 分かる。
[00:32:53.240] めっちゃかかってくるよね。ちょ、ごめん。もうご飛ばせよ。もうこれさっき読んだから。
[00:33:02.279] 選挙の国税調査かな?
[00:33:04.320] なんかめっちゃかかってくんだよね。もうまたこっからかよ。あ、セーブ。あ、いいや。始まったらセーブしよう。始まったらセーブしよう。あの、とりあえず、あの、じゃあ脱出開けるとこまでやらせて。脱開けるとこまで。
[00:33:25.120] 分かった。分かった。分かった。もう聞いた。聞いた。聞いた。もう聞いたで。
[00:33:32.360] なんで隣の部屋だけ箱あるんだ?
[00:33:36.200] 本当だ。ずるくね、これ。おい、ずるいんですけど。こっちにはないんですけど。
[00:33:42.320] 笑笑。
