[00:00:30.960] う。
[00:06:34.800] 本当あ疲れ。ニお疲れ。え、本当に新車好きで吸ってる人っていないぜ。あれかっこいいと思ってんねん。みんなあんなんわけわかんねえの吸って。え、いいって。
[00:06:48.520] そういうのなので、あの、5分はもう
[00:06:51.199] タバコも最初はそうがろ。
[00:06:53.160] そうろ。す、誰があねん。うんさん、うんさじゃこんばんは。うんちゃんこんばんは。誰があグー?や。ま、タバコもそう、タバコも最初は死者書きバ行くやつ大体頭弱いすからね。
[00:07:03.789] [笑い]
[00:07:08.360] 煙吸いたいならタバコ吸ってろって思ってるんだけど俺だけ。
[00:07:08.379] [笑い]
[00:07:12.199] うん。タバコ吸えばいいよな。タバコ吸えばいいよな。さあ、やっていきますか。
[00:07:15.280] 今日ドラゴンドラゴンクエストですか?
[00:07:17.680] ドラゴンクエスト1&amp;2HD2DHD2D
[00:07:21.879] エディションやっていきますけど今日もね
[00:07:23.240] 。みーちゃんこんばんは。みーちゃん
[00:07:24.080] こんばんは。みみみんな見た?ミーちゃん
[00:07:26.360] が作ってくれた新しいチャンネル
[00:07:28.039] トレーラーTwitterにやつ新しい
[00:07:30.280] チャンネルトレーラーでまだ設定してねえ
[00:07:31.720] けど。あれめっちゃ評判良くね?なんか
[00:07:35.120] じゃめっちゃめっちゃ評判いいじゃん
[00:07:38.360] みーちゃん。あシドさんこんばんは。
[00:07:41.879] トレーラー。
[00:07:42.680] そう、みーちゃんの前で言うのもなんなんだけど、あれ元の映像俺だからね。そこを勘違いしないで欲しいわ。なんかすごい嫉妬したね。なんかみんなの
[00:07:53.120] 8億倍良かったね。
[00:07:55.000] なんでだよ。ほぼほぼ変わんねえだろうがよ。やばそうこと変わんないとか言うとなんか申し訳ない。でもな、逆にすごいわな。
[00:08:03.599] 元々できてる映像からあそこだけ切り替えてあんだけ作んのどうやってやったんだよと思ってプログラムファイル上げたわけでもないのに。まあいいや。
[00:08:10.360] まあ、ま、いい、そんな話はどんでもいい。ありがとうございました。ま、そのうち設定しますんで。うん。本当に本当にね、やっていきます。本当にドラゴンクエストやっていきます。はい。
[00:08:18.599] やり漫がな。ガ探した。
[00:08:21.440] やり、初代頑張って下がった。嘘でしょ?言ってくれたらあげたのに。なんならプログラムファイルごとあげたのに。さあ、やってきます。ドラグニティークエスト
[00:08:31.680] 1&amp;2。
[00:08:32.240] 今日もやっていきますよと。さあ、前回どこまで行きましたか、もう全然覚えてません。もう今日
[00:08:36.919] 12
[00:08:37.159] 時までね、もうすぐ終わるからね。平日はもうすぐ終わる。
[00:08:40.479] すぐ終わるですと借りしますのすごい丁寧な文章来たからとんでもなく軽く返事
[00:08:45.971] [笑い]
[00:08:46.800] 俺だったら全く無む無許可で使うのに許可取らないよ。だって俺にくれた絵だもん。笑
[00:08:53.831] [笑い]
[00:08:54.480] お前らも言っとくけど俺のさ絵とか書いてくれるじゃんみんなあれもう俺に私の時点で所属権全部俺になってるからね将来まジあれでグッズ作って大儲けするからね。
[00:09:04.680] 1負けないから。だって俺にもうその時点
[00:09:07.760] で著作権は俺のものになってるからね。
[00:09:09.560] よろしく。ましいチでやってきます。
[00:09:12.160] ましいチで。で、何だっけ?で、何で?
[00:09:16.079] どんなストーリー?デルコンラルの王様に
[00:09:18.200] 会いに行こう。あ、紋章残り2つやて。
[00:09:22.360] 紋章残り2つなんだって。ゲーム
[00:09:25.200] ちっちゃくね、毎回思うんだけど。
[00:09:35.079] さあ、やってこうぜ。で、笑。
[00:09:36.480] ちょうどいいか。タつも疲れ。タの疲れ。ようこそ諸君。え、ハーゴンの旅の順調ね。ハーゴン。俺の顔、俺の何?声がでかすぎる。でもちまげ声のカ。はい、よろしく。これホテな。
[00:09:53.399] 固定固定のあのライブ前の固定いえそれが
[00:09:57.959] 少々行き詰まって[音楽]おりましてお力
[00:09:59.680] を借りれないか足寒え紋章を探してるんだ
[00:10:03.480] けどなかなか見つからないんです陛下のお
[00:10:06.519] 持ちの情報の中に紋章に関係していたっ
[00:10:08.600] たってやっぱった
[00:10:14.880] 寒いな日に日に足が寒いうー実は最近物騒
[00:10:19.680] な連中が不思議な小石を探しているという
[00:10:22.000] 噂が
[00:10:24.440] それ
[00:10:26.320] おそらく紋章のことだと私もピンの来た。
[00:10:28.800] え、魔物でお前は盗賊たちまでも探して
[00:10:30.680] いるようだ。魔物は分かるとしても人間の
[00:10:33.839] 盗賊が獲えのことを知ってるということ
[00:10:36.160] ですか?
[00:10:39.399] そこまでは分からん。私が教えてやれる
[00:10:42.000] ことはムーンペタの南頭に盗賊たちのアジ
[00:10:45.279] とかあるらしいということだ。囚人さん
[00:10:46.720] こんばんは。ロムテリありがとうござい
[00:10:47.959] ます。ロムってるあざす。え、そこに、え
[00:10:50.600] 、紋章につがる何かがあれば良いのだが、
[00:10:55.240] つまんな、何でも知ってるなと歌っておき
[00:10:57.200] ながら、あまり力になれず。この頃は魔物
[00:10:59.519] どもの動きが活発で町の[音楽]防衛
[00:11:01.279] に注力していて、え、情報収集まで手が
[00:11:04.920] 回っておらんのだ。とんでもないです。
[00:11:07.760] 協力ありがとうございます。
[00:11:09.000] なんかもうこんなもう5
[00:11:09.959] 人で話されたら大変やで、俺。俺読むのこれ
[00:11:13.880] 5
[00:11:14.079] 人で話されたら俺ちゃんとちょっとずつ声変えてんの気づいてるかお前らなあ。大変だよ。もう読まなくていいか。
[00:11:25.792] [笑い]
[00:11:26.399] なんか髪の調子悪い。
[00:11:28.079] 髪の調子悪いっていうか、もう、もうもうなんか何もしてないにパーマかけたみたいなってんねん。
[00:11:33.839] なんか全部同じでせちゃうかな、ボケ
[00:11:38.560] ちゃうかな、ボケ。ウエッティこういうスタ、いや、これがかっこいいと思ってるけど。いや、これがかっこいいと思ってるんだけど。この者感がかっこいいやろ。これおしゃれや。これでどこに行けって全然も話聞てない。何?
[00:11:44.788] [笑い]
[00:11:53.920] カエるか?
[00:11:55.200] なんで帰えるか?なんでカエなんだよ。新車は行くやりなさい。
[00:12:00.880] えー、7
[00:12:02.279] つの思い出を集めよう。盗賊のアジトに向かう。あ、なんかムーンペタの南頭にどうのこうのな。ムーンペタの南頭にアーダコーだ。
[00:12:11.480] C
[00:12:11.760] しバだけにバってかよろしくお願いします。今日もやってきます。
[00:12:26.880] ビブレチュムプ。
[00:12:28.240] 今日はダメだ。
[00:12:28.839] うん。今日はだめ。今日はダめ。[笑い]
[00:12:32.600] 今日は今日今日やめ。もうなんか今日ダめだ。
[00:12:35.399] 今日のレイド先どこにする?
[00:12:37.188] [笑い]
[00:12:38.639] 今日やめ。もうダメかもしれん。ムーンペタの南頭って言ってたな。ムーンペタの南頭。ムーンペダ。よし。なんかレベラレベルそろレベル足んなんくなってきてるような気がしてるんだよね。前回めっちゃ苦戦したもんな。
[00:12:57.880] それか。プルプ。ちょっともう、もう
[00:13:01.600] めんどくいからトイロするで。
[00:13:09.399] ここどこ?どこやねん。
[00:13:14.800] はぐれメタルとか出てこないともう
[00:13:17.399] バカバカバラパ
[00:13:19.560] 。マジで神玉だよな、マジで。あ、ここ
[00:13:22.320] なんか前行ったで。前んなんか行ったで。
[00:13:25.760] マジで。
[00:13:26.680] 2はもう噛みすぎる。
[00:13:29.639] このBGM好き
[00:13:30.760] わかる。うん。パラパラでは
[00:13:35.199] ここのことかもしれませんな。前行ったよな。ここ前来たよ。俺
[00:13:38.320] 1
[00:13:38.440] 回ここ何もなかったけど不気味な雰囲気ね。ここは何もないんじゃない?
[00:13:44.880] 戦闘局もよ。よい
[00:13:46.519] 魔物なのにこういうのは怖いんだね。
[00:13:49.839] 前髪もバカ伸びた。もうもうマジで伸ばすからな。
[00:13:53.079] マジでトムブラウンのあのあのあいつぐらい伸ばすからね。布川ぐらい伸ばすよ、俺。髪と布川ぐらい伸ばしていいか?
[00:13:59.064] [笑い]
[00:14:04.199] き
[00:14:05.680] ね。そこはそこあうみーちゃんさすがいやそこはダメだろみたいな。もう
[00:14:13.440] 1
[00:14:13.560] 人の方伸びてないねん。はい。何をだってドアドア積んだもん。
[00:14:20.024] [音楽]
[00:14:20.399] 誰もいないのに気配だけしてなぜかざつくような感じ。え、わかります。もうこんなんダブルデートやんけ。もうこいつら髪
[00:14:29.360] のでちめるぐらい伸ばしてほしいな。もうこダブルデートやん。なんかもうリア充の旅見てるような気がしてきたわ。
[00:14:36.440] おす。おネお疲れちゃん。やってます。今日もえー大丈夫だよ。なんかないか?え、ほらなんかないか調べながら行こう。ダブルデートしてますやん、もう。
[00:14:47.800] これ
[00:14:48.360] 三島平の髪型にしてくれないか?
[00:14:50.810] [笑い]
[00:14:51.759] あの鉄拳のな、こういうのな。ここ全ぞりしてこうな。あれでも結構伸ばさなきゃできないぜ。あれ俺逆やねん。どっちかって言ったら横がないからここがないから三島逆三島になっちゃうだ。逆三島。あ、やめろ。逆剃り待ちみたいな。逆三ミ三島。あ、わしもあれか。
[00:15:16.199] アメリカのソリもやもうやだ。うわ、
[00:15:24.759] もうそれ本とやめて。それ
[00:15:26.839] 毒逆シリーズおろ。
[00:15:29.720] 笑なんで自分から言ったんだよ。も
[00:15:30.110] [笑い]
[00:15:32.079] 逆り待ちやめて。
[00:15:33.120] それ俺がいやでもなんか知らないやつ知り
[00:15:36.660] [笑い]
[00:15:37.639] 知らないやついるかもしんないから言うけど俺が昔あのこネタついとかやってる痛い時代受けるかもと思ってやったら
[00:15:45.175] [笑い]
[00:15:47.279] 30位3位3
[00:15:50.399] 人ぐらいしかつかなかったやつね
[00:15:53.560] 3
[00:15:53.759] 人ぐらいしかつかなかったやつ受けると思ってやったらもう次それツイートしたらマジ配信やめるからねツイートじゃねえやツイートじゃなくてコメントした
[00:16:02.959] 俺は面白いと思
[00:16:04.040] ね。うるせえ、うるせえ。黙れ。
[00:16:06.800] アメハえぐい。
[00:16:08.279] ア、アメハ[笑い]
[00:16:11.360] また別日にします。
[00:16:13.341] [笑い]
[00:16:14.440] ほんまやめてくれ。ほんま
[00:16:16.079] 5いいねじゃなかった。5
[00:16:17.720] いいねだったかな。このツイートをじゃ、この話を配信でしたら明後日スナーが明後日ぐらいついた。こめちゃんこんばんは。こめちゃん、こんばんは。やりますよ、今日も。
[00:16:29.839] え、聞こえてはいけないものが聞こえているような。でもちなみにもう今追い消ししたからね。それん本当に音が聞こえてこない?何の音が聞こえんねん。
[00:16:40.959] 逆剃り待ち予測変換
[00:16:42.920] 入れるな。入れるな。本当だ。でもどっから聞こえてくるの?探して。何?音なんか聞こえる?音なんか聞こえなくね?あれ?もう怖くないの?え、私以外も聞こえるなら、それはただの音でしょうから。
[00:16:57.759] 何それ?
[00:17:04.720] 行くぜ。
[00:17:07.720] なんか音なんかしなくねえか。
[00:17:10.640] なんかもういきなりボス戦とかあり得るよ
[00:17:12.799] ぜ。うわ、じゃ、回復してねえじゃねえか
[00:17:14.799] 。バカ野郎お前。バカ野郎お前。こんちす
[00:17:19.600] 。レドルドと
[00:17:34.960] 申します。こんくらいね。死んだこんちゃ
[00:17:37.400] 。こんくらいレベル
[00:17:40.080] こんくらい貯めてたから全盛紀のレトルト
[00:17:42.400] の挨拶。全盛紀のレトルトのいやいや、
[00:17:46.360] マジマジいや、マジだって。
[00:17:48.039] 全盛紀のレトルト知ってる?レトルトのこんちゃす。レトルトと申しまて言うじゃん。あれろ
[00:17:55.000] 全盛紀のレトルトと申しますのためこんくらいだったからね。あ、こんちす。レドルトと
[00:18:11.400] もういいって
[00:18:13.200] 回しま。いや、こんくらい貯めてたよ。
[00:18:16.880] こ、アホらって。お前だよ。
[00:18:19.102] [笑い]
[00:18:20.080] アホらて。おい、誰がやねん。今もこんばんは。まだ少ない。
[00:18:26.080] まだまだまだもっと言ってもっと言ってたよな。もっと言ってたで。全盛紀の油りノりどころのレトルドのもっと言ってた。もういいってなんだよ。俺に言うなよ。本当にやってんだから、レトルト。レトルト本当にやってんだからレトさん。
[00:18:46.612] [笑い]
[00:18:47.559] レトさんな。うわ、怖。絶対ボスやん、こんなん。絶対戦うやん。なんかと
[00:18:58.039] レトルトってニコニコの人やピが詳しいよ。あ、確かに好きなそう。ちまさんって誰?俺?ちまさんないよ。別にちまさん。ちゃまさんはもうはいいっす。はい。ありがとうございます。
[00:19:12.813] [笑い]
[00:19:14.159] 逆にもうそれがオリジナルの挨拶かなっていうぐらいこれやる気のなさ。挨拶とかいいねん。別にゲームやってるだけなんだから。何これ?どういうモンスター?これどういうモンスター?これ
[00:19:28.799] ドブゲームズのチまです。てやめよ。その
[00:19:31.600] YouTube時代のその
[00:19:34.159] YouTube時代のなかった設定
[00:19:35.960] DBなかったっけ?
[00:19:38.600] じゃ、シャバゲームと申します。
[00:19:40.000] って言ってのはだからレトルトと申しますをパクってやってたんだよ。俺もだんだん貯めてってやろうと思って盗すっとの青年お断りだね。
[00:19:45.563] [笑い]
[00:19:52.000] そこリスペクトなんだ。笑笑
[00:19:54.000] そうそうだよ。レトさんだよ。全然好きじゃないけど別に別にお前の許可別に闇帽子別にお前の許可はいらないさ。殺して奪うだけだからな。あ、そういうか。
[00:19:57.353] [笑い]
[00:20:09.200] あ、そういうモンスターだったんだ。鼻でか。やめなさい。罪のない人から物を奪うなんて最低。ゲプだ一緒。今ワイルド本
[00:20:19.159] ゲや。
[00:20:20.559] 何がやね?俺が俺こんな俺こんなか?
[00:20:24.440] 俺こんな鼻で鼻でかい。そいつらが先に俺たちから奪ったんだよ。
[00:20:33.080] 茶窓可愛い。
[00:20:34.120] 可愛いでしょ。
[00:20:34.720] これだから俺だだだから俺は取り戻しているだけさ。は、お前らには関係ねえよ。私は情報で提供しただけで本当に関係ありません。
[00:20:48.960] なんか物のけ姫にいたよね。こういうの。
[00:20:51.440] ええ。おおおお、おっこ主。お、夫男主だが。おっこ主な。あ、ニたこんばんは。ニたお疲れ。ムストだとしても私たちの目の前でそんなこと許せない。
[00:21:03.480] なら先にお前たちを片付けるまでだ。
[00:21:05.520] シしャりこと後悔するがいい。首族おるや
[00:21:08.480] ん。夏
[00:21:10.880] いやいやいや。これ手抜いたろなあ。首族
[00:21:15.120] はこうやって踊んなきゃだめだろうがよ。
[00:21:17.520] ジョーカーの時みてえな。なあ、
[00:21:20.159] ジョーカーのレガリストに出てきたやつ
[00:21:22.200] じゃねえのかよ、こいつ。あ、命令しろん
[00:21:24.559] にちゃった。命令させない。命令。あ、ま
[00:21:26.159] 、いっか。勝てんだろ、多分。
[00:21:28.480] 多分勝てんべ。
[00:21:32.679] 勝てる、勝てる、勝てる。命令しなくていいよね。
[00:21:36.880] もうこの辺はもう
[00:21:37.760] ないないとあかんですわ。油断
[00:21:39.960] 跳ねないとあかんですわな。いや、こいつらはいけるよ。もう時代は何でも
[00:21:45.000] AIの時代なんだから。え、え、
[00:21:49.720] 400
[00:21:51.480] 何今の何された?今
[00:21:53.480] 何した?今
[00:21:54.159] ト猫も交互ムーブだったな。
[00:21:56.520] 足引っ張ったね。
[00:21:59.279] 邪魔びっくりこ
[00:22:01.240] いやいや死ぬ死ぬ死ぬ死ぬ死ぬ死ぬ死ぬ何これこの人何
[00:22:08.919] 4連発
[00:22:10.760] あれだプノスヒュプノスハントだよ
[00:22:17.480] カミやんやん懐かしいドラクエ
[00:22:24.880] 11のな神マイキルは
[00:22:30.760] よし。パミ。
[00:22:31.559] これで
[00:22:32.320] セイン
[00:22:34.360] セインパミ。ちょっとほんまやめて。ちょ、ほんまやめて。あ、死ぬ。あ、死ぬ、死ぬ、死ぬ。あん。
[00:22:45.600] 気をつけて。
[00:22:48.840] 強いな。なんやねん。なんやねんこれ。
[00:22:57.039] 行けるいける。まだいける。まだいける。ちょっとお前やめて。だ
[00:23:03.520] 油断適。
[00:23:04.520] いや、行けるいける。大丈夫。ここからだから。ここからうちのちょっとほんまもうほんまちょっとほんまにやめてくださいよ。そのなんか眠らせて狩るみたいな。あ、まずい。こ
[00:23:16.480] からがま、
[00:23:18.279] こ、あ、終わった。
[00:23:22.400] なんだっけ?あのさ、ダブル、
[00:23:25.159] あのなんだっけ?ほら、
[00:23:27.440] ヒュプノスハントって寝てるやつに
[00:23:29.640] 6
[00:23:29.919] 倍のダメージだっけ?意味わからん。うわ、もう語れへんやんけ。これもう無理やんか。
[00:23:45.760] いや、大丈夫、大丈大丈夫。大丈夫。行ける、いける、いける、行ける、いける、行ける。こっから、こっから、こっから、こっから。
[00:23:51.240] もうなんなんこれ。裕ジホリーこれ。いや、もうあかんわ、これ。
[00:23:59.159] 1
[00:23:59.360] 回もう瞑想とかしなくていいよ。もうどうせ負けるから。いや、ま、最後まで見守ろうか、
[00:24:04.960] 1
[00:24:05.080] 回。まずもう次ちょっと命令してやるわ。本気でやるわ。ったのに。
[00:24:09.039] ちゃうちゃう違う。じゃ、命令したら余裕だから大丈夫。命令したら余裕だから。命令したら余裕だから大丈夫。
[00:24:19.440] ここから迷惑かけた。
[00:24:21.679] いや、ワンチャンあるぞ。あ、ねえや。ああ、ねえや。クッキーが
[00:24:25.906] [笑い]
[00:24:28.720] 4回死んでる。このこの戦いでクッキーが
[00:24:31.146] [笑い]
[00:24:33.200] 4回死んでるわ。あ、5回目死ぬぞ。これ
[00:24:35.240] 5回目来るぞ。5回目。
[00:24:36.840] かわいそう。
[00:24:39.679] あ、終わった。あいた。やる。
[00:24:42.679] あ、いや、まだいるぞ。まだ、まだいける。まだいける。まだいけるぞ。頑張れよ。
[00:24:47.000] 頑張れ。
[00:24:48.919] 1人1人1人1人行け。
[00:24:51.600] 余裕持たないと。
[00:24:53.159] もういい。もうやめよ。もう分かった。もうもう負けよ。もうやめよう。やめよ。やめよう。もう、もう、もう回復しなくていいよ。これ長くなるわ。長くなるから。長くなるから。これもうちょっとあのもうちょっと命令、命令で行こう。ちょっと命令させて。ちょっと次もう
[00:25:09.640] 1回やらせて。やっぱAI
[00:25:11.279] に任せちゃだめだわ、まだ。お疲
[00:25:13.799] れ。お、もら、お疲れちゃん。
[00:25:15.399] はい。
[00:25:15.960] 開幕全滅。ま、こっからよ。こっから。こっから。これもう最挑戦で行きますわ。うん。余裕余裕。ちゃんとデバフ振らなあかん。
[00:25:27.360] いつもここから。
[00:25:28.520] いつもここからね。
[00:25:30.480] ああ、
[00:25:31.240] バカろ。バカろ。グ。邪魔だ、邪魔だ。あんまりいねえだろ。いつもここからって振られてそっちの方やるやつ。悲しい時じゃなくてそっちだから俺は。邪魔だ、邪魔だ。どけ、どけ。
[00:25:44.840] こにゃロめなんとかなんとかではい、やってきます。わしは逆張りこんにろ目のとこ好きなやろ。この野郎目。
[00:25:55.642] [笑い]
[00:25:59.600] えー、あと悲しいね。悲しいね。
[00:26:04.480] ちょっと進んで前ならえ。
[00:26:06.778] [笑い]
[00:26:07.760] あれ別につこからのネタではねえだろ。
[00:26:10.640] あれやらされてるだけであれはピタゴラスイッチのネタだろあれは待ってゾンビ切りとかさ闇帽子ゾンビでしょどう考えてもこいつ悪魔かゾンビやんな
[00:26:26.520] 出ます収
[00:26:28.679] 空気が入ってシューバイキルトバイキルト入れたいよねんでさ絶対スクルトやね
[00:26:40.200] そろそろ終わりかな?
[00:26:43.039] そロそロ終わりかな?そろそろ終わりかな?そろそろ終わりかな?終わりじゃないんだよ。じゃないんだよ。
[00:26:55.320] 作るぞ。
[00:27:23.600] いや、お前らがその、そのつもりならそれ
[00:27:26.320] で行くけど俺も
[00:27:28.679] お前らがそういう感じで今日行くんだっ
[00:27:31.240] たら俺もそれ
[00:27:32.760] の態度取るよ。申し訳ないけど
[00:27:36.159] 頑張れそう。ルカにボーベリークてパの課題のせい。
[00:27:50.760] イエー。もう壊ないで、これ。もう壊ないで。あいつなくなったら余裕よ。ここまで来たらね。
[00:28:00.200] こいつ何系ね。さすが
[00:28:02.320] に勝ち
[00:28:03.120] ねえ。このさ、首カり族って何系?
[00:28:08.240] パワー系?
[00:28:09.919] [笑い]
[00:28:10.919] うん。パワー系。ま、確かにパワー系ではあるけどパワー系ある。パワー系。切りある。パワー切り。電
[00:28:19.799] アフリカ系。
[00:28:21.240] アフリカ。あ、確かアフリカの部族っぽいけど。こいつ何系やねん。
[00:28:28.320] 何が1番効くの?卒。
[00:28:32.844] [笑い]
[00:28:34.960] 確かにな。要卒だろうな。どだって洞窟ぐらしだもん。こいつ最終学歴卒だろうな。え、ちょっと待って。獣か真ん中から行くか。真ん中から。真ん中から行っちゃうよ。真ん中から行っちゃうよ。
[00:28:52.320] で、プリンちゃんが死なれたら困るから。
[00:28:58.399] いや、でもだったら[音楽]まだもう1回
[00:28:59.519] ルカに入れたいね。こっちもルカに入れて
[00:29:01.840] 。えー、スクルトはいらない。いや、どう
[00:29:06.000] しよっかな。
[00:29:08.720] フバーハも別にいらないから。
[00:29:11.799] だったらもうダブルカニからのベホまで。
[00:29:16.039] これ完璧でしょ。にはさせない。ナイス
[00:29:18.360] 危ないよ。
[00:29:19.360] ナイスナイスナイスいいよ。
[00:29:21.200] どうかしら。おにう。
[00:29:24.519] 792。
[00:29:27.799] 792でございます。
[00:29:30.320] 792。
[00:29:31.320] これもう勝ち申したな。こうやってやらなきゃいけないんですよ。
[00:29:35.240] 792。
[00:29:36.640] こうやってやらなきゃいけないんだよ。わかるか?
[00:29:40.760] AIに任せて。まだまだ、
[00:29:43.240] まだまだ、まだまだ
[00:29:44.760] AI
[00:29:45.080] にね、仕事奪れやしないよ、配信者は。まだまだ。
[00:29:51.320] まだまだ人間のものですわな。配信はこれで落ちるべ。ナイス。
[00:30:05.720] 普通にやっても380
[00:30:07.480] 行くんだから。そしたらどうすかな?飛び膝蹴り。
[00:30:16.880] どうすっかな?政剣好きっちゃう。
[00:30:25.919] よいしょ。
[00:30:27.240] ナイス。
[00:30:29.760] これでもさ、なんか当たんない時あるよね、お前。攻撃ね。ああ、ま、ウィングブロっすわな、やっぱりな。やっぱ困ったらウィングブローなんよね、やっぱり。
[00:30:44.159] シアなんです、やっぱり。
[00:30:47.399] やっぱりシアですよ。シア。あれ、
[00:30:52.799] こいつなんかあんまり特技とか効かない
[00:30:54.880] タイプか。強い。やっぱり
[00:30:59.360] やっぱりハンフリー直伝のハンフリー直伝
[00:31:03.200] のシアは違いますね。
[00:31:08.320] プリンはルカニじゃない。マラーだね。
[00:31:13.321] [笑い]
[00:31:14.799] まさかやしやそなんかそ、なんかそれよくわかよく分かってないけどなんかあれだよね多分なんかあの政治的なんか匂いがするから
[00:31:28.559] ベホマラ
[00:31:30.799] 助かったよにで帰ります。なんだすんにって誰余裕だわな。
[00:31:43.279] ま、余裕ですわな。俺の、俺ぐらいの手にかかれば。そして私
[00:31:49.240] 36です。圧
[00:31:51.159] 圧勝。やっぱAI、まだまだAI
[00:31:53.559] ですよ。まだまだAI
[00:31:55.120] なんかには負けやす。まだまだ死にぼじゃんねえ。パツじゃん。こいつ
[00:32:03.519] パツじゃん。これパツのやつでしょ、これ。爆裂剣って。
[00:32:08.760] いや、思い出すわ。ハさ思い出すな。
[00:32:10.440] ドラの発さね。パツ
[00:32:15.919] パツ熱すぎ。
[00:32:17.039] パツは熱いね。
[00:32:19.360] ああ、パツアパツまえあすごいじゃない?もうやっぱここら辺まで来たらもうさ、終盤な感じするけどな。爆裂剣とマキャド覚えたドラクエなんてもうあともう終わりでしょ、すぐ。
[00:32:32.799] パツり。
[00:32:33.840] あ、あ、パツ。あ、パツ。あ、パツ。
[00:32:36.039] あ、ツ、あ、アパツ。あ、ツ、あ、あ、あ、あ、あ。え、さっきのヌスさんは、
[00:32:44.600] てえ、もう発って古いの?そんなにブームって早いの?やっぱ若のすげえな。若のブームのスピード。
[00:32:54.399] ポン出てくる。[笑い]
[00:32:56.000] あ、U
[00:32:56.480] ポンが古いってこと?ま、確かにそれは古いかも。え、戦ってる間に逃げたようですね。落ちてますやん、なんか。
[00:33:07.960] 何?どこかの鍵って?
[00:33:11.080] 古いよ、それ。
[00:33:12.880] う、お疲れ。
[00:33:14.159] アリルさん、お疲れじゃん。ありルさんお疲れ。さっきの盗さんが落とした鍵ですかね。でもどこの鍵だろう?あいつはどこに行ったの?ていうかそもそもなんで魔物の持ち物なんか盗んだのよ。知りません。私はただ変な石のありかを教えただけで。変な石。
[00:33:30.480] それとまさかちっちゃくて模様が書かれ
[00:33:32.399] てるやつ。そですがどうしてご存知なん
[00:33:35.960] ですか?
[00:33:39.159] 近頃その小さな石を探してるものが多いん
[00:33:41.000] ですよ。え、教会の人間や盗賊団さらには
[00:33:43.639] 魔物まで逃げた彼もその1人で石のありカ
[00:33:46.320] を教えたらとんでもない額の金を払うと
[00:33:48.000] いうので頑張って情報を集めきたんですよ
[00:33:50.000] 。私、生まれも育ちも貧乏えあり金も
[00:33:53.279] つきるところだったので、それはもう必死
[00:33:54.760] に
[00:33:56.480] 自分語り乙つ。別聞いてねえよ。[笑い]
[00:34:00.159] 私こう見えて情報なのは情報屋したは一な
[00:34:02.799] のでね。え、見事石のかを突き止めたの
[00:34:05.240] ですよ。
[00:34:08.720] コメラン嫌われるタイプだな、こいつな。
[00:34:12.000] え、あなたの事情は分かりました。
[00:34:14.103] [笑い]
[00:34:15.399] 俺も使おうかな、これ。
[00:34:17.320] なんかコメント欄であの字してきたらあなたの事情は分かりました。それで
[00:34:21.963] [笑い]
[00:34:22.119] いいね。
[00:34:22.879] いいね。煽り大や。こいつなかなか
[00:34:25.839] なかなか。プリンさん配信慣れしてるよね。
[00:34:28.359] 笑笑
[00:34:29.000] あなたの事情は分かりました。いいね、これ。
[00:34:31.133] [笑い]
[00:34:33.320] 火力高い
