[00:00:08.800] よし。うわー。
[00:05:23.360] ニコニコじゃねえかよ。ニコニコ。ニコニコって
[00:05:28.199] 12時間。
[00:05:34.639] ま、おそらくこれだろうな。おそらくこれのことなんだろうな。
[00:05:38.720] 6
[00:05:38.960] 時間なんだ。
[00:05:40.800] わこつわこつ。
[00:05:47.120] わこわこつこれ
[00:05:52.840] にこニコ動画
[00:05:54.319] にこニ動画な。ここまで戻さなくていいのに。
[00:06:03.039] わこつ延チ
[00:06:10.800] 円
[00:06:14.560] 午前1時くらいをお散らせします。
[00:06:16.960] みんな何気ニコニコ通ってんだな。おい、まだこれ上まで行かなきゃいけないってことね。
[00:06:29.639] これ水のない状態で上まで行かなきゃいけないということです。てことは貴様の力を借ります。
[00:06:36.199] 入れユーストユスト
[00:06:40.280] reamユスト
[00:06:42.400] reamってまだあるの?
[00:06:44.360] 通ってない人間なのでわの意味をました。
[00:06:48.960] り乙つね
[00:06:49.479] もうないよ。
[00:06:50.160] あ、もうないんだ。
[00:06:56.800] 延長
[00:06:59.680] ポツマルポで番組やってたわ。
[00:07:02.120] へえ。あ、そうなの?
[00:07:05.520] そうなんだ。
[00:07:07.520] ジャスティンTV。[叫び声]
[00:07:09.639] ジャスティンTV。
[00:07:24.919] え、
[00:07:25.919] 主装ってさ、おい、これってよ。
[00:07:30.599] キャンペーンガールやってた時やってた歴史。こいつに負けないように行かなきゃいけないこと聞たよ
[00:07:36.759] ね。
[00:07:38.505] [笑い]
[00:07:39.639] 懐かしい。なんか
[00:07:41.479] ダーツのキャンペがある。へえ。
[00:07:47.639] キャンペーン
[00:07:48.120] ガールって何?え、なん?え、キャンペーンガールってなんか?
[00:07:52.680] え、何?キャンペンガールってなんかいわしいことわかんない。え、キャンペーンガールって何?
[00:07:56.190] [笑い]
[00:08:00.120] [叫び声]
[00:08:01.080] おい、
[00:08:03.240] キャんギャルやで。むく[叫び声]
[00:08:07.319] いかがわしい衣装はあった。
[00:08:08.960] あら、
[00:08:11.255] [叫び声]
[00:08:11.919] あら、そうなんの?
[00:08:13.520] お手騙されとる。
[00:08:14.520] お手玉されてますがな。
[00:08:19.440] ガさすがただよエロス。
[00:08:21.960] ただよエロス。
[00:08:25.000] ただよエロスですね。それはお手玉されたいですね。キャンギャルにひわしもキャンギャルに。はいはいはいはいはい。
[00:08:30.905] [笑い]
[00:08:42.240] ピアキャス見てたら配信ガチ勢乗れたのに。
[00:08:45.600] ピアキャスピアキャストピアキャストってだからあれだよね。あのあの島村さんとかって元々ありますね。
[00:08:58.839] なんで乗れねえんだよ、今の。
[00:09:04.800] おじえ。今のの
[00:09:06.399] そうなの?
[00:09:07.440] え、確かそうじゃない?そのそんくらいからやってる人じゃない?
[00:09:10.000] 先生とか
[00:09:12.320] ピアキャスでしょ?あの
[00:09:13.440] 長い先生に凸ったか。
[00:09:16.600] あ、わかんない。
[00:09:19.839] 島村さんとかもうそ、もうめちゃめちゃ古いよ、あの人は。その配信っていうコンテンツのもう一番最初からやってる人じゃないね。お手しないでやめてねえ。やめて。
[00:09:52.920] ポート解放できなかったから見れなかった。
[00:10:00.480] うまい。いた。よし。たよ。
[00:10:03.160] いたたた。あ、
[00:10:05.839] うまい。
[00:10:07.000] うまし。うまし。勝て。よし。ゴー。
[00:10:13.200] うまいじゃん。
[00:10:17.640] ピース。
[00:10:18.839] ピー。Pースのピ。
[00:10:28.920] ダウンの赤い。みんなわかんない。
[00:10:32.082] [笑い]
[00:10:32.720] な、何なんでしょうか、これは。ヤッホー。
[00:10:39.800] たまピ。それは白草。
[00:10:42.760] 何なんでしょうか。
[00:10:43.760] オリジナルか。
[00:10:45.560] これって24個マップあるってこと?
[00:10:48.760] どういうこと?なんで24個?なんで24
[00:10:51.639] 個?お前、これどうすればいいんだ?これ赤コインはどこ?赤コインはどこ
[00:10:55.662] [叫び声]
[00:11:07.600] うわほうほややわ
[00:11:36.760] や、俺あの柵入ったことないんだけど。ダウンタ。あ、あそこだっけ?ダウンタウンってあそこ中だっけ?
[00:11:40.203] [叫び声]
[00:11:55.040] そんなような感じだった気がす。
[00:11:57.320] めっちゃ進んでんじゃん。
[00:11:58.800] そうね。うまいからね。邪魔ゲームうまいからね。
[00:12:04.880] 茶げって檻の中入ったことある?気が
[00:12:08.160] ない。さすがに。さすがにない。
[00:12:14.880] さすがにないよ。
[00:12:16.680] ないか。
[00:12:17.440] うん。
[00:12:21.760] 鳥、取り調べ、取り調べもないか。あの交番の奥にはよく入ってたけどね。は。
[00:12:28.673] [笑い]
[00:12:32.240] え、全下ないの?
[00:12:33.639] ねえよ。そっちで驚く?ないことで驚く?
[00:12:37.440] はは。笑
[00:12:38.800] ね。あれってどうやって入るの?ここにここってどうやって入るんだろう?もうちょっと水移上がる。
[00:12:45.560] もうちょっと水移上が上がる方法方ないの?これもうちょっと推移が上がるよう
[00:13:03.040] お、ここの上とこ怪しくねえか?わ、違
[00:13:21.800] あいつや。
[00:13:26.199] ヤッホー。
[00:13:31.040] さすがにこれは届かないんちゃうか。ああ、どうやって行くんやろう。そこあいつだと思うんだよね。キーマンは。うえ。
[00:13:49.120] え、行けたんちゃうの?今の
[00:13:51.360] 段届かないかな?
[00:13:52.759] 今ね、今行けたんちゃうの?これ
[00:13:56.440] 行けそうだね。意外とむずいんですよ、実は。皆さんが見てらっしゃる皆さんが思うよりも意外と難しいんです。
[00:14:02.339] [笑い]
[00:14:16.600] なんでこれできないの?なんなんで最後の最後の
[00:14:21.839] 1段がいかないの?こいつ根性なし。
[00:14:27.759] もうイライラする。
[00:14:38.079] ああ、こいつバカだ。なんでなんで最後の
[00:14:40.639] 1発が出ない?
[00:14:52.440] 何これ?なんで最後の
[00:14:54.199] 1発が出ないのよね。
[00:15:07.840] [笑い]3段ジャンプできないんだけど。
[00:15:12.000] チまさん、横中あんま使わないっすね。
[00:15:14.720] 横。横中。え、横。え、横ってどうやってやるの?え、横ってどうやってやるの?え、俺知らないかも。それ
[00:15:32.759] 測点ジャンプ懐かしい。
[00:15:34.079] え、得点ジャップってどうやってあんの?え、爆しかできないんじゃない?
[00:15:46.839] ちょっと寝るわい。
[00:15:48.160] おやすみ。なんかのステージでやってたよ、あなた。
[00:15:51.399] おや。え、やってた?
[00:15:53.079] これ
[00:15:56.720] いつもだったらランディお前知ら。あ、行けた。
[00:16:01.920] いつもだったら
[00:16:02.880] てたまたま
[00:16:04.040] 行けました。いや、うん。俺よくわかってない。
[00:16:07.360] それ、それ、
[00:16:09.000] これ違うんだ。違う概念なんだ、これ。あの天と
[00:16:12.759] 行けちゃった。
[00:16:13.560] 違う概念なんだ。これ一緒かと思ってさ。いや、いつもだったらランディがあるよとか言ってきた時、お前絶対知らねえだろうっていうとこだったんだけど、このゲームは本当にちょっと知ってそうだからな。何とも言えない。
[00:16:26.000] 笑笑。
[00:16:26.560] あまり強く言えない。
[00:16:29.120] 俺より本当に詳しそうだから。このゲームの時は。
[00:16:32.160] 笑笑。
[00:16:33.079] いつもだったらお前絶対知らねえだろって言うんだけど。矢印すぐじゃ。
[00:16:37.199] は学校から帰ってくる横でしたよ。
[00:16:40.240] どういうこと?学校から帰ってくるた横だった。なんか絶対こことここに打ってくださいって言ってるようなもんだよね、これね。違うかな?ここに打ってくださいって言ってるようなもんだと思うんだけど。
[00:16:56.720] ゆにの家ちょっと高台にあるから。
[00:16:59.560] そうなんだ。なるほど。あ、行きた。ま、
[00:17:03.776] [叫び声]
[00:17:04.559] うますぎ。
[00:17:07.280] ライフッドに住んでた。
[00:17:09.559] ててててラタラタラパパまマまマまマまマまマまマまマまマまマまマまマまマまマまマママまマママママまマまマまマ
[00:17:35.960] まマまマ
[00:17:38.000] まマまマま
[00:17:38.480] ままままままままま。トゥルルル。
[00:17:45.400] 新種の鳥。
[00:17:47.007] [笑い]
[00:17:47.760] 新種の鳥。イ
[00:17:50.160] 笑笑。
[00:17:51.039] 新種の鳥とか言われて愛の歌を歌っています。僕は
[00:17:56.960] Q愛の歌を歌っています。
[00:17:58.960] 笑笑。なんべ?
[00:18:02.640] やっぱりさんよな。曲は曲と言ったらドラクエ
[00:18:07.600] 6。
[00:18:09.799] デレてデレてデレデレレデレてデレてレてプレプと
[00:18:16.480] もうもう言ったもう言ったもう歌った今
[00:18:19.640] ちゃ
[00:18:22.360] やっぱ6なんよな
[00:18:26.039] 6人生プレイやるかやっぱ
[00:18:30.240] 6なんよな。
[00:18:32.840] ダディダディフルで踊れそう時に歌い出した。
[00:18:36.720] 笑。チまくガががガがドラクエで選ぶとしたらやっぱ
[00:18:36.787] [笑い]
[00:18:40.039] 6ダーク横のた。[叫び声]
[00:18:44.000] いやあ、ごめんごめんごめん。うるさすぎて起きた。ドラックエで選ぶとしたらや難しいこと聞くよなあ。国それを聞くのは国です。なんだろうね。
[00:18:58.440] 難しいよね。笑笑。
[00:19:00.600] ま、456、え、えっと、
[00:19:04.640] え、224523456
[00:19:10.840] え、
[00:19:12.440] 12
[00:19:14.123] [笑い]
[00:19:15.440] ほぼ半分以上入ってる。ドラクエ
[00:19:24.200] 11も神なんだよな。ドラクエ
[00:19:26.640] 11マジ神なんだよ。
[00:19:32.840] デレてデレてデレデレカミカ神は神内てかコってうまそうなイントネーション
[00:19:46.480] 11マジ楽しかったドラクエ
[00:19:49.039] 11のび番か
[00:19:52.360] ああスイッチ版出んだよねマジ神だから
[00:19:55.480] 11は12はどうなることやら
[00:19:59.600] はどうなることやらくねえからこれで言わせてごめんごめん落ちたくねえからここもうしっかり行きたいから落ちたくないから理由は怖いから
[00:20:14.280] おじさんのはいはい落ちたらもうめんどいもんこれ
[00:20:17.003] [笑い]
[00:20:24.120] 11
[00:20:24.720] 温めてます
[00:20:27.559] あめてる
[00:20:28.039] やってないの?まだ。え、ドラクエ1
[00:20:29.600] やってない。まさかは今すぐやりなさいよ。今すぐやりなさい。
[00:20:34.400] うん。
[00:20:35.200] マジか。
[00:20:36.919] あ、だめや。
[00:20:38.600] もやってない。
[00:20:39.720] 嘘。めっちゃおもろいよ。あれなんかドラクエ中でなんかドラクエは
[00:20:45.120] 5
[00:20:45.440] が思考じゃみたいな。あ、簡単に登れてみたい。
[00:20:49.400] ていうのも分かるんだけど、そういうの抜きにしてやっぱドラクエの全部の総合的に見てもあれはめちゃめちゃ面白い部類に入ると思う。
[00:21:04.840] あの頃はよかった。
[00:21:06.679] あの頃は良かった。
[00:21:10.440] 難しいな。でもドラクエ選ぶのは
[00:21:21.360] 11
[00:21:21.760] で完結でも食いない。
[00:21:23.279] いや、ぶっちゃけうん。ぶっちゃけ
[00:21:24.760] ドラクエこれで終わりですって言われて
[00:21:26.559] もあ
[00:21:28.480] まあでもそうだよなって思っちゃうぐらい
[00:21:30.960] の完成度だよな、あれね。だって
[00:21:33.039] エンディングがもうそそうだよね。なんか
[00:21:37.080] エンディングがもうそうじゃん。なんかあ
[00:21:40.039] 、これで終わりだよ、ドラクエって言われ
[00:21:41.520] てもあ、いやでも素晴らしかったですよね
[00:21:45.760] 、あれね。そうよ
[00:21:48.000] こんな最高ので追われたな。
[00:21:50.520] いや、マジでそう。マジでそう。全然いろんない。あれが最後って言われても
[00:21:59.279] 初見で配信して欲しかった。
[00:22:01.559] 12感想って感じだった。
[00:22:04.200] いや、12
[00:22:05.080] 怖いよ。確かにそれはマジである。
[00:22:07.000] 12
[00:22:07.360] 確かに怖い。どうなってしまうのよ。大丈夫。
[00:22:11.600] 11
[00:22:12.080] 超えれる?いや、だからこそ最初ドラクエ
[00:22:15.559] 12
[00:22:15.960] はダークロ線でなんかちょっと変わったことやりますよっていうのは分かったの。
[00:22:20.080] ああ、やっぱ今までのドラクエは
[00:22:21.919] 11
[00:22:22.279] で終わりにしてちょっと次からちょっと尖ったことやってくのね思ったからん
[00:22:26.840] だろうなって思って。
[00:22:28.279] そう、そう、そう。なんだけど多分
[00:22:30.679] いや面白かったね。
[00:22:33.240] いや、本当にね。うん。本当にそういう風になってほしい。
[00:22:40.600] そうなったら最高よ
[00:22:42.559] ね。
[00:22:59.400] むずい。
[00:23:02.159] カメラゴミ。ヤッホ。
[00:23:12.080] ホゆグ。いつまでも元気で欲しいですね。
[00:23:15.520] ホゆ具。ヤッホー。
[00:23:17.679] ホゆぐって言ってんの?堀裕のこと。もうカメラがもうだめだ。みんなカメラがちょっともうガチャガチャだ。氷ね。いや、裕ジはないつまでも元気にてほしいけど。
[00:23:32.760] 役ぐ。笑。ホーリー
[00:23:36.320] フプスカロルやってそうな世界戦。
[00:23:40.960] なんでここね、カメラどうした?これね、カメラがなんでさ、なんでここ固定になっちゃった?
[00:23:56.600] 難しいな、これ。
[00:23:58.520] カメラ入れないよ。な
[00:24:01.360] んで入れへんねん、ここ。
[00:24:14.200] カメラはジゲム持ってるから。
[00:24:16.360] なんでジゲムが持ってんのよ。あのね。うん。いい。あの、
[00:24:20.799] 100
[00:24:20.960] ポイントってここに入れないのはいいんだけど、じっとしてて欲しいんだよね。なんでこんなガクガク動くの?もうこれなんだよ。
[00:24:24.596] [笑い]
[00:24:33.480] 笑笑。たどんまジンバルつけてないから
[00:24:37.279] ジバルつけてよちゃんといいじ
[00:24:51.559] そういえばじんちゃんがなんかじゅんちゃんがこないださこないだかずっと前だけどなんかスマホのジンバル買ったらしくてさスマホのジンバル買った後にあえてあきた新しいスマホにして邪魔
[00:25:04.919] 奮発してなんちゃらプロにしちゃったよ。でかくなってめっちゃいいよ。つったらジバルの幅足んなくてつけらんなくなってたからバカでけえのにしちゃったから
[00:25:11.757] [笑い]
[00:25:15.440] つけらんなくなった。笑笑
[00:25:19.617] [笑い]
[00:25:19.640] 笑笑ばっかでじんちゃん。
[00:25:24.279] なんかあのスマホのケースを外せばなんとかつけられるんだけど、まだそのでかいスマホになんかちょっと人回りぶよってなってこうやってさ、持つとこがくびれてるタイプのあるやん。あれつけてるから。
[00:25:38.240] お前一ちいちそのそれこうやって外してお前それそれどうなのそれみたいな
[00:25:41.232] [笑い]
[00:25:48.240] 超めんどくさいだろみたいなレ
[00:25:52.399] ダウンタウンの必ずのクオリティでおもろいニコニコしながらつけようとしてあれって言ってるのがメ
[00:25:59.572] [笑い]
[00:26:05.360] なんかいいジバル買ってたんだ2万ぐらい
[00:26:07.399] する。なんかあの小型のやつ小型のやつ買ったもんなさ。あの挟むとこもちょっとちっちゃくてさ、道だったわ。レッツゴー。
[00:26:15.293] [笑い]
[00:26:24.463] [叫び声]
[00:26:29.240] これどうにかさ、大砲使わなくてもいけるようになんかな、これ。
[00:26:46.720] こんばんは。ター
[00:26:48.360] 890個ぐらいは順調かな?
[00:26:51.399] その後が辛い。
[00:26:52.399] うん。今ね、そう、70なんすよ。今70
[00:26:55.559] 個なんすよ。70個。77
[00:26:58.159] 個。多分こっからきついよね。
[00:27:02.000] 今んとこオンタイムでさ、目標時間なの
[00:27:04.679] 24
[00:27:05.120] 時間でオンタイムで来てんだけど、この後だよな。きついのはな。
[00:27:12.933] [叫び声]
[00:27:13.679] このゲーム知らないと気づかないワープスポットがかなりあるんですよね。
[00:27:18.399] ああ、あのなんかえって飛ぶやつね。
[00:27:18.828] [うめき声]
[00:27:22.559] ほえって。
[00:27:27.399] デレてデレてデレデレレデレてデレデレてプルプやっぱドラク
[00:27:33.480] 6なの曲はな曲はドラク
[00:27:35.440] 6だな。
[00:27:40.279] パララパラパララパラパラタラタラタラ
[00:27:50.799] ババラパパ一
[00:27:57.279] 番低いところに大砲に飛べるワープがあります。
[00:28:00.120] え、そうなんだ。
[00:28:09.320] 精霊の感も神
[00:28:12.200] 精霊どういう曲だっけそれ?てルてルじゃないこれキ
[00:28:28.914] [叫び声]
[00:28:29.120] ドラゴンクエスト6いいね。大好き
[00:28:31.279] コーファーみたいな。
[00:28:32.600] わかんねえよ。それじゃわかんねえ。どこの音楽?精霊の冠りってどこの?
[00:28:45.919] カルベローナみたいな。
[00:28:47.320] カルベローナ。え、どういうとこだっけ?どういうとこだったっけかな?カルベローナってあれな、あのなんだっけ?えっと、魔ダ点のとこでしょ?
[00:29:04.279] 11
[00:29:04.720] の人の国のとこ。
[00:29:06.559] ああ、ロミアのね、ロミアの曲ね。あれもいいよね。泣けるんよ。白の入のね。
[00:29:06.905] [叫び声]
[00:29:17.360] あの曲もいいでもちょっと歌えって言われ
[00:29:19.000] たらちょっと出てこね。[笑い]
[00:29:20.679] どういう曲だったかな?いいのは覚えてる
[00:29:22.640] 。
[00:29:27.480] ロミアの下りめっちゃいいんだよ。ロミア
[00:29:30.120] の下りが
[00:29:32.799] ないね。
[00:29:35.840] はい。
[00:29:43.399] 着ない。
[00:29:45.000] 木な雪や
[00:30:16.159] 届かない。
[00:30:24.519] 届かねえ。
[00:30:28.679] 赤コインもめんどくさいポイント。
[00:30:30.720] そうなん。時間食うんだ。赤コインのミッションが
[00:30:32.960] 1番時間食うのよ。
[00:30:39.840] さすがに届かないよね。これさ、水上げるポイントある?ここって他にな情だよね。
[00:31:00.279] あ、
[00:31:01.200] こっから上行けんのかな?
[00:31:08.200] ちょっと何やってくそ?これ
[00:31:20.526] [叫び声]
[00:31:21.120] コインないっすかね?あった。
[00:31:28.159] よしよし。
[00:31:42.880] なんかこれめっちゃむずいんだよね。
[00:31:48.760] やほ
[00:32:03.679] ヤッホー。ちょ、行かれへんねんけど。
[00:32:35.440] ねえ、何ここ?何?カメラがさ、全然追いつかねえから見えないんだよ。どうなってんのか。
[00:32:35.852] [笑い]
[00:32:50.080] ヤッホー。ヤッホー。
[00:32:53.919] で、あとはあとあ、あとどこ?もう
[00:32:58.777] [叫び声]1個あるはずなんだけど。
[00:33:01.200] やっぱ俺がやるよ。
[00:33:04.320] やってよ。ここだけでいいからやってくんねえか。
[00:33:15.600] うまい。いた。馬しかて。
[00:33:21.480] よっしゃ。
[00:33:22.760] よし、やっていった。むずいっちゅうね。
[00:33:27.799] パチパチパチパチ。
[00:33:29.320] むずいっちゅうね。
[00:33:32.639] 馬し勝て。うまし。
[00:33:34.399] うまし。オ、
[00:33:44.240] なんとか食らいついています。
[00:33:46.120] 馬し勝て。
[00:33:46.960] うまし。
[00:33:52.399] ここもうクリアした。ここでもうこれクリア。いやあ。
[00:34:02.559] さて、次行くぞ。
[00:34:03.559] 操作性も若干悪くてカメラワークが悪い。でも当時は気にならんかった。
[00:34:08.800] そうなんです。へ。
[00:34:13.159] いや、でもそれね、それをしてもでもやっぱね、このゲームはおもろいよ。おもろい。
[00:34:19.000] 慣れてくんねんな。このこのなんかその操作性の悪さも。あれ?じゃあもうこれ次行っていいんじゃね?次行っていいんじゃね?あ、やっと次行けるわ。
[00:34:34.839] カメラダメなりになんとかするよね。
[00:34:36.879] なんとかするね。この絵だけめっちゃ適当じゃない?他の絵めっちゃすごいリアル写真みたいな絵なのに。なんであの絵だけあるなんだ。
[00:34:40.958] [笑い]
[00:34:47.040] さあ、え、まずはこの上でやね、俺
[00:35:04.320] 大丈夫、
[00:35:09.000] 大丈夫。ああ。
[00:35:15.520] ほ、
[00:35:16.640] ちょっと待って。めっちゃむずいんだけど。
[00:35:21.040] いた。ナイス。
[00:35:31.839] ここは何ですか?
[00:35:32.800] 笑笑。
[00:35:34.760] ここは一体何ですか?ここは一体何ですか?嫌な予感がします。
[00:35:43.560] こんなに入れないことあるんだ。ほ、
[00:35:50.480] もう俺こういう系は
[00:35:54.680] こういう系はもうほんまあかんね。
[00:35:58.960] うわあ。こういう系はあかんよ。これ
[00:36:02.760] 綺麗。マリオ本当嫌い。
[00:36:07.359] ここにここに戻されんの?嘘でしょ?ここに戻されんの?
[00:36:10.039] [笑い]
[00:36:15.839] ここに落ちるんですよ。笑笑めんどい。笑笑
[00:36:19.880] 赤リーな。ここに戻されんのはちょっと時間食いすぎやろ。
[00:36:35.280] えー、あそこだいぶ鬼問だな。でも早い
[00:36:38.800] うちにクリアしときな、そこ。
[00:37:00.800] いや、ちょっと待って。そのごめん。
[00:37:02.040] ひった。
[00:37:02.359] こっち行くわ。最初こっちやすね。こっちもあるよね。な
[00:37:06.760] んでそれつめないの?ほ、
[00:37:17.359] よし。や。
[00:37:25.280] あら。[叫び声]
[00:37:27.520] あとパイロットウィングスとかウェイブレースとか遊んでたな。
[00:37:31.319] ああ、やったことないね。パイロットウィングス。そうか。レインボールーズか。やったね、これ。いやあ、ちょうどね、ちょうど当たるようになってる。
[00:37:54.280] 深夜にふさわしい。
[00:37:56.520] ここスカン。
[00:37:57.720] ここ俺もスカンでマミや。
[00:38:04.280] レインボークルズだ。しんどいな。
[00:38:07.286] [笑い]
[00:38:09.480] レインボークルズか。
[00:38:16.800] ここの100枚なかなかきつかった。
[00:38:19.440] 100
[00:38:19.720] 枚コインだっけ?なんかあるね。
[00:38:22.520] あれ?100
[00:38:23.359] 枚コインのさ、スターってさ、
[00:38:27.040] え、100
[00:38:27.640] 枚コインのスターってどう?それってさ、隠しスターで全ステージにある?もしかして俺もしかしてこれから全ステージで
[00:38:37.000] 100
[00:38:37.240] 枚スターやらなきゃいけないんだっけ?覚えてないわ。
[00:38:42.440] あるよ。
[00:38:43.200] え、無理だよ。先に言っとくけど。
[00:38:51.800] 無理それは。え、全ステージで
[00:38:56.760] 100枚スターやさ。100枚。え、
[00:39:02.839] スターロックのステージは全てある。あ、
[00:39:05.581] [笑い]
[00:39:08.839] 100[叫び声]
[00:39:09.119] 枚コインのスター。
[00:39:10.720] ああ、何を言ってんだ。
[00:39:22.280] 何言ってた?
[00:39:24.160] 涙が出てきますね。
[00:39:26.040] いやあ、もうそんな難しいんかい?あ、やべ。おい、おい、おい、おい、おい、おい、おい。ヤッホー。
[00:39:47.920] えー、100枚スターなんかやんな、
[00:39:50.800] 100
[00:39:51.079] 枚コインなんかやんなきゃいけないの?俺もクリアで
[00:39:58.280] よっしゃ略って言ってて内心笑ってた。
[00:40:03.222] [笑い]
[00:40:04.839] え、知らないんですけど。
[00:40:06.960] え、それ、え、あのさ、その
[00:40:08.760] 6
[00:40:09.040] 枚のスターのところはそれだけ、そのあとそれだけ
[00:40:12.240] 100枚、100枚スターだけ、
[00:40:15.040] 100枚コインだけあとはあとは
[00:40:19.920] 100枚、100
[00:40:20.960] 枚コインだけですか?あとは
[00:40:22.599] だけじゃないかな。
[00:40:24.839] 他にもなんか
[00:40:28.119] 他にも何か隠されていたりとか
[00:40:38.400] 記念すべき30歳おめでとうございます。
[00:40:41.240] グらりさんこんばんは。ゴロちゃんこんばんは。やってますけどやってますけど俺が想像してるよりもずっとありがとう。サブスク
[00:40:51.640] プライムザブありがとう。
[00:40:56.560] あの、僕ちょっと舐めてたかもな。
[00:40:59.160] 隠れてるのは別で集される。例えばメタルの赤コイン派は別計算。
[00:41:05.480] なるほどな。うん。ちょっと、ちょっとちょっとなるほどね。
[00:41:11.040] る洞窟では計算されてないという。あ
[00:41:13.359] あ、分かる、分かる、分かる。なるほどね。なるほどね。
[00:41:20.800] 120枚取れたら普通にすごい。あ
[00:41:24.040] あ、そ、もうそういうレベルなんや。
[00:41:27.040] え、俺、俺ちょっとあんまり警、軽卒にさ
[00:41:30.000] 、120枚耐久の言ったけどさ、もしかし
[00:41:32.920] てそれってすごく難しいのでは?
[00:41:37.240] もしかしてそれってすごく難しいことなん
[00:41:41.640] じゃないのかな?
[00:41:44.748] [叫び声]
[00:41:45.800] なんでお前そっち戻んねん?
[00:41:52.560] シレット90個くらい[音楽]に変え
[00:41:54.480] とこう[笑い]
[00:41:59.079] まジかよ。レッツゴー。
[00:42:08.960] 眠気が
[00:42:09.839] 眠気来たね。眠気来たね。一気に来た。もうなんかその
[00:42:11.604] [笑い]
[00:42:19.880] 1
[00:42:20.119] 回寝なきゃ無理じゃねっていう体が、体がそう言ってる。
[00:42:25.040] 仮眠する。ア
[00:42:26.960] あ、乗らなきゃだめなんだ。体がそう言ってる。え、じゃあ
[00:42:33.040] 1回寝なきゃダめじゃんて。え、
[00:42:35.184] [笑い]
[00:42:37.240] 100枚スター。各ステージに
[00:42:40.040] 100枚スター。え、じゃあ
[00:42:43.000] 1
[00:42:43.200] 回寝なきゃダめじゃん。体が言っている。
[00:42:47.760] 久しぶりの願顔タイム。
[00:42:49.520] いやあ、でもなあ。それどうなのよ。
[00:42:53.240] は結構先は長い。
[00:42:54.680] いや、そうなんだ。耐久とかってないで。
