[00:00:17.840] ケムっす。
[00:06:57.919] ちょっとね、あのね、いつものこれ、あの、シャドウゲート、シャドウゲート
[00:07:03.479] 64
[00:07:04.039] やる前に、やる前にステートオブレイだっけ?あのさ、なんか忍の
[00:07:12.039] お
[00:07:12.479] 人のあの忍代のさ、忍のあの前バージョン。
[00:07:18.199] あ、あれか。
[00:07:19.039] ちょっとあれ見ない?あれ見ない?あれ見ない?ちょっと違う。あのね、さっきちゃうちゃうね。
[00:07:24.440] いつもだったらぶっちゃけそんな気にしてないんだけどさっきねたつンからなんか電話来てあのなんかあの悪魔城ドラキュラ貸してたのよでこのいだ配信やっててクリアしためっちゃ面白かったありがとねとかってリチ儀にあいつ電話くれたんだけど
[00:07:42.800] したらなんかあのあげないんだよ多分タッツも悪気ないんだけどさつも悪気ないんだけどさあだってさあの悪魔女新作出るんでしょとかってなんか入ってきてえ何そ
[00:07:54.159] それつって。え、何それって言って、え、見てないの?あ、ごめん。もう電話切るねって切った。
[00:07:59.120] 電話切るねって言って切った。
[00:08:01.960] もうそれ以上言うなつって。なんかわかんない。俺も確かめてないんだけど。
[00:08:06.120] 笑笑。
[00:08:06.919] 確かめてないんだけど。確かめてないんだけど。ちょっともうちょっともうワクワクして。もうもう見たい。
[00:08:12.240] コミ頑張ってる。
[00:08:14.400] コなミ?え、ちょっとわかどう、どうなん?え、わか言わないで欲しいんだけど。ちょ、えっと、この、え、この映像ですね。え、この映像。
[00:08:21.440] えっとですね、1時間11
[00:08:23.560] 分あります。え、
[00:08:25.479] 1時間11
[00:08:26.280] 分見ます。まずね、あの、もうシャドゲート今日進まないと思います。はい、よろしくお願いします。
[00:08:30.759] ネタバレだけど机にのゲーの笑。
[00:08:36.680] ま、あんま興味ねえなら飛ばしてくぞ。興味ねえな飛ばしてくけど
[00:08:41.080] PlaySt
[00:08:41.560] ation何気に僕もプレステ
[00:08:43.640] 5は持ってますから。
[00:08:44.839] さん待ってましたよ。
[00:08:46.120] あ、プさん、こんばんは。ちょっと遅いけど。は、
[00:08:47.800] 今回の結構おもろかったよ。
[00:08:50.200] 倍速でみよう。
[00:08:51.440] 倍じゃもうちょおい。
[00:08:53.440] Z世代。
[00:08:54.600] 映画の横世代なんだ。倍速で見ようって。
[00:08:59.640] これはもうじっくり見るの。軸り空り見ます。飛ばすか?飛ばそうかな。これ何?いや、アメリカすぎる。
[00:09:12.079] アメリカすぎるよ。まずトライアゲイン残念。出ません。
[00:09:18.200] 邪魔はさせない。見たことあさ。お疲れ様の予感。ゲマジ。
[00:09:25.720] いや、もうまね、プレステだからね。大発。
[00:09:34.399] いや、もうどうだろうね。ぶっちゃけもう正味悪魔城ドラキュラが出るという噂しか聞いてないから。それそれだけスペアリバー。
[00:09:44.959] あ、昨日社長とあの東京出長でさ、あ、昨日もなんか飯食べてきましょうとか言われて、うわ、やだなと思ったんだけどステーキ屋さんになった。これ買うの?これぜ、こんばんは。何これ?もうゼルダの伝説ですか?これもうブレワイじゃん。
[00:10:04.560] もうなんか4
[00:10:05.200] 速歩行に乗ってたらもうもうブレワイじゃん。
[00:10:09.480] よ、これ。
[00:10:10.000] え、もう、え、前作ってブレワイじゃないの?ステーキめっちゃうまかった。ブル、
[00:10:16.240] フェイブル。フェイブルどう?でかい。音でかくない?音下げる。でもさ、プレステ
[00:10:27.160] 5買ってからさ、普通オッケー。プレステ
[00:10:30.560] 5
[00:10:30.839] 買ってからさ、ゴーストオブしかやってねえからさ。なんかプレステ
[00:10:34.880] 5
[00:10:35.120] のゲームやりたいよね。俺の声はでかくてエジ。
[00:10:44.800] よテフヨテフもやりたい。やりてゲームが多すぎんな。いや、ゼルダすぎんな。
[00:10:55.000] 島島にや。
[00:10:56.480] 小島小島配もやってね。
[00:11:01.360] プレステ5
[00:11:01.959] じゃできないの。ま、ゴーストオブとかだよね。多分けな。
[00:11:09.240] ケナどうみんなケナケナやる?ケナあるな。便ちゃ
[00:11:35.360] 1持ってんだよ。
[00:11:42.680] アメリカすぎるな。オスペルお疲れ。ステートオブプレイ見てるわ。なんやらどうやらなんか悪魔城ドラキュラの新作が出るとか出ないとかという話で
[00:11:54.839] 終わったら誰か
[00:11:57.360] スキップしよ。ケ
[00:12:00.160] ナはでもあんま興味ないから1
[00:12:01.639] 時間長いから悪魔ゼの新作るらしいよ。わかんないけど。
[00:12:06.920] という噂らしい。え、放送日?え、何?え、
[00:12:13.279] 楽しみ?
[00:12:13.800] え、これ始まったんじゃないの?え、何これ?サッカーパンチ。あ、あれやん。サッカーパンチってあれじゃないの?これあれでしょ?ゴーストオブ予定でしょ?さすがに。
[00:12:26.600] これ予定だよね。うわ、やりてえ。ゴーストオブ妖やりてえ。え、違うじゃん。
[00:12:31.839] え、ゴート予定?これきつ
[00:12:36.120] よやりてえ。
[00:12:37.959] え、これ何?
[00:12:40.000] こんななんかファンタジックなゲームだったっけ?え、ヨテってこんなファンタジックなゲームなの?お、あ、やりてえ。
[00:12:49.560] あ、DLCね。
[00:12:53.680] 主人さんさんがご
[00:12:55.120] お主人さんこんばんは。人さんこんばんは。サブスクありがとう。
[00:12:59.000] 会館会館津島もこんな津もこんなあった。
[00:13:02.639] おオンラインプレイ。
[00:13:03.959] あ、オンラインプレイね。
[00:13:06.480] 今ね、あの、ステートオブプレイ見てるよ。ロブロスチェア。ロブロスチェア。ロブロスチェア。
[00:13:14.600] いやあ、おもろそう。やっぱおもろそうやな。こんなだったイメージあるな。
[00:13:20.920] 確かに。ゴーストオブテレジェンズ。おもろそう。
[00:13:27.839] マーチ10え、3月
[00:13:30.600] 12時
[00:13:32.639] どちらが世界を手にするか。
[00:13:34.440] 何これ?
[00:13:35.360] お前
[00:13:35.880] あ、小島卓球便ね。勝負と行こう。
[00:13:40.880] こジの卓急便ね。こ児の卓急便。
[00:13:43.360] PC版発売。
[00:13:46.920] 30
[00:13:47.360] までに定終わらせてやろうぜ。
[00:13:49.680] 確かに。でもさ、なんかダウンロードコンテンツも一緒に入ったなんか完全版みたいなの出ればそれでもいいんだよ。小自宅。
[00:13:57.240] こじもやりたいんだよ、俺。ワン、ワン
[00:13:59.480] 持ってるんだけどさ、やってないんだよね
[00:14:01.440] 。
[00:14:03.600] ただね、小宅のゲームはね、え、DLC
[00:14:06.680] 無要なんだ。小宅のね、ゲームはね、見
[00:14:11.160] てる人もやってる人もそうなんだけど、
[00:14:13.199] めちゃくちゃ楽しめる人と全然面白くない
[00:14:15.680] 人の2分化するんだよね。中間が存在し
[00:14:18.800] ない。めっちゃはまりやつと全然面白く
[00:14:21.199] ないやつ。
[00:14:22.480] の卓球便忘れてた目を閉じてこんまでした。
[00:14:29.519] クソはまってやがる。
[00:14:31.440] そうなんだよな。アラさんこんばんは。
[00:14:33.120] たけど何もわからなかった。
[00:14:35.079] そうなんだ。
[00:14:37.720] バッド
[00:14:38.040] ロボットゲームのあれ猫のないやゲはなゲームあんま好きくねえからな。
[00:15:13.600] ごめん。もうちょっとちょっと悪魔女ラキュラ悪魔女ラって本当に本当に出るのかよ。
[00:15:22.000] 俺たちの人だからな。
[00:15:24.000] なあ、
[00:15:24.440] これは
[00:15:24.839] でもラフィラメ何?あ、ね、これはちょっと気になる。
[00:15:28.240] この次のやつ、この次のやつはちょっと気になるな。この女の子が可愛いから。
[00:15:34.519] これ可愛いよね。この女の子カプコンでしょ、これ。
[00:15:36.600] 地球だ。女
[00:15:37.399] 来た。
[00:15:37.920] カプコンでしょ。もうええ。キャプコ
[00:15:43.480] カプンコいの。
[00:15:45.040] でもトントで作るんだな。
[00:15:46.759] カプコカプコ
[00:15:49.199] ニューヨークが戻うわ、めっちゃ好き。こういう世界観。
[00:15:51.880] それって地球にある年代でもやってたやつ。
[00:15:54.519] いや、そうそうそう。
[00:15:55.160] こまで1人もり付きじゃない。ごめん。
[00:15:57.880] 守出てから守ないよ。
[00:16:00.639] 俺が守ら俺が守らなきゃ。1
[00:16:02.199] 人だったんだな。お前も
[00:16:05.759] カプコ
[00:16:07.079] ねえ。ヒはどんな子供だったの?
[00:16:09.959] なんかデトロイトビカムヒューマンみたいな。
[00:16:12.560] 小さい時は個人にもいます。
[00:16:16.519] 俺が守んなきゃ。
[00:16:17.880] 俺たち似てるんだ。危なっかしいところもな。だが俺には支えてくれる人がいた。
[00:16:26.480] ああ、絶対泣く。絶対泣く。こんな、こんなん絶対幼女が最後危ないって言ってさ、ザクってやられてさ、泣くやつやん。ラスボス倒したら後ろが出てくるでしょ。こうやって。
[00:16:37.839] まちゃん声
[00:16:40.639] おめでとうございます。
[00:16:43.959] 時間を
[00:16:47.600] く
[00:16:48.040] うんこみてなんで。うんこみていえな。キモ。
[00:16:56.839] 嘘だろ。
[00:17:02.079] プレス5
[00:17:02.639] だ。うわあ。ああ、もうチャン版チャ剣版出てんだ。チャイケ版。へえ。
[00:17:11.720] 6
[00:17:11.959] 人目だ。
[00:17:13.160] 笑笑。
[00:17:14.000] ラクンシティのバイオハザード同じで死んだ。
[00:17:17.280] え、チ版。
[00:17:18.480] ええ、良くないわね。
[00:17:22.760] アンブレラ崩壊後に似てる。お
[00:17:27.439] え、あれじゃん。ワンのワンのとこじゃないの?これ妖感じゃないの?妖感
[00:17:33.640] レスカて言ったとこ
[00:17:38.400] 戻ってきたぞ。バリーが
[00:17:41.720] やらなくていいよ。
[00:17:42.880] 大丈夫か
[00:17:43.360] な?俺バイオやらね。
[00:17:44.440] ビクターと関係が
[00:17:46.080] でももうバイオってホラーゲームじゃないからね。
[00:17:48.799] 何か理由があるはず。
[00:17:51.200] 可愛いな。
[00:17:51.840] エルプスの情報は
[00:17:53.720] 見つからない。
[00:17:55.280] CIAにもペンタゴンにも情報がないの。
[00:17:57.400] レオンの方からどんどんか影ちゃんによってたけどね。の
[00:18:03.200] ああ、VRとかだったらやりたいね。
[00:18:06.679] レオン私たちには時間が
[00:18:10.799] 血出るよね。お子川よってから割と怖いで。
[00:18:18.240] ああ、今そうなんだ。
[00:18:19.679] チームが容疑者点になって忍の時よりエがいい。
[00:18:24.400] え、忍の時さ、血が出ないようにさ、わざと外してたもんね。
[00:18:29.960] だとダめだもんね。
[00:18:31.760] 私のが
[00:18:34.120] 出したからさ。
[00:18:38.679] バリーは出んのか?バリーは
[00:18:40.520] バリーが出るんだったらやってもいいぞ。
[00:18:42.919] めっちゃグいやん。忍の時と全然ちげえ。めちゃくちゃグいやん。
[00:18:49.320] もうこれ以上後悔した。グいグいグ行かせて。
[00:18:56.760] RE9。
[00:18:58.960] RE9
[00:18:59.559] ってなんか聞たことなんだ?レクイエ。へえ。どうせちゃんがやるからな。これは
[00:19:06.760] レオン戻ってきたのね。
[00:19:09.600] ハニガン。ハニガンか。あ、
[00:19:16.159] レキ。M
[00:19:17.799] レイ
[00:19:20.840] もうこれかけちゃんじゃん。あれ?俺があけたよ。だってこれめっちゃ年取ってるよ。もうなんかプレステ
[00:19:44.919] 5のゲームやりたいね。
[00:19:46.640] せっかく買ったんだしも
[00:19:48.480] 1
[00:19:48.600] 年ぐらい経ったけど全然やってないもん。これ被ぶってレオン
[00:19:59.919] プラグまた面白そう
[00:20:01.520] プラグまた面白そうだね。
[00:20:07.520] プレス2プレステ2
[00:20:09.240] のゲームなんかプレステ
[00:20:11.960] 2
[00:20:12.080] のゲームアンパイア何これ?何の話?何の話?何の話?こ
[00:20:45.760] う、いや、知らねえ。マジで全然知らねえ。
[00:20:59.000] いや、なんかステートオブレイ毎回こうなんだよな。毎回こうやね。僕は気まら
[00:21:06.720] わかる。
[00:21:08.080] マスターにより作られし戦闘兵器。
[00:21:15.240] こんにちは。
[00:21:15.840] あ、日本
[00:21:16.440] シリーズプロデューサーのデアライブね。
[00:21:18.640] 本日はデッドアライブシリーズが新たなアップデートと共に復活することを発表させていただきます。
[00:21:24.840] エッチ。そう、絶対エッチだろ。
[00:21:27.200] キラまだ
[00:21:28.120] ドラキュラまだ
[00:21:29.679] いやもう絶対エロやん。
[00:21:31.799] 日本語の安心感ドアね
[00:21:34.360] デッドオライブ6
[00:21:36.880] ラストラウンド絶対エッチやん。
[00:21:40.039] 本作レラストラウンド
[00:21:42.159] あれあのなんだっけ?
[00:21:43.480] オリジナルのレッ6
[00:21:45.120] をベースに買うダウンロードめっちゃ追加配信をセットにし
[00:21:50.039] むほ
[00:21:50.679] Playation5だね
[00:21:53.520] 新規の追加
[00:21:55.600] うん無ほ
[00:21:56.919] かよ
[00:21:57.640] エチだね
[00:21:58.400] 新たなフォトモードの追加を行ったタイトさモードビった違った乳首で出てんと思った今
[00:22:06.600] 今後も新キャラクターや新コスチュームの配
[00:22:10.559] 的なアップデートを予定しています。
[00:22:12.120] あ、あ、あ、あ、あのなんだっけ?電うん。の主人公いた。今
[00:22:17.320] 展開予定ですのでシリーズを遊んだことない方もぜひ
[00:22:21.799] ピストル持ってるやついたな。格闘ゲーム成り立たねだろ。それじゃ
[00:22:25.000] 倒せない。
[00:22:26.760] え、格ゲでピストル使うやついるの?
[00:22:29.600] もう格闘格闘とかじゃないやん。
[00:22:35.400] 鉄砲はね。
[00:22:36.440] 鉄砲あかんやろ。フットアライブは
[00:22:38.320] 1996
[00:22:39.480] 年から展開している対戦アクションゲームシリーズです。
[00:22:43.480] の作品を1996年になります。
[00:22:48.240] 疲れまずはステートオブプレを見ます。嬉しく
[00:22:52.840] では最後にこちらの映
[00:22:55.760] ちゃんです。
[00:22:57.000] お前それはお前パクりじゃないのか今のは。
[00:23:04.919] お龍は早ぶさ忍者竜殿の主人公ね。あ、おっぱいがでかい。おっぱいがでかい。おっぱいがでかい。
[00:23:20.240] デッドアライブシリーズ最新作も開発指導しました。
[00:23:23.760] 欲しい
[00:23:24.480] 待ちください。
[00:23:26.840] おっぱいが
[00:23:27.559] か見せない。ばいいわけでもない。
[00:23:30.120] おなあ。なんだこれ?え、待って。え、何?違うよねえ。違うよね。これじゃないよね。さすがにね。なんか一瞬今鞭みたいな感じに見えたけど。あ、違う。びっくりした。あ、やめて。やめてやめて。やめてよ。
[00:23:46.240] やめて。びっくりした。一瞬みたいのが見えたから。まさかと思ったけど。
[00:23:56.200] 知らん。
[00:24:06.559] コントロールなんかさ、ステートプレーってなんで頭に入ってこないかって言うと、あの、馬鹿にしてるとこじゃなく、そういうなんか、あの、変に斜めに見てるわけないんだけど、ゲームがやっぱさ、全部さ視点のアクションゲームなんだよ。
[00:24:28.880] こ、全部この形式なのだから頭に入ってこ
[00:24:31.440] ねんだよ。キャラクターが違うだけやねん
[00:24:34.039] な。
[00:24:36.480] この映像見てるだけだとさ、やったら違う
[00:24:38.600] んだろうけど、全部このこうじゃん。
[00:24:42.919] うん。ま、どうしてもしょうがないけどね
[00:24:45.000] 。プレステ5とかでゲーム作ったっぱこう
[00:24:47.679] なるもな。
[00:24:50.120] もう全部こうやね。
[00:24:53.360] 全部3人称子点の
[00:24:55.279] 3Dアクション。うん。
[00:25:01.159] やったらさ、それぞれ面白さあるんだろうけど、これ初めましてる状態でこの映像だけ見せられてもさ、超味頭入ってこないよ。あ、へえ。こんなええみたいな。
[00:25:29.679] なんかなんかね、なんかこれもなんかただプレイ映像を見せられてるだけっていうやめて僕アンチ僕アンチじゃないんす。すいません。ちょ、すいません。
[00:25:48.720] 要望があったんで視聴者様からま、まだまだまだ同じゲームだった。
[00:25:58.600] え、ちょっと待って。
[00:26:04.120] おお。なんかなんかなんかなんかぽくないか?あ、違う。これ違うわ。
[00:26:09.880] え、違う?え?違う。
[00:26:16.399] ああ、多分違うと思う。違う違う違う違う違う。よかったよかった。
[00:26:22.440] BGMかっこよ。
[00:26:24.440] BGM
[00:26:24.960] めっちゃかっこよ。何これクソかっこいい
[00:26:27.720] BGM。
[00:26:32.600] え、ちょっと面白そうじゃね?ちょっと面白そうじゃね?いこと。か、
[00:26:39.520] BGMがいいから。
[00:26:42.399] で、
[00:26:45.120] お、ちょっと面白そうだね。ま、やらないだろうけど。
[00:26:48.919] 31半し王さ31。
[00:26:51.960] BGM
[00:26:52.360] かっこよい。なんだろうね、これ。ぼ
[00:27:04.279] ゲがやな。
[00:27:05.600] まあね。そうだよね。新やな。
[00:27:09.360] 新規IPか。
[00:27:14.039] え、白岸物語?あ、知らん。ク、クリムゾンムーン
[00:27:28.559] 協力プだね。
[00:27:29.760] ちょっと面白そう。あ、ゴーストブ予定。
[00:27:33.760] あ、これあれだろ?ポケモンのやつじゃない?ポケモンのさ、あれが作ってるやつじゃないの?なんだっけ?ポケモンのやつじゃない?これポケモンっていうか、あのゲームフリークが作ってるやつじゃない?ほれ。
[00:27:49.279] これ不思議バ?
[00:27:50.640] 問題だ。
[00:27:51.440] これさ、すごない?不思議バ怖すぎでしょ。
[00:27:55.600] そう、ゲフりがね、こんなゲーム作ってんのよ。
[00:28:04.480] ゲフってこんなん作るんや。
[00:28:06.919] ゲフりってね、何年かで
[00:28:08.640] 1
[00:28:08.919] 回ゲーム出すんだよね、ポケモン以外の。で、ゲフりが出したポケモン以外のゲームは全部プレミアがつく。出てくれないから。今んとこ出てくれてないから。
[00:28:23.760] しか知らなかった。
[00:28:24.880] そうや。意外とやってんの。
[00:28:26.960] いや、面白いんだけど、あんまりにもあの話題にならないんだよね。
[00:28:33.200] いや、これめっちゃ面白そうだけどね。なんかまあモンハンみたいな感じか。
[00:28:42.760] いや、もう面白そう。死にゲーなんかな。
[00:28:46.519] 赤か。
[00:28:47.760] 赤郎とか。うん。うん。そっちっぽいね。なんかね。
[00:28:52.760] おい、
[00:28:55.039] やっぱあのちょっと死にゲーというかね。ビーストオブリンり。あ、もうすぐじゃん。グライナかな。ビーストオブリンカーネーション。
[00:29:24.880] これリクやる。
[00:29:29.000] あれでから気をつけて何この何このゲーム何このゲームのマジカルアドベンチャー見てくれ何
[00:29:58.640] 昔のゲーム失まれたプロトタイプ版まで昔のゲーム
[00:30:20.480] 30年アドバサリーあるゲームなん
[00:30:34.039] 結構好きだよ、こういうの。わ、ゼルダっぺ。嫌いじゃないけどね。ゼルダっぽくない?ちょ、いいっすな。いいっすな。
[00:30:55.559] ミナケナダのミナの一瞬怖かったよ。でも俺レトっぽいゲームが好きなんじゃなくてレトロゲームが好きなんだよな。
[00:31:11.679] ネバピナのネバなの?ミナだの?
[00:31:22.399] ピネの
[00:31:24.320] 俺もうね逃げる。怖い。気持ち悪。またピネだ。
[00:31:35.360] またピネダほら。怖すぎでしょ。
[00:31:38.960] 何あれ?顔なしじゃん。
[00:31:40.559] チカスだった。
[00:31:44.760] 俺チカスだった。光新し忍びオプス。それ夜光忍びオプス。
[00:32:09.279] あ、アクワイヤじゃん。え、アクワイヤじゃあれなんじゃない?なんか侍道的な
[00:32:15.440] ピネガキももう社会人かな?
[00:32:17.600] そうじゃない?アクワイアってことはこれさ、え、なんか侍動感ない?なんか
[00:32:23.240] 全中か。
[00:32:24.639] え、おもろそう。待って。俺侍ドンめっちゃ好き。え、アクアイアこういうゲーム作るんだ、また。これはいいな。
[00:32:35.000] しのぶ道
[00:32:37.120] サムライドサムライド侍ムライドとかまあでもそういうゲームとは違そうだけどやっぱアクワイアはこういう時代劇のゲームやらされたらやらしたらやっぱ右に出るもんねえよな。アクワイアはやっぱ時代劇よ。ああ、多分忍び堂みたいねえ。おっぱいでか。
[00:33:00.320] おっぱいでかいカはちょっとちょっとちょっとね。ええ、面白そうではあるなあ。
[00:33:13.320] でもあんまりなんか海外意識しなくていいんだけどなって思っちゃうね。も来年か。
[00:33:21.600] 面白そう。
[00:33:22.519] 来年かい。面白そう。
[00:33:25.720] よさげ。
[00:33:26.399] よさげ。よさげ。
[00:33:28.880] え、グい。なんかグいな、さっきからグい
[00:33:32.399] な。
[00:33:40.960] クロムザあだそ
[00:34:13.560] 何ですか?
[00:34:15.839] 長々と喋ってるけど。何
[00:34:19.879] 茶窓ど何
[00:34:20.960] 何ですか?
[00:34:25.040] たれしてきた
[00:34:27.159] ちょっと知料の英語を摂取してる。え、鳥。主人公鳥。え、主人公。世界観が、世界観がもうあ、無双系なんだ。
[00:34:46.040] 言ってたね。笑。あ、嘘。主人公かい。
[00:35:01.240] 鳥無双。鶏無双は斬新。
[00:35:03.800] ニ鶏無双。
[00:35:06.480] 橋本こんばんは。
[00:35:07.599] あみさんこんばんは。
[00:35:09.599] お、世界観がもう
[00:35:20.599] なんじゃこりゃ。
[00:35:22.280] なんじゃこりゃね。本当に
[00:35:23.440] でもらえるスキンとかじゃないのか。
[00:35:26.000] これが主人公なんでしょ。めっちゃ肩で風切るやん。
[00:35:53.680] まあまあちょお腹いっぱいになってきた。お腹いっぱいになってきた。
[00:36:01.160] ダブル
[00:36:02.040] お腹いっぱいな。
[00:36:07.319] 開発プブグのとこか。
[00:36:09.040] へえ。PUBG
[00:36:09.760] のとこなんだ。高いんよ。で草
[00:36:27.240] スター。
[00:36:28.560] F0。F0の新作。
[00:36:30.800] ウェルカム
[00:36:33.680] ウェルカム。
[00:36:36.880] バイオ4のバイオ4
[00:36:38.400] の商人ね。ウェルカム。何これ?
[00:36:44.839] F0
[00:36:49.680] スターウォーズやし。星戦争。
[00:36:52.720] え、スターウォーズなのこれ?え、これスターウォーズ?デン。
[00:37:06.960] 64
[00:37:11.000] スターウォーズ64
[00:37:17.240] あ、ごめん。全然
[00:37:19.440] おスターウォーズなんだ。本当に
[00:37:21.040] ギャラクティックレーサー
[00:37:25.839] なんで最後のシーンはあいつなんだよ。
[00:37:28.480] へえ。
[00:37:30.319] スタート1回見たことねえた。あ、
[00:37:33.599] 007。
[00:37:36.319] へえ。ドンドン。うわ、ボンドか。ボンドの若い時の話だ。若い、めっちゃ。ああ、ヒットマンもやりてえな。
[00:38:02.240] 配信でヒットマンもやりてすわ。
[00:38:18.079] 実やマのとこだから。
[00:38:44.960] ああ、そうなんだ。
[00:38:47.920] ヒットマンやりたい。
[00:38:58.400] なんか俺ヒットマンのなんか変なコレクション買ったんだよな。スイッチ
[00:39:01.760] 2のやつ1
[00:39:02.599] 回もまだ開けてもない。ヒットマン結局全殺しになるからな。
[00:39:16.119] 笑でやってほ。
[00:39:17.880] やりたい。やりたいと思ってる。マジで。え、何これ?実写じゃん。うん。いいね。
[00:39:28.520] 笑。
[00:39:29.720] てか誰も出ねえのかな?ラストオブアス
[00:39:32.319] 3
[00:39:32.640] 出ないの?ラスアスの新作出してほしい。なんだっけ?なんとかドッグ。ノーティドックだっけ?何?おい。
[00:39:44.640] これちょいちょいちょいねだろ。
[00:39:48.800] コナミ
[00:39:54.480] ですか?
[00:40:01.240] 本当に出るの?
[00:40:09.680] 本当に出んの?
[00:40:14.520] でも悪魔今年40周年だからね。
[00:40:18.680] 何ですか?来そう。く、そっちかい。そっちか。え、何?メタルゲすると新作。あ、え、マスターコレクション
[00:40:28.160] 2か。え、え、マスターコレクション2?
[00:40:30.200] ああ、そうなんだ。
[00:40:33.440] の名前じゃなかったんだ。
[00:40:34.720] やらなければならないことが残っている。あ
[00:40:37.520] あ。あ、でもこれできんのいいね。これプレステ
[00:40:40.000] 3でしかできなかったからさ。
[00:40:42.040] その準備を進めているの。
[00:40:46.240] ああ、4とピースウォーカーいそう。4
[00:40:48.880] さ、
[00:40:49.839] プレステ3でしか出てないんだよね。
[00:40:52.359] ピースか。
[00:40:53.800] スネーク頼めたわ。あ、これの前のやつ出てるでしょ。ピースウォーカー。ピースウォーカー。か、
[00:41:00.160] ピースカいいね。スネークーターはあれだよ。これの前のやつで出てるよ。
[00:41:04.640] リメイクも出てるしね。
[00:41:06.200] ああ、これはいいな。ちょっと欲しいな。
[00:41:08.800] 死を受け入れるしかない。
[00:41:10.440] ただな、メタルギアスリット配信でやるとあんまりなんだろう。
[00:41:13.960] 俺に残された最後のミッション。
[00:41:16.760] そう、そう、そう。
[00:41:18.800] ゼロもビッグボスもサポースの意思を間違って。
[00:41:22.359] これ結構ネタバレかと思いますけどね。え、なると何?今
[00:41:26.440] この葉の里みたいのあった。今何?何?今のこの葉のみたい。この葉の里みたいなやつ。キット
[00:41:34.599] ナルトみたいなのあった。今なんかへえ。
[00:41:38.359] マスターマスコル
[00:41:39.920] 2出るんだね。
[00:41:40.839] 何に中を尽くすべきか。
[00:41:43.160] うわあ、やりてえ。ダ
[00:41:49.240] BGMいいんだよね。
[00:41:51.680] これはめっちゃやりたい。
[00:41:52.960] 私たち
[00:41:53.960] 懐かしい。これなんだっけ?
[00:41:56.040] 懐かしい。これ飛んでるやつとか
[00:41:57.880] 変な歌うんだよな。こいつ持たいしてほしいのです。
[00:42:02.560] あ、大塚。
[00:42:04.119] あなた方に抑力となっていただきたい。
[00:42:07.440] あ、ピューパと
[00:42:09.319] 恋の抑力
[00:42:10.359] コクーンと
[00:42:12.359] 確かに
[00:42:12.839] 恋の抑力
[00:42:13.920] 呼び続けていた。
[00:42:14.880] 放中チェック
[00:42:16.000] 包中チェック放中確認。
[00:42:18.280] ザボスがルめっちゃ稼いで
[00:42:21.880] 分かるわかるわかる。抜くんだよね。
[00:42:24.559] 答えろ。
