[00:00:07.919] ロブロクスチェアウトダウンっけえ
[00:10:26.959] 。ってことで音のあれとかちょっと逐位置
[00:10:29.880] よろしく。じゃあ見ましょうか。
[00:10:31.240] じゃあ見ていこうぜ。
[00:10:35.079] そうだよ。
[00:10:37.480] 久々だな、忍。久々じゃない?俺が配信やってなかっただけか。なんか忍代は配信で見るものっていう。いや、生放送じゃない。生放送じゃない。アーカイブだよ。俺もアーカイブ。アーカイブ。
[00:10:51.399] あ、レミさんもこんばんは。音でかない?こんなもん。こんなもん。ソフトメーカーラインナップ
[00:10:58.920] なんだ?録画か。
[00:11:00.839] 任天堂俺は俺は録画じゃねえよ。俺はできましたね。
[00:11:04.279] 大谷翔平です。
[00:11:05.519] 大谷
[00:11:06.720] 今回は世界に挑戦できるゲームを紹介し
[00:11:08.107] [笑い]
[00:11:09.000] どういう?え、
[00:11:10.360] こちらをご覧ください。
[00:11:11.120] こういう感じなんだ今回。え、すごいじゃん。大谷
[00:11:14.920] パワプシリーズ最新作が
[00:11:17.160] NDに登場。え、
[00:11:19.320] 偽物じゃねえだろ。
[00:11:20.200] 今年で30
[00:11:20.880] 周年を迎えるサクセスはパターが集するパラレルオールスターズ編を収録。
[00:11:27.757] [笑い]
[00:11:30.200] サクセスの世界を渡り歩わ。サクセスとかやりてんだけどな。俺野球のルールわかんねえけどさ。パワポケのアドバンスとさんでは大会初開催にわる前日が
[00:11:42.839] 彼女作ることだけが目的だった。
[00:11:44.440] テレビの社員としてハスを成功に導
[00:11:45.443] [笑い]
[00:11:47.480] 野球、野球全然練習しないで自分の魅力ばっか上げてたから
[00:11:53.040] 魅力ばっかげてたからなんか甲園
[00:11:56.079] 1
[00:11:56.279] 回戦で必ず負けて神隠しで死ぬていう特別なサクセスも
[00:11:59.853] [笑い]
[00:12:02.600] 大谷じゃねかフルプロ野球
[00:12:05.320] 音大丈夫?これ
[00:12:05.920] パフルプロ野球2027
[00:12:08.680] はこの夏発売
[00:12:10.399] ダブル谷
[00:12:11.639] 魚谷
[00:12:12.160] 世界を相手に野球しようぜ
[00:12:15.199] へえ。
[00:12:18.120] 皆さん、こんにちは。
[00:12:18.920] あ、どうもこんばんは。
[00:12:19.560] ソフトメーカータイトルの最新情報をお届けする任天堂レクトソフトメーカー。
[00:12:25.279] え、いや、奴らは出てこないの?いつもの。おじさんたのは
[00:12:29.120] Nsイで発売するパワフロ野球
[00:12:32.440] 20262027
[00:12:33.959] です。30
[00:12:35.360] 周年を迎える新たなサクセスをお楽しみに。う
[00:12:38.040] わ、久々にやりてえ。野球のルールしね。
[00:12:40.760] NendoSwitch
[00:12:41.480] で発売するタイトルをご紹介します。
[00:12:43.680] 知らんけど。
[00:12:47.720] NintendosイッチTikTok
[00:12:49.800] タイトル今日は
[00:12:51.360] サードパーティー
[00:12:52.320] パチンってする人たち
[00:12:53.800] 頑張れ門。誕生年の今年。
[00:12:56.639] え、
[00:12:57.240] コレクションが登場。
[00:12:58.839] え、おすごい。
[00:13:00.240] 初代頑張れ門。
[00:13:02.240] あ、びっくりした。新作かと思った。ええ。
[00:13:04.880] スーパーファミコン雪姫救室巻きや。
[00:13:07.519] うわ、コレクション系のソフトはさ、欲るよな。
[00:13:12.240] え衛門が所とか駆け回る全うわ、すご。うわ、しかも五衛モン入ってんじゃん。
[00:13:20.320] 1
[00:13:20.480] 月2日発売。
[00:13:21.760] これちょっと欲しいね。
[00:13:23.800] キャプテンの最新作が登場。ドライブシュート。
[00:13:28.360] 大空翼を始め様々な選手がフィールドをかけ巡る。するナショナルチームは全
[00:13:35.279] 22。
[00:13:36.000] やるよ。過去いっぱい
[00:13:37.519] 原作でお馴染みのシュートはもちろん
[00:13:40.519] パスやブロックドリブルやタックルなど
[00:13:43.160] いでも俺スポコンマンが通ってきてねえからなサッカーのルールよくわかんねし
[00:13:47.480] のサッカーアクションを感せよ
[00:13:50.680] 野球もわかんないしサッカーも分かりません
[00:13:56.279] もうすぐ発売ソフトラインナップ
[00:13:58.720] ちょっともっとガツンと来るの欲しいな
[00:14:00.560] 君が君らしく生きるための物語
[00:14:02.680] ヘールズなタッツン大好きね
[00:14:04.880] ヘルズ教えたるマスター。
[00:14:07.079] あ、そっか。おめ好きだもんな。
[00:14:08.399] った小魔王の冒険デイモンアベイビー。
[00:14:13.680] うん。
[00:14:14.199] ガツン
[00:14:15.480] ガツンガツとおなんだこれ
[00:14:17.639] を操作し希望なき世界を浄化する。
[00:14:20.519] うわ、なんかうわ、なんかえ、なんか
[00:14:24.040] これなんかファンが厄介になりそうだね。今のゲーム地獄を
[00:14:26.574] [笑い]
[00:14:27.920] なんかファンがなんか厄介になりそうなゲームだった。今
[00:14:30.600] パーロード
[00:14:31.279] 今なんかファンが厄介になりそうなゲームだった。
[00:14:33.680] 気構築ワーダンジョン
[00:14:36.079] か金子つく読み
[00:14:40.839] エネを駆使して精神世界からの脱出を見せあれみたい
[00:14:42.950] [音楽]
[00:14:45.399] コンスタな
[00:14:45.800] 何だっけ?あのゲームあの虫のゲーム虫のゲーム見たくない。あれ忘れちゃった名前ホローナイトみたい。え、
[00:14:53.880] あれな。
[00:14:54.279] え?あ、びっくりした。うわ、びっくりした。もう黒のドリガーリメイク来るかと思った今。
[00:14:59.325] [笑い]
[00:15:00.399] 今のもう俺クロノトリーがびっくりした。まずそんなこんなポットで出さないわな。びっくりした。確かに確かにちょっと
[00:15:09.805] [笑い]
[00:15:12.160] 人につれる伊勢の離島部隊とした謎と呪いの物語。ミステリーアドベンチャーパラノマサイトの最新作が。
[00:15:23.120] あ、でも2じゃ。
[00:15:24.800] でも机なんだ。
[00:15:26.320] 主人公は天野少年口優ザ。彼はスモぐの最中に海底でもう
[00:15:35.639] 1人の自分に。
[00:15:37.040] いや、怖。なんやねん。
[00:15:38.519] 邪魔ゲ。
[00:15:39.160] この不可な出来事を切りになを襲い始める。
[00:15:45.199] 記憶喪失の
[00:15:46.399] なんかさ、ちょっとさ、
[00:15:48.000] 宝を探す。
[00:15:48.880] ポートピアっぽいよね。ポートピアじゃねんだっけあれ。
[00:15:51.440] の調査をする主婦。[音楽]
[00:15:54.040] うわ、ちょっと待って。ごめん。
[00:15:55.120] 止めてごめんね。止めてごめん。ちょっともう
[00:15:56.800] 1回戻一瞬戻っていい?
[00:16:00.160] この不可快な出来事を変わ気な現象が島を半年間、
[00:16:06.480] 半年間配信休んでてさ、
[00:16:09.319] この間だか配信始める前に
[00:16:11.720] 1回だけ1
[00:16:13.399] 回だけあの蜂とお猫と飲み行ったのね。久々に会ったお猫になってたわ。なんかあいつ色気づいて久しぶりにお猫にやったらこんな感じになってた。
[00:16:23.639] あいつなんかもう俺のリスナーって感じじゃなくなっちったな。あいつな。なんかもう配信者みたくなっちゃってなんかだから俺の配信にはあんま来なくなったんだよ。そうなんだよ。あいつあいつもう茶まげはもう別に
[00:16:35.600] 女抱きまくってる。
[00:16:36.720] ああ、女抱きまくってるわ。ああ、
[00:16:39.199] のごめ、それが言いたかっただけ。
[00:16:41.506] [笑い]
[00:16:42.040] 謎を解く鍵は関係者の会話はもちろんもう女だにもんで
[00:16:48.056] [笑い]
[00:16:49.880] 1
[00:16:50.079] つ高見に行った。1つに行ってしまった。
[00:16:53.296] [笑い]
[00:16:53.360] 物語は数百年前の
[00:16:55.560] 1つにしまった。あいつは
[00:17:00.360] パラノマサイトにあんな感じ物語は
[00:17:05.079] 2月19日配信。
[00:17:07.520] チまゲーチまゲー言って可愛かったんだけどな。
[00:17:10.839] いかがでしたか?ここからは[笑い]
[00:17:14.880] 2
[00:17:15.679] またはs2とスイッチの
[00:17:18.039] ちょっと2の新しいゲーム欲しいわ。
[00:17:20.280] なんかせっかく買ったのにさ、ス全然使ってねえからさ。
[00:17:25.039] あ、スマホもあるんだ。
[00:17:26.600] ひらめきが聖を分かつサバイバル。
[00:17:32.280] 突如首都圏土を襲う大法落に巻き込まれた主人公の案。
[00:17:39.480] 案じゃねえよ。
[00:17:40.280] そこは東京の直下に存在していた地下世界。
[00:17:45.679] そこには独自に進化したしていた。
[00:17:50.280] え、ディノクライシスか。これ
[00:17:54.039] ジノに見つかれば
[00:17:55.159] 面白そう。嘘。
[00:17:56.080] うん。確かちょっと面白そうだ。
[00:17:57.799] ゲームオーバー。
[00:18:02.320] 必要なのは戦うことではなく逃れるための思考と決断。
[00:18:06.760] へえ。あれなんだ?
[00:18:08.320] 能すること。
[00:18:11.679] そして逃げ道を見つけ出すことが重要となる。
[00:18:15.679] こり行くんだ。は、各地に仕掛けられたギミックを起動し、好奇心王勢な次能を誘導することも攻略の鍵となる。
[00:18:26.400] いや、そうはならんやろ。
[00:18:28.400] そして本作はお分け通信に対応し、え、
[00:18:31.919] 移動やカメラ操作など案の操作を最大
[00:18:35.480] 4人で分担することができる。
[00:18:37.720] どういう協力プレイ、それ
[00:18:39.520] でもオンラインでも仲間と協力しを合わせたプレイが求められる。あ
[00:18:40.062] [笑い]
[00:18:45.440] あ、なんか2
[00:18:46.600] 人三脚みたいな感じなんかね。
[00:18:48.679] 2人バりみたいな。
[00:18:50.320] うわ、じんちゃんとやりてえ。
[00:18:52.507] [笑い]
[00:18:53.720] じんちゃんとやりてえな。
[00:18:55.760] 東京スクランブルは
[00:18:57.320] 2月12日配信。
[00:18:59.360] クソイライラしそう。クソイライラしそう。
[00:19:01.023] [笑い]
[00:19:03.799] 手出るかもしれん。
[00:19:04.720] 終わりだから戦いそう。
[00:19:08.320] あいつにはカメラ操作しかやらせないが様々な新要素を追加して
[00:19:12.720] Nswi2に登場。
[00:19:14.840] 再ね。
[00:19:17.559] 空の世界を舞隊にさなるに立ちう。
[00:19:21.559] いや、あいつも元から酔っ
[00:19:24.080] 仲間をえ、
[00:19:29.679] これグラブルな
[00:19:30.760] 攻撃グラブルって言っても大してわかんないけど。
[00:19:36.679] ミスタを探してみてください。
[00:19:39.760] 贈り物ですよ。
[00:19:41.240] 最大4
[00:19:41.799] 人によるローカルまはオンラインマルチプレイも可能。め
[00:19:49.559] 強大な青少獣を召喚し仲間と共に強敵に挑め。
[00:19:54.200] もうほぼFFだな。
[00:19:55.039] ドラグナルファンタジー
[00:19:56.720] エンドレスラグナロは
[00:19:58.360] 7
[00:19:58.520] 月9日発売。
[00:20:00.799] これソ上げだよね。元々ね。
[00:20:03.360] Nintendosイッチ2
[00:20:04.919] ピックアップタイトル。そうね。
[00:20:07.159] ええ、
[00:20:08.039] スーパーファミコン時代のスーパーボンバーマンが一挙登場。
[00:20:13.880] 初代のスーパーボンバーマンから。
[00:20:15.600] あ、でもボンバーマンは
[00:20:17.240] 集体のスーパーボンバーマン
[00:20:19.559] 5までのタイトルと
[00:20:22.280] うん。
[00:20:25.000] 俺あんまボンバーマン
[00:20:26.360] ファミコン版と
[00:20:29.000] ボンバーマン2も収録。
[00:20:32.320] 新たにボスラッシュモードやお分け通信にも対応。
[00:20:40.039] あんまボンバーマン通ってきてないんだよね。
[00:20:41.320] コレクションはこのダイレクト終了後。え、出た。夏太陽顔怖かった。オブシリーズ最新作登場ってるんだ
[00:20:50.760] ね。お座分け流行ってる。
[00:20:51.880] かつての豊かな地は空からの侵略者によって奪。
[00:20:55.880] さっテルズ出てなかった。
[00:20:58.200] 通格と記憶を失った青年。
[00:21:00.760] アルフェンはもの全てに茨の苦痛をもたらす呪われた少女ありがとな。
[00:21:08.000] 過酷な支配に立ち向かい世界と少女を救えるのか。
[00:21:14.880] 本編のご実端や各州
[00:21:16.960] DLC
[00:21:17.480] を収録したテイルズオブアイズリオドザドチャンネルから
[00:21:23.400] 21日発売。[笑い]
[00:21:25.360] K
[00:21:25.600] チャンネルからレイド来ることあるんだ。配信終わることあるんだ。あの人作が登場。
[00:21:30.000] あの人配信終わることあるんだ。
[00:21:31.360] あの突然迎える世界の
[00:21:33.000] けいちゃんお疲れ。けいちゃんお疲れ。忍代見て寝るわけです。
[00:21:36.520] そこは8年前だった。
[00:21:39.360] 450体以上のデジモンと共に
[00:21:42.000] デジモン
[00:21:44.320] デジタルワールドで白そうと未来を
[00:21:47.559] 五衛モコレクションが出るんかな?五衛モコレクション
[00:21:50.279] ニ衛モコレクションはめっちゃ面白そう。
[00:21:53.600] FP
[00:21:53.960] めっちゃ面白そうとかもう面白いよな。
[00:21:55.600] そり
[00:21:56.159] クティモードとフ
[00:21:58.799] HD
[00:22:00.679] のパフォーマンスモードが可能
[00:22:02.960] デジモンてエロかなストレンジャーは
[00:22:05.735] [笑い]
[00:22:06.200] ちょっとごめ、もう1
[00:22:06.720] 回見してくれ。ごめん。ちょ待って。
[00:22:08.440] デジモンってエロくない?こんなお前小学生お前。え、小学生が道に迷うぞ。これ
[00:22:16.559] でグぐれよ。60
[00:22:18.520] いやちょ、もうだってこれもう
[00:22:20.480] 目覚めちまう。
[00:22:21.520] もうほぼ出てますやん。
[00:22:23.279] こんなんほぼ出てますって。
[00:22:26.360] Sのパフォーマンスモードが選択可能。
[00:22:29.159] 下っと
[00:22:30.039] デジモンストーリータイムストレンジャーは
[00:22:32.559] 7月9日発売。
[00:22:33.880] いやいやいや、これもうもう俺全然デジモンとかもあんま通ってきてないからさ。
[00:22:38.000] バイキングの魂を呼び覚ませ。[音楽]
[00:22:40.080] あれなんだけどタイムラインで見るためにエロいなと思って。
[00:22:43.039] は、この世界に存在する邪悪の討伐なのだがどのように進めるかは全てプレイヤーに任される。
[00:22:51.200] 野獣先輩
[00:22:52.679] 初めは行く当てもなく森を歩き回素材集め
[00:22:56.600] 野先輩
[00:22:58.960] 弓矢を作って動物を借りを焼く
[00:23:03.720] ラストみたいな
[00:23:05.200] 石の血を切り倒し
[00:23:08.159] 家作りに使う木材をおっと
[00:23:11.840] 倒れる方向にはご注意
[00:23:14.159] 細かをそんな細かいな
[00:23:17.600] 組んで
[00:23:18.640] 壁を組み
[00:23:20.400] 屋根を吹いてりも完備。あ、[笑い]
[00:23:24.120] これで寒い夜も安心。
[00:23:26.039] へえ。なんか
[00:23:27.159] これ換気大丈夫?
[00:23:28.960] え、細かいな。
[00:23:30.240] 煙の抜け穴は忘れずに細か。[笑い]
[00:23:33.279] 作業台をレベルアップしていけば作れるものもどんど
[00:23:36.520] あ、なんかでもプレステみたいなこの
[00:23:38.799] 船を作ったら新しい土地をめして大原。
[00:23:42.320] うん。グラがなんかちょっとプレステみたい。
[00:23:44.120] をまたにかけて拠点をどんどん気づいていく。
[00:23:48.480] 最大10
[00:23:49.120] 人までのオンラインプレイも可能。
[00:23:55.640] さあ、この世界を生き延びてください。
[00:23:57.086] [音楽]
[00:23:58.279] なんかラストっぽいね。
[00:24:01.840] 2026年配信。
[00:24:04.480] うん。なんかね、俺つまでこれやんのかなって思っちゃうんだ。始め、
[00:24:08.876] [笑い]
[00:24:11.320] 俺つまでこれやんのやろて思っちゃう。
[00:24:13.480] FF7リメイク第2
[00:24:15.200] 弾ファイナルファンタジー
[00:24:16.880] 7リバース
[00:24:18.120] 生きている。
[00:24:18.799] うわあ、これ最初からやりたい。
[00:24:21.760] セフィロスを追い
[00:24:23.200] 俺持ってんねんで。これ
[00:24:24.480] たちは前作の舞隊ミッドがあるから広大な。これワこれのリメイク
[00:24:30.279] 1と2とはチョコボや
[00:24:33.640] うんもえ、
[00:24:35.960] バギーなど様々
[00:24:37.960] 持ってるんだけどさ、
[00:24:40.240] 1回も起動してない。
[00:24:41.279] アクションと戦略性を融合させたバトルは
[00:24:45.240] 仲間との連携が
[00:24:47.799] 相当長いよね。
[00:24:49.760] やりたいんだよな。でもな
[00:24:51.360] にけたサポート機能世界各地には様々な遊びを楽しめるスポット旅の生き抜きができる
[00:25:01.520] わ。もういいカードゲームいいカードい。もうカードゲームはいいよ。
[00:25:05.600] 関係性が変化し
[00:25:06.760] お。FFはすぐカードゲームさせる。
[00:25:10.880] セフィロスを追った果てにクラウドたちを待ち受ける。
[00:25:15.240] ゲームのカード。
[00:25:17.000] ファイナルファンタジー7リバースは6月
[00:25:20.120] 3日発売。
[00:25:21.200] これプレステ5のやつ持ってるわ。
[00:25:23.559] まあ、[音楽]
[00:25:25.120] あのサッカーゲームがsイッチ2に登場。
[00:25:28.399] あのって言われてお。
[00:25:30.360] ウイニングイレブンから生まれ変わったい。
[00:25:32.679] フットボールがNintendo[笑い]
[00:25:34.440] sイ2
[00:25:35.039] にランディはランディトップレイヤーはもちろん
[00:25:39.840] 各国の代表や世界中のクラブチームを収録。ワールドツアーモードではオリジナルチームを設立し世界中の大会に参戦
[00:25:50.240] なあ。必殺技とあんのかな?
[00:25:51.880] チームから選手を獲得し
[00:25:53.200] 必殺技とかあんのかな?
[00:25:55.080] 試合で貯めたコインを使ってレジェンド選手たちを獲得できる。
[00:26:00.520] あなただけのチームを作り上げ世界制覇を目指せファイアモード
[00:26:05.559] さインターナショナルカップモードでは
[00:26:07.799] 4年に1度のサッカーの
[00:26:09.200] エターナルブリザードは
[00:26:11.000] エターナルブリザードサッカーゲームの入門としてよりシンプルな
[00:26:15.240] 6人性で腕を磨くことも可能。
[00:26:18.679] へえ。
[00:26:19.200] オフラインの対戦はもちろんオンラインにも対応。
[00:26:23.120] 1
[00:26:23.279] 人でもみんなでもゴールの熱狂を体感せよ。
[00:26:27.960] Eフットボールキックオフはこの夏発売。
[00:26:31.039] なんかこういうマークのお店あるよね。こういう看板の。え、なんだ?デスト違う。
[00:26:33.633] [笑い]
[00:26:39.399] バイタル場。
[00:26:40.600] これ何?
[00:26:41.200] ヒウィリアムズ
[00:26:43.200] 活
[00:26:44.000] 主人公
[00:26:45.480] 月面施設の調査中に負傷したヒューウィリアムス。
[00:26:51.520] やるやね。
[00:26:52.960] プラグマタと呼ばれるアイドの少女。
[00:26:57.080] 良かった。助かったね。
[00:26:59.279] 可愛い。
[00:27:03.559] AIに管理されたボットと呼ばれる資格が
[00:27:07.279] 2人を不正な侵入者と見なし襲いかかる。
[00:27:10.640] 怖いね。
[00:27:14.600] 何しやがる?か聞いてない。
[00:27:19.279] 強固な走行を持つボット。
[00:27:22.000] 私できるかも。なので光
[00:27:23.840] ディアナのハッキングにより
[00:27:25.960] 敵の走行を
[00:27:27.279] レーザーブレードとかかっこいいよな。
[00:27:30.159] おい、どういうことだ?
[00:27:32.240] このパネルを一筆でたどり緑色のゴールまで導けば成功。
[00:27:32.584] [音楽]
[00:27:38.080] それどころじゃないよ。今撃って
[00:27:40.279] 脱出した弱点をヒが狙い打つ。
[00:27:43.519] パズルゲームも混ざってますみたいなことな。
[00:27:46.360] 有したマスによってア効果が上昇する。
[00:27:49.559] 面白そうじゃない?これ
[00:27:52.039] マルチタスクの中でプレイヤーの瞬時の判断が選挙を左右する。斬新
[00:27:58.279] ねえ。
[00:28:02.200] 電力
[00:28:02.720] AI
[00:28:03.039] が支配する月面施設に待ち受ける真実とは?
[00:28:07.600] 初めてみて。
[00:28:08.519] 友達じゃないんだな。
[00:28:10.200] オーバードライブプロトル開始。
[00:28:12.320] 可愛いですね。
[00:28:13.840] 前の忍で見たやつかな?
[00:28:15.880] え?前の忍であった?これ
[00:28:19.200] やったな。完璧だ。
[00:28:21.709] [笑い]
[00:28:24.440] うまくいった時はこうするんだ。
[00:28:27.604] [笑い]
[00:28:28.559] そして
[00:28:29.600] アの少女が
[00:28:31.000] あ、もう
[00:28:31.640] この度で知るものと。
[00:28:33.039] これ絶対泣く。絶対泣けるやつ。
[00:28:35.880] それまだは4月24日発売。
[00:28:39.559] TG
[00:28:40.120] このダイレクト終了。
[00:28:41.960] 体験版を東京ゲム賞
[00:28:45.360] 何それ?
[00:28:47.039] もう泣きそう。
[00:28:47.919] それぞれの役割で展開するバトルをお楽しみに。
[00:28:51.120] トレーディングカードゲームはこちらの映像をご覧ください。
[00:28:55.840] TGSだよな。それは
[00:28:56.919] トスか。
[00:28:58.159] あ、TGSな。
[00:29:00.240] え、何この、え、何このアニメ?カを宇宙嵐が
[00:29:09.000] 東京ガールズコレクション。
[00:29:12.919] それから15
[00:29:13.720] 年後生き延びたちは平穏に暮らしてい。
[00:29:17.120] 何なの?この
[00:29:19.000] 昭和アニメ感。
[00:29:20.200] 宇宙嵐の危機が迫っていたのである。
[00:29:26.000] オービタル。
[00:29:26.519] 若き探検。
[00:29:29.200] オ村は草。この絵画
[00:29:31.039] 生まれ育ったこの場所を守
[00:29:34.159] PCエンジンCDデュオRぐらいの
[00:29:36.960] 本作は2人プレイ専用で今めていく。
[00:29:40.720] あ、そうなんだ。
[00:29:41.960] 笑笑専
[00:29:46.960] ワイヤーを発射できるスクラップフックはすげえアニメを動かしてるみじゃむべき道を切り開く
[00:29:54.440] アニメじゃん。
[00:29:56.320] リキッドランチャーは
