[00:00:33.760] 待ってたんだよ。黄色やな。
[00:09:36.240] これあれや。過去の世界のやつやな。飛ぶのです。セフィーラ。ゆ気ない気持ちを胸にそのまま風に乗るのです。そして邪悪な力。なんでやねん。邪悪な力により奪われた風のローブを取り戻し呼び覚ますのです。
[00:09:50.399] 我らを守る風の精霊様をあれから随分の時が立ちました。長女だって私がこうして大人になるくらいあなたたちが他をってからメランが確定した。
[00:10:04.680] もういい。今日はもういい。今日はいい。静かでもいい。あなたたちどこから来て何を目指してんのか。私がどうして翼を持たずにこのようにきたのか。
[00:10:14.279] そのわけも私の翼はこれから我らリファ族
[00:10:17.600] の持つ最後の翼としてあなた方の時代に
[00:10:20.200] 託される宿命だったのです。さあれんさん
[00:10:23.440] 今こそ世界をお救いなさい。いいよ。
[00:10:25.040] ロムってもいい。ロムってもいい。今日は
[00:10:28.079] そしてどうか我が子孫をこの手でおその手
[00:10:30.240] でお守りくださいませ。
[00:10:37.040] 今日1時間半しかできねえから。1時間半
[00:10:39.800] しかできねえから。
[00:10:42.720] 今考えてる場合でありませんね。私から離れないでください。
[00:10:48.279] サザんないの?
[00:10:49.680] サザないね。今日はない。今日はないよ。もう今日はない。いや、最近なんだかんだ配信
[00:10:53.920] 1時間、1時ぐらいまでやっちゃってさ、
[00:10:56.639] 1時間、1時、12
[00:10:58.360] 時までって決めてたんだけど、あの、なんだか
[00:11:00.880] 1
[00:11:01.000] 時ぐらいまでやっちゃって、やっぱね、そういうことやるとね、あの、やっ、体に実に現れてくるんだよ。
[00:11:07.079] あの、き、体に実に現れてきてもう手ボロボロなの。
[00:11:11.720] 睡眠不足で手がボロボロになってきた。すぐだからこれもう本当もう分かりやすいね。笑
[00:11:17.200] 分かりやすい。肌が荒れるのよ。リビさんお疲れちゃん。
[00:11:22.160] 7時間はんと
[00:11:23.639] 眠り大事に
[00:11:24.600] やっぱ眠り大事にやる
[00:11:26.600] かと言ってかと言ってこっちもサボることはできない。こっちもサボることはできないのでやっていく。
[00:11:38.959] もう今もうすごいで今手見える?血よちわかる。ボロボロ手が
[00:11:50.519] 今週で終わらせるって言っちゃった。
[00:11:52.519] もう終わらせるよ。終わらせる。もう土日終わんなかったらもう土日ま、もうに豆る。クリームパ
[00:11:57.160] 一応ちょ前に豆る。一丁前に豆があります。このコイン
[00:12:01.440] 赤切れ。
[00:12:02.680] 赤切れ。もうクリームパン。
[00:12:05.320] クリームパン。
[00:12:06.399] いっつも思うけど、ここめっちゃうまそうやない?これ
[00:12:08.720] カサカサ
[00:12:09.800] めっちゃうまそうやない?このこのこのなんか卵王みたいなゆっけ食いたんねんな。ゆっけ食いたく何こ?
[00:12:16.600] 本当寝てね。お疲れちゃん。
[00:12:18.320] お疲れちゃん。お疲れちゃん。じちゃんお疲れ。お味噌なめこもこんばんは。これ何?え?何これ?ポケモンプラチナのあれじゃねえかよ。
[00:12:28.399] ポケモンプラチナのあれじゃねえかよ。破れた世界じゃねえかよ。
[00:12:34.839] グレープフルーツ絞るやつ。フルーツ思い出した。マリオ、マリオギャラクシーでもいいけど。確かにな。マリオの映画やるらしいよね。また見に行こう。じんちゃん。じちゃん見に行くべ。じんちゃんマリオの映画見に行かね。また俺あのマリオの映画回のやつもじんちゃんとなぜか
[00:12:54.839] 2人で見に行ったんだよな。なぜか
[00:12:57.480] 2
[00:12:57.639] 人でんちゃんと見に行ったんだよな。グべなあ。
[00:13:03.000] 感動したもんな。マリオの映画映画館で見た方がいいよ。みんなも感動するから。うん。準と
[00:13:11.920] 確認だけど映画誘えるの順だけじゃない。
[00:13:17.800] まあまあいいやつや。別にじちゃんだけじゃないよ、そりゃ。ただ別にいや誰でも撮影誘えんねんで。いくらでも友達いるけどでも友達おるおるんやけどまあな。
[00:13:31.240] じんちゃん、じんちゃんがかわいそうだし。ほら、俺からぐらいしか誘われへん。
[00:13:36.560] BGMだったよ。
[00:13:37.760] いや、良かったよな。1
[00:13:39.079] 番気軽。いや、あの、別に
[00:13:43.399] 大丈夫かだと?うん。どうにか大丈夫なようだ。何?誰?何ですか?
[00:13:47.959] 親
[00:13:48.480] お。まった、まった。不要にあった壺を終わろうと並べたまでは良かったんだかな。壺が硬くてあまりの痛さで気を失ってしまったんだ。何話があるだと?それはぜ非聞きたいんだが。この汚い部屋では集中できんな。
[00:13:59.920] おや。
[00:14:01.000] ちょっと待って。悪からお前喋るな。なんでこれ開かねえんだよ。今開かなかったらいいつ開くんだよ、これ。
[00:14:09.920] え、こ今開かなかったらいつ開くんだよ、これ。せ、風の精霊を目覚めさせる風のローブが欲しい。はい。残念なとことに風のローブはか昔風の迷宮から現れた魔物に奪われてしまったんだ。
[00:14:24.920] そして魔物と戦う術を持てなかった我が
[00:14:26.920] 先祖は山を得ず、え、迷宮に続く他の鍵を
[00:14:30.000] 、え
[00:14:33.560] 、魔物を風のローブもとも迷宮に封印して
[00:14:35.920] しまったのだ。それっきりどうすることも
[00:14:37.880] できずにいたが、もしやそれならそなた
[00:14:39.720] ならどうにかできるかもしれんな。よし、
[00:14:42.560] そなたらにま、公園の祠の鍵を託そう。
[00:14:45.240] そしてま、め明強魔物により魔物より
[00:14:49.720] ローブを取り戻せたならそなたらにローブ
[00:14:51.399] を預けることを約束しよう。
[00:14:53.959] これがあれば封印の祠の扉もかけるこんばんは。
[00:14:58.600] 2
[00:14:58.759] 日連続で配信するとこうなるとな。こうなるとな。
[00:15:01.600] 疲れてるね。
[00:15:03.320] こめちゃんこんばんは。こめちゃんこんばんは。
[00:15:05.120] 2
[00:15:05.279] 日連続で配信するとこうなるぞな。つくねん。
[00:15:11.880] あの
[00:15:12.639] おだしばしまたれよ。今一度こちらへ。なんやねん。そのなったらにこれを私忘れていた。さあ受け取るがよい。
[00:15:21.560] 何ですか?風の高級は
[00:15:24.560] 7めっちゃおもろいぜ。
[00:15:27.600] は7
[00:15:28.160] めっちゃおもろいが。やった方がいいよ。これやった方がいい。でもやっぱあれだね。腐っても
[00:15:35.279] 7ですね。腐っても7
[00:15:36.800] だね。あのやっぱね、ちょっとね、あの、やっぱ結構長い。結構長いなって思う。
[00:15:44.360] あれ?俺どっから来て?俺どっから来たんだ?どっから来てどこに行くんだ?俺夢希望。どっから来てどこにい?これ
[00:16:02.839] 命希望な。
[00:16:04.040] あ、命希望か。ごめん。厳しい。過激派もいます
[00:16:09.360] ね。
[00:16:09.880] ケフか過激派。
[00:16:12.360] あ。
[00:16:17.880] 風の迷宮に行きますか。じゃあまた風の迷宮ってあのさっきのいつものとこだよな。いつもとこだよな。あ、間違えました。間違えましたよ。
[00:16:26.639] ちゃまさん待ってましたよ。
[00:16:27.839] おプラお疲れじゃん。プラ疲れ。おい、間違えたぞ。今日はちょっと短時間やがやっていく。短時間だがやっていくね。間違えた。
[00:16:40.240] え、風の迷宮ってどこ?え、俺間違ったんだけど。
[00:16:45.040] はーい。
[00:16:46.240] え、風の迷宮ってどこん?風の迷宮。
[00:16:52.880] はい。
[00:16:54.839] 空に浮かぶの祠から行けます。村、あの村に戻るには風の塔で。あ、そういうこと。風の塔で。風の塔であれを使えばいいのね。
[00:17:08.160] どれや?これか?ああ、よかった。よかった。よかった。でん、どこ?
[00:17:20.559] てっぺん限定かと思った。
[00:17:22.319] びっくりしたよな、一瞬。あ、これか。はいはいはいはいはいはいはい。ここね。
[00:17:35.679] うわ、なんかいや、行けないんかい、ここ
[00:17:38.440] 。ここは行けないんかい?なんやそれ?え
[00:17:42.360] 、どうなってんだ、これ?どうなってんだ
[00:17:44.080] 、これ?
[00:17:45.840] え、どうなってんの、これ?
[00:17:49.559] あ、あ、ど、どうなってんだ?よくわかん
[00:17:53.039] ねえ。よくわかんねえ。あ、ほんでこう
[00:17:56.600] いうこと。あ、なるほど。こういうことね
[00:17:58.360] 。あ、あれごめん。
[00:18:01.080] やべえな、みんなゲロ吐き配信になっちゃうかもしんない。あ、え、これあれじゃない?
[00:18:06.799] これメタル?ドラゴンメタルやん。キマンタ。これメタル系だよな。
[00:18:17.440] 割と強えし。り、
[00:18:20.559] あれ、
[00:18:20.760] こんなんだ、
[00:18:22.120] これ。なんか最近いるよね。
[00:18:24.159] あれ?ドラゴンメタルってメタルじゃないの?は、
[00:18:26.679] なんか結構結構あれ、これメタルじゃないの?
[00:18:30.520] やったわね。
[00:18:32.280] あ、全然違った。1800
[00:18:33.799] しか来んないじゃん。なんだよ。全然違いましたね、これ。直角は登れないんだ。だから直角は登れないからこういうことね。
[00:18:45.960] メッキだったな、こいつだる。こいつ強いからごめん。マジちょっとみんなこれ酔うかもしんない。酔うかもしんない。
[00:18:54.360] 新空派原作だとお世話になったな。
[00:18:57.679] 真空派覚えてた?今新空派覚えてた?パラディンだから。これ結構さ、結構あの特技ナーフされてるよな。
[00:19:10.039] 覚えてた。3半期間がすっごい空間。
[00:19:15.640] これポケモンプラチナだよな、これ。ポケモンプラチナのさ。え、はいはいはい。
[00:19:23.960] ど、どこに行きゃいいんだ、これ?どこに行きゃいいんだ、これ?ここか。ポケモンプラチナのあのギラティナがいるとこみたいな。あれ?
[00:19:36.080] ナフされてるものと頭おかしい強化受けてるものがある。
[00:19:40.000] あ、そうなんだ。頭おかしい強化受けてんの何?だこれ剣の前とかなくなってるもんな。食歴なくなったの痛いよな。
[00:19:51.320] 食歴技なくなったら痛いよね。あ、いや、違う。
[00:19:58.240] いや、じゃなめんな。
[00:20:00.280] 何がよ、何がよ。なめんな。なめんなの安売りやめてくれる?
[00:20:07.880] 1回1
[00:20:08.440] 回を大切にして欲しいわ。なめんなを。君たちなんか安売りするけどよく。
[00:20:14.240] え、これど、どうすりゃいいの?ど、どうすりゃいいんだ?これな、何?
[00:20:26.679] 現実で言ったことない。
[00:20:30.760] 俺毎晩言ってますけど。毎晩言ってますけど。
[00:20:35.000] えっと、えっと、
[00:20:39.000] 何これ?あの、多分この穴を反対から
[00:20:43.480] 、反対から降りてあっち側にピューンって
[00:20:45.600] 落ちていけばいいと思うんですよ。思うん
[00:20:48.600] です。あ、分かった。分かった。わかった
[00:20:49.919] 。分かった。わかった。こういうことか。
[00:20:51.159] こういうことだ。こういうこと。こういう
[00:20:52.120] こと。こういうことね。はい。こういう
[00:20:53.400] ことだ。はい。オッケー。オッオッケー。
[00:20:54.880] はい。ナイフ。はい。オッケー。大卒。
[00:21:00.080] これ大卒ね。これは大卒。
[00:21:02.960] これ大卒。
[00:21:05.200] これは大卒。
[00:21:07.120] 大卒。えっと、だから要はまたこれも一緒だよね。またこれも一緒だと思う。えっと、こっちから一ちと下に降りて。これ戦った方がいいの?ほんでほんでやで。ほんでこうしてこうしてこうしてこうやろ。えい。はい。はい。
[00:21:32.919] 待って。合ってんのかな?これ同じとこ行ってるような感じすんだけど。あ、違うな。違うわ。オケ
[00:21:44.679] よ。
[00:21:47.400] ごめん。耐えてくれ。耐えてくれ。ここはみんなよしよし。あ、あった、あった。
[00:21:56.320] 絶対ダンジョンえぐい。
[00:21:57.559] えぐいね、これね。
[00:21:58.760] くるくるくるくる。
[00:22:00.360] ダンビムーチの心。
[00:22:04.279] どれだ?ダンビラムーチの心
[00:22:06.039] あまりにもぐるんぐるん。
[00:22:07.840] ちょっと待って。ダンビラムーチョの心ピンチをチャンスに変える。
[00:22:12.520] HPが25以下の25%
[00:22:14.520] 以下ので物理攻撃の威力
[00:22:16.919] 50
[00:22:19.640] アップか。まあ強いな。強いけどでも
[00:22:23.720] HPが25%
[00:22:25.720] 以下ってあんまないんよな。それ回復入れちゃうもんな。あ、よし。
[00:22:31.880] オオやべ、なんかさ、そろそろさ、レベル上げしなきゃまずいよな。そろそろレベル上げしないといけない。なんか俺もなんか今週
[00:22:43.799] は安定しないな。
[00:22:45.720] 今週中にクリアするんだって意気込んでからなんか敵との戦いをなんかサボるサボる傾向にある。はい。
[00:23:02.360] 何これ?空っぽやん。あ、
[00:23:06.799] どこから身の毛のよつか高い声がする。
[00:23:15.919] まあ、
[00:23:17.760] 一体誰かしら。人の宝箱を勝手に開けるの
[00:23:20.400] はメスなんだ。まあ、なんてびっくり。
[00:23:22.720] 人間じゃなくて年がるは人間がい
[00:23:25.799] るってことは私もとうとうこっから出れる
[00:23:27.360] 日が来たというわけね。これをわざわざ
[00:23:29.279] 伝えに来てくれるなんて、あなたたち親切
[00:23:31.039] な人間ね。
[00:23:33.320] そうね。じゃあ伝えてくれた俺礼に何かし
[00:23:35.360] なくてならないわねえ。私が持ってる
[00:23:37.720] ローブが欲しいです。冗談よ。あ、これは
[00:23:40.120] 私の大切な宝物なのよ。
[00:23:44.440] あなたたち1番最初にあなたたちを1番
[00:23:47.080] 最初に私の美しいボディのために栄養に
[00:23:48.840] させてああげる。こいつ強かったな。え、
[00:23:50.840] 嘘強かった。
[00:23:53.840] ガル、これって原作にもいた?これって原作にもいた?うん。
[00:24:02.000] あ、いる。あ、いるんだ。あ、絶対お前絶対知らねえだろ。絶対知らねえだろ。
[00:24:07.080] 原作が強かった。
[00:24:08.480] あ、そうなんだ。え、乳首えへん。
[00:24:11.200] 乳首あった?今乳首あった?なかったりした。
[00:24:13.640] いりなかったりしろ。
[00:24:14.880] ほらね。
[00:24:16.840] あ、火炎切りが抜群らしいっすわ。
[00:24:21.240] さすがに。
[00:24:22.799] さすがに言えない。それは
[00:24:26.520] どうしよっかな。どうしよっかな。
[00:24:31.360] お無双
[00:24:35.240] が1番強いんだろうな。これなんかな想点
[00:24:39.320] 魔ザかしらね。
[00:24:43.159] なんで当たらないんだよ。
[00:24:49.760] で終わらせて合わせで原作やればいいよ。
[00:24:52.840] いや、やらん。やらん。原作は原作。なんで今尻こっちに見せてきたんだ?なんで今こっちにお尻向けてきたの?
[00:25:03.720] エロすぎ。
[00:25:10.000] なんで当たんねえんだよ。やる気あんのか?
[00:25:15.960] 715。
[00:25:19.840] あ、女には見せないんだな。とりあえずスクルト入れとこか。いや、結構アイラがさ、何やっていいかわかんなくなるんだよな。
[00:25:36.679] あれ?
[00:25:43.600] いや、当たんない。こいつなかなかなかなかあれだな。
[00:25:50.960] そんな外す。火炎切り。いやあ、あれ覚えてないんだね。覚えてないんだな。あれがメラメラゾーマとか覚えてないんだな。
[00:26:07.559] 魔人切りでも当た
[00:26:09.480] 本当だよな。4回外してるぞ。
[00:26:20.279] うーん。ま、バイキルといや、バイキルとかけバイキルとかな。
[00:26:25.320] バイケルト
[00:26:31.399] これ。お、
[00:26:40.080] おい。
[00:26:43.000] え、これあれ魔じん切りと同じ?違うよね。魔じん切りと同じじゃねえよな。扱いな。マじどうしよっかな。
[00:26:53.760] 命中力上げる魔法みたいのはないのかな?ドラ
[00:26:57.039] 命中力はないんだら。命中力はないんだよ。命中力はないのよね。
[00:27:05.200] は
[00:27:11.480] いや、当たんない。で、え、なんで回心の一撃やるとお尻やあ、
[00:27:23.279] MPがない。え、
[00:27:32.000] ミラクルムーンかな。
[00:27:34.720] ミラクルメン
[00:27:37.559] こいつ回避率えぐたけえぞ。急い。
[00:27:41.679] おい。666
[00:27:43.000] 何か何が急いでって。何を急いでやびこの悟りかな?
[00:27:52.480] 今日は時間ないよ。
[00:27:54.200] 6の6の6。6
[00:27:56.120] の6の6。
[00:28:00.200] あ、6の6の6の6のえ。
[00:28:05.919] ライド
[00:28:08.320] いいよ。400さらにもう1回。
[00:28:12.000] それはオッケ。いや、まだ全然赤くなんない。
[00:28:19.360] いえ、当たらんねえ。ビル
[00:28:26.000] まだがスカる。うん。うん。いい。本当は乳首あるやん。
[00:28:33.840] 乳首やん。
[00:28:36.120] この子女の子じゃないんかい。
[00:28:39.120] 宇宙海賊もいます。
[00:28:40.760] ら、回心なのかな?蒼点魔ザンって回心確定?
[00:28:50.600] 宇宙海賊。
[00:28:52.720] あ、そうね。絶対知らないだろ。ダブル
[00:28:58.760] 毎回こういう時うんって言ってくれるのはいいんだけどさ。
[00:29:01.880] あ、た。ぼよん。
[00:29:04.559] さて、
[00:29:05.440] 背中の肉がマジで俺とそっくりなんだよな。背中の肉がマジで俺とそっくりだからやめてほしい。
[00:29:12.960] なかなか消えてくれないんだよな。
[00:29:15.840] カメラかと思った。
[00:29:19.840] 背中の肉がさ、マジで俺そっくりでやめてほしいんだよな。
[00:29:24.840] マげラムちょ。
[00:29:26.279] マげラムーチだよ、本当に。
[00:29:29.600] は
[00:29:31.679] ケツの割れ目人より長そう。
[00:29:35.240] なんだよそれ。どういうこと?どういうこと?何?どういうこと?それケの割れ人より流そうって。
[00:29:47.159] あ、デブだからってこと?別にデブって人より人より長くねえだろ。
[00:29:53.399] 当たんねえマジで。なんだこいつ。全然当たんないよ。
[00:29:59.600] ちょっとまえスクールというとこか。お任せ。
[00:30:10.320] あ、そんなことないよ。別に回心があれってわけじゃないね。おお。あ。え、強いなあ。
[00:30:20.559] 太ってる人って背中の肉がパンツでしまってケツみたいになりますやん。
[00:30:26.559] なりますやんって言われてもね。
[00:30:30.000] 車やん。
[00:30:31.159] なりますやんて言われましても。や、待って。マリベル死んじゃったんだけど。誰も覚えてないよ、蘇生。誰も蘇生覚えてないよ。
[00:30:41.840] 頑張るわよ。
[00:30:44.640] 覚えてないよね?覚えてないよ。無双かな?
[00:30:54.919] あ、まジか。
[00:30:59.440] 1400
[00:31:01.760] 強いな。いや、
[00:31:05.000] 2回はまずい。2
[00:31:06.320] 回はまずいでしょうが。やっていいことでやっちゃダメなことあると思いますけど。
[00:31:13.360] はあ。え、
[00:31:16.919] そのちょっと待てよ。ちょっと待てよ。いやあ、もう使う。ごめん。使うわ。ここ
[00:31:25.200] 使わない。意味ないねん。
[00:31:27.720] 使わない意味ないの?
[00:31:29.519] やっていいことと推奨されることがあいだよ。
[00:31:32.840] やっていいことと推奨されること。えー、あ、ヒダルコも効くんだな。さてどうしたもんかね。スカラー入れとこうか。
[00:31:50.120] はあ。それ
[00:31:56.840] めっちゃ疲れてますやん。ウォーキング行った後の俺みたい。
[00:32:01.880] こうなりますからね。俺もこうなってるからな。もう玄関で
[00:32:09.919] 疲れて動けない。笑。
[00:32:11.720] こうなってます。上がってます。
[00:32:13.279] 息上がってますやん。下メロ出てますがな。
[00:32:17.000] スタミナ
[00:32:19.279] スタミナバッツあ
[00:32:25.000] 2016
[00:32:29.120] だよ、みんな。えー、どうしようかな。
[00:32:36.600] いい声出たね。ファンタジーやん。
[00:32:41.480] ダメージがもうインフレしちゃって
[00:32:44.559] FFやん。
[00:32:46.880] いいね。えい。や。
[00:32:59.679] いやあ、こいつどんだけ体力あんだ。疲れが取れた。にゃ。強いな。いやあ。
[00:33:10.760] やだね。
[00:33:12.720] いや、結構でも強いよ。結構強いんだけど。
[00:33:16.880] 気をつけて。
[00:33:20.240] これさ、なんか、ま、仕様的にしょうがないんだけどさ、なんか主人公言葉発さないじゃない?ああとかうーしか言わないじゃん。なんか回復してもらってありがとうって言わないのすっげえやなんだけど。
[00:33:33.880] ゲームの使用上しょうがないかもしんないけど、なんかありがとうぐらい言えよ。よし、オッケー。
[00:33:44.720] 回復してもらって当然みたいな。うん。
[00:33:48.639] お、いいや。うまいな。1万5000。
[00:33:52.559] パチパチパチパチ
[00:33:54.399] 強かったな。
[00:33:57.240] じゃねえからな。
[00:33:58.039] そ、私が人間ごときに負けるなんて。お加藤もいるね。
[00:34:03.600] 配信してくれてありがとう。
[00:34:05.480] 何何何?
[00:34:06.960] おす
[00:34:08.480] さちゃんこんばんは。ええやで。見に来てくれてありがとな。
[00:34:14.399] 強かった。確かにこいつ
[00:34:16.480] 配信してくれてありがとう。
[00:34:18.520] やがってよ。分かった。わかった。見に来てくれてありがとうやで。見に来てくれてありがとうやで。
[00:34:29.879] 平日なのにありがとう。茶ま舐めてて。
[00:34:33.480] もういいって。分かったよ。なんか
[00:34:37.079] 生きてくれてありがとう。いて夜遅くまで。
[00:34:40.839] あの、これ、あの、そんなや別いないと思うけど。
[00:34:43.760] あう。
[00:34:44.320] おい、おい、おい。
[00:34:46.599] あれもいるじゃねえか。なんだっけ?広末エもいるじゃん。なんかそのめっちゃ痛い配信だと思われるから。なんかめっちゃ痛い配信だと思われるからなんか
[00:35:00.760] リスナーからありがとうって言われまくってる。そうなの?え、嘘。今日も配信できて
[00:35:07.119] 俺。
[00:35:07.320] え、俺って痛い配信者だったの?なんかリスナーにめっちゃよしよしされながら配信する
[00:35:15.760] VTuberみたいな。いや、
[00:35:16.680] VTuber
[00:35:17.079] とか限らないけど、もうそわかんないけど。わか、わわかんないんだけど。うん。わかんないんだけど。うん。
[00:35:23.079] ありがとうを集める配信ですよね。
[00:35:25.839] ちゃまさ万歳。
[00:35:27.160] うん。どこだっけ?さっきの男がいたとこ。ここか。
[00:35:36.720] ここでしたっけ?
[00:35:39.200] この配信のおかげで人生が明る。また倒れてます。こ
[00:35:42.960] ありがとう。うん。
[00:35:46.040] 分かったってもう。
[00:35:47.119] おや、
[00:35:49.520] こんな感謝ばかりの幸せな配信他にない?
[00:35:55.640] なんだって?
[00:35:56.200] うん。
[00:35:57.440] ヘが部屋が嫌い。なんでこいついっつもこうやって壺散らかすんだよ。うん。
[00:36:09.359] 見てたらお金取られそう。
[00:36:11.160] うん。え、俺の配信
[00:36:15.880] 壺終われば綺麗になるという風潮。
[00:36:19.359] むしろ散らかしてるんだよな。なんですか?
[00:36:29.079] 破片どうするのか。
[00:36:30.560] 本当だよな。うむ。実は正直言って私はあの大方が苦手でな。
[00:36:34.640] わがまむというか。うん。下にいる我らの仲間を救うためにさ、急ぐのだ。はい。で、またあの
[00:36:41.760] はい。
[00:36:43.680] あれやんな。さっきのとこに行けばいいんだよね。あのつものとこにな。つものとこに行けばいいんだよな。これでな。えー、リファ族の神殿。ここか。なんでここ不思議な力だよ。ど、どっから戻んのよ。さっきのあれか。ゆっけんところか。
[00:37:02.079] ゆっけのどこだっけ?あ、たたたたた。めっちゃうまそうな乱応のえ、リあ、間違えた。間違えちゃった。
[00:37:14.319] ゆっけ食いてえ。
[00:37:15.280] ゆけ食いてえな。あ、桜ゆけ食いてえよな。え、家族の新か。え、なんでルーラできませんの?ん?これ
[00:37:26.079] 君だけ取るマシーンみたい。
[00:37:28.240] 君だけ取るマシ。
[00:37:29.319] あのスきアとかのあのスきアとかのあのあれなスきアとかのあの銀色のやつね。チュルンつってあの白身だけ下に落ちるやつね。あるけど
[00:37:43.079] あれ普通にミスる。
[00:37:44.520] そうあれ普通にさ君もさあの隙間から落ちる時あるよな。
[00:37:51.680] そんなことしたらおかに殴られる。あれ結構君も落ちる。
[00:37:56.040] あれ全部落ちるのなんなの?み、みんな同じ同じこと言ってんじゃねえかよ。
[00:38:01.400] 仲間多くて安心した
[00:38:02.839] なあ。
[00:38:04.200] よかった。俺だけじゃないんだ。中君ちはやっぱあれだな。やっぱ俺もでもうちもそうだよ。多分白見捨てるなんて言ったらぶん殴られるよ。
[00:38:20.680] かった。
