[00:00:11.559] Да
[00:13:43.880] こと。みんな自分で払って。
[00:13:47.720] いや、マジでいつ声優さん行こっかな。
[00:13:50.040] 行きて早く明日1人で行ってこようかな。
[00:14:05.040] だいぶ俺強くなったっしょ。だいぶ
[00:14:07.079] サクサク倒せてない?敵
[00:14:10.079] だいぶほらほらサクサク倒せるようになり
[00:14:12.199] ました。
[00:14:17.480] オケー
[00:14:20.160] いいね。
[00:14:22.480] やっぱちょっとレベル足りてなかったんか
[00:14:24.279] な?どうなんだろうね。
[00:14:28.720] 言うてレベルも31だからさ。おそらくだ
[00:14:31.920] けど俺のなんかそのこのセーブ用の
[00:14:34.639] ディスクあるやん残ってんだる。残ってた
[00:14:38.560] データ見ると多分あれクリアしてんのかな
[00:14:40.800] 結構やり込んだデータみたいなが残ってて
[00:14:42.959] それからレベル50ぐらいだったからまあ
[00:14:45.639] 半分ぐらいはなんやねんまだ喋ってるやろ
[00:14:48.240] か。まだ喋ってるでしょうか俺が。
[00:15:13.440] こちょっと強い。
[00:15:21.839] いや、どんくらいでクリアからよな、マジ
[00:15:24.120] で。これ、あの、なんかさ、本編の
[00:15:28.959] スナッチャーやったじゃない?あの、
[00:15:31.959] アドベンチャーのやつ。あれに比べて
[00:15:34.079] なんか、あ、なんかその、もう全然なんか
[00:15:36.839] ストーリー違くてさ、あそこにこうなんて
[00:15:38.880] 言うの?あのルートに戻ってくんかね?
[00:15:41.959] あのルートに戻ってくのかな?見てへんや
[00:15:44.319] んけ。見てないやろかい?
[00:15:48.720] 見てたのかな?わかんないけど。わかん
[00:15:50.720] ない。見てないやろがいって言って。
[00:15:53.720] どうだったかな?来てくれたっけな?覚えてない。誰が見てたかなんて覚えてないよ。うんちゃんあの時見てなかったでしょ?見てた。あ、ごめん、ごめん、ごめん。いや、でも勝覚えてないって誰がなんていって思うんだったらもっと俺の記憶に残るぐらい俺の配信して来てくんないと。最近来てくんなかったからな。
[00:16:22.600] 最近来てくんなかったから。最近来ねえやつ多いからな。そう。何?配信あのリスナーも覚えられない。覚え覚えられないって俺覚えるの苦手なんだよ。誰がたかとけ変わる前にちゃう。
[00:16:42.279] 疲れてるんだな。疲れてるんだな。いいことじゃん。
[00:16:50.399] 長年長年はいいことだぞ。早根は
[00:16:54.399] これ道合あってんの?これ
[00:16:56.600] どけ?
[00:16:58.720] 道合合ってんのか?これお前はど来んなよ
[00:17:02.560] 。よし
[00:17:05.799] く
[00:17:11.160] やら。ああ、お前が1番嫌なんだよ。お前
[00:17:15.360] だ。
[00:17:17.919] これね、レベル上げてて、分かったんだ
[00:17:19.839] けど、こいつ逃げらんねえんだよ。こいつ
[00:17:22.079] 逃げらんないんす。
[00:17:26.319] だるすぎる。こいつマジでめっちゃ勝てえ
[00:17:28.640] し。
[00:17:34.679] ああ、おら、出た。
[00:17:37.799] これなんすよ。
[00:17:41.799] あ、当たった。
[00:17:47.080] あとこいつもこの攻撃モーションが
[00:17:52.240] 攻撃のモーションが長い。え、何?
[00:17:55.039] ドラクエの1番じで、え、ドラクエの1番
[00:17:57.120] くじ出てんの?何それ?え、それいや、で
[00:18:00.679] もそれあれでしょ?え、また種きみたいな
[00:18:02.960] の。ああんじゃないの?え、嘘?マジで?
[00:18:05.760] え、どれでもどうせた種きとかじゃないの
[00:18:07.480] ?また。
[00:18:09.520] え、ラインナップ見たいんだけど。
[00:18:11.320] ラインナップ見て
[00:18:15.440] 全然当たんないし。何これ?
[00:18:19.000] え、ドラクエの1番口やってんだ。
[00:18:24.320] だたら俺前回ドラクエセもうなん当たいん
[00:18:27.320] やん。あっちか右か。
[00:18:30.679] 前回のドラクエ7の俺1万てだいぶ痛い目
[00:18:33.400] 見たからな。
[00:18:40.480] あんま信用してないところある。
[00:18:43.679] フィギーないかな?下のにフィギュアある。神箱。
[00:18:47.679] え、下のにフィギュアあるの?え、何それ?何?見たい、見たい。ちょっと教えて。
[00:18:54.120] URL貼って。
[00:18:55.039] URL勝の疲れた。
[00:18:57.640] サンキュー。
[00:18:59.280] え、何これ?はあ。え、何これ?めっちゃえた
[00:19:05.240] に負けて買えなかったらしい。マカ。笑。
[00:19:07.799] カス。マーカス。ま、マーフルのこと。
[00:19:10.200] ま、マーカスって呼んでんの?
[00:19:13.360] デトロイトビカムヒューマンや。
[00:19:16.640] え、何これ?ちょっと待って。あれ?どう
[00:19:18.760] やって?どうやって映せばいいんだこれ?
[00:19:19.960] え、これめっちゃいいじゃん。めっちゃ
[00:19:23.600] いい。何こは俺の時と全然違うんだけど。
[00:19:28.960] おい、種き。しかも俺ん時より安いし。
[00:19:34.280] はあれ
[00:19:35.960] 俺880円だぞ1回ならまだ売って
[00:19:39.039] そうじゃん。
[00:19:40.559] ローソンなんや。今日ローソンも行った
[00:19:42.840] けどこんななかったの?気づかなかった
[00:19:44.000] だけか。A賞ステーショナリー。あ、あれ
[00:19:47.600] 別にこれはいらねえな。
[00:19:50.679] ロゴラ。
[00:19:52.799] ええ、ロゴライト
[00:19:56.000] めっちゃええやん。サウンドブロック。
[00:20:00.000] ああ、ま、これは別にいらねえか。
[00:20:03.640] これは別にいらねえか。アクリルパネル。
[00:20:05.880] えー、めはい。神。これめっちゃいいじゃ
[00:20:09.640] ないすか。
[00:20:12.159] アクリルねえねえね、ね。最近のこのさ、
[00:20:16.880] 最近よく見るさな何なの?輪っかみたいな
[00:20:19.919] 輪っかのやつ。これ流行ってんの?
[00:20:21.000] これ印スチャーム
[00:20:23.200] 。なんでこれが流行ってんの?
[00:20:25.039] 目印スチャームって流行ってるよな。なん
[00:20:26.799] かや
[00:20:29.360] あよくさんこんばんは。よくこれ1番く
[00:20:32.080] じドラクエのやつ見てんだけどめっちゃ
[00:20:33.880] ええやん。ま、これはこれはあんまいら
[00:20:36.320] ねえか。あ、これはあんまりいらねえ。
[00:20:39.520] 700円、800円って言われたら
[00:20:41.280] ちょっとこれはいらねえけど。デフォルメ
[00:20:43.280] 。いや、これめっちゃ欲しいやん。Fシで
[00:20:46.720] これなん?F賞でこれなのは全部行くだろ
[00:20:50.440] 、こんなん。
[00:20:52.760] うわあ、なかなか勇者の立体物なかなか
[00:20:56.039] ないからね。でもなんで6までなんだ?あ
[00:20:58.080] 、ボリューム2。うわ、マジかよ。これは
[00:21:02.559] これしかもF並んでる食べるより全然いい
[00:21:05.760] 。全然いいね。シってのがまたこの下の方
[00:21:09.200] の賞でこれが入ってんの神だな。最後の1
[00:21:12.320] 枚何これ?40周年ロゴプレートあんまり
[00:21:16.480] いらねえか。アペンドチャンス。はあ。あ
[00:21:20.679] 、これはなんか違うんだ。9時で出るんだ
[00:21:23.559] 。じゃないんだ。へえ。いや、これ
[00:21:25.559] めっちゃいいじゃん。これ揃えて。これ
[00:21:28.919] 揃えたいね。
[00:21:31.960] これ揃えてえなあ。
[00:21:35.080] へえ。
[00:21:37.279] うん。でもなんかこれ大量にこれが当たる
[00:21:39.400] 気がする。アクリルチャームマジでいら
[00:21:42.360] ないと思う。俺正味ごめん。これはいら
[00:21:44.440] ない。アクリルチャーム
[00:21:48.679] いらんかもなあ。ただ全然A賞よりへえ。
[00:21:53.200] これはいいな。このフィギュアいいっすね
[00:21:56.520] 。Fシだっけ?G賞だっけ?G賞の
[00:21:59.200] フィギュアだっけちょっと優先的に欲しい
[00:22:00.840] ね。うわ、あったら欲しいな。ローソン
[00:22:04.840] だってさ。ローソンだって。
[00:22:07.279] あったら欲しいっすね。
[00:22:12.159] ちょっとやってみようかな。見つけたら。
[00:22:16.640] ちなみに俺の前回やったドラクエ7のあの
[00:22:19.400] 福引き場1万くじあれはもう発売から1
[00:22:22.600] ヶ月以上経てクソほど余たんでね。
[00:22:26.440] 今回は多分やろうな。
[00:22:32.200] 今日クりあり
[00:22:33.600] いやもう今日クりしなきゃまずいわ。
[00:22:37.000] いも、こんばんは。もう正味もうさっきこのゲームね、開始
[00:22:41.600] 5
[00:22:41.760] 分、あの待機時間ついに誰も来なかったわ。ついに誰も来なくなった。
[00:22:49.760] ダブル。
[00:22:50.400] もう、もう、もうや、もうほ、もう本当に俺この間だ、あの、前のね、ヴンパイアキラーっていうメガドライブの
[00:22:57.760] 8万するゲーム、8
[00:22:59.440] 万で買ったゲームやった時も全然人来なくても、もう高いゲーム買うのやめようかな。
[00:23:05.400] 費用体効果が
[00:23:09.159] 非用体効果が悪すぎる。
[00:23:12.640] マジで今日クリアしようぜ。え、いもこ
[00:23:14.840] さんのさ、ドラクエの1番くじ見た?
[00:23:16.720] ドラクエの1番くじ。めちゃくちゃいいぞ
[00:23:18.600] 。めちゃくちゃいいぞ。ドラクエの1番
[00:23:21.480] くじ。前回のあの種キーが嘘みてえな。
[00:23:31.000] しかも前回より安くなってるし。
[00:23:34.320] 前880円だった。税込み
[00:23:37.039] 790
[00:23:37.640] 円だった。ま、シクシクとやってきますよ、このゲームね。
[00:23:48.400] いいね。
[00:23:49.120] いいよね。このラインナップ見てみ。これ。これ。これめっちゃいいよ。恥ずかしい。な
[00:23:59.080] んで?なんでなんでいいだろ、別に。
[00:24:02.039] しかも1番下のあの1
[00:24:03.679] 番しょぼい賞がフィギュアなの。めっちゃ良くない?めっちゃ当たりやすいってことでしょ?
[00:24:08.679] G賞、F
[00:24:09.360] 賞がフィギュアなの。めっちゃ欲しい。
[00:24:14.919] たネき
[00:24:16.120] たきたきでもたネキー枠あるからな。たキー枠あるからな。
[00:24:22.480] あのアクリルチャームもうもう
[00:24:25.039] アクリルアクリル
[00:24:26.600] やめませんか?なんかシャッコンのなんか
[00:24:29.480] シャッコのグッズよくあるけどアクリルで
[00:24:31.880] さ手抜くのやめましょうよ。俺アクリル
[00:24:35.440] いらねえんだよな。アクスタ嫌い。俺も
[00:24:38.000] いらん。フィギュアにしてくれ。余るんか
[00:24:40.799] な。安いんだよ。
[00:24:44.600] アクリルねすごい安いんだよね。制作する
[00:24:46.640] のに。俺もああの時さ、キーホルダー作っ
[00:24:48.919] たじゃん。最初アクキーを作るかってなっ
[00:24:51.480] たんだけど、俺絶対やだっつった。
[00:24:54.720] アクリルだ。あ、あれ100個吸ったんだ
[00:24:57.279] けど、あのキーホルダーね。ほ、俺あれ
[00:24:59.559] ラバキー作ったやん。ラバキーって
[00:25:01.360] めっちゃ高くて、
[00:25:03.720] 要はラバーってゴムだから金ガを作ん
[00:25:06.880] なきゃいけないのね。金型を掘ってそこに
[00:25:09.279] 流しコって作んなきゃいけないんだ。
[00:25:10.559] アクリルってあれ印刷してるだけだから。
[00:25:12.399] 印刷してレーザーで切ってるだけだから
[00:25:14.159] 安いんだよ。
[00:25:16.919] でもなんかきじゃなと思ってめっちゃ
[00:25:21.120] たけえけどあのめっちゃたけえけどあの
[00:25:23.399] キーホルダー吸ったんだよ。100個
[00:25:25.919] 100個作ったら70個ぐらい余ってんだ
[00:25:27.600] 。おい、誰か買ってくんねえか。おい、
[00:25:30.279] 70個ぐらい余ってんだけど。あ、あの
[00:25:32.039] キーホルダーが
[00:25:38.559] 俺のあのイベントのグッズめっちゃ余って
[00:25:40.799] んだよな。どうしよう。あれ
[00:25:43.320] マジで場所取るからどうにかしたいんだよ
[00:25:45.279] ね。捨てるわけにもいかなくてさ。
[00:25:48.360] シャとラバ買うつって。
[00:25:50.120] え、マジで買う?え、でもどうやって売ればいいの?売る方法がないねん。うわ、俺だって金になったったら早く売っ払いてえ。あれだどうやって売ればいいかがわかんないんだよ。
[00:26:00.360] やり取りができなくない?現金書き止めで送ってくれる?じゃあげ
[00:26:07.760] えたゲオフ会やる?じゃあ現金かき止めて送ってくれる?シャツも大量に余ってるし。
[00:26:28.240] ほら、ほらな、買うって聞くと黙るねん。そんなもんなんだよな。
[00:26:39.159] 同窓会それ来て。
[00:26:40.600] 本当に。え、じゃ、ちょ、マジで売りたい。栃木まで来て。めちゃくちゃでもサイズがもうね、
[00:26:50.320] Lとね、XLしかねえんだよ。LとXL
[00:26:53.200] しかねえ、どうせみんな体でけえかなと
[00:26:55.919] 思ってさ、あのMはさ、ちょっとしか釣っ
[00:26:57.760] てなかったんだ。そしたらぜ、Mが
[00:26:59.799] めちゃめちゃ売れて。え、みんな意外と
[00:27:02.440] ガリガリなんや。デブ基準で考えちゃった
[00:27:05.760] 。LとXLありゃ十分やろ。
[00:27:10.159] Lあるよ。Lもある。
[00:27:16.320] おい。だるいよ。
[00:27:24.120] 新しい武器買ってもいいぜ。金めっちゃ
[00:27:25.720] あるからな。間違えた。
[00:27:30.520] ルルデ
[00:27:32.399] 。
[00:27:39.279] マジで今日でこれクリアできるかな?
[00:27:42.559] いや、なんかうん。でもやな。なんかそう
[00:27:44.760] やってゲームすんのもやなんだよな。なん
[00:27:47.039] か本当に好きでやってるんだったら気にし
[00:27:48.919] なきゃいいのに。でも結構気になっちゃう
[00:27:51.240] んすよ、みんな。ああ、みんなもう飽き
[00:27:53.799] ちゃったかなって。
[00:27:56.600] こんなあんなにやりたかったゲームなのに
[00:27:58.399] 早くこれクリアまだかなって自分で思っ
[00:28:01.120] ちゃうのやなんすよ。
[00:28:03.440] 悲しい。
[00:28:05.919] いいんすよ、俺は全然一向に構わん。この
[00:28:09.519] ゲームがまだ続いても。
[00:28:21.880] 鬱陶しいな。あれ?
[00:28:28.919] 何?な
[00:28:32.880] んでもない。ない。はい。
[00:28:40.159] うまくやっぱね、これね、あの洞窟の中にいた変な青いロボットが金としすぎてるから正味ね、この辺の雑魚線の意味がなくなってきちゃってんだよね。
[00:28:50.320] それなあ。
[00:28:51.159] なあ、そう思うよな。あ、待って。あの上にんでここロード入るんだよ。あそこロソ消したか俺?あそこロソ消してなくないか?あの上最団みたいなとこなんかロソありそうじゃね?ちょうどいいとこでロード入るんですよ。
[00:29:08.159] ちょっと見ますか。ちょっとごめんなさい
[00:29:09.200] 。ロードロードもう1回もうワンロードさ
[00:29:11.240] せてごめん。
[00:29:14.720] やべ、1番やりたいなあ。1番くじやり
[00:29:17.760] てっすね。
[00:29:21.320] うちの近く1番近いコンビローソンなんだ
[00:29:24.120] けど、今日ジムジム行ったんだけどジム
[00:29:26.760] 行く。あ、ほら消してないじゃん。ジム
[00:29:29.200] 行く前にさなかったんだよ。なかったで
[00:29:32.120] なかった。なかった。なかった。あったの
[00:29:34.159] かな?絶対気づくけどな。
[00:29:36.159] た間違えた。なんやそれ?
[00:29:58.039] 闇休憩大丈夫?
[00:30:00.760] まだ開始30分なんだけど。
[00:30:03.919] え、俺そんなヤニカスに見えてんの?お前
[00:30:06.000] らにさすがにそんないや、始まる前に大体
[00:30:09.320] ヤニってくるから1本まだ大丈夫だ。
[00:30:13.880] 深夜深夜になったらな、夜になったらすぐ
[00:30:16.799] に
[00:30:21.559] さっきさっきってかちょっと前にさ、
[00:30:23.320] コンビニでコンビニじゃねえや。
[00:30:25.720] ベランダでベランダでさ、保捨てたらさ、
[00:30:29.600] あのバカでけえなんか神切りムシみたいな
[00:30:31.799] のが飛んできてさ、それからちょっと怖い
[00:30:34.440] んだよな。バカでけえ謎の虫が飛んできて
[00:30:40.440] ちょっとパニクって
[00:30:43.440] それ以来ちょっとちょ怖いんすよ。そ、
[00:30:45.320] あのあそこで吸うの
[00:30:52.919] パニック。
[00:30:55.480] 超でけえ。なんか歯音がもうやばくてなんかバタバタバタバタみたいな。だいこいつマジで。
[00:31:07.679] でも好きなの。
[00:31:08.760] 嫌いだよ。虫俺全然ダめだから。虫はマジで無理。よし。
[00:31:16.039] 神切り虫大量発生してるらしいよ。
[00:31:18.480] あ、そうなんだ。
[00:31:19.320] なんでなんで確かにでも神切りムシなんてそんな見ねえよな。普通
[00:31:32.320] 送ろうか。
[00:31:33.480] いやい、やめてよ。遅れるの?切りムシって生物って送れるの?いや、もういいてえ。
[00:31:45.760] 頑張って捕まえるよ。役所に。
[00:31:48.799] たら100円くらしいガチ
[00:31:51.200] 神切1匹100円マジか何それ?
[00:32:02.039] 最近TikTok
[00:32:03.000] でカブトムシの方動画何?
[00:32:05.159] 何?カブトムシの梱包動画って?え、それカブトムシとかそういう虫とかってさ何送していいもんなの?だ生物って遅れるもんなの
[00:32:19.399] あ、でも送れるのかな?なんか虫類のさ、餌用の虫とかしいよ。
[00:32:26.440] あ、そうなんだ。マジでやめてね。大迷惑だから虫とほってくんだよ。いいね。めっちゃレベル上がるやん。ええやん。ええやん。ねえやん。
[00:32:44.760] なんで今年は神切りムシが大量発生してるの?あいつらクソ怖えんだよ。でかくてな。でも確かに道で死んでるのとかも見るな。
[00:32:57.120] 冷蔵で送られてくるはずなのに冷凍できて死んでたみたいなの見たな。
[00:33:02.000] 何?何?何?虫が。冷蔵でも死ぬんじゃないの?え、冷蔵でも死ぬんじゃないの?虫って冷凍。お花さすスポンジ知ってる?
[00:33:12.399] お花さすスポンジ?あの池バとかの池バとかのやつ?
[00:33:21.559] 緑のギシギシしてるやつ。
[00:33:24.360] ああ、あのボうん。あの池バとかのやつやろ。池バのあの下にやるやつ。分かるよ。
[00:33:35.360] あれ?綺麗にくり抜いてはめ込んで送るらしい。あ、それは死んでる。死んでるカブトムシってこと?死んでるカブトムシってこと?
[00:33:46.880] 生きてる。
[00:33:47.960] え、そんな大人なしくしてらんないでしょ。だってあ、そうなんや。
[00:33:58.480] エラクレスさんとかな
[00:34:00.120] んで3付け?なんで
[00:34:02.360] 3
[00:34:02.600] 付け?いや、ちょっと虫は無理ですわな。したね。
[00:34:15.480] ええ、なんだそれ?どこに置くんねんて話なんだけど。
[00:34:29.280] 送るね。
[00:34:30.399] いや、マジいらない。マジいらない。虫やめて。きしい。でも今年虫少ない気がするわ。虫ねえ気がする。今年暑すぎてさ、多分虫も死んでるよ。なんか俺こな間いだ仕事してたらさ、目の前でトンボが死んだもんね。
[00:34:53.159] 飛んでたトンボがってそのまんま地面に
[00:34:56.320] 落ちて死んだ。多分熱すぎて死ぬんだろう
[00:34:58.400] な。
[00:35:03.640] 多分暑すぎると虫も
[00:35:07.800] しもうなんだも何匹おんねんお前
[00:35:16.079] だってかいなくね
[00:35:19.599] とかいなくない今年全然まだ刺されてない
[00:35:21.720] んだけど5kg
[00:35:24.200] 5kg
[00:35:26.839] 今年まま見ないんだよ
[00:35:31.839] こkてき去年あたりからいないよな。
[00:35:41.920] うちのチャンネルのスタンプみたく使っ
[00:35:43.880] てんな。それ
[00:35:54.160] もう今日マジクリアする。これ
[00:35:57.119] 今日クリアしたい。
[00:36:05.960] 正味もう敵全逃げでもいいぐらいなんだけど
[00:36:09.760] ずっとこの青い画面うお兵が多いよもう俺裏で金食べてきたからよ
[00:36:27.760] もう1番高いけえ武器買うべよ。1番
[00:36:30.440] 高いけえ武器買って
[00:36:33.119] 住人したんねん。黙らせたんねん。
[00:36:43.400] なんか毎回金貯めて武器買って思うけどさ
[00:36:45.839] 、そんなになんか世界変わらないよね、
[00:36:49.000] このゲームか。武器、新しい武器買っても
[00:36:52.800] あんま強くねえんだよな。なんかあおって
[00:36:55.720] いうなんかそんな強くねえなみたいな。
[00:37:01.440] 敵が硬すぎるんだよ。
[00:37:11.000] お、動いた。
[00:37:16.880] いや、まだいぶ強くなったよ。こんな早く
[00:37:19.160] 倒せなかったもん。
[00:37:22.760] お前絶対よけよ。お前横んね。危ぶねえ。
[00:37:29.920] 横に来んな。横に来ん。横に来んなよ。
[00:37:33.359] よしよし。いいぞ。いいぞいぞ。いいぞ。
[00:37:35.640] くうく
[00:37:37.440] 。
[00:37:40.119] よしよし。あよしよしよしよし。ここか
[00:37:43.040] ここか。お前誰だ?
[00:37:46.160] やりましたね。ロックが解除されたよう
[00:37:48.680] です。おやった。
[00:37:53.319] 精画角。
[00:37:56.000] よし。
[00:37:58.880] ここは何だ?この奥に何がいるんだ?あ、
[00:38:02.760] 待って。あ、もういるやん。ちょっと待っ
[00:38:05.560] て待って。セーブすればよかった。うわ、
[00:38:07.359] 待て。セーブすればよかった。
