[00:00:55.520] おはちゃまちゃまドンちゃに
[00:23:50.799] 万岩みたくなってて、ちょうどなんか膝、膝下ぐらいの竹ぐらいしか水が流れてなくてさ、子供が遊ぶためだけの広い皮みたいな。
[00:24:00.799] あれどこだったんだろうな。あの川
[00:24:04.200] チま隣にいた気する。
[00:24:06.360] それはやばい。それイマジナリーチまゲームしてるから。
[00:24:09.000] の家の裏手の川で妹と同時に溺れて死にかけた。
[00:24:12.679] 重。それマジでワンチャン死ぬからやばい。よく助かったね。大丈夫だったんだ。だって人間パニクったら膝けても死ぬでしょ。膝でも死ぬもんな。お前なんだよ、その格好はよ。
[00:24:30.600] もうお前の正体教えてくれてもいいだろ。
[00:24:32.520] そうだな。俺がなぜと呼ばれてるかいずれ
[00:24:34.679] 話してやろう。そんなのどうでもええねん
[00:24:36.760] 。闇病院について教えて欲しいんだか。
[00:24:40.600] シティには正規に登録されてる病院の他に
[00:24:42.840] 闇営業の病院が無数にある。それらを全て
[00:24:45.320] 把握するのは無理だね。
[00:24:48.640] いや、闇の開業委員のことならえ、医薬ん
[00:24:53.000] 医療薬のルートから分かるかもしれんな。
[00:24:55.080] Cの医療薬品はほとんどが当内で作られ
[00:24:57.159] てるからな。そうです。
[00:24:58.799] え、東内の、え、薬は全て神部薬下研究所の全を経て出回っています。神部薬下研究所。そうだ、ジェミーが働いてる。ジェミーは東内の薬物の、え、反出を管理してるはずだ。彼女は何か分かるかもしれん。そうでしたね。後でジに電話して聞いてみましょう。
[00:25:15.559] 出なくなった。毎年のように事故。
[00:25:18.600] ええ、マジか。やばいね、それ。高校生結構でかい。大きい子もやっぱな死んじゃうもんだな。
[00:25:30.000] え、衣装にリックベーカリースタジオ性と
[00:25:32.559] 書かれています。え、アウターヘブンの
[00:25:34.840] マツコを作ってるメイクスタジオです。
[00:25:36.799] ああ、ジョイディンの変がたやつか。
[00:25:43.679] 俺なんかよりその専門家を尋んだのが希望
[00:25:46.159] が持てるぜ。見てることに感謝。ま、
[00:25:48.960] インドア派やっぱインドア派で良かったと
[00:25:51.360] 思うところな。それはな。
[00:25:54.480] ちょっと見せてみる。映像メモリー。愛の
[00:25:56.919] メモリー。
[00:25:58.279] え、ホスピタルオリーンどこのこと?あ
[00:26:01.360] あ、リさちこんばんは。さちこんばんは。
[00:26:06.120] やってんねん。スナッチっていうゲームをやっとんねん。え、風かナポレオンアレルギーさ。風に咲く豚草系の花があるらしいんだが。どうもその花粉のせいかもしれんな。ようたの。え、風に開花する。素かなち上がられると必ず脳すぎ反応が出ます。
[00:26:26.799] こいつらくしゃみが出てばかりでしょうが
[00:26:28.799] ない。うーん。
[00:26:33.159] なんか川遊びとかしてえよな。川遊びとか
[00:26:36.640] したいよな。マジでな。えっと、なんだっ
[00:26:38.679] け?えっと、
[00:26:41.200] 調べる違う。もうええね、これもう電話し
[00:26:43.559] ちゃっていいんちゃう?電話しちゃいます
[00:26:45.240] か?嫁に嫁に電話しようでビデオンなんか
[00:26:48.360] 後にしろよって言われちゃう。人を呼んで
[00:26:50.360] おきながらビデオンはしてるねえだろ。
[00:26:52.200] 一緒に海へパ行くか
[00:26:55.679] いやな。ナパとかちょっと僕ちょっと本当
[00:26:57.600] すいません。ちょっと勘弁してください。
[00:26:59.840] ナパとかマジで勘弁して。マジであの
[00:27:02.360] 社会人成り立ての時に社会人に成り立ての
[00:27:05.720] 時にあのその頃仲良かった友達も結構
[00:27:09.360] イけイけなやつでさ、ちょっと俺女落とし
[00:27:11.919] に行くからよつってさ、うるメのオリオン
[00:27:13.840] 通りに行ったらさ、あのナパしようぜ
[00:27:16.840] みたくなって俺もなんか俺もなんかこう
[00:27:19.559] 負けるわけにはいかなくてなんかこうあ
[00:27:22.559] 全然余裕だしみたいな感じで全然知らない
[00:27:26.480] 人に声かけて2人組で声かけてたんだけど
[00:27:29.279] 俺マジで挙取りすぎ
[00:27:31.640] マジでりすぎてなんかずっと同じなんかえ、
[00:27:34.600] 若しちゃ
[00:27:35.520] 俺たち何歳に見えるにしか言ってなかったからでそれそれしか言ってなかった
[00:27:42.120] 1日あの1
[00:27:43.559] 番最後にそれって女顔が言う言葉だぜって言われて
[00:27:48.039] そのたにその友達にそれって女側が言う言葉だぜって言われて
[00:27:53.360] 笑笑
[00:27:53.799] それから一言も何も喋れなかったそれ以来ナパはしていません。
[00:27:59.640] 確かに。
[00:28:00.399] うん。それ以来ナパというものをしていません。
[00:28:03.919] なんかハリボテみたいな雰囲気になってる。
[00:28:07.519] あ、確かにハリボテん使ってたね。これね。もら、こんばんは。ちゃうねん、これ。あの、今、あの、
[00:28:13.120] 確かに、
[00:28:13.919] あの、あれだよ。なんだっけ?
[00:28:15.039] 確かに
[00:28:18.159] 島村のドラゴンクエストコラボで買ったやつ。
[00:28:24.039] 島村のドラゴンクエストコラボで
[00:28:26.360] ハリボテコールストリーボテに
[00:28:29.120] やべえハリボテ2
[00:28:30.279] のハリボテになんのかもしれない俺もな。え、島村エルフじゃねえよ。あのファッションセンター島村な。え、まずもらうもらおうか。うぜえな。しょうがねえなあ。持ちが金取っておけ。
[00:28:48.679] めっちゃくしゃみしてる。
[00:28:51.760] クラファンし始めたら離れるね。そのうち全国回るん?
[00:28:55.840] うん。クラファンでクラファンで全国回るよ。そのなんかさ、なんか別に俺悪口で言ってるんじゃないかんね、これ。別に悪口で言ってるんじゃないからね。別あいつが本当やったことを言ってるだけ。
[00:29:10.880] が長いと。
[00:29:12.240] そうなの?そうなんだっけ?そうなんだっけ?わかんないけど。
[00:29:16.480] 何があった?
[00:29:17.200] いや、知らない。
[00:29:17.799] なんかえ、あんたの探してるものと違うかもしれないけどオ林病院っていう病院なら知ってるぜ。
[00:29:23.279] たけど帰ってくることはなかった。
[00:29:28.279] そのうち帰ってくんじゃない?こら勝負だからね。分かる少しもうどんだけ金取るんだよお前どんだけ金取んだよ。林病院のこと聞かせて。
[00:29:44.279] 詳しくは知らないが、RF地区にあるケチ
[00:29:46.440] な病院だ。ま、当たってみたらどうだい?
[00:29:48.919] うーん。
[00:29:51.080] なんでもあ、素直すぎについてなんでも
[00:29:53.919] 大昔に軍が改良して人工的に作った
[00:29:55.960] 足らしい。基地などの消壁兵器としてな。
[00:29:59.720] しかしもう随分前に全部排除されたんだろ
[00:30:02.000] 。これがそれがここ3年ぐらい前からどっ
[00:30:05.240] かで繁殖してるって話だぜ。3年
[00:30:07.200] 前スナッチャーが現れた時期と一致する。
[00:30:09.919] もうごめんだ。これ気にしようや。
[00:30:13.519] 待て、ナポレオン。スナッチャーからは俺が守る。
[00:30:17.000] お互い狙われる身だ。スナッチャーには気をつけようや。あ、これやるよ。クリスマスプレゼントで。
[00:30:26.320] ハンダティッシュか。
[00:30:27.919] じゃあな。メリークリスマス。
[00:30:33.600] ナポレオが帰ってしまいました。
[00:30:36.200] 仕方ない。奴がビビるのも当然だ。ま、聞きたいことは聞いたしな。
[00:30:41.840] ティッシュの裏に広告が書いてあります。
[00:30:44.960] これはアウターヘブンの広告じゃないか。あいつこんなことまでしてるのか。ふん。じゃあそのオ林病院ってとこ行ってみますかね。ま、多分違うと思うけどな。俺探してんのオリン病院だから。
[00:31:07.159] おでこのとこ冷えた入れれそう。
[00:31:09.200] もういいって。
[00:31:11.159] もう、もう張ネタはいいって。もう、もう張りボテのネタはいいから。じゃあもう帰えるよ、お前。もうじゃあもう部屋番変えますわ。じゃあそんなこと言うんだったらいつものにしますよ。やっぱこっちの方が、こっちの方がいいかもな。こっちの方がなんかあのしっくり来るかな。こっちの方がしっくり
[00:31:34.200] すいませんでした。スライムにしてください。
[00:31:37.159] それ洗ってるのか?
[00:31:38.840] 洗ってるっつってんだろうがよ。
[00:31:41.200] お何回も聞かれるんだ。これ洗ってんのかって。洗ってるっつうのやっぱじゃ。いや、でもやっぱりこ
[00:31:46.320] 冷えピタってありの課長かと思った。
[00:31:48.519] あ、そういうことか。ごめんごめん。別に冷えピタって別になのもんでもないし別に別に誰ものもんでもないし。別にていうか別になんかボルデモートみたいな扱いされてけど別にハリボテのこと何とも思ってないからね、俺。別に別に何とも思ってないからな、俺は。
[00:32:08.320] のんびるさん、こんばんは。ルル。ここがナポレオンから引いたオ林病院です。絶対ちゃうやん、これ。あのなんか電光掲示板が絶対違うやん。看板絶対違うよね、これね。
[00:32:30.639] いやらしい。
[00:32:31.799] なんかちょっとなんかなこういうこういうコンセプトのなんかラブホみたいなよな。こういうコンセプトのバーベキュークラファン何それ?何バーベキュークラファンってそんなのかまかり通るの?え、確かに告知がされていません。え、正義の病院ではないでしょう。
[00:32:53.760] ナースプレイでもするの?
[00:32:55.360] なんかできそうだな。あの、栃木にはあの、栃木にはね、あの、あれだよ。
[00:33:01.320] あの部屋が電車の車内になってるあのラブホがあるよ。電車の車内みたいなってんだよ。あの釣り側とかがあったりして間プレイができる。
[00:33:14.880] 行きたいって。お前1
[00:33:15.799] 人で行ってもしょうがねえだろ。お前そんな
[00:33:18.840] 1
[00:33:19.000] 人で行ってもしょうがねえでしょ。おなんだって今人影は見当たりません。寂しげなところに病院がありますね。
[00:33:25.720] 行きたい。
[00:33:27.080] いろんな意味で行きたいってか馬カ野郎。
[00:33:28.840] 馬カ野郎つってプレや
[00:33:31.279] うん。メモリーになったネオンとはどうも違うような気がしますか?ネオンはここだけなんだろうか。確かにな。違うところにネオンがあるのかもやもしね。変ですね。紫外線はなく旧式の圧力センサーを使ってるようです。つまり海洋状態。堂々たるもんだ。果たしてこの病院がギブスンのいいスナッチャーのメンテナンスなんだろうか。うん。どうだ?匂いとよりはオブの匂いがする。
[00:33:56.960] 入らないと分かりませんが、ギリアン慎重
[00:33:58.880] に行きましょう。じゃ、入ってみます。
[00:34:01.559] まだ入れない。
[00:34:06.559] 頑丈な金が張ってあります。ほ、
[00:34:09.960] ロックはされていません。近づけば開き
[00:34:11.560] ます。
[00:34:13.520] 入らないの?
[00:34:16.359] 大林病院。ホスピタルオー林と書かれてい
[00:34:19.119] ます。なんだ?大林病院か。本当にここが
[00:34:22.359] その病院なんですか?ま、多分違うだろう
[00:34:24.919] な。
[00:34:30.720] 違法駐車で道が塞がっています。車は放置
[00:34:33.560] ではなく駐車のようです。スクラップで
[00:34:36.079] ナチすると患者の車だろう。
[00:34:42.520] 移動中に入る行きます。
[00:34:49.000] ペンギ
[00:34:52.359] に入りました。受付のようです。
[00:34:54.639] 動物病院だったんかな?なんか動物病院っぽいけども。
