[00:00:31.199] おしゃ、毒。
[00:05:36.400] あややあやややトゥーやです。どうもこんばんは。はい、どうもどうもやってきますよ。よろします。今日ちょっと肌寒いんでパーカーなんか来ちゃったりして帰
[00:05:47.680] 何もしないなら帰れよ。コメしないなら帰れよ。嘘です。ロムロムも歓迎も歓迎
[00:05:56.000] パーカーまくりそうでまくり。パーカー袖まくり。うん。中途半端です。中途半端な男。爪が甘いじゃね。ポリが買った。
[00:06:04.160] 買ってない。迷ってる。鳥ガめっちゃ迷ってる。買うか。はい、どうも。はこんばんは。うんちゃんこんばんは。もらこんばんは。え、お、こんばんは。え、にこんばんは。いもこんばんは。え、もらこんばんは。え、さんこんばんは。にこんばんは。えさんこんばんは。え、シドさんこんばんは。え、ハこんばんは。え、のんびさん、こんばんは。えた、こんばんは。
[00:06:29.840] え、ですかね。そんなもんかな。そんなもんかな。なちゃん、こんばんは。え、殺されるとちょっと。
[00:06:39.319] はい。あまさん、こんばんは。え、主人さん、こんばんは。え、
[00:06:44.560] Z
[00:06:44.759] さん、こんばんは。今日すごい集まりがいいな。何なんだお前ら。いつもこうであれよ。いいつもこうであれよ。じんちゃんこんばんは。はい、ということでランディこんばんは。え、ということでね、あのさ、ポリメガリミックス欲しいねっす。
[00:06:57.400] ポリメガニミックス欲しいか?
[00:06:59.520] もっと早くから配信。
[00:07:00.960] あやや。はい。どうもこんばんは。やってきますよ。今日もね。やっていきます。今日もはい。やりますよ。
[00:07:08.440] 勢いで買っちゃいなよ。
[00:07:09.840] 勢いで買っちゃいつも
[00:07:11.520] いや違うんだよ。違うんだよね。あの迷って俺だってさ、なんか全部実機あるしな。たからみんなできた。
[00:07:19.520] しかもの方はどうなんちゃ
[00:07:21.759] ネオ興味ない。
[00:07:22.840] ネオジオのなんか復活するけど興味ないネオジオはあの俺アーケードゲーム興味ないから
[00:07:28.919] ランディさんがサブ興
[00:07:32.120] ヶ月目です。
[00:07:33.120] サブあれランディがサブスクした
[00:07:35.879] で
[00:07:36.520] 珍しい珍しくないかもわかんない。ありがとうつもな。
[00:07:41.280] そう別に持ち運びたいとも思わないしな。うん。確かにな。ということではい。あのやっていきます。よろしくお願いします。はいはい。やるよ。
[00:07:49.400] うスやるよ。サブ岐膚ありがとう。
[00:07:51.440] サブスクありがとうございます。はい、やるよ。やるよ。いいですか?もう今日、今日クリちょっと今日もうマジクリアするムーブで、今日クリアできるかわかんないけどクリアするムーブで行きたいとは思います。よろし。よろしい。間
[00:08:07.080] 違えた。間違えた。
[00:08:09.000] お、
[00:08:10.720] クリアムーブ。
[00:08:11.840] クリアムーブです。
[00:08:12.560] やってましたよ。
[00:08:13.560] やっていくよ。プラさん、こんばんは。うす。おなし。
[00:08:19.199] まず1時間稼ごう。
[00:08:21.280] の木愛楽が見れるか。
[00:08:23.080] もう木しかねえよ、今日は。はい。まず
[00:08:24.960] 1時間。まず1
[00:08:26.159] 時間、あの、稼ぎますから。まず
[00:08:28.479] 1
[00:08:28.639] 時間稼ぎますから。しもきんちゃん、こんばんは。もうこれ絶対稼ぎなんよ。絶対稼ぎなんよな、これ。はい。やりますよ。もう、もうこのルール説明とか、ルール説明とかせんで、もう、もうみんな分かってきたでしょ。もう分かったでしょ。
[00:08:44.240] あと4
[00:08:44.560] でも分かるでしょ。レデポリメガミックスマジで買うかすっげえ悩んでんだよな。
[00:08:54.360] 1
[00:08:54.560] 時間で000貯められるかけべ
[00:08:57.399] 1
[00:08:57.560] 時間で0001時間で1000
[00:08:59.640] 貯められるかけやたまるでしょ。いや、たまると思う。正直
[00:09:03.079] 10分ぐらいで
[00:09:06.839] 配信外で稼いでから始めろって。多分
[00:09:08.920] 10分ぐらいで200ぐらい止めれるから
[00:09:11.120] 買っちゃいましょう。
[00:09:12.440] いや、あのさ、ちゃうねん。あれさ、
[00:09:16.079] 4
[00:09:16.360] 万もするんだよ。んな、おい、それと買えないって。こんな貧乏人には
[00:09:21.360] 4
[00:09:21.640] 万あるんだったら他のゲーム買うわって思っちゃうんだよね。
[00:09:24.480] 4
[00:09:24.760] 万あったら他に欲しいゲーム買うわって思っちゃうだよな。なんか配信でやるゲームあれって結局さ、ゲームは別売りですからって結局ゲーム別売りなんで。あれどこだっけ?稼げるとこ。稼げるとこどこだったっけな。
[00:09:39.519] ルんルんルハマゲドン快適にやりたいじゃろ。
[00:09:43.480] いや、まあ確かに。ま、そうなんだけどさ。ま、そうなんだけどさ。
[00:09:47.160] 4万あったらしゃだ何本?シだ
[00:09:50.959] 40本変えるよ。シャ。
[00:09:54.640] 4万あったら
[00:09:56.839] 4万なんて買えないっすよ。
[00:09:59.880] 4
[00:10:00.160] 万なんて買えないっすわ。ラって稼げるっけ?あれどこだっけ?
[00:10:07.640] 10円稼げる場所。
[00:10:13.720] ここか。ここ5
[00:10:14.640] 円稼げるんだっけ?なんか効率いいとこあったよな。
[00:10:17.959] 10
[00:10:18.200] 円。10
[00:10:19.600] 円。お、ごめん。なんか今こが毎回それ言うんだけど、それ元ネタわかんない。ごめん。
[00:10:25.000] 爪とか髪の毛とか売ってお金。
[00:10:27.079] え、マジで?お前ら買う?俺の爪?俺の爪買う?
[00:10:30.959] クソま。
[00:10:32.440] もう全然モれた。わかんない。俺でもわかんないのがあるんだもん。
[00:10:37.440] いらないかも。
[00:10:38.480] いらないか。あんなんか、あの俺のさ、お風呂入った後のなんかあのお湯とか朝原証みたいな感じで、朝原商候みたいな感じでペットボトル
[00:10:53.639] 7000円で売るよ。500mm7000
[00:10:55.760] 円。
[00:10:56.079] 蜂が買わなかったら誰も買わないよ。
[00:11:00.200] お前が買うんじゃ。買わないの?
[00:11:03.040] 笑。人に積むできるかな?
[00:11:05.399] 買いできるよ。
[00:11:08.000] お米炊くこともできます。お米炊くこともできるとおいさ。今日もえ稼いできますよと。
[00:11:16.320] 私のことなんだと思ってるの?笑茶は切った爪は瓶の中に貯めて長さもに記録してるもん。あれじゃねかよ。だっけそれあれだよな。
[00:11:27.040] 笑笑
[00:11:27.519] あれじゃん。なんだっけ?名前出てこない。えー田太郎じゃなくて誰だっけ?薬蜜みるじゃん。それ
[00:11:35.399] 血液もらってネックレスにするか。
[00:11:37.959] キよ。
[00:11:38.959] キよしかなの?薬もだぜ。薬みつるも。あの自分のみならずなんか番組で共演した人の鼻かんだ、鼻かんだとか持ち帰ってるらしいよ。やばすぎるやろ。あいつなのにあんな偉そうに
[00:11:59.120] きな。
[00:12:00.399] あんな偉そうにあれしやがって。あればな偉そうにあれしやがって。
[00:12:07.680] ここって10円稼げる?あ、ここ稼げるね
[00:12:11.240] 。オッケー。ここで行くわ。ここで行こう
[00:12:13.560] 。ここでまず1000円ぐらい貯めるわ。
[00:12:16.920] まずここで1000円貯めさせてくれ。
[00:12:20.040] いいな。こんなこんな感じで貯めれるん
[00:12:21.920] だったら俺も4万貯めれんだけどな。ここ
[00:12:24.760] で4万貯めるんだけどな。ポーリメが買う
[00:12:26.639] のに。
[00:12:34.000] たださ、うまい貯め方がわかんない。
[00:12:35.839] ここちょっとむずいか?貯めるの?やっぱあそこなのかな?貯めるのってこのさ、リフトの上むずいんだよね。リフトの上むずいよね。
[00:12:44.600] ここむずいな。
[00:12:45.519] ここむずいよね。ちょっとずっとやるにはちょっとむずいよね。何ですか?
[00:12:51.120] ほんま曲いいな。
[00:12:54.040] そうなんだよ。曲めっちゃいいよね。レル。
[00:13:09.920] なんかネオジオのも復活するらしいけどさ、何を集めないといけないとしたら何だったら集めてもいい?
[00:13:16.360] チャマげの何かを集めなきゃ。それ誰に言ってんの?俺に言ってるの?
[00:13:20.040] 俺に言ってる。
[00:13:21.360] あ、そろちゃんこんばんは。そちゃんこんばんは。今日はもうあのもうこのゲームの大体分かりましたんで。妙が妙が
[00:13:31.199] やられボイス集めたいの。
[00:13:34.120] でもなんだかんださっきあの
[00:13:35.839] だろうとかな。指
[00:13:39.079] 怖。あんまり取れないしな。
[00:13:42.360] 1等から10
[00:13:43.079] 本しか取れないぞ。気少部位だぜ。いや、ここで稼ぐのちょっと現実的じゃないね。ここで稼ぐのちょっと現実的じゃねえわ。そう思いませんか、皆さん?ここで稼ぐのは現実的ではない。そんな気がします。
[00:14:00.880] あと
[00:14:01.160] パーカーなんかちょっと熱なってきたな。もうやっぱ喋ると熱くなるよね。
[00:14:04.759] あったよな。
[00:14:05.519] もっといいだ。それね、だいぶ先なんだよ。だいぶ先なんだよね。
[00:14:09.639] 食べたら術師になれるのかな?
[00:14:11.480] もっと簡単とこ騒がそう。もっと簡単なとこ騒がそう。ここやめた。これかけてくのやめた。もっと簡単なとこす。ここクリアしちゃうわ。ま、こいつ簡単なんで。こいつぶっちゃけめっちゃ簡単なんで。
[00:14:27.040] 相ぶ先
[00:14:28.560] だいぶ先。アイブ先。
[00:14:29.639] ジョイマンもいるじゃねえか。ジョイマンもいます。いや、だるい。その動き。いや、だるいな。これ遠く行かれるとだるい
[00:14:44.639] があると発熱した熱が外に逃げなくてこもって熱いらしい。の断熱剤。
[00:14:50.720] そう。いや、待って待って。これあいつ遠くに行かれると、遠くに行かれるとだるい。遠くに行かれるとだるい。
[00:14:57.199] 遠くに行かれるとちょめにいやあ、もうくまる。
[00:15:02.680] ありがとうごと。こいつ見てると村らっけ鬼氷り思い出して腹。
[00:15:07.399] 村鬼氷りってさやるわ。今なし。今のなし。今のなし。クーラーつけよう。あち半袖に着替えてこようかな。ま、あちわな。あちい。
[00:15:22.959] てことでね、うスやってきます。
[00:15:24.839] てことでね。ていうことでね。
[00:15:26.920] 今日はね、うスというゲームをね、シとシクシクとやっていく。
[00:15:33.000] タンクトップは
[00:15:36.279] 77なんす。
[00:15:38.279] これさ、
[00:15:40.639] のお猫さんがご
[00:15:41.800] これ愛取らなくても押せますやん。ありがとう。ありがとう。サブスありがとう。お猫もっとして。もう取っちゃったよ。取っちゃっかく取らなくていいたのに。
[00:15:57.399] あ、みんなもっとサブスクしてな。実際ポ
[00:16:06.440] ティア
[00:16:08.880] サブくれ。
[00:16:11.920] サブ乞食もいるな。いやあ、ポリメがな。ま、あったら楽だろうな。あったら楽だよな。もうゲームせセッティングしなくていいんだもんな。
[00:16:24.319] ゲームな。そう考えたら楽だけど。
[00:16:26.880] サブ垢持ってないからちょっと無理。
[00:16:29.279] 楽だけどさ。
[00:16:31.440] フルズ
[00:16:34.000] 楽だけどさ。でもな、別に頑張れば頑張ればできるしなっていう。今予約開始してんだよね。今日からね。
[00:16:50.440] やってきたじゃない。
[00:16:51.720] サブスクの代わりにサミ味。え、酸味らいらん。いや、美味しかったけど。美味しかったけど。酸味らいらん。美味しかったけどね。ありがとうね。美味しかったけどね。ドんドンドン。このドんドンドン。なんだよな。いいの。
[00:17:16.600] うぽ。こんばんは。ちゃム。
[00:17:17.919] どうも。うぽです。どうも。うぽまだよ。うぽ。
[00:17:21.120] あれ?そういえば痩せた。
[00:17:23.880] なん?なんのタイミングで?
[00:17:26.679] あれ?日本で直媒しないのかな?
[00:17:28.760] いや、してるよ。してる、してる。ワールドなんちゃエクスプレスで。や、直媒じゃないか。ごめん。直媒じゃないね。ま、あれも輸入だけど。代行で、あの、なんつうの、あの、
[00:17:39.520] もう日本語ページ来たの?
[00:17:41.039] 日本語ページじゃなくてな、何て言うの?あれ?あれなんて言うの?サンミーの話かと思った。
[00:17:45.720] サンミ。サンミー日本でしか売ってねえだろ。
[00:17:48.480] あれ?なんて言うんだっけ?あの代理店
[00:17:50.919] みたいのがある。代理店みたいのは昨日さ
[00:17:54.280] 、なんか今日今日の夕方からなんか代理店
[00:17:57.840] であの予約開始したのね、日本のね。で、
[00:18:00.679] 大体4万ちょいなのね。たっかと思ったん
[00:18:02.880] だけどさ、え、これ自分で直入したら
[00:18:05.520] めっちゃ安くなんじゃねと思ってさ、直入
[00:18:08.159] のサイト、普通のポリメガの公式サイト見
[00:18:10.080] てさ、見たらさ、値段3万ちょいで、え、
[00:18:12.039] めっちゃ安いじゃんと思ったら送料で2万
[00:18:14.200] 取られてた。
[00:18:17.080] で2万かかってたわ。2万6000ぐらい
[00:18:19.320] かった。送量で。
[00:18:21.600] いや、どんな、どんなやねん、それ。
[00:18:30.840] よ、あの、普通に代理店で買った方が安い
[00:18:32.840] わ。多分数で数たくさん用意してるから
[00:18:35.600] 安いんだろうな。多分な。
[00:18:38.280] やっぱ向こうから届けてもらうの高いんや
[00:18:40.880] な。うん。そうだね。多分個人であるとね
[00:18:42.440] 、ホルムズが今あれだもんね。
[00:18:44.559] ホルムズ海峡ね。今サーチャージだよ。
[00:18:47.120] 飛んでそう。
[00:18:47.760] うん。やばいと思うよ。ま、多分ホルムズ通らないと思うけどね。ポリメガは今やばいもんね。マジでシンナーとか全然買えないって言ってるもんね。ま、シナーなんか買わないけどさ。ま、なんかさ、仕事でさ、会社でさ、そういうの使うとこがあんだよ。
[00:19:08.919] 今できないらしいぞ。ナ
[00:19:11.960] 板金できない。あの、シナーがあのないからね。
[00:19:15.000] あのと塗料が作れないんだよ、今。うちはさ、そんな関係ないけど。塗
[00:19:22.039] 料75%
[00:19:23.480] 値ありまし。しんなき皿。今日飲んでるお酒はの月の月光という日本酒を飲んでます。
[00:19:29.880] んですか?
[00:19:30.480] フルーティーな香りで飲みやすくてうまし。チまくの油で食べればいいのにね。こ
[00:19:36.919] 接着剤もしナウだし。塗装用の勇気要剤ね。
[00:19:41.000] うん。そうそうそうそうそう。
[00:19:43.880] めちゃめちゃ値上がりしてる。ほ、75%
[00:19:45.799] アップで。
[00:19:46.159] も、酒飲まないか。
[00:19:47.200] 俺酒飲まないんだよ。酒飲まないんだよ。でも酒飲まないけど、おつまみ大好き。酒飲まないけど、おつまみ大好きだからさ、あの居酒屋大好きなんだよね。
[00:19:55.880] 事故りたくないけどぶつかってきたらうつになるわ。
[00:20:00.039] やべ、ちょっとこいつらマジでゴミすぎ。
[00:20:04.240] ゴミすぎだから
[00:20:07.960] チーズおかきがうますぎる。
[00:20:11.000] チーズかきうまいす。
[00:20:12.000] うまいよね。チーズパスで
[00:20:13.360] ちゃまくは一生コーラ飲んでればいい。
[00:20:16.320] 言うて最近コーラも飲んでませんかな?ませんけどな。もうむかつく。なんかこれ操作
[00:20:25.159] コーラ飲んでて欲しい。
[00:20:27.520] ここだな。
[00:20:28.679] お願い。
[00:20:30.559] スプライトが美味しい。
[00:20:31.880] そんなそんなお願いされるほど。もうスプライトうまいよね。スプライトのが好きよ。でも
[00:20:39.240] こっち来いよ。
[00:20:40.440] ここかな?何が何?こっち来いよって。こっち来いよって何?行かない。やだよ。
[00:20:50.039] のペは
[00:20:51.600] のペまだ飲んでない。逆張りだから。俺逆張りの男だから。
[00:20:55.400] てほしい。
[00:20:56.200] あんなにあんなに流行ってるのにまだ飲んでない。
[00:21:01.640] 美味しくなかったよ。
[00:21:02.840] あ、本当美味しくないの?あれ?
[00:21:03.840] 感むずい。
[00:21:05.400] 操作感むずいね。てかね。
[00:21:07.720] ま、このコントローラーのあれもあるんだけど、
[00:21:10.360] 多分茶まげ嫌いだと思う。あれ?あ、本当?俺毒ペ嫌いなんだよ。
[00:21:14.640] あ、俺ドペ嫌いなんだよ。俺ドペ嫌いな。ごめんな。
[00:21:17.400] 酒はマじいやつ飲まないんよな。
[00:21:19.440] 毒ペ嫌い。
[00:21:21.000] 炭酸きつめかった。
[00:21:22.640] あ、炭酸きついんだ。炭酸きついのは好きだな。デカビタとか好きだよ。デカビタ。さ、ここで
[00:21:34.480] 1時間だよ。みんな
[00:21:35.480] カロリーの味した。
[00:21:37.000] デカビタよりきついよ。
[00:21:38.600] 嘘で混ぜればいいよ。どもケミカルにした味したの
[00:21:45.039] 海外のあい雨をした感じです。
[00:21:47.760] へえ。なんかあれカロリーやばいらしいよね。び
[00:21:50.120] たるカビタ
[00:21:53.480] 何がデカビタ?何がデカビタでしょ?何だ?おかしくねえだろ?デカビタ。
[00:22:03.520] え
[00:22:04.159] え。
[00:22:08.200] 精水品と同じ発音水あんだノープうまいのあれま
[00:22:18.000] ペの方がシュゲの記憶ある分好きナと同じ発音かじゃろ
[00:22:25.679] で1
[00:22:26.400] 回の1満足
[00:22:28.240] でカビタか何でカデカビタ
[00:22:32.720] デカビ
[00:22:36.120] カラビナ。あ、カラビナね。あ、なるほどね。え、精水。精水。精水。栃木のやっぱ栃木のやっぱさ、
[00:22:47.679] ドデカミンね。ドデカミンはドデカミンだろ。
[00:22:49.720] 茶げのイントネーション。
[00:22:51.640] 俺のイントネーションおかしいよ。精水のことも精水って言うしね。ああ、いいよ。こんなこと話してたらもう
[00:22:59.120] 450だよ。
[00:23:01.480] あ、これ割とすぐ割とこれマジでここでさ
[00:23:04.279] 、本当にマジでここでマジで本当にここで
[00:23:09.520] ガツガ試してい
[00:23:11.880] マジで
[00:23:15.159] ただもっとなんかもっと無傷でできるとこ
[00:23:17.440] ねえからなんかこれたまに失敗するんだよ
[00:23:20.080] な。たまに失敗するんだよね、これ。ここ
[00:23:24.159] で4万貯めよう。4万?4万もねえよ、桁
[00:23:27.480] が。ま、でもここで4万貯めてポリメカ
[00:23:30.400] 買いに行きたいだけどね。
[00:23:40.440] あ、ほらね、こうなるねん。たまにこれで
[00:23:43.279] 10円損してんだからな。これでこの往復
[00:23:45.880] 1回分損してんだよ。
[00:23:48.600] そうする。そう考えるとちょっとな。
[00:23:56.960] これはね、やらなきゃ多分ダメなんだよ。
[00:23:59.279] そんとか得じゃないでしょ。
[00:24:00.799] そうだよね。損とか得じゃない。やることに意味がある。
[00:24:03.039] ちゃまげいろんなゲームやってると思うけど、ワースト
[00:24:05.880] 1くらいのクソゲ教えてや。
[00:24:07.799] うわ、むずいなあ。あのね、マげの時折り出る情な声です。
[00:24:17.720] 女の子に言われたかったかもな。それ
[00:24:20.240] リスナーと喧嘩したやつ。
[00:24:22.159] リスナーと喧嘩したやつはえっと
[00:24:25.520] なんだっけ?え、あれな。え、コスモ
[00:24:28.520] ギャングザビデオね。
[00:24:31.880] ま、あれはほんまリクエストでやったけど
[00:24:33.799] 思んなすぎて思んないっていう思んねえな
[00:24:36.360] と思ってやったらリクエストした人怒っ
[00:24:38.320] ちゃってさ。
[00:24:42.320] 誰だっけ?笑笑
[00:24:44.679] あれだっけなっけ見ない
[00:24:47.320] な、人ね。
[00:24:49.600] なんて人だっけ?
[00:24:50.760] 笑笑
[00:24:51.679] 忘れちゃったな。何て人だっけ?忘れちゃったってのもひどいけど、もうここ
[00:24:56.120] 12年見てないもんだって。
[00:24:59.360] クーロじゃなかったのか。
[00:25:01.159] いやね、クーロじゃあのね、みんな分かってないんだよ。あのね、その質問の質問がまずあれなんだけど、
[00:25:07.679] は抜き抜きせぬもの言いするから。
[00:25:09.960] あのね、あれなんだよね。レトロゲーマーにとって本当にきついのってクソゲーじゃないんだよね。
[00:25:16.320] クソゲーってのはね、レトロゲーマーに
[00:25:18.799] とってはね、いいことなの。配信でクソ
[00:25:21.720] ゲーをやるるっていうのはもうそれだけ
[00:25:24.000] ネタになるやん。なんやねん、このゲーム
[00:25:25.880] クソゲーて言えるやん。本当に無みのなん
[00:25:29.919] 、何にも言えないやつが1番きついんだよ
[00:25:31.720] ね。
[00:25:33.720] クソゲー
[00:25:36.600] そう何の無臭の
[00:25:39.480] 確かに笑
[00:25:40.799] そうだよ。クソゲーはね、めっちゃ
[00:25:42.640] おもろいんだよ結局。
[00:25:46.039] だから俺よく言うじゃん。あの今までやったゲームであのなんだっけ?あの
[00:25:51.000] Tイch
[00:25:51.320] のさしあのオラナツオラ夏めっちゃきついてなかったのは
[00:25:55.880] オラナツめっちゃきついわって言ったけどあんなん全然きつくねえからな。それがだってネタになるじゃん。こうやってあの後
[00:26:01.640] ランパートのことか。
[00:26:03.120] ランパートはおもろかったやろ。ランパートはもうあれおもろいやね。
[00:26:07.840] そうなんだよ。あのねんその
[00:26:10.039] 良かった
[00:26:10.760] ランあのだってさ、ランパートは見てるみんなおもろかったでしょ。自分でもなんだけど。
[00:26:14.720] ああでかい声出してさ、あ、ま、クリア
[00:26:17.399] までやんなかったけど本当に見てる方も
[00:26:20.600] なんやねんこれ。だしジャブなんか最高
[00:26:23.440] だら。そやって擦すれるんだから。これる
[00:26:26.039] んだから。こうやって今話題にも上がって
[00:26:28.559] ないやつだよ本当にやばいのは。卵っちも
[00:26:31.559] だからっちも言ってるけど言ってるけど
[00:26:34.720] ええよ。ええよ全然。だからあんな
[00:26:36.760] もんできるわけないだろうていうノりに
[00:26:39.039] なるじゃん。
[00:26:41.799] みんなの
[00:26:43.120] 記憶に残ってる。そういうのはロマサガも良かったよ。
[00:26:46.360] ロマサがま、ロマサガはだいぶだいぶロマサガはあの本当無み無必だけどね。だいぶ筆トだけどごめん。それはごめん。それはごめん。ロマサはロマロマはごめんな
[00:26:58.399] んで
[00:26:58.960] あね。
[00:27:00.120] やだ。そういうのがそういうのが来るだろうね。いや、クソじゃないけどね。妖定はクソじゃないけどね。
[00:27:10.440] 全然クソじゃないけどね。あ、エザ俺がやりたくてやったし。うん。あの、超能力のやつね。あの、なんだっけ?
[00:27:17.600] 太陽。
[00:27:18.200] あの、超能力のやつ何だっけ?あれ名前忘れちゃった。えー、な、何だっけ?あれファミコンのやつ。超能力の名前したな。あの、ナム子のやつ。あれも全然おもろいよ。あれはそうやって面白くやれるゲームじゃん。
[00:27:38.320] これは
[00:27:39.399] 星を見る人だっけ?
[00:27:40.559] 違う。星を見る人じゃない。星を見る人じゃない。なんだっけな。あれなんて言うんだっけ?あのエスパのやつ。マインドシーね。あんなめっちゃおもろいだろ。あんなめっちゃおもろいだろ。そのゲームの内容云ぬんじゃなくて
[00:27:52.559] められたゲームは?
[00:27:54.240] 私らに慰められたゲーム。なんだそれ?なんだっけそれ?
[00:27:57.880] シルバーサーファー。
[00:27:59.360] いや、シルバーサーファーも全然おもろいっすよ。
[00:28:01.880] なんだっけ?慰めるをさ、慰めるをそういうエロい言葉だと思ってる人もなんかエロ書きって感じ。あ、
[00:28:13.519] 1000円溜まった。いいよ。
[00:28:15.760] 1000円溜まりましたよ。
[00:28:16.840] 上級者もいますと。
[00:28:18.200] 上級者いるな。ん
[00:28:20.039] だおら。ガキじゃないよ。おじさんだよ。ロックマン。
[00:28:25.360] おじさんか。え?ロックマン。別にロックマンそんな悪くなかった。
[00:28:29.960] いや、めてほしい。
[00:28:31.000] アを見事幸運マックスちゃま。
[00:28:33.799] いや、そんなボコスかなんか全然クソゲーじゃないよ。いや、クソゲーかもしれないけど、そのこの、この配信に、あの、この質問においてクソゲーは答えにならない。ボコスカは確かにクソゲーかもしんないけど、おもろい配信になるじゃん。
[00:28:48.880] ボコスカなんてこの配信におけるゲだろ。
[00:28:51.760] あの、配信してて思んないっていうのかな?面白い配信にならないっていうのが俺ん中できついゲームなんだよね。
[00:28:58.440] ゲームが面白かったとしても面白い配信にならないのがしんどい。なんだろうなあ。
[00:29:07.279] ダビスタ近ネジか。
[00:29:09.640] ああ、まあね。いや、金神神ゲでしょ。金。え、なんだろう。だから記憶に残ってねえんだよな。そうそうそう。記憶に残ってねえんだよな。あ、フールアウト。だいぶやばかった。フールアウトだかったね。
[00:29:26.720] の配信フを提供し
[00:29:29.559] あれは世間一般でええば神ゲーなんすよ。分かる?俺も神ゲーだと思うんだけどあれはちょっと終わうん。ちょっとだいぶ終わってたねあれね。うん。ま、ちゃまさんの配信は何?いつも幸せな時間を提供してくれるけどな。いいね。のみさんって結構あれだよね。あの
[00:29:49.120] フールアウト悲しい。
[00:29:50.519] いや、そうごめんだ。そうだよね。ごめんね。こういう言葉も起きるからさ。
[00:29:56.080] こういうことも起きるから。そうだよね。いや、わかるよ。ダ
[00:29:59.919] ブ
[00:30:00.200] 分かるわかる。でもなんかあれ合わなかったんだよな。
[00:30:03.559] お前間違えたぞ。今
[00:30:05.159] 何が
[00:30:05.559] 協定も悲しいよ。
[00:30:06.960] ごめんて。ごめんて。プランさん。あ、フラン。俺
[00:30:12.679] かせた。ちゃまさん泣かせた。
[00:30:14.880] ごめん。ごめん。間違えた。プランさんだ。プランさん。優しいコメントくれるんだよな。名前間違えたけど。じゃ、
[00:30:21.080] 名前違えたけど。
[00:30:22.039] が悲しくないよ。
[00:30:23.080] 違うんだよ。でもこれ。
[00:30:23.960] あれな、あのこれ、あのね、みんなにはわかんないと思うけどね、あのプランさんとかさ、このこのコメント欄の色あるじゃん。見えないんだよね。パッとやめていいんだよ。色変えなくていいんだけど。俺の配信の枠が悪いんだけど。パ見えないんだよ。笑
[00:30:41.480] 笑。難してい
[00:30:47.559] かな。うん。ロマがもだぶダめだったも。あ、結構金まってきたよ。
[00:30:55.320] 笑笑。
[00:30:56.120] 結構金溜まってきてい。
[00:30:57.519] 特有のダークモードロマサガじゃなくてグーニーズ。
[00:31:01.320] あ、グーニーズ良かったでしょ。全然グーニーズちゃんとクリアしたじゃん。俺グーニーズ良かったよ。ま、もう
[00:31:06.519] 1
[00:31:06.600] 回やるかって言われたらやんないけど。やべだからこれ
[00:31:12.519] チま君には簡単すぎた。
[00:31:14.320] 簡単だね、あれね。うん。簡単。
[00:31:17.559] BGM良かったけどな。ねねね枠
[00:31:32.399] あの陸枠は陸枠がなんであんまり乗らないかって言うと
[00:31:36.840] やっぱり俺のリビさんこんばんは俺の配信上やっぱ僕ハニキせぬいったのいいも言いしちゃうじゃないですかも言いしちゃうじゃないですか。
[00:31:45.960] じゃあ次はロケットアリクエストだ思い出補正でリクエストされた方に申し訳ないなっと思っちゃうんだよね。うん。だまああ、もうそれがまさにあの
[00:31:58.279] 握り陸
