[00:00:36.280] うい。お疲れ
[00:07:06.319] ました。も楽しかったすな。いいイベント
[00:07:08.400] でした。本当にあの見てくださったから
[00:07:10.479] ありございました。ということで今日から
[00:07:12.039] ま普通にまた戻りますけども今日から
[00:07:14.520] はいやきます。はい。MSXエルギーザの
[00:07:17.240] 封印やってきます。
[00:07:19.879] あの、もうなんか今日何やろうかすっげえ
[00:07:22.039] 考えてたんだけど、もうなんか途中から
[00:07:23.479] 考えのめんどくさくなってもういいや。
[00:07:25.000] もういいや。Lギーザやろと思って途中で
[00:07:27.520] 考えのやめました。で、あとすいません、
[00:07:29.240] ちょ、遅くなっちゃったね、配信始まんの
[00:07:30.759] 。まあまあまあ、ちょっとサクっとやって
[00:07:33.360] サクっと寝ますわ。今日はちょっとあのお
[00:07:35.479] 試し、お試しないけどパパッとやって寝
[00:07:39.240] ましょうかね。ということでやってきます
[00:07:41.599] 。よろしくお願いします。
[00:07:44.680] 朝
[00:07:46.319] 朝ま、ガツ売りだけ。ガツりやるけどな。
[00:07:49.440] ガツ売りちょっと最初から見たいや。最初から見させてくれ。
[00:07:53.319] サとか6時間くらいか。
[00:07:55.199] ないないないない。今日12時で終わり。
[00:07:57.919] 1時間あと1時間。あと1
[00:08:00.560] 時間半しかないけど。じゃ、明日も早いんだよ。明日も早。もう忙しくて最近。めちゃんもお疲れちゃん。元気だよ。元気?元気。エルギーザの封印やってく。やっていく。音ちっちゃくない?大丈夫?音ちっちゃいか?
[00:08:16.159] 本と痩せてきたね。
[00:08:17.520] 嘘。マジで嬉しい。
[00:08:19.199] こんばんはみごちゃまさん。
[00:08:20.479] トとお疲れちゃん。ちょっと音大きくすっか。もうちょっと。
[00:08:22.879] 紹介の顔細い。
[00:08:24.440] 88年。
[00:08:25.440] ゲーム紹介の顔細い。
[00:08:27.199] 88年。俺が生まれる8
[00:08:29.199] 年前。音ちょっと大きめにするね。
[00:08:32.240] そろそろ婚活も始まるだろうし。
[00:08:36.399] 婚活そろそろ婚活始まるかな。ま、そういう時期でもあるのかもしれないな。
[00:08:42.080] ごめん。気のせいだった。
[00:08:43.159] 気のせいか、今回。そっか。気のせいか。
[00:08:47.839] やっていくよ。もうどんなゲームかもうみんな知ってるでしょ。どんなゲームか。チャンディじゃん。チャンディじゃん。え、お疲れ。こないだありがとね。
[00:09:03.360] こないだありがとね。フォロー返してくれて。
[00:09:06.079] 配信初めてからフォローするの挨拶だけに来ました。仕事に行ってきます。
[00:09:13.040] あ、ね、み、新しいお友達、
[00:09:15.680] 新しいお友達だよ。新しい友達だよ。あ、もう間違えた。ちょっと待って。ド
[00:09:19.880] から失礼しまし。もう1回。
[00:09:21.959] あ、初ちゃった。ありがとうございます。カッシーゲームさん、どうも。初ちゃっ。どうもこんばんは。
[00:09:26.000] レイドから失礼します。
[00:09:27.680] どうもこんばんは。皆さんありがとうございます。こないだね、あの運動会でご一緒させてもらいました。チャンディさんとね、あのご一緒させていただきました。これ配信中言えなかったんだけど俺チャンディのことはもう
[00:09:38.959] 1
[00:09:39.120] 年以上前からフォローしてた。フォローありがとうね。フォローありがとうね。
[00:09:42.560] Twitterフォローしてて、
[00:09:44.360] Twitterフォローしててで、結集会
[00:09:46.240] の時に、ま、初めましてだったんだけど、
[00:09:48.600] なんかニヤニヤしながら、俺ちゃまさんの
[00:09:51.000] こと知ってるんすよとか言ってきて、何か
[00:09:53.760] なと思ったら俺のTwitterずっと
[00:09:56.440] フォローしてなくて、
[00:10:00.880] それをなんかしげに
[00:10:04.399] フォローフォロフォローバック
[00:10:05.920] するボタンが出て
[00:10:10.399] エボ
[00:10:11.000] でもこんな
[00:10:11.519] 何も知らない人のことフォローできないんでとかつって俺もお返しにあの
[00:10:16.760] Disccord
[00:10:17.200] フォローしてなかったけどね。ペりお疲れちゃんということで、え、レドから来てくださった方ありがとうございます。えっとね、僕はですね、あのレトロゲーマーフォローされたの返すのディ
[00:10:32.399] 14反射ディ14反射
[00:10:35.200] チャンディマジそのスタンプ怖え。いや、チャンディマジ怖いんだよな。なんかその顔するんだよね。
[00:10:41.600] チャンディ14反射。チャンディ14
[00:10:44.240] 反射。その顔するよな。たまにマジで
[00:10:47.000] 怖いから。14。
[00:10:49.279] こいもさ、チャンディ
[00:10:51.839] 14反射反射マジか。
[00:10:54.040] いや、こな間だもなんかさ、あの、なんだ
[00:10:56.560] 、あの、あ、本番、本番っていうか、その
[00:11:02.000] 運動会のさ、あの、配信の後にさ、あの、
[00:11:04.880] 打ち上げ行くのつって喫煙所でさ、え、
[00:11:07.880] チャンディ打ち上げのさっきまでなんかさ
[00:11:09.880] 、あの、あはとか言って笑ったのにさ、
[00:11:12.600] チャンディャンディ打ち上げ行くのは行か
[00:11:14.560] ないの?て、その顔で言われたからね。
[00:11:17.079] いや、怖。ちょっと聞いただけじゃん。
[00:11:19.959] 俺別に行かないなんて言ってない。
[00:11:21.720] してたよ。
[00:11:23.040] 俺別に行かないとも言ってないし。
[00:11:25.000] 漏らすわ。
[00:11:26.200] 怖いって。
[00:11:26.959] チャンディ14反射は行かないよ。
[00:11:31.040] いや、行かないよじゃなくて行かないのって言われた。行かないなんて人一言見てないけど。
[00:11:35.839] 行かない前提での質問とか。いや、行かない前提じゃないじゃん。行くかどうか聞いただけじゃん。怖いって。怖いよ。たまにその顔出すからな。
[00:11:51.120] ま、ということでね、あの、新しいお友達も増えまして、新しいお友達も増えましてスターみたいになってた。
[00:11:59.200] マジで?うん。正面も漏らしかと思ったわ。ま、でもおもろかったっすわな。おもろかったっすわな。あれ、これどうどうすんだっけ?こっちか?あれ?ちゃう。こっちや。
[00:12:13.160] しいゲームばするしね。
[00:12:14.720] してないしね。別に別にしてないじゃん。
[00:12:18.279] レトロゲームが好きだよって言ってるだけで
[00:12:22.360] マジか
[00:12:23.199] してないじゃん。ということで今日やってるゲームはね、あの
[00:12:26.440] MSXのエルギーザの封印という
[00:12:30.240] 1988
[00:12:31.279] 年に出たゲームやってます。ここまでは行けるんよな。ここまでは簡単に行けるんだよ。
[00:12:40.240] ステアムはありてたもんね。
[00:12:43.880] 言ってないよ、そんなこと言ってないよ。
[00:12:49.079] ありえないとは言ってない。ただなんかまあ、ま、あんまりあんまりやらないかなっていう。あんまりやらないかなとは言った。ちょっと俺マジ考よく考えていかねえとな。
[00:13:03.079] ステアムこやろ。
[00:13:04.199] あさ
[00:13:07.000] 1988年かマイナ8歳。
[00:13:09.800] マイナス8歳だな。マ-ナ8歳。
[00:13:14.360] ギザエルス来た。
[00:13:16.040] ギザエルスエルギーザなちょっと違う。
[00:13:18.720] でポコアやってるくせに配信はレトロゲー好きアピしてるんだね。へ
[00:13:24.760] バレてんだ。俺が裏でちょこそこそポコアポコアポケモンやってんのと間。ここは開けなあかんよな。いや、まずいって。まずいって。まずいってね。これどうすんの?これうまいうまいうまい。よしよしよ。こういうこともできますと。
[00:13:43.360] ゲームなんだ。
[00:13:44.199] ビジネスじゃないだろうが。ビジネスじゃねえよ。で、
[00:13:48.279] うるせえな。うるせえ。えー、ちょっと待って。えー、こっちか。えー、こっちだな。
[00:13:58.600] こんばんは、エルギーザ。
[00:14:00.120] あし、しこまさん、こんばんは。エルギーザやってるよ。エルギーやってるよ。これ、こっち開くんか?
[00:14:04.560] 認めたよ。俺はブランディング失敗した。
[00:14:08.839] え、頑張る太郎ってそんなこと言ってたの?え、レトロゲー好きのブランディング失敗したって言ってたの?嘘だろ?あれブランディングだったのかよ。とだと思ってたのにあれはブランディングだったんだ。いや、待って。これむずくね。
[00:14:24.639] 見せかけ。
[00:14:25.560] ちょっと待って。ちょっと待って。これむずくねえか?ちょ、これだと積むから。
[00:14:32.639] ちょっと待って。いや、うますぎ。
[00:14:36.560] 橋元も
[00:14:37.800] いやいや、橋元はそんなことないよ。
[00:14:43.720] コントローラー米メ粒ぶくらい小さいね。
[00:14:48.079] コントローラーこれだからね。ジョイカードだから。コントローラーでもない。カードだから。ああ、ちょっと待つい。え、ここめっちゃむずくねえか?ここめっちゃむずくない?か熱。
[00:15:07.560] また最初からかよ。ゲーム見てなかった。
[00:15:15.000] ゲーム見とけや。ま、ここまではちょっと前回やってるからな。前回っていうか
[00:15:19.839] がでかいんだったか。そっか。
[00:15:29.600] いいですね。でもやっぱいいね。こういう風にあのあれですわな。
[00:15:34.120] あの、
[00:15:37.199] これどうやっとんだ?あ、これ穴開けちゃ
[00:15:39.319] ばいいんか?ここ
[00:15:41.959] 新しい配信者友達ができない。いいですか
[00:15:43.920] ?あなえ色薄い?そんなことないっしょ。
[00:15:47.440] そんなことないっしょ。
[00:15:53.880] 気のせいか気のせ、わかんない。どう
[00:15:55.959] だろう。前回と違うかもしれ。ちょっと
[00:16:00.440] 違うかもしんない。設定がもしかしたら
[00:16:09.000] なんか色合い違う。
[00:16:10.319] 嘘。なんでそんな敏感なの?おめえらなんで今日敏感なの?そんなもっとどき使ったっけ?こいつがやばいんだよ。むぜえんだよな。
[00:16:24.680] 1匹な。
[00:16:25.480] おやっとるね。
[00:16:26.560] お、お疲れ。にお疲れ。やってるよ。
[00:16:28.560] もっとサイドあったよ。
[00:16:29.600] もっとサイドあった。
[00:16:33.519] ここはでも行かないといけないでしょ。あのゾンビがどっから来るかなんだよ。ああ。おい、それはないだろ
[00:16:45.519] わ。めっちゃ紫。
[00:16:47.240] 嘘、そんな紫。
[00:16:48.800] うるさ。
[00:16:51.680] ちょ、お疲れちゃん。長、お疲れ。
[00:16:58.560] 左から来るよ。
[00:17:00.319] わか、それ分かっちゃうの?タイミング分かんなかったんだよ。ここ開けて。
[00:17:07.360] うるさくない?ちアげは本当にちアげ
[00:17:09.959] そうなんだよな。そう、そう、そう。それは本当にお前らが求めてる。いや、違うな。いや、違うな。
[00:17:22.679] 確かに
[00:17:25.280] なんかあそこ1回通ったらさ、あそこ
[00:17:27.919] 1
[00:17:28.079] 回通ったらさ、ダメになっちゃうじゃん。だるいな。
[00:17:32.559] はちアげではない。
[00:17:34.080] いや、待ってこれ待って。ここめっちゃむずくねえか?ここ超えられた自信あれ
[00:17:41.840] 1回もないんだけど超えられたこと。
[00:17:47.640] てかまた最初からかい。こなみだと思った。
[00:17:55.120] コなミなんすよ。やっぱりこなみなんすよな。番
[00:17:58.400] のはずなのに影で声高すぎて追い出されるぐらいじゃないとね
[00:18:03.880] え。あ、薬加減できな話な。
[00:18:08.520] みか
[00:18:10.039] ほみか。
[00:18:22.120] よし。いや、これさ、
[00:18:24.520] とっぴなちゃんD
[00:18:25.799] パズルする素晴らしい戦や。
[00:18:27.600] 何何何何何音日本でな
[00:18:33.080] んだ何何何えぐいえぐいえぐいえぐいとピなチャンディシラパズル素晴らしい遺伝なヒットラーこれ逆から読んでも
[00:18:42.280] た
[00:18:42.679] これあの海分になってるらしいっす
[00:18:45.640] え
[00:18:46.080] 本当に海分になってるってよなってるそれ
[00:18:54.080] 怖い
[00:18:57.520] 怖いよ。うん。怖い。行きすぎてる。
[00:19:02.520] 本当だ。
[00:19:03.919] やばすぎだろ。
[00:19:04.679] 分だろ。霊のダ音分
[00:19:09.080] 出た出た出た。なんかそのレギュレーションみたいなやつ。なんかそのレギュレギュレーションみたいなやつたまに出る。いドさんこんばんは。ドさんこんばんは。やってるよ。今日からまた
[00:19:22.039] ランクかなんかに登録した方がいい。
[00:19:32.200] この才能なくすわけにいかない。
[00:19:35.240] よしよし。いや、マジですげえよな、その海分を作る能力。よし。
[00:19:53.960] 知らないタイトル。
[00:19:55.280] よし、ここなんだよ。Z
[00:19:56.799] マお疲れ。エルギーザの封印やっていく。これさ、パスワード覚えといばいいんじゃねえの?パスワード覚えとけばいいんじゃね?そしたらさ、ま、ま、ここだったらまだいいけど別に
[00:20:14.080] 自分で買作るようになったらよりすごさが分かるんやろうな。
[00:20:19.679] これがマジ難しいんだ。ここが
[00:20:24.240] これどういう話なん?
[00:20:26.200] 話とかない。話とかないから。ただなんかこのなんか弾を
[00:20:35.880] 弾を集めて真ん中の扉に行くというゲームなんだよ。ただそれだけ。ただそれだけなんだけど、それがめっちゃむずいんや。それがめちゃくちゃむずいんや。
[00:20:51.960] この黄色いバカが来ちゃうからさ。早くしないと。
[00:20:57.600] ゴールには何があるの?大悲。ロードランナー的な。
[00:21:01.760] ロードランナー的な感じだと思う。うん。
[00:21:03.320] の出てきそう。
[00:21:06.120] ふ、うまい。いやあ、これだ。ちょっとむずいんですけど。
[00:21:18.679] 超えれはするんだ。
[00:21:20.679] 超えればする。ま、めっちゃギリギリだけどね。めっちゃギリギリだけどな。ま、でもここは行かなきゃなんねえよな。
[00:21:36.720] さも難しいことをやっているような。
[00:21:38.919] いや、難しいんだって。
[00:21:42.159] 失礼な。やってます。
[00:21:44.320] 黄色のやつはしご後の移動早すぎ。
[00:21:46.320] 本当だな。このツハだと自分の
[00:21:50.120] 1
[00:21:50.279] 個下のマスを壊せてで、これドリルだと横のマスを壊せるんよ。だ、それを有効的にえ、
[00:21:56.760] 1個で使いき、あの、1個でつき1
[00:21:59.080] マスしかいや、石わか。おい、早す。おい、おい、おい、おい。早いなあ。
[00:22:13.960] 早ないか、あいつ。一旦ここでぶっ殺しておかなきゃダめかもしれない。
[00:22:21.520] 遅いよりいいじゃん。
[00:22:23.720] いやいやいや。あ、やべ。あ、これだ。
[00:22:25.400] に閉じ込めたい。
[00:22:27.400] わかる。川さんは現在
[00:22:30.640] 10連続弱。
[00:22:33.159] 弱。10連続視聴とか弱。
[00:22:38.960] すっごい弱すぎだろ。今もこ
[00:22:42.279] 70連続だぞ。今日
[00:22:47.720] 15時でよく吐き出せるな。
[00:22:49.640] 本当だよな。
[00:22:50.320] 笑笑。
[00:22:51.080] あ、こいつだ。
[00:22:53.000] えぐ
[00:22:53.400] チャ、こんばんは。
[00:22:55.320] 70連続だぞ。
[00:23:07.679] 早くしないとやが来るぞ。
[00:23:11.320] 配信復帰してからもう
[00:23:12.919] 70回。
[00:23:14.360] そうだね。そんだけやってんだね。
[00:23:16.080] 連続ドヤしようと思ったらバカにしちゃった。
[00:23:21.080] 奴が来そう。やが来るぞ。怖くて。は。よし。オ。
[00:23:31.760] うっま。
[00:23:34.000] どこからあいつが来るかわかんねえぞ。で、
[00:23:35.360] 飛び越えるのやめてね。
[00:23:37.080] なんでだよ。なんでだよ。いや、ちょっと待って待て待て待て待て。これさ、
[00:23:44.799] 上から来るぞ。気をつけろ。笑。
[00:23:47.720] 上から来るぞ。気をつけろ。
[00:23:53.480] こっち来い。
[00:24:02.600] ふと打ちドン。よしよしよしよしよしよしよし。こうね。あと
[00:24:08.720] 1個。あと1
[00:24:10.440] 個でござんすよ。あ、来るな来るな来るぞ。
[00:24:16.120] これはもう勝ったな。
[00:24:18.240] あ、こじゃん。よしよしよし。これブーメラン良きぞ。
[00:24:32.840] この主人公地球守るために惑星レムールのピラミッドに潜ってるらしいぞ。
[00:24:38.919] そうなんだ。知らなかった。あ、そういう設定があるんや。
[00:24:42.720] やっぱブーメランなんだよな。
[00:24:45.600] やっぱブーメランなんだよな。ほい。よしよしよし。イエスイエスイエス。いいじゃん。
[00:24:54.080] これどうやって開くねん、ここ?あ、来
[00:24:57.039] そうだな。やつが来るか?一旦待つわ。
[00:24:59.679] なんか怖いから。あ、来た。
[00:25:08.919] で、最後はこれと
[00:25:13.880] あれ
[00:25:16.320] 早く行け。あれ?
[00:25:20.039] あれ?ちょっと待って。
[00:25:20.679] 積んでない。あれ?これ積んで。あれ?あれ?これ積んでない?あ、積んでるな。
[00:25:29.840] あ、
[00:25:31.880] え、いや、ダめや、これ。え、
[00:25:38.480] なんだよそれ。積んでますやんね。
[00:25:49.640] あの、
[00:25:50.480] ダブル
[00:25:51.120] あの、これね、あの、物持ってる時は、あ、ジャンプできないのよ。物持ってる時はジャンプできねえんだよ。えー、むずないか、それ?マジか。またさ、ちょっと待って。また最初から
[00:26:07.080] 分かってるならなぜそれをしたの?
[00:26:09.080] だから忘れてたというかさ、そのあの状況になるまではわかんなかったじゃん。あの状況になるまではわかんなかった。
[00:26:16.279] また最初からや。
[00:26:20.240] あ、ちょ待って。もうだ、これ意外と簡単
[00:26:24.000] に積むからな、これ。意外と簡単に積む
[00:26:26.440] からね。皆さんも皆さんも一緒に考えて
[00:26:28.679] ください。
[00:26:36.840] なんかその間だ運動会さん
[00:26:40.919] 教育番組
[00:26:42.799] そうだよ。考えるのはちゃまくの
[00:26:45.000] ちゃう。みんなで、みんなでクリアしようねって言ったじゃん。みんなでクリアしようねって言ったよね。なんかあの久しぶりにあんなたくさん女はさわない。
[00:26:57.799] あのごめんなさいから。
[00:27:02.480] さらないは女の仕事ってか
[00:27:13.360] 米たきあし
[00:27:18.120] いやいいよで今日の夜ご飯今日の夜ご飯あれだよ今日の夜ご飯カレーでいいよにカレーでいいよ簡単にちょっと作っちゃって全然いいからカレーでうんこカ
[00:27:30.720] これで文句言わないから俺
[00:27:32.039] ごめんね。そう面で
[00:27:33.679] あ、いや、そう面でいいよ。全然そう面でいい。
[00:27:35.919] 簡単なのでいいよ。スゴ
[00:27:38.440] 簡単なのでいいよ。なんか簡単に揚げ物とか唐揚げとかでいいよ。
[00:27:46.919] 何でもいいよ。
[00:27:52.640] パンにキリとハムのせるね。
[00:27:58.440] えっと、どこだこれか。こっちか。
[00:28:02.600] これめんどくせえな、これな。3なんか
[00:28:06.600] いや、でもさ、コナミのなんだっけ?10
[00:28:09.399] 倍カートリッチ使うのはちょっとな、
[00:28:12.720] ちょっと卑怯なんだよな。10
[00:28:14.799] 倍カートリック使うのはどうせ使うことになるんだからさっさと使いなよ。卑怯とはうまいな。海王拳じゃん。
[00:28:34.399] なんでそんなこと言うの?できるだけ使わないように行こうとしてるんじゃ。
[00:28:39.440] ま、公式だから悪いことじゃないけど。
[00:28:41.600] 悪いことじゃないけど。
[00:28:46.519] これパスワード覚えとくべきだ。まいっか。まあもうここクリアできるし。次は行きますわ。次は行けますわ。そうか。あそこを開ける前にここ開けなきゃいけないんや。いいだろ。
[00:29:01.399] こういうことだな。そうだ。その分金出してソフト買ってんだからいいよな。ここを開ける前にここを開けなきゃいけないんですね。分かりました。最後のためにここ開けとかなきゃいけないんや。
[00:29:14.240] そういうことなんや。
[00:29:17.080] あ、下来んのかい?
[00:29:24.799] なんならもうここ開けちゃえばいいんだよ
[00:29:25.960] 。危ねえ。
[00:29:30.840] 早いよ。
[00:29:35.159] なんかロードランナーみたい。多分
[00:29:38.000] ロードランナー結構意識されてるよね、
[00:29:39.679] これね。
[00:29:42.399] し転ぶサイクまそこ開けても積んでたから死んでも一緒し。
[00:29:51.720] え、積んでない?積んでた。いや、あいつ足早すぎる。マジで。
[00:30:00.320] 村か8mおき。村か8mおき。村か8mお
[00:30:06.200] 実は今のゲーム作ってます。したらプレゼントします。
[00:30:11.840] 何それ?
[00:30:13.320] ついにもうこのように存在するパズルゲームを全て制覇したの。
[00:30:17.320] 笑笑
[00:30:18.159] 飽きたらずもう作っちゃったまですげえ。海分
[00:30:21.840] もう作っちゃった。え、
[00:30:24.960] おい、あいつあそこにいるけどあれ
[00:30:27.279] どうなるんだ。
[00:30:29.039] どうなるんだあれ。
[00:30:30.000] とんでもねえや。それ大丈夫かな?
[00:30:33.399] あ、消えた。え、大丈夫でしょ?大丈夫だよ、これ。
[00:30:45.640] いや、大丈夫、大丈夫、大丈、全然、絶対大丈夫。絶対、絶対、絶対。俺さっきもうやってるから。ここ
[00:30:53.679] 下から出てくるの可愛い。
[00:30:56.120] 間に合え、間に合え、間に合え、間に合え、間におばふうふう。危ねえ。よし、よし、よし。これで勝つる。
[00:31:08.519] 今回は勝つるよ、これで。
[00:31:14.240] 敵が出口にいることの方のこと。
[00:31:17.559] いや、あれは消えるんだよ。あれは消えた。なんか時間で消える。あいつ来るだろ、多分。あいつ来るだろ、多分。あいつ来んだろ、多分。来いや。来んだろ。お、来た。うい。
[00:31:39.880] 結構頭使うじゃん、これ。どっか行け、どっか行け。え、何これ?
[00:31:51.919] わ、
[00:31:52.399] 何それは?こち。よしよし。
[00:31:58.840] 悪いもん。会
[00:32:00.960] 3連載かが何人もいるわという。
[00:32:04.799] をさっき10連続の話の時に出し
[00:32:07.880] 何何何何何何何なんてなんてなんてなんてなんてなんて悪いもん中解散連続以下が何人もいるわなってんのそれなってるのかいそれおいえど
[00:32:30.679] なってんのそ
[00:32:33.720] またそこ行くの?
[00:32:35.240] いや、またここ行かなあかんねんだ。これ
[00:32:36.919] すごすぎる。
[00:32:40.880] 何なの?その海分の才能は。よし、これで勝つるやろか。すげ。
[00:32:55.240] これで勝つるやろかい。せやろがい。
[00:32:59.159] おじさん、これでせやろかい。
[00:33:04.080] で、来るでしょ、どうせあいつが。また
[00:33:05.440] 超えるよ、ここで。はあ。
[00:33:11.559] よし。やっとクリアできた。やっとクリア
[00:33:14.200] できた。ここ
[00:33:16.919] やっと初。こっから初見です。やるやん。
[00:33:20.120] パチパチマ
[00:33:22.919] やるじゃん。パチパスパチパチ
[00:33:26.279] 。パスワードパスワードめく。パスワード
[00:33:29.679] まだ助賞に過ぎない?
[00:33:31.080] ま、まだあの、まだ3ステージ3
[00:33:33.120] だからね、これ。ステージ
[00:33:34.799] 60まであるらしいから。ステージ
[00:33:37.960] 60
[00:33:38.399] までなるらしいからね。よろしく。よろしく。
[00:33:43.200] 終わった。
[00:33:45.000] 終わってねえや。始まったんだろうが。
[00:33:48.360] 始まったんだろうが。これ考えろよ。これ考えろよ。
[00:33:52.679] 8
[00:33:52.919] 年かかる。
[00:33:53.760] え、あのハンマーなんだ?あのハンマーなんだ。
[00:33:58.279] ハンマーってんだろう。
[00:34:00.720] 開始30分で360。
[00:34:05.360] やべ、これセーブ機能あるから大丈夫だよ。ああ。いや、多分ここだな。ここだな。あれ違うか?違くね?
[00:34:18.399] もしかしたら案外順調か?
[00:34:20.359] 違うわ。これあっちが分からずないと開分かないんだ。これわかんないよ、そんなの。
[00:34:26.320] カンマーと合わせれば無敵になるらしい。
[00:34:29.839] これか。ハンマーはあれ何?ああ、なるほど。
[00:34:35.839] 試してみよう。
[00:34:37.040] ああ、そう。うわ、しかも取れるんだ、これ。ここそんな難しくなさそうだと。でも
[00:34:43.720] 1回。うん。1
[00:34:44.399] 回多分これ間違っちゃってる。絶対こっちから開けなきゃダめだったな。こっちから開けなきゃだめ。ええ。あ、やべ。え、ちょっと待って。ちょっと待って。
[00:34:55.359] え、は、いやいや、積んでますやん。なるほど。あそこ
[00:35:10.119] 1回しか通れねえんだ。
[00:35:11.720] この途中で封鎖刺されるの嫌だ、
[00:35:14.320] これ。あれなんだな。1
[00:35:15.240] 回しか通れねえから。だからこの金の玉取るための取る前に前にここに来てここ全部拾ってこなきゃいけないんだ。
[00:35:24.400] じゃ、あのハンマーなんやねんていう。
[00:35:27.760] え、で、どうすんのこれ?で、どうすんだ
[00:35:30.720] よこれ。
[00:35:33.240] え
[00:35:35.560] 、腹筋してるな。
[00:35:42.920] ようバルザック
[00:35:44.640] 誰があたか
[00:35:48.599] お疲れ。
[00:35:53.359] 今日から
[00:35:55.440] エルギーザの封印というゲームをやって
[00:35:58.400] いく。
[00:36:00.599] だめだ、これ。リセットしよう。だめだ。
[00:36:02.160] だめリセットします。あのパスワード
[00:36:05.520] メモったから大丈夫だよ。パスワード
[00:36:07.119] メモったからな。
[00:36:18.000] いや、意外とむずいな。
[00:36:21.560] ドんドんドんドん。
[00:36:26.280] 頼む。メモミスってくれ。
[00:36:28.280] い、メモ。あれだからしめったから。しめった。もうし。うわ、うわ。キーボード入力だ。めんどくせえ。キーボード入力だ。え、
[00:36:37.359] MB?
[00:36:41.200] MBA
[00:36:43.119] HKD。HK
[00:36:46.520] Hl
[00:36:51.000] せやろかい。
[00:36:52.720] せやろかい。よし。オー。え、これな、こんなんだったらこれ簡単だぜ。こんなんだったらこれ簡単だで。申し訳ないけど。
[00:37:02.680] 臭いねん。チま君のキーボード打つの遅いところ見られる。
[00:37:07.880] 俺未だにあの差し指でしかあのあれできないから。タイピングできないから。これ取ったらこれ取ったら沼。
[00:37:19.200] 笑笑。
[00:37:19.960] これ取ったら沼ね。
[00:37:21.240] ハッマーのチュートリアルみたいなもんだろうな。
[00:37:24.200] ハッマー。ちゃんと
[00:37:31.160] 3
[00:37:31.280] つ取ってから回んなきゃいけねえな。あれは後で取れるから。
[00:37:35.680] あ、オッケー。これでオッケー。めっちゃ簡単やんこ。これでこういうことやん。こういうことやん。したらここれなっちゃう。でも大丈夫。
[00:37:49.839] こうする。はい。
[00:37:53.480] ここ邪魔ない。いいね。
[00:37:56.359] あれ?あ、
[00:37:58.560] そして積む
[00:38:00.280] で。これが何なのか?え、な、何なのこれは?なんなのこれは?これ何なの?これは何?何なんだよ。ちょ待って。説明書読むわ。こういう時のために説明書ありだってんだから。
[00:38:18.680] 説明書見てわな茶にこれはどういうゲームなの?
[00:38:25.200] これはこれなんか弾あるべ。金の玉を集めて全部集めて扉に行くという
[00:38:32.800] 4
