[00:00:06.319] 最終回来ちゃー。ちゃまぷんちゃにめ。
[00:06:41.759] ボボボボボボボボボボボボボ
[00:06:44.680] どうもば
[00:06:46.880] バスのお茶です。はい。はい。やってきます。よろしくお願いします。もうあれやで。もう今日本当にもうあのもうすっと行く。もう早速もう、もう行くよ。
[00:07:04.319] わかんない。ごめん。わかんない。なんかもうなかったことしてくる。今のは。今のはなかったことにしてくれる。
[00:07:09.759] 勢いで行ってしまった。はい。これもうレベル上げとか多分必要ねえと思うんよな。ぶっちゃけチケぶ。てかさ、てかさ、装備さ、どうしよう。
[00:07:22.130] [笑い]
[00:07:25.560] ストレートで行けるぜ。
[00:07:26.919] 神秘のビキのままで行くか。新引で行く。親引で。ここの迷いどこだよな。絵面的には正味これで行きたい。絵面的にはな。
[00:07:39.160] ただ本気を本女帝の鞭までこれ女帝の鞭とかああいやどうかなこれ鞭とかの方がいいか
[00:07:51.319] 一択進一択進までまっかのま行けばま行こうかなのま行こうかと思うわこれでいいまこの辺死神の盾てはない不思議な帽子のまま
[00:08:08.479] で行きたいんだよね。鳥行くわ。待て。不思議な場所あるやん。ちょっと待って。最終日も寄り道を押したい。不思議な場所。秘密の場所ある。ここ
[00:08:24.280] ランディさんがサブスクわです。じゃん。うん。どうもこんばんは。
[00:08:32.599] わこつ長らくやってきたドラゴンクエストワ
[00:08:38.120] 1&amp;2
[00:08:38.760] も今日でついに最終回。涙の涙の最終回です。サブスクあざす。
[00:08:49.760] この曲のも最後か。
[00:08:51.440] そうだな。確かにこの曲も最後だぞ。水タバコすやつはね。
[00:09:01.036] [笑い]
[00:09:03.000] 何?いやいやいや、冗談冗談
[00:09:05.440] こっさ。
[00:09:06.040] いや、冗談だから。冗談だから。
[00:09:07.760] 笑笑。
[00:09:08.320] 全部冗談だから。冗談だから。え、嘘、嘘、嘘。冗談、冗談。
[00:09:13.600] 2次回で死者行くやつは
[00:09:18.480] ラララ
[00:09:22.279] 2次回で死者行くやつはラ
[00:09:34.640] どこだもうどこももう1個宝ああるで。
[00:09:37.760] もう1個宝あるよ。やは何やん。どこ、
[00:09:40.200] どこ、どこ。あたたた。なんかさ、ミニ
[00:09:44.680] マップ消えたんだがね。ミニマップ消えた
[00:09:47.320] よね。2時ラちょっと
[00:09:54.320] 待ん消え
[00:09:57.360] た。ほらミニマップ
[00:09:59.200] 秘密の場所なくね?
[00:10:01.480] ミニマップの簡易え、こんなんあんの?
[00:10:04.279] こんなんあんの?
[00:10:06.480] 広いだろうが。うわ、これだったらもう
[00:10:08.839] ちょっと簡単にレミラーマできた。ま、
[00:10:10.440] いっか。
[00:10:12.519] あ、ララララ。いや、マジで確かにこの曲
[00:10:15.480] 聞くの最後なのめっちゃ寂しい。
[00:10:19.800] ネモ曲。
[00:10:24.079] まあね、敵はもう賞味全然
[00:10:27.279] 全然勝負にならないほど俺は強くなって
[00:10:29.360] しまった。
[00:10:31.760] ああ、兵マジ強い。
[00:10:37.959] 雑談のBGMにすればまたる。[笑い]
[00:10:41.200] 明るすぎるだろ、俺。このこの
[00:10:43.920] BGM
[00:10:44.440] をバックにさ、下ネタを言わなきゃいけないの。
[00:10:47.240] 気が
[00:10:47.959] やなんだけど。
[00:10:50.880] 笑笑。
[00:10:54.360] このBGM
[00:10:55.200] バックに、あ、今日は金玉が可愛いよって言わなきゃいけないの。俺やなんだけど。茶魔ゲーの雑談と言えばそれぐらいしかないからな。あ、お味噌なめこんばんは。
[00:11:00.247] [笑い]
[00:11:07.120] お水なみこ、こんばんは。
[00:11:11.800] でもずっと死者のことじれるぞ。
[00:11:14.657] [笑い]
[00:11:16.320] 別にいじってないから。別にいじってないで。
[00:11:20.920] あらよ。
[00:11:22.839] 何だ?俺、俺がいついじったんだよ。
[00:11:25.360] C
[00:11:25.519] シャバー行きたがるやつ。道間違った。こっちか。
[00:11:34.320] C者一緒に行きたい。[音楽]
[00:11:36.399] だめだ。チャマゲームのオフ会。
[00:11:38.040] Cシャバーだった。第1回。
[00:11:40.279] 第1回チャマゲームオフ会。
[00:11:42.480] Cシャバー。
[00:11:44.880] C者できまった。
[00:11:48.800] う。
[00:11:50.160] はい。お疲れ。たか。こんばんは。最終回やぞ。嫌い。
[00:11:58.240] 最終回やぞ。
[00:12:05.680] Cシャバーカ
[00:12:08.880] めっちゃ金かかりそう。遅
[00:12:10.639] めっちゃ金かかりそう。経験値うましさんこんばんは。最終回であるぞ。最終回じゃぞ、今日。うわ、もう
[00:12:28.320] 1個あるよ。秘密の場所。
[00:12:32.680] お、ベリアルだ。
[00:12:35.519] ベリアルじゃない。なんだっけ?アークデーモン。やっぱクッキーのさ、
[00:12:41.800] MP
[00:12:42.160] がさ、めっちゃ消費激しいんよね。なんちゃらのボレロなボレロやっぱ取りたかったな。
[00:13:03.680] 強すぎな。飯
[00:13:06.240] 山びギガデイン強すぎな。わあ、どうしようね。これクリアしたら何やろっかな。演下高。
[00:13:23.000] 行け。
[00:13:27.959] よしよし。ドラクエコ。
[00:13:30.000] いや、もうええてやったやろ。ついても遅い。
[00:13:33.959] 誰?あれだ?ドラクエ11
[00:13:35.639] シぐしぐにから返してもらわないといけねんだよ。シぐしぐから返してもらわないといけね。早く返してもらわねえとさ、ヤで真キになっちまうんだけど。俺のドラク
[00:13:38.104] [笑い]
[00:13:47.000] 11が
[00:13:47.600] かしてた。笑。
[00:13:50.040] ヤで真キになっちゃうんだけど。早く返してもらわねえと。
[00:13:53.560] 何ここ?こうしてる間にも俺のドラクエ
[00:13:57.040] 11はで真きっきりになっていってる。
[00:13:59.360] ヤと油もう違う人に渡ってそう。
[00:14:02.994] [笑い]
[00:14:03.600] またがちすなや。研究最後見つけ究極の敵打ちまだ絶対まだんてじゃん。神はもうなってるよ。
[00:14:18.040] パッケージの神はもう巻きになってる。最悪なんだけどマジで返して欲しいんだけど。
[00:14:24.800] どうやって感じてもらおうかな。あいつの配信で言っといてね。
[00:14:28.920] こんばんは。
[00:14:29.519] あ、あれだよって。めちゃこんばんは。愛する
[00:14:33.959] 9
[00:14:34.839] ざオリーって何?絶対マだンテじゃん。上は
[00:14:37.920] 家に乗り込む。
[00:14:39.120] ザオリーって何?全ての敵ホムメガンテメガンテだよね。シテル魂再びオリクでしょ。アレルジモン先へ。
[00:14:50.720] え?ザオリー。ザオリーって何?
[00:14:56.440] 小さな目。え、
[00:14:59.399] これ何?どうやって覚えんの?それ
[00:15:02.880] マダンテザオリーって何?メガンテザこれ
[00:15:07.240] ザオリークだよな。下はなんだ?ザオ
[00:15:10.000] リーって
[00:15:16.120] なんだろうね。まだあんだろうな。多分
[00:15:17.759] なんかでもまあまあいべ。
[00:15:20.240] そんな別にそこまでなんかか俺多分なんか取り逃してんのかもしんねえな。まあ新
[00:15:24.839] 呪文かな。
[00:15:25.959] ザオリー全然聞いたことないね。まあ、今のままでもいいよ。
[00:15:36.120] 気がインもう
[00:15:38.360] MPないじゃん。さん欲しいの。
[00:15:44.399] あ、ありがとうございます。めてて。
[00:15:48.240] ここどこ?
[00:15:48.920] サブスクありがとうございます。ここあのロンダルギアですよ。ロンダルギア。ちょっとさ、秘密の場所行くか。
[00:16:03.279] 気がデイン
[00:16:10.040] 見切った。
[00:16:11.000] よいしょ。
[00:16:16.880] ロンダルキア敵強いの?
[00:16:18.959] もうラスダン、ラスダン、ラスダよ、これ。めちゃめちゃ強い。だから俺がでも強くなりすぎてなんかあかも簡単みたいに映ってるけどめちゃむずいからここ。あ、ぬいぐるみシリーズ多いのね。あるから。オ、
[00:16:27.096] [音楽]
[00:16:40.560] すぐプリせ。
[00:16:46.480] ま、もう最悪とかはアイテム使いまくるわ。もう別に最後だし。もう別に最後やしな。このゲームってクリア後のやり込みとかあんの?
[00:16:57.279] 行け。
[00:16:59.800] ドラクエとかてかドラクエとかじゃないけど。
[00:17:02.600] ありますね。
[00:17:03.519] あ、あるんだ。
[00:17:04.760] え、あるの?裏ボスとかいるの?え、そうなの?あ、裏ボスとかがもしるんだったら話は別なんだけど。
[00:17:14.911] [音楽]
[00:17:15.079] たよ。
[00:17:15.919] え、そうなの?
[00:17:17.720] それだけは言えない。
[00:17:19.120] それだけは言えませんと。分かりました。分かりました。
[00:17:24.199] 最終回にの可能性で
[00:17:25.919] 出てきたね。もし本当にそういうのがあんだったらやる。そこまでなんかそんなに別にない。
[00:17:33.799] ボスは知らない。
[00:17:34.919] そんなに別にないよってんだったらまあい、いいかなって感じ。ま、ちょっと最後までやろうぜ。
[00:17:40.360] どういうこと?
[00:17:44.360] 髪が伸びてきてさ。ちょ、見てこれ。
[00:17:47.160] こい。
[00:17:48.200] そんな
[00:17:58.200] なんで
[00:18:02.200] これファミコン版もこうだったね。なんか。ああ、まずいまずいまずい。みんなそれ洗脳だから。
[00:18:10.000] サマルトリアのお城。
[00:18:12.600] うーん。ブルク
[00:18:14.480] 地球が回ってるって。それ脳だから。
[00:18:16.919] し、
[00:18:19.120] やばい、やばい、やばい、やばい、やばい。これ洗脳です、これ。もっと奥、もっと奥へ。
[00:18:34.600] 辛いこと、
[00:18:36.159] 苦しいことは忘れ。
[00:18:38.919] あなたの望む通りの優しい世界。
[00:18:43.679] 誰ですか?いや、めっちゃ簡単に洗脳されるやん、こいつら。レシアローレシアなんだ。
[00:19:09.538] [音楽]
[00:19:11.520] でもぶっちゃけさ、ローレシアじゃ別にあいつらそんなに思い入れなくね?あいつらなんかえみたいなさんがサブスクしました。
[00:19:22.840] おい、ペロン。わい、ペロン。お疲れ。お疲れちゃん。最終回だよ。え、デルコンダる映画は私が
[00:19:32.159] 1
[00:19:32.280] 番強いって思っていってくださんたんですね。私のお兄ちゃん。私お兄ちゃんたちはまだまだ叶わないとこあるってちょっと気にしてて。
[00:19:38.720] 足引っ張っちゃったら嫌だなって。だから実力者である陛下に
[00:19:41.799] 1
[00:19:41.919] 番なんて言われたら嬉しいです。え、私がハーゴン様の支援隊の隊調ですか?隊長なんてすごいもうめちゃめちゃ洗脳されてますやん。
[00:19:54.960] マカロン。
[00:19:56.480] これは終わったかもしれんな。こんな簡単に洗脳されんの?お前ら分かるやろ。
[00:20:05.640] 普通に敵の本気来たら、あ、これ絶対嘘やんて。ま、特に何もないだろうね。多分これファミコン版の
[00:20:22.679] レオ
[00:20:23.840] ビギビキビキビキビキチャビは長らくやってきたドラゴンクエストも今日で最終回だってアイテムラン開けねえ。
[00:20:33.400] これファミコン版と同じだったらあれなん
[00:20:36.000] だよ。あの邪心像ん違うなんだっけ?なん
[00:20:40.520] かやると大丈夫になるんだよな。何も忘れ
[00:20:43.240] てねえけど。忘れてねえけどか。忘れた
[00:20:44.880] けど。はっは。さすが我が娘だ。はっは。
[00:20:49.200] お父様、どうです?私もこんなに難しい
[00:20:51.679] 呪文が使えるようになりました。私お父様
[00:20:53.960] にはさすがわしの子って言われるのが一番
[00:20:55.640] 嬉しいんです。
[00:20:59.159] どうなっちゃったの?これどうしたの?
[00:21:01.880] これ
[00:21:03.440] は
[00:21:05.120] まあ何もないよな。魔物戦うには装備を
[00:21:08.094] [音楽]整えるべきでしたがハーゴン様が
[00:21:09.799] この世を納めるのですからそんな必要は
[00:21:11.440] もうないですね。
[00:21:15.480] 押しちゃったんですか?
[00:21:20.559] ハーゴン様を信じる心を忘れずにいれば
[00:21:22.720] 必ずや幸せになれまなれましょうぞ。
[00:21:28.400] あ、いたいたいたいたた。お前もうこいつ
[00:21:30.080] にだっては犬やん[音楽]。相手
[00:21:36.840] ふふふ。好きなだけここにいてのよ。
[00:21:38.919] のんびりまったりゆるゆりと母と過ごし
[00:21:40.844] [音楽]ましょう。犬が喋っとるですよね
[00:21:44.240] 。かさんハーゴンさんが悪い人なわけない
[00:21:46.279] ですよね。僕どうしてそんな風に思ってた
[00:21:48.039] んだっけ?まいっか僕お城で待ったり
[00:21:49.919] しせんのが一番幸せです。あっちゃあです
[00:21:53.679] なあ。
[00:21:55.000] どうすればいいの、これ?どうすればいいんですか?どうする?あ、王様に会いに行ってみるか。王様に会いに行ってみるか。た、
[00:22:12.720] きあ、ちゃまき見せて
[00:22:14.250] [音楽]
[00:22:15.679] やだわ。サイスネき、こんばんは。今日最終回だよね。あ、やっぱりな。
[00:22:23.039] 今日もとっても平和で素晴らしいなあ。どうしようかの。また自慢の踊りを見せてもらおうかな。な
[00:22:31.760] んやねん、それ。
[00:22:32.440] あら、でもそれじゃあお膝の上から私がいなくなってもいいの?
[00:22:37.200] え?お膝の上に何これ?
[00:22:39.960] うん。それは寂しいな。
[00:22:42.240] エチじゃん。エチじゃん。
[00:22:45.799] いいな。
[00:22:50.275] [笑い]
[00:22:51.120] 息子よ。
[00:22:52.679] さん、こんばんは。てきた。
[00:22:54.720] 笑。
[00:22:55.080] あら、息子さん
[00:22:57.320] エロ意です。[音楽]
[00:22:59.240] 私のせいで心配をかけてしまった。
[00:23:04.840] 息子よ。ハーゴン殿のことは
[00:23:07.520] 5
[00:23:07.720] 回だった。話してみれば実に気持ちのいい人でな。私のことも部下にしてくださったんだ。
[00:23:17.131] [笑い]
[00:23:21.880] お前のこともよく頼んでおいたぞ。や、お前も呪文が使えないで来ないの勇者の末裔などと裏で言われ。これまでさぞ辛かっただろう。
[00:23:31.541] [笑い]
[00:23:34.799] え、そんなこと言われてたの?俺知らんかったけど知らなかったんだが。
[00:23:40.799] ガチ聞く?
[00:23:41.799] ガチ聞くだよ。これ辛い
[00:23:48.279] だろだろう。だがもうそんなことは気にする必要なんかない。勇者なんぞ。やめだ。やめだ。もう勇者の血のことや使命など綺麗さっぱり忘れ。ハーゴン殿の部下として楽しく暮らそう。
[00:24:08.440] そうそう。あなたと一緒に楽しみましょう。
[00:24:11.919] ええ。私の得意の踊りでも見ていく。
[00:24:16.159] ハーゴン様マセじゃん。
[00:24:19.279] ハーゴン様マセ。
[00:24:21.720] ここは天国そのものだ。
[00:24:25.760] え、あれ?あ、やべ。俺さ、さっきの選択肢入ってやったのにやばかった。なんか俺今決まった気がする。なんか終わった気がするぞ。
[00:24:37.760] なんかこれ大丈夫か?レ王子様も私たち身ハーゴン様の配会になれたことをお祝いしましょう。あれ?これさっきの選択肢もしかして
[00:24:50.720] かやっちゃいました。
[00:24:51.919] 僕またなんかやっちゃいました。
[00:24:55.679] 僕
[00:24:57.039] またなんかやっちゃいました。
[00:25:05.039] 勇者の血を償よ。[音楽]
[00:25:08.482] [笑い]
[00:25:08.640] 見えるものに
[00:25:10.720] 伝説の者ないで私がした守りに祈りをあれか。
[00:25:26.167] [音楽]
[00:25:29.640] これで
[00:25:31.600] なんだ?どれだっけな?
[00:25:34.679] 王女の愛じゃなくてルビスの守り。これだ
[00:25:37.480] な。これだな。これ多分ファミコン版も
[00:25:41.000] 一緒だったはず。こんな感じだった気が
[00:25:42.679] するな。
[00:25:45.120] わしは黙らざれんぞ。
[00:25:50.080] 妖精のラッパじゃないんですか?
[00:25:52.000] 妖精じゃない。妖精のラッパ何だっけ?
[00:25:54.799] どこからともなく美しい声が聞こえる。
[00:26:01.000] そう、これは全て幻。さあ、しっかりと心の目を開くのです。
[00:26:16.039] まあ、ボール惜しい。
[00:26:18.320] おあ。あれ?何が起きたの?
[00:26:29.279] マジか?
[00:26:29.799] え?サマルトリアのお城じゃ。いや、そうだ。僕たちはハーゴンの神殿に来たんだよね。
[00:26:41.600] 膝の上のバニーちゃんは?
[00:26:43.640] それだけは消えて欲しくなかったな。のびるさん、こんばんは。
[00:26:52.000] ウェイお疲れ。今日クリある。
[00:26:53.960] りさん、こんばんは。今日クりあるよ。今日今日クりあるやろ。のか護が私たちをに戻してくれたのね。
[00:27:00.440] 危なかった。
[00:27:05.600] ローのとこ思い出した。
[00:27:08.200] 懐かしい。
[00:27:08.919] 父様
[00:27:09.799] ガリガリになってたとこね。ローが
[00:27:12.000] この身を切られるようにならできる。
[00:27:14.000] 三酷な幻
[00:27:15.320] も行くぜ。今日は
[00:27:17.559] もう会えない父様を見せるなんて。
[00:27:22.480] もう誰も君のことは覚えていないのであった。さっきの幻にもくん出てきてもいいじゃねえかな。もうくん
[00:27:25.378] [笑い]
[00:27:35.080] ありがとう。
[00:27:35.720] もうくんのことも思い出してやってくれよ。
[00:27:38.399] 人の弱みにつけ込むなんて本当に最低だよ。許せない。
[00:27:44.399] 初戦。
[00:27:44.840] ここからは僕たちが反撃する番だね。
[00:27:46.339] [笑い]
[00:27:48.320] 心の奥底にはまだいなかった。
[00:27:50.159] 首を洗って待ってらっしゃい。カーゴン。
[00:27:54.440] もうくを知らないのか。
[00:27:55.840] 勇者っぽくないセリフなんだよな。
[00:27:58.440] もうくんだよ。もうくん。
[00:28:14.440] あ、あ、あ、いるじゃん。いるじゃん。いるやんけ。お前は現実だったんかい。
[00:28:19.880] あら、あら、原っちゃったの。
[00:28:23.840] 絶だろ。これ絶対あいつだろ。
[00:28:25.320] すまんな。な
[00:28:26.240] んだっけ?生た。
[00:28:27.440] でもまだ間に合うわ。
[00:28:29.919] ほら一緒に温かな夢の世界に戻りましょう。
[00:28:33.880] ああ、戻る、戻る。
[00:28:35.480] ミリシかの人?
[00:28:37.559] そうそうそう。ミリミリ。
[00:28:40.760] あんたたちの望む世界。
[00:28:42.760] これミリでしょ、これ。あ、
[00:28:44.960] 勇者の血筋の中でただ
[00:28:46.799] 1
[00:28:46.919] 人呪文が伝えないなんて恥ずかしかったです。
[00:28:50.120] なん、なんでそればっか言うのなあ。
[00:28:52.440] 勇者の使命は重だったでしょう。平和で美しかった故郷でまた父親に会いた。
[00:29:01.000] おい、なんで俺だけ罵当なの?
[00:29:02.975] [笑い]
[00:29:03.480] 他の3人と対等な経験と力な
[00:29:06.440] なんで俺だけなんで俺だけ罵倒されなきゃいけねえんだよ。
[00:29:10.679] 全部叶うわ。幻の世界に戻ればね。だから一緒に行きましょう。あんたたちの思い通りになる世界の中ならずっと幸せよ。
[00:29:27.865] [音楽]
[00:29:29.960] 分かってないね。僕たちは世界が自分たちの思い通りになることなんてんでないよ。
[00:29:37.559] 求めているのはみんなの命や自由が突然に理不尽に奪われないこと。ただそれだけです。
[00:29:46.840] あんたこそよく考えた方がいいよ。幸せって何なのか生きるってどういうことなのか。
[00:29:53.240] 騙されてたくせに[笑い]
[00:29:56.039] 俺のおかげで目覚したからむ。
[00:29:58.760] あ、ほらやっぱそうだよ。
[00:30:00.840] やっぱそうだな。ほら来た。おお、凝ってるね。この変身が解ける変身が。あ、
[00:30:11.399] 耳したんだ。にずっと私の邪魔をしてくれちゃって。
[00:30:14.919] 理人だし。
[00:30:16.240] ハーゴン様に与えられた力で今度こそ殺してやろうじゃない。
[00:30:21.000] 植えた。ワニ。
[00:30:21.640] ハーゴンの道具となることを選ぶのですか?
[00:30:24.519] 道具なんかじゃない。私はハーゴン様の調を受けてるの。本当にハーゴンが君を大切に思っていたらこの世界を破滅させようとするのかな?君が大事だったら世界を壊そうとするんじゃなくて君との日々を大切にするはずじゃないの?
[00:30:49.320] まあそうかも。
[00:30:52.039] やめたれ。
[00:30:54.159] ま、ここからまだなんかあるの?あ、え、何?そういう感じ?ハーゴン様、また
[00:31:00.519] 1つ人間の巣を滅ぼしてきました。
[00:31:02.799] 人間の巣。
[00:31:05.000] 花も木も動物も人間もこの世界からミリエラが全て排除してみせます。あ、その後はどうしましょう?あの悪僚霊の神たちは不要ですよね。
[00:31:19.480] 私とハーゴン様だけの世界にしちゃいましょう。普
[00:31:24.120] え、[笑い]
[00:31:26.559] 普通。いや、嘘、嘘、嘘、嘘。
[00:31:30.880] お前ご大切、大切。
[00:31:33.000] 私と彼女で作る新たな世界の話に口を挟むな。
[00:31:38.720] 何?私と彼女って誰?
[00:31:40.919] お前はただ
[00:31:43.000] 私の命令。
[00:31:44.399] どうなんだよ。大切だよ。
[00:31:47.279] 大切でしょうか。何?
[00:31:51.799] 必要なのだ。あの方と
[00:31:56.240] 龍の終わり。
[00:31:57.799] 龍の女王ね。
[00:31:59.600] 3の
[00:32:00.840] 力がな。
[00:32:04.120] 竜の女王ね。ちな。これ竜の女王のことね。
[00:32:12.039] 波とにかくいいの?私は様のお役に立つの
[00:32:23.240] 聞いてく。聞いてて草だ。
[00:32:28.320] MPないで終わり。
[00:32:29.639] おい、MP
[00:32:30.360] ないて。あげるわ。私のハーゴン様への中を。
[00:32:39.120] なんだよ。言ってよ。まあ、ちょっと行けんだ。ちょっと、ちょっと、もうちょっと、もうちゃっと、ちゃっとやっちゃって。もう簡単だから。
[00:32:50.679] マジック
[00:32:51.200] チちゃっとやっちゃって。
[00:32:53.799] あ、
[00:32:54.159] で、僕たち。
[00:32:55.159] ああ、そういう感じか。これ強いんだよね。
[00:32:58.919] 1
[00:32:59.080] 回戦ってんだよな、こいつら。な、これ強いんだよね、こいつ。やっちゃってやっちゃった。僕たち、
[00:33:05.120] これ強いのよ、これ。
[00:33:06.840] で、僕たちを
[00:33:11.760] 確かめっちゃ強かった気がする。こいれ、この周りの敵が強いんだよ。
[00:33:18.000] 見切った。
[00:33:19.760] 頑張れそう。
[00:33:22.559] 下僕たちをして
[00:33:25.799] やっぱこれあれだな。
[00:33:27.880] MPが必要だ。MP必要ですね。
[00:33:31.159] ちょっと待って、ちょっと待って。分かった、わかった、わかった。ちょっと待ちなさい。
[00:33:37.760] えー、俺だけでいいや。俺だけ命令にして
[00:33:43.919] MPを使おう。あえ、もうなくなっちゃっ
[00:33:48.279] たよ。[笑い]MP回復しようと思ったら
[00:33:51.519] できなかった。なんだよ
[00:33:57.960] 。ボス回復してくれな。回復してくるだっ
[00:34:01.720] たな。
[00:34:04.480] 1人じゃないわ。
[00:34:06.679] やっちゃって一。頻度でこれあれなんだね。直しよ。
[00:34:12.440] うわ、うわ、うわ、うわ。
[00:34:17.378] [音楽]
[00:34:21.480] ここでしょ。
[00:34:23.240] 頑張れそう。
[00:34:24.359] うわあ、これあれだな。
[00:34:27.280] これなら行けそう。
[00:34:31.720] れ
[00:34:32.679] ち騎士どもが、
[00:34:34.560] この騎士がさ、マジでこいつらさ、め、おい、ミリアマジでさ、ちょっと待って。ええ、くそ。
[00:34:52.119] MPがないと正味無理やで、これ
[00:34:54.760] 声出してこう。
[00:34:57.760] 生意きなのよ。
[00:35:04.040] 話か。
[00:35:10.200] 赤スパ勢がいや、どうしよっかな、これ。もう
[00:35:21.320] 1回やり直したいんですけど。もう
[00:35:24.760] 1回やり直したいよ。
[00:35:30.119] いいでしょ。い、お疲れ。こら。お疲れ。
[00:35:36.480] ちょっとさ、これさ、
[00:35:39.000] 1
[00:35:39.160] 回ちょっと死んでいいか?すま、すまんが、すまんがさ、これじゃちょっと拉チが開かねえからよ。逃げらんないんだよ。逃げらんねえからちょっともうすんませんね。
[00:35:41.219] [笑い]
[00:35:55.280] なんか毎回毎回さ、
[00:35:56.920] MPがなくて毎回ボス戦
[00:35:58.839] 1回死んでからなっちゃうんだけど。
[00:36:01.040] 割俺死んだ。
[00:36:03.079] 割り俺消えるわ。
[00:36:04.920] 俺死んだわ。
[00:36:08.400] どうぞどうぞ。
[00:36:09.800] 一旦な。
[00:36:14.319] もこらこんばんはって言った俺。
[00:36:19.319] いや、ぶっちゃけこんなんクッキーがさ、
[00:36:21.119] MP満タだったらさ、
[00:36:22.680] 僕たちをやっていう話な
[00:36:26.160] ていう話なんですよ。
[00:36:30.640] あと3回お願いします。
[00:36:32.839] 何が挨拶もこらこんばんは。や、
[00:36:38.839] これはどう?
[00:36:41.800] やっぱMP
[00:36:44.000] がないと何もできませんな。
[00:36:46.599] ぶっちゃけな。
[00:36:48.280] MP
[00:36:48.640] がないと何もできませんわな。なあちゃんもこんばんは。
[00:36:55.280] 今日は
[00:36:56.680] 長く続いたドラゴンクエストのでしょ
[00:36:59.880] 最終回でございます。え、早速
[00:37:02.240] 1回死にます。早速[笑い]
[00:37:04.800] 1
[00:37:04.960] 回死ります。えー、一旦オートセーブからさせてもらってです。
[00:37:09.359] せずドラクエ2
[00:37:10.160] のショートめっちゃ流れてきてネタバレ食らった。雑っこ
[00:37:14.119] 嘘。ネタバレ言うちゃだめだよ。割と
[00:37:17.680] 楽しみにしてんだからこれ。割とというか
[00:37:20.520] 結構楽しみにしてるんだよこれ。最後どう
[00:37:22.640] なるのか裕ジホリーが言ってたじゃん。
[00:37:25.720] だってなんか
[00:37:27.985] [音楽]
[00:37:28.800] あのあっと驚く最後がみたいなさ言
[00:37:33.319] やな。
[00:37:37.000] あっとく最後がボスボスなら直前で
[00:37:39.599] 飛ばしようぜ。1
[00:37:41.520] 発でクリアできるか?まありだね。あ、ていうかちげえ間違った。こんなことしねえで。こんなことしないでさ。りアイラ。
[00:37:57.560] こんなことしないでさ。大声出せばよかったわ。大声出せばよかった。なんでここ来ねんだよ。え、無理。無理じゃないっしょ。だって正直もうレベル
[00:38:09.599] 50だよ。
[00:38:10.359] や、呼ぼうぜ。宿や呼ぶ。
[00:38:12.040] ラスボス終わったら行っていいん?笑。
[00:38:15.000] 何が?
[00:38:19.079] あ、1
[00:38:19.359] 発でツモった。ナイス。え、ネタバレだめ。なんかエンディングみたいな。岩おたんこんばんは。岩おたんこんばんは。なんかさ、あれじゃらしいじゃん。なんかラスボスクリア後も何かあるみたいじゃん。今日最終回じゃないかもしんない。もしかしたら言うなよ、お前ら。絶対に。
[00:38:36.106] [音楽]
[00:38:42.480] あ、レあも
[00:38:50.359] あ、こ雪山に宿屋及呼ぶな。
[00:38:56.880] 君
[00:38:58.200] ビバークすんだろうな。り
[00:39:02.880] もうお
[00:39:04.599] ええてええてこういうの。おお。
[00:39:07.920] よし、
[00:39:12.480] 行きま。おし。これ絶対勝ったわ。もうこれぶっちゃけもう、ま、もう、ま、もう、もう、もう行くわ。はい。
[00:39:22.160] ここでしょ。
[00:39:24.960] 笑笑。
