[00:00:15.719] ポコっす。
[00:08:38.440] 便りがね、ちょくちょく来てるん。
[00:08:40.360] ありがたいことにね、ありがたいことに来
[00:08:42.800] てるんだけど今ね20何件来てるかな?
[00:08:46.600] 20何件来てるんだけど、そのうちの10
[00:08:48.800] 件が同じ内容だった。
[00:08:52.680] そのうちの10
[00:08:53.519] 件が同じ内容だから一食に片付けられるだろうな。そんなことある?笑。
[00:09:01.040] そのうちの10
[00:09:01.800] 件が同じ内容だったな。頼むぜ、みんなもっとなんかもっとなんかこうなんでもええでなんでもええって言いながら文句言うっていう。
[00:09:17.480] どんな質問してほしい?
[00:09:18.720] どんな質問?いや、何でも何でも何でも。
[00:09:23.040] NGなし。NG
[00:09:24.440] なし。あ、なんか、なんかドつい下ネた時はやめて。
[00:09:27.920] NGなしの。
[00:09:28.680] NGなし。NGなし。NG
[00:09:29.800] なしだけどなんか思んない面白い下ネタだったらオッケー。思んない下ネタはマジ活するから。よろしく。えー、何?
[00:09:39.279] お疲れ様です。
[00:09:40.320] エジさんお疲れちゃん。エジお疲れ。久しぶり。やってんねん。これ砂漠の釘をクリアしたとこやな。
[00:09:53.800] ううスさしてはおったんのじゃ。おやっとるね。
[00:09:57.079] おにかお疲れ。島が復活したということは封印した何者かがいるのではないかと。しかしまさかその全てがそ魔王などという陣地を超えた悪の幸であったとは。ともかく話がった。あ、うんちゃんお疲れちゃんやってんで。ともかく話がった。
[00:10:19.279] 今の平和を守っていくために我々は断結せ
[00:10:21.959] ねばならんようだ。
[00:10:24.640] これからは砂漠の国を始め復活した諸国と
[00:10:27.440] の連携を図るため積極的調査隊を派遣
[00:10:30.320] しよう。ご苦労だったらえ、霊嬢の霊、え
[00:10:34.079] 、処上の礼にこれを受け取るがいい。
[00:10:38.399] 合血の腕はよし。
[00:10:43.279] あ、なんですか?ごめんお前。今ちょっと
[00:10:45.920] 今ちょっと重要なところ聞きそびれた。
[00:10:49.839] 北の北の何
[00:10:51.040] ねえ
[00:10:51.920] え?ルロの民がや営をしてるのは北にある北製にある大陸ね。オッケー。北製ある大陸に行けたってさ。どこやねんっていう話なんですけど。あ、待って。久々にメダル王におか
[00:11:11.040] 15枚集めましたのでフロ式マント。
[00:11:14.680] 北製。あ、待って。めっちゃおいおい。
[00:11:19.079] めちゃめちゃ。
[00:11:22.279] これが30枚になる時知識の帽子だってさ
[00:11:24.760] 。
[00:11:26.639] 魔法の盾ゲットしたぜ。魔法の盾。ええや
[00:11:30.399] ん。
[00:11:33.360] オ、いいね。
[00:11:36.800] てか職業なんかマスターしてねえか俺。あ
[00:11:39.200] 、もうちょいでマスターやな。職業。
[00:11:41.839] ふーん。てか俺転職していい?
[00:11:44.440] うん。
[00:11:47.440] ちょっと俺転職しよっかな。今もうマスターしてあっちが外しちゃったよ。これ何装備してたっけ俺?これちょ転職しようか。ない。
[00:12:02.800] 無事バなろ。転生だ。踊り子をもう
[00:12:10.279] 3つバスターしてるからね。結構熱くない
[00:12:12.800] ?結構熱くない?
[00:12:16.440] 踊り子とさ、何かをマスターしたらさ、
[00:12:19.399] 踊り子銀勇詩人笑わせ。踊り子銀勇詩人
[00:12:23.720] わざ笑。もうちょっと待って。今日ダメか
[00:12:25.560] もな。今日全然口まんねえや。踊り子銀勇
[00:12:28.839] 主人笑わせして何なんのこれ?これ何?
[00:12:31.800] 踊り子銀勇笑わせして何?スーパースター
[00:12:34.320] 。スーパーサガ踏化
[00:12:40.240] マスター踊り子銀有詩人ま確かに、ま、
[00:12:44.399] 確かにな、確かにVTuberって確かに
[00:12:48.240] この要素必要かもな。歌ってみた、踊って
[00:12:51.720] みた。歌ってみたと踊ってみたと雑談枠
[00:12:54.639] ってところでしょ。確かにこれ配信者かも
[00:12:57.160] しんないな、これな。歌ってみた。
[00:12:59.399] マスターしたとこだわ。ただな、これここ
[00:13:02.639] マスターしに行くのだいぶしんどいよね。
[00:13:06.480] え、武踏化マスターしてみよっかな。どう
[00:13:08.560] しようかな。
[00:13:12.240] 回し蹴り政権好きとか強いしね。武踏カと
[00:13:16.600] バトルマスター。俺がバトルマスターでも
[00:13:20.920] 戦士頑張ってマスターしたしな。せっかく
[00:13:23.399] だ。こっち行くか。
[00:13:25.720] せっかくだし。
[00:13:28.160] これで行くか。
[00:13:38.480] このね、転直下手がきついんだよ、これな。
[00:13:47.120] どこでも転職できるんだ。
[00:13:49.000] そうなんだよ。もうめちゃめちゃめっちゃな、いろんなことがめっちゃ楽になってる。どこでもどこでもあの転職できるし、どこでも小さなメダル預けられるしみたいな。分かる。
[00:14:02.160] 小さいみたらちょっと持ったかもしんないけど。なんかめっちゃとりあえずね、めちゃめちゃ楽になってる。ユバールの地ってどこだよ?ここか。
[00:14:12.880] ドラクエみたいにホいホい転職できた。それはマジでそういいよな。何も怖くないよな。こんな感じで転職できたらな。あ、おやおや。
[00:14:28.720] ユバールの民ですか、これ?この懐かしい雰囲気。ルロの民ってのはやっぱりラルバールの民のことだったよね。じゃあね、まずはユバールの人たちにご挨拶しときましょっか。おい、キーファいるか?アイラ。それにしてもアイラの踊りはなんかぐっとくるものがあるよな。あれ嫁さんなんて言うんだっけ?キーファの嫁さんな。な、何て言うんだっけ?キーファの嫁さんってなんて言うんだっけ?ライか?え、もう絶対子孫やん。
[00:14:59.440] いや、もう絶対キーファとアイラの子孫じゃん、ライ。あ、ライと、あ、キーファとライのアイラ何?
[00:15:11.000] 今神聖なる儀式の最中。またなんかこんなんこの前も見たぞ。またかよ。これ神聖な儀式の最中だって。またちょっと今日ちょっと口が雨神の雨神の回だ。ごめん。ちょっと今日長い文章読めないかもしれない。
[00:15:25.959] 私たちリバールの先祖はかつて魔王から神を守るために最団へ不印したんさ。
[00:15:29.839] 次はガボが行っちまうよ。
[00:15:31.600] でえ、どんどんこれ人なくなってくの。今度どんどん人がいなくなってくの。こうやってもうゆりの旅があれした方がいいじゃない。世界あれした方がいいだろうかよ。救った方がいいだろ、これ。もう
[00:15:46.639] 今日のアイラの乗りにはどう見ても覇気がないのよね。もしかする儀式に乗りじゃないのかも。
[00:15:50.959] あの、あらのことだから何か考えあるんだろうけど、俗長様も苦労をなるわけよね。武器ちょっともうちょっと今日口が回りません。回りまへん。
[00:16:02.399] うん。
[00:16:03.040] 僕たち1
[00:16:03.600] 作の代表となる踊り手は今回のアイラルでちょうど
[00:16:06.600] 10代目なんだ。
[00:16:09.199] 中でも2
[00:16:10.519] 代目のライラって人はもうかなりの歌でアイラはその踊れてのかって長付けられたんだ。ピあ、
[00:16:18.160] 10代目ってことね。
[00:16:19.560] ま、孫っていうことだったら代々受け付いてるってことなんか。あ、
[00:16:27.079] パクパクパクパク。
[00:16:28.519] ペペラお疲れちゃん。ペペペロお疲れ。
[00:16:31.160] やっていく。なんだな。ユバールの旅民来たで。
[00:16:35.800] おら。
[00:16:36.440] ユバールの旅来たで。私らゆバールのた民はね、何百年って昔から世界中を旅してきたんだ。
[00:16:44.600] まだ魔王が生きてた頃にはその手から逃れるために西へ東へそして魔王が滅んでからは神の復活を目指して一切体にある最を探し続きたんだよ。
[00:16:53.959] お
[00:16:57.199] 平のライラのた時代からそんな立ってんだな。今もいバールの人たちが残ってたんだ。きっとキーファもみんなを守れて頑張ったんだろうな。こんなもんか。こんなもんか。
[00:17:12.559] あ、他に誰かいるか?だめだ。行けねえ。
[00:17:21.439] え、どうしよう?これでまたなんかさ、ライ、アイラとかいうやつの踊りに惚れてさ、こがさ、なんかいなくなるとか言ったのちょっとマジもう耐えらんねえよ、俺。どうするこれで?ライがライじゃない。えっと、
[00:17:36.440] ガボがいなくなったら
[00:17:38.160] おい。
[00:17:39.080] うお。こちくし。
[00:17:39.880] 今日は大事な景色の立ってるのに全然盛り上がってないじゃないか。バール一族けそう
[00:17:45.240] なあ。そうする他なくなるよな。
[00:17:47.360] しや
[00:17:49.880] トーラの引き手がいないからって全然取り気じゃねえしよ。つうかよ。伝説系の引きなんて本当にこのように蘇生するのかよ。俺は正直疑問だぜ。もうやめるしかねえな。あ、夜になってる。
[00:18:00.960] かマリベルでもマリベルがマリベルがそのイラってやつと結婚するんだったら俺は祝福する。遠くから眺めていたい。儀式はまだ終わらんようです。すいませんが、もうしばらく。うん。お、終わるようですな。でもちょっと早かったようですな。あ、待ちなさい。やイラ。まだ儀式は終わってはおらぬ。あ、これ表紙に乗ってた女だな、あいつ。
[00:18:30.360] 多分仲間になるぞ。俺、俺の直感が言ってる。あいつ多分仲間になる。こいつだろ、絶対。こ、こいつやろ。絶対あいつ仲間になるな、多分な。そんな気はしてたんだが。そんな気はしていたんだが。
[00:18:51.640] キプレイ
[00:18:54.600] でもプレあ、月の奥義だって。ここまではやったことないわ。お
[00:18:58.480] お。旅のお方じゃない。
[00:19:00.039] これは見苦しいところをお見せしたの。
[00:19:02.440] 我々はユバールのユバール属性ってな。神
[00:19:05.799] をこの世に復活させるために世界中を試し
[00:19:07.760] てるル郎の民なのじゃ。さ、さきも今日
[00:19:11.640] 全然読めねえな。文章マジでアイラにと
[00:19:14.200] 言っての湯バール1の踊りの名手が
[00:19:17.000] ちょっと難しいこてな。神を復活させるに
[00:19:20.120] は大地のトーラを引きこなすトゥーラ引き
[00:19:22.039] が必要だ。探しに行くと言って聞かんの
[00:19:24.000] じゃ。全くあらには困ったもんじゃよ。
[00:19:26.159] 伝説の引たと今のこのように存在するかも
[00:19:28.559] わからんというように。
[00:19:29.760] とにかくアイラは今頃西にあり海が見えるおかでも行って不されてるおるはずじゃ。
[00:19:37.400] ええ、なんかアイラっていうやつ俺うまくやれるか自信ないな。なんかやけ持てんと思うとか言い出しそうな感じじゃない?なんかふてくされて泣いてたらどうしようこであいつそら俺言っちゃうよ。いやもう大人になって涙とか恥ずかしいって。
[00:19:58.480] あの涙とか本当にもう大人なってからと恥ずかしいんで言っちゃうかもしんない。俺
[00:20:03.360] 言っちゃうかもしんない。
[00:20:04.880] あ、モてるとか持てないとかあの他人の評判どうでもいいんで言っちゃうかもしんない。
[00:20:09.480] 青筋ピンク
[00:20:10.400] 言っちゃうかもしんない。ええ、泣いてんのやめてよ。涙とか本当にもうあの大人になってから恥ずかしいんで。あ、はい。
[00:20:18.760] 焼け持てなんかちょっとやけモテフェイスじゃない?こいつやけモテフェイスじゃない?
[00:20:26.320] あら、なんだ?さっき私たちの村を訪ねてきてた旅の人ね。
[00:20:31.280] あ、見えてた。
[00:20:32.280] てっきり村の誰かが追いかけてきたのかと思ったわ。こんにちは。私は一族のアイラ。
[00:20:39.440] こ
[00:20:40.640] 旅の人が私に何かよう。
[00:20:45.120] ま、別用はまあまあ用はあるかな。
[00:20:50.760] お前のひヒひヒーヒーヒーヒーじ
[00:20:53.280] の様子だと族長様から事情は聞いてきたみたいね。ま、さっきは私もやりすぎちゃったかな。
[00:21:02.880] アイラって俺全然このドラクエ
[00:21:04.520] 7
[00:21:04.720] ここまでやってないからわかんねえけど。なんかちょっと声の解釈が違うな。分かった。こんなもんなの?みんなのみんなのイメージは。
[00:21:13.440] 神を復活させるための儀式をみんながどんなに待ち望んでるかは私もよく分かってるつもりよ。
[00:21:22.000] けれど今はまだその時ではないの?
[00:21:24.840] 違う。
[00:21:26.159] 儀式の成功には大地のトゥーラを引きこなす引き手がいなきゃだめ。
[00:21:30.400] 違、もっとなんか画が強い声してんのかなっていう優しい声でした。
[00:21:35.039] 私が好身の全てを演奏に委ねることができる。それほどのトゥーラの引き手がね。
[00:21:41.720] でもおめのひばあちゃんはあの伝説の引き手はあの伝説の引き手のこと裏切ってたけどな。伝説の引き手がなんかや、あの魔物に乗っ取られたで倒された時に何の心配もしてなかったけどな。あいつはの被願を果たすためにも絶対に必要なことなんだけど族長様はそれを分かってくれないのよ。
[00:22:13.200] あいつ仲間に入れるべ
[00:22:14.840] なあ。
[00:22:15.679] そうだわ。
[00:22:16.159] ていうかあいつの子孫探そうぜ。俺お前じゃなくてあいつの子孫の方がいいわ。
[00:22:23.000] ねえ、あなたたち後で族長様のテントに来てくれる?この話の続きはそこでしましょう。悪いんだけどお願いね。
[00:22:36.679] なんかでもあいつだけ等違ったな。
[00:22:38.880] 剣の位置すぎ。
[00:22:41.760] どうやってくっついてたんだ?あいつの剣。クラウドみたいな。クラウドもどうやってくっついてるかわかんないよな。あれな背中な。
[00:23:00.600] なんで背中にあれくっついてんの?剣どうやってくっついてんねん。
[00:23:04.960] ではどうしても探しに行くというのか。アイラよ。
[00:23:11.520] だって族長様神の最団が見つからない。今踊り手はまだ必要ないはずです。だから諦めないで探し続けたいんです。どこかにいるトゥーラの名を
[00:23:25.919] ね。
[00:23:26.360] マジで探す流れになんじゃないの?あのなんだっけ?あいつの名前な忘れた。ジョンじゃなくて竹をみたいななんだっけ名前?なんかあいつのあいつの子孫探すことになるんちゃうの?
[00:23:38.200] でもねアイラ伝説の引き手の血筋のものを
[00:23:42.679] んだっけ?ちょっとんだっけ?
[00:23:43.880] はか昔に耐えてしまったかもしれない。
[00:23:47.520] 伝説の引き手の地図じゃもうはるか昔途しまったかもしれない。誰が閉のかなねえ。
[00:23:56.120] じゃん。
[00:23:56.679] 誰じゃんか。誰が誰が途台させたんだよ。伝説の生きての秩かい。
[00:24:04.799] これまで探し続けても
[00:24:06.320] 本当にさ、
[00:24:07.360] 手がかり1つ見つかれなかったのだから
[00:24:10.559] よう。こんな時になってやっぱり来てくださなんて言えたもんだね。
[00:24:14.880] いえ、私は信じてます。大地のトゥーラがある限り引きてもきっと現れる。
[00:24:22.559] あ、ちょっと都合いっすわな。
[00:24:24.200] でもあれだな。マジでそういう流れになりそうじゃない?なんかあのジャンのさ、子孫をさ、見つけてきてさ、アイラと結婚してなんにも及ぶ思いがここで結ばれたのであった。
[00:24:39.720] うん。キーファが全部悪いね。
[00:24:41.720] 今のとこね。
[00:24:42.919] 私にはこちらの旅の仲間がいるのですから。
[00:24:45.399] おい、
[00:24:46.360] 安心ですわ。
[00:24:49.600] 何?旅の仲間じゃと。
[00:24:53.240] しかしその方たちは確かここに訪ねてきたばかりの
[00:24:58.679] 訪ねたばかり。
[00:25:01.240] ええ、あったばかりですけど私たちのことをとてもよく理解してくれて
[00:25:07.200] いや、そんなことないな。
[00:25:09.559] 一緒に大地のトゥーラを引きこなせる名主を探してくれるんだったわよね。
[00:25:13.559] そんなこと言ってないけどな。まあでももうなんかなんだよな。もうこうやって言われたら俺もうはいって言っちゃうだろうな。
[00:25:21.000] 騙されやすそう。
[00:25:22.440] 騙されやすいんだよ。お聞きの族長様筋出てる。確かにその方たちが一緒なら安心でしょ。
[00:25:29.760] あ、やっぱりそうでもさ、マジでそういうことなんかな。やっぱあのキーファの子孫だからやっぱキーファの強引さみたいのやっぱ受け継いでるよね。ちょっとね。
[00:25:40.799] うん。それはそうだが。うん。
[00:25:45.880] しかし、
[00:25:49.840] もし神の最大のあった湖が見つかるなら、なんとかそれまでに引き手を探したいの。そうしたら私今よりずっと心を込めて踊れるような気がするから。
[00:26:03.520] 分かったアイラよ。そこまで言うのならわしから
[00:26:08.720] 1つ試練を与えよう。
[00:26:12.080] ゴースポルテラミス今すぐテントに来るのじゃ。
[00:26:17.840] ドラクエのさ、街の名前ってネーミングセンス抜群だよなって毎回言ってるけどさ、あのこのあのモブの名前めちゃくちゃ適当だよね。ドラって毎回思うけど。ゴドスポルテラミスピンとかなんかモブの名前めっちゃ適当だよな。
[00:26:42.200] 愛、お前にはユバールの守り手であるこの
[00:26:47.520] 3兄弟と血闘をしても
[00:26:50.120] どんなやねん。
[00:26:53.399] ちょっと族長血闘ってのはどういうことだい?
[00:26:57.159] あ、ポルルも結構気の強い女だったな。
[00:27:01.279] 詳しい話は後じゃ。
[00:27:04.320] それから今のうちに行っておくが
[00:27:08.000] 手かけは一切無じゃからの
[00:27:11.039] 誰だっけ?日本で唯一血闘剤で捕まった人ってラッパーにいたよな。日本で唯一血糖で捕まった人
[00:27:19.360] 良いアナキーだっけ?
[00:27:22.080] 彼ら守り手を超える強さを我らに示して見せるのじゃ。
[00:27:28.440] でなければ旅のことは今後きっぱり諦めてもらうぞ。
[00:27:34.720] いいもこっち剣持ってるけど。
[00:27:37.880] そして旅のお
[00:27:40.120] なんでやねん。
[00:27:41.279] あなたもアイラと一緒に戦ってもらう。
[00:27:44.480] めちゃくちゃ自分勝ってや。俺ら今来たばっかやで。
[00:27:48.519] 大切なユバール族の踊り手をあなたに任せられるかどうか。
[00:27:55.600] 我らに試させてほしいのじゃ。
[00:27:59.279] いきなり厄介。言った。言った。言った。そうやねん。そうやねん。
[00:28:05.240] やっぱりマリベルちゃんはやっぱ言いて俺が言いたいこと全部言ってくれんねん。これマジでマジでその通りだもん。
[00:28:13.960] おお。降りたいなら降りろ。
[00:28:16.600] この野郎。
[00:28:17.080] どのみこんなおちびちゃんじゃ俺たちには勝てないしな。な、この野郎。
[00:28:24.200] はあ。
[00:28:25.240] あんたみたいな声のうるさい脳に負けるわけないでしょ。
[00:28:30.240] 可愛いね。
[00:28:31.399] いいわよ。やってやろうじゃないの。
[00:28:33.360] いいね。
[00:28:34.039] あんた
[00:28:34.480] やべ、俺転職してきちゃった。
[00:28:35.840] に叩きのめしてやりなさい。
[00:28:37.080] やべえ。転職してきちゃったよ。ここでやんのか。
[00:28:40.440] 話はまとまな
[00:28:43.760] 旅のお方よ。大した表なしはできないが。
[00:28:49.080] ま、ちょっとさ、ちょっと転職、あ、ま、あんま強くないと思うけど、あんま強くはないと思うんだけど、転職ちょっとショック変えるわ。戻すわ。何やら?外から物音が聞こえてくる。
[00:29:05.200] はーい。
[00:29:06.960] ここでもできるんだ。ここでも転職できるんだ。いい世の中になったな。ちょっとやっぱ踊り子に戻しとこう。
[00:29:29.600] 可愛い。このね、寝息き可愛すぎねえか。げえ。なんだこのクソ可愛い。
[00:29:39.840] なんか、なんかマリベルなんか体半分地面に埋まってない?なんかテクスチャがなんか地面に埋まってるな。タラ。あ、違うか。ドラクエ
[00:30:01.240] 4
[00:30:01.399] かと思った。あ、意外と美人だな。意外と美人だった。ごめん。
[00:30:07.120] 焼けモテフフェイスとか言って全然似てなかったわ。青筋ピンク
[00:30:16.720] こんばんは。
[00:30:17.600] ごめん。
[00:30:19.320] ク75。
[00:30:21.159] IQ75。あいつってIQ75
[00:30:23.960] なの?眠れなくて
[00:30:27.640] ねえ。せっかくだし話さない。
[00:30:30.960] おい、待って。なんだよ。おい、今度俺がこのパーティー抜けるっていう番か。
[00:30:40.840] 今日は本当にごめんなさい。はい。リビちゃんお疲れ。リさんお疲れ。
[00:30:44.519] あなたたちを面倒とに巻き込んでしまって。
[00:30:47.200] なんかこいつ仲間になるぞ。おそらく
[00:30:50.000] 強引なのは分かってるけど私も必死だったの。どうしても旅に出なきゃって。
[00:30:58.480] うん。まあ、あれだな。こうやって謝ってくれるだけ。おめえのひひじいちゃんよりはいいわな。
[00:31:04.279] 強引だけどちゃんとこうやって後で謝ってくれるから。あのキーファー謝らないから。
[00:31:10.559] 私たちバール族は筋はか昔の筋とても大きな使命を背負ってきたわ。
[00:31:18.399] ご先祖様も一族のみんなもゆバールのため果たすべき役割のため自分の全てを捧げてきたの
[00:31:30.320] けれど私は違う。
[00:31:33.120] 一族の使命に縛られたまま生きてい
[00:31:35.279] やっぱりさ、
[00:31:36.880] そんなのごめんよ。
[00:31:38.159] キーパーも同じこと言ってたもんな。そういうとこやっぱわざとやっぱこう重なるようになってんね。用できてはある。
[00:31:44.880] だから私は旅に出たいの。伝説の引を見つけて。
[00:31:50.080] お疲れ。を復活させることができればよ。な
[00:31:54.240] んでビュル吉田になってんねんよ。ちさんこんばんは。部屋めっちゃよいじゃん。部屋めっちゃいいじゃん。見た、見た、見た。
[00:32:02.360] シさんの部屋見てよ。ビルル吉田だってなんやねん。俺もなんか部屋あの模様がえしたくなったわ。
[00:32:11.840] や、
[00:32:13.760] 私は自由になれる。
[00:32:16.639] UR
[00:32:17.000] 族の使命から解放されて本当の生き方を探すことができ
[00:32:21.440] マジでこいつキーファや。
[00:32:24.639] 私は私にしかできないぐさんに命名さよ。先輩の言うことが絶対だから。笑笑。
[00:32:34.440] そは久会系やな。
[00:32:38.559] それは他のみんなも同じよ。自分の望むまに生きてほしい。私はそう願ってるの。
[00:32:51.159] 不思議ね。
[00:32:53.440] あなたには本音で話せちゃ。なんだか昔からの友達みたいだ。
[00:32:58.000] あ、いい。なんかでもいいなあ。
[00:33:00.200] 話を聞いてくれてありがとう。さ、明日に備えて今日はもう休みましょう。
[00:33:08.360] え、
[00:33:08.760] えっと、
[00:33:09.679] あらがキーファの子孫だっていうことはまだわかんないよね。まだわかんないってか、これ名言されてんのかな?
[00:33:18.559] そういえばまだ名前を聞いてなかったわね。
[00:33:21.159] あ、これでわかんのかな?わかんないかね。わかんない。てくれるかしら。
[00:33:25.960] 俺は連橋本連。
[00:33:30.399] 明日は大変な1
[00:33:31.399] 日になると思うけどどうかよろしくね。
[00:33:37.519] 顔の大きさ違いすぎるだろ。あいつだけ発動しだよ、ちゃんと。アイラを見送ったレは長身が寝ている。テントへ戻ると再びりに着いた。
[00:33:49.559] そしてよけた。
[00:33:55.480] 今日は血闘の日でございますよ。血闘の日
[00:33:58.519] でござす。
[00:34:02.720] 血糖剤で捕まえようにしてたな。
[00:34:06.639] バチバチに武装してくけど。デュエル
[00:34:09.560] デュエル
[00:34:13.599] 旅のお方皆
[00:34:16.000] 待ちかねておったぞ。
[00:34:18.919] では早速
[00:34:21.560] 血闘なんか待ちかねるなよ。命の奪い合いだぞ。皆のもの良いか?これよりアイラと旅のお方が守り手との血闘に望む。皆に集まってもらったのもこの戦いを承人としてかと見届けてもらうためじゃ。
[00:34:45.560] やばすぎ。血闘はここより西
[00:34:50.119] えって
[00:34:50.800] 海の見える丘で取り行う
[00:34:54.800] さ。すぐに移動するのじゃ。
[00:35:02.680] そこでやったらよろしいがな。
[00:35:05.320] な、蛮族すぎるな。娯楽が殺し合いしかないんだけど。先に行っておるからよ。
[00:35:11.240] やっぱりな、こいつら。
[00:35:12.119] やっぱ娯楽がねえんだろうな。これしか
[00:35:16.400] あなたに話した私の思いどうか叶えさせてほしい。
[00:35:20.560] はい。
[00:35:22.040] 頑張ろうね。
[00:35:24.040] でもなんかちょっと俺もなんかあんまり悪い気しないな。お前なんか
[00:35:27.320] ちょっとあんた
[00:35:28.280] え
[00:35:28.680] 昨日の夜って何のこと?
[00:35:30.480] あれ?
[00:35:31.520] あらさんと何かあったの?
[00:35:33.359] やいてんすか?あったよ。あった。
[00:35:38.480] ふん。
[00:35:39.880] 早くも仲良しになったって。
[00:35:41.839] 仲良しになったというか。仲良したというか。仲良しになったというかね。はい。
[00:35:45.400] もえ、
[00:35:46.640] 鼻の下なんか伸ばしてたら勝てるもんも勝てなくなるわよ。
[00:35:50.359] 本当に鼻の下だけなんですかね。伸びてんのはねえ。マリベルもえ、やっぱりこういうとこが可愛いんだよな。やっぱこういうとこなんだよな。やっぱりこういうとこなんだよな。マリベルたんが可愛いのは
[00:36:03.079] むくむくむくらさん綺麗な人だもんね。
[00:36:08.960] 2人っきりなんかで話したらそれは
[00:36:10.359] クラクラ来ちゃうわよね。けどあんまり
[00:36:12.000] いい気にならないでよ。私だって本気に
[00:36:13.520] なれば登せる。おららら
[00:36:17.079] 登せてもらおうか。
[00:36:20.280] 登せてもらいてえな。
[00:36:23.880] あら
[00:36:24.560] 登せてもらいてえな。登せてもらいてえな
[00:36:27.319] 。ガドラクエ
[00:36:32.160] クシの仲間会話だろうね、これ。ドラクエ
[00:36:35.560] 7クシの仲間会話来ました。
[00:36:39.839] あんまり気にならないでよ。あ、私だって
[00:36:41.680] 本気になればあんたを登せさせること
[00:36:43.359] ぐらいわけないんだから。来たな。来まし
[00:36:46.400] た。ありがとうございます。もうそれで
[00:36:50.480] それを想像したいけど僕はもうここにある
[00:36:53.880] んだよな。
[00:36:55.119] にどう考えてもキーバの墓神の守踊り手そして守り手の一族ここに眠るこんばんはすぎる
