[00:01:40.439] エボ
[00:12:51.120] よ、余裕余裕。リビさん、こんばんは。シャス。
[00:12:53.760] うス、オナシスクリアしやす。
[00:12:55.560] うスオラシャス
[00:12:56.639] クリアしやすってことでやっていくぜ。なんか色味色味こんな感じだったっけ?色味こんな感じだったっけさ。やってくぞ。やってくぜ。
[00:13:09.839] こんばんは。
[00:13:10.639] ランディもお疲れちゃん。ランディもお疲れ。今日クリアしますよ。今日クリアします。お神
[00:13:18.920] BGM音。どう?音
[00:13:20.720] なんか色そ薄い。勝ちに行く。
[00:13:22.760] え、なんか色そ薄いよね。そうだよね。
[00:13:24.440] なんか、なんかちょっと待って、ちょっと待って。
[00:13:27.519] 配信復帰したての時は頻度減るって言ってたけどつも通りになって安心したよ。うん。シスクリアしやすいましょう。サラダバー今だ。今だけ、今だけ。え、フィルター色補正。いや、おかしいな、
[00:13:42.680] これ。なんか色おかしいよね。
[00:13:44.920] あ、こんな感じかな。こんな感じ。どんな感じだったっけ?前回俺さ、変えちゃったからさ。
[00:13:53.720] あ、こんな感じかな。
[00:13:55.000] 残り11万。
[00:13:56.639] こん、こんな感じだった。こんくらいだったっけ?こんくらい。色味。色味忘れた。色味忘れた。こんな感じだったっけ?こんな感じだったっけ?こんな感じだった気がするわ。もう理配信やべえ。あともうちょっとで溜まっちまいそうなんだけど。
[00:14:23.519] もうちょっとぶっちゃけもうさ、あんま覚えてない操作感。ちょっと待って。やべ、やべ、やべ。あれ、こんなんだったっけ?あ、てかもうちょっと待って。あれ、まずいな。ちょっと
[00:14:36.560] 1回リセットしとこうか。
[00:14:37.360] 早いて。
[00:14:37.920] ちょっと早い早い早い早い早い早い早い早い。もう覚えてない。なんか操作感覚えてない。
[00:14:43.480] 下手っぴ
[00:14:44.399] ちょっと待てよ。
[00:14:48.360] なんかさ、どんななんか覚えてないんですけど、もうモンハで上書きされた。コミュニティーチャレディ
[00:15:00.519] 75%。
[00:15:01.399] もう行け。行っちゃいますやんね。こいつうざい。
[00:15:05.959] 1
[00:15:06.240] ヶ月ぶりくらいの感覚。
[00:15:09.079] だいぶうざいぞ。
[00:15:11.120] これは最終回もう1つ必要かな。ログボ。
[00:15:17.440] いや、ちょっと待って。おい、おい、おい。
[00:15:22.720] モンハン配信次かな?
[00:15:24.639] モンハ配信はま、どうでしょうかね。あいつさ、あそこにずっといんのうざくね?あそこにいんの?今うら、もうクリアするよ。本当今日は
[00:15:44.079] 倒せない系。
[00:15:45.720] あれ?倒さ届けなかった。届かないんだ。
[00:15:47.519] 攻撃が。ちょ、これどのタイミングで行く
[00:15:50.000] ねん?どのタイミングで?いやいやいや、
[00:15:52.800] ちょっと待って。どのタイミングで?危ね
[00:15:54.880] 。よしよしよしよしよしよしよしよしよし
[00:15:58.079] 。またこいつのリード多いな。
[00:16:05.240] よしよしよし
[00:16:09.040] よしよし。敵緑色多いな。
[00:16:13.720] ぶっちゃけあと4捨てだからな。4
[00:16:15.680] 捨てだからな。ああ。何やってんだよ。なんかちょっと待って。なんかさ、なんか画面おかしいよね。
[00:16:29.279] 冒険の剣並のリーチだ。
[00:16:30.959] なんか画面さ、こんなんだったっけ?シャープってどんくらい切れった?いや、もう覚いやでもこんなもんだよな。
[00:16:41.639] わかんないけど、こんなもんだったよね。いや、なんかこんな感、こんなもんだったよな。前回もな、こんなもんだよな。多分な、ちょっとね、あまりにも画質がやっぱあの
[00:16:52.000] 目がセカジーになっちまった。
[00:16:53.880] もうやっぱもうみんながやっとこのさ、古いドットウェイに慣れてきたのにセカジもあれでもさ、なんか今の時代になってさ、見たらさ、割と
[00:17:08.199] このだったと思うけど、このステージが特別にくい。
[00:17:11.520] そうだね。そうなんだよね。まだこのキャラクターもさ、同じ同計色だから。危ね。
[00:17:22.120] あ、これ上行った方がいいのか?
[00:17:26.400] 上行った方が良さげだな、これ。
[00:17:29.240] いや、曲いいね。相変わらず。なんかもう
[00:17:30.960] 寂しいよな。この曲聞けなくなると思うと
[00:17:32.600] 。
[00:17:35.880] ああ、押せないんですけど。
[00:17:40.360] 押せないんですけど。
[00:17:44.440] しょうがねえな。これで行くしかねえか。
[00:17:52.919] よし。いや、これ終わってもちょっとこれ今日クリアしたするじゃん。ちょっとまだレトロゲーやりますわ、私。まだまだレトロゲーやりたい欲がたまらん。まだまだレトロゲーやります。あと
[00:18:07.200] 2本はレトロゲームやるな。いいよ。
[00:18:09.880] 無理してないわ。無理してないわ。あと向こう
[00:18:15.640] 2
[00:18:15.799] 本ぐらいはレトロゲーやらせてレトロゲー擦すらせてもらいますわ。
[00:18:32.600] でででああ、ここ木なのか。ててててほ
[00:18:43.799] 人生のエンドロールこれにしたい。
[00:18:46.720] どういうことだよ。
[00:18:48.120] 人生のエンドロールまでも確かにこれ葬式で流してほしいよな。葬式で俺これ流してもらおう。いましすぎる。あ、違う。こいつ。そうだ。こいつ空歩けるんだ。
[00:19:06.480] 確定。
[00:19:08.280] お、やべ、やば、やべ、やばい。やば。待って。意外と意外とそういう感じ。いや、でも金めっちゃあるから大丈夫。意外とそういう感じね。
[00:19:16.600] 葬式で流すにはハッピーじゃない?
[00:19:19.360] これハッピーか。この曲結構なんか結構なんかこのあ、熱い
[00:19:26.080] BGM
[00:19:27.720] よし。こいつこうこうこう。こいつこれがあるからいいんよ。こいつこれがあるからいいんだよな。こいつができちゃうから。大行くね。
[00:19:43.440] ならギリ行けるか?
[00:19:46.559] うスの曲。
[00:19:50.080] こんつは。
[00:19:51.320] お疲れちゃん。いもこお疲れ。今日は涙の最終回よろしくお願いします。クリアするよ。今日クリあるよ。やぱ最終ステになるとこのこのボスも強えっすわ。
[00:20:17.480] クリア詐欺す。
[00:20:20.880] クリア詐欺は前回したんだ。今日はもうタイトル見てる通り最終回
[00:20:24.559] 2なので。
[00:20:26.240] 最終回2なので金に物言わせて
[00:20:36.880] いつも見通し甘め
[00:20:40.000] 本当になのあのセカジー配信は本当に見立てが甘すぎたね。うん。
[00:20:48.480] 6時間ぐらい配信して
[00:20:50.280] 5
[00:20:50.480] 個ぐらいしかあのクエストクリアできてなかったかもな。
[00:20:56.679] 5
[00:20:56.919] ステージぐらいしかクリアできてなかった。ほとんど休憩時間。
[00:21:07.440] いつもいる人たちは喜んでたけどね。笑
[00:21:10.559] 申し訳ねえ。申し訳ござませんでした。
[00:21:13.000] ちんちゃんとの絡み見ればそれで満足。あ、
[00:21:15.559] ありがとう。そう、そう言ってくれれば助かりますわ。
[00:21:18.760] らしい配信だった。
[00:21:20.080] らしい配信ではあった。ま、確かにな。茶まげらしさはあった。
[00:21:28.360] 復帰語1番おもろかったかもしれん。
[00:21:30.679] 本当かよ。マジでもっとあるだろ。俺の面白い配信なかった。いや、これ
[00:21:42.360] 弾ゲーム史場である。
[00:21:44.000] 嘘だろ。だるいだるい。
[00:21:54.520] いや、これさ、思ったんだけどさ、ミッド
[00:21:56.600] 君が強いのって木の時だけだよな。
[00:22:02.240] 正味
[00:22:04.000] ノーマルの時はクレスの方が安定するまで
[00:22:07.520] あるの。
[00:22:15.640] あ、これキー取ろう。木取ろ。キー取ろう
[00:22:17.240] 。
[00:22:26.720] ちょ、うまいこと、うまいことさ、これ
[00:22:32.440] ちょっと頼む。いや、うまいこといけねえ
[00:22:34.840] な。オ、
[00:22:37.520] よしよしよし。これよ、これ、これ、これ
[00:22:40.279] 。そ者も最強よ。
[00:22:47.200] なんかもうなんか操作感忘れてる。操作感
[00:22:49.960] 忘れてる。めっちゃむずい。はい。はい。
[00:22:52.880] オケ。もう死にそうになってますやん。
[00:22:57.520] よしよし。
[00:23:07.159] ああ
[00:23:12.279] 。
[00:23:15.000] このエリア移動した途端に置いとくのやめ
[00:23:17.760] てほしいわ。
[00:23:21.360] すぐドる。
[00:23:23.679] 俺、俺、うん、もう俺、俺みたいなすぐ
[00:23:25.480] 怒るから。
[00:23:36.880] こう結構な迷路だよな、ここな。
[00:23:40.360] あれなんかどこだったっけな。
[00:23:43.520] 前回なんかめっちゃはまったとこあったよ
[00:23:45.320] な。なんかあのここだったっけ?なんか
[00:23:48.360] ボスの前のさ、あのリフトわけわかんねえ
[00:23:50.480] とこあったよね。めっちゃむずいとこ。
[00:23:52.840] 結局そこなんだよね。そこクリアできないと永遠に積むんだよな。ああ、もう、もう
[00:24:06.799] 命を借り取る形のやつ。
[00:24:08.840] そうそうそう。童貞を殺すな。童貞を殺すリフト。
[00:24:14.720] 危ね。ぷんぷン。こっち行こう。
[00:24:22.360] どこが正解だかわかんねけど、ここでも愛のステージだから。アと
[00:24:28.880] 稽古があれ来てたらどうする?
[00:24:30.720] あれどうだっけ?何?稽古があれ来てたらだいぶキモいけど。だいぶキモいよ。どうするって?なんだ?どうするって?どうしよう?どうもしない。脱げば脱ぎなって言うけど
[00:24:48.840] 邪魔殺されちゃう。
[00:24:52.320] どどじゃないやいじゃないやいまだりえんやるな雲な
[00:25:22.960] これ悪魔ドラキュラのあのあれに似てるな
[00:25:25.080] 。なんだっけ?あのメデューサヘッドだな
[00:25:28.399] 。今思ったな。これ
[00:25:32.880] だるいな。あいつ
[00:25:37.799] 待って。だるいだるいだるいだるい。お前
[00:25:39.720] らだるい。ほんまに。
[00:26:07.200] 最近雲増えてきた。
[00:26:11.039] 何がその季節的な話で最近虫増えてきたよな。最近虫出てきたよね。
[00:26:20.520] この間だもさ、ベランダでタバコたらさ、バカでけえ金分みたいのがさ、ブわ
[00:26:32.080] 声でっか。笑笑ダブル
[00:26:36.360] はあ
[00:26:38.720] あ、
[00:26:42.960] マジですか、これ。
[00:26:56.360] だる。
[00:26:59.880] なんかまた今日ウィットが足引っ張りそう
[00:27:01.840] な気がする。前回もそうだったんだよな。
[00:27:05.240] ウィなんかね、復帰したてはね、あのウ、
[00:27:08.720] 久しぶりになってウィット
[00:27:11.640] ウィッとかね、足引っ張るんすよ。はい。
[00:27:13.880] こうやって。あ、違う。間違えた。
[00:27:15.520] これ、こいつ歩けるからな。そ、
[00:27:16.480] 全部ビットが悪いよな。
[00:27:18.039] そう、全部ビットが悪ま、いいや。くせに最後だけ全部持っていきそう。
[00:27:37.760] ちょ待って。よしよしよしよしよしよしよしよしよしよし。
[00:27:46.559] ちゃう。ここ、ここちゃうねん。ここ
[00:27:47.679] ちゃうね。これ下が正解です。ここ、これ
[00:27:50.240] 実は下が正解。ここはなんだ?ど取って
[00:27:53.000] しまうから。ここ行ったら覚えた。覚えた
[00:27:56.120] 。ほらな。
[00:28:02.960] ちょっとどいて。
[00:28:06.559] ちょっとどいて。ちょっと。
[00:28:11.039] おい、こいつ
[00:28:13.159] 女。や、
[00:28:16.440] ツンツン。
[00:28:17.640] ほ、危、危な、危ない。よし、よし。あの鳥マジでゴミだろ。で、ここもでオッケー。ここも楽を取らないように行こう。木なんよ、やっぱり。
[00:28:48.159] これ木なんよ。
[00:28:50.360] やっぱ木なんよな。お、
[00:29:00.039] 100円ゲット。いいね。
[00:29:02.640] うえ。
[00:29:03.360] アリルさんお疲れ。アリルさんお疲れ。
[00:29:06.039] ああ。
[00:29:11.519] もうなんで置いとくんだよ、そんなとこに。取ってまうやん。そんな
[00:29:31.600] 残キ1頑張れ。
[00:29:35.000] ザま、残キ1
[00:29:36.080] 残期とかないんだけどね、これ。うん。
[00:29:37.600] 残期とかないんだけど。あ、これ、
[00:29:41.880] これ使いづれた、こいつ
[00:29:54.919] ちょっと待って。これ使いづらい。これ
[00:29:57.360] 倒されんで。これかまそう
[00:30:05.080] ね。残期というか残り人数ね。あ、でも
[00:30:07.799] これはこれで、あ、これはこれで安定すん
[00:30:09.399] のかもしれない。
[00:30:12.919] ちょ、届か。いや、もうな。も、
[00:30:18.120] 落ち着けよ。
[00:30:32.320] ちょっともうこれくるくるくるやってる
[00:30:35.720] 途中はなんか他の操作できねえんだよ。
[00:30:41.600] なんかさ、くるくる直後にジャンプでき
[00:30:43.679] ないの何?なんかなんかおかしいんだけど
[00:30:45.799] 。なんかくるくる直後になんかさ、
[00:30:49.559] ジャンプするな。
[00:30:59.080] なんでやろうな。ちょっとむず。
[00:31:04.279] ちょっとこいつこれここきついぞ。
[00:31:20.760] ほら、なんかおかしいんだよ。ここん時
[00:31:22.559] だけ。ジャンプがなんかちょっと遅れるん
[00:31:25.519] だ。あそこだけ。
[00:31:30.240] おら。なんでこれ?何ここ?なんであそこ
[00:31:32.760] だけなんかジャンプおかしくなんだよ。
[00:31:42.480] なんかあそこだけジャンプおかしくなる。
[00:31:49.880] いや、無理やろ、これ。
[00:31:55.080] 下がってる最中の足場だから。
[00:31:59.679] ほら、なんかちょっとなんかあそこだけ
[00:32:01.760] なんか引っ張られるんだよね。
[00:32:16.639] ジャンプできるよ。完成聞いてるのか?
[00:32:20.919] いや、そんなことないと思うけどな。
[00:32:29.799] ほら、なんかおかしい。今おかし、今、今
[00:32:31.720] 完全におかしいだろ。何なんだよそれ。
[00:32:42.120] 怖。
[00:32:49.840] どれねえし。
[00:32:52.240] ええ、なんなのここ?
[00:32:55.200] うさ。
[00:32:57.320] ちょっともうな、何なんだよ。ちょっとね、世間は許してくれませんよ。
[00:33:10.720] なんかおかしいよね。何これ?おかしいよ。なんだろここ?
[00:33:23.960] 笑笑。え、なんすか?
[00:33:25.840] い、もうなんかおかしくない?本当にこれちょっとなんな
[00:33:34.880] そこだけ重力強め。そこだけなんか足がなんか引っ張られる。ほ、ここジャンプできるんだよ、ここは普通に。あ、なんかわかんない。あざす。
[00:33:45.159] こんばんす。
[00:33:46.480] え、ちょっとごめん。え、ちょっとなんか待って。ねえ、なんで出ないの?ごめん。
[00:33:53.120] ドねるの?
[00:33:54.120] ああ、ちょっと、
[00:33:55.279] ちょっと誰だったんだろう?ごめん。
[00:33:57.559] の音が
[00:33:59.440] ごめん。誰だったんだろう。
[00:34:01.399] ありがとうして。
[00:34:02.840] ありがとうございます。誰だったんだろう。ごめん。なんか通知切れてた。ごめん。え、誰だったんだろう。確認しよう。お金投げてくれた人は大切にしたい。
[00:34:11.879] パクパク。ウェディドけ。
[00:34:13.280] お金投げてくれた人は、あ、モコラだった。ありがとうございます。もコラが
[00:34:16.520] 100
[00:34:16.760] 円くれました。ありがとうございます。ありがとう。ありがとう。
[00:34:22.919] もこらにもこら、あのさ、もこらさ、あのモンハンのさ、じんちゃんにさ、作ってくれたじゃん。
[00:34:29.480] 3D
[00:34:29.760] プリンターで。で、あの、配信で渡してさ、あいつなんかすげえって言ってたじゃん。あいつ忘れて帰ったよ。あいつ忘れて帰りました。うん。
[00:34:41.200] ダブル。笑笑。あいつ、
[00:34:45.399] あいつ終わってる。
[00:34:46.000] 笑笑。して興味なかったんやな。笑笑。
[00:34:53.639] まあま忘れて帰って俺があの10分ぐらい
[00:34:57.000] して呼び戻した。おいてお前これ忘れてん
[00:34:59.160] ぞつって。ああ、それは持ち帰ないとて
[00:35:02.800] 言って戻ってきたけど。
[00:35:07.440] ちょっとあのモンハンマリオ
[00:35:09.480] の映画が楽しみすぎて忘れちゃったみたい
[00:35:12.079] 。許してやって。許してやってな。人はい
[00:35:16.359] 許やな。
[00:35:18.680] マリオの映画が楽しみすぎて。
[00:35:21.640] 止まったわけじゃ。オープン。
[00:35:27.160] え、止まった、止まった、止まったよ。止まったけど止まって次の日マリオの映画行って、またうちに来るよねつって、あの、一旦荷物置いてったんだけど、すっかり忘れてそのまま帰ろうでしょ。
[00:35:40.280] 回3D
[00:35:40.839] プリンター買ったらまた何か作るわ。笑。
[00:35:45.040] ああ、そういうことね。
[00:35:46.119] 頼めください。
[00:35:53.440] 怖ええ。いや、怖いよ。乗れねえよ、これ。怖くて。あぶな。
[00:36:09.400] 今終わり見えた。
[00:36:10.520] 今終わり一瞬見えたよね。なんかうい。お疲れ。ぽぽピ。よし。オッケー。
[00:36:17.359] MD、こんばんは。MD
[00:36:18.359] さん、こんばんは。今日は右クリアするよ
[00:36:22.000] の日です。今日は右クリアするよの日です
[00:36:25.280] 。最終回2。
[00:36:30.800] これじゃ勝たれへんで。
[00:36:33.680] これじゃ語れへんの?ちゃうの?これ
[00:36:38.440] 。これじゃ勝たれへんで。これで勝てんの
[00:36:42.359] かよ。
[00:36:45.599] いや、もうタッチ行けないもん。もう
[00:36:47.160] 終わりじゃねえかよ、これ。
[00:36:50.160] う、もう上行けないもん。これどうすんのよ。
[00:36:54.400] 邪魔なら勝ちそう。
[00:36:57.720] いや、もうなんとかじゃ。いや、これどうすんの、これ?いやいや、そこ食われたらもう、もう終わりよ。申し訳ないけど。
[00:37:19.440] いや、もうそゴミやこいつ。
[00:37:31.520] いやいやいやいや、これはまずいなあ。
[00:37:41.160] うん。ちょっと待って待って。これどう
[00:37:42.200] しよう。これ勝てんのかな、これ。
[00:37:51.040] ここは落ちた。落ちちゃまずいんでしょ、
[00:37:52.359] これ。
[00:38:01.119] やばいぜ、これ。やばいぜ。やばいぜ。
[00:38:05.520] やばいぜ。それ
[00:38:10.800] やっ
[00:38:14.079] で。あ。
[00:38:19.160] 笑笑。あか、あかん。そんなんやで。そんなんやっちゃかやんか。そんなんやっちゃあかんやん。
[00:38:30.319] ホールインワン
[00:38:32.880] ひどいね。ひどい。行きますわ。
[00:38:47.359] もうむずいな。まあ、もうちょっとここからで許して。もう今日はここからにさせてください。いや、もうちょっと頼むわ。もうすー。あの、ぶっちゃけこはにしたらええ。
[00:39:13.560] もうこっちに行こう。
[00:39:16.160] ここはもうね、クレさん、クレさんで
[00:39:18.760] くっさんで行った方がいいや。ぶっさんで
[00:39:23.880] もこもこれ
[00:39:37.400] 危な
[00:39:39.079] 危な危な。
[00:39:44.839] いや、こいつ。
[00:39:57.960] いや、それはそんなか。うう。
[00:40:04.920] もう
[00:40:13.079] パクパク。
[00:40:22.200] 絶望的な雰囲気が漂ってまいりました。無理やろ。
[00:40:38.280] 流れ悪いな。
[00:40:39.680] 流れ悪いね。
[00:40:52.760] おはこんうすみングレポう。こんちす。うすこんちゃっす。今日クリアしやす。はいもわかんやん。そんなどうしろっちゅうねん。これあ届かないしょ。
[00:41:28.839] むず。ここなんやねん。
[00:41:52.480] ちょっともんな
[00:41:54.640] チまドベリーベリーてミングレー
[00:41:57.359] ちょっと勘弁してちょっと勘弁してくださいよ。これねえのタコどう倒すねも今日クリアるか?
[00:42:05.760] いや、ちょっとちょっと勘弁して。もうもうクリアさせて。
[00:42:08.800] ほんま、もうクリアさせてくださいよ。
[00:42:12.640] もうクリアさせてください。頼むから。
[00:42:25.440] この無言のロード時間。よし。いや、もう
[00:42:29.160] クリアさせてよね。もういいじゃん。
[00:42:34.680] ちょっとさ、先にさ、こっち行こうか。
[00:42:39.720] クリア代行もクりクリア代行もクり行かせくれよ。モクり笑笑
[00:42:49.480] もう1
[00:42:49.680] 回行こう。代行ちゃうね。わしがクリアするね。違うとこから行こうぜ。
[00:43:12.920] 木取とこ木。よし。これいの。
[00:43:18.839] これいいの。あ、なんなんなら、なんなら
[00:43:21.119] ここで木を取って戻ったっていい。
[00:43:23.960] 戻ったい。危ないよ。
[00:43:28.319] 木を取ればいいんだよ。お下か。
[00:43:32.160] ここの戦法あるんじゃない?ほら、
[00:43:35.920] これ今日はシャスをクリアしたいと思います。
[00:43:38.839] では事前にクリアしたデータがあるのでこちらを使いましょう。
[00:43:42.880] 天才だ。
[00:43:43.359] これで天才だろ。これいいね。おら、これだよ。
[00:43:50.280] 勝ったな。
[00:43:51.400] 勝ち申したね。これでしょ。
