[00:00:29.080] あ。
[00:09:17.760] もうさすがに
[00:09:21.000] やれや
[00:09:21.880] やんねえよ。もうじ
[00:09:26.640] ぶっ殺して終わりだよ。もうもう正味もう
[00:09:29.519] 竜王とこのローズバ、あのなんだっけ?
[00:09:31.560] ミルタンクがどうにかなりそうなんだけど
[00:09:34.880] どうにかなると思うんだけど
[00:09:37.640] までもなんかなんかパーティー3匹
[00:09:39.440] ちょっと最強にしたいなと思って
[00:09:49.079] まだこれもう21回まで行くのもう
[00:09:51.880] ドパ書きだからもうさもう倍速になれちっ
[00:09:55.160] てだめだも
[00:09:58.120] ミルドラースかけや。
[00:09:59.720] かっこいい。お、あのね、俺もあんまり好きじゃなかったんだけど、作ってみたらかっこいいっていう。作ってみたらかっこいいし、めっちゃ強いっていう。ドラ
[00:10:14.519] 結構いいんだよね。体型もちょっと俺に似てるしな。
[00:10:19.320] ま、こいつがレベル74
[00:10:21.320] っていう時点でどれだけ邪魔だ。どれだ、どれだけあれだかっていう
[00:10:28.160] 74
[00:10:28.760] レベだからね。こいつのそ、そう経験値えぐいんだから。いや、もうこれとしんない。もう
[00:10:37.959] 21回までさっさ。
[00:10:39.600] 伸びるか。
[00:10:41.279] もう多分これ
[00:10:42.800] 99まで行ったらカストすんじゃね。
[00:10:45.200] だって攻撃とHPとMP乾燥してるからね
[00:10:48.040] 。477万ポイントも経験値持ってんだぞ
[00:10:51.839] 。
[00:11:00.160] も、今日はマジで本当に何がなんでももう
[00:11:02.959] 最終回ね。
[00:11:05.279] もうもうもうもう最悪今日買ってなくても
[00:11:07.519] これ終わり。このドラゴンクエスト
[00:11:09.240] モンスターズあのもうやりました。16
[00:11:13.800] パート目だから。
[00:11:21.959] ま、だからジャミ
[00:11:23.440] さすがにね、
[00:11:24.519] 指導を作って指導をちょっとレベル上げしてごっちゃんですって感じでま、でもそれでも多分結構時間かかると思うけどね。それでも結構結構レベル上がるよ。多分レベル時間かかるよ。
[00:11:45.360] マジで1日中やってんだからこれ
[00:11:55.240] なんか何?電気勝手につくな。
[00:12:03.320] あ、かもすげえねみ。なんか寝ちゃったん
[00:12:05.760] だよね。寝ちゃいました。
[00:12:07.639] 今日もうちょっと本当は夕方夕方ってかまあ
[00:12:11.440] 8
[00:12:11.639] 時とかからかから配信つけようと思つけれたんだけどけようと思ってたら思上げながら寝てたわレベル上げながら寝るってやばくない?あったから
[00:12:23.199] すんまげおいっす。
[00:12:24.360] はい。ラんでお疲れ。もう今日マジでもう何がんでもこれで終わり。もうもう泣いても笑ってもこれで終わりな。
[00:12:39.760] え、
[00:12:51.440] 俺もドラクエゴのレベル上げてた。
[00:12:53.680] ああ、ドラクエ5
[00:12:54.279] やってんだ。いいね。ドラクエ
[00:12:56.480] 5やってんだ。今めっちゃいいじゃん。
[00:13:01.560] ま、俺のパーティーのこの
[00:13:03.639] 1
[00:13:03.760] 番左にいるのが、ま、ラスボスなんですけどね。
[00:13:05.880] ちょっと前。
[00:13:06.560] うん。あ、ちょっと前か。
[00:13:10.000] 今ポケモンしながら見てるわ。
[00:13:12.240] え、綾たももうドラクエ終わったんだ。どんどん俺より先にみんなドラクやめてくじゃねえか。どんどんみんな俺より先に
[00:13:23.120] 1のレベリングしながら見て。
[00:13:24.760] ああ、いいね。いいね。
[00:13:26.320] ドラクエ1
[00:13:26.880] なんかやってんの?今何?ファミコンドラクエ
[00:13:29.360] 1
[00:13:30.959] なんか渋いね。ドラクエ
[00:13:32.760] 1を配信しかも
[00:13:35.360] 3プロもテリワも終わっちゃったのよ。
[00:13:37.720] あ、
[00:13:38.959] さすがにハド2Dの
[00:13:40.440] ああ、HD2Dね。あ、
[00:13:43.160] HD2Dの1からやってんだ。8
[00:13:46.040] やります。
[00:13:46.720] あ、いいね。
[00:13:49.160] H2D何気面白かったかな?俺特に
[00:13:51.519] 2めっちゃ面白かった。いらない。
[00:13:56.279] メダパニ。え、メダパニいらない。レベル上がるね。なんかこの
[00:14:10.000] 1
[00:14:10.160] が思ったより難しくて苦戦してます。
[00:14:13.639] めっちゃおもろいよ。めっちゃおもろいて。めっちゃ難しかった。うん。タ慢だからね。ボス戦はそのくせにあっちなんかグループで出たりするじゃん。
[00:14:25.880] ボス戦じゃないか。みたい。
[00:14:27.600] うんぽ。今日はもうポチャムだわ。こダブりこんばんは。もう今日はうんポチムだわな。うんポチャム。えーなどうすっかな?どう
[00:14:44.800] 開示の1番くじやってるよ。
[00:14:48.440] あ、知ってる、知ってる。あの、A
[00:14:49.800] 賞があれでしょ?A
[00:14:51.160] 賞があの、あの、変ななんだっけ?あの悪魔のパチンコみたいなやつな。なんつったっけ?あの悪魔のパチンコみたいなやつとかえ、え、
[00:15:01.120] 沼、
[00:15:01.600] 沼、沼、沼
[00:15:02.959] マジで欲しい。
[00:15:04.320] 沼のやつでしょ?沼って。
[00:15:09.360] 笑笑。
[00:15:10.079] 沼ってるのがまた面白いな、名前が。沼。
[00:15:13.920] いいな。
[00:15:14.759] いいよな。欲しい。俺も。あれ、
[00:15:16.560] 1回77円なんでしょ、あれ。
[00:15:18.759] ゲコマだよな。
[00:15:21.000] 1回77
[00:15:26.399] いいな。
[00:15:29.279] 平日に狙う。
[00:15:31.000] やっぱもうあれだよね。そういうさ、
[00:15:33.880] 1
[00:15:34.079] 番くじもう今普通にできないもんな。すぐなくなっちゃうもん。
[00:15:40.040] あ、やばかったんだ。
[00:15:42.360] え、他何があるの?他何があるの?沼以外にカジの商品って何?え、カジのフィギュアとかあんの?怪ジフィギュア
[00:15:54.839] グラスめっちゃ良かった。
[00:15:56.639] あ、ええ、グラス。え、グラスって何?どういうの?ええ、なんかさ、種キみたいなないの?種きみたいなゴミみたいなやつ。明らかにこれゴミだみたいな。
[00:16:07.519] の怪示のフィギュアもある。
[00:16:09.120] あ、それくっつけて。
[00:16:11.360] あれできるみたいなね。へえ。え、グラスってあのペコペコの
[00:16:20.000] さんこんばんは。ミルド。
[00:16:21.720] あ、どうもこんばんは。あのやっちゃいました。やっちゃいました。せいさんごめん。あのプレイ時間がね、あの
[00:16:29.880] 12時間増えてたわ。裏でやったの12
[00:16:31.959] 時間やってた。さすがにやりすぎたかもしれ。
[00:16:35.839] ラスとどんぶりもある。
[00:16:37.279] はあ。ガチガラスグラス。ふざけんなよ。
[00:16:40.319] あのペコペコのあれにしろよ。ペコペコのあの絵柄も薄くて全然見えねえ。あのドラクエ
[00:16:49.360] 7の
[00:16:49.639] タンブラにしろ。
[00:16:50.680] タンブラーにしろよ。あのプラスチックの。あ、いや、いいとこにいた。いいとこにいた。もう今日はね、もうね、あの指導作って王とミルドラスト指導
[00:17:03.240] 3人であのモンじに挑もうと思います。
[00:17:10.839] それで終わりや。枠が祭のキーホルダー。
[00:17:14.480] へえ。ゴロさのキー。し頃祭。あれ
[00:17:20.000] 4と5と6しかないやつね。
[00:17:26.280] 45
[00:17:26.919] 歳のキーホルダー。いいな。いいなあ。
[00:17:32.799] 3
[00:17:33.000] Dプリンターで不正サイコロあるよ。
[00:17:35.160] やばすぎでしょ。
[00:17:41.200] 精神統いてらない。このファーストもね。
[00:17:49.360] せっかくですから文字挑む時には飛ばします。
[00:17:52.400] ま、そうだね。そうだね。
[00:17:56.360] うわ、いいカードいいなあ。
[00:18:01.159] てかラバキっていう時点でもうなんか
[00:18:04.760] あれ携帯クリーナーじゃないの?
[00:18:08.080] ガラ系の携帯クリーナー。
[00:18:12.120] しかも777円と俺1回800円より
[00:18:14.880] 安いじゃねえか。
[00:18:19.080] ドラクエはより高いからね。800
[00:18:21.559] 円だからね。1回が違う。
[00:18:25.120] いやあ、ちょっとドラクエ福引き所さんにはちょっと時代にそんなのあるわけない。
[00:18:31.240] あるんだよ。それが例は最新が、令は最新版スマホがあるんだよ。例は最新版でも
[00:18:42.200] 1回800
[00:18:42.960] 円く時でガラ系のあのガラ系の画面
[00:18:47.440] クリーナーが入ってるくじがあるんですよ。信じられないだろう。
[00:18:57.799] 俺あれなんかすっごいなんか
[00:19:01.159] A賞を残ってるぞ。やるぜつやってけどよくよく考えたら
[00:19:04.159] A
[00:19:04.320] 賞もよくわかんねえんだよな。石板石板フィギュアニコメラもゼック
[00:19:10.600] A
[00:19:10.799] 賞も今思えばそんな欲しくねえだろ。あれ板ギュアっていうなんかドラクエ
[00:19:16.080] 7
[00:19:16.280] に出てくる石板のなんかフィギュアっていう
[00:19:19.360] あれ食らってドラクエやれるのすごいね。
[00:19:21.799] 石板
[00:19:24.000] だったらなんかまだマリベルのフィギュア
[00:19:25.760] とかさ、主人公たちのフィギュアとかだっ
[00:19:27.679] たらめっちゃ良かったけどさ、よくよく
[00:19:29.559] 考えたらA賞もあれいらねえな。
[00:19:33.159] 石板って
[00:19:41.240] いそれを食らってもうなおやりましたよ。
[00:19:43.440] ドラクエ7ゲームはおもろかったけどね。
[00:19:46.640] ゲームはもちろん面白かったけどちょっと
[00:19:49.080] 1番くじひどかったな。
[00:19:53.559] オルゴDミーラならな。
[00:19:55.960] あれ?オルゴD
[00:19:56.679] ミーラのフィギュアがラストワンなんだよ。普通それ
[00:19:59.200] A賞だろ。普通それ
[00:20:01.400] A
[00:20:01.600] 賞だろ。ねえ、メタルキング出ない。ワイプ大スキャロ。もう今日終わり。もうずっとレベル上げして。
[00:20:18.440] デッカーレベル上げ魔王系で
[00:20:20.880] 1
[00:20:21.039] 番かっこいいのなんや?どなた?これで最後にしますね。全然最後にしなくていい。
[00:20:32.840] 1番魔王系で1
[00:20:34.039] 番かっこいいの。ギーガースラッシュ魔王系で
[00:20:42.080] 1番かっこいいのはなんだろうな。
[00:20:49.080] ちょっとあのあれだな。まだ上がるよ、レベル。ちょっとこのジャミラスがレベルまぐらいまで育てよっかな。
[00:21:04.520] おす、おす。
[00:21:05.760] おい、ペロお疲れ。今日ねえと思っただろねえと思っただろ。
[00:21:08.520] ラプソンは開
[00:21:10.279] 顔もんもなんか今日む今日今日むみすごいわ、俺ずっとここに座ってレベル上げしてたからあのレベル上げしまくってしまくってこんなことになっちゃった。
[00:21:28.600] ラプソンと
[00:21:29.400] こんなことになっちゃった。こんなことになっちゃいました。すいません。配信外でこんなことやっちゃった。
[00:21:35.000] 笑笑
[00:21:36.159] こんなことになっちゃった。うん。
[00:21:38.320] ミルドラースで今こいつらであの指導を作るすぎなのよ。
[00:21:44.480] 指導を作る。うん。あの昨日セーブした時点ではあのプレイ時間
[00:21:50.159] 60時間やってておい俺
[00:21:52.559] 60
[00:21:52.960] 時間もやっちまったよって今ゲーム始める時にあのセーブデータ見たら
[00:21:57.919] 72時間なったな。
[00:22:01.039] 72時間や。12時間増えてたな。
[00:22:04.000] ダブル
[00:22:04.799] うん。
[00:22:08.840] もう本当にこれで終わり。今日はもう、もう本当にこれで終わり。もう、もうこれ以上はないで、このゲーム。
[00:22:16.080] アホです。
[00:22:16.880] アホです。でもなんかやってるとやっちゃうんだよな。
[00:22:21.120] 決意の二熟弱コで。
[00:22:23.400] 今日は二弱コで。うん。ケ意の二弱コで。でもあれだよ。
[00:22:28.000] 2弱もほらファーストさんのほら殺すが親になってるからね。
[00:22:36.000] 殺そうが親になってるから。めっちゃ頑張ったからね。マジで
[00:22:41.400] 笑。
[00:22:42.080] めっちゃ頑張ったからね。これそう
[00:22:44.120] ね。めちゃめちゃ頑張ったからね。これみんながいない。あの昨日エスタークまでだったんだよ。エスタークまでだったんだけどそっからこんなやってるからね。デンタザウルどした?あれみたい。
[00:22:57.720] 3匹も
[00:22:59.279] 配着丼。
[00:23:01.480] いやもうほんまやりすぎだよ。
[00:23:06.200] あ、いいね。
[00:23:14.000] ルドラ強すぎやろ。笑。
[00:23:15.840] うん。もう乾燥してるからね。
[00:23:18.159] 裏でやんなって言ってんの。
[00:23:19.880] やるよ。こんなもう表でできるか。
[00:23:34.039] ガス人間見ながらやってたらでもこんな
[00:23:36.520] ことになっちゃった。ガス人間おもろかっ
[00:23:38.320] たね。誰かが誰が見るつったか忘れたけど
[00:23:40.600] 。誰が見ろって言ったか忘れたけど。ガス
[00:23:43.159] 人間面白かったな。いや、Netflix
[00:23:45.360] オリジナルなんよな。やっぱな。
[00:24:04.559] 韓国ドラマのエージェントキムマジおもろい。
[00:24:07.240] 何?エージェントキム。え、韓国ドラマ?韓国ドラマちょっとちょっとあれやね。なんていうか
[00:24:20.760] ネト振りにあるから見ろ。
[00:24:24.080] なんでそんななんでそんな命令口長なんだよ。
[00:24:31.399] 笑笑。
[00:24:33.520] そんなおもろい。た、
[00:24:42.799] 青パキムタックも外せない。
[00:24:45.000] なんかもうなんかその中国韓国っぽいばっかなんだ。
[00:24:50.480] キムタックなの?あ、だのカードだの何?
[00:24:56.640] キムキムしてる。
[00:24:58.919] キムキムしてるな。ちょっとあんまり伸びないな、こいつ。攻撃力とかな。あんま伸びねえな。強さ見せろ。ああ、でもああ。いや、まあでも強いか。でも強いね。
[00:25:19.039] 俺ちょっとやったけど300とか超える
[00:25:20.679] もんね。ま、これちょっとこれはちょ頭
[00:25:22.919] おかしいけど。これはちょっと頭おかしい
[00:25:24.640] けど。
[00:25:27.000] いやもういいかな。どうしようかな。でも
[00:25:29.520] な
[00:25:32.919] 指導作ろうとしてんのね、今ね。指導は
[00:25:35.799] 弱かったらダめじゃん。指導はさ、弱かっ
[00:25:39.720] たらダメなんだよ。ダメなんよ。ワりまし
[00:25:44.279] た。
[00:25:46.000] えらい、偉らいな。自分で自分で言うようになった。
[00:25:51.840] しシしべマジか。
[00:25:53.880] 指導中村指導中村指導作って王とミルタンクと指導でな。だかでもこれまた指導レベル上げにここに来なきゃいけねえんだよ。めんどくせえ。また俺指導のレベル上げんだろ。
[00:26:22.640] 指導と無ドって兄弟なんかな?
[00:26:25.320] いや、絶対違う。見た目が違な。無ドってドラクエ
[00:26:33.520] 6
[00:26:33.799] か。あれもまあ嫌いじゃないんだよな。ブ細工だけどな。無ド強いもんね。あのボスで出てくるとね。
[00:26:54.520] おお、いいね。
[00:27:03.880] これで30になったら終わりにするわ。
[00:27:07.720] で
[00:27:09.480] 指導にして指導のレベルもまあちょっと
[00:27:12.919] 育てないとなけちょちょっと育てめでいか
[00:27:15.520] ないとまもぶっちゃけいいんだけどな
[00:27:19.520] そんなに育てなくてもいいかなちゃう
[00:27:23.279] ね。これ早く今日ちょっとこれクリアして
[00:27:27.080] ちょっと次何やるか決めたいのよ。次の
[00:27:30.200] ゲーム何やるか決めたいんだよね。
[00:27:35.720] と指導でゾマ作るべ。
[00:27:38.799] 竜王と指導でゾーマか。
[00:27:40.559] みんな寝ないうちに。
[00:27:41.840] そう、みんな寝ないうちにな。え、でも竜王と指導でゾーマ作ったらまたゾーマ育てなあかんやん。もう文字クリア後でもいいな。それは
[00:27:54.159] もじクリア後でもいいかも。
[00:27:58.720] ゾマでなんか作れんのかな?
[00:28:00.799] いや、でもなんかそのなんか俺はゾマとかに行くんだったら竜王を新流王にして指導をジェノ指導にしたいなっていうのはある。正直だ。どうやってやんのかわかんないけど、そのモンスターズでしか見れないさ竜王と指導の進化系がいるじゃん。
[00:28:21.480] ジェノ指導。
[00:28:23.360] そう、ジェノ指導って知ってる?これモンスターズにしか出てこない。
[00:28:26.799] うん。されてる、されてる。オリハルゴンとかなんだっけ?あとなんだっけな。タイタニスとか使うんだよな。作り方がわかんないんだよね。ま、見ればいいんだけど。だまだそれは
[00:28:44.120] 1回配合するためには
[00:28:46.000] 1
[00:28:46.159] 時間ぐらいレベル上げしなきゃいけないから。
[00:28:49.720] きっこきこの指し動。
[00:28:51.279] それなんだ。
[00:28:52.000] きっこジェノ指導なんだよ。きっこジェノ指導きっこきのジェノ指導。きっこ
[00:29:00.200] 5キのジェノ指導なんだよな。
[00:29:04.760] 実装して欲しい。
[00:29:07.000] きこのゼノ指導。よし、これで帰ろう。帰るで。
[00:29:26.640] オ、オ、オ、もういいよ。もういいよ。
[00:29:28.200] もういいよ。
[00:29:30.600] よし。
[00:29:34.000] よいしじゃ。ゾーマじゃない。指導じゃ
[00:29:35.919] なくて指導作ります。
[00:30:22.279] ああ、までもまたレベル上げしに行くんか
[00:30:24.919] 。
[00:30:27.760] ああ、もうないよ、このゲームに対して俺
[00:30:31.679] 喋ること。
[00:30:40.159] えー、ジャミラスと
[00:30:44.000] ローズバトル。あ、これ来た。はい。
[00:30:48.159] はい。はい。はい。
[00:30:51.120] 見せてみろ。指導を見せてみろ、俺に。
[00:31:05.679] おお、
[00:31:10.240] 出たわね。
[00:31:14.159] お前の名前は中村
[00:31:16.679] 中村。中村指導で。おお、見て。このパーティーえぐくない?このパーティさすがにえぐいわ。うわ、つい。
[00:31:43.639] よ。
[00:31:46.000] 全部200超えです。全部200超え。
[00:31:54.200] さ、レベル上げに行くか。
[00:31:58.279] はあ。
[00:32:01.559] ああ、きついな。ここレベル上げが。
[00:32:06.159] ちょっとこのゲームさ、もうちょっと
[00:32:07.799] レベル上げのなんか効率よくしてほしいよ
[00:32:11.200] な。あそこのハグネメタルだけってのが
[00:32:13.919] 若干きついんだ。
[00:32:17.519] まあもうこの2匹で行くわ。効率重視。
[00:32:47.960] え、竜王、あ、やべ、あれか。あ、性国
[00:32:51.559] 揃えとけばよかったかな。竜王と指導で
[00:32:54.960] あれか。
[00:32:57.559] ま、いっか。
[00:32:59.679] これ竜王とかこういうボス的なキャラって
[00:33:01.960] さ、なんかやっぱ自然にメスは出てこない
[00:33:05.480] んかね。オしか生まれてこないけどやっぱ
[00:33:08.639] 自然にメスとか出ねえようになってんのか
[00:33:10.240] な。自分でやっぱ祝福とかしない
[00:33:40.799] 倒してくか。
[00:34:03.840] なんかさ、勝手に電気つくのこれなんなの?お前マジで
[00:34:11.359] 怖。
[00:34:12.720] なんかなんかね。
[00:34:15.079] うん。なんかいや、これなんかね、しょっちゅそうなんだよ。なんか勝手に電気つくんだよ。
[00:34:45.599] ん、
[00:34:48.800] やば。
[00:35:04.079] ああ、何時間やってんだろ、俺。これ
[00:35:09.480] もうめちゃくちゃずっとやってるぞ、これ
[00:35:11.800] 。
[00:35:19.640] いや、でも上がり幅すごいな。さすが。
[00:35:23.880] さすがは魔王というべきか。ものすごい
[00:35:27.240] 上がり幅だな。
[00:35:36.160] 穴なし。
[00:35:37.160] 穴なしとのなんかこれは上がりづらいですねっていうのがない。ああ、これは上がりづらいんだねみたいな。ないです。
[00:35:45.400] 全部が全部上がってく
[00:35:55.839] のでもね、やっぱこの21回まで行くのが
[00:35:59.000] あんまりしんどくて
[00:36:10.839] ま、30レベぐらいだったらもいいんじゃ
[00:36:12.640] ないかな。
[00:36:15.079] うん。
[00:36:16.960] 30、30でも結構30分ぐらいは時間
[00:36:19.520] かかるだろうな。
[00:36:24.680] お前、もうなんかアクションゲームやろ。
[00:36:25.880] 次。
[00:36:27.680] もうアクションゲームやりたい。もう違う
[00:36:29.040] ゲームやりたい。もう
[00:36:31.160] なんかもうこう
[00:36:33.480] パッとなんかパッと。
[00:36:40.079] いやあ、これは経験値くれるから。
[00:37:07.200] あ
[00:37:22.880] うん。強いな。
[00:37:41.599] 明日コラボなんや。
[00:37:43.440] そう。明日は夜9
[00:37:45.000] 時からあの雪山人狼久々にやろうつってきたちゃんのとこでやるわ。ま、配信つけるけどね。うん。配信つけるけどね。
[00:37:58.200] まあまあまいつもの仲良し面ツってはあるけどね。
[00:38:02.240] 晴れとかあのまあなんだつもの練習ただ今回珍しいのはさ、チャンディがそこに入ってることなんだよね。チャンディが入ってんだよ。
[00:38:19.079] 731バイバイ。
[00:38:20.400] あ、そう。7ちゃんもそうだし。あと8も
[00:38:22.440] 8
[00:38:22.599] も出るでしょ。あとこないだのなんだっけ?あのマイクラで一緒だったフォリスさんもいるしね。
[00:38:32.160] マーブルさんフりフり。
[00:38:33.400] そう、マーブルもいるしね。うん。マーブルもいるしね。もう雪山人狼でもう久々すぎて忘れたわ。なんか雪山郎っちゃ久しぶりにやる。前はちょくやってたけどね。
[00:38:57.240] 前はさ、月1ぐらいでなんかみんなでやっ
[00:39:00.800] てたもん。はまってやってたけど。
[00:39:04.800] いや、じんちゃん誘ったんだけど、あいつ
[00:39:06.359] 仕事でダメだったな。あいつがいると
[00:39:08.160] 面白いんだけどね。あいつがいると。あ、
[00:39:11.560] や、人狼にじんちゃんがいるとめっちゃ
[00:39:13.760] おもれんだよな。
[00:39:16.160] なんかなんて言うの?サイコバスじゃん。
[00:39:19.920] なんかさ、
[00:39:22.440] 書き乱すやつがいるとやっぱ面白いんだよ
[00:39:24.520] な。ダブル笑笑
[00:39:28.960] かき乱出しキャラがいるとかさ、あいつマジわけわかんねえもんな。なんかすげえなんかなんかわかんねえけど
[00:39:37.680] ナチラルボーンサイコ
[00:39:38.839] ナチュラルボーンサイコなんだあいつなんかさ、あのな、わざとなんか鬼でもないのにわざと鬼みたいなムーブして疑代わりに入ったりとかするんだよね。意味がわからない。
[00:39:53.760] なんでそ、なんでそんなことするの?て聞き、え、なんか
[00:39:58.200] 面白いかなって思ってとかなんやねんそれみたいな。
[00:40:02.000] 意図せず狂人ダブル。
[00:40:10.400] い、俺がそれでマジでさ、じんちゃんなこと鬼だと思ってさ、鬼だと思ってあの普通にあのなんつうのチェイスしてさ、あの、ま、じんちゃんのことあの、ぶっ倒したんね。
[00:40:23.240] あれだ。あの雪山人狼って倒すと死体漁り
[00:40:26.000] ができてで倒したら鬼だと分かるんだよね
[00:40:28.560] 。トランシーバーとかなんか鬼しか持て
[00:40:30.520] ないアイテムみたいなのがあるから。じん
