[00:00:54.960] チまど可愛い。チまど可愛い。チまど
[00:06:17.639] トジャム。ジャムはないわ。あ、そう。これめっちゃ良くない?昨日当たったやつ。昨日当てたやつ。そう。これ、これ超いいしょ、これ。ま、外にはつけてけないけど。
[00:06:29.199] 外にはちょっとつけてくの恥ずかしいけど。
[00:06:31.319] ランパートのことか?
[00:06:32.560] ランパートやらない。ランパートはもう
[00:06:34.120] 2
[00:06:34.240] 度ともうあれゲームじゃないんで。あれゲームじゃなくて業務なんでゲームじゃなくて業務なんでね。これつけて営業行こうかな。これつけて。はい。じゃあ行きますよ。やりますよ。やりますからね。はい。やって。おい。なんでついてねえじゃねえかよ。後ろのカメラが。ま、いるのかいらないのか味どっちでもいい。
[00:06:58.240] いるのかいらないのか。やってきますぜ。
[00:07:01.879] やってきますよ。今日もこれさあ、
[00:07:06.759] ドラクエぐらい長いってことはねえよな
[00:07:10.360] 。これさ、成長度ってのさ、達成率でいい
[00:07:12.879] のか?まだ半分も来てないけど。ま、でも
[00:07:17.080] 約半分と見ていいだろう。えっとね、何す
[00:07:21.759] んだっけか
[00:07:23.759] 何するんだっけか忘れたな。
[00:07:28.000] 何?
[00:07:28.759] いや、ごめん。何するか忘れた。いや、何も別に大丈夫。ごめん。ちょっと外行こうぜ。おしり、おしりだめ。
[00:07:34.639] 娘に育つんだぞ。笑。
[00:07:37.759] まあまあまあまあまあまあまでもいい。今んとこいい子に育ってるだろ、今んとこ。な、これさ、日付がさ、
[00:07:49.840] 14
[00:07:50.240] 日目ってなってんだけど、これ何の意味があるのか全く分かってないんだから。日付が
[00:07:54.360] 14日ってなってんだけど。
[00:07:57.759] えっとね、あ、そ、なんか
[00:08:01.080] 恋外なんか恋恋を覚えなきゃいけないんだ
[00:08:03.720] な。俺はな、俺じゃなくてこのジョゼット
[00:08:05.479] はな、恋を覚えなきゃいけないんだよ。恋
[00:08:08.360] を覚えなきゃいけないんですけどどうやっ
[00:08:10.639] てねん
[00:08:13.680] なんすわ。で、日んそうらちゃんと友達に
[00:08:17.000] なりました。来い
[00:08:19.599] 来いよな。あ、いない。
[00:08:27.960] お、ご輪中です。ええ。
[00:08:32.719] わあ、めっちゃ大好きなゲームやって。
[00:08:34.719] 死ぬ。死んだの?あ、み、こんばんは。み、こんばんは。やってんねん、最近ワンダープロジェクト
[00:08:41.519] J2
[00:08:42.959] コルロの森のジョゼットとかいう知ってるんだ、このゲーム。めちゃめちゃジブり。
[00:08:50.040] どうしたんですか?
[00:08:53.920] これ小さい頃好きすぎて
[00:08:55.519] 5
[00:08:55.680] 周移したよ。あ、いいや。助かるわ。そういう人が来てくれんの。このゲーム時寄り俺何していいかわかんなくなるんだよな。
[00:09:03.600] 俺にはまだ子育ては難しいのかもしれない。ただこのさ、ジョゼット可愛すぎでしょ。
[00:09:11.360] 可愛すぎでしょ。動きとか。あ、楽さんもこんばんは。またやってるぜ。ジョゼット。ジョゼカす。え、あ、クラルちゃんね。
[00:09:17.440] フィッシャーさん、どうしたの?なんか泣いてたけど。お父さんが亡くなったの?
[00:09:22.440] え?
[00:09:22.880] え?亡くなった。死んじゃったの?死んだ。ちょ、死、死ってまだわかんないか。あ、思い出した。やべ。あ、やば。あ、やべえ。
[00:09:37.440] Gじ
[00:09:37.480] gじ。ああ、こいつまた泣くわ。こいつ
[00:09:41.360] こいつま、こいつまた泣くぞ。
[00:09:45.079] こん様なんでよ。
[00:09:46.800] お疲れ。ラでお疲れ。ジョゼカスやっていきます。今日も
[00:09:49.640] なんてこと?え?
[00:09:53.320] ああああ。おじいちゃん追い出しちゃった。博士な。お姉ちゃん。ま、こうやって大きくなっていくなわけですわな。
[00:10:06.880] 死ぬって何?
[00:10:08.640] 死ぬっていうのはうーん。
[00:10:13.279] お様になることかな。何も何もおもろいことなかった。
[00:10:18.440] 救済
[00:10:19.440] 地は救済。おじいちゃんはね、救済されたの。この苦しい世の中から。この生き苦しいこの世間から世の中から救済されたんだよ。分かるか?
[00:10:34.200] Z
[00:10:35.160] 視は美しい。
[00:10:37.480] 死っていうのはね、辛く悲しい。
[00:10:44.720] あ、ああ。ほら、もうこのモード入った。
[00:10:47.040] このモード入った。もうこのモード入っ
[00:10:49.760] たらもう終わりだよ、これ。このモード
[00:10:52.480] 入ったらもう何もできんで
[00:10:56.200] 涙ちょ切れ状態になっちゃった。ええ、
[00:11:00.600] 公園とか行ってみる。あ、あ、あ、やばい
[00:11:03.720] 。いるね。
[00:11:05.560] アノルド様ご一緒に行きませんこと君とかんかいこれなんて読むんだろ?ポセイドンって読むんかな?怪人と書いてや君か?あらジョゼット
[00:11:19.519] セーラームーンみたいなやつだな。
[00:11:21.360] もうセーラームーンと赤ギリツ子を達して
[00:11:23.680] 2
[00:11:23.800] であったやつな。へえ。君ジョゼットって言うんだ。今度怪人剤があるかららしいんだ。よかったら一緒に行かないかい?もう絶対こいつのこと好きになるやん。俺やだよ。こんなオレンジ色の髪のやつ。
[00:11:35.399] 認めないよ、お父さんは。まず髪を黒に戻しなさい。ジョゼットは都合があるみたいですわ。ジョゼット人工広場で待ってるよ。じゃあね。
[00:11:46.079] 長いブーツの女嫌い。
[00:11:48.279] なんでなんでなんでなんかあったか昔。パパールさん恋いヶきになっちゃったよ。俺パール結構好きなのに。足臭いから。
[00:12:00.040] まあ、ま、まあまあまあ、ま、一応一旦なん、それがいいっていうことも、ま、泣きにしもあらず、そういう時もあるじゃん。そういう時もあるよな。うん。そういう時もあると思います。一応一旦ですわな。
[00:12:13.480] くっさ。
[00:12:17.399] あ、間違えた。病院来ちゃった。いや、なんか今ね、これジョゼットにね、恋心を教えなきゃいけないのよ。なんか恋心を覚えてきなさいと。
[00:12:27.560] に上がってくるんじゃね。
[00:12:32.240] ああ、でもね、確かにあの俺もちょっとね、ドキッとするよな。あの、
[00:12:39.680] 1日遊んだ後、友達と
[00:12:41.839] 1
[00:12:42.079] 日遊んだ後に夜飯行ってさ、座敷のへ、あの、あれしかない居酒屋とかだと気になるよね。ちょっとね、ちょっと怖いよね。俺もしかして臭い?
[00:12:54.600] うわあ。
[00:12:56.639] はあ。
[00:13:01.480] あ、来た。やあ、来てくれたんだね。
[00:13:04.279] もしかしてだけど
[00:13:05.639] 何?そろそろ怪人祭が始まる。さあ、行こうよ。でもどうしたの?いい思い出になるの?持ってるんじゃないの?
[00:13:18.079] 熊ムシ。くま虫シだっけ?なんだっけ?えー、その顔はオッケーのアだね。さあ、行こう。めっちゃ陽キじゃねえかよ。
[00:13:27.680] めちゃめちゃ陽キャだな、この誘い方。
[00:13:30.720] ドブロックもいますと。
[00:13:31.920] あ、ドブロックごめん。ドブロックだったわ。ごめん。ドブロックか。たけさん怪人祭。おいおい。着物の感謝を授ける年に
[00:13:39.320] 1
[00:13:39.440] 度お祭りのことです。はあ。昼間は海で漁師たちの深海戦による感謝の儀式が行われ。
[00:13:50.880] お、夜は、あ、その後は夜までのやのドン
[00:13:54.839] ちゃん騒ぎとなり、最後にこの年のミス
[00:13:58.560] 女神を選ぶコンテストが開かれるんです。
[00:14:03.079] 沸かせてんじゃん、風呂。フロア沸かせ
[00:14:05.279] てんな、こいつ。これ、それでは次の
[00:14:07.639] エントリーは、えっと、早くしろ。この
[00:14:10.199] ハゲとんでもねえな。こんなに10人いた
[00:14:13.880] んだ。
[00:14:18.680] お、
[00:14:22.600] おお、いいね。やっぱパパール好きだわ。
[00:14:31.399] ベースラインかっこよすぎだろ。BGM
[00:14:33.839] コンテスト盛り上がってるね。
[00:14:37.040] ジョゼットも出なよ。え?
[00:14:40.519] ジョゼットもミスコンテストに出な。
[00:14:43.680] もうアーノルドったらわないで。からない
[00:14:47.040] よ。女神にふさしいのは君だよ。おい、
[00:14:50.279] なんかめっちゃいい雰囲気になってやなん
[00:14:52.120] だけど。娘のこんなん見たくないんだけど
[00:14:54.839] 俺。でも私美人じゃないし、それに素敵な
[00:14:57.279] ドレスも持ってない。
[00:14:59.639] 関係ないよ。君はそのままで十分素敵だよ
[00:15:01.680] 。
[00:15:06.480] クソお持ち帰りしそうになってるやん。
[00:15:08.320] こいつワンチャンあると思ってるやろ、
[00:15:10.880] こいつ。今の時間はもう2度と帰ってこ
[00:15:13.839] ないんだ。大切に思い出を作っていこうよ
[00:15:16.279] 。
[00:15:17.519] 2度帰ってこない時間決まりだね。今ならまだエントリーに間に合う。普通間に合わねえけどな。普通始まってたら間に合わねえけどな。どんだけ甘いんだよ。
[00:15:27.079] は
[00:15:28.199] どうした?なんだろう?胸がドキドキする。変な感じだわ。おいおいおい。ちょっと恋心覚えちゃってんじゃないの?お前にはまだ早いよ。たさん、私みますだって。今の時間は今しかないんだよね。大切にした方がいいんだよね。
[00:15:48.600] まあ、そうですわな。まあまあ、そうです
[00:15:50.839] わな。
[00:15:52.800] え、
[00:15:55.079] ギリギリの飛び入り参加です。ドクさん
[00:15:57.240] どうぞ。
[00:15:59.759] いや、でも何もできないんじゃないの?
[00:16:04.800] あのわ、私は
[00:16:09.680] あのじじ普通に喋れるんだ。いつもバカ
[00:16:13.399] みてにでかい声でドるだけだと思ったんな
[00:16:15.279] 。
[00:16:17.839] ま、バカずは踏んでるんだろうな。バカずは元気があっていいぞ。全員わは。
[00:16:29.279] ちょ、パンツ見えてますか?本当言うと私とっても恥ずかしかったの。出なきゃよかったって思ったけど、こんなにたくさんの芝の人たちと触れ合いて楽しかった。コンテストの結果はパールさんが
[00:16:42.920] 1位で私がなんと2
[00:16:43.759] 位だったんですよ。トロフィーなんかもらっちゃいました。
[00:16:45.800] 私もなかなかでしょ。でもそれよりも思い出が
[00:16:47.880] 1
[00:16:48.000] つ増えたのが私嬉しかった。何が?おい、もうパンツの色も変わって欲しかった。
[00:16:56.240] 確かに確かにパンツはベージュです。でもとっても恥ずかしかった。いいんだよお前。あの誰にもパンツ見せる予定ないんだから。あれ?その割には谷人そうなに撃たなんか歌っての誰だ?くまさん。いいっすな。くまさんパンツいいっすな。ああ、ノルドの意地悪るね。
[00:17:15.280] なんでちょっといい雰囲気になってんだよ、このゲームは。俺と
[00:17:19.600] 激
[00:17:21.039] 激。おい、許さないぞ。おい、バカ。やめろよ。おい。早いって。早いよ。おい、バカ野郎。お前今日名前知?お、
[00:17:34.840] やめろよ。お前チュしたら今日やめっか配信んでもうやめませんか?よし、こいつを。
[00:17:41.039] お、チュしたら俺この配信やめるからね。
[00:17:43.760] 中、中したらこの配信切ります。
[00:17:47.720] 危ね。ふう。
[00:17:52.840] あの、てめえふざけんなよ。
[00:18:00.520] 僕のことを変なやつだと思ってるだろう。
[00:18:02.240] え?
[00:18:03.320] 怖、怖。そんなこと聞いてくんの?お前俺
[00:18:07.400] のことバ鹿に。お前その心を笑ってるね。
[00:18:11.159] その心笑ってるね。
[00:18:12.720] 確かに初めて会った時は変な人だと思ってたけどでも今は違うわ。え、でもな何て言ったらいいのか言葉が見つからないの?
[00:18:23.919] 悪いけどね。
[00:18:27.080] 変なこと聞いてごめんね。今日は僕に付き合ってくれて本当にありがとう。楽しかったよ。うわあ、これ絶対好きになったな。ジョゼット。
[00:18:40.640] 何?おい、乙女になっちゃったよ。メスの
[00:18:43.880] 顔してる。おい、ジョゼットがメスの顔し
[00:18:46.960] てる。おい、私腰しちゃったのかな?だっ
[00:18:49.640] てだって胸の時が止まらないの。
[00:18:55.559] ごめんな。俺もそれわかんない。お父さん
[00:18:58.400] 、お父さんもわかんないわ、それ。
[00:19:00.960] お父さんもそういう経験があんまりない
[00:19:02.280] から。
[00:19:04.799] ああ、パパールと仲悪くなっちゃうんかな
[00:19:07.080] 、私。R様にやってくださいますわね。
[00:19:12.640] むかつく。
[00:19:15.840] 謎に巨大化したな、今。
[00:19:19.440] うわ、もう早。お前ちょろないか。
[00:19:23.200] ちょろくないかこいつ。もうこんなお熱な
[00:19:27.120] の?
[00:19:34.120] あ。
[00:19:38.000] ね、ジョゼットお願いがありますの。実は裏通りで人と裏通りで人と会う約束をしたんですけど行けなくなってしまって
[00:19:46.320] 分かったわ。
[00:19:47.440] 私がそのこと伝えてあげる。本当ですの?ずっとありがとう。うわ、うわ、やな予感。それ何?さすがにでもやっていいことでやっちゃ悪いことあるからね。わ、成長率が
[00:20:01.159] 4%上がってる。おい、成長率が
[00:20:04.919] 4%上がった。今44%だ。
[00:20:09.440] 大人の階段を登るってことなんでしょうか?これが。あ、違う。ここじゃないか。あ、ごめん。間違った。来るとこ。ここじゃね。でもこれもなんかさ、どうすればいいかわかんないよね。この猫もどうすればいいかわかんない。
[00:20:33.960] 違う。俺が行きたの裏通り。ここな。
[00:20:45.120] 変だな。多分この辺りのはずなんだけど。
[00:20:48.360] 本当に誰もいないねえ
[00:20:50.880] 。
[00:20:53.240] あ、誰か来た。聞いてみようと。
[00:20:56.080] あの、すいません。ちょっと聞きしたこと
[00:20:57.840] がまずいぞ、これ。これまずいぞ。
[00:21:02.320] ひひひ。可愛いお姉ちゃんだね。おじさん
[00:21:05.280] と遊ぼうか。
[00:21:08.600] やめてください。やめないと。
[00:21:13.039] 頭が痛い。ブツブツプログラム。え、プログラム
[00:21:18.320] 5984N
[00:21:19.679] 起動。擬人は意味なく人に議会をああ、へえ。そういうのがあるんだ。何言ってんだ。俺を舐めてんのか。ならばこうするまでよ。
[00:21:34.960] え、
[00:21:36.640] お、あれじゃん。
[00:21:42.000] ナルトバシの姉ちゃんを助けてくれた。大丈夫かい?国はどんな危険な場所か知らなかったのかい?怖いもの知らずにほがるぜ。この人もっこいいよね。
[00:22:02.320] ま、いいか。早くこっから出ていきな。
[00:22:04.919] さすがガロンの娘あって強いね。ゲげゲ。
[00:22:14.919] また同じやつじゃねえかよ。また同じやつ
[00:22:18.320] じゃねえか。何なんだよ、この気持ち悪い
[00:22:21.039] 。めちゃめちゃいるし。
[00:22:24.799] 久しぶりだね。サファイア
[00:22:29.679] 同じやつか。ボスみたいな感じで出てくる
[00:22:32.320] 。あ、ちょっとでかいな。
[00:22:34.760] 大きくなったね。ほう。顔もカレンに
[00:22:37.760] そっくりだ。美人の母さんで良かったね。
[00:22:41.880] ん、美人の母さん。え、娘?これ妹じゃ
[00:22:45.679] ないの?これ。え、これカレンの娘なの、
[00:22:48.360] これ。え、あ、え、こんな大きい娘さん
[00:22:51.039] いるの?
[00:22:53.640] カレンンってあれだよな。あの居酒屋の
[00:22:54.960] 店長だよな。え、娘だん?これ妹かと思っ
[00:22:58.919] てた、俺。
[00:23:01.520] ちょっと聞きたいことがある。お前の登山つまり革命団のリーダーが。あ、革命団ね。ガロンについてなんだが。うるさい。
[00:23:11.200] 親子どんでただきましょう。セームスゴッド。
[00:23:15.000] 何ですかそれ?僕ちょっとわかんないすね。革命軍のあれなんだ。サフやがるのは可愛くないよ。うせろゲスども。
[00:23:27.559] この子は礼儀というものを湧きまえてない
[00:23:29.640] みたいだ。かわいそうだが、少しお仕置き
[00:23:31.720] が必要だね。げっげ。
[00:23:43.039] 謎の声。子供相手に誰の大人が揃って何を
[00:23:45.600] しとる?恥をしれ。あ、じじか。
[00:23:51.080] 誰?誰だ?まるで激しい風が通りすぎたような感じだったわ。なんかここの物語にこのゲームに出てくるやつみんな走り方特徴的だよな。
[00:24:25.480] え、なんで?え、なんでここのイベントは変わってないの?さっきあんな仲良かっ、え、ここはまた別なんだ。ここ、ここ。
[00:24:36.159] え、何?笑
[00:24:37.559] 何だったの?じゃあ
[00:24:39.520] 何だったんだよ、さっきの。
[00:24:42.159] こんばんは。
[00:24:43.320] あ、こめちゃんこんばんは。またオ子を育てております。え、何だったの今の?どうしよう?茶まけさん。う、誰か助けておれ。
[00:25:02.440] ファミ迷ってきたけれどプレステクなかった。プレステキなかった。やっぱ植えてるんだね。
[00:25:16.679] シクシク。あ、腹減った。
[00:25:19.200] お腹だからそもそもないのかもね。
[00:25:21.600] 栃木にあるんだから。栃木にあるんだから。あるよ。栃木にあるんだから。
[00:25:29.679] 倒れていた男。深く出会った。実は10日
[00:25:32.559] も飯を食えずにいたのだ。しかしお主の
[00:25:35.039] 施しのおかげですっかり元気になれた。妻
[00:25:37.399] のうめを本当に助かった。これはこの例は
[00:25:39.640] 必ずや。
[00:25:42.520] 消えた。
[00:25:45.279] え、今消えたのはゲームの都合で消えたん
[00:25:47.679] じゃなくて本当に消えたってこと?
[00:25:53.840] えーカレンに会えないから。
[00:25:59.480] ああ、会えないんだね。
[00:26:02.360] ていうかさ、結構さ、
[00:26:06.279] なんだっけ?あいつ
[00:26:08.559] いた。ほら、お前ふざけんなよ。
[00:26:12.440] うわ、めっちゃ仲悪くなっちゃったんです
[00:26:15.720] けど。最悪
[00:26:19.320] 別にあの、あのパールも悪い子じゃない
[00:26:21.279] からちょっと心が痛いな。
[00:26:27.080] ええ。そしたらどこ行こっかな。そしたら
[00:26:30.279] どこ行こっか。
[00:26:40.320] 森に行ってみる。あ、いたじゃん。ほら、
[00:26:43.960] 森が染みかけている。
[00:26:48.159] プロトン発電所がから漏れてるプロトン
[00:26:50.640] 放射能が原因だな。
[00:26:58.240] やあ、ジョゼット。アーノナルド、ここで何してたの?いや、別に。ここでちっちゃい女の子を見なかった。ああ、病院のクロアラのことかい。
[00:27:09.880] え、
[00:27:14.080] ジョットは聞いてないのかい?
[00:27:15.360] え、
[00:27:17.399] クラは原因不明の病気にかかって倒れたらしいよ。ええ、なんかめっちゃ人死ぬんですけど。
[00:27:25.720] え、なんか今日すっげえ人がボコボコ死んでくんだけど。
[00:27:35.720] おも
[00:27:36.720] 重くない?なんか今日あらずっと
[00:27:39.960] うつ展開。天使
[00:27:43.399] ナさん。クラちゃんは元気なの?あ、病気なの?ま、わざわざ来てくれたのね。心配しなくていいわ。クラはちょっと風をこじられただけなのよ。芸人不明の病気じゃないんですねえ。
[00:27:55.120] そ、そうよ。え、もう
[00:27:58.399] 嘘ついてますやん。隠してますやん。
[00:28:03.799] クララちゃんにおにって言っていて
[00:28:05.039] ください。いや、会ってこうぜ。
[00:28:09.880] ちょ、やだ。なんか今日。
[00:28:15.480] え、絶対隠
[00:28:18.919] おはちゃまぐ。あみちゃんこんばんは。
[00:28:21.120] みーちゃんこんばんは。
[00:28:23.519] やってます。やってます。ワンダー
[00:28:25.760] プロジェクトJ2
[00:28:30.000] オ子を育てるゲームな。クラちゃんのお
[00:28:32.399] 飲み前に来ました。いや、ありがとう。
[00:28:34.840] クララも喜ぶよ。お、いや、会えるんかい
[00:28:37.760] ?あ、
[00:28:39.960] え
[00:28:42.440] 、これクラ、これなんか違くない?なんか
[00:28:45.440] お前そんな顔ひべたかったっけ?あ、
[00:28:47.880] お姉ちゃんね。
[00:28:49.399] 体の具合どう?それがもうしっかり元気なのにパがまた寝れてろってうるさいの。退屈
[00:28:57.799] でも良かったね。ねえ、お姉ちゃんお歌ってお願いいわよ。え、なんかでもさ、なん、え、風じゃないよね、多分。あ、委長先生。うむ。とにかく黒ひ君が来るのをま、何なんか今日すごいな。
[00:29:18.080] ちょ、ちょっと昨日まで全然ゲーム済ま
[00:29:20.919] なくて、もうこのゲームしんどとちょっと
[00:29:22.760] 思ったんだけど、もう今日ものすごい
[00:29:24.880] イベントのもう波がえぐい。
[00:29:31.240] めちゃめちゃ進むやん。
[00:29:35.279] 黒ひげ
[00:29:37.320] 俺ごめん、ちょっとわかんねえんだわ。俺
[00:29:39.080] ちょっとわかんねえんだわ。あの
[00:29:41.960] 、ワンピース読んでねえから。ごめんな。
[00:29:44.480] ワンピースの知識はイギドンしかない。
[00:29:49.760] なんて環境の悪い島だ。どけ。
[00:29:57.559] 仲間だろうが。
[00:30:00.799] なんかなんかよく聞よく聞くけど分からない。どこで言ったのか。うるせえ行こって。あれどこで言うのあれ?うるせえ行こって。
[00:30:12.640] ルフィどこで行くの?どこどこで行うの?あれよくよく聞くけど。やあ、黒池君やっと来てくれましたね。久しぶりな委長
[00:30:22.480] 中旅て疲れた。ちょ、あ、チョッパーに言うんだあれって。
[00:30:29.679] こんばんは。
[00:30:30.519] ハドライブさんこんばんは。今日もやってますよ。え、ワンダープロジェクト
[00:30:34.640] J2
[00:30:37.919] 患者はと聞いているんだ。奥の病室ですわ。
[00:30:42.320] 何?病気直してくれんの?病気直してくれんの?その子目見えないんだわ。魔人ブーみてに直してくんねえか?魔人ブーみてい。何やってる?
[00:30:56.399] ここはどこだと思ってる?
[00:30:57.919] ごめんなさい。
[00:31:01.760] お姉ちゃんを叱らないで。クラがお願いしたの。とにかく出ろ。うん。なんか今日怒られたばっかやな。
[00:31:10.279] なんか歌か。
[00:31:15.519] もう1回入ろ。いや、イベントがたくさん
[00:31:18.399] あっていいんですよ。そ、それは本当なの
[00:31:20.639] か?そんな何?治らない的な感じ。あの、
[00:31:25.440] くらちゃんはジョゼットごめんなさい。
[00:31:28.159] え、何?ど、どうしたんですか?え、
[00:31:36.519] い、委員長。あの子はクらの友達なのか?え、あ、そうだ。友達つってもあってまだ
[00:31:43.200] 1
[00:31:43.360] 日も経ってないけど友達なら行ってやる。嘘でしょ?え、このゲームそんな重いの?死ぬとかあんの?しかもあんなちっちゃい子が。え、あんなちっちゃい子が死ぬの?相手はまだ子供だぞ。
[00:31:57.159] ジョゼットとか言ってない。はい。あ、あのクララちゃんに何かあったんですか?クラは原因不明の病気に犯されている。このまま原因が分からなければ
[00:32:10.039] 99%の確率で黒ひ君死ぬ。ええ、
[00:32:20.600] もうここに来て今日4回4
[00:32:23.039] 回死ぬっていう単が出てるよ。
[00:32:25.679] じじなんかもうすげえ死ぬじゃん。人す
[00:32:33.639] 行く
[00:32:34.799] 行くってあっちのあのあのあの世に行くの方の行くね。今日すげえ死のな人
[00:32:44.120] 間違えた。
[00:32:47.159] ま、間違ったよ。で間違ってないけど。くらちゃんシクシしくシク。
[00:32:57.279] 私が子供の頃だった。ジョンとユナの友達がいた。親龍だった。
[00:33:04.760] 行きすぎ。
[00:33:06.399] 行きすぎ。ある日ジョンは突然この世を去ってしまった。富士の病に犯されていたのだ。
[00:33:17.240] 彼が死ぬ前私は彼に彼は私に遊びに行かないかとやたらと誘ってきた。
[00:33:23.720] その時私はその時医学の勉強が忙しくその誘いを断り続けた
[00:33:29.360] テレビのジョン。そしてある人ジョンはこの世から去っていた。
[00:33:34.360] テレビのじゃん。ルルレラルラル
[00:33:41.639] ワン。お土曜日ですか?
[00:33:47.159] クソ覚えてるわ。私は医者を恨んだ。なぜ
[00:33:50.320] 私に教えてくれた?くれなかったのかと。
[00:33:52.639] え、医者は私を傷つけまの思いやりから
[00:33:54.639] だったのだろう。でも私にはそんな
[00:33:56.360] 思いやりはいらなかった。ジョンと1秒で
[00:33:58.320] も最後の時間を過ごしたかった。それが
[00:34:00.320] できなかったのか。
[00:34:01.159] 今でも悔しくて寂しくて私はそんな気持ちをもう誰にも味合わせたくないと決めたのだ。そんな身てな、私は
[00:34:11.679] ペギなので分かりません。
[00:34:14.200] 懐かしい懐かしい懐かしいな。それあのピタガラスイッチなペンギンなので分かりません。
[00:34:33.399] クラちゃんをほっけない。ま、そうだな。
[00:34:37.480] あの頃に戻りたい。
[00:34:41.720] あの頃に戻りたいな。せもなかった。
[00:34:45.200] あ、そうだよ。そっちだよ。そっち、そっち。チずり、こんばんは。子供なので読めませんだよ。あった、あった。
[00:35:02.000] いや、もうちょっとこのモード入っちゃったか。これ何これ?なんか
[00:35:07.560] み、ミスコすげえじゃん。ミスコ杯持ってんじゃん。行こうか。もう
[00:35:13.040] 1
[00:35:13.160] 回ちょっとじゃ、クララんとこ行くわ。なんかやだな。まあまあまあ、そう言わずたはずなのにピタゴラスイッチで炙り出された。
[00:35:23.760] 笑。
[00:35:26.880] やっぱこ、俺、俺ら世代はな、絶対見てる
[00:35:29.480] からな。
[00:35:31.400] 学校をずる休みした時に見るさ、学校休み
[00:35:35.760] して、あの、お昼ちょっと前とかにやっ
[00:35:38.440] てるあの英語ゴリアン、あのキノコのやつ
[00:35:40.599] あれが流れてくるとすっごい罪悪感覚えん
[00:35:42.520] ねんな。うわ、今日学校行けばよかったな
[00:35:45.040] 。
[00:35:47.640] ちゃんとが流れてる。ああ、あり。学校だ
[00:35:50.079] 。バケルの小学校懐かしいな。あの
[00:35:53.000] 女の先生が怖いやつね。怒ると。
[00:35:58.000] リデットさん歌ってやりなさい。
[00:36:00.160] わかる。
[00:36:03.280] バケルの小学校怖いよな。ランディがガキどころからやってる。もしかしてバケルの小学校
[00:36:10.000] 水こちゃんほラトる
[00:36:13.319] ガんこちゃんもな。あれあれ見てる時すごい罪悪感がな。
[00:36:22.800] え、死んじゃうの?くそ。クラナの病気の原因さえ分かれば
[00:36:28.440] 爽やかさん組る?
[00:36:29.880] さやかさん組分かるよ。あのぽっちゃりとガリと少年の
[00:36:35.680] 3
[00:36:35.839] 人組のやつでしょ?これイベント変わんないね。ここまで来たら。ちょ、次行こっか。えー、じゃ、どこ行こっかな?え、
[00:36:47.440] あれ見ると罪悪。
[00:36:48.480] 何?何?何?ちょっとちょ、何?何?何?何?何?何?何?ちょっとやめて。やめて。ちょっと。何?
[00:36:55.760] え
[00:36:56.880] え。
[00:36:57.280] あ、
[00:36:58.040] あ、これ終わった。あつ、ちょっとこれやべ。あれ?何これ?え、違う違う。でもさ、ゲームが壊れてるわけじゃない。え、待って。え、どういうこと?なんかさ、最近すごく調子が悪いんだけど。
[00:37:17.560] すごく調子が悪い。ちょっと待ってね。
[00:37:20.960] ちょっと待ってね。最近なんか調子悪いよ
[00:37:23.839] ね。
[00:37:30.440] いや、なんだろうな。ちょっと待って
[00:37:32.040] ください。
[00:37:33.880] ちょっと待ってくださいね。
