[00:00:34.440] おす、おす。
[00:10:20.920] テ進めそう。どうだろうな。もうクリアしたいんだよな。あと
[00:10:24.440] 12ステージだから。今日6
[00:10:26.160] ステージ。明日6
[00:10:27.040] ステージで行けたら最高なんだけど。
[00:10:29.399] 48
[00:10:29.959] からやってくぜ。サクと行こうぜ。サクな。えー、どんなステージですか?えー、こんなステージです。うん。なんかここもなんかちょっとむずそうな予感。
[00:10:45.880] 昨日行けたんだよ、15以上。
[00:10:48.639] 昨日ね。そう、48まで行ったよ。48
[00:10:50.639] まで行った。これ多分もうさ、この石を多分使いますわな。多分ここはいや、今日もさ、埼玉、埼玉にさ、出張でさ、もうさ、出張多すぎんだよな。せさん、こんばんは。今日もやっていく。今日明日でクリアしたい所存であります。今日明日でクリアしたい所存。
[00:11:13.240] いつまで進めたいの?
[00:11:14.760] 今日は4え、だから12。え、あと残り
[00:11:18.200] 12捨てだろ。だから6捨て進めたいから
[00:11:20.240] 50マ
[00:11:22.160] てる。
[00:11:23.320] 54まで進めたい。54
[00:11:25.560] 飛ばせる。飛ばする。
[00:11:27.760] にご飯ン食べてたの。あれは普通のセットなの?
[00:11:31.000] あれ普通にセットだよ。あれ普通のセット。あれ普通のセット。あれとんかつじゃないしね。あれ唐揚げな?あれ唐揚げとうどん。唐揚げとうどんのセットね。
[00:11:44.560] これここ登ったりすんのやろけどめっちゃここれむずいぜ。
[00:11:47.839] 足りた
[00:11:49.240] 足りたとか
[00:11:55.440] あれ取点じゃないんだ。
[00:11:58.240] 鳥テじゃない。普通の唐揚げ。なんかさ、店が何もなくてさ、また山奥行ったから。クソ山奥行ったから店が全然あ、店が全然なくてな。よくわかんねえ。
[00:12:12.120] なんか
[00:12:14.600] 蕎麦屋、蕎麦に入ったんだよ。
[00:12:17.920] え、これわからんね。わからんね、これ。
[00:12:26.440] これさ、
[00:12:32.360] こうじゃダめ。こうじゃダめ。
[00:12:40.160] 最近マジろんなとこ行きすぎてさ、とこ行きすぎて
[00:12:45.040] 調べるとチャンネルに入った時に匿名ネームにするみたいなのはあるみたいよ。
[00:12:49.880] あ、そうなんだ。うまい。ま、後でちょっとちょっとあの後でみんなでやろうぜ。俺やり方わかんねえな。
[00:13:02.040] 毎日毎日なんでそんなあるの?
[00:13:05.000] それがあれだよね。
[00:13:08.480] サーバーのとこに名前変えれる。名前
[00:13:10.440] 変えれるというか、誰が入ってるか見え
[00:13:12.199] なくしたいんだよな。誰が入ってるか見え
[00:13:14.440] なくしたいんだよ。
[00:13:20.040] やっぱあの営業だからさ、出張が多いわ。
[00:13:23.800] 最悪。あっち側行きたかった。あっち側
[00:13:26.399] 行けるかな、これ。あ、行けねえ。行け。
[00:13:28.839] いや、もう危ねえ。
[00:13:31.880] やべ。剣、剣捨ちゃった。やばい。
[00:13:33.880] 料できるの?
[00:13:35.880] でもできできるできるからやってんだけどもう
[00:13:39.079] 2
[00:13:39.240] 年ぐらいやってますけど。なんであってあってなんだよ。できるからやってんだろ。もうできるできないじゃない。やるしかないんだよ。さすがにこれ拾えないか。これちょっと拾いたいね。
[00:14:10.000] もうむずいよ、ここ。またむずそうやの。俺声優さんこんばんはって言った。わかんない。言って言ったかな?あ、せ声優さん来たなと思って言わなきゃって思ったとこまで覚えてんだよ。言ってないかな?
[00:14:28.000] さん、こんばんは。も言ってない。
[00:14:29.320] こんばんは。言った。1番最初に言った。
[00:14:32.680] 1番最初に言いました。
[00:14:34.720] 笑笑
[00:14:38.240] で誰に言ったか言ってもう
[00:14:40.880] しか言われてないよ。
[00:14:44.399] お前はそれでいいんだよ。お前はなんだらもう
[00:14:48.440] 1
[00:14:48.639] 回行ってもらえると思った。俺のこと言われるまでわからなかったけどね。
[00:14:55.800] みんながお疲れって言ってなかったか。言ってなかったか。
[00:15:02.680] えー、
[00:15:04.279] B、
[00:15:06.759] BJIAA
[00:15:10.519] NKGオ
[00:15:12.880] チソピお疲れ。
[00:15:13.959] あ、ちゃピお疲れちゃんこんばんは。やっていく
[00:15:17.480] とする努力が大事だよにマ。
[00:15:19.360] そうよ。そう、そうよ。そうよ。うん。そう、そう、そう。別にそんなんね、あの、別にわざ、わざとね、無視してるわけじゃないんだよ。
[00:15:26.360] だから言われなかったとしてもほちょっと
[00:15:28.040] そんなへこまないでへこまんと
[00:15:36.399] もうこれなんか絶対さもう絶対これで
[00:15:40.440] 取れるやろこれミ
[00:15:44.759] しかもこれはあれだ上行けんじゃない?
[00:15:46.360] これ壁取なくてもただこれ
[00:15:53.720] さ
[00:15:56.079] 僕たちは文字だからわがまま入ません。講臭いの。ぐーぐどうすっかな?わからねえな。またここ時間かかりそうな予感するなあ。
[00:16:10.680] ラムネ食べよね。
[00:16:13.000] あ、もう今日キャのところで挨拶してもらえなかった女くらいの気持ちでいる方がいい。
[00:16:27.440] いや、さすがになんかもう今週だけでのミに入りです。
[00:16:32.480] 今週だけでさ、もう多分何キ
[00:16:35.120] g移動してんだろうな。
[00:16:38.079] 1000km
[00:16:38.600] 以上移動してるからなんかもなんかすっげえ疲れが疲れがすごいだけどこのゲームやめらんないんですけど。
[00:16:51.040] やめてお
[00:16:52.240] だけどこのゲームやめられないんですけど。
[00:16:55.680] 交通費っちゃかかってるよ。
[00:16:57.639] 逃げろよ。
[00:16:59.399] めっちゃかかってるよ。交通費。あの静岡行くだけで往復
[00:17:04.240] 2
[00:17:04.439] 万ぐらいかかってるからな。あれ一旦自腹だからね。
[00:17:07.480] やりたいのリスナーに会いたいからじゃなくて俺たち扱できるけどちゃまそうはかないもんな。
[00:17:17.720] いや、ま、リスナー嘘だよ。
[00:17:19.280] 嘘リスナーに会いたい。一旦自腹きつくない?
[00:17:23.199] 一旦自腹やだよ。やだよな。きついよ。やだよ。一旦自腹だからね。
[00:17:28.280] 2万く
[00:17:30.000] 静岡は社長と一緒じゃないんだ。
[00:17:33.400] え、社長と一緒だよ。社長と一緒だけど、もう前日までにあのチケットとかを全部用意してく。自分で作る。
[00:17:50.000] 危ね、危ない、危ない、危ない。これも拾う。
[00:17:52.960] 会社でカード配ってくれたらええのにな。
[00:17:55.400] なあ、本当だよな。で、お客に持ってくお土産とかもさ、あ、お前帰りに買ってこいよって言われてさ、自分で買うんだぜ。なんかいちゴの王チゴイチゴの里とかいうとこ行ってよ。
[00:18:15.120] と思ったらね。
[00:18:16.559] イチゴの里とかいうとこ行ってよ。
[00:18:18.120] 3500円もするゴのイゴのフィナシ
[00:18:21.960] 3500
[00:18:22.679] 円もするイちゴのフィナン士買わされてよ。クソ高けえの買わされて
[00:18:38.480] 1
[00:18:38.679] 個食べちゃいなよ。案外バれないよ。う
[00:18:41.320] まかった。食ってねえってやる。
[00:18:45.720] フィナンシェってどれも同じ味よな。
[00:18:49.000] でもうまくない?フィナンシェって。フィナンシ結構うまない?これ結構好き。
[00:18:58.919] フィナンシェもマドレーヌも好き。ワッフルのが優。
[00:19:02.559] いやいや、フィナンシェでしょ、やっぱり。
[00:19:06.000] バダーがうめえよな。
[00:19:07.120] バラ、バラー、バラー、バラーたっぷりで焼いたらなんだって埋めんだよ。やっぱ焼きがしよな。
[00:19:16.280] マカロンが好き。
[00:19:17.679] ま、食ったことない。マカロン食べたことない。いや、食べたことないわ、ちょっと思ったけど。
[00:19:25.840] 甘けりゃいい。
[00:19:27.400] 食べたことない思ったけど。ドラクエアイランドで食ったなんかスライムのマカロンを俺残したからね。
[00:19:37.039] まずくてなんかまず青、青すぎて食欲がせる。
[00:19:41.960] 笑笑。
[00:19:46.039] 青すぎて食欲がせたわ。青っつって。ああ。
[00:19:56.120] 次のバレンタインマカロンにしようか。
[00:19:58.880] え、バレンタインもらえるんすか?
[00:20:02.760] は、マカロンつ外したな、ならいい。
[00:20:05.520] もらえるなら食べたい。
[00:20:08.640] 主食はマカロ。いつ外した?
[00:20:09.880] ライムの出しみたいなアクエりあるよね。
[00:20:12.320] 何それ?そんなあんの?コタプリンこんばんは。
[00:20:18.159] あげないよ。
[00:20:20.840] まあかと言ってなんだかんだちのリス、うちのチャンネルの数少ないピ
[00:20:25.840] 女リスナー女であるチソピとチャソピとあのするな。
[00:20:36.320] ディスコに連携と
[00:20:37.960] 8はあのなんだかんだ毎年くれるから
[00:20:40.679] ディスコに連携方法書いときましょう。
[00:20:42.960] なんてなんてなんて有能なリビーさん
[00:20:48.400] なんて有能な
[00:20:50.480] だってうんちゃはくれないもんバレンタインもうちょっと待ってこれちょむずやばいやばいやばいおいおい
[00:21:01.840] バレンタインみたいな色してるのに
[00:21:03.960] どういうことあうんちゃんがね
[00:21:07.600] いいの確かに
[00:21:08.559] 送っても確うんあでもちょっとあのちょっとごめん。
[00:21:11.600] ちょっとあれはだめだわ。新規、今新規のあの新規のあの重症教えリスナーちょっと今あの受け付けてないからごめんね。
[00:21:23.279] 笑から理由は怖いから
[00:21:26.400] 理由は怖いから
[00:21:27.360] めちゃおもろい。笑笑みたいな調カロリーチョコにしてでも怖いな。
[00:21:34.679] 知らないだろ。知らないだろ。怖いな。え、理由は怖いから。
[00:21:41.200] え、これ理由は怖いからって何?これ繁生のネタなの?
[00:21:44.120] 受付け停止中。送りたいのにな。
[00:21:47.320] ゼウノなの?
[00:21:50.000] された時のスクショってあるよ。
[00:21:52.279] あのおいおい。それやめろて。そういうのダめだめ。
[00:21:59.640] 飲質
[00:22:01.360] あの
[00:22:01.840] 怖い
[00:22:02.760] 晒らした時のスクショ取ってあるよつって。怖いから。
[00:22:07.799] あのね、別に、あの、別に別に、あの、うんちゃんが、うんちゃんがスクショして取ってあんのはまだいいんだけど、まだいいんだけど、スクショのっていうキーワードを元に俺の、俺のあの過去の配信を全て遡りそうなやつがいるじゃん。怖いんだって。怖いんだって。そういうことするやついるから。
[00:22:30.039] 笑笑。
[00:22:31.760] あ、
[00:22:32.120] 俺が、俺が恐れてるのはそこなんよね。お、俺が恐れてるのはそこなんよね。
[00:22:37.480] トストピンポン。
[00:22:38.760] うん。いや、マジでいるからね、そういうやつ。
[00:22:40.440] くまさんね。
[00:22:41.440] マジでそういう人いるから怖いんだって本当。
[00:22:47.360] 家から出た途端曲げ捕まえたって外してくれ。
[00:22:50.880] いや、怖すぎ。マジで
[00:22:52.520] 怖。
[00:22:53.360] マジで警察呼ぶよ。うん。普通にあの、間違いないで欲しいんだけど。間違いないで欲しいけど。
[00:23:00.440] こんなこと言ったら本当冷、冷たいと思われるかもわからないですけど。こんなこと言ったら冷たいな。
[00:23:06.720] ちゃゲームって思われるかもしれないんですけど、
[00:23:09.440] あの言うてリスナーと配信者だからね。あの
[00:23:16.679] 剣飲まれてて草。
[00:23:17.799] あのそんなそんなあれだからね。言うてこんなこと言うのもあれだけど家に来ていい間からじゃないからね。お前らはこんなこと言ったらさ、ちょっとね、あの寂しいかもしれないけど。
[00:23:32.159] なの?あれだよ。
[00:23:33.880] 防犯の大なる子供が持ってるやつ。
[00:23:36.200] だ、防犯だな。お前らオレンちに来ていいようなあの立場の人間じゃないからね。そんな関係性にないからね。君たちは。あくまでイベントとかそういうの場で会うのはいいですよね。例えばオフ会とかさ、どっかで遊ぶとかはまだあるかもしんないけど家には来ちゃダめだよ。
[00:23:58.320] 普通に怖いから
[00:24:00.640] ダメで決な。ダメで決まってんだろ。
[00:24:03.240] ダメなんだ。
[00:24:04.000] ダで決まってんだろ。ナリスにはリプたよね。リプ返してた。え、リプ返すのはいいだろ、別に。リプ返すのはいいだろ、別に。だって配信者様だもん。だって貴様らのような文字と一緒にするな。
[00:24:22.559] もし街で見かけたらいつも配信見てます。
[00:24:26.200] って改まると思う。笑。
[00:24:27.799] いや、そいや、なんかそんそんなことま、俺ごときの、俺ごときがそんなこと言われることない。ないけど
[00:24:35.039] 家に呼ぶのはありやかないと思う。俺多分理由つけていかないと思う。ああ、ちょ、その日ちょっとああ、ちょっとその日あれだ。
[00:24:46.840] 笑笑。
[00:24:47.760] 今日ちょっとその日ちょっとごめん。いか行って言うて行かない。
[00:24:51.600] ってあった時も挨拶しかできなかった。
[00:24:55.120] いや、そのくらいの距離感がええねんて。そのくらいの距離感がいいんだよ。でも片やさ、イベントでもさ、初対面なのにめちゃくちゃ慣れ慣れしいやつとかいるからさの式て。
[00:25:06.799] これ言うとなんかすごくごめんな。
[00:25:09.039] これ言うとなんかみんなあのなんか距離はなんかあ、ドキってしちゃうかもしれないけどさ、俺結構さ、
[00:25:16.200] あの、俺結構さ、あの、人見知りだからさ、
[00:25:19.840] もう気軽に
[00:25:20.960] いきなりさ、肩組まれてういまげてさ、初心初見でやられてもさ、マジでさ、あの、固まっちゃうんだよねえ。まず誰だか知らないし。ごめんけど。
[00:25:31.720] 最初取られて悲しかったよ。
[00:25:33.640] 挙どるだろ、そりゃ。
[00:25:34.520] そんなあんなギャルに話しかけられたら結構あの、あのその辺繊細なんで。
[00:25:42.200] 怖い。ギャルじゃねえだろ。
[00:25:44.120] ギャルだろ。バケ派かぶってたんだ。バケ派なんてギャルしかぶんねえだろ。
[00:25:51.240] もうリスの顔とか覚えてなさそう。
[00:25:56.880] 笑。すごい偏見。
[00:26:00.200] お、なんかちょっと行けた。ちょっと行けるぞ。
[00:26:05.200] オッケー。え、これどこ登んの?どこ登ん
[00:26:09.679] の?これ
[00:26:12.640] やっぱここか。
[00:26:17.799] やべ、
[00:26:22.760] 全然わかんねえ。
[00:26:27.200] ちゃまさん何してるの?
[00:26:29.080] 何が?何?チまさんって何?チまさんとか急に
[00:26:43.760] みやみ子。
[00:26:47.919] えー、ちょっと待って。
[00:26:53.200] ああ、違うな。わかんねえ。
[00:26:56.760] わかんねえな。ま、冗談だけどね。あの、全然あの慣れ慣れしく話しかけていいすけど。全然全然あの全然あの初見であの固くまれても全然大丈夫です。うん。全然平気平気。うん。気にしないで。大丈夫大丈夫大丈夫だから。うん。
[00:27:18.600] 栃木なんてゆかないから見かけません。笑大丈夫じゃない人の言い方じゃん。あの、めっちゃあの、
[00:27:26.120] 冗談じゃないのに空気悪くなったからって冗談のりしないで。
[00:27:31.000] あの、全然初対面で肩くんできて、あの、あの、俺のことお前って呼んでも全然俺はあの、全然平気です。はい。大丈夫。
[00:27:40.080] 思いしれならしい。もう
[00:27:43.919] 慣れ慣れしくできません。
[00:27:45.840] 敬語になると思う。
[00:27:48.279] それが普通だけど。いや、ま、全然あの、全然全然肩組んできてうまけみたいな。お前配話いっつも見てるよとか言われてもあ、全然大丈夫ですんで。はい。遠慮せず。はい。
[00:28:04.360] 実態剣。
[00:28:08.279] いや、まあ、別にね。うん。そういう人もいますから。
[00:28:11.720] 誰やろな。
[00:28:12.600] いや、まあ、わかんないけど。
[00:28:17.840] 俺ら側も挙どるから無理だよ。本当にあった話?
[00:28:21.600] いや、わかんない。やでもあ、まね、別にいいと思います。大丈夫、大丈夫。全然全然。いや、俺も陽キ、
[00:28:34.480] 多分盗撮してご
[00:28:36.720] 俺も、俺も陽だったらさ、あの、え、なんでとか言えるかもしんないけど俺無理なんよね、その辺。
[00:28:44.120] ちょっとやっぱり恥ずかしいし俺もごみ悲しいね。
[00:28:55.880] 臨人にもそうやってなっちゃうぐらいだからな。えー、ちょ、全然わかんねえな。
[00:29:03.919] 全然わかりまへん。
[00:29:12.360] その家の女とその後ワンチャンあった。
[00:29:15.159] ワンチャンねえよ。今日帰ってきたらさ、仕事から帰ってきたらさ、全く同じタイミングで帰ってきちゃってさ、
[00:29:24.159] 2
[00:29:24.320] 人でさ、隣同士に車止めんのすげえ恥ずかしかったわ。
[00:29:28.399] 2
[00:29:28.600] 人で隣同士で車止めて気まずかったわ。なんかいちゃいちゃやめて。
[00:29:36.399] イチイチしてねえよ。
[00:29:38.960] 甘ずっぱい。
[00:29:40.159] 全然甘い。もうちょっと待て。今日やべえ。全然頭働かん。
[00:29:47.960] ちょうどっすね。へっへ。くら。いや、言ってない。全く
[00:29:52.640] ラムネ行っとく。
[00:29:54.039] 疲れてるんだ。
[00:29:54.679] ラムネ行っとくか。
[00:29:56.360] いや、ほん当今日配信するか迷ったんだよ。配信するか迷ったんだよ。あ、ランディみ。み子ごちゃまさんこんばんは。
[00:30:02.240] ガスマイルした。
[00:30:03.320] 何?ガミースマイルって。今日やるか迷ったんだけどさ、やっとかねえと今週クリアできねえかなと思ってさ。ガミロマイルって何?
[00:30:16.240] き出しで笑うみたいな感じ。
[00:30:18.480] みんなやるかよ。できるか?もう
[00:30:24.519] 悩んだのに配信することを選んでくれてありがとう。どういたしまして。いや、マジこれなるべく今週中にクリアしたい。だあ、もう
[00:30:40.600] おう。おお。
[00:30:43.519] ありがとうね。
[00:30:45.159] まあまあまあまあいいってことよ。
[00:30:49.200] ちゃまさん土日の予定は?
[00:30:52.720] 今週は何もねえな。今週はだから配信やるよ。だ本当はこれ圧でクリアして圧でクリアしてあの狂った果実土日やりてえなと思ったんだけど
[00:31:02.360] 仕事ないの?
[00:31:03.519] 今週はない。
[00:31:10.360] 料理配信どうすんの?ねんねんねんねんねんねん。
[00:31:25.480] 答えは沈黙濁したとばやりますか?
[00:31:31.279] トばやるやっとく。今日ば飛ば貼っとく。飛葉やっちゃう。
[00:31:36.960] さない。
[00:31:38.840] 今日ど今日飛ばやっとくか。じゃあ
[00:31:41.840] 何のためにコック服洗ったの?
[00:31:44.240] 何のために生まれて何をして喜ぶ?
[00:31:50.360] わからないまま終わる。そんなのはいいやだな。何捨てまで行く?何捨てまで行く?
[00:31:57.440] 54。ま、無理やろうな。54は6
[00:32:00.600] 捨ては無理だろうな。ま、でも
[00:32:03.519] 5052
[00:32:05.240] ぐらいにしとくか。
[00:32:07.399] 501
[00:32:08.440] 日しよく主体性のない。あ、主体性がないんで
[00:32:15.200] 51にしとこうか。じゃあ
[00:32:17.000] ひよるな。
[00:32:18.519] いや、無理よ。今日はなんかもう俺も無理な気がしてきた。今日は俺も無理な気がしてきた。いや、料理愛人はやるよ。
[00:32:29.080] 53まで頑張れ。やるんだけど、
[00:32:33.760] 何作るかをまず決めな。うん。何作るかを
[00:32:37.039] まず決めないとな。何作るかを。
[00:32:43.720] マジで何作ろうかな。
[00:32:52.720] 何作ろっかな?
[00:32:56.320] テリーヌ、今の反応できないって今日相当だね。前にリクエストもらったやつはな
[00:33:03.080] んだっけ?もう今日マジでちょっとやばいね。今日ちょっとぬるわ。今日なんかぬるい。なんか無理して配信をつけた感がある。
[00:33:12.000] すき焼きがいいとかけときます。
[00:33:17.159] その心は飛ばしましょう。飛ばしましょう。
[00:33:20.080] 何何何なんてえなんて。あ、グやしね。なんかなんかなんかパッとしなくない?それなんだかわかんねえし。
[00:33:37.480] サンミー完全再現。
[00:33:39.720] ちょっと待てさん。じゃあパン。
[00:33:42.519] ちょ待てワニさん。
[00:33:47.720] ローキャベ行く。ローキャベ。
[00:33:52.440] 田中シングル誰もまだ誰もまだ何も言ってない。
[00:34:00.559] 笑笑
[00:34:02.000] ここ考えてよ。このスコップどこ使うねんっていう話ですよね。
[00:34:18.440] タコスは
[00:34:20.399] タコスえわかんないよ、こんなの俺。
[00:34:31.919] タコスき
[00:34:34.599] これで合ってるんかな?あぶね。暗こから。
[00:34:52.240] えー、マジで?何やろう?なんかもうなんか全然決まらん。全然決まんないし。
[00:34:58.160] 全然決まんないし。なんかなんか今日は何言われてもええっていうことしか言えなそう。
[00:35:08.560] 今日は何出てきても文句しか言わなそう。なんか今日ダメだわな。今日ダメな日かも。
[00:35:14.040] マカロン作ろ。
[00:35:16.640] 作れるもんなの?マカロン。
[00:35:22.400] 超大変だよ。
[00:35:23.839] あ、そうなんだ。
[00:35:28.400] こうだな。おそらく晩
[00:35:30.079] ご飯何でもいいって言ったじゃん。マカロンは難しい。クソむずいらしい。
[00:35:34.960] あ、そうなんだ。マカロンって難しいんだ。じゃあやってみるか。あかん。これあいつ来るんちゃう?
[00:35:43.800] マカロナージュ。
[00:35:44.960] マカロンージュ。
[00:35:57.640] 皇帝にあるの?ガ糖ショコラとかは簡単。マカロ多い上に技術が必要。
[00:36:03.800] マカロナージュという工程があるの?そうなんだ。えー、全然わかんない。
[00:36:12.160] 上行っちゃおうかな。あ、そばとかあれ、ここ行っていいんだっけ?あ、行けるな。
[00:36:27.599] そば踏むちゃまくんみたい。
[00:36:31.000] あ、これ行けるんちゃう?なんか
[00:36:38.760] こんばんは。
[00:36:39.720] はドラさん、こんばんは。
[00:36:42.640] これ行けるんちゃう?そば、そばってでも踏めば踏むほどいいんだよね。
[00:36:48.359] そばって踏むっけ?
[00:36:49.680] 待って待って。これなんか行けそうちゃん?
[00:37:00.880] ちょっと待って。
[00:37:02.400] ちょ、ちょ待って。ワニさん。しかも最高。
[00:37:10.160] タイミングもグー。石のタイミングもグー。
[00:37:17.240] 行けんじゃね?51
[00:37:19.960] なんかんじゃね?グ
[00:37:21.720] 51も
[00:37:23.280] 51も行けるんじゃない?
[00:37:24.440] 江戸はみ
[00:37:26.920] ちょ待てさん。あ、
[00:37:33.760] 49行きます。よろしくお願いします。
[00:37:38.440] お、いいね。
[00:37:40.319] 1面、1面ステージ来たで。
[00:37:42.920] 1面ステージ来たで。
[00:37:44.599] 1面ステージやんな。
[00:37:46.400] あ、ちょっと待って。とば、飛ば見るべ。飛ば、飛ば見ます。
[00:37:50.280] ステージ20
[00:37:51.000] 分と思っていたらこのクリアは早い。
[00:37:53.839] 早いよね。
[00:37:55.359] うわ、またいい。きしてるよ。き行してるよ、今日も。え、行きます。え、
[00:38:01.280] 0時までにでステージ51
[00:38:02.480] クリアできるにかけた方6
[00:38:04.079] 名。トップベッターが声優さん加が3万
