[00:00:36.399] ひ下
[00:11:58.839] 実やからこれ自分で言うのもなんだけどこの
[00:12:02.800] TwitchでTwitchでMSX
[00:12:05.839] の実機でこれやってるやついるかいるか
[00:12:10.440] X
[00:12:10.800] なん使ってるこんなもんだと思います。え、
[00:12:13.800] こんなもん。オ、MS
[00:12:15.320] は、え、な、何てやつだっけ?これソトニーのヒットビット。え、
[00:12:18.720] FD
[00:12:19.040] なんちゃらあの赤いやつかっこいいやつ。見た目で選びました。あの、クロッピーディスクが付いてる赤いやつやっぱ一番あれがかっこいい。
[00:12:26.480] 赤いねよ。ここにあるんだけど。ちょっと見えないけど。ここにあるんだ。
[00:12:29.560] ヒットビットのヒットビット。
[00:12:31.079] そう。ヒットビットのヒットビットね。久々にやるわ。シューティング。お、レーザーもこの見て。この長いレーザーすごい。ファミコン版にはない良さがある。
[00:12:54.160] ファミコン版にはない良さがあります。
[00:12:58.920] いえ、もう厳しい。早
[00:13:05.399] 、もうゲームオーバーだ。
[00:13:07.880] 早いよ、これ。ちょっと、ま、今日
[00:13:10.199] ちょっと、ま、あ、やりたいだけなんで別
[00:13:12.600] にそんなクリア。ま、クリア。お疲れ。
[00:13:15.760] MDXさん、こんばんは。MDXさん、
[00:13:17.480] こんばんは。はい、や。ありがとうござい
[00:13:18.760] ました。これMDXに直もね。直して
[00:13:21.000] もらった。グラディウス2グラディウス2
[00:13:22.720] やっていきます。やべ、間違えた。グラニ
[00:13:25.639] 警察がグラニ警察がやっぱあの月風マでん
[00:13:30.839] とファイヤーエムグレムとグラディウス2
[00:13:33.920] だから間違えちゃいけない。3台間違え
[00:13:36.760] ちゃいけないゲーム。ゲームタイトル
[00:13:41.399] 警察がいますから。
[00:13:44.880] BGMめっちゃかっこいい。
[00:13:54.639] いいっすな。味があるよな。とりあえずあれか。とりあえずあれかな。オプション狙うか。オプション。オプション狙おう。あ、いっぱいいるイメージあります。
[00:14:11.560] ダメかも。今日全然これ空中戦超えられないんですよ。ファイヤエムブレムはもう警察いっぱいいるよ。
[00:14:20.279] ファイヤーエムブレムエンブレムじゃない
[00:14:22.360] か。ファイヤーエムブレム
[00:14:25.639] 月風まで月風までんじゃなくて
[00:14:29.880] このさ、通常のショットが画面に2個しか
[00:14:33.639] 出ないんだよ。
[00:14:36.000] ちょっともう無理だよ。
[00:14:39.440] おい、頼むで。
[00:14:46.399] ショットが弱すぎるんだって。画面に2個
[00:14:49.120] しか出ないんだって。
[00:14:51.160] こんにちは。
[00:14:52.480] 確実にアプリかないと。ドさん、こんにちはす。ドさん、こんにちはす。この味のあるゲームやってる。今日は
[00:15:00.399] MSFX
[00:15:02.639] ブラウス。
[00:15:07.160] いよいよ始まりましたね。
[00:15:09.279] ちなみにグラニは全シリーズでも高難易度を運ぶ難しさ。
[00:15:14.000] 1
[00:15:14.199] 面からがっつりやりにきます。
[00:15:15.920] そうな。あ、そうなんだ。やっぱむずいんだ。
[00:15:18.120] でもこれさ、スクロールになれるまでも
[00:15:20.040] 大変よね、これ。スクロールになれるまで
[00:15:22.920] も大変だと思うわ。これダブル取りたいん
[00:15:26.199] だけどさ、ダブル取るとさ、弾がさ、連射
[00:15:29.720] が効かなくなるんだよね。
[00:15:32.440] もちろんこれ連車連車のき、あの長押しで
[00:15:35.360] ショットずっと出してくれるとかもないん
[00:15:37.199] でマジで今俺Aボタンを連打してるんだ
[00:15:39.839] けど
[00:15:43.120] な。何個まで行けるんだ?
[00:15:48.240] やばい
[00:15:51.000] 。ダめだみんな。ダめだ。全然できねえ。
[00:15:55.399] 難しすぎる。難しい。
[00:16:01.839] このこのさ、
[00:16:02.639] で売っちゃいない速度の敵団です。
[00:16:05.160] がデモがかっこいいよね。ファミコンにはないさ。ここのレめっちゃかっこいい。もう今日はもうおっさんホいホいなんでいいとか悪いかどい。あのやりたいのゲーム。
[00:16:30.399] しかもさ、MSXなのにさ、ちゃんとあの
[00:16:33.079] 、なんて言うの?並走のレベルアップが
[00:16:35.440] あるんだよ。レーザーシャープ1とかだ
[00:16:37.839] から同じ並走でも2回取ったらそれが強く
[00:16:40.040] なるみたいな。これ結構ファミコンには
[00:16:42.160] なかった要素だし。これも頑張ってるよな
[00:16:44.360] 。いいね。オプション取りたかった。
[00:16:48.160] オプション取りたかってる。まいっか。
[00:16:58.720] いや、味がありすぎるだろ。このフラグ。
[00:17:04.319] このガクガクスロールもね、そんなに悪く
[00:17:06.559] ないとなるから別にそんなにきつない。
[00:17:09.559] 手中だから全然1面もしてないんだけど。
[00:17:13.039] ま、ガザガザスクロールじゃなくて多分
[00:17:14.559] 超えられてない。多分ね。下手だろ。
[00:17:18.280] ここ取れないわな。これについてる
[00:17:21.079] ボリュームッドも連動してるので。危何
[00:17:26.679] ヒットビット本体についてる。ジョイ
[00:17:28.960] パッド。あ、何?あ、連車ボリューム。あ
[00:17:31.280] 、なんかついてるよ。そう、そう。連車、
[00:17:33.080] 連車機能がゲーム機本体、ゲーム機って
[00:17:35.480] いうか、このパソコン本体の機能として
[00:17:37.559] あって、ま、それはちょっと追いおいだな
[00:17:39.120] 。まずはちょっと、まずはちょっと
[00:17:42.600] 自力でくれ。
[00:17:45.559] マ取った方がいいのか、これ。
[00:17:48.760] いや、それも当たり判定ある。そのちょ、
[00:17:51.080] ちょこっと出てるやつもダめ。
[00:17:59.640] 一応ここ中間ポイントなんですか?ま、ちょっと手つかれたら連車もまあ連車もやむなし。まずはまずは待って。
[00:18:15.080] せめて1
[00:18:15.679] 面ぐらいはクリアしようよ。せめて
[00:18:18.159] 1面ぐらいはクリアしようぜ。
[00:18:25.360] はい。ペロ。お疲れ。だめだ。
[00:18:27.919] 全然できねえ。全然できねえや。しかも
[00:18:31.760] これ何?コンティニュー?あ、
[00:18:32.799] コンティニュー。F5って書いてあるんだ
[00:18:34.039] 。F5ってどれ?F5でコンティニュー
[00:18:36.720] できるんだ。ま、で、ま、これ
[00:18:38.039] コンティニューしか。
[00:18:41.120] 今日はもう歴史あるMSX版グラデウスに
[00:18:45.039] やるからな。
[00:18:47.600] BGMかっこよすぎだろ。
[00:18:53.960] 味わ
[00:18:54.919] いや、味がありすぎる。
[00:18:57.679] 舐めば噛むほど。
[00:19:00.640] もう、もうすでに俺は指が痛い。もう
[00:19:03.400] すでに俺は指が痛くなってる。
[00:19:08.799] こう連射あの長押しでさ、ずっと打って
[00:19:11.799] くれるみたいなそういう気の聞いたあれで
[00:19:13.679] はないんだよ。
[00:19:16.080] あ、レーザーの方がいいかもな。下手くそ
[00:19:18.640] 。レーザーの方がレーザーの方がいいのか
[00:19:22.240] 。
[00:19:23.840] 2体取ってこ。あ、レーザーいいじゃない
[00:19:26.320] ?レーザーはこのさ、長押しでほらやって
[00:19:28.480] くれるから連打しなくて
[00:19:32.880] 上の敵やんの上の敵やるのが
[00:19:38.240] 極端早くない?敵の弾の速度がさ、1面の
[00:19:41.600] 速度じゃねえ。
[00:19:48.880] このグラフィック味ありすぎるだろ。
[00:19:53.440] いや、ダブルは取らない。
[00:20:02.159] いや、無早いよ。
[00:20:04.240] おシューティング下手くそちなみにちゃまさんのすぎるんはソニーのヒットビットシリーズでもメイク中のメイクと言われるモダルなので買い物です。
[00:20:15.919] そうね。ちょっともう下手すぎるんだよ。シューティング減て。
[00:20:21.960] シューティングやっぱ下手なんだけど好きなのでも好きなのでも好きなの
[00:20:29.400] 今日クリアルか
[00:20:32.280] 多分ない。こんな
[00:20:33.960] 1
[00:20:34.200] パートでクリアできるようなじゃないだろ。でも好きなのシューティング。
[00:20:41.840] パチンコ君必死すぎ。
[00:20:43.480] パチンコパチンコ行くしね。パチンコ台私が区面してあげてるしね。お酒飲んだらね暴力的になるし。
[00:20:52.159] でも好きなの?記念日にはケーキ買ってきてくれるの?早すぎだろ。今見たなんか敵の弾早すぎない?まだ一面だよね。
[00:21:05.600] 愛ですね。
[00:21:06.559] 愛だな。愛そういう関係だから俺とシューティングはガクガクスクロールがマジで味がありすぎる。あ、ダブルいいじゃない。ダブルいいかもな。
[00:21:20.960] ダブル使いか。危ねえ。危ね危ね。上も上もやれるから裏に離れるまでマジで死に覚えなので初めはこんなものです。マジでこう難易度なんですよ。
[00:21:33.720] 早いんだよ、このこの敵の敵の弾の速さがさ、
[00:21:39.080] 今時30fスでも目がパシパするのに。
[00:21:42.960] これ何FPSなん?何FPSな?
[00:21:48.720] FPS炭算したらどんくらいな?
[00:21:56.200] まだ頑張れ。ここ頑張って。ここ頑張って
[00:21:58.200] 。ああ、見えてなかった。見えてなかった
[00:22:01.559] 。
[00:22:03.440] むずすぎる。あ、我がさん、こんばんは。
[00:22:06.679] いいでしょ、この、これ良くない?
[00:22:09.480] めっちゃ良くないか?このかっこ待って。
[00:22:11.520] パッケージがかっこいい。まずそこから言いたい。パッケージがかっこいい。スクロールなので
[00:22:16.600] どれくらいか。
[00:22:17.279] パッケージがさ、でかくてかっこよくて最高。ただすぎる。
[00:22:22.960] ただ難しすぎる。
[00:22:26.799] どえよ。よし。頑張ろ。いかっこいい。
[00:22:34.000] SCC
[00:22:34.720] 音源ってやつかな。ちょ、本気出すわ。ちょっと本気出すわ。
[00:22:40.600] さすがに一面のボスぐらいはそろそろミス
[00:22:43.039] てやんねえと。
[00:22:45.559] 和コードはさ、今日さ、分けやつは今日
[00:22:48.120] しんどいだろうな。多分なんだこのゲーム
[00:22:49.919] 。目がシパシパする。
[00:22:54.320] ダブル取っちゃうのか。ダブル取るとさ、
[00:22:56.279] ダブル取るとダブル取ると連車が効かねえ
[00:22:58.840] 。これ弱すぎるだろ。これダブル取ったら
[00:23:02.480] 全然倒せねえんだけど。敵が
[00:23:06.039] だめだ。
[00:23:08.520] ダブル取んない方がいいな。
[00:23:11.480] 画面内に弾が2個しか出ないんだよ。だ、
[00:23:14.000] ダブル取っちゃうと1発打っと画面から
[00:23:17.080] 消えるまで他の弾が打てなくなる。
[00:23:22.960] ま、2ぐらいスピードは2個ぐらいでいい
[00:23:24.880] か。で、ミサイルも取って待っこで稼いで
[00:23:29.760] いきたい。くらい
[00:23:38.000] オプションオプションオプション
[00:23:39.039] オプション1個オプションオプションを
[00:23:40.919] あのステージが始まる前に1個ぐらい
[00:23:43.400] ゲットしておきたい。
[00:23:46.880] あ、待って待って待って。よしよしよし
[00:23:48.760] よしよし。ナイスナイス。危な。よしよし
[00:23:51.159] よし。で、ここまで来たらダブル取っても
[00:23:53.480] いいかな。ここまで来た。上にもいっぱい
[00:23:55.520] いるから
[00:23:59.600] 全然遊べるな。
[00:24:02.159] 全然遊べる。全然遊べるよ。こんな今でも
[00:24:07.440] めちゃめちゃ古いゲームかもしれねえけど
[00:24:10.400] 全然。これ欲張りから取ったら
[00:24:14.240] ダブル取って。
[00:24:17.039] ダブルとあとはあれだな。ガードが欲しい
[00:24:20.440] な。オートフィールド欲しいな。
[00:24:25.200] よし、こちよし。気をつけてね。この変な
[00:24:26.919] 、この辺の弾気をつけてね。早いから
[00:24:28.679] めちゃめちゃ
[00:24:34.600] ま、レーザーもいいけど。でもレーザーは
[00:24:36.919] まだ早い気がするんか。
[00:24:40.159] おしよしよしよしよしよし。もうこれも
[00:24:42.000] 負けないっすわ。もうこれクリア行きまし
[00:24:45.399] たわ。
[00:24:47.200] これもうクリア行きました。
[00:24:52.279] ミサイルもレベル上げて。体るだけ。お、
[00:24:55.919] いいぞ、いいぞ、いいぞ。格闘立って
[00:25:01.399] やめてやめてやめてやめて。弾が多い。弾
[00:25:03.600] が多い。ステージ1のないじゃねえぞ。
[00:25:06.600] これ
[00:25:08.480] 物売るってレベルじゃねえ。
[00:25:14.200] 無理だろ、今の。今の無理だろうが
[00:25:19.960] 1回崩れたらこれだよ。
[00:25:23.960] 1回崩れな、これ。あ、もう今日ちょっと
[00:25:27.360] 多分今日おそらくずっとこれおそらく今日
[00:25:29.919] ずっとこれを見ることになるけど大丈夫?
[00:25:33.120] おそらくこれをずっと見ることになる。
[00:25:35.840] ただBGMめっちゃ良くない?BGM
[00:25:37.480] 聞こえてる?みんな
[00:25:40.440] BGMの格好さをね、みんなに知って
[00:25:42.440] ほしい。
[00:25:48.480] やっぱコナミ覇クラブなんだわな。
[00:25:55.200] 全部打ち漏らし出せて行けよ。打ち漏らし出す。打ちもらす。あ、待って。よし。いい、いい、いい。や、見えてない。
[00:26:10.640] まあ、けど1
[00:26:11.679] 面からクライマックスな難易度なので、
[00:26:14.279] これマジむずいな。
[00:26:24.240] 待って待って待って待って待っよしよし。
[00:26:28.360] あ、1個取り逃したか。いや、ここで
[00:26:30.559] オプションは絶対取っておきたい。この
[00:26:32.520] ステージが始まるまでにワンオプションが
[00:26:35.200] 絶対必要。
[00:26:37.799] レーザーはまだ早い。
[00:26:40.720] ああ。よし。え、ちょっと待。もう
[00:26:44.799] レーザー取ってた。間違ってレーザー取っ
[00:26:46.360] てた。まあでもこれもいいし。まあでも
[00:26:47.520] これでもいいし。まあでもこれでもよし。
[00:26:52.200] レザーボタン連射しなく長押しでいいから
[00:26:55.279] 。長押しでいいからな。
[00:26:59.360] 上の敵倒んだよな、これ。上の敵が倒せ
[00:27:02.000] ないんだ。
[00:27:05.159] 弾がむう
[00:27:07.799] 当たりてでかい。
[00:27:15.320] 今んとこまだ今んとこまだここしか見れてないけど大丈夫だ?今んとこまだよ。
[00:27:25.320] クソむずい。くそむずい。くそむずい。なんかやっぱガクガクストロールだからメモさどこ見ていいかわかんない。あ、も
[00:27:34.919] グラデウス2
[00:27:36.320] がいいんだよ。そう。グラデウス
[00:27:38.399] 2。グラディウス2。グラディウス
[00:27:41.960] 2な。間違えるなよ。2じゃねえぞ。
[00:27:44.480] グラディ2
[00:27:47.799] よしオダブル欲しいね。ダブル欲しいね。
[00:27:50.880] これ本当なん?
[00:27:52.440] え、
[00:27:52.679] 笑
[00:27:53.000] これ本当本当本当本当グラディウス
[00:27:54.679] 2とは違うから。グラディウス2
[00:27:56.279] ね。これ間違えるとマジであの警迫来るからグラディウス警察だ。レトロゲー
[00:28:03.240] 3大タイトル間違えちゃいけないゲーム。
[00:28:05.559] 笑笑月風とえっとなんだっけ?ファイヤーエムブレムとグラデウス。
[00:28:13.679] これ間違えたら本当に頼れてる。メトロゲー系だ。あ、間違えた。あ、違う。ダブルが欲しい。ダブルが欲し。グラディウス
[00:28:22.000] 2が出てるから。笑。
[00:28:23.760] そうそう。アーケードで出てんのがグラディウス
[00:28:26.000] 2
[00:28:26.200] なんだよな。これもう家庭用オリジナルなんでグラディウス
[00:28:29.039] 2
[00:28:29.240] なん。これ大事ですよ。これ間違えると、あの、本当結構厄介な人たちに絡まれるんで。間違えると厄介な人たちに怒られる。
[00:28:41.919] きオプションうまいうまい見てない。
[00:28:45.399] じゃあ家で通きないんだ。笑
[00:28:47.960] いやいや、あのね、ファミコンに移植されてんだよ。
[00:28:49.840] 2
[00:28:50.039] はまたそれも厄介でファミコン版に移植されて俺はそれこないだあの
[00:28:56.240] 1年ぐらい前にあの耐久配信した。
[00:28:58.840] 厄介だな。笑笑。
[00:29:01.279] あのね、このグラデウス2
[00:29:02.519] はあのえ、あの絵なん?普通の数字の数字の
[00:29:06.440] 2なんだ。で、2
[00:29:07.640] はあのアラビアボジっていうなんていう棒が
[00:29:10.320] 2本経ってる2なんだ。これが違います。
[00:29:15.080] BGMマジかっこいい。
[00:29:17.399] BGM
[00:29:17.880] がいい。あ、サイルなかった。間違えた。
[00:29:30.600] とりあえずここで早く本当
[00:29:35.120] オプション取ってきたい。
[00:29:38.159] ま、みんなあのそろそろ違う画面見せるん
[00:29:40.000] でもうちょっと頑張ってくれ。
[00:29:42.240] もうちょっと頑張ってくれ。俺頑張って。今みんなに違う画面を見せてあげるから。ちょっと待って。いや、やっぱダブルがねえとこれ上の敵が処理。
[00:29:52.919] 今日声ちっさない?
[00:29:54.600] え?今日声ちっちゃい。嘘。声ちっちゃい?ゲーム音がでかいのかな?もしかして。え、ゲーム音でかい。声ちっちゃい。バランス悪い。バランス悪いかな?あ、待ってろ。
[00:30:08.640] しかもさ、今思ったんだけど、今思ったんだけど、これさ、ポーズってどうやってやんのね、スタートボタンないんだけど、このゲームね。どうやってこれ、これどうやってね、一旦停止ってどうやってやんの?これスタートボタンがない。どうやって止めんの?い、笑いね。ゲームが少し大きいから。ちょっと待って。でもさ、でもさ、これどうやって止めんの?一旦あ、分かった。これでどう?これでどう?
[00:30:35.880] 本体についてます。
[00:30:37.720] 黄色いボタンついてる。
[00:30:39.200] ああ、こっち。これパソコンの方についてんの?
[00:30:43.039] 黄色ボタン。
[00:30:44.640] おお。あ、止まるんだ、これで。へえ。ここに、あの、みんな分かんないと思うけど、ここに
[00:30:50.000] MSX本体があるんだけど、こいボタンが
[00:30:53.159] ここにあるんだ。ここにあるんだ。え、
[00:30:56.279] すげえや。
[00:30:57.039] どうこれ?ゲーム音?俺今ゲーム音下げたんだけど。ゲーム音もちゃんと聞こえてればこれでいいって。ゲーム音もちゃんと聞こえてればこれでいいって。
[00:31:07.000] もだったら最初からやらせて。だったら最初からやらせて。
[00:31:10.559] MSX
[00:31:11.519] この軌動画面もおつやね。この起動画面も乙なんだわ。
[00:31:18.320] 笑笑。
[00:31:19.880] グラディウス21
[00:31:22.880] かっこいい。
[00:31:23.720] ちょっとゲーム音ちっちゃめにしたんだけどこれで大丈夫?ちゃんとでもちゃんとみんなにこれ
[00:31:28.720] 音良くなったけどつもよりだいぶ音量上げてる。
[00:31:31.760] ああ、本当になんだろうな。なんだろう。
[00:31:36.799] あ、待って待って待って待って待って待って。ストップストップストップストップストップ。
[00:31:39.679] さっきより良いと思うよ。
[00:31:41.240] ごめんごめんごめんごめん。あの俺の声めっちゃでかなった。これ俺の声めっちゃでかなった。これ俺の声めちゃでかなったよな。多分な。ごめん。マイクの
[00:31:50.519] でかくなった。
[00:31:51.639] マイクの
[00:31:52.480] でか。
[00:31:52.919] マイクの
[00:31:54.480] ごめん。マイクだ。マイク
[00:31:55.960] でか。笑。
[00:31:56.799] あ、嘘。そんなで、そんなでかなった。そんなでかなった。
[00:32:00.080] 笑笑。
[00:32:00.760] ごめん、ごめん、ごめん。マイクのあれ、あのボリュームがちっちゃくなってた。
[00:32:04.600] いつもの音量なった変えたらそうなるわな。
[00:32:07.880] いや、あのね、違うんだよ。あの、このダイヤルがついてんのよ、俺のマイク。マイク単体であの音をこうやって絞ったりあれしたりできんだよ。で、つもいつものとこになってなかった。ごめん。いつものとこになってなかった。じゃ音上げるわ。じゃあ、
[00:32:21.320] じゃ、ゲーム音あげるわ。じゃあ多分そしたらゲーム小さめて思って。
[00:32:24.880] あ、本当にチマゲームから勢量抜いたらただのデブなっちゃうからな。チマゲームから精量抜いたらそれはただのデブですわな。
[00:32:33.440] 笑笑。
[00:32:34.279] ちょっとじゃあゲーム音大きめにするね。多分あの
[00:32:37.000] MSX
[00:32:37.519] はマジでゲーム音ちっちゃいから。もう
[00:32:40.559] 1
