[00:00:52.039] ひ
[00:11:50.839] 出るのかな?天空シリーズ
[00:11:54.320] HD2やるんかな?
[00:12:08.639] 出ないかな?リメイクかよ。
[00:12:13.040] そう、ナのリメイクとかでそうでも、でも
[00:12:15.240] 9
[00:12:15.519] も多分ね、やるんだったらせと同じ感じか。
[00:12:18.600] 配信始め
[00:12:20.158] [笑い]
[00:12:21.199] もう待っとけ。俺が始まる前から
[00:12:23.680] 8
[00:12:23.880] 時からやるっつってんだから。どうもプラさんこんばんは。
[00:12:29.360] ギガデイン
[00:12:33.120] ギガデインがね強くてね。
[00:12:39.399] エニックスといえばドラクエしか思いつかないけれど他に何か代表作あったっけ?
[00:12:45.040] うんとね、エニックスは元々パソコンゲームっいっぱい出してたからね。あれじゃない?それこそ
[00:12:54.600] 焼き尽くせ。
[00:12:55.480] うー。いや、色々あるけどね。ピア連続殺人事件とか
[00:13:01.760] パソゲーだよ、元々。
[00:13:04.160] 鼻ほじほじしながら配信待ってました。
[00:13:06.800] いいよ。
[00:13:07.079] 鼻ほじほじしてもいいかな?コメコメントしに来た前ドワドアとかで食らっちゃって見ったか?
[00:13:22.839] MP使いだよ君たち。
[00:13:31.959] どこ光った?
[00:13:36.880] 俺この曲知らねえなあ。
[00:13:41.920] HD2Dで次多分リメイクされるとしたら
[00:13:44.680] なんかあれ来そうだよな。なんだっけあれ
[00:13:50.040] ?クロノトトリガーきそうだよな。
[00:13:52.360] そろそろクロノトトリガーのリメイクの話
[00:13:54.600] が出てもおかしくないと思う。
[00:13:57.680] 勝っちゃうんだろうな。黒の鳥がリメイクされたら
[00:14:00.680] 作ってるだろうな。
[00:14:01.959] うん。だって神ゲーだもん。配信でやるかわかんないけど。あれめっちゃエクスリメイクタイトル今後あるのかなって思ったけれどさすがにないのかな。出るならそれでデビューし
[00:14:15.040] ぴったり。
[00:14:15.600] 確かに初見の人はそれでやれるのめっちゃ羨ましいわ。エニックスって本当にほとんど本当ドラクエだからね。
[00:14:25.600] まあ、その他だったらなんだろうな。
[00:14:28.320] ファミコンには色々あるけど色々ないか。
[00:14:30.160] ファミコンにもあんまないか。ジーザスと
[00:14:32.759] かない。
[00:14:37.639] えー、
[00:14:40.959] ちょっと遠率高すぎねえか。
[00:14:46.399] でマシのリメイク話。え、何それ?
[00:14:49.680] シャドウ
[00:14:50.880] マシリトってあの編集の人でしょ?ドラゴンクエストのドラゴンボールの
[00:14:54.199] ワのハド2Dあったらやりたい。
[00:14:55.920] シャドウゲート64やるよ。シャドウ64
[00:14:58.079] やるよ。テリワ
[00:15:00.480] 2Dてた。
[00:15:04.000] 聞くなって答えてた。へえ。まあでもあれは色々権利難しそうだよね。
[00:15:15.279] ちょっと演下高こ
[00:15:20.440] 気がデイン
[00:15:23.040] MP
[00:15:23.720] お前らどうすんねんそれ俺が大声出すと思ってんだろいたら地獄だろうな
[00:15:29.600] 4枠のでかい
[00:15:30.560] この中でこんばんは
[00:15:34.440] 4
[00:15:34.680] 枠のでかいまあまあまあね
[00:15:43.720] やっちゃえ。食いても遅い。いいね。てかなんか最近あれじゃなくない?最近さ、あの忍ああ、もうクリアじゃん。ぶっちゃけもうこれクリアのやつじゃん。
[00:16:01.550] [笑い]
[00:16:04.600] きちゃわ出た。
[00:16:06.600] もうこれクリアやつじゃん。ぶっちゃけぶっちゃけこれクリアですよね。も
[00:16:17.759] ちなみにドアドアはフニックスが開催したプログラムコンテストでだった中村さんが応募して優勝を受賞した作品なんだよね。
[00:16:29.680] クリアし村光一ってあれだよね。ソフトの人だよね。
[00:16:36.279] あった。ありました。
[00:16:50.959] 前に見たのと同じ新珠がついているわ。
[00:16:54.040] これは
[00:16:56.639] ボス戦2人ねえかな?いや、まだいる
[00:17:01.720] の続きが気になる。そろそろ
[00:17:04.199] ああ、そ、忍、忍、忍、忍、忍なくない?最近やってんの俺。なんか最近配信もやってなかったからあんまり忍とかも追ってなかったけど忍代次なんかどでかいタイトル
[00:17:17.480] そろそろ来るでしょ。
[00:17:18.679] そろそろ来るよね。の手紙何が書いてあるの?
[00:17:21.360] ドデカタイトル来そうだよね。あとしかも
[00:17:26.400] この船は海に沈むことになるはずだ。
[00:17:31.480] 海の中ならばいつか君がこの手紙を見つけてくれる。
[00:17:37.000] 男の方もクソおめえわ。
[00:17:38.200] マリオの映画でダイレクト。
[00:17:39.679] 男の方もクソめえわ。
[00:17:44.480] 男の方もくそあれだわ。重たかったわ。人形だけじゃなくて
[00:17:49.360] 君を騙していたこと許してほしい。
[00:17:53.280] 早く成仏しろな。思いや同士。
[00:17:56.559] 人魚の君との出会いを金儲けのチャンスだと思っていた。この耳飾りも高く売れるだろうなんて考えていた。でも僕は変わったんが君と一緒に過ごして
[00:18:13.960] 絶賛鼻の調子悪い。
[00:18:16.039] 君を好きにを手紙残してるかもしれん。僕は本当の気持ちに気づく前に父君のことを人魚のことを話してしまっていた。父は君の町へ行って人形をつい物にした。
[00:18:22.377] [笑い]
[00:18:45.200] 金儲けをしようと企らんだ。
[00:18:47.799] そういや人魚って長なのね。
[00:18:50.600] そうだね。になった。
[00:18:54.240] それがあの夜君に見られてしまった時のこと。
[00:18:57.880] あ、やっぱ見られたの分かってたんだ。
[00:18:59.640] あの時の悲しみと失望に満ちた君の目は一生忘れることはできない。傷つけてしまった。
[00:19:09.679] 何この
[00:19:10.640] 本当にこ
[00:19:11.159] 手紙を届けるために船事沈自殺したってこと?
[00:19:15.039] とんでもねえな。重たくて。
[00:19:17.120] 他の証人仲間たちにも人間のことを話してしまったんだ。
[00:19:22.840] 昔俺の友達もさ、彼女浮気されちゃったやつがいてさ、めちゃめちゃショックでさ、
[00:19:29.600] 死ぬ、もう死んでやるとか言い出してさ、
[00:19:32.080] 僕に案内しようとったか。醤油ガブの見して死うとしたからね。
[00:19:36.480] いや、死に方君。[笑い]
[00:19:39.280] いや、今だから笑えるけどね。いや、死に方たった
[00:19:42.559] 1つ。笑
[00:19:43.400] なんやねん、その死に方。
[00:19:48.838] [笑い]
[00:19:49.159] 父の分に納得したふりをして
[00:19:51.440] 醤油ガブのみてやるやつ。
[00:19:55.120] の時やるやつ。
[00:19:57.360] 全て商人たち一緒だ。
[00:20:00.559] 僕の計画がうまく進んでいればこの船は
[00:20:05.000] は
[00:20:06.120] 海の底にし
[00:20:07.080] お前何この周りの人全員巻き込んだってこと最低やで
[00:20:11.200] 永遠に眠るのだと思えば
[00:20:13.480] 何重
[00:20:14.320] 今からしようとしていることは
[00:20:16.080] 重いて新しい恋愛しよう
[00:20:21.799] 嘘はなかった傷つけてしまって本当にじゃ
[00:20:27.720] この船に乗ってる人たち巻き込まれたってこ
[00:20:30.120] ずっと思てる。
[00:20:42.640] いやいや。え、泣けるか
[00:20:45.159] にしようとしたやつ全員
[00:20:46.720] 56す。
[00:20:47.960] あ、全員あれあれがそうお前らようなくなら金儲けのために乗ってやつだからされてなかったんだね。
[00:20:59.600] この手紙早く届けてあげようよ。
[00:21:04.679] あのさ、お前らさ、もう君が死んだのもう忘れてるよね。なんならもうくんの時より泣いてますよね。俺は泣けないね。もう君が死んだから。
[00:21:15.039] 笑笑。
[00:21:17.919] [音楽]
[00:21:20.200] 戻りましょう。女王様の元へ。
[00:21:24.240] もうくん。
[00:21:25.840] もう誰も覚えてない。[笑い]
[00:21:28.720] もうくんだ。誰?
[00:21:33.679] もうくんはうんこ作ったからセーフ。
[00:21:37.569] [笑い]
[00:21:38.440] うんこ。うんこみたいな。えっとどこだ?えなんだっけ?アルメハ?アルメハ激重やんけ、こいつら。
[00:21:59.159] ま、それほどまでに人を愛すということは素晴らしいことなんでしょうな。それほどまでに人を愛するということは素晴らしいことなんでしょうな。
[00:22:09.840] この重さがたまらない。
[00:22:23.120] はい。やってきたよ。
[00:22:28.600] おお。真獣を見つけたのか。そうか。本当に良かった。ありがとう。私の長年の胸の使えも取れたよ。
[00:22:42.159] 本当か?
[00:22:44.360] さあ、マーメイドハート。
[00:22:46.240] 本当に真珠だけで取れたか?この側近のマーメイドが一番エロいねん。なんか顔隠しちゃって。
[00:22:54.400] こ、こいつ1番
[00:22:55.600] あっさりしてんな。
[00:22:57.240] うん。くの時も結構あっさりしてた。
[00:23:03.640] えっと、
[00:23:04.559] こいつエロない。このこれ怖い。これ怖い。このこいつゲームだけでもマスク美人ってあるんだな。やっぱこっから下隠れてるとちょっと想像力書き立てられるんだよな。やっぱな。
[00:23:17.131] [笑い]
[00:23:22.200] 稚魚おなかなか面白いこと言うじゃねえか、お前。なかなか面白いこと言うじゃねえか、お前。稚魚、こいつ稚魚だろ。
[00:23:26.301] [笑い]
[00:23:31.279] 笑笑。
[00:23:34.400] これでこの海のあらゆる場所に行けるようになったはずだ。も、
[00:23:38.091] [音楽]
[00:23:39.880] まだ行けないとこあった。
[00:23:40.799] そなたたちの訪れを待っておられるだろう。本当に良かった。
[00:23:48.240] 手紙一応渡しとこうぜ。
[00:23:50.400] どうした?皆喜ばないのだな。
[00:24:03.720] 女王様にお渡しせねばならないものがあります。
[00:24:07.360] 手紙な。これ水の中で開封したらグズグズになるだろ。
[00:24:22.159] その真珠と共に置いてありました。すみません。私たち読んでしまいました。これは女王様へのお手紙です。
[00:24:34.799] 女王様がかつて大切に思っていた人からのそんなまさか
[00:24:49.080] 泣いてる。水の中なのに。
[00:24:51.200] 私たちはこれで失礼します。ありがとうございました。
[00:24:57.840] 引っ張られた。
[00:25:01.760] え、ちょっとどうなったの?この後なんで突然そんなに急ぐの?
[00:25:10.159] あの手紙1
[00:25:11.159] 人で読みたいに決まってるでしょう。なるほね。
[00:25:13.600] 私たちが邪魔しちゃ申し訳ないじゃない。
[00:25:16.279] 戻ろうぜ。
[00:25:16.919] なるほどね。これが
[00:25:18.399] なるほど。
[00:25:19.080] 女心ってやつだな。ここに
[00:25:22.080] おめらにわかんねえだろうな。
[00:25:23.440] 本当に色々なこと。
[00:25:24.600] もうここで戻ろうぜとか言ってるやつはもう終わりです。
[00:25:28.132] [笑い]
[00:25:29.240] ここで戻ろうぜとか言ってる人はもう
[00:25:31.919] ルビス様のとこ
[00:25:32.919] もう女心なんて1mm
[00:25:34.640] も分かってないからな。もう終わり終わり。
[00:25:36.799] ハーゴンと戦うにはルビス様の力が必要だもん。
[00:25:43.600] どんな人?いや、精霊さんなんでしょうね。僕お会いするの楽しみです。思う。
[00:25:51.057] [笑い]
[00:25:54.520] やけ持て。はい、戻ります。はい、戻ります。
[00:25:58.399] どうだった?手紙どうだった?
[00:26:00.520] だ、行きます。
[00:26:06.440] すぐに戻ってきた時用の会話が用意されてんじゃん。ほら、すぐすぐ戻ってくるんだろうなって裕も思って会話用意してるじゃん。
[00:26:15.120] 飲んでり。笑笑。
[00:26:18.480] ああ、泣いたって。ほら、
[00:26:20.640] 泣いたってさ。
[00:26:22.000] ミスかされてる。
[00:26:23.039] まあ、人間誰でも戻るわな。これ戻らないやついるの逆に。
[00:26:24.463] [笑い]
[00:26:28.840] なんか初見でこのゲームを配信してるやの
[00:26:32.399] ここのシーンだけ集めたいわ。戻らない
[00:26:35.080] やつ絶対いないよな。戻らずに行くやつ
[00:26:38.279] いるのかな?
[00:26:41.600] 配信でこのゲームやってるやつのここだけ
[00:26:43.440] 見たいわ。
[00:26:45.480] 人形を滑る異厳がある女王になったつもり
[00:26:47.320] でいたが、まだ私にこの小娘のような感情
[00:26:50.520] が残っていたとかな。
[00:26:53.919] そんな風に言わないでください。
[00:26:55.200] 大切な人のお別れや悲しいことは誰だって取り乱します。
[00:26:59.279] 配信外で戻ってる人多そう。
[00:27:02.080] いや、戻るだろ。配信だって。これまでずっと私は後悔しなかった気はない。彼を愛したこと、あの信情を捨てたこと。自分自身をずっと軽別していた。私が愚かだった実は変わらないが彼との思い出に嘘はなかった。それが分かって私は救われたよ。ありがとう。世界を救う前に私の心を救ってくれたな。
[00:27:26.200] 良かったです。本当に。では
[00:27:27.520] ちゃちゃちゃっと世界の方も作ってき
[00:27:28.960] ちゃいますね。
[00:27:34.960] よし。
[00:27:38.840] まあまあまあまあまあ良かったんちゃう?
[00:27:41.080] 良かったんちゃう?
[00:27:45.760] したらどこ行くかだよな。
[00:27:48.519] ルビス様を復活させに行けばいいの?
[00:27:58.240] その前に1回ガチャ引くべ。
[00:28:06.000] 何枚持ってんの俺?
[00:28:08.320] あ、3枚しか持ってない。いや、これで
[00:28:09.720] 黄金で指輪を引き当てるという俺の配信者
[00:28:13.799] 。ゴミだわ。ゴミです。イカ様カジノここ
[00:28:18.000] 。
[00:28:18.880] イカ様カジノが2度と来るか
[00:28:22.039] 来い
[00:28:23.080] きません。全く顔に愛リケコロアスアガメロークスコール配信力だなんつってんの?なんてセンキューフォカミングセンキューチャットありがとう。アイリアレイなうるうるせえわかんねえな。
[00:28:46.120] なんつってか本当に本当に。あ、さらに深いとこに行けるすごく好きです。ゲームもかっこいいです。
[00:28:53.240] まあね。俺のこと言ってんじゃないの?かっこいいって。色合いって。この部屋パニーズグレテストゲーマーチャマゲームリメバオケ
[00:29:13.200] の
[00:29:14.120] プリーズ。
[00:29:14.880] リメンバジャパニーズグレーテストレトロゲーマーチマゲームここに行けばいいの?
[00:29:21.799] どうもイケメンですって言ってます。
[00:29:24.159] 絶対言ってないよね。だって
[00:29:25.720] 1回しかコメントしてないもんね。
[00:29:29.480] うわっと。
[00:29:31.159] いや、何が俺そうやろ。グレイテストジャパニーズレトロゲーマーモストグレーテストグレーテスト嘘。
[00:29:39.655] [笑い]
[00:29:40.679] いや、穴がち嘘でもねえだろ。
[00:29:42.799] こんなやついたら名乗りをあげろ。ダブルドラゴンクエスト
[00:29:47.559] ドラゴンクエスト1ア2マ2D
[00:29:50.640] 版ドラゴンクエスト
[00:29:52.799] Iアマイナ
[00:29:54.640] 2Dレ負け
[00:29:56.559] あ、そういうことね。えっと、たださ、これさ結局
[00:30:07.000] ちゃった
[00:30:07.559] オりオリハルなくなっちゃった。オリハルコンとかも手に入れてねえし。
[00:30:09.130] [笑い]
[00:30:13.360] まだクリアまで結構あんじゃねえかな。あと
[00:30:21.799] 5時間ぐらいでクリアできるかな。
[00:30:30.000] 吹いても遅い。
[00:30:41.399] この2つ怪しいよね。
[00:30:46.159] ちゃおうかな
[00:30:51.240] ね。ここを潜れるってこと?いや、怖いん
[00:30:53.399] だけど俺。俺さ、こういうのだよね。おあ
[00:30:57.559] 、なんだっけ?この
[00:30:58.919] シードラゴンみたいなやつ逃さない。
[00:31:04.200] ああ、なんか敵ちょっと強いかもな。
[00:31:10.240] プレシオド
[00:31:12.320] 後ろでもしてるんだね。
[00:31:15.440] あ、これね。そう、そう、そう。このわざわざわざわざ
[00:31:19.519] sイッチ2の映像をあの
[00:31:23.399] あれに映してるんだよ。あのんだっけ?
[00:31:27.919] ブラウンカテレビに映してる。
[00:31:33.720] 水中でも炎系の魔法しか使わん。でもこれあれだからよく見たらあのう、あのこれほらあれだからね。
[00:31:39.880] シレ乙つ
[00:31:40.840] あの船は空気だからね。めっちゃ怖ないこれ。俺海王恐怖症だからこういうのめっちゃ怖いんだけど。いや、何?まだね、まだまだ結構あるじゃん。まだ結構あるじゃん、これ。
[00:31:59.039] やあ。
[00:32:02.799] 怖いけど神秘。
[00:32:04.480] 怖い。怖いけど神秘。
[00:32:07.720] それだな。
[00:32:08.399] 行け。
[00:32:13.559] なんか夜になると鼻詰まり余計ひどくなるな。あ、
[00:32:20.600] マカロンがもう
[00:32:22.760] MPねえから何もできねえ。
[00:32:26.080] 蓄症。いや、風なのか花粉なのか。
[00:32:30.399] 気温が下がったか
[00:32:32.320] かな。海底物子なんだとねえ。これ絶対キラーマジンがいるやつじゃねえの。これドラクエ
[00:32:41.600] 6のあれだろ?違うかな?
[00:32:44.000] あこはプレイ。
[00:32:48.639] ほら絶対そう。
[00:32:51.320] これドラあれだろ?ドラクエ
[00:32:53.159] 6のやつだろ?これドラクエ
[00:32:56.159] 6
[00:32:56.519] のやつやんけ。これ知ってるよ、俺。これ
[00:33:00.039] さっきのやつ魔人が様
[00:33:01.679] だよね。絶対そうだよね。
[00:33:05.519] 言ったれ。
[00:33:07.039] なるほどね。こういうのもあるんだ。やるしかねえな。やるしかねえな。
[00:33:16.480] グリーンガムあるんかな?
[00:33:18.880] グリーンガムの鞭道具はいらないって。
[00:33:21.919] セーブしてから行くか。
[00:33:23.679] いや、あの
[00:33:25.480] する。
[00:33:29.000] いや、もう新じゃないって。
[00:33:35.639] 水中2まで承認してくれるのかよ。
[00:33:36.768] [音楽]
[00:33:38.880] 確かにどうやって来てんの?どうやってここまで来た?
[00:33:42.320] パッパっこい。
[00:33:46.240] 大声でパフパフ屋さん呼べんの?大声でさ、パフパフ屋さんは呼べないの?これめっちゃ便利だぜ。そしたら
[00:33:57.159] るやん。
[00:33:59.038] [笑い]
[00:34:00.880] チェンジもか。鼻詰まりひどいな。うわお。
[00:34:05.588] [笑い]
[00:34:13.839] わお。まあ行けるだろ。まあ行けんだろ。
[00:34:20.760] ああ。
[00:34:23.320] いや、行ける、いける、いける。言うてそんなボス、そんな強ないやろ。
[00:34:28.399] やっぱかっこいいね。
[00:34:29.720] いや、かっこいいね。キラーマシン
[00:34:31.240] 2ってのかっこいいね。
[00:34:33.040] 強いよ。
[00:34:35.280] え、強いかな?言うて俺らも結構強いぜ。
[00:34:44.888] [笑い]
[00:34:50.040] 笑笑あだ。笑笑。
[00:34:57.334] [笑い]
[00:34:59.320] ええ、そんな
[00:35:07.760] 1
[00:35:08.000] ターンです。
[00:35:13.160] 何これ?
[00:35:16.079] みんなみんな何これ?死んだことにすら気づいてないやん。ええ。
[00:35:17.639] [笑い]
[00:35:42.000] こっちも一緒だよな。ええ、ラスボスより絶定強えだろ。
[00:35:51.760] 確実にバズよりも強そうだね。
[00:35:54.240] まあ、
[00:35:56.040] そう、
[00:35:56.560] これ
[00:35:58.640] 6
[00:35:58.880] の時より瞬殺泣きすぎもやばかった。
[00:36:02.240] 変わるんじゃない?
[00:36:03.839] あ、そうなんかな。
[00:36:08.280] うわ、とりゃほら。
[00:36:15.079] う、頑張って。
[00:36:17.720] てか、もう普通に敵が強えや。普通に敵がめちゃくちゃ強い。
[00:36:25.000] うらー。
[00:36:28.319] ベホイミ。
[00:36:34.680] 危ないよ。
[00:36:35.400] 強くない。
[00:36:36.240] ごめん。
[00:36:37.480] お、おす。ベ。めっちゃ敵強い。
[00:36:42.599] よかった。助かったよ。
[00:36:49.440] 行け。
[00:36:52.079] もう正味クッキーのこの雷デギガデ
[00:36:54.960] 逃げまくってましたね。
[00:36:57.280] いやでもレベル上げたいよね。レベル上げたいよね。きついけどね。いいね。
[00:37:11.680] なんかあるよ、ここ。
[00:37:14.680] あ、なんかあるやん。
[00:37:17.599] え、
[00:37:19.400] ターバン。あ、しかも全然違うわ。俺が
[00:37:22.440] 言ってた。俺ここがと、ここがあれかと
[00:37:25.040] 思った。目的地かと思った。違うんだ。
[00:37:34.520] で、昔の服としても全回復な
[00:37:38.920] そうだね。
[00:37:41.520] ありがとう。
[00:37:42.440] ギガデイン。
[00:37:43.720] もうクッキーがギガデイン打ってくんないと何にもならないんだけど。いや、ク地がだってもうなんかダチだもんな。ぶっちゃけ
[00:37:48.946] [音楽]
[00:38:00.000] 2000とかあの程度でもらえんだと。
[00:38:06.880] こえろ。決めるわ。
[00:38:11.920] まさかの力にないとは
[00:38:14.280] 本当だよね。役立たず筆トだったのにな。
[00:38:25.960] 何これ?え?え?何これ?何これ?何これ?え?何これ?え?え?何これ?え?なんだ?
[00:38:36.839] いや、敵が強え。強いって。おい、待って、待って、待って、待って、待って、待って、待って、待って。え、何これ?何これ?何これ?え、まずい。笑笑。
[00:38:50.560] 化けも
[00:38:52.480] はえな。何?え?
[00:39:04.640] クラゴンは3回行動有名やね
[00:39:08.680] え。
[00:39:11.880] やり直しならこのまま当たりに行ったら全然ゲーム
[00:39:20.200] 4
[00:39:20.440] 回ぐらいミスったらいい。いや、ま、とりあえず宿屋、とりあえず宿屋呼ぶけど。これなん?ね、これは何?おい、
[00:39:35.640] ドラクエさんであの、イカにボられた。
[00:39:37.920] おい、おい、おい。幽霊戦。
[00:39:40.560] おい、おい、おい。幽霊戦って何?幽霊戦って何なの?
[00:40:00.040] 海底まで呼ぶのやめてあげて。
[00:40:03.640] あ、来い。
[00:40:12.359] いや、ちょっと待って。なん、なんやねん。あの、
[00:40:15.160] なんやねん、今の。
[00:40:17.640] ベッド持っていくよ。
[00:40:24.400] あ、あ、あ、あ、あ、あ。なんなのあれねえ。怖いんだけど。なんかな
[00:40:33.640] んだあれ?ジャーク。
