[00:00:11.719] ちゃまドペペペちゃまドペペペちゃまドペ
[00:19:35.760] チュートリアルモードを開始しますと
[00:19:37.600] クローバーシステムっていうの
[00:19:39.679] はだけですね自分もこれ手にってXで調べ
[00:19:44.120] たらちゃま出てきて笑いました幸福操作感
[00:19:48.320] 配信で調べたら俺とチャドクガさんしか出
[00:19:50.360] てこないだろう
[00:19:52.640] なえアバターについてオペレーターがする
[00:19:55.559] キャクターアバターと言ますアバターは
[00:19:56.960] ハビタットないで自由に行動をしています
[00:20:01.640] たこの
[00:20:04.039] クソ聞いてくれあこんばんは久しぶりに
[00:20:06.679] やるぞこれあのクソ汚ねえ動物の森みたい
[00:20:10.120] な
[00:20:11.720] 声えハートについてアターが行動し幸せに
[00:20:15.440] なるとアップエレメントかこハートが出現
[00:20:18.480] しますオペレーターが何も操作しないと
[00:20:20.080] ハートは右のメーターに飛んでいきます見
[00:20:21.880] ててくださいあの要はこのおっさんこの
[00:20:24.720] おっさんが今ジュース飲んでおいしい
[00:20:26.919] おいしいって思ったらハートが出ます
[00:20:28.320] ハートでこのハートをでかハート文章だけ
[00:20:32.320] めちゃ何もしないとこのあの右のメーター
[00:20:35.880] な右のメーターに止まるんよ右のメーター
[00:20:38.559] にな右のメーター右のメーターを
[00:20:40.480] パーソナルタンクと言いますタンクの中身
[00:20:42.280] はハッピーエナジーですハッピーエナジー
[00:20:44.200] が多いほどアバターは幸せになり幸せな
[00:20:46.159] 気分に基づいた行動を取るようになります
[00:20:47.960] 要はこのゲームの目的は仮想空間の中に
[00:20:51.080] いる100人の人間をま自分が操作して
[00:20:54.159] こう幸せにしてあげるんですよこの
[00:20:55.919] ハッピーハッピーエナジーをこう貯めてこ
[00:20:58.679] 右のメーターをできるだけ高い値にして
[00:21:00.679] あげるが大まかな目標なんですよ回だよ
[00:21:03.880] ちゃじゃちょちょ待ってもうちょっと待て
[00:21:07.840] はいはいほら今ハッピーになりまし
[00:21:12.159] たクソ汚ねえ動物の森ちょ待てちょ待てあ
[00:21:18.200] くそくそあれになったで逆にまずいまずい
[00:21:22.600] ものとか食べたりなんかなんか転んで怪我
[00:21:25.039] としたりとかするとダウンエレメントが
[00:21:26.919] 出るんですよもうそうするともうこうわあ
[00:21:30.480] とあの逆に下がっちゃうんすねメーターが
[00:21:33.559] 下がっちゃうんすよそうすると不幸になる
[00:21:35.120] んすねでも不幸になるともうほら不幸に
[00:21:38.640] なるともうすごいもうもうすごい不幸なの
[00:21:41.200] よあもうお腹痛いしもうだめだみたいな
[00:21:43.919] なっちゃうんすよはい次のステップに行き
[00:21:46.080] ます大丈夫ですかついてこいよお前らおい
[00:21:48.960] 振り落とされんなよ大丈夫だよな分かり
[00:21:51.640] ましたかここまで
[00:21:54.400] 笑笑ここまで分かったみんなガンバさん
[00:21:58.159] はてブロあ
[00:22:01.120] はい
[00:22:03.440] うんままあ分かったね行きますよ次にまだ
[00:22:08.559] ポケモンの頭からもうポケモンは忘れろ
[00:22:11.600] 捨て
[00:22:13.919] おけまだチュートリアルだからなえ
[00:22:18.440] スナッチについてアバターの出したハート
[00:22:20.440] をオペレーターが奪うことができますあ
[00:22:22.360] この人があさっきジュース飲んでおいしい
[00:22:24.559] つって右の右のさていいんだねわかったよ
[00:22:30.720] 配信右のメターがされちゃう感じですそう
[00:22:34.840] そうそう俺のだからみんながアバターだと
[00:22:37.360] したら俺の配信が始まったつたらクソ
[00:22:39.360] でけえハートが出んだよお前ら俺のこと
[00:22:41.120] 好きだろうからな俺のアンチがいたとする
[00:22:43.120] じゃんそしたらもうクソでかいドクが出る
[00:22:45.240] みたいなそういう感じこのおじちゃんは
[00:22:47.640] ジュース飲んで美味しかったから今ハート
[00:22:49.080] が出たんだよで今度スナッチね始おなんで
[00:22:51.640] ド出てんだんでド出てんだよであのこの
[00:22:55.919] このハートをね奪うことができるんですよ
[00:22:58.520] 奪うてんなのと奪うって何なんですかとま
[00:23:01.919] 見ててください喉が乾いた
[00:23:06.360] なア33ましたこれで
[00:23:13.520] ますハートが空中にあもこんばんはえ
[00:23:17.000] ハートが空中にいる間に丸ボタンを押し
[00:23:18.760] 続きますするとハートは左のタンクへと
[00:23:20.520] 飛んでいきますこの操作をスナッチと言い
[00:23:22.919] ますなぜこのアバターの幸せを奪わなきゃ
[00:23:26.080] いけないのかまちょっと見てください奪う
[00:23:27.960] ことがきます今度こっちのタンクに右左側
[00:23:30.480] のタンクに出ました
[00:23:32.840] ねでスナッチした時にハートが入るタンク
[00:23:36.159] をオペレーターズタンクだ俺俺の俺の
[00:23:38.240] タンクよ俺のタンクな俺のタンク俺俺の
[00:23:42.039] タンク俺が操作してる人間のタンクねが
[00:23:44.640] ハートが入るとハート内のハッピー
[00:23:45.919] エナジーが増えますこれ一緒右も左も
[00:23:49.120] ねでハート以外にドクロをスナッチする
[00:23:51.960] こともできるだからこいつがすっごい幸せ
[00:23:53.960] なのになんかでっかいドロを出してああ
[00:23:56.520] こいつ不幸にしたくないっつったらそのド
[00:23:58.159] を俺がが吸い取ってあげることもできんの
[00:23:59.600] よ俺があそのどろ俺が受けるつって
[00:24:02.640] 吸い取ってあげることもできん
[00:24:06.400] のまずいそしたら俺がこれをうわ俺が受け
[00:24:10.559] てあげるうつってそうすると詳細するわけ
[00:24:14.080] 今まで吸い取ってた分のハートを相殺して
[00:24:17.600] そうそうでドを吸い取ってあげることでき
[00:24:20.360] んだよそたこいつはあの幸せなままでみた
[00:24:23.840] だなえわかんねえ
[00:24:25.880] なやめてね俺あのも通ってないからそのワ
[00:24:29.760] ピースごめんなワンピース全然あの見た
[00:24:32.720] ことないからごめん
[00:24:34.360] ねバーソロミュー
[00:24:37.159] クマ他にもいるんかバーソロミュー犬とか
[00:24:41.320] バーソロミュー猫とかいるのえそれとスナ
[00:24:44.080] を実際やってみ
[00:24:48.000] ましょうだからまこの子を幸せにする幸せ
[00:24:52.679] にするのもそうなんだけどでもしないでけ
[00:24:58.520] とド吸いとることができないのよ俺の方に
[00:25:00.480] 俺の方にハートがないからだすごいすごい
[00:25:04.240] なんやそれすごい重要なわけこの振り分け
[00:25:07.159] がここはもらっとこうみたいな
[00:25:11.200] あ分かりましたかここ
[00:25:13.919] までおいついてきてるかついてこいよ振り
[00:25:19.440] 落されんなよお前ら次行くぞここまで
[00:25:22.159] 分かりました分かったねお
[00:25:29.480] 分かったよ分かったオわからんけど安倍
[00:25:32.840] ってことねあれポケモンどもうなんで来る
[00:25:35.799] やつ来るやつポケモンうるせえなやらねえ
[00:25:37.760] よ
[00:25:38.559] もうやらねえよポケモンはくさん
[00:25:41.159] こんばんは笑笑
[00:25:43.600] えと左上にあるアイコンがエナジー
[00:25:46.520] カプセルですあの見てくださいあの上に3
[00:25:49.360] つ四角がありますよねこんばんは
[00:25:51.279] こんばんはあの上に3つ資格がありますよ
[00:25:53.480] ねやるかもっとやるねえよエグやったら同
[00:25:56.320] 8だったからやんねえもうどせ8だった
[00:25:59.720] からびっっくりしたよ俺1年半ぐらい配信
[00:26:03.679] ま1年半ぐらいの時やってさあ俺も俺も
[00:26:06.039] ちょっとは人集まるようになったなつって
[00:26:08.600] 8人だ喉が可愛いたなこのはあの上の
[00:26:12.240] タンク四角を四角見ててなこれを吸います
[00:26:15.399] だったよエグゼにエグゼやったのいいね
[00:26:19.840] 一緒にやろうぜじゃあ一緒にエグゼやって
[00:26:21.799] いかないか俺たちでエグゼの配信を入ら
[00:26:23.799] そうちょっと多い友達んでちょっと多い
[00:26:27.279] 友達ん
[00:26:29.159] 金持ちの家に集まった時みてえなな8人
[00:26:31.399] ぐらいえーオペレーターク50で満タンな
[00:26:35.080] んすよ僕のタンクは50で満タン
[00:26:37.720] 耐久でリレやるべなあの50で満タンに
[00:26:42.240] なったらこれ以上進めないのねそうすると
[00:26:44.679] 何ができるかって言うと三角ボタンでこの
[00:26:47.399] 50の凝縮50を50の個ギって凝縮で1
[00:26:51.720] 個いあのあれだロックマンで言ったらイ感
[00:26:55.000] にできるわけい感これい感ですこれ感で
[00:26:58.760] カプセルを四角ボタンを使うことができ
[00:27:00.440] ますとカプセルを使うとパーソナルこの
[00:27:03.720] タンクは四角ボタンで一気に解放すること
[00:27:06.200] ができる四角ボタン押すとこのこいつの
[00:27:09.600] おじちゃん
[00:27:11.799] のおじちゃんの幸せを一気にバーンと
[00:27:16.080] 上げることができんだよえちょっとなんか
[00:27:18.520] 俺が不安になってきたなんか大丈夫
[00:27:22.960] えエナジーカプセルの作り方それで
[00:27:25.279] エナジーカプセル作ってみましょうすでに
[00:27:26.520] オペレーターズタクは満タンですえ三角
[00:27:29.480] ボタンでこうすっとここに集めることが
[00:27:33.760] できるエナジーカプセルが1個できました
[00:27:35.360] ねとこれ四角ボタンを押すことで使うん
[00:27:38.360] ですよ使うとこのおっちゃんの幸せ度今
[00:27:40.760] 50ですよね50あの右のタンクみたいね
[00:27:43.080] 50ねこれ四角押すとバンいきなり100
[00:27:45.559] までもうクソハッピーですこいつ本当に
[00:27:49.120] クソハッピー
[00:27:53.440] 今分かった幸せそうな顔してない
[00:27:58.600] でも幸せそうな行動を取るようになるんだ
[00:28:00.760] よだからできるだけ吸い取りつつでもこの
[00:28:04.679] このいろんな人がいますあのこの
[00:28:07.679] ハビタットという架空の世界の中には
[00:28:10.240] いろんな人がいますで今エラーを起こして
[00:28:12.559] みんな固まってるんすよ実際の流れ見ると
[00:28:14.919] 分かりやすいそうなんだなそうなんだよま
[00:28:17.080] ちょっとちょっとまちょっともうちょっと
[00:28:18.440] 構してくれ頼むチャンネルはそのままで
[00:28:20.399] 頼むもうちょっと待ってくれでフィールド
[00:28:23.000] にいるこの固まってる人これエラーで
[00:28:24.799] 固まっちゃってますこいつ起こすことが
[00:28:26.159] できますこのアバターがネトすることでえ
[00:28:29.039] 活動を再開させることができます
[00:28:30.960] とああBコさんが固まってるなビコさん
[00:28:35.240] 起き
[00:28:37.279] てでえコネクトを成功されるためには丸
[00:28:40.640] ボタンを連打しますたしコネクトには
[00:28:42.279] オペレーターズタンク俺の方の幸せ
[00:28:44.320] ハッピーエナジーね40って書いてあるね
[00:28:46.039] をあの消費しなきゃいけないで連打すれば
[00:28:48.640] するほどそれが少なくて済むって
[00:28:51.480] いうはい行きます
[00:28:54.519] よ早く
[00:28:58.279] と辛いな
[00:29:00.640] あいはいビコさん起きましたハッピー
[00:29:04.559] エナジープラ40のところ連打ボーナス9
[00:29:06.960] でえ31で済みましたよそたこの人はか
[00:29:12.080] 活動を再開しますえ大丈夫かお前らほつい
[00:29:15.080] てきてるえ連打が成功すると相手の
[00:29:17.640] コネクトが成立します連打が早い頃早く
[00:29:19.760] 素早くコネクトが確立されエナジーの消費
[00:29:21.519] を少なく抑えることができます
[00:29:24.600] とりこさん固まってたよ
[00:29:28.159] 起こしてくれてありがとうちょっともう
[00:29:30.320] なんかえなんか絶対お前らなんかクソゲー
[00:29:33.320] だと思ってるだろおいそんなことないから
[00:29:35.799] ねなんで俺このゲームが3000本しか
[00:29:38.039] 売れてないのかわからない作感内容よい
[00:29:41.360] なんかさ嘘臭い目ちょっと待って本当に
[00:29:44.640] それあのパズルゲームじゃない時に分出す
[00:29:48.679] のやめて
[00:29:50.360] ねすっごえ本当にそれ怪文になってんの
[00:29:54.240] 名作操作感内容いいなんかさ嘘臭い目本当
[00:29:57.200] に怪文になってるか
[00:30:00.720] それ怪文の方がすごいおこのゲームも
[00:30:05.600] すごいだろうがじゃん
[00:30:09.519] 笑笑も喉乾いてきた
[00:30:12.159] わ君たちにあれするのかえ丸ボタンを連打
[00:30:16.960] する以外にエナジーカプセルを使用して
[00:30:18.559] コネクトする方法がありますはいはいこの
[00:30:20.360] 要はこのE感をぶつけて一気に起こすこと
[00:30:22.600] もできると画面よりコメラにってしまうえ
[00:30:26.360] コネクトのウンがいたら丸ボタンをしその
[00:30:28.360] 後すぐにえ四角ボタンを押してエナジー
[00:30:30.679] カプセルを使用してくださいと
[00:30:35.159] あこれえもう連打とかあのあれしなくても
[00:30:39.440] 四角ボタン
[00:30:40.960] でいきなり起こすことも可能と要は万能な
[00:30:44.399] んですこのあのエナジータンクはだできれ
[00:30:46.679] ばいっぱい持っておきたい3つまで
[00:30:48.120] ストックできるんだけどできればたくさん
[00:30:50.559] 持っておきたいなっていうのが本音です
[00:30:53.080] ねえ大丈夫かなんか連打したらめっちゃ腕
[00:30:57.399] いくなった
