[00:00:00.199] ちゃまぷんちゃにめ
[00:14:42.279] 倒れたか転べたか。
[00:14:44.959] これ何これ?無事であろうな。
[00:14:47.519] ああ、なんかバグが外れちゃってるんだ。これ結構ボリュームあるって聞いたんだよな。こっちか。
[00:15:00.839] そこも静かに聞かれます。
[00:15:03.160] あ、これ蛇やん。何これ?
[00:15:07.040] 大高族に狙われている。何?大家族って
[00:15:09.600] もし捕まったら心を壊されてしまう。その
[00:15:12.880] 落ち着け。心を壊す。おらん。
[00:15:16.000] 奴らが来たと気づいて逃げ出したものの危く蛇に構まねかけまして。
[00:15:21.000] だが殺したのだろう。
[00:15:23.360] それが不に現れた馬が蛇を踏みつして
[00:15:28.680] 運良くこなきを得ただけなんです。
[00:15:30.240] その馬どちらへ行った?
[00:15:32.199] 蒙こを追って丘の方へ。
[00:15:34.399] 丘の下。丘の下。
[00:15:36.440] 馬を見つけたら霊をお伝えください。
[00:15:39.480] 分かった。分かった。あいついいやつだな。馬にもちゃんと霊を言ってくれっていう。これ何?これなんだろう?これんだろうね。
[00:16:01.399] これは馬に結構なんかええなんかぐちゃぐちゃなんだけど
[00:16:05.920] 足跡蒙こだ。タジいだの地馬を追った
[00:16:13.519] 馬をフューチャーして
[00:16:15.120] 馬の蹴りでやられておる。
[00:16:20.800] 俺の馬めっちゃ強いじゃん。めちゃめちゃ強いじゃん。
[00:16:21.839] その能力俺と俺と一緒にいる時も発揮してくれよ。
[00:16:27.920] あ、あの音。
[00:16:30.360] ああ、いたいたいたた。
[00:16:33.199] 今向かう。オケ。おお。え、めっちゃ強え。めちゃめちゃ強いやん。何それ?
[00:16:35.790] [笑い]
[00:16:41.519] 危な。
[00:16:44.240] めっちゃ強いやん。
[00:16:47.399] 待って。俺久しぶりでちょっと待って。肩はこうだな。
[00:16:51.399] 久しぶりすぎ。ちょっとおり。あ、武器変わった。なんこ武器変わるんだけど。武器変えてくんの?おら、おら。あ、武器変わる。何それ?武器変えてくんだ。
[00:17:11.199] そう。来たか。しかも何この
[00:17:12.679] BGM。カトンカトンカトンカ。おら。
[00:17:18.679] あ、ね。なくさ。
[00:17:23.600] あ、盾持ってきた。え、だる。え、盾はこ水か。
[00:17:32.320] オッケー。BGM
[00:17:35.720] めっちゃいいな。お祭りみたいなBGM
[00:17:37.080] になってたけど。
[00:17:40.840] 影、よくやった。いい子だ。
[00:17:45.320] ソウル系くらい難しかったりする。
[00:17:48.039] うん。そんな難しくない。絶対俺ソウル系
[00:17:50.039] あんまやったことないからわかんないけど
[00:17:51.360] 俺だったら絶対クリアできてないもん。
[00:17:53.200] ソウル系だったらそんな難しくないよ。
[00:17:55.280] 全然普通にやってクリアできるレベルだと
[00:17:57.200] 思う。ちょうどええねん。いい。すごく
[00:18:01.919] ちょうどいい
[00:18:03.960] 。あ、た
[00:18:09.039] 。お前強なったなあ。影
[00:18:13.840] 強くなったな。出る。
[00:18:16.520] 世のやられ会えた。怪我はないな。死んだかと思ったがお前を見くびっておったな。
[00:18:24.280] 結構馬にフィーチャーしてんの?
[00:18:26.720] お前が見せた足で蒙こを潰す動き忘れるでないぞ。
[00:18:35.799] お、やれやれやれ。おお、何これ?行けんの?お、行けるんかい?長押しで馬力が発動。
[00:18:36.799] 1度で複数の敵を倒いね。
[00:18:43.360] ああ。
[00:18:49.120] めちゃめちゃ強いやん。何この新要素?
[00:18:57.080] なんだそれ?
[00:19:08.320] めちゃめちゃ強くあれ。
[00:19:09.400] 何?何?どこ?どこ?どこ?何?何?何?どれ?ど、どれ?誰か助けてくださいって。うー。
[00:19:27.200] めっちゃ楽なんですけど、これ。これめちゃめちゃ楽なんですけど、これ。あ、敵いるち。敵が。敵いる。
[00:19:39.400] あ、お前か。なんやねん。なんかくるって違うとこ売ってんな。ちょ待ってちょ待て。待、待、待。
[00:19:55.600] あ、やべ、間違えた。ガードじゃない。ガードじゃない。これはもう肉断戦。おいしょ。おいしょ。デブは肉団戦って相場が決まってるからな。
[00:20:07.440] 何それ?避けらんない攻撃してやんな。お前
[00:20:15.720] めんどくせえこいつ。ET肩きやがって。
[00:20:20.880] 危ね。めんどくせえな。なんだよこいつ。
[00:20:26.880] よいしょ。で、最後。ふう。
[00:20:31.840] いいね
[00:20:34.600] 、これ。もしかしてさ、本編こ、これ先に
[00:20:38.559] さ、あの、ハーン倒すより前にこっち
[00:20:41.679] クリアしてたらさ、本編であのなんか馬の
[00:20:44.039] 技使えたってことだよねえ。最初に
[00:20:47.280] やっめっちゃめちゃめちゃ強かったや
[00:20:52.679] 馬助けてくれないよ。
[00:21:04.080] 2
[00:21:07.919] 度も命を救われました。2度霊は良い。
[00:21:11.200] 馬に行ったのですがともあれ
[00:21:13.390] [笑い]
[00:21:16.279] お俺に言ったんじゃねえだ。馬に言ったんかい?
[00:21:18.360] 笑笑いいだろ別に。
[00:21:20.880] そんなことわざわざ言わなくても飼主や馬に言ったんですけどみたいな。いいだろ別のわざわざ褒められたね。
[00:21:30.120] くぞ。共に息を。
[00:21:31.600] え、なんかこれめっちゃ馬に愛着湧くじゃん。
[00:21:34.679] 俺礼はケンタッキーでいいよ。ミンゴンな。
[00:21:38.000] うお、かっこいい。馬に愛着湧くな。なんかめちゃめちゃう、すげえ。あかんじゃん。義量獲得。馬の必殺技は手に入れたな。
[00:21:52.080] わお。これスクショ取りまくりたくね。
[00:21:54.480] これいいよね。たまんないよね。だってゲームの中にスクショモードあるもんね。
[00:21:58.840] 写真モードとかあるんだよ
[00:22:01.120] 。これ配信でやってやってたじゃん。たさ
[00:22:04.720] 、めちゃくちゃ久しぶりにさ、リア友から
[00:22:06.760] さ、LINEが来てさ、実は俺が配信やっ
[00:22:10.080] てんの知ってて隠れて見てたみたいで、
[00:22:12.400] あれやってんだねつって。それでも
[00:22:15.159] ちょっとゾクとしたんだけど、なんか
[00:22:16.799] めちゃめちゃこのゲーム好きらしくて、
[00:22:20.000] なんか、あ、間違えた。スクショを
[00:22:21.640] めちゃめちゃ見させられたんだけど、
[00:22:23.679] えぐいほど綺麗だったもんな、スクショ。
[00:22:25.320] あ、やべ、あれがなくなっちゃう、これ。
[00:22:31.000] そうなんだよ。何気にね。うん。黙って見てんのよね。
[00:22:32.800] [音楽]
[00:22:36.360] 危ない危ない。ちょ待って。しくったな。ちょっとしったな。待ってね。待てね。待って待って待て待て待て待て。危ね。
[00:23:07.720] よし。
[00:23:10.000] 快感
[00:23:11.320] 気力がちょっと使いすぎちゃうね、あの馬技は。よしよしよし。
[00:23:17.559] え、特に何もないの?なんかご褒美とか
[00:23:19.640] ないわけ
[00:23:22.919] 。どこ向かえばいいんだ?馬力あを強化
[00:23:27.559] できるなん
[00:23:30.320] 。どれ?
[00:23:34.480] うわうわうわうわうわ。が
[00:23:37.480] いちいちかっちいちかっこいい。なんか
[00:23:39.640] その動きながらとかもなんかできるんだ
[00:23:41.720] けど、なんかいちいちちゃんと動きを止め
[00:23:43.279] てこうくってやりたくなんね。
[00:23:47.480] ちゃんとしっかりかっこよくつけたくなる。このゲームやってると。あれ?ライフイズストレンジ。あれ?あれ?見たな。さっきもこれ。え、なんかサイン入ってない?これ角の裏にライフストレンジじゃん、これ。
[00:24:04.679] 笑笑。
[00:24:05.440] え、これさっきのやつの続きか?これなんとか。あ、
[00:24:08.159] サフィの車の
[00:24:09.039] サフィの車。え、これサフィの車にさ、投げ入れられたやつじゃないの?これ。
[00:24:14.080] え、これなんかの名前入ってない?
[00:24:27.039] なんかあっちのさ、裏、裏世界行かなくて大丈夫?裏世界行かなくて大丈夫?これどこ向かおっかな?大たの呼び声。あ、
[00:24:28.039] 15
[00:24:29.140] [音楽]
[00:24:39.880] 年前に武士が息を攻めた時、えー、父上が建出境砦で、今は大たに抗うものにとっての逃げ場となっているかもしれん。そこで味方が見つかるだろうか。
[00:24:40.919] うわ、なんか新しいキャラも出てくんのかな?これ行こうか。お父さんの出会って恋人作りたいわけじゃないから
[00:24:50.550] [音楽]
[00:24:51.060] [笑い]
[00:24:54.080] ほまれを。そう、こまれしたいのだって。そう、そう、そう。なんだっけ?油ス。え、これさ、もしかしてさ、あ、なんかいるねえ。ま、めちゃめちゃ敵いんじゃねえかよ。
[00:25:08.840] や、俺はここだ。
[00:25:14.399] 大丈夫?俺もでもうくなってるからな。即
[00:25:22.679] ほい。遅い。1
[00:25:26.320] 番やっぱこれが気力回復していいんだよね。
[00:25:27.320] 1
[00:25:27.480] 番一気打ちんだけど気力えぐいほど回復するんだよな。
[00:25:32.520] 一気に満タまで持ってけるからめっちゃいいのよね。
[00:25:38.960] よいしょ。あとこのなんだ?クロートメーターもめちゃめちゃ溜まるし。ぶっちゃけこの境の鎧が一番
[00:25:47.559] 防御ランク下がってる。
[00:25:57.520] 防具のランク?何ランクって?防具のランク?え?下が何?防具のランクってこれ下がってないでしょ、別に。あ、
[00:25:58.520] 5人行けるから下がってないよ。
[00:26:13.720] この上かな?トルいっぱい飛んでんな。4
[00:26:14.880] 人しか行けてなくない?
[00:26:16.840] いや、あの4
[00:26:19.799] 人しか人いなかった?今。あ、そんなことない。
[00:26:20.799] 1
[00:26:20.919] 人はなんか腰抜かしちゃったからかかってこなかった。どっちに行けばいいんだ、これ?こっち?
[00:26:30.120] ああね。
[00:26:31.440] そっちか
[00:26:38.559] 。これ本島とは全く別の世界っていう感じ
[00:26:43.320] なんかな
[00:26:45.039] 。本島と生きたらいいんだけど
[00:26:51.480] 。でももうハーンはさしたってこと。
[00:26:55.360] しかも大体の人が多分これさ、
[00:26:57.360] ダウンロードコンテンツってさ、多分発売
[00:26:59.360] してからみんながクリアした後に多分来た
[00:27:02.240] やつでしょ。だから
[00:27:03.640] 多分やるタイミング的には合ってるよね。
[00:27:06.440] 多分クリア後に
[00:27:08.279] やる感じなんでしょ、これって多分わかん
[00:27:10.640] ないけど
[00:27:14.440] 。お、待って待って待って。あれ
[00:27:20.640] はああ、この上なん。あ、あれか。
[00:27:24.279] ちょ、あえ、なんか人いるじゃん。ちょっと待って。あっちもやった。あっちもやりに行く。何?何?何?何?何?
[00:27:30.840] あそこには2度と戻りたくない。
[00:27:32.919] 何?保虜って?え?え?え?
[00:27:39.279] あ、やばい。やばい。やばい。やばい。え、何?何?やばい。バルチ。え、待って待って。
[00:27:46.600] お前な何な?待って待って。何歌歌っとんだお前?お願いします。
[00:27:53.039] 待って待って待って。
[00:27:53.799] なんかだるいこいつ。
[00:27:59.919] おいしょ。
[00:28:02.480] 待って、待って、危ね。ああ、早いよ、早いよ。あ、だめだこれ。ホロ死んだ。ほロ死んだけどいいの?ホロ死んだけどいいの?これ。
[00:28:13.480] ホロ死んだけどいいの?これ。
[00:28:16.519] ごめん。死んじゃった。忘れてた。そのルール。
[00:28:21.960] 忘れてた。そのルール。そのルール忘れて
[00:28:24.080] た。人って死ぬんだ。あ、死んだんだけど
[00:28:27.880] ね。死んだけどね、1人。あ
[00:28:32.120] 、女死んだんだけど。ごめん
[00:28:40.039] 。え、これは
[00:28:49.200] え、なん、なんだこれ?何もないの?今の
[00:28:51.240] イベントじゃないんだ。
[00:28:53.360] 多分なんかそういうのがさ、結構ありそうだね。なんか境取りできた。おお。蒙古の拠点
[00:29:06.320] さ。
[00:29:08.960] あ、ほまれになりました。あの、うん、ほまれやってます。うん。これがライフイズストレンジ。
[00:29:13.519] これがライフイズストレンジです。さて、どうやって殺そっかな。
[00:29:22.279] バーン。
[00:29:23.600] 地戻しすぎかも。ライフイズストレンジ。知らないですね。よしよしよしよしよしよしよし。いいよ。ああ、目。え、え、ええ。目すぎるだろ。目よすぎ。目が良すぎる。なんだよそれ。目が良すぎるだろ。なんだよ。
[00:29:42.960] そういう世界戦もありますと。
[00:29:45.320] 目が良すぎるんだよな、いちいち。お前なんだこれ。おい。
[00:29:52.519] ま、全員殺せばいいや、死ぬほど来てる。
[00:30:00.679] 全然昼までなんだこいつら。
[00:30:04.600] いやあ、何?
[00:30:07.519] 弓矢。
[00:30:12.200] 全然死なねえんだけど。全然死なねえよ。なんだよこれ。え、
[00:30:17.720] 火力だ。笑。
[00:30:19.039] 何こいつら全然死ねえマジで。
[00:30:23.600] いや、つよ。
[00:30:27.880] ねえ、待って待って待って。何こいつら?マジで
[00:30:32.960] ちょっと待ってね。
[00:30:35.679] れ。よし。オッケー。
[00:30:42.360] なんだのこいつら。お前が歌ってんのがゴミなんじゃないのかよ。歌ってるバカがいっからさ。
[00:30:48.760] こいつもこいつで硬いのよ。なんなんだよそれは。
[00:30:55.960] [音楽]
[00:31:09.679] ああ、勝て敵。
[00:31:13.080] 待て待て待て待て待て待。
[00:31:14.720] を聞いた兵が決っておる。
[00:31:22.799] うわば
[00:31:26.360] 何これ?めっちゃ強いんですけど。
[00:31:32.679] え、
[00:31:34.420] [音楽]
[00:31:35.760] え、何これ?
[00:31:39.120] え、イベント負けイ。
[00:31:42.679] え、負けイベ、
[00:31:47.840] 負けイベ。
[00:31:49.519] いや、なんやねん。負けイベ。めっちゃアイテム使っちゃったんですけど。いや、負けとかあんの?
[00:31:56.919] 笑笑。負けとかあんのかよ。
[00:31:58.960] 笑笑。
[00:32:01.320] 明らかおかしいほど強かったもん。
[00:32:05.799] え
[00:32:10.919] 、やばいやん
[00:32:17.679] 。え
[00:32:20.360] 、終わった
[00:32:24.080] 。
[00:32:25.159] ここからでも入れる保険があるってマジもう死亡保険確実なんだけど俺
[00:32:32.600] 誰お前が大
[00:32:36.519] 誰おえ
[00:32:41.000] 津島に送った石膏を
[00:32:43.440] え大谷全て切ったぞ
[00:32:51.880] は死んだあつの兵が破れ
[00:32:54.480] そうだよ。そう、そう、そう。5
[00:32:55.480] 殿ンハ死んだよ。俺が殺した。ちゃんとそれは戦もの武士が息に都うってはずだ。
[00:33:04.240] え、誰?まさ子
[00:33:06.960] 命までは取らんぞ。
[00:33:10.120] 苦しかったの?
[00:33:11.480] え?え?何これ?誰?女かよ。あ、別女が別がリーダーっていうのを悪いって言ってるわけじゃないですからね。そういうこと言ってるんじゃなくてうん。ごめん。
[00:33:21.799] 人に殺せばよかろう。あ、逆
[00:33:23.880] 違う違う違う違う違う違う違う違う。そういうことしてない。
[00:33:25.580] [笑い]
[00:33:27.919] あ、
[00:33:31.080] まさ子みたい。うん。優しい顔してるな。
[00:33:34.519] うん。
[00:33:35.480] いや、待て。いや、そんないいんですよ。女性の男女共同三角社会基本法です。あ、ランディ、こんばんは。やっぱり俺はほまれを応を求める。
[00:33:48.960] 何を?
[00:33:50.600] なんか目おかしくない?こいつ。
[00:33:52.240] 家電の霊薬
[00:33:54.080] かこうん目片めおかしいね
[00:33:58.760] そキでないまだ
[00:34:01.039] えガサスみたいなこと遊戯ポイトムの勝ちです
[00:34:07.679] ミレニアムアじゃれておるではないか
[00:34:11.440] え日本人己のをの底やろ勝ですけるが良
[00:34:23.399] 酒ボーイコトンの勝ちです。
[00:34:26.079] コトンの勝ちです。
[00:34:28.679] 死ぬ。あ、手を重いた。
[00:34:34.520] お前は死ぬのが主場のためだ。
[00:34:37.599] なんかお父さんの地にフィーチャーしてるんでしょ、これ。ダウンロードコンテンツ。あ、ダウンロードコンテンツやってます、今。え、言うな。
[00:34:46.079] こんばんは。エンディングの後の話。
[00:34:48.800] ああ、てかダウンロードコンテンツだね。
[00:34:51.040] 来るな。
[00:34:53.599] ちゃんと聞くと思ったの?
[00:34:55.240] ユナじゃん。そこらの船を借りたんだ。
[00:34:57.680] え、来てくれたんだ。
[00:34:59.920] ユナ、
[00:35:02.920] どうした?何かされたの?
[00:35:06.160] 大家族の蝶に飲まされたようだ。毒王を。
[00:35:12.040] あいつらが戻る前に探そう。
[00:35:15.000] あ、めっちゃ殺してくれたんだ。
[00:35:18.079] はどこやった?近を探してみなよ。
[00:35:21.079] 大ともこ兵はどこだ?
[00:35:23.640] さっき外に火をつけ。
[00:35:25.200] さて行くぞ。
[00:35:26.400] めっちゃ近くにあったよ。そんななんか立ちはどこだっていうすぐ隣にあったや。
[00:35:31.960] [音楽]
[00:35:34.079] 回層かと思ったわ。
[00:35:36.079] 違うねん。本当に来てくれたんだ。で、やっぱりコトゥンハンは死んだって言ってるからさ、コトゥンハン倒した後の話になってんだ。やっぱね。
[00:35:43.839] でもさ、このイベントの発生時期的にそれ
[00:35:46.599] 関係なかったじゃん。そしたら変わるのか
[00:35:48.720] な?会話が。ってことだよね。多分ね。
[00:35:51.040] すごいね。ようできてるね。俺がまだ
[00:35:53.960] コトゥンハン倒す前にこっち来てたら多分
[00:35:56.520] 会場が変わったってことだよね
[00:35:58.839] 。
[00:36:01.920] 何これ行くと
[00:36:04.440] も無事であった。ここのこと父が
[00:36:09.440] 建てそりゃそうだ。
[00:36:15.119] やっぱゴーストがってる連中はいるのかね?
[00:36:18.680] どうであろうな。知らん。
[00:36:21.440] 味方はいないってことか。
[00:36:23.000] ああ、境の恨みも深い。助けを得るのは難しいな。
