[00:00:14.599] どりゃ
[00:05:33.120] さんこんばんはりにやっていきますもやっ
[00:05:35.360] てますえ幸福操作感はいやっていきます
[00:05:38.960] からよろしくお願いしますもうねもうあと
[00:05:41.680] ちょっとでクリアかなというところであの
[00:05:43.720] あれなんです
[00:05:44.800] けどいやもうちょっと今日疲れたのよ気に
[00:05:47.840] なりすぎる気になりすぎるけど今日4日目
[00:05:50.440] で多分ついてこれないと
[00:05:52.199] 思うごめんなドしてきてもらったと申し訳
[00:05:55.240] ないんだけど4日目で日目のの
[00:06:00.199] てこないでしょ1mも多分わかんないと
[00:06:03.360] 思うなんなんだこのゲーム
[00:06:05.720] はまごめんなまちょっとま見ててください
[00:06:08.599] もうちょっとでも今日ねなんで今日配信
[00:06:11.160] 遅いじゃないですか始まんのごめんね10
[00:06:12.880] 時からやりたかったんだけどやりたかった
[00:06:15.080] んだけど今日ちょっと出張行っててさあの
[00:06:19.440] 出張出張行っててもう川で靴で1日
[00:06:25.280] 歩き回ってたらもう足の裏痛くてもう
[00:06:29.199] ちょっとな疲れちゃったの今日疲れちゃっ
[00:06:31.440] たから日ゆっくりやりますから今日
[00:06:34.880] ゆっくりやりますからうんもうスーツ来た
[00:06:37.240] よ今日スーツ久々久々でもねえけど今年
[00:06:40.080] 初めてスーツ着てさちょ若干上着きつく
[00:06:43.800] なってたもん
[00:06:45.000] な若干上着きつくちょっとねちょっと
[00:06:48.440] 気持ちなんかきつくなってた縮んだかも
[00:06:50.560] しれねえなジャケットかなわかんないけど
[00:06:53.199] ちょっとなだからちょっとまずいなと思い
[00:06:55.479] ましたはいあのやってきますよろしくお
[00:06:58.039] 願いします長期ナイスそうなんですよ今日
[00:07:01.879] 新橋のお客さんのとこ行ってサすごいね
[00:07:06.280] なんかサラリーマンがいっぱいサウナ
[00:07:08.440] スーツリングフィットやりてえマジで
[00:07:10.080] サウナスーツリングフィットマジやって
[00:07:12.560] あのそうジャケットちょっときついんだ
[00:07:14.479] けどあのあのズボンあるじゃんあのスーツ
[00:07:17.720] のズボンはなんかまだ横の変な
[00:07:19.919] アジャスターみたいの余裕があるからまだ
[00:07:22.000] 太れますまだ太れますまいいやちょっと
[00:07:25.000] やってきますかもうね時間もあれなんで
[00:07:27.039] やってきますか本当マジTwitterや
[00:07:29.840] いいよTwitterがさなんで俺マジで
[00:07:33.520] あれ帰ってくんのかな帰ってこなかったら
[00:07:36.280] 結構結構萎えるぞ結構
[00:07:41.240] 萎える結構萎えるしょ俺今俺今さよね下手
[00:07:46.159] したら帰ってこじゃ俺今さあの
[00:07:48.520] Twitterの方でさあのダイエット薬
[00:07:50.560] の案件やってんじゃんあれ大丈夫なんかな
[00:07:54.720] えやばいよねこれ大丈夫なんか
[00:07:57.280] なまでもしょうがないねそれが本当にいや
[00:08:01.680] マジでなんか変なダイエット薬の案件やっ
[00:08:03.720] てんじゃん韓国のめちゃんに連絡した
[00:08:06.400] ちゃんと後ろの木札にお祈りした一の寄付
[00:08:08.680] だねお祈りしたよあも頼みますつってま
[00:08:11.759] ちょっとやってきますかはいよろしくお
[00:08:13.400] 願いしますそんな変なこと書いていや全然
[00:08:16.400] 書いてない多分だからなんか5番でしょだ
[00:08:18.400] からマーブルからLINEが来てなんで
[00:08:21.960] なんでTwitter凍結されてるん笑
[00:08:24.440] 笑ってきてなんか5番だよって言ったら
[00:08:26.879] なんかあ俺も去年なったからなんか23日
[00:08:29.960] で帰ってくると思うよってなんかLINE
[00:08:31.919] 来てなんかすげえなんか長文でなんかあの
[00:08:35.760] 意義申したて俺はこんなことしてて
[00:08:37.760] めっちゃめっちゃめっちゃなんかすごい
[00:08:39.599] あいついいやつだからさ超長文で送ってき
[00:08:41.880] てくれてて俺返信してないっ
[00:08:44.480] す優しい丁寧すぎ
[00:08:48.760] ダブルはいやってこうかねはいやっていき
[00:08:51.839] ますよ返信しろよ笑笑笑笑ちょ長すぎて
[00:08:57.560] うん長すぎてあでもあのあのこれだけ送っ
[00:09:00.079] といた笑笑これこれだけ送っといたから
[00:09:03.120] 大丈夫それでしますの行いだね無変身は
[00:09:06.959] くそ笑う笑笑
[00:09:09.640] 笑笑頑張る太郎からもスタンプ欲し頑張る
[00:09:13.720] 太郎からもあのDMあのなんだっけあの
[00:09:17.640] disordのDiscordのDM来た
[00:09:20.040] けど
[00:09:24.920] 笑い返して
[00:09:27.519] ないもういいからやらは仲良すぎて大丈夫
[00:09:32.680] なの別にそんなみんなが心配するそんな
[00:09:36.600] 返信してないからってあ始まりましたぶれ
[00:09:39.360] ないねうん返信してないから別になんかと
[00:09:42.519] かないです別にないねないですうん頑張る
[00:09:46.680] たらからもなんか来てた
[00:09:48.200] なお主偽物か笑笑て来て
[00:09:52.240] たお主偽物か笑笑てきて返して
[00:09:57.120] ないはいやっていきます前これね前回これ
[00:10:01.519] ねあのなんかゲットしましたなんか幸せな
[00:10:04.600] 1日はい今日やってきますしてやろ
[00:10:06.480] よろしくお願いします偽物レドしようかだ
[00:10:09.800] なそれは変身不要だよなお主偽物か
[00:10:14.079] 笑笑
[00:10:18.959] 返しちょいやいいかなと思ってそれは
[00:10:23.320] 大丈夫
[00:10:25.880] はいやってきます前回ね
[00:10:30.200] 何人ですか
[00:10:31.880] 残り残り25人すよないから大丈夫だ残り
[00:10:35.920] 25人です25人25人ねえてかさ俺
[00:10:40.760] LINEスタンプ欲しいわえあのさなんか
[00:10:43.519] さどうやって作んのLINEスタンプって
[00:10:45.519] 作ろうぜ俺のLINEスタンプえそれ儲け
[00:10:48.160] て俺に入るの5000で売るよ5000ね
[00:10:52.000] 5000LINEコインね5000L
[00:10:54.839] コインでよります選べる選べるんだあもう
[00:10:57.480] 最高ね入るあもうじゃあもう最高で売るわ
[00:11:01.399] はいやっていこうかも設定できまず何から
[00:11:04.959] 行こうかな何から行こうか
[00:11:07.600] な今日誰行くなも全然覚えてねえわ森島田
[00:11:12.839] 笑何ですかこれえ島田リカコ20歳これ誰
[00:11:16.880] ここんなん覚やったっけかそれも通報から
[00:11:20.800] 気をつけてねこれも通報機能どんだけ何
[00:11:24.959] なんかもうなんかそういう風になんか
[00:11:27.480] 面白くなくなってくんだろうな配信とか
[00:11:30.639] なんか何もできなくなってくんだよ
[00:11:33.120] ちょっとしたさ面白だろうがすぐ通報し
[00:11:37.240] やがってバカが通報じゃないと思う今回
[00:11:40.800] 多分通報じゃない多分5番だと思うけどな
[00:11:43.200] えこんな人起こしましたっけ島田20歳
[00:11:47.639] ソフト会社社員え現在森秀明と同中森
[00:11:53.279] ののに気づいてしまうくにてがないた
[00:11:59.880] に対しての研究を始め行こはい決まりまし
[00:12:02.519] たえもうこれこれで行きますこれで行き
[00:12:04.639] ますはいこれで行きますで行きます今日
[00:12:06.880] まずまず1発
[00:12:08.240] 目smsmだろう
[00:12:12.680] な1月に同じ理由でバにあやそうなんだな
[00:12:17.040] そうなんだ多分な
[00:12:19.560] 多分祭だったんだろうな春の晩祭りだった
[00:12:22.959] んだろうなtTwitter
[00:12:29.920] ドマ俺はドマねね今冬だよ冬か冬かだろう
[00:12:34.959] ねだろうねってなんだだろうねってなんで
[00:12:39.639] えもう僕mmだねMだ
[00:12:45.480] ね意地悪されたい
[00:12:48.959] ね詰められたいよろしくお願いしますお
[00:12:52.720] ちょっと
[00:12:55.360] ちょっとちょっといいですよフェミニン
[00:12:57.880] マンションまた名前もなんかと名前も
[00:13:01.040] なんかちょっと行き
[00:13:05.600] ます彼氏どっか寝てんのか
[00:13:08.760] なあれあや彼氏いたいたいたああえ
[00:13:14.560] ええこういうとこもSなのかもな私がたま
[00:13:19.240] さん私がうんちしてるとこ見てなさいよあ
[00:13:21.440] もうこれもう待ってまずドンはいドンまず
[00:13:23.519] はまずはやっぱりひ怪しいよやることが
[00:13:26.720] マっぽいもんあとりあえず起せって
[00:13:29.600] とりあえず起こそうよ固まってんだから
[00:13:31.639] どうやって確認しようか
[00:13:33.160] なちゃまず起こせよあ来たよ来た来たた
[00:13:37.480] ひきおい固まってます
[00:13:40.639] ねれましただめだ固まった
[00:13:44.040] ままもう1度やって
[00:13:46.560] みよう起こしてみ秀起きて来ますよあ来た
[00:13:52.800] よし
[00:13:55.560] オえ
[00:14:02.959] よ連打ボーナスいいよなこれちょっと調べ
[00:14:05.920] たんだけど連打ボーナス最大でも半分
[00:14:08.360] ぐらいはいいけるらしいんだよいね
[00:14:10.240] ボーナス4ははいいぞ
[00:14:13.680] あなんかあれだ
[00:14:16.120] なグループYouTuberの一番端っこ
[00:14:18.720] みたいな顔してん
[00:14:20.360] な固まって
[00:14:23.759] た置プレイされて気持ちよかった
[00:14:29.600] てよかった
[00:14:31.040] そのいいいいいんじゃない笑笑いいねいい
[00:14:35.880] よいいよいいよいい
[00:14:40.519] よいいです
[00:14:42.720] よどんな家だよこれ何このバーカみたいな
[00:14:46.800] 家野菜ジュースこぼしたわあ野菜ジュース
[00:14:50.600] こぼしちゃった何してんのよ
[00:14:56.320] 全く犬みたいにペロウンター
[00:15:00.199] ピッキン犬みたいにペロペロ舐めたい
[00:15:03.000] オースオースおなんだこれ私の足にもつい
[00:15:06.040] たじゃ
[00:15:06.959] ないこれどうしてくれるの分かったよ俺が
[00:15:11.360] 舐めれ
[00:15:12.959] ばなんな
[00:15:15.639] 何何なんだ1発目からハードだねいいよ
[00:15:20.240] やっぱりマゾねあれ
[00:15:22.000] はもう少しで我を失うとこだったあペペロ
[00:15:25.240] お疲れペペロお疲れプ笑笑
[00:15:29.560] げはなめれにゲーム性変わってきた全然
[00:15:33.680] 好きな人の足なんかなめれるだろ普通に私
[00:15:37.199] たくさん取ってるのに何助昨日のロソ
[00:15:41.000] プレイ運動も
[00:15:42.800] 大事あ怒ってたら気づかれ
[00:15:47.120] ちゃうなれるてなめててえさんはめれない
[00:15:52.279] ですかなめて
[00:15:56.240] てこれで大丈夫だろあロソプレーの後を
[00:16:00.920] 隠し
[00:16:01.720] てるてなめて
[00:16:06.560] てけるこれはバされないだ別にねやっぱり
[00:16:09.399] 気になんな気になるって何が秀の寝よほら
[00:16:14.440] 出かける時間だろしかおらんマみたいな
[00:16:17.839] こと言ってたよほらもう行くぞそれでもう
[00:16:21.319] 魔指摘されてハート出とるやんあでもいい
[00:16:24.160] ねハートがちょっとこれ次ハート出たら
[00:16:25.959] いい感作るぞ
[00:16:29.079] ごめんなささみちゃんなレドしてくれたの
[00:16:31.639] にいきなりわけわからないゲームの中でも
[00:16:34.040] トップクラスにわけわかんないの始め
[00:16:35.560] ちゃったなゲーム性変わったら人のレア
[00:16:39.399] ごめレドしてもらったのにレドしてもらっ
[00:16:41.959] たのにもう結っちゃうあのこのゲームはま
[00:16:45.639] ちょっと簡単に説明するとこれ仮想空間な
[00:16:48.519] んすよこの街街があるんすけどハビタッ
[00:16:51.360] トっていうあちょっとお疲れおはよう
[00:16:53.120] おはようあのハビタットっていうこの仮想
[00:16:55.440] 空間に100人ねいるんですよアバターが
[00:16:59.160] それはもう現実世界であのこう脳みそを
[00:17:01.959] 接続してここで未来の話なんだけどここで
[00:17:05.120] なんかこう生活してなんか幸せになる機械
[00:17:08.280] というか仮想空間なのよでそれがなんかの
[00:17:10.880] エラーでなんかみんな固まっちゃってそれ
[00:17:12.959] をどんどん起こしていくゲームなんだけど
[00:17:15.039] 起こしつつみんなをこう幸せにしていく
[00:17:18.600] ゲームなんですねだからこの中でその
[00:17:20.880] なんかキャラクターが美味しいものを飲ん
[00:17:22.720] だとか美味しいもの食べたそしたらハート
[00:17:24.640] が出るんすよそれがハートをなんかその何
[00:17:27.319] もしないとそのハートがそのアバター中に
[00:17:29.120] ビューンて入ってってちょっと幸福が
[00:17:30.600] 上がるちょっと幸せになりますそれをやっ
[00:17:33.600] てってどんどん幸せにしていくという
[00:17:35.320] みんなを幸せにしようみたいなゲームなん
[00:17:37.320] ですよ逆になんかまずいもの食べたり痛い
[00:17:39.480] 思いとかしたらドロが出るんすよでドクロ
[00:17:41.919] を何もしないとこうそのなん幸せメーター
[00:17:45.320] が減っちゃうのね減っちゃうのねあちょ
[00:17:47.760] えっとほお疲れ元気元気元気ほお疲れあの
[00:17:50.480] であのごめんちょっと待ってあのこう幸せ
[00:17:53.520] メーターが減っちゃうんすよ幸せメーター
[00:17:55.799] をそのドとかハートとかどっちもそなんだ
[00:17:59.000] けどそれを俺がもらうこともできんのね俺
[00:18:01.400] がもらうこともできんのまちょっと行き
[00:18:02.840] ますかそれうまいことこう俺がもらったり
[00:18:06.039] それをで水だけ飲んでハトが出るやつもい
[00:18:08.840] ますあうんそうあの1日貧乏すぎてお金
[00:18:12.320] ないけど水だけ飲んでやっぱりお水って
[00:18:14.799] おいしいなつくそでかいハート出すもやつ
[00:18:16.720] もいるな幸せの形ってそれ次第ってことな
[00:18:20.919] んだよあじさんロブてるこんばんはシ
[00:18:23.240] 始まっとるやんTシ始まっとるやんけいや
[00:18:26.120] 違う違う違う今始まったばっか今始まった
[00:18:28.320] ばっかね何その人限界や限界です多くの人
[00:18:32.520] の生活を覗き見そういうこと覗き見する
[00:18:34.799] ゲームですだ本当にやること何もない見
[00:18:36.960] てるだけほとんどでハートが出たら
[00:18:38.960] 吸い取るかあげるかで今はこれねえっと
[00:18:41.840] このワイプあるじゃんこれが今ナビゲート
[00:18:44.000] してる島田リカコの上にあるこの100
[00:18:46.120] っていうメーター右側にあるやつねこれは
[00:18:48.360] もう今100なの超幸せなのこの人は超
[00:18:51.120] 幸せなのでその反対側左側にあんのが俺の
[00:18:54.360] タンクねこれ50っていうのはこいつから
[00:18:56.320] ハート俺が今もらって50持ってるので俺
[00:18:59.000] がドロを吸い取るあみデビさんドロ俺が
[00:19:01.679] 吸い取ってあげる吸い取ってあげると俺の
[00:19:03.320] が減るんですよ47になってね俺のが減る
[00:19:05.760] んすよだうまいことハートを上げつつ俺も
[00:19:09.440] 吸い取りつつだ出たらできたらハートは
[00:19:12.960] たくさんなんて言うの吸いとあのあげたい
[00:19:15.840] んだよだそうするとまじいやもうめんど
[00:19:18.159] くさかっ
[00:19:19.760] たもう疲れたいいやあとは競みたいなお
[00:19:23.039] 邪魔虫が出てきたら退治するくらいで今
[00:19:26.240] やってるカップルはどんなカップル
[00:19:29.440] これはねカップた島田はこれはあのなんか
[00:19:34.159] 小学生が社長の会社あったじゃん小学生が
[00:19:37.679] 社長の会社あったでしょあなんか褒めつか
[00:19:40.120] れ
[00:19:43.200] た
[00:19:47.280] オオ小学生が会社あので
[00:19:50.760] 橋本Xバされたなんでなんで俺BANされ
[00:19:54.000] た
[00:19:54.600] のなんで俺バンされたんだ
[00:20:01.559] 案口から
[00:20:04.159] 社長眠くて適当に終わっちゃった今夜が
[00:20:07.240] 勝負
[00:20:08.760] ねあれこの
[00:20:13.840] ジュース植物線た植物線入り出たんだなん
[00:20:17.679] だそれなんだ
[00:20:21.200] それでやっぱこのキャラクター自体が今
[00:20:25.640] 100%で超幸せなんだけどゲームがロっ
[00:20:28.120] てる
[00:20:29.679] あねゲームがってるなけねえ
[00:20:33.240] だろ
[00:20:35.400] あのそのなん幸せだとやっぱ行動も
[00:20:38.840] どんどん幸せになってくんだ
[00:20:42.840] よ騎士竜あこれバントマンだ
[00:20:48.000] なできるだけ幸せなまんまねあれしたいん
[00:20:52.080] だ
[00:20:56.320] よでこの島田はは彼氏がMであることに
[00:21:00.159] 気づき始めてるっていうそれでMの心を
[00:21:03.000] 理解しようと頑張ってSになってくれる
[00:21:05.360] いい子だねでもいい子だと思うわ彼氏がM
[00:21:08.320] なのを気づいてこう別に全然自分Sじゃ
[00:21:10.960] ないんだけどちょっとこうあれするみたい
[00:21:13.600] ないい子だと思い
[00:21:26.080] ます便秘には困ったもんね
[00:21:29.799] う便秘
[00:21:34.240] 辛い大体の人
[00:21:38.919] めなとするめっちゃ
[00:21:43.000] 燃えるいいよな
[00:21:47.000] わかるわかる
[00:21:49.600] ななちょっと恥ずかしそうに恥ずかしそう
[00:21:53.440] にちょっとなちょっと強い言葉言ってみ
[00:21:57.360] たりな
[00:22:01.039] たん
[00:22:04.880] ねえやわんこっちゃないロっちゃったね
[00:22:08.159] ああああああ女の子が女の子
[00:22:16.159] が可愛いじゃないですかなんかこう彼氏に
[00:22:19.279] こう喜んでもらおうとしてるわけでしょ男
[00:22:22.600] しか盛り上がってねえよいいだよ女の子
[00:22:25.720] ってでもさやっぱ基本Mだもんな多分なえ
[00:22:28.559] Mですよね皆さん
[00:22:30.480] 女の子聞きたいわえ女の子います今配信い
[00:22:34.559] ますよね笑笑女の子ってでも結局Mじゃん
[00:22:39.200] いませんおるやん8ねレイドもらって話す
[00:22:44.679] 話題がこれそうだもちろん今あのあれだよ
[00:22:48.279] ささみちゃんもえささみちゃんもあれだ
[00:22:50.919] からね私関係ないみたいなやめてねMです
[00:22:53.400] よねみんなどうせそこがねそこがねあなん
[00:22:57.840] だよねそこがねなんか難しいところだよ
[00:23:01.159] いやもうさ俺もそらなくなるじゃでも俺も
[00:23:03.960] だから頼まれたら頑張るさそやじゃもう
[00:23:08.159] あれだから
[00:23:10.559] あのあ株式会社メタマジック来ましたうわ
[00:23:13.840] これ多分あれだろうな2004年にして
[00:23:16.240] この会社あれだろうなフレックスだ夕方
[00:23:19.360] 出社に頑張れる夕方出社頑張れるこれだ
[00:23:23.360] から頑張りますそれもまたなんかちょっと
[00:23:26.880] M心をされるいうか本当はいじめてほしい
[00:23:30.679] のにいじめさせられやめようかこれ上は
[00:23:34.720] さすが変態のもさんねあもろ星なこのあれ
[00:23:39.679] な
[00:23:42.520] く今同僚からMについて聞いてます変態の
[00:23:46.440] さすがエロ
[00:23:47.799] 博士お前が初めて物だろ
[00:23:58.679] いいねハートいっぱい出るねやっぱ一番
[00:24:00.320] 最初にい感ぶっこむのすごく気分いいなあ
[00:24:03.360] 社長だ小学生社長この会社のあの社長は
[00:24:06.440] 小学生
[00:24:09.279] ですでこの100人キャラクターがいて
[00:24:12.120] 100人を全部こういう風にモニタリング
[00:24:13.679] できんだよでみんながそれぞれそれぞれの
[00:24:16.320] 1日をそうだからね前回この小学生の1日
[00:24:19.320] 見たんだけど眠くて全然覚えて
[00:24:22.120] ないでなんか
[00:24:25.000] あのハートが
[00:24:29.320] ハートいうのは残するのよだからこいつを
[00:24:33.320] こいつをそのなんつうのその100%で
[00:24:36.399] 終えたら次もう1回やっても100%の
[00:24:38.919] ままなのだからどんどんどんどんみんな
[00:24:40.880] プレイしてくとどんどんどんどんみんな
[00:24:42.440] 幸せになってくんだよで幸せになると
[00:24:44.480] なんか無意味にこうなんかわーってん
[00:24:46.960] ハート出す時間があるの
[00:24:48.840] よそれでもうどんどん平均値が上がってく
[00:24:51.799] の幸せの平均値
[00:24:54.159] がよくできた本当に社会の祝だよな今この
[00:24:58.799] 現実世界はみがもう全然幸せじゃないから
[00:25:01.200] どんどんどんどんドが出てってもう
[00:25:03.360] どんどん平均値が下がってる幸せの攻略も
[00:25:05.799] しやすくなそういうことなんだよよくでき
[00:25:08.000] てるよね本当にこのゲーム
[00:25:10.440] ねわもうハートが出まくってるいい感が3
[00:25:14.640] つ溜まってる
[00:25:16.520] 神
[00:25:21.159] モスもみんなハート出てるよ今幸せが高い
[00:25:24.440] から
[00:25:27.320] 今長長新製品アルファマジックの説明をし
[00:25:31.320] ますPC上に仮想空間を
[00:25:33.559] 作り上げそこで理想の生活を体験できるも
[00:25:36.679] まさにだからこれのこと言ってるよね
[00:25:38.200] アルファマジックは幸福体験速度ですマジ
[00:25:40.840] でこれのこと言ってん
[00:25:43.120] じゃんへえおちゃまらしい企画だねあやべ
[00:25:46.200] やべえやべえ吸い取ってやれね俺の方が今
[00:25:48.279] 0だからド吸い取ってあげらんないのよ俺
[00:25:51.039] の方が今ゼだ
[00:25:53.120] からし説明中は静かにし
[00:25:55.760] てもう出すなやれねえぞそうするとこの
[00:26:01.559] 島田リかの幸せがどんどん減ってくんだ
[00:26:05.919] よハート
[00:26:08.480] 出せよハート
[00:26:11.039] 出せよ俺が現実実あいいねいいねいいね
[00:26:14.279] これちょっと回もらいますこ1回
[00:26:21.640] もらう全ては僕に任せてくださいよしこれ
[00:26:24.399] もらいますちょっと123は欲しいぞ
[00:26:27.720] ストック
[00:26:30.799] 90でも90ぐらいはキープしておきたい
[00:26:33.760] けどねゲームの話で静まり返るコメそうな
[00:26:37.159] んだよこいつらマジでそうなんだよ
[00:26:39.480] ね俺が真面目にゲームの話すると誰も何も
[00:26:42.880] 言わなくなるなんでよけなコメントばして
[00:26:47.279] よけなコメントばっかりし
[00:26:50.520] て
[00:26:53.039] ベリーベにのこと告させなき本だよこいつ
[00:26:59.000] エロエッチなゲームやってる時だけあ
[00:27:02.960] ちょっとわかんね次ここ何どこ行くのって
[00:27:05.240] 言うとみんながしししまして調べてあ次
[00:27:09.120] ここ行くんだよ次あれらしいぜって言っ
[00:27:10.919] てくのに他ドラクエとかであれこの次何
[00:27:13.760] やるんだっけて言ったら誰も何も言わない
[00:27:15.840] 笑笑
[00:27:17.520] ケベ笑笑うんちゃんお疲れうんちゃんお
[00:27:21.480] 疲れ
[00:27:24.480] 笑笑SMについて調べよう
[00:27:28.919] かしもいいでもいい子だと思うわいい子
[00:27:32.240] じゃない本にんで俺凍されてのあ
[00:27:37.320] パチパチパチそんなリスナーのことが好き
[00:27:40.000] なんだよねお別に好きじゃねえしは別に
[00:27:46.279] 好きじゃねえし勘違いしないで
[00:27:54.399] くれる好きじゃないの好きじゃないよ
[00:27:59.039] なんか俺の俺のギャルゲー作ってくんねえ
[00:28:01.240] かな誰か俺のギャルゲー作ってくんねえか
[00:28:04.440] なそっかうん俺のギャルゲーだ
[00:28:12.480] けどえ何じゃあ俺が
[00:28:16.360] 何俺が好きって言ったらみんな好きなの
[00:28:18.799] じゃ俺のことそういうことじゃじゃあ
[00:28:21.159] みんな
[00:28:22.519] 好きしたらでけハート出るバカでけえ
[00:28:25.480] ハート出る
[00:28:27.120] よバカでけえハじゃあ嫌い俺今あれだもん
[00:28:30.919] アのじアの
[00:28:34.720] じアの弱だねさあ帰ってきました
[00:28:38.480] フェミニンマンション
[00:28:42.120] なんて帰ってきました
[00:28:45.080] よすぐトイレこもるな
[00:28:48.559] お前でも島か可い可愛くない顔アの毒
[00:28:55.799] ねはあ
[00:28:59.480] ずっとトイレ行くよねうわでもうわでも
[00:29:01.840] しかもユニットバスかしんどいなユニット
[00:29:06.000] バス1番乗りうんこ男になりたくなく
[00:29:09.039] ない友達とのみってさなんかこう今日もう
[00:29:13.559] ビジホ止まるべつって友達3人とかでさ
[00:29:16.000] トリプルとかのさあれ部屋入ってさ1番
[00:29:19.559] 乗りうんこマなりたくないよなでもうんこ
[00:29:21.600] 下なんねんなのみ行って帰った後すげえ
[00:29:25.840] 我慢するけどじゃ
[00:29:30.080] このあの美事の小学生かよ美事のいやだっ
[00:29:34.440] てやじゃん駅前で行けそうだからもう
[00:29:38.720] ちょっとトイレのためだけに近くの
[00:29:41.240] コンビニまで歩いてさいやしてくればいい
[00:29:44.960] じゃんそういやだから帰ってきた時に
[00:29:48.360] うんこしたくなんのよ本当にっごめんね
[00:29:53.240] 汚い話ごめんねでもさやっぱ誰も言わない
[00:29:57.159] よ優しいから言わないけど匂い残るや
[00:30:03.120] ん行きましょう
[00:30:06.080] かもう攻めの構えで流さずに置いとこ臭い
[00:30:10.320] ねん臭いねん言わないっていつから錯覚し
[00:30:14.360] てたの言わないよあでも逆に言ってくれた
[00:30:17.039] 方がなんか気が楽だけどな俺がうんちした
[00:30:19.960] 後に次誰か入ってうわ絶対今臭いって思っ
[00:30:23.240] てる出てきた後に何事もなかった顔される
[00:30:26.559] 方がきついわえちゃ臭いやんけて言われた
[00:30:29.480] 方が嬉しいわそっちの方が嬉しくない
[00:30:33.880] 笑笑お前うんこめっちゃ草ない
[00:30:37.480] みた言われた方が嬉しいわうわの
