[00:00:09.599] ググググググ
[00:06:39.080] 割と好きいい好きだったら好きだった場合
[00:06:42.800] は心にグっとしまっといて言わなくて復し
[00:06:45.440] なく
[00:06:50.919] てうまいお茶
[00:06:53.360] がお茶が
[00:06:56.400] うまし今日マジまたありだからとけど
[00:07:01.639] やっていこかな
[00:07:03.520] ここやっていこかなこなんや配信スタート
[00:07:07.240] んでも好きスタポubn思いの好きがある
[00:07:10.840] ねやっていきますよさんこんばんはも名前
[00:07:14.560] 戻ってるないいんだよそれ
[00:07:19.039] でもうこ見ない見ない見ない誰はいやって
[00:07:23.240] きます前回も戻ってたよやっていき
[00:07:28.520] ますよろしくお願いしますえ前回このなん
[00:07:31.639] だっけ名前せたこの眼光の最高の1日を
[00:07:35.039] 記録したの
[00:07:36.720] で今日もなんか見たいっすね最高の
[00:07:39.599] エンディングが見れたらなと思ってい
[00:07:43.600] [音楽]
[00:07:48.080] ますもろ星張りしたいもろ星もろも行き
[00:07:52.759] たいな左に戻るゼやめろ
[00:07:57.080] やめろやってきます
[00:08:01.720] ちょっと誰行こっかな誰行こっか
[00:08:05.680] なオンライン
[00:08:07.919] アバター今何人起きてんねん33人起きて
[00:08:11.599] ますとはいあとまだ7070人ぐらい寝
[00:08:14.520] てるんだな前回見てくださいこれハート
[00:08:16.800] ッピー100%ねベストエンディングを
[00:08:19.840] こいこいつのこいつのベストエンディング
[00:08:22.000] を達成しましたあちょこんばんはやります
[00:08:24.360] よ今日もやよかったなこれ見たみこれ最後
[00:08:27.680] まで見てくれためっちゃ良かったで
[00:08:31.320] ぶっちゃけめっちゃ良かったてことはだよ
[00:08:35.200] こっちもやったら多分行くんじゃないのか
[00:08:37.080] ままいやめよよかったか良かったよな
[00:08:42.839] 小あややこんな家族もいますとこれちょ
[00:08:49.560] まだ後だな
[00:08:51.560] 花田花田これ誰これ居酒屋の
[00:08:56.040] 族がいるなそうなんですよ行こうかな米倉
[00:09:01.200] たこ焼き屋かたこ焼き屋の米倉えバンド
[00:09:05.079] メンバーの辻杉騎士いいのかなの天主が
[00:09:08.839] 花田だ
[00:09:11.320] ねどうしよっか
[00:09:14.040] なふ
[00:09:16.279] だかこ金子って誰専業主婦えこれ誰幼子え
[00:09:23.839] これどこで起こしたやつだえ生活え金子
[00:09:26.640] じこ28歳ためだえ生活温厚え夫金子徹夜
[00:09:31.040] のエキセントリックの生活とはえ反対え
[00:09:35.240] 本日が娘金子あ秋の誕生日のためいい
[00:09:39.120] 誕生日を送らせてあげたいと考え娘と一緒
[00:09:41.399] に行動を
[00:09:42.720] するかこじこかこかこじこかこたけの内え
[00:09:49.160] どうしようかなかこなんかパン1発で
[00:09:52.800] ちょっとさパンチ効いたやつ行きたくね
[00:09:55.800] パンチ効いたやつ行きたくねえか
[00:09:59.760] ただやらねえと起きねえからな加藤って
[00:10:03.480] 誰性格え加藤じ加藤じ加藤じ
[00:10:09.839] えー上水やるあ浄水機ね加藤加藤じは
[00:10:16.560] まずいえ性格寂しがりや妻加藤教子と
[00:10:19.480] 別れると離れるとついつい連絡を取ろうと
[00:10:21.880] してしまうそんな自分の弱さを嫌っている
[00:10:23.880] きこさは妻と連絡を取るのを我慢すると
[00:10:25.839] 決意
[00:10:27.040] するちょっと面白そうだな
[00:10:30.320] ちょっと面白そうだな加
[00:10:33.000] 統一加減統一それああどうしようか
[00:10:39.120] な奥さん大好きもいる
[00:10:43.120] ね松岡早下田広瀬池田穂坂ね穂坂みつるね
[00:10:50.480] こいつめっちゃハート出すんだよなハート
[00:10:53.639] なくなったらやるかもしれないこの辺とか
[00:10:55.600] 誰も音悪いあい
[00:11:02.200] 本当
[00:11:03.160] じゃあほとじゃあそうだな誰行こうか
[00:11:08.440] な星って何星誰も起きてないんだよ起きて
[00:11:12.920] ねえからなんかパンチありそうなやつきて
[00:11:15.040] な
[00:11:15.959] 金星多いねそうめちゃめちゃ大家族なんだ
[00:11:19.639] よ竹の内行く竹の内ふ高校生18歳の母と
[00:11:24.519] 繋がったばかりの繋がったて変の母となっ
[00:11:28.440] たばかりのうちみこあきことえうけること
[00:11:33.240] ができないえことで悩むえ嫌ってるわけで
[00:11:35.800] はないが素直になりきれないでる将来のは
[00:11:37.680] F1
[00:11:38.880] レーサーなんかこれハートフルっぽいな
[00:11:42.160] ハートフルっぽいから行こうかハートフ
[00:11:44.000] ルっぽい
[00:11:45.800] からいきなりい感ぶっ込みてえけどな結局
[00:11:49.680] それが一番うまくいく秘訣なんだよ
[00:11:52.440] いきなりハートフルにし
[00:11:54.360] しまうもうそれがもううまくいく秘訣だ
[00:11:56.920] からもういい感あんならぶっ込むわ
[00:11:58.839] いきなり
[00:12:02.399] 多家族起こすでしょこれさ今日も人間
[00:12:05.680] ウォッチやっていき
[00:12:10.519] ましょう竹の内太し18188歳の顔か
[00:12:17.360] これ36ぐらい
[00:12:21.839] にスイート
[00:12:25.880] ヒル体格いい
[00:12:28.160] なさんに笑われないようにあこれ
[00:12:31.639] え
[00:12:33.279] はいはいもうはいもうはいはい開幕開幕
[00:12:38.760] ハートこれいい感にしたいい感にしたい
[00:12:42.000] けど多分家族起こすよね多分これね
[00:12:44.959] っぽいなんだパワー系
[00:12:47.839] ってパワー
[00:12:51.000] 系えなんだこの部屋おはようたのう何これ
[00:12:57.360] カあれ2人とどうしたの固まってますなん
[00:13:01.600] だこれプラネタリウムやおいどうした
[00:13:09.320] のかなどう森にありそうないイ
[00:13:14.920] かどど森にありそうなこのあれなあの壁紙
[00:13:21.360] なマイデザイン貼ってそうマイデザインで
[00:13:25.519] ガーってやったやつ貼った時こうなりがち
[00:13:33.760] 喋り方もなんかどぶの森
[00:13:39.920] みたいいいねハートいっぱい出るよこれ
[00:13:44.079] ちょっといきますいいねいいねいいねい感
[00:13:47.839] 感回収できたよしよしよしいいぞなかなか
[00:13:50.720] ハートフルな一家こんな住民入れたく
[00:13:55.920] ないめちゃめちゃあれなんだなから
[00:14:00.120] ギリのあだから離婚した後お父さんが再婚
[00:14:03.480] したんだろう
[00:14:05.040] な再婚したんだろうな多分な何エッチな本
[00:14:11.279] 隠そうこれもうエロ同人の展開じゃんギリ
[00:14:15.000] のお母さんがエッチな本見つけちゃってあ
[00:14:17.399] ふしくお前これエロ漫画じゃねえかよある
[00:14:21.399] ぞ展開ギリのお母さんがエッチな本見つけ
[00:14:25.000] ちゃってそこにたまたま帰ってくるふ
[00:14:28.000] 始まりそう始まるぞエロマンガあり
[00:14:35.839] ますけられねんだな新しいお母さんとな
[00:14:39.079] どうしてあきこと口聞かないんだそんな
[00:14:41.160] ことしてないよあきこは悩んでるじゃない
[00:14:44.279] かそんなこと知らない
[00:14:46.160] よ知らんとはなんだ素直になれ怒んないで
[00:14:49.800] くれよこれは難しい問題だなあきこのこと
[00:14:53.120] 考えてやれよ俺の気持ちも知らないと本当
[00:14:55.399] そうだわそれはマジでそうだと思うあやべ
[00:14:57.560] フールダウンしたハトラハお前親父てめえ
[00:15:01.480] 息あでも扉をあげて開けてあげる優しい
[00:15:08.839] 親父うん今何時だろうそろそろ楽境行か
[00:15:14.000] なきゃあの2人は何やっての朝から一緒の
[00:15:16.639] 部屋に入ってうお疲れあお疲れやってき
[00:15:20.800] ますまたあり本日1人目
[00:15:24.560] の1人目のウォッチャーは竹の内ふ君です
[00:15:29.120] えー再婚したお母さん新しいお母さんに
[00:15:32.120] 馴染めず悩んでい
[00:15:36.319] ます確かにお母さん若いなあれ若妻こらえ
[00:15:40.839] たな
[00:15:41.680] お前この間取り見たこと
[00:15:44.199] あるこの間取り見たこと
[00:15:52.240] あるあいきなりいい感ぶっ込んでるから
[00:15:55.120] これいいぞなかなか
[00:16:05.199] なんか説明書読んだら
[00:16:07.120] さあのなんだっけ
[00:16:10.600] えっとDiscordにも貼ったんだけど
[00:16:13.000] だか昨日の配信の後にあの茶ドガさんって
[00:16:17.399] レドして来てくれたじゃない
[00:16:19.800] あのレトロゲーマーなんだけどゆい俺と
[00:16:24.360] もう1人チャドクガさんがTwitchで
[00:16:26.160] このゲームやってるのねうんさんからDM
[00:16:29.680] 来ててよかったらこれを使ってくださいっ
[00:16:32.160] つってなんかこのゲームとのなんか説明書
[00:16:36.120] のなんかスキャンしたやつみたいの送って
[00:16:39.079] きてもらって僕はこれを使ってみんなに
[00:16:42.880] 説明してましたこのゲームをそこになんか
[00:16:45.839] 住人一覧みたいなのが載ってて結構面白
[00:16:48.800] そうなやつ結構乗ったんだよな
[00:16:52.160] なんかヒステリックな女とかそういうの見
[00:16:55.560] てえよな
[00:16:59.319] 生徒全然増えてねえなめっちゃ
[00:17:02.319] 優しいいい人すぎメール
[00:17:09.120] だメールなってますよ携帯なってます
[00:17:12.760] よ説明書持ってないからメだ持ってる持っ
[00:17:16.439] てる持ってるきもちあお疲れいちいち俺に
[00:17:21.439] 聞くなよな何
[00:17:23.640] が風たいたんか
[00:17:29.160] ちゃんが風邪引いたかどうかってこと
[00:17:32.320] ねなんでこの距離でメールやり合ってんだ
[00:17:35.039] よこいつ貴いなマジさ戸塚大吉がキモくて
[00:17:37.960] しょうが
[00:17:39.600] ねえアイドルの弟アイドルのさ姉貴に
[00:17:43.880] アイドル持ってるやつのなんか今日休ん
[00:17:47.080] でる理由とかをわざわざメールで聞いてき
[00:17:49.120] やがるきし
[00:17:52.840] こいつ今日は授業も楽しい
[00:17:56.200] な体はでかいけど優しいタイプだろうな
[00:17:59.720] 多分こいつ森で多分あの小鳥とかと話す
[00:18:03.159] タイプだお人間
[00:18:07.440] うかの
[00:18:11.799] 前かけのチブだからあいつは食うのかよ
[00:18:17.400] 人間お人間食うおで強くなるでもそれ自然
[00:18:23.440] を守るためだから
[00:18:26.840] [音楽]
[00:18:35.200] 化け物悲しそうな顔をしますそれ言われる
[00:18:37.840] とお母さんお母さんて呼んでやれねえん
[00:18:40.600] だろうなまだ
[00:18:42.080] ないつもありがとうめっちゃいい子じゃ
[00:18:44.760] ねえかよお前鼻踏んだ鼻の命奪っただから
[00:18:51.679] お前も命奪う同じこつて殺すだろなもも
[00:18:59.320] 同じことつって同じそうだよそと殺す人の
[00:19:03.480] こと同じです彼にとっては花も人間も同じ
[00:19:08.600] 命お前鼻踏ん
[00:19:13.840] だ外は気持ちいいなも大きいドでちゃう
[00:19:19.240] よえめっちゃいいやつじゃん
[00:19:23.360] ふしぼな性格かと思ったけどそんなこと
[00:19:26.240] なかっ
[00:19:27.720] た戦行ってレースやるか今日は1位で
[00:19:32.080] クリアしたい
[00:19:34.400] なマリカか
[00:19:52.000] マリカなんかもっとがプルプルきみたいな
[00:19:56.760] やりてえなあのねあのさお公園で固まって
[00:20:00.400] たあの変な女やりてんだよなあの本当に
[00:20:03.280] なんか言語が通じないレベルの変な女あの
[00:20:05.799] ハートしか出さ
[00:20:11.120] ない公園に行くかもう1回ババババ治郎
[00:20:14.760] やろうかなもう1回お猫やろうかなお
[00:20:22.559] 猫でもお猫やったけど起こさなかったんだ
[00:20:25.480] よ
[00:20:26.240] なあれ起こせそうなやつ誰だろう
[00:20:34.400] ま俺のプライベート
[00:20:37.280] が水族感行き
[00:20:40.120] そうでかいハートって刺しそうだねなんか
[00:20:42.799] 水族館で写真撮っ
[00:20:47.600] てプライベートで靴磨いてんの
[00:20:51.520] かよし腕試し
[00:20:54.200] 今日こそ1位になってるあなんか固まっ
[00:20:56.799] てるやついるな
[00:21:00.799] 固まってるやついるね出しちゃう
[00:21:05.640] よ惜しい惜しい油断し
[00:21:14.640] たああ起こすやん起こすかちゃやったるか
[00:21:19.919] すげえいいぞいいぞ行けそこだなんだこれ
[00:21:23.559] すごいよどうしたあああ始まった無駄に
[00:21:27.159] 褒める時間すごいななん
[00:21:30.919] だ尊敬するすごいなんでなんで初対面で
[00:21:35.400] こんなお前らああなんか疲れた
[00:21:38.159] なお前その初対面のやつこれタバコく誰
[00:21:44.080] だっけこいつなんだった名前見てなかった
[00:21:47.520] 初対面のやつにいきなり込めて疲れた
[00:21:51.960] なああなかなかこいつハートフルなキャラ
[00:21:55.039] でいいねわ押された
[00:21:59.760] あれ起こして欲しいんだけど固てるやつ
[00:22:01.320] 起こしてほしいおこ
[00:22:07.039] さんおいおいおいちょど出すなこんばんは
[00:22:11.559] こんばん絡まれたら大体揚げの時代だよ
[00:22:15.080] これ出たの2004年だけどその頃もまだ
[00:22:17.640] ゲセンってそういう雰囲気だっ
[00:22:19.600] たあ車が好きなんだな将来の夢はF1レー
[00:22:23.799] サーって言ってたな
[00:22:28.760] 親父がりの
[00:22:30.200] 時代親父がりとはまたちじゃないだ
[00:22:33.919] 2004年で
[00:22:36.799] もこんなも昭和の話じゃねえ
[00:22:43.919] の起こしてくんねえのかなあの固まってる
[00:22:47.799] やつ落ち着いたのは2010年頃からそう
[00:22:51.480] なん
[00:22:57.039] だやばい
[00:23:04.880] やばんお前何回同じゲームやんだ
[00:23:11.720] よ可愛いやつだなゲーム壊さないでねそう
[00:23:16.840] だぞお前配信でイライラしたからってだめ
[00:23:19.279] だ
[00:23:20.120] ぞ台パンとかすするとフリーズするから
[00:23:24.480] な終わった誰が起こしてあげれるんだよ
[00:23:27.919] あいつ
[00:23:29.320] レジャランのガンダムの戦場の絆にいる
[00:23:32.000] タイプレジャランて何戦場の絆って昔あっ
[00:23:35.799] たななんかこういうなんかあのあれなあの
[00:23:39.880] 高橋名人最初からになっそうそうそうそう
[00:23:42.840] 高橋名人9時間のデータがラレジャー
[00:23:46.360] ランドレジャーランドのことレジャランて
[00:23:49.039] 略すん
[00:23:50.159] だ初めて聞たレジャラン
[00:23:54.960] レジャランレジャランね
[00:23:58.679] かもお前暇レジャランイかねあまレジャー
[00:24:01.799] ランドっていう単語すら使わねえよ
[00:24:04.600] なレジャーランドってどういうどういう
[00:24:08.000] とこのこと言うんだよゲセンじゃない
[00:24:13.000] のレジャー
[00:24:17.120] ランドバッティングセンターとかそういう
[00:24:19.840] のだよ多分なもうなくなったよな昔あった
[00:24:23.360] けど
[00:24:24.200] ねレジャランドっていうびれ
[00:24:30.080] たが拠してたな戦場の絆あれおじさんしか
[00:24:34.360] やってなかったん
[00:24:37.600] だバッティングセンターてなんて略す
[00:24:42.039] 戦音があんま良くないごめんちょっと待っ
[00:24:44.880] て
[00:24:47.919] 戦戦は全国共通か戦はね行ったことない
[00:24:52.039] けどいや何回かある
[00:24:56.960] か回
[00:24:59.480] たかんすぎ
[00:25:01.279] て
[00:25:05.520] でかバッティングセンター
[00:25:25.440] のーね
[00:25:28.960] 喋れるかな今日は金星夕食だいただきます
[00:25:34.200] このでもねあの良くないわあまりにも
[00:25:36.679] ラブラブしすぎなのが良くないわうまい
[00:25:41.360] なこんなうまいと太っちゃいそうだもう
[00:25:43.840] 太ってるやああうまかったごちそう
[00:25:47.559] さあきこさんの料理楽し最高だなくだる
[00:25:52.930] [音楽]
[00:25:54.240] がははあえあああやばいやばい始まるぞ
[00:25:57.880] これエロ漫画が始まりますおいおいおい
[00:26:00.200] 待ってえ一緒にお風呂入え一緒にお風呂え
[00:26:03.640] 何えなんだ今のえ何え本当に本当にエロ
[00:26:08.720] じゃん始まるな本当にエロじゃん鼻歌が
[00:26:11.760] 聞こえるぞだんだん夏めいてきたわね
[00:26:14.520] あきこさんシャワー
[00:26:17.360] かマジでマジでエロじゃねえか危ないもう
[00:26:20.480] 出てくるところてか脱じゃ脱上ないのああ
[00:26:24.559] やばあバカバカバカバカあえ出すなあああ
[00:26:27.200] ああああれ耐えろあらふ君次シャワー帰る
[00:26:31.919] お本当にエロマンガの本当に本当にもっと
[00:26:38.039] 仲良く話せないかしらお母さん側はそう
[00:26:40.799] 思ってんだ
[00:26:43.039] な何とは言わんが10円セールだってよえ
[00:26:46.799] またちょ買うかすっげえふが俺をじろじろ
[00:26:51.279] 見てるニヤニヤしてどうしたんだねこれ急
[00:26:53.360] にさストーリーの何の脈絡もなくこれ褒め
[00:26:55.600] 出すの何限定
[00:26:58.799] すごい
[00:26:59.720] などうしたふしマジ尊敬しちゃう
[00:27:06.080] よ生かしてるなわーなんだこれ煽りだろ
[00:27:11.720] その褒め方
[00:27:13.200] はねい3つ溜まった感3つ溜まったこれ
[00:27:18.039] 行けるぞ笑笑おいこの次ちょっとさ不幸
[00:27:21.120] そうなやつ行くべハートめちゃめちゃ使え
[00:27:24.000] そうなやつねそろそろ星を見ましょうゲ
[00:27:27.480] じゃん星読みましょってなんかそういう号
[00:27:29.840] なのかもしれないふ君も誘ってみましょう
[00:27:31.760] よどうしても照れちゃうなそうだねあきこ
[00:27:35.520] が誘ってみなさいバンドマン編来るか
[00:27:38.840] バンドマンもあるなちょっと呼んでくるわ
[00:27:40.760] ねあいいね一緒に星見よう来るといいが俺
[00:27:44.320] が吸ってやるここはここは俺が吸ってやる
[00:27:47.279] 一緒に星を見ましょう
[00:27:49.000] よたまにはそうしようかなほら早く早く
[00:28:01.840] ママはって何ねこの竹の内あきこの横に
[00:28:05.880] あの肩書き肩書き何ママはっ
[00:28:10.880] てすごいよ目の前にあるみたい
[00:28:14.320] だテレビで見るのとちいでしょママくねだ
[00:28:18.760] これ再婚してんのよ再婚あそうなんだそれ
[00:28:22.679] ママハって言うんだそういうの知らんかっ
[00:28:27.120] たギリのお母さんのことママハって言うん
[00:28:29.840] だ新しいお母さんのことパパちっていうの
[00:28:33.159] 逆はマなんだろうね多分めっちゃ若い
[00:28:35.279] だろうな
[00:28:36.279] これで馴染めなくって悩んでるのこの子は
[00:28:40.880] 母親のことママ嬢っていうキャラクターも
[00:28:43.440] いるよママ上笑笑パパちあ肉こんばんはえ
[00:28:47.399] パパちは言わない
[00:28:49.200] 笑笑お母さんて呼んでやれお母さんて今度
[00:28:52.159] お母さんて呼んでみよっかな今呼びなさい
[00:28:54.600] よ今呼んであげというのか呼んであげさい
[00:28:58.760] よロ
[00:29:01.679] こんばんはそこふは打ち解けたようだ帰っ
[00:29:05.720] て来られてよかったよかったお母さんと
[00:29:08.840] 呼ばせてくださいお母さん呼べよ呼ばない
[00:29:11.399] んかい結婚とかじゃなく再婚した時に言う
[00:29:14.240] んじゃないかなママ実と違うみたい
[00:29:18.399] なこれ
[00:29:19.750] [拍手]
[00:29:21.159] で何この何の哲もない
[00:29:28.200] ない1日可愛い朝朝いやままあでもまギリ
[00:29:33.799] のお母さんと馴染めて良かったっちゃ
[00:29:35.720] よかったけどなま良かったっちゃよかった
[00:29:37.559] けど100%だからラブがやっぱ朝一イカ
[00:29:41.760] ぶっこむの神かもなおいちょっとさ
[00:29:45.399] めちゃめちゃ不幸そうなやつ行っていいか
[00:29:47.200] 1人いるんだよとんでもなく不幸なやつ
[00:29:50.360] が化けのやったあきこさんと星見ちゃった
[00:29:53.840] 明日からもっと仲良くできそうだぞおお
[00:29:56.799] いいじゃないですか
[00:29:58.230] [音楽]
[00:30:01.039] あんまり起こしてくれんかったけどな
[00:30:03.000] 可愛いね良かったね良かったねいい話では
[00:30:05.760] あっ
[00:30:06.399] たあきこさん何歳なんだ
[00:30:11.039] よとりあえずセーブまだ
[00:30:14.039] いいセブが長えからさちょっと2回に1回
[00:30:17.399] ぐらいでいいセブ
[00:30:18.760] はセブがマジで長いパン1枚でハッピーな
[00:30:22.519] パン1枚でハッピーな彼は幸とは言いませ
[00:30:25.320] ん彼女は彼はあれでも幸せです
[00:30:28.519] 何歳
[00:30:30.120] 26今幸せですか26と41そりおめえ
[00:30:36.399] ちょっとお前18歳の時に26の女なんて
[00:30:40.559] もうお前26もうお前
[00:30:43.679] もうあかんやんなあ俺ためだ
[00:30:49.840] よえ41の男と結婚
[00:30:55.559] できる一の空にるだけでもめもうおめえな
[00:31:00.720] 準備万だよ
[00:31:04.039] なこ18歳の娘子どう
[00:31:07.600] よ死ぬほどか
[00:31:10.480] もえ
[00:31:12.679] 竹の内竹の内なんだっけなんて読むだっ
[00:31:15.840] けんだっけこれえと再熱中
[00:31:20.200] えこで読むのなんて
[00:31:23.200] 読むであるなけてくれないことに悩み母と
[00:31:27.080] 呼れた
[00:31:28.440] いえ趣味夫と一緒に天体観測これこれやっ
[00:31:32.399] ても最高の1日になるんじゃねえのわかん
[00:31:35.799] ねえけどまちょまいっかちょ後で
[00:31:39.320] やろかこああママやろ見えを見ようママ
[00:31:44.279] やる前にこの幸せをぶつけてやつがいるん
[00:31:46.880] だよ浄水器浄水器言っていいかどれだっけ
[00:31:52.440] 上水やってた
[00:31:55.120] こんばんはこんばんは2歳じゃセクシー
[00:31:58.840] ビデにある展じゃんみたいよ新藤介え訪問
[00:32:03.600] 販売員超弱体質何をしてもすぐ体調が悪く
[00:32:07.679] なり倒れるえ部屋に溢れ返る浄水器の在庫
[00:32:10.720] をなんとかさこうと売り歩くかさっぱり
[00:32:13.480] 売れず行き先で邪魔者扱いさ
[00:32:16.519] れるなかこれこれ行こうこれ行き
[00:32:21.200] ます幸せの初値も46だから
[00:32:25.639] なくぞいきなりぶ
[00:32:29.840] あてかあの邪魔も出なかったねなんか病院
[00:32:32.799] みたいなとこで放置プレイラはなかったっ
[00:32:35.360] けそうこれ前やった時もそうこいつマジで
[00:32:38.159] すぐぶっ倒れるのよで病院行くんだけど
[00:32:41.159] 病院の先生が固まってるからう誰も出てき
[00:32:45.000] てくれん死ぬって
[00:32:47.639] なるあこれダメじゃん病院の先生起きて
[00:32:51.080] ねえんだもん笑笑病院解放病院の先生起き
[00:32:54.799] てねんだもこれダメだよやる意味なかった
[00:32:57.159] かもしんねえまあいいややってみようなの
[00:33:03.519] 笑杉本
[00:33:07.399] ハ強29歳放だったなうわこれ全部あれだ
[00:33:11.880] よ在庫だアムウェイと一緒じゃんこいつ
[00:33:14.720] なあアムウェイと一緒だよおいアムウェイ
[00:33:17.360] と一緒なあアムウェイと一緒あの俺の友達
[00:33:21.000] のアムウェイドはまりしたやつもあの
[00:33:23.120] なんか化粧品の在庫こんくらい抱えてたよ
[00:33:25.760] なんであこ誰に
[00:33:29.080] 笑うん本社渋谷にありますアム
[00:33:32.080] ビル水上機浄水器を売らんとわしにやれる
[00:33:36.080] かの29歳でわし厳しいのあい感ぶっ込み
[00:33:40.720] ますドンでもお前ドン行きたいくのに
[00:33:44.519] すごい重そう本当だよこんなの持ち歩け
[00:33:46.760] ねえよな
[00:33:48.000] うお今日もツインせにはならんなんでそれ
[00:33:50.840] でハート出るんだツイが嬉しいタイプじじ
[00:33:53.519] ババじゃねえかよじじババてよツイが
[00:33:56.519] 嬉しいんだよな
[00:33:59.010] [拍手]
[00:34:00.320] えこんな朝早くから来んのさっき来ないと
[00:34:04.960] 思ったらいお腹元気お腹元気
[00:34:09.359] ですお腹元気人と話せる機会だからねそう
[00:34:14.000] そうそう井戸端会議だと思ってる藤さんを
[00:34:16.960] いじっ
[00:34:19.079] ちゃおミュージック
[00:34:24.879] スタポいてえなおい
[00:34:29.119] せに新藤さんあんた幸せなんじゃ動け
[00:34:36.119] んセールストーク下手くそ
[00:34:40.399] ね言ってやるなって俺も同じ営業だから胸
[00:34:44.760] が痛い
[00:34:49.679] やよし頑張れあこいつ弱い弱い弱いよ
[00:34:54.040] そんなじじ臭い話し29わだぞ
[00:34:58.839] やば早いだめだ勝てない感ぶっ込んだ早
[00:35:03.599] すぎる見たか今の
[00:35:06.560] 動き笑笑だめだこうなってくるのよ結局
[00:35:11.520] こうなってくんの
