[00:00:27.679] ピース
[00:10:29.120] 40周年。そうだよ。もう今年やばいよ。
[00:10:32.120] 1986
[00:10:33.920] 年に発売されたゲームが今年で全部
[00:10:36.480] 40周年なんだよ。
[00:10:38.760] で、あの、ほんまにな、中段でやめたんだっけ?で、
[00:10:42.800] 1986
[00:10:43.959] 年発売のゲームってやばくてやばくてまずドラゴンクエストでしょ?ドラゴンクエスト
[00:10:49.639] 40周年。え、メトロイド
[00:10:51.639] 40周年。えー、悪魔城ドラキュラ
[00:10:55.360] 40周年。え、ゼルダの伝説
[00:10:57.240] 40
[00:10:57.639] 周年。やばない?もうやばくない?今年でポケモンが
[00:11:02.200] 30周年でしょ。やばすぎるって。
[00:11:04.360] 今年アートディンクってなんか他のゲームでも見るよね、これ。いっつも思うけど。アートディンって見るよね。
[00:11:12.160] 86
[00:11:12.639] 年マジやばい。他にもいっぱいあるよ。他何だっけな。
[00:11:15.720] 86
[00:11:16.279] 年。まずねシステムが出た年なんでディスクシステムから始めたゲームは全部
[00:11:20.880] 40周年。
[00:11:22.600] チまけポケモンより若い。いや、こためためためため。ポケモンためだよ。ためため。
[00:11:27.680] なんで毎回データさ、俺間違うん?
[00:11:30.720] あるんすか?
[00:11:31.440] なんかあんじゃねえの?ドラクエの日中断した冒険からありましたからこれだよ。そう、茶ま
[00:11:38.000] 30周年なんてお前ら今年の6月11
[00:11:40.120] 日覚悟しとけよ。お前ら覚悟しとけよ。別に何もしねえけど。
[00:11:44.160] てか30、え、
[00:11:47.839] 30歳俺
[00:11:50.839] 必死に必死にさ、お母さん育ててくれてさ
[00:11:56.000] 、なんかめちゃめちゃ頑張って3030年
[00:12:00.480] 生きた結果が平日の夜1人でモニターに
[00:12:05.240] 向かってでかい声出しながらゲームする
[00:12:07.839] 人間です。[笑い]
[00:12:10.600] 終わりなのかもしれない。
[00:12:12.560] 終わりなのかもしれない。やめなよ。いいじゃん。ピンクで。笑。
[00:12:14.263] [笑い]
[00:12:18.440] なんで平和でピンクって言うんだ?今なんでうちのチャンネル平和のことピンクって言うんだ?自称行為だよ、これ。自称行為。泣いた。泣いたよ。ゲモン。なんかちっちゃくねえか?なんか俺死にそうじゃね?
[00:12:31.120] それじゃ敵を作りそうな発言。笑笑。
[00:12:34.079] それ以上は敵を作りそう。
[00:12:36.199] いいとこ見せます。
[00:12:38.079] まあまあまあまあまあ。あ、シーズさんも
[00:12:40.600] 10回。10回10
[00:12:43.079] 連続中だってすごいね。じゃ、これさ、
[00:12:47.279] 100回行ったらなんか決めようぜ。
[00:12:49.320] 100回、100連続。俺の
[00:12:52.839] 配信100
[00:12:54.279] 連続視聴できたらこれあの、みんなあの何、何する?何する?何しよっか?なんか、なんか決めとこうよ。
[00:13:03.320] やっちゃえ。
[00:13:07.680] 不毛なネット喧嘩してるよう人。本当だよな。
[00:13:12.320] こんな30はやだ。こんな30は嫌だ。
[00:13:17.839] 100
[00:13:18.079] 面あるゲームクリアしてゲーム。
[00:13:21.729] [笑い]
[00:13:23.440] いや、ゲームクエストのハードル高。
[00:13:27.240] 100
[00:13:27.519] 回連続で見なきゃいけないんだぜ。累計じゃなくて連続だからね。
[00:13:32.000] 笑笑
[00:13:34.360] やるそれ。でもな、ゲームな。
[00:13:40.160] お、10回、10回。プランさんも10
[00:13:41.760] 回ですよ。いいよ。なんか、なんかねえかな。
[00:13:50.759] 100
[00:13:51.040] 回俺の配信連続で見れたらもできるからな。
[00:13:57.639] それ
[00:13:58.360] そうなの?俺さ、このシステムよく分かってねえんだよ。あ、でもそれあんま教えなくていいかも。なんかそしたらだから全員なんかやりそうだからわかんないけど。
[00:14:09.759] 100回行ったら
[00:14:12.519] 100回行ったらなんかないかな?
[00:14:14.440] 100回って俺あと
[00:14:16.600] 100
[00:14:16.759] 回も配信すんのかな?ちょっと今不穏な発言が出ましたね。俺あと
[00:14:19.369] [笑い]
[00:14:23.920] 100回も配信するのか?
[00:14:25.199] 今すごいの拾わなかった。
[00:14:26.920] 何?今何拾った?俺何拾ってた?笑。
[00:14:30.504] [音楽]
[00:14:31.880] はあったり逃すよ。自分が忙しい。
[00:14:35.000] そうなんだよな。そうなんだよな。
[00:14:36.800] 不思議な帽子とか
[00:14:38.079] 不思議な帽子って何?
[00:14:42.360] ゼルダの伝説ですか?ゼルダの伝説不思議の文字てかなんで俺のこと誰も回復しないんだよ。役目でしょ。回復せえやな。どうなってんの?今作戦。ここ何だっけ?メルキド何だっけ?お前ら作戦何なってんねん。ボマン。えー、作戦。お、こいつらさ、行こうてたと回復しなんだ。
[00:15:07.880] 臨キ応変に行けよ、お前。作戦に加えて
[00:15:11.320] ほしい。臨キ応変に行こうぜ。
[00:15:14.399] 不思議な募た。リムルダールね。
[00:15:19.240] 街の名前天才すぎるだろ。毎回思うけど。
[00:15:22.160] リムルダーールどういう意味やね、これ?
[00:15:25.639] えっと
[00:15:27.519] 、なん、何拾ってたって?不思議な帽子。
[00:15:31.040] ゼルダの伝説ですか?
[00:15:33.959] えー、不思議な帽子てどれ?拾ってないや
[00:15:37.079] ん。
[00:15:39.319] え、どれ?
[00:15:42.680] え、あ、拾ってる。えー、呪文や時の商品
[00:15:47.040] を減らすか。はいはいはい。最強です。
[00:15:52.000] はい。最強です。これ。ただ守備力が
[00:15:54.759] あんま上がんねえ。ま、いいや。これに
[00:15:55.800] しよう。
[00:15:57.600] めちゃくちゃいいじゃん。どんくらい減る
[00:15:58.839] の、これどんくらい減るの?MP
[00:16:02.720] 武器は見よう。[音楽]
[00:16:05.600] 武器はどっから入んねん、これ?
[00:16:08.639] いや、マジで俺これいつクリアできんのっ
[00:16:10.920] て話なんですけど、これ。
[00:16:14.639] ここは武器と防具の店です。
[00:16:18.120] 鋼の剣[音楽]が若干欲しいか。シルバー
[00:16:22.199] 。うわあ、強いね。強いけど。あ、そっか
[00:16:27.279] 。でもあれか。
[00:16:29.560] ええ、4000人な買えねえよ。おんな、
[00:16:32.279] もうお前
[00:16:35.639] インテリハットとかいらないっしょ。これ
[00:16:37.160] いるいらないよね。
[00:16:40.720] 魔導士の杖は取っとこう。なんとなく。
[00:16:43.880] うわ、もう命の。うわ、歩くことにHPが
[00:16:46.360] 回復していく。これは売られへんな。こう
[00:16:50.079] いうのいらないしょ。
[00:16:52.720] 呪いの装備はいらん。
[00:16:59.440] 武道、武踏技ってなんかちょっと強くねえ
[00:17:01.680] か?
[00:17:03.600] 待って。武踏技ってちょっと強くない?
[00:17:07.706] [音楽]
[00:17:09.760] シルバーメールより。あれなんか強ないか
[00:17:11.720] これ?
[00:17:17.520] あミこんばんは。ミッションこんばんは。
[00:17:19.240] 100回クロクーロンやるかい?
[00:17:22.919] クーロンズゲートやるかいんなん。お前
[00:17:26.319] ドラクエシリーズで呪いの装備ってデメリットしかないんかな?
[00:17:30.640] どうなんだろうね。なんか合成とかがあるさ、あの錬金とかがあるシリーズだったらなんかそれ使って錬金とかあるんかもしんないけどさ。あとドラクエ
[00:17:40.679] 4
[00:17:40.919] のピサロ。あ、これもうクソネタバレするけどドラクエ
[00:17:43.799] 4
[00:17:43.960] のリメイクってピサロ仲間になるんですよ。エンディングにね。ないと存在する意味あるんかなと。
[00:17:49.080] あのピサロは呪いの装備効かないんだよ。
[00:17:51.520] 呪いの装備装備できんの?ま、これネタバレなんですけど。てイアムフ。
[00:17:56.832] [笑い]
[00:17:57.520] ま、これネタバレなんですけど。えー、何手に入れた?今シルバートレイ?いや、弱いやん。
[00:18:07.967] [音楽]
[00:18:08.200] ちゃんとバン派あるのね。
[00:18:09.679] うん、ある、ある。ドラク4
[00:18:10.720] だけね。わ、他わかんない。なんか俺が知らないだけであんのかもしんないけど。いやあ、でもさ、俺これさ、
[00:18:17.400] 2やってんじゃん、今で。
[00:18:19.280] これ終わったらドラクエ出るやん。セブン
[00:18:23.919] のリメイクくそ面白そうじゃん。どう
[00:18:26.159] しよう。やりてえゲームいっぱいなんだよ
[00:18:28.840] な。今MDXさんにさ、MSMDXさんに
[00:18:32.679] SM、MSSMじゃない。MSX直も
[00:18:36.360] やこしい。MDXさんにSええわからん。
[00:18:40.760] もううるせえ
[00:18:43.600] なんですよ。楽しみですね。はい。体験版
[00:18:46.919] はやってないのや。
[00:18:48.760] そんな、そんなお前、そんなお前全部初めから、
[00:18:53.799] 初めからお前やんのがいいんだべよ。
[00:18:57.440] ドラクエ7
[00:19:01.360] 月中に行く無理だと思う。
[00:19:03.440] エ
[00:19:04.039] 無理だと思う。
[00:19:04.520] ただどっかのタイミングでちょっと休みの日とかガりできればなんだかんだ予定がたこ縦続けにさ、年始からさ、ま、色々あのなんだ、あの初詣で行ったりとか色々あってさ、
[00:19:19.240] 休みの日もなかなかできなかったから。ペテレお疲れちゃん。ペテレお疲れ。まあなんか、ま、休みの日とかちょっと長めにできればやろうかな。昼間からとか。
[00:19:32.799] んねん。
[00:19:34.600] わしはやるねん。ドラクエを。でなんだっけ?
[00:19:40.679] うるさ。あ、やべ。あ、下にいるんだ。カップルが忘れてる。もうやべえ。下にカップルがいるんだ。え、呪文とバカスか攻撃を打ちまくればいいって思う人もいるみたいだけど。そんなのなんせす。
[00:19:44.908] [笑い]
[00:19:54.120] 敵の攻撃から身を守るような特別な効果を
[00:19:56.320] 与える、え、呪文こそプロフェッショナル
[00:19:58.720] マジックバリアフバーハステ
[00:20:01.880] の呪文が頭に浮かんだあなたは
[00:20:03.480] モテモテスーパー魔法使い。
[00:20:09.240] あれから1回も会ってないな。下の下の会
[00:20:12.440] のあの住人にもう引っ越したの者が
[00:20:17.720] とかんたら怖い。本当よ。本当そうよ。え
[00:20:21.280] 、上だって絶対下のやつら俺よりずっと
[00:20:23.320] 年下だからね。
[00:20:25.520] そんなんでさ、え、なんか上の人、あの人
[00:20:28.720] 、[音楽]あの太ってる人やばないって
[00:20:32.000] 思われてるよ。だ
[00:20:34.640] うるさとかでかい[笑い]声で言ってわし
[00:20:38.000] はドラクエやるねとか言ってでかい声で
[00:20:43.039] ああ、今年30歳になります。今年30歳
[00:20:48.320] になります。
[00:20:53.029] [音楽]
[00:20:54.520] えー、何すればいいんだっけか。竜王の城
[00:20:57.080] に行けって言われたんだよな。確かな。
[00:20:59.000] 竜王の城に行けと言われました。そして
[00:21:01.000] 福引きを引く。福引きを引こう。福引き
[00:21:05.559] 何これ?福引き2枚
[00:21:08.720] 何これ?福引き拳2枚で1回抽選ができ
[00:21:11.240] るってこなんかあんま嫌じゃねえ。これ
[00:21:13.440] どうなん?これ2枚の方がこの効果金の
[00:21:16.240] ブレスレットって何?
[00:21:19.440] これ2枚になっちゃうんだけど3回しか
[00:21:21.159] 引けないんだけどやめた方がいいこれ
[00:21:27.880] おい聞いとんのかいま助け求め
[00:21:32.840] とるやろか配信者が今これどう1枚ずつ
[00:21:37.360] 引いた方がいいこれおいら
[00:21:40.799] やったない[音楽]からわか
[00:21:42.960] ね。そうだよね。わかんないよね。じゃ、引こっか。
[00:21:44.960] 変わらん。
[00:21:45.919] 変わらん。オッケー。じゃあかい。引こ。もう
[00:21:50.720] 持ってる配信者ならもう満た
[00:21:53.200] たらええねん。
[00:21:54.679] つこたらええねん。
[00:21:57.039] 全然出ないやん。次緑の玉出たらほんまに今日配信終わるから。じゃ、これ次
[00:22:01.960] 4動画出たら配信終わりです。
[00:22:04.159] 4動画出たら配信終わり。
[00:22:14.559] ダブル。おつでした。お疲れ様でした。お疲れ様でした。やってんね。おつ。おつ。お疲れ様でした。お疲れを超えた。
[00:22:29.080] いや、止めんか。
[00:22:31.280] [音楽]
[00:22:31.559] またな。土日楽しみにしてますね。
[00:22:35.760] びっくりしたしょ。
[00:22:37.039] びっくりしたしょ。本当にやめちゃうのって。
[00:22:41.200] 誰も止めない。誰[笑い]
[00:22:43.679] 1
[00:22:43.840] 人止めない。なんなこいつら本当にやめたらどうすんの?
[00:22:49.120] よかった。笑笑
[00:22:52.360] 本当に止め。
[00:22:53.320] なんで誰も止めないわけしえ。ひどない?本当にやめたらどうすんの?そういうとこだよ。みんなもう俺
[00:23:08.615] [音楽]
[00:23:09.679] 3回目
[00:23:10.400] 先生授業やめますみたいな感じ。
[00:23:12.545] [笑い]
[00:23:13.320] 1
[00:23:13.480] 番うわ。ああ、嘘。俺
[00:23:15.200] 1
[00:23:15.360] 番嫌いな大人なのにそれ。あ、もう先生授業やめてますみたいな。あんなもう終わりだろ。仕事ほっぽり出してさ。
[00:23:23.520] あの、それで給料もらってるくせに自分の
[00:23:25.320] 仕事ひほっぽり出して、あの、先生の巣窟
[00:23:29.080] に帰る行為。女の先生、あの、俺、あの、
[00:23:32.520] 職員室のこと先生の巣窟って呼んでんだ
[00:23:34.480] けど、先生の巣窟に[音楽]帰る行為。
[00:23:37.679] あれ職部タマでしょ?俺今それやろうとし
[00:23:40.440] てた。俺それ今そ、やべえ。1番嫌いな
[00:23:43.360] 大人になっちまったんだ。30になって俺
[00:23:46.159] 今1番嫌いな大人になっちゃったんだ。
[00:23:48.571] [音楽]
[00:23:49.640] うちは大々鍵職人だったんだよ。ああ時
[00:23:53.080] 絶対に壊れない魔法の鍵をついに完成させ
[00:23:56.159] たんだ。それをラドムのおざに見せに行く
[00:23:59.080] ために乗って船自慢していて海に落とし
[00:24:01.120] ちゃったって同時だよね。
[00:24:03.840] おばさんて感じの見た目じゃないけどな。
[00:24:06.256] [音楽]
[00:24:06.840] 今そういう目で世界中から終わり終わり
[00:24:09.880] ごめんごえ何の巻き物だった?見てない見
[00:24:11.919] てない見てない見てない。飲んでもあった
[00:24:13.400] で。おえ、[音楽]
[00:24:17.039] ルカニア。
[00:24:19.559] え、誰が?え、何これは誰も覚えられない
[00:24:23.440] んだけど。何これ?もう覚えてる?何の
[00:24:27.480] ためにんねん、これ。
[00:24:31.146] [音楽]
[00:24:32.399] 笑笑
[00:24:34.520] のためにねんか。まさか4人目の中
[00:24:37.520] 何というね、ま、これ妹仲間になるんですけどね。多分ねえ。ここもう何もないね。じゃあ行きます。
[00:24:49.480] まさかハーゴンが仲間に
[00:24:51.039] なんだと?ドラゴンクエストモンスターズじゃねえか。ドラゴンクエストモンスターズじゃねえか、それ。ん。
[00:24:59.039] あれ?マロスみっこってきて言われて。あの子はどこにいるんだろう?知るか。さあ行きます。
[00:25:02.587] [音楽]
[00:25:05.640] じゃあ、ちょっと今日はドラゴンのドラゴンの城行きますよ。竜王の城に行ってきたいと思います。ま、ま、まもま
[00:25:11.102] [音楽]
[00:25:18.360] 匂わせして誰も止めへん。
[00:25:20.272] [笑い]
[00:25:21.919] 誰もいや、もうちょっと休んでくだされなかったな、さっきもう
[00:25:28.279] 3
[00:25:28.559] 回目のあのガラガラ引く時にもう、もう引いてる。
[00:25:34.120] もうここのカメラでさ、映てたと思うけど
[00:25:36.480] 、俺もうあのマウスでもう終わる準備して
[00:25:40.320] たからね。[笑い]
[00:25:44.120] もう3回目のがもう食い気味に。食い気味
[00:25:48.279] に。で、しかもあの復帰した時にこうやっ
[00:25:50.559] てカメラから消えててえーいってやろうと
[00:25:53.440] 思ったけど全部こっち映ってたな。
[00:25:55.642] [笑い]
[00:25:57.320] 全部映ってた。後ろに忘れてたはず。
[00:26:00.399] なんかなんか恥ずかしいわ。
[00:26:03.840] エボ玉
[00:26:04.559] エボ玉やな。
[00:26:05.799] 笑笑
[00:26:07.039] 全部映つってたわ。ちょっと一旦寝てこようぜ。
[00:26:14.000] 時に終わる準備する配信者とつコメをもう売ってる。うん。確かにお前らめっちゃ早かったもんな。うん。俺が多分あのもうくじ引き引いて。
[00:26:17.258] [笑い]
[00:26:28.200] あ、もう次緑出なかったらもうやめるわっ
[00:26:31.000] て言った瞬間には俺ももう終わろうとして
[00:26:32.960] たし、[笑い]お前らもうコメントで
[00:26:35.320] もう信できる状態にしてた。
[00:26:39.120] もう相愛
[00:26:41.120] やん。
[00:26:42.919] 相愛じゃねえかよ。もうみんなでさ、俺と
[00:26:45.919] 一緒に会社を立ち上げないか。
[00:26:54.520] 鍛えられた。チャ魔リスアムウェイはな。
[00:26:57.868] [笑い]
[00:26:59.159] 誰が誰がネットワークビジネスやねん。ふざけんなよ。なんでそんな黒い黒いあれしなきゃいけねえんだよ。君に何かできる本当にやめて。今年
[00:27:10.320] 30になってね、
[00:27:12.480] 1
[00:27:12.640] 人で家帰って夜中にでかい声出してゲームやってるやつにそれ聞く?
[00:27:17.200] 1
[00:27:17.399] 番ダめだぜ。それ超聞くよお前。それ超聞いた。あ、も、もうなんか死にったわ。
[00:27:24.723] [笑い]
[00:27:26.600] 痛いでしょ。違うね。俺行くよ。
[00:27:29.440] バカ。お前らがサポートすんだろうが。
[00:27:33.120] お前らがあれだろうかよ。俺は出役だからいいんだよ。出役を
[00:27:37.480] この
[00:27:37.919] あのね、もうこれ1
[00:27:39.320] 個いいこと教えといてあげるわ。
[00:27:41.240] 1
[00:27:41.399] 個いいこと教えといてある。あのねイベントとか色々あるじゃないですか。イベントとかなんだろう。何かを行う上で
[00:27:50.120] 1
[00:27:50.360] 番目立つ人っていうのは何もしなくていいんだよ。
[00:27:54.200] もうそれがいい何かイベントだけじゃない。何でもいい。ハチャット。どうもこんばんは。無の
[00:28:01.840] むの人。それ
[00:28:03.919] なんやねん。そんなお前無の人が初チャットくれました。ありがとうございます。
[00:28:07.840] どう
[00:28:09.919] で何の話す?
[00:28:12.360] 何の話た?俺だ。レベル
[00:28:15.720] 19
[00:28:16.279] です。ちょ待って。マジで足寒すぎ。ちょっとマジちょっともう暖つけるわ。寒すぎる。
[00:28:23.519] 死ぬ。もうだってパソコンのなんか下の
[00:28:26.600] 天気予報のとこにさ、低音注意法出てる
[00:28:29.600] もん。何?低音注意法
[00:28:32.640] 見たんだけど。雪とか低気音注意法が出
[00:28:36.600] てる。なんだそれ?何に注意すればいいの
[00:28:39.279] ?
[00:28:43.360] いや、マジで足の先が
[00:28:46.600] じになったな、俺。もう全く北海道の動画
[00:28:49.919] やばかった。
[00:28:50.720] るといいわ。で、何も言えない。してる。
[00:28:54.279] え、対抗してない。雪降んないから。あの、スタットレス持ってない。
[00:28:58.200] 順の命に関わる。
[00:29:02.559] こないだじんちゃんとさ、飯行った時にさ、そう、じんちゃんちの方行ってそう
[00:29:06.880] 殺人鬼名前許されるんや。
[00:29:09.760] あ、さ、さっきの敵な。さっきの敵な殺人鬼でも名前変わってなかったっけ?変わんなくなったんだな。戻したんかな?じゅんちゃんちでさ、行ったんだよ。
[00:29:19.880] なんかじんちゃんがちょっと家って、あのなんかちょっと今日は玉金の裏。
[00:29:24.640] 玉金のあ、やあれあんだけ軽やっぱ火日費日は年に
[00:29:25.245] [笑い]
[00:29:28.399] 1回ぐらいだからな。年に1
[00:29:29.960] 回ぐらいだから。今日は玉金痒くないっすね。たまに無償に痒くなんねん。金玉金玉痒くなんねんな。年に
[00:29:38.640] 1回ぐらいその話するたびに晴のさんが大
[00:29:44.000] 爆笑してんねん。
[00:29:45.559] 何なんだあの子は玉金の話大好きなんだよな。
[00:29:54.080] どう?
[00:29:56.399] あとそれで思い出したけど。
[00:29:58.279] それで思い出したけど、その話してる時にさ、
[00:30:01.120] あの
[00:30:02.720] ポンポコみポンポコみからコメント来てたんだよ。もう数年ぶりぐらいに仕カとしてたわ、俺。ごめん、ポンポコみごめん。
[00:30:13.159] めっちゃ久しぶりにコメントくれてたのに仕方としてたわ。気づかんかった。ごめん。
[00:30:18.679] 笑笑
[00:30:19.519] ごめんごめん。そういうこともあるやん。気づかんかったわ。いや、わかんねん。同じ配信者として配信者ってあんまやっぱコメントしないから相当なことがないとやっぱコメントしないんすよ。配信者ってもうそういうもんやねん。そういうもんなの。
[00:30:36.080] ぽみの復帰もそろそろかな。
[00:30:38.039] ポコミ復帰しろよな。いつまでもパチンコってねえよ。
[00:30:41.881] [笑い]
[00:30:44.919] 復帰しろとかま言えねんで好きな
[00:30:47.360] タイミングでやれば
[00:30:51.399] ポンポコみも配信してねえもなそうや
[00:30:54.320] どんどんやめてくんだよみんな
[00:30:56.946] [笑い]
[00:30:58.559] そうやどんどんやめてっちまうのさっ
[00:31:04.360] た配線コがめちゃくちゃ先にまずいった
[00:31:08.399] そうだていうか強
[00:31:10.679] 敵めっちゃ強くねか。
[00:31:12.600] もうもう目玉とかすな。
[00:31:15.720] 今日者で休憩してきたら後ろになった。
[00:31:20.240] 何それ?は、お疲れ。大丈夫?あ、
[00:31:24.440] クッキーが死んだ。神社閉店の日。
[00:31:29.240] あなたを先に
[00:31:30.440] やば。死ぬ、死ぬ、死ぬ。ちょっと。ああ、お前がやってたか。バカ野郎。もうこれ勘弁してくださいよ。
[00:31:40.360] あぶなパにはやったらあかんてバカなんだからこいつもドはまりしてたぞ。え、これどうやって帰んの?これ鬼滅
[00:31:54.320] 14個もある。めんどくせえなあ。
[00:31:57.862] [笑い]
