[00:00:08.400] う、
[00:08:51.560] つ集めるみたいななんかそんな感じのだね。君臭いで。わあ、なんか今回すごく眠かった。でもできたね。もう
[00:09:01.036] [音楽]
[00:09:08.440] 13つ目だよな。これ5つ
[00:09:10.120] 集めりゃいいんだろ。あざす。
[00:09:14.160] 3つ目の紋章です。月の紋章。
[00:09:18.279] こんな帽子被るタイプだったっけ?
[00:09:20.720] 被ぶるよ、全然。別に全然被るよ。配信じゃ被ぶんないけど。ま、今日かぶっていく。可愛いだろ。このドラキュラ君のな月の紋章はバトル中に
[00:09:35.760] 1
[00:09:35.920] 度呪文を使った時にこ低確率暴走してあ、暴走ね。はいはいはい。呪文の開心が出るってやつだ。
[00:09:44.720] ええやん。
[00:09:46.839] ほんで次どこ行きゃいいの?紋章作りに
[00:09:49.519] 必要な素材を集めようなんだけどさ、
[00:09:52.680] とりあえずいっか。あのマップに書いて
[00:09:54.880] あるとこ行けばいっか。
[00:10:00.279] もう明日でさ、今年終わりとかやばすぎ
[00:10:03.279] ねえか。
[00:10:06.440] マジでなんか今年何もしてない。マジで俺
[00:10:09.560] 今年何もしてないんだけど。
[00:10:12.320] 去年のあの年末にイベントやったと頃から
[00:10:15.519] なんかすごい俺あの時間が止まってるな。
[00:10:19.399] 配信半年やってなかったし。
[00:10:25.600] あと1枚か。
[00:10:27.959] メダルもちょっと集めながら
[00:10:35.639] えっと
[00:10:37.720] はい。ここに行けばいいのね。で、ここ
[00:10:40.480] この辺な。ここってどうやって行くの?
[00:10:42.639] これ行けないよね。
[00:10:46.720] なんか船とか必要なんかね。
[00:10:50.920] ま、とりあえず行ってみますか。そっち。
[00:11:00.079] いや、もう4匹はもうあかんて。
[00:11:05.079] えー、どうすっかな?ライレイン行っ
[00:11:08.440] ちゃうか。ガンガン使っていこう。
[00:11:10.480] ぽいのな。もういいや、相変わらず敵めちゃめちゃ強いぜ。これ
[00:11:17.959] 結構しんどいっすよね、
[00:11:19.240] これ。結構敵強いよな。いや、もうほら。いや、もうもうもうこれだからおかしいだろ、これ。こうやって、もうガンガもりちゃ、こんばんは。おかしいやろ、これ。
[00:11:42.000] 相変わらずこのほんまむずい。もう回復が足りてねえよ。ベホエミでもベホエミより上あんの?これベホエミより上あるの?これ回復全然足んないんだけど。こんなんじゃ。
[00:11:55.600] いや、もうほんまやめて。もうほんまちょっと待強なのにね。
[00:11:59.560] 強いんだよマジでよ。いや、もうやめてね。やめて。
[00:12:09.880] くらえ。
[00:12:11.680] よしよしよし。もうほんまやめて。マジで。
[00:12:17.880] よしよしよし。もう雑魚戦
[00:12:20.560] 1戦1
[00:12:21.160] 戦がマジで満心なんだよな。危ねえ。ここなんかあるらしいぜ。
[00:12:43.920] この辺でメタル狩りしてたな。
[00:12:45.760] え、嘘?この辺メタル?メタル出んの?あ、ちゃう出たな。前回もこの辺。ああ、もうなんか
[00:12:52.920] 1
[00:12:53.160] 回レベル上げ、レベル上げのターン入ってもいいのかな?一旦レベル上げのターン来てもいいのかな?
[00:13:03.639] 左下の大陸です。
[00:13:05.040] 左下の大陸ちょっと待って。そういうのもうガンガン教えて。
[00:13:09.284] [音楽]
[00:13:09.519] 何回やられたか。
[00:13:11.399] 左下の体力ってここ?ここ。ん?左下の大陸ってどの辺?これ?ここ?ここか?てかここ何?こ
[00:13:26.800] メダル王の白のところ。
[00:13:28.720] あ、ごめん。右と左間違ってた。[笑い]
[00:13:31.000] 今のところから左だね。
[00:13:33.279] 左毛。
[00:13:34.120] もうほんまに左毛で本当ごめんなさい。右と左が分からなくてすいません。嘘だろ。笑
[00:13:41.379] [笑い]
[00:13:42.440] いや、俺マジで右と左わかんねえんだよ。左有毛だからさ。ごめん。マジで普通に間違えてた。今なるほどね。あ、じゃ待って。一旦ここの
[00:13:51.279] お疲れ。
[00:13:51.880] じゃあちょっとリミさんお疲れ。リミさんお疲れ。一旦ここのここ行ってからな。ちょっと今日レベル上げしようかなと思って。
[00:14:03.560] ここ何?迷いの森ってなんだよ。ここちょっとやってからレベル上げしようぜ。メタルスライム狩ろうぜ。なん
[00:14:04.959] [音楽]
[00:14:13.639] こんなん原作あったっけ?
[00:14:15.320] ないないないないない。ええなんかなんかゴンヘッド全然こんなモンスターいたんだ。ゴンヘッド出てきたよ。
[00:14:28.680] ま、ちょ、とりあえずライデインで殺しといて。別れ。
[00:14:33.639] こんなないよね。ドラクエ1
[00:14:35.199] ね。割と俺ドラクエ
[00:14:37.600] 1
[00:14:37.800] はもうファミコンもやってるしーファミもやってるし。
[00:14:41.639] で、全部ぶっ飛ばしてるけど行けなくなった。
[00:14:44.440] これのせいで全部ぶっ飛ばして。何?全部ぶっ飛ばして。
[00:14:49.279] この迷いの森結構あれなの?迷いの森結構めんどいの。
[00:14:54.959] ま、こういうの結構めんどいあるわ。なんかこういうの面どいある。なんかなんか右行ったり左行ったりすんだろ。ごちゃごちゃ。俺も嫌いかもな、こういうの。ま、あの、俺ゼルダの伝説のさ、ゼルダの伝説のなんだっけ?あの、えっと、
[00:15:16.560] イベントこなさないとここを絶対に突破できない。
[00:15:19.600] え、何それ?俺イベントこなしてる?ちゃんとイベントこなしてんのか俺?わかんないんだけど。イベントこないやもう
[00:15:20.285] [笑い]
[00:15:29.519] 4チはあかんて。
[00:15:31.600] Zも疲れも疲れ
[00:15:34.079] 4匹はあかん。あん
[00:15:37.399] キャだれこ。
[00:15:39.240] しかもこれ2匹2匹なんかい。
[00:15:43.720] もうやめて。ほんませ。
[00:15:47.360] いやあ、レベル上げしてこうかな。
[00:15:51.160] あっさりクリアさせてもらえったから正時間楽しめ。
[00:15:54.880] あ、やっぱそうなんだ。もう敵の強さが本当おかしいから。
[00:16:05.560] はい。ランディ。お疲れ。
[00:16:08.720] 今日もやっていく。今日もやっていく。
[00:16:14.920] あ、バンちゃんこんばんは。久しぶり。今日もやっていく。
[00:16:19.120] 昨日からやってんねん。昨日から帰ってき
[00:16:22.000] ました。
[00:16:25.600] ちょっとマジこれ何これ?[笑い]
[00:16:28.800] ここ何?マジでもうめんどそう。ここやだ
[00:16:31.720] 。こういうとこ俺嫌い。
[00:16:34.959] あのあ、開けたとこ。いや、もう人面や。
[00:16:41.160] 強。[笑い]
[00:16:43.240] 58。
[00:16:47.600] いやいやいやいやばいやばいやばい。おい、なんだよこいつマジでよ。ボス敵じゃねえのかよこれ。ただいまありがとう。
[00:16:57.319] おっと。
[00:16:57.800] あ、危ねえ。なんで
[00:16:59.680] 2回攻撃すんねん。
[00:17:01.399] ほぼドラホ。
[00:17:02.880] 何このマジでもやめて。
[00:17:07.839] バカ火力。
[00:17:09.480] 全然死なねえし。全然死なねえしよ。なんかないかこれ。
[00:17:12.946] [音楽]
[00:17:16.079] こいつって何系?ゾンビ、これゾンビ系。
[00:17:18.760] こいつ何系?こいつぶっ殺せんじゃねえ?
[00:17:22.559] なんかで火炎切りか
[00:17:26.439] こなんかこの
[00:17:28.400] え、これ何系?こいつゾンビ系か?
[00:17:33.320] ゾンビ系かも。
[00:17:37.200] グランドクロス。なんだ?グランドクロス
[00:17:41.360] 出たぞ、今。
[00:17:42.679] え、なんかグランドクロス出た。今
[00:17:47.600] どこにゾンビ要素が?
[00:17:49.160] え、ゾンビじゃないの?あれ?グランドクロス出た。めっちゃいえやん。え、じゃあもう体力半分以下で済もう。体力半分以下で済んだ方が良くねえか?グランドクロス打ち放題じゃん。おえ、ちょ、ま、何?
[00:18:00.762] [笑い]
[00:18:09.799] 笑笑。
[00:18:11.760] ほんま何これ?ほんまにもうもうこいつしか出てこねえのか。もうやめてマジでらここだ
[00:18:22.200] おお。え、これ全体技なのかな?全体技なのかな?これい
[00:18:29.720] 決める。
[00:18:31.320] こんばんは。お久しぶりです。お帰りなさい。
[00:18:34.400] あ、皆さんこんばんは。こんばんは。昨いからやってるけどな。昨いから始まりました。
[00:18:39.440] やっぱ
[00:18:39.840] 年の瀬はクエストなんだよ。瀬はドラゴンクエスって決まってんだも。マジこれ何?あ、出ちゃったよ。いや、もうやめた。違うとこ行こう。レベル上げしてこよう。え、これねえ、わかんないよ。わかんないんですけど。これどうすればいいの?これ。
[00:18:50.543] [笑い]
[00:19:01.880] 出ちゃった。
[00:19:02.640] 出ちゃったね。これ全体攻撃か。
[00:19:07.679] ちょこちょこロってたんだけど終わん。あ、いいですね。やっぱ年のせ、うわ、強え。めっちゃええやん。これじゃん。しかもこれ
[00:19:14.123] [笑い]
[00:19:22.720] MP5
[00:19:23.360] だぜ。これじゃん。見つけた。プがもうないんだ。
[00:19:34.080] でもこ、あのいやいや壊れるなよ。壊れる
[00:19:38.080] なよ。暴れんなよ。暴れなよ。暴れんなよ
[00:19:42.320] 。暴れんな。暴れんな。よしよしよしよし
[00:19:46.480] よしよしよしよし。いいねい
[00:19:50.320] ねえ。待って。めっちゃええやん。こんな
[00:19:53.760] ん最初から教えてよ。たださ、
[00:19:57.000] どうせ56。
[00:19:58.559] どうせ56[笑い]
[00:20:00.480] 暴れよ。ああ。え、これちょっとゾンビ、え、これさ、グランドクロスってメタルスライムにもメタルスライム行けんの?これ
[00:20:13.720] 今からドンキー行くから先にご挨拶しにきました。
[00:20:18.000] 行ってらっしゃい。良い音年を。良いお年をつまだあれだよな。まだ明日
[00:20:21.080] 1日あるよ。
[00:20:22.400] やってみんべ。
[00:20:26.120] ちょっとここだ。効かねえ。効かねえ。にゃもう頼む。いい。せめて
[00:20:38.080] 1匹。せめて1匹。
[00:20:38.960] ダメージカットされんじゃね。
[00:20:40.600] 属性入るとダメなんだ。いや、ここでもうちょっとレベル上げしよっかな、これ。ここでレベル上げしてこうかな。もう
[00:20:50.320] 筋肉2で今から寝るんですよ。
[00:20:52.960] 謎の筋肉2
[00:20:53.840] で今から寝るの?今からドンキ行くのに今から寝るのか?ええ、レベル上げしたいん?え、やっぱ俺次行く場所って合ってるよね。でもね、次行く場所多分さ、さっきの森であってるよな。笑
[00:21:12.960] 何何何?え、次行く場所。もうあの森だよな。
[00:21:24.919] ちょっとでもレベル上げないときついなあ。ちょっとだけ回復入れるか。あ、やべ、体力半分以下にしなきゃいけねえんだよな。え、でもなんかこもうこにドンキー行くん。
[00:21:47.919] あ、そういうことね。そういうことね。ああ、めんどい。
[00:21:50.159] これ
[00:21:53.960] 年のさ、きちいな。
[00:21:56.919] 雑魚でめっちゃきついよ。年のドンキなんてクソ混んでるだろ。もうダメージ与えてくんねえかな。よしよしよし。もう、もう、お前やめて。もうお前やめて。おら、くまれ。
[00:22:15.799] 何やってんだ?もうやめて。もうこれを
[00:22:24.760] 笑笑[音楽]
[00:22:26.080] これで勝つる
[00:22:28.880] 決める。
[00:22:29.440] くばれ。よし。強よ。めっちゃ強い。これめっちゃいいえやん。これで戦って超楽だぜ。楽なんだけどさ。俺ストーリーも進めたいんだけどさ。
[00:22:42.559] やべえよね。
[00:22:45.039] 絶やばい。これでもこれでも叱るべきだと思うぞ。このゲームだったらこんくらい主人公強くないとさ、だいぶしんどいもんな。
[00:22:57.679] ここだ。
[00:23:00.720] がチムさんお腹壊してた時すごい心配してたから元気そうでよかった。
[00:23:05.559] あ、ありがとうございます。ありがとうございます。パパが心配してくれてた。
[00:23:09.559] インドで腹壊した時には
[00:23:12.440] あえて回復せずに進んだ。
[00:23:14.799] やっぱいやもんなんもうもうこうしてくださいって言ってるもんだぞ。これ
[00:23:19.120] 大したことないですよ。
[00:23:20.840] なんでお前が言うの?受
[00:23:22.371] [笑い]
[00:23:23.559] けて
[00:23:23.880] 大したことま、大したことなかったけど確かちょっとお腹痛くなったんだけど
[00:23:29.760] 笑笑
[00:23:30.480] 大したことないです。なんでお前が言ってんの?いや、どうすっかな?これ金溜まったけど。
[00:23:39.600] なんかまだ買ってないのってあったっけ?なんかあったっけな。あ、来た。ほんま頼むから。もう全然倒されへんやんけ。
[00:23:52.480] あ、MP
[00:23:53.279] の消費もめっちゃ早いな。な、こんな地味な地味なげのとこを皆さんにお見せすんのはすごいあの申し訳ないんですけどね。
[00:24:01.679] 死ぬやん。
[00:24:03.039] いやいやもね。いいんね。これしすれスれが一番やべあ。
[00:24:10.400] ちょっと回復すぎたな、今。あ、ちょうだい、ちょうだい、
[00:24:17.240] ちょうだい。
[00:24:22.679] 頼ま、頼む、頼む、頼む。せめて
[00:24:25.559] 1匹だけでいいから倒してくれ。
[00:24:30.679] お前何やってんね。
[00:24:32.039] パパもアメリカに出張した時聞こえてたり見エピあるので
[00:24:38.159] まあもう何銃声聞こえたりやばやばすぎちょっともう勘弁してほんまこれもうちょっと全然メタルスライム倒せないんだけどこれもちなみに獣好きだと何が出るんだちなみに
[00:24:57.200] 受けてみろ
[00:24:57.960] 魔獣切りになるんだ。
[00:24:59.000] ああ、ま、魔獣りはま、あんまりいんだよな。日頃のだね。
[00:25:05.440] どういうことやね。何が
[00:25:07.799] 俺が腹壊したのが日頃の行じゃねえよ。タンドリーチキンをめちゃめちゃ食った。あ、レベル上がった。さっきの森行っちゃうか。稲妻。稲妻切りだ。稲妻切りの必殺技も見たい。見てみたいな。
[00:25:27.240] グランドクロスが出たってことはあれが出んじゃ。ギガスラッシュとか出んじゃね?出ね。もうごめん。ちょっともう先進むわ。めんどくせえ。もうちょっと先進むね。こんな感じ全然あれ出ねえしなの覚えましたね。
[00:25:36.647] [笑い]
[00:25:43.799] イズ切り来たね。
[00:25:46.559] ここだ。
[00:25:47.200] ギガスラ出たらもう勝ち。
[00:25:48.960] ギガスラ出たらもうギガスラ出たらもうもう勝ちよ。
[00:25:57.480] もう俺たちのもの。そしたら世界は
[00:26:02.080] いや[音楽]もうなんかね、この迷いの森
[00:26:05.480] っていうのがもうめっちゃやる気なくす
[00:26:08.088] [笑い]
[00:26:09.520] あるやん。こういうRPGでよくさ、こう
[00:26:13.039] いうなんかさ、
[00:26:15.399] ある決まった一定の動きをしないと出られ
[00:26:18.640] ないダンジョンみたいなさ。めっちゃ嫌い
[00:26:21.840] やねんな。めっちゃ迷うんだよ、大体そう
[00:26:24.120] いうのって。
[00:26:28.000] 前にゼルダの伝説のさ、なんだっけ?風のタクトじゃなくて、あの
[00:26:32.720] 64のやつ
[00:26:34.440] 64
[00:26:34.720] のやつやった時になんかそんなん出たんだよ。なんか迷いの森みたいなやつ。マジで
[00:26:39.200] 2時間ぐらい俺ある。あの煽りダンジョン
[00:26:41.360] あったもんな。卒りダンジョン。え、これ大卒だったらクリアできてんのか?これ高卒だからな。ちゃまけには難しいよね、これ。これ何のヒントもないよね。
[00:26:42.148] [笑い]
[00:26:54.520] これヒントあんの?これ
[00:26:57.520] なんかヒントあったっけ?これ
[00:27:03.360] ゴーゴンヘッド。いや、ないよね、これね
[00:27:06.080] 。
[00:27:07.840] ね、これドラゴン、ドラゴン族。これ
[00:27:11.840] 、こいつって何族だ?
[00:27:16.559] これこそゾンビか。あ、だめだ。あの
[00:27:18.440] 必殺技できねえや。
[00:27:24.600] ドラゴンか。
[00:27:26.033] [笑い]
[00:27:27.279] え、ドラゴンじゃないの?ドラクエの世界って蛇ってドラゴンなの?いや、なんかもうあのア
[00:27:34.480] テリーのワンダーランドのテリーのワンダーランドの記憶がすっげえ俺頭の中にあるからあのなんかメドさボールのさ、あのさっきの蛇みたいな玉みたいな、あの、あのモンスターの形見るとどうしても、あのレアルとさ、配合してヤたのチ作りたんねんな。
[00:27:52.234] [笑い]
[00:27:53.240] これテリワやったことあるやつしかわかんないだろうけどアンドレアルとメドサボールであれだろのオロチ作れんだよ。
[00:28:02.919] わかる。[笑い]
[00:28:05.960] あ、ちなみにアンドレアルはアンドレアルはドラゴン系とガップリンな。ちなみにドラゴン系とガップリンでアンドレアルな。もう覚えてんだから。もう配合レシピ。
[00:28:10.574] [笑い]
[00:28:21.519] ここだ。
[00:28:22.399] ああ、テリワンやりてえな。色のみ
[00:28:26.949] [笑い]
[00:28:28.080] テリワンやりたくね。テリワンやろっかな。なんかサクっとやりたいんだけど。テリワ。トゥルルルテルルテリワンやろっかな。テリワン人生プレイ。
[00:28:50.919] てかドラゴンクエストモンスターズやりてえ。モンスターズ
[00:28:55.039] 3がさ、あんまりもで仲間人生
[00:28:58.000] 残念だったからさ。俺イルカもやったことあるんだよね。配信で。イルルカも俺ね配信で人生プレイやってんだよな。
[00:29:07.320] ピサロのダ作はなんかあれあんま面白かったんだよなあれな。めっちゃ楽しみしてたけどあんま面白くなかったよな。あれあんまおもろくなかったよな。
[00:29:18.640] だなあ。なあ
[00:29:22.039] 、地図見れないの?めっちゃ腹する。
[00:29:25.120] ルルル確か
[00:29:36.399] にあの4あのファミコンやってたよな。
[00:29:40.840] 残念ながら全然面白かった時のような
[00:29:43.240] ワクワクもなかった。ジョカもおもろいよ
[00:29:46.559] ね。
[00:29:47.919] もうやめて。強い。やめて。ほんまにやめてくれる?帰ってくれるからだ。強。お、ごちだろ、これ。殺すなら殺せばいい。せ、
[00:29:59.305] [笑い]
[00:30:11.039] くばれ。
[00:30:13.519] あ、だめだ。終わった。あ、危ねえ。
[00:30:17.000] 危ね。もうこれおかしいんだってマジでさ
[00:30:20.880] 。
[00:30:22.600] ちなみにちなみにちなみにちなみに稲妻も
[00:30:26.519] ある。え、待って。真空切りもあるよ。
[00:30:30.440] え、ちょっと稲妻切り。ここだ。何うん
[00:30:37.951] [笑い]
[00:30:38.799] 先行戦好き。うん。まあ、まあまあいっか
[00:30:42.120] 。まあまあまあ。
[00:30:47.120] ギガスラッシュかと思ったんだけどな。
[00:30:49.120] うん。
[00:30:49.799] うん。まあもグランドクロス見ちゃった後だとちょっとちょっと弱いよ。それグランドクロス見ちゃったかもな。ちょ、ほんまジでこのやだ。いや、もうだってこれ全体攻撃なのがマジで良すぎる。
[00:31:12.039] 受けてみろ。
[00:31:14.240] 強い。強い。気持ちえ。嘘みてい雑魚編、雑魚戦が楽になった。ちょ、マジこれ何これ?本当にでこれ何なんでどうすりゃいいんだ?
[00:31:14.631] [笑い]
[00:31:34.281] [音楽]
[00:31:37.639] 決める。
[00:31:39.521] [笑い]
[00:31:42.399] 雑魚が
[00:31:44.279] 切れ伏せ。俺に俺を称えろ
[00:31:50.600] ね。本当に何これ一旦こうやって戻って
[00:31:53.440] みるみたいな
[00:31:56.559] ね。これ何?マジでどうすりゃいいんだよ
[00:31:58.840] 。
[00:32:01.919] なんかさ、王女の愛とかが教えてくれるみたいなの?ちょ、マジ、これ教えて。これ、これ何これ?もうやなんだけど。俺こやんの
[00:32:18.919] 夜ご飯何食べたん?な
[00:32:24.120] んだっけ?
[00:32:25.039] あれ?やべえ。なんか出てこない。あれ、夜ご飯何食べたんだ?
[00:32:27.480] 本当に進んでいくだけや。
[00:32:29.720] あれ?俺夜ご何食べたんだっけ?やべ。あ、待ボケちゃった。もう思い出せないんだけど。もう思い出せねえ。夜ご飯
[00:32:42.919] 何食べた?終わり
[00:32:46.320] ねえ。これ何?これなんで発動しないの?これハ食べてたでしょ?
[00:32:52.000] は、これなんで?これ
[00:32:55.880] 受けてみろ。あ、MPが、え、MPが足ら
[00:32:59.039] ない。MPが足らないって何?MPが足ら
[00:33:02.960] ないって何?MP使うんだ、これ。
[00:33:05.982] [笑い]
[00:33:06.799] あ、だから通りでMPの減りが早いと思っ
[00:33:09.799] た。
[00:33:11.880] 通りで
[00:33:15.200] じゃあいくつ使うか教えろや、じゃあ。
[00:33:19.159] あ、通りでMP変早えなと思ったんだよ。
[00:33:24.000] そういうこと。
[00:33:26.559] いにいくつ使うか教えてくれ。もういきなりもう、もういきなり大ピンチじゃねえか。いきなり大ピンチになっちゃったよ。一構成ま、何これ?どうすんの?
[00:33:48.159] いや、もう無理やろ、これ。
[00:33:54.519] まずいやんかい、これ。もう一旦逃げさせ
[00:33:57.480] てくれ。頼む。あ、間違えた。防御やっ
[00:33:58.679] ちゃった。間違った。防御じゃない。防御
[00:34:00.720] じゃない。危ない、危ない。危。
[00:34:03.880] 頼む
[00:34:05.519] 。
[00:34:07.039] やめて。
[00:34:09.879] 頼む。危ねえ。
[00:34:13.960] 何あれ?必殺技。何?必殺技増えるんかい
[00:34:16.560] ?MP
[00:34:18.240] 言っといてよ、それ。
[00:34:22.720] ま、これ使っちゃおうかな。いや、待って
[00:34:25.720] 。
[00:34:27.280] 祈りの指輪使うなよ。で、壊れんなよ。
[00:34:31.639] ああ、壊れた。
[00:34:39.359] い、壊れんなよ。壊れんな。壊れんな。
[00:34:44.240] まだいける。まだいける。ああ、もうだめ
[00:34:46.320] だ。もうだめだ。
[00:34:53.240] 笑笑。西、
[00:34:57.334] [笑い]
[00:34:59.680] もうこもなん、もう、もうやだ。もうこれ思んない。ここ
[00:35:04.599] このロトの勇者さっき食べたもの覚えてない。
[00:35:08.469] [笑い]
[00:35:10.040] 30分から元気だね。
[00:35:12.760] 何食ったんだっけ?今日マジでマジで覚えてない。
[00:35:15.520] さっき何食ったんだっけ?前食ったんだっけ?うどんうどんとか食ったか?うどんうどん食った気がする。
[00:35:23.534] [笑い]
