[00:00:41.360] いつもより早いし、平日は暑い。
[00:17:25.919] あ、お年玉ありがとうございます。お年玉ありがとうございます。まだまだお年玉随時受付中です。年中無吸お年玉。年中無
[00:17:36.919] 笑。
[00:17:38.280] うん。俺の後輩に言ってやってくれよ。君の大好きなチマゲームは私の横で寝てるわよ。
[00:17:49.360] ポポなん犬か。
[00:17:54.160] えー、勇者の泉で体を清めてもらえました
[00:17:56.360] か?勇者の血を継ぐ者たちにはここで祈り
[00:17:58.760] を捧げるのが敷きたいです。せっかく来た
[00:18:00.600] んですから清めの儀式を受けていくと良い
[00:18:02.440] ですよ。
[00:18:04.720] ここじゃなくてね。あ、くしゃみ出るよ。
[00:18:07.679] ひっかる
[00:18:15.360] 。
[00:18:18.880] 隣人かわいそうじゃね?うちの半年ぐらい
[00:18:22.480] 静かになったと思ったらもうここ数日バカ
[00:18:24.679] うるせえの。
[00:18:29.520] また悪夢が悪夢の日々にうされてるよ。
[00:18:32.039] 多分うちの人は
[00:18:36.320] 半年ぐらい引っ越したと思われてたんじゃ
[00:18:38.840] ねえかな。
[00:18:41.080] 隣聞こえないんじゃなかったっけ?
[00:18:43.159] 多分わかんない。聞こえてないと思うけど。わかんない。聞こえてんのかな?どうなんだろうね。知らね。
[00:18:48.000] 多分聞こえてないと思うよ。聞こえてたら僕言うだろ。さすがに多分かんない。
[00:18:54.159] 無理にしないで。なんかうちのアパートでも最近なんか外人多いんだよね。めっちゃ外人めっちゃ多いんだよね。どの部屋に住んでんかわかんねえけど。
[00:19:07.440] なんか駐車場にいっぱい外人いんだよ。
[00:19:12.600] 窓開けて配信するか。
[00:19:14.400] もう終わりだよ。パパ。お、なんかここのなんかこの眺めっちゃ良くね?ここ。
[00:19:27.960] HD2Dカーテンない人多いよね。
[00:19:30.480] カーテンない人多い。
[00:19:31.559] そんなことなくない。カーテない人多かったっけ?何ここのあれあのさスケと戦ったとこ見てじゃん。おお。よくぞ。勇者の泉へ参られた。
[00:19:48.159] ハドニD
[00:19:48.720] は水と水と光の表現がいいよね。やっぱね。
[00:19:54.320] さ、ちょうど先ほどサマルトリアの王子殿
[00:19:57.840] の王子電下もえ、儀式を受けていかれた
[00:20:00.799] ところじゃ
[00:20:03.480] お兄ちゃんもう先に行っちゃったんですか
[00:20:04.760] ?うむ。身を清めローレシアに向かうと
[00:20:07.880] おっちゃいたぞ。もう本当にお兄ちゃんっ
[00:20:10.440] たら悪いんだから。しかもなんで
[00:20:11.880] ローレシア帰りに家行く配信またやな
[00:20:15.600] あれん
[00:20:17.520] 時あったん時になんかじんちゃん
[00:20:21.080] オレンジ来たじゃん。
[00:20:22.360] とでなんかヘラヘラさ深夜の
[00:20:25.520] 2
[00:20:25.640] 時なのにピンポン鳴らしまくってさなんか配信つけながら凸してきたじゃん。あん時ガチで
[00:20:33.559] ガッチでイライラしてたからね。
[00:20:35.080] 笑
[00:20:35.600] あん時あのじんちゃんの配信見てたら分かると思うけどあん時の俺もうガチで怒ってたからね。頭おかしいんじゃねえのと本気で思った。
[00:20:47.640] 笑笑
[00:20:48.720] じんちゃん全く気づいてなかったけど。
[00:20:51.400] アラーじゃねえよ。バカだ。お前平日の平日の深夜
[00:20:56.039] 2時半とかだぞ。あれかだろ。お前
[00:20:59.280] 私もイライラして
[00:21:01.760] なあ。本当だよな。あんでなんかそのイライラを感じとったじんちゃんがめちゃめちゃなんか
[00:21:08.919] あの俺はやめようって言ったんだけどねみたいな。
[00:21:13.880] お前その辺ちょっとほんまにお前反スしろよ。
[00:21:17.520] お前、お前あん時ほんま
[00:21:23.840] も配信ついてるとかどうでも良かったもん
[00:21:25.919] 。もうもう俺の印象悪くなる方がどうでも
[00:21:28.840] いいと思ってもう全然冗談でも笑えなかっ
[00:21:31.919] たもんね。しかもああん時ちょうど配信を
[00:21:36.440] 休む寸前のもう余裕に余裕のないチャーム
[00:21:41.840] だったからな。もうす、もう触れるもの
[00:21:44.720] 全てを傷つけた。え、勇者の血をつくもの
[00:21:48.000] であればこそいつも心を穏やかにそして
[00:21:50.279] 冷静に正しくばなりませんのぞと。はい。
[00:21:53.120] すいません。はい。すいません。じゃ、で
[00:21:57.400] はこちらへ。あなたの体を清め偉大なる
[00:21:59.919] ロトの導きを願いましょう。
[00:22:04.760] お前から受けるんかい?
[00:22:19.720] なんか意味あんのか?これ
[00:22:30.279] 一瞬で移動するにはキメラの翼でルーラー
[00:22:32.880] を使えばルーラー覚えてんの
[00:22:34.320] あ、ルーラ覚えてんのかな?いや、覚えてないやんけな。何やなんで今出したん?それ。よし。
[00:22:51.000] 鬼滅を持ちでない。
[00:22:52.400] ああ、鬼滅持ってるからってことか。鬼滅使えよみたいなことなんだね。あ、本当だ。持ってるわ。だから種やだからこう仲間がいる。
[00:23:04.000] となるとさあ、種とか誰に使おうかなって
[00:23:07.919] なってくるやん。そっち結局使わないまま
[00:23:11.159] 終わるねんな。
[00:23:17.120] デボンボンデゲデンデンボンボン
[00:23:19.799] デンデレパ
[00:23:27.159] 。
[00:23:30.840] なんかこれ80時間かかるらしいぜ。
[00:23:34.400] 80時間かかるらしいよ。クリア時間。
[00:23:36.760] 君、そういうところ結構思いきり良いと思っていたが。
[00:23:40.279] いやあ、にゃむにゃむ。うーん。にゃむにゃむ。ま、でもとりあえず、ま、使う時になったら全部使うけどそれ
[00:23:53.320] とりあえず仲間が全員揃うまではなんか使いたくねえな。
[00:23:56.200] 仲間全員揃ってからなんかしっかり考えながら使いたいだって巻き物なんてさ、後戻りできねえじゃん。巻き物なんかさ、使っちゃったらさ、後戻りできないじゃないですか。
[00:24:29.200] まジ姿勢直そう。姿勢。これ次どこに行けつってた?え、
[00:24:45.640] 20
[00:24:45.960] 箱ちっちゃだったな。
[00:24:48.919] 20
[00:24:49.240] 顎ちっちゃだったね。いや、これでもちっちゃなったって。
[00:24:52.399] 20
[00:24:52.679] 顎もっとあったからな。もっとあったからな。
[00:24:56.159] それ
[00:24:56.880] もう首ないぐらいあったよ。こうやって引いた時
[00:25:01.880] なった
[00:25:02.919] なあ。もっとあったよな。もう、もうバーム空ヘついてんじゃねえかなってぐらい。バーム空ヘついてんじゃねえかってぐらいついてたもん。
[00:25:14.840] ここにこうやってガチャンって
[00:25:19.000] いびき小さなったもんね。
[00:25:23.320] マジで俺あのまんま太ってたら、ま、今も
[00:25:25.480] 全然太ってるけど、今も全然太ってるけど
[00:25:27.760] 、あの何もしなかったらマジでCパップ、
[00:25:30.480] Cップ直行便だったから俺ップ
[00:25:34.559] 。あ、秘密の場所です
[00:25:39.720] 。あれ欲しい
[00:25:42.120] いやでさすがに大丈夫でしょ。
[00:25:46.120] さすがやっぱ買わなくてよかったでもシーアップでもあれあのね痩せてるやつはねるかもしれないけどねからしたらねもうなんか他人ごとは思えないからねこねなんかそのなんかあんまりなんかできないというかは身だからなさのシーパ
[00:26:14.279] Capップってお前ら知ってる?C
[00:26:15.760] パップってなんだかあの
[00:26:19.679] Cパップは笑えんぞ。笑
[00:26:21.919] すみさんこんばんは。いや、わろとる。わろとるかな。わろとるかな。
[00:26:29.480] シパップとあの睡眠時無呼吸症候軍をさ
[00:26:33.000] やってる。
[00:26:33.919] あ、やっぱやってるやるんだ。こうこう直すっていうか、そのなんないように息が止まんねえようにこういうのそう、こういうのつけてねんのよ。
[00:26:41.039] あの、手術中みたいなさ、やつさ、つけて。
[00:26:43.240] Cカップ、
[00:26:44.200] Cパップだ。Cパップ。バカ。C
[00:26:45.840] カップはまあ、C
[00:26:47.440] カップはわしじゃい。や、そんなあるかい。そんなあるかい。もう疲れんな。こういうのり。
[00:26:57.480] ダブル
[00:26:59.000] 過剰に乗るのやねん。笑。
[00:27:04.320] 過剰に乗るのやねん。
[00:27:11.159] そのつけて寝るねん。こうそしたらなんかくらいするんだっけか。値段忘れたわ。
[00:27:17.279] あ、でもそんな、あ、でもそんなもんな
[00:27:19.840] 2万、2
[00:27:20.559] 万ぐらいなんだ。もっとなんか何十万もすんのじゃなくでやったら
[00:27:24.520] ね。いや、もうほぼ限りなくんだよ。何チマって変な名前?りゃ
[00:27:31.679] 変な名前。何ちゃま?何ちゃまゲームって?ごめんな。
[00:27:36.240] 今更なんか俺今更思うんだけどさ、チマゲームって何?いや、チマで良くない?なんか今更俺思うんだけど。何?チャマゲーム。
[00:27:51.840] ここから来たの?
[00:27:53.159] チャマはなんか昔から言われてんの。出てる。
[00:27:56.399] 昔から昔から言われてた。そう、そうなんだ。そう。
[00:28:00.640] なんでかというと、ま、だからってなんでゲームなん?それは思ってた。さんが笑。
[00:28:06.720] あまさんこんばんは。
[00:28:09.519] そうなんだよ。しかも俺と同じあのデブキャラのチマってやつがさ、いたんだよ。そこそこ有名な今ラーメン屋さんやってんだっけか。その人がさ、俺がチまって名前つけらんなんくて。うん。く肉の柵というか。
[00:28:25.679] でもなんでチまゲームなん?チャマですとかあるやん。なんかマゲームってどういう意味や?
[00:28:36.840] ま、色々ありますわな。ま、色々ありますわな。
[00:28:42.039] ちゃまって女性配信者さんいない?
[00:28:45.279] ああ、いるかな?いるか?いるね。チマ。あ、わかんない。どうだろう。なんとかチマってのはいっぱいいるけどな。
[00:28:55.159] このラーメン屋にもげっぽいよな。うん。なんかモンハンのモンスターだったらさ、骨格一緒だよね。多分なんかティガレックスとなんか同じような骨格一緒の系統のモンスター。
[00:29:12.480] 笑笑。
[00:29:15.200] 同じような攻撃してくる。色命色違いの。
[00:29:19.919] 笑笑。
[00:29:21.720] もうモンハンのコメントの時笑うな。
[00:29:24.600] モンハンのコメントの時ばっかり水を得たように出てくんな。じ々は嘘だよ。嘘。早くキャンプ行こうね。
[00:29:35.799] 早くキャンプ行こうね。
[00:29:41.000] こんなこと言ってますけどちゃん大卒ですからね。俺のコメント欄にいる中卒。中卒じゃねえや。高卒以下に継ぐ。こんなこと言ってますけどちゃんあれ大卒ですから僕より上です。
[00:29:53.480] くんくんちゃまげはこ卒なんですね。それ
[00:30:12.240] めっちゃレベル上がるやん。簡単に。超簡単にレベル上がんだけど。
[00:30:16.240] 最近炎上してる高校あれ母行だろ。
[00:30:20.000] もか北量ちげえよ。
[00:30:23.399] もか北僚だろ。栃木のめっちゃけえよ。うちから。めっちゃうちからちけえよ。あ、
[00:30:33.080] ま、めっちゃってことでもないけど全然近い。もか北量ね。
[00:30:37.840] 笑笑。り
[00:30:39.240] うん。ね。大変だね。大変だね。いじめね。あれでもあれすごいよな。あんないじめ見たことない。
[00:30:50.200] もう、もうだってあれ暴力やん。ぼ、いじめっていうか、もうなあ、
[00:31:00.679] あんなことできねえよ
[00:31:02.039] なあ。相当だ。で、あれ、
[00:31:06.519] ただの刑事件なんだ。最近の子ってなんで録画するんだろうね。
[00:31:11.279] いや、だからそのあれを
[00:31:14.080] 仲間打ちに見びらかし俺こんなことでき
[00:31:16.519] ちゃうんだぜんだけどもう社会ってそんな
[00:31:19.919] 甘ないからな。仲間打ちだけじゃないね。
[00:31:22.639] 見れ見れるのその辺分かってないバ鹿なん
[00:31:24.679] でしょ。多分わかんないけど。
[00:31:28.880] バイトテロとかもうだよね。なんか
[00:31:32.360] 仲間が仲間じゃないからな。
[00:31:34.760] だってあれ誰かがだからな。
[00:31:36.960] ま、どっかが乗せちゃってそっから誰かが
[00:31:39.600] あれしたんかもわかんないけど。れん。
[00:31:41.360] それにサマルトリアの姫までなぜここに
[00:31:46.399] は
[00:31:48.240] なんということだ。クッキー殿のは先ほど
[00:31:49.840] サマルトリアに戻っていった。もうだるい
[00:31:51.519] なあ。
[00:31:53.399] 勇者の泉まで来たついでにと我が城を訪ね
[00:31:55.799] てくれたのだ。私からムーンブルクの異変
[00:31:57.919] のことを死者としてお前がサマるトリアへ
[00:31:59.639] 向かったことを説明したところクッキー
[00:32:01.559] 殿の慌てて戻って行かれたんだ。もう
[00:32:03.519] こいつだるいねんな。クッキー。もう
[00:32:05.880] お兄ちゃんた全然会えないじゃない
[00:32:10.600] だ。なんかうん。せやねん。そういうの
[00:32:12.399] あんのな。そういうのあるんだろうな。
[00:32:14.360] えー、ローレシア国王陛下ありがとう
[00:32:16.919] ございます。私たちすぐに追かけますね。
[00:32:20.000] ウーム気をつけて行かれ鹿と悲組をお守り
[00:32:23.080] するんだぞ。
[00:32:27.320] ありがとう。でも私だって霊を守るからね
[00:32:28.960] 。この妹可愛いねんな。実に頼もしい。
[00:32:33.360] サマルトリア王は勇敢な娘を持たれたよう
[00:32:35.799] だ。息子よ、クッキー王子殿を無事に合流
[00:32:39.480] できたなら力を合わせてこのことの真層を
[00:32:41.519] 確かめてくるのだ。はい。
[00:32:45.519] お父さん
[00:32:49.320] で何?どこ行けって?
[00:32:54.960] えっと
[00:32:56.639] これさあああこれね。これさよく
[00:33:02.240] わかったね。はい。ゴロさんのやつ。俺も
[00:33:05.240] それをイメージしてったんで良かったな。
[00:33:07.200] よく伝わったな、今。
[00:33:10.679] これさ、仲間会話ってないの?これ仲間
[00:33:13.039] 会話
[00:33:15.080] 仲間会話あったらああちいのにな。
[00:33:20.200] やぱドラクエは仲間会話だよな。念の
[00:33:22.880] 付き合いよ。気持ち悪いな。
[00:33:28.000] 気持ち悪いなあ。
[00:33:34.159] 笑笑。
[00:33:35.480] ランディは
[00:33:39.080] 3年、3年ぐらい、4
[00:33:41.000] 年ぐらい、何年、何年ぐらいの付き合いですかね。長いね、もうね。でもなんかもう今大体コメントしてる奴
[00:33:52.159] らってなんか長い長い付き合いのやつらばっかなんだよね。
[00:33:56.919] なんかなんかもう、え、俺のファンってさ、
[00:34:00.120] 7人ぐらいしかいない。なんか7
[00:34:01.720] 人ぐらいで回してる。なんか
[00:34:03.320] で、
[00:34:04.120] なんかもうそう、なんか投げえやつしかいねえんだけど新山がいない。
[00:34:08.040] 笑笑
[00:34:09.200] え、なんかチまゲームのファンって
[00:34:10.960] 7
[00:34:11.200] 人ぐらいしかいない。なんかそいつらだけで回合してない。なんか
[00:34:16.159] 黙ります。
[00:34:19.280] いや、いいんだけどさ。結構もうみんな長いよ。
[00:34:22.960] 結構知り合ってもう新さねえのかよ。新さを
[00:34:28.720] 見合わせてコメントしてます
[00:34:30.560] ねえ。
[00:34:31.560] そうだな。長男が当時中さだ。
[00:34:34.560] うわあ。もう高校生通りすぎてるってことだもんね。やばいね。
[00:34:40.480] やべ。そまいいことだ。いや、いいことやねんけどな。今そもそも
[00:34:46.639] Twitch
[00:34:47.040] に新規のリスナーってのがねえわ。うん。
[00:34:50.399] 今そもそもTwitchに新規のリスナー
[00:34:52.399] がいない。ぶっちゃけ
[00:34:54.679] 新しくTwitchのアカウント見て今日
[00:34:57.119] 作って今日からレトロゲームの配信見るん
[00:35:00.040] だってやつがいない。
[00:35:03.960] そらいないやろ。そんなやつ。
[00:35:09.440] 順の子が高校受験だもね。本当だよ。順々
[00:35:13.920] の子なんかあれだからね。
[00:35:18.520] ただ純々の子供が下の子供が純々の右金玉にいる時から知ってるんだから
[00:35:25.520] じじバしかいねえな。もうレッド者もレッドやろ。ダブルチきチ
[00:35:30.880] もうGG
[00:35:31.520] 笑笑
[00:35:34.000] GGとんでもねえGG
[00:35:35.720] がいる。とんでもねえ
[00:35:38.400] GG
[00:35:38.720] がたな。なんだちきちってじバしか言いねえな。
[00:35:44.079] 本当にな、インターネット老人会しかいないよ、本当に。いや、ま、いいや、いいんだけどね。別に別にいいんだけど。
[00:35:59.200] あズマギンテアネットアズマグ老人会響きだろ。
[00:36:05.520] 何?大きこだまき誰だよ。じじこの野郎。その知ってて当たり前みたいな。
[00:36:13.520] やめてくれる?その昭和の漫才師なんだ。
[00:36:17.599] へえ。いや、でも知ってるよ。ここにちっ
[00:36:20.160] て書く人でしょ?何がおもろい?
[00:36:23.560] やっべ、全芸人を今敵に回したかもしれ
[00:36:26.560] ない。俺なんでここにちって書いて指こう
[00:36:28.680] やってやってちっちがおもろいんかわから
[00:36:31.480] ん。え、どういうこと?
