[00:00:14.879] やり漫画な。
[00:19:18.520] せや。
[00:19:19.720] HP
[00:19:20.200] 半分以下で運用した方が安定するまであるな。
[00:19:29.400] 1
[00:19:29.559] 人相手にザって殺しに
[00:19:31.480] 本当だよな。あれやべえ。こっち正規ルートだった。だめ。こっちじゃない。俺が気になるのはもう
[00:19:36.640] 1
[00:19:36.760] 個の方だ。絶対何かある。どうせ強力なさ特技の巻き物とか落ちてんだろう。裕の考えそうなことだよ。こっちだ。
[00:19:50.520] せや
[00:19:51.360] ナイスは
[00:19:58.840] いいね。やっとなんか戦闘が
[00:20:04.480] してく。笑
[00:20:05.799] 絶対あるって。だって裕だもん。裕ジはそういうこと考えるじゃん。
[00:20:14.640] 何このドラゴンのマードラゴン?
[00:20:23.000] いや、絶対なんかあるやろ。ここ
[00:20:29.840] ジリジリとMPが減っていく
[00:20:36.559] もうもったいない。
[00:20:37.919] このあ、もうお前キとかやめろ、マジで。せや。
[00:20:46.280] いやあ、サクサクだよ。
[00:20:49.760] 友ってお、それともやけ。
[00:20:53.360] えー、ホーリーな。ホーリーね。ホーリー。え、何これ?え、あれ?え、何?あれ?なんかなんかあれ俺が想像してたの違う。
[00:21:04.400] あれ?どえ、
[00:21:07.440] こっちが正規ルートか。あれ?俺が想像し
[00:21:11.240] てたとこ。あれ?さっきのじゃ、黄色い丸
[00:21:13.440] は何だったんだよ。これは何?ここが正規
[00:21:17.039] 。え、こっちがもしかして宝?これ絶対
[00:21:20.400] ボスだよな。この奥ななんな間違えた。
[00:21:23.559] なんだよ。いや、ややこしいことしさせん
[00:21:26.320] な[音楽]よ。これ絶対あっちがあれだろ
[00:21:28.480] 。
[00:21:30.000] 絶対あっちがあれだ。なんか宝だ。こっち
[00:21:33.640] 正規ルートだった。
[00:21:37.559] ややこしいことすんだよ。
[00:21:46.520] いや、もうほんまやめて。
[00:21:50.159] もうめんどくさいから。もうこです。
[00:21:54.039] ここだ。もう
[00:22:01.840] 1レ、1レベ上がればMP
[00:22:03.919] 回復すんだよな。あと
[00:22:06.720] 3000
[00:22:07.640] か。ちょっと厳しいな。こっち絶対あれだよ。あの紋章のなんか材料とかだろ、多分こっち。ほど。
[00:22:21.000] 取り逃さないように道中に置いてくれてるんだろうな。多分これ、これ竜ジの優しさかもな。ア、
[00:22:32.799] ナイス。いいよ。そっちから戦うの頭いいよ。よしよしよしよしよしよし。いいね。やべ。
[00:22:43.480] MBね。
[00:22:50.240] 多分あれでしょ。妖精の紋章のさ、材料でしょ、ここ多分。うーん。めんどくさいな。めんどくさいなあ。
[00:23:04.880] 見切った。
[00:23:06.159] お、いい。あ、ドラゴンキラー装備してるからめっちゃ効くんだ。ドラゴンタイプにお前。うお。
[00:23:15.159] ベギラゴンとかやってくんの?お前ちょっと殺意高いよ。あ、いいね。ああ、ほら、あった、あった、あった、あった。くずの砂。絶対これ紋章だろ。オッケー。ダイの巻き物。
[00:23:24.991] [音楽]
[00:23:42.159] え、なんかアイドルに楽曲提供とかしそう
[00:23:44.760] だな。ハットかぶって。
[00:23:47.640] これ開かないんかい、これ。
[00:23:50.679] 前山だ。け一の
[00:23:54.760] トゲの餅ちとか今更いるんかな?さきの杖
[00:23:57.200] 。
[00:23:59.039] あれ?さきの杖ってなんかさ、何だっけ?
[00:24:02.240] バギマだかなんだかだよな。
[00:24:09.919] 実は姫かと思ったら全山田のボイチェン
[00:24:15.080] 前山田の前山田け一の巻き物。キャダイってさ、ドラクエ
[00:24:23.559] 4
[00:24:23.799] にしか出てこなかった気がすんだけどブライしか覚えないと噂のキャダインってどういう技なんだっけ?全体技。
[00:24:34.159] あ、3からなんだ。ヒャインって3人も
[00:24:37.320] あるんだ。
[00:24:39.559] どういう技だっけ?ヒャインって。
[00:24:42.600] あ、全体技なんだ。ありがてえ。全体技
[00:24:46.240] めっちゃありがてえじゃん。
[00:24:51.760] あと何た?今俺。
[00:24:57.640] さきの杖。
[00:25:00.440] 中に何度でも使えるだから。
[00:25:02.600] これ持っとこっかな。
[00:25:05.080] 今回敵は楽でいいよね。単体攻撃でいいから。
[00:25:10.520] 敵はね。敵側はね。うん。敵側俺しかいねえからな。力の指輪攻撃力が上がるとかさ、言われてもさあ。力の指は攻撃力が上がる。うわあ。でも守備力
[00:25:27.240] 10下がるんかい?うーん。
[00:25:32.200] うーん。いや、このままだな。ちょっと
[00:25:45.080] MPがねえよ。
[00:25:57.399] ま、ダイ
[00:25:58.399] 全然関係ないけどいらないゲーム類片付けたら送りつける。
[00:26:02.279] え、何それ?めっちゃありがてえ。何それ?めっちゃありがたい。えー、いいね。何でも引き取るよ、ただで。マジで超ありがたいんだけど。
[00:26:04.158] [笑い]
[00:26:20.039] いいね。やっぱ年のせはな、やっぱみんなお掃除するもんな。いいね。
[00:26:27.120] もうでも俺、俺の家もさ、もうゲームありすぎてさ、ありすぎてなのに
[00:26:33.360] われてたり読み込めないや。
[00:26:34.880] あ、全然いい。全然いい。何でも引きとるよ。
[00:26:37.399] 全然全然そんな何でもあの、引き取りますよ。無限回収だからこんなのは。
[00:26:51.080] え、
[00:26:51.720] この前キャサリンフルボディが出てきた。
[00:26:54.919] あ、いいね。キャサリンフルボディ何のやつ?スイッチ。スイッチ。あれ、プレステ
[00:27:01.840] 3とかでも出てたっけ?あ、俺もね、
[00:27:04.440] Switch
[00:27:04.720] 版持ってんだよね。昔ね。これ今だから言うけど、あれ配信禁止なのに俺がっつり配信でやってたの。うん。今だから、今だから内緒な。
[00:27:07.693] [笑い]
[00:27:15.640] あれ配信禁止のゲームなんだけど配信でバリくさってた。気約とか全然なんか本当な本当あかんあかんねんで。
[00:27:25.080] トとプレステ4
[00:27:26.440] ああいいね。おもろいよね。
[00:27:29.000] あれ
[00:27:30.520] エロエロいしなんか弱
[00:27:48.039] エロいしな。
[00:27:56.480] レベル上げ。ボス前にもう1回もう1レベ
[00:28:00.320] 上げたいね。上げてMPを回復していき
[00:28:02.840] たいんだけど
[00:28:04.640] 1000だからあと2回戦えばいけるか。
[00:28:25.640] せよ。
[00:28:29.600] おっと。
[00:28:33.799] やべ、MP
[00:28:35.200] 回復したいんだけどな。もうちょっとでレベル上がるからな。もったいないからちょっと頑張ろう。
[00:28:48.080] せやいよ。薬草で食いつないで。オ、行こう。
[00:29:17.080] ただこなんか宝がいっぱいありそうな感じするな。よないな。
[00:29:31.399] ヘイヤ違っ
[00:29:49.320] てほぼやっちゃった。あと300でレベル
[00:29:52.200] アップ。よしよしよしよしよし。
[00:30:09.130] [音楽]
[00:30:10.480] せ、
[00:30:17.760] これでレベルアップするかな?うー、いいぜ。よし、これでボス行こう。
[00:30:31.600] うん。これでちょうどボス行けそうだな。
[00:30:35.760] 何もない。もう敵出なく程度。敵出なく
[00:30:38.360] 程度。
[00:30:41.080] よし
[00:30:42.760] よしよし。なんで最後の最後に出てこも
[00:30:45.399] 逃げよ。
[00:30:47.679] オッケー。ん、じゃあ行きますかね。
[00:31:00.000] なるほど。そんな場所に最後の鍵があるのか。
[00:31:05.240] 言ったんかい?
[00:31:15.039] 話したぞ。人質は解放してくれ。そんな約束をした覚えは
[00:31:27.000] 悪そうな顔してる。人間は皆殺しだ。
[00:31:31.639] ま、ですよね。
[00:31:35.279] なんと比な
[00:31:37.556] [笑い]
[00:31:38.720] 大体予想つくだろ。
[00:31:41.720] うるせえ。は貴様だ。やめてくれ。
[00:31:54.840] うわ。
[00:31:55.880] え、助けないの?え、今俺も今見てるよね。これ後ろにいるよねえ。遅いって。
[00:32:10.960] 燃え。
[00:32:13.159] 人た萌えなんだけど何も
[00:32:16.639] 人萌え。
[00:32:20.360] 遅いよ。
[00:32:21.679] さっさとこいつを。
[00:32:23.399] 遅い。
[00:32:24.720] 防寒。笑。
[00:32:26.399] だってめっちゃ近くにいたよね、今ね。うわ、めっちゃうわ、多いな。多いな。えー、まあでもヒダルコでこれでグループなんかな
[00:32:39.840] そこだ。
[00:32:40.519] あ、間違えた。まいっか。あ、もうこれ
[00:32:42.960] 1人1人殴ってこっかな。
[00:32:45.360] 1人1人殴っていこうかしら。
[00:32:52.039] そこだ。
[00:32:52.720] 大して強ないもん。ち、おっと。
[00:32:59.639] ああ、どうしよっかな。
[00:33:02.000] いや、まだいける。
[00:33:03.039] 見切った。
[00:33:09.639] で、ここでベホイム入れて。
[00:33:15.880] ここからだ。
[00:33:16.960] 多分連戦だろうな。この後あいつ出てくんだろうな。変なやつな。
[00:33:30.200] まあまあまあまあまあ
[00:33:32.200] そこだ。
[00:33:32.960] オオッケーオでここでまた回復入れて
[00:33:39.320] ここからだ。もう
[00:33:43.480] 1
[00:33:43.559] 回回復入れていいな。どうせ連戦でしょ、これ。
[00:33:46.200] こな多分
[00:33:48.159] ベホイム
[00:33:49.399] オケオケはいお疲
[00:33:54.120] そこだ
[00:33:56.639] ここは簡単やったなど変なやつ出てくんでしょエイリアンフライがブ
[00:34:16.879] なんで
[00:34:18.240] こいつい
[00:34:21.679] かってきな。
[00:34:24.679] また会にえ
[00:34:28.513] [笑い]
[00:34:30.639] 貴様を相手をしている暇はないだ。
[00:34:34.599] 結構あいつ結構頭のいいやつだな。雑魚的楽しく俺にやられればいいのに死んじゃったんか。
[00:34:49.440] しっかりしてくれ父さん。
[00:34:50.960] あ、息子かいな。
[00:34:52.839] ごめんごめんよ。俺のためにこんだ。いいんだ。
[00:35:00.240] こんちは。
[00:35:01.480] こちゃんこんばんは。お前が生きていて
[00:35:05.960] 配信めでございます。
[00:35:08.320] それだけそこのお方助けに来てくださったこと感謝し
[00:35:20.640] ちょっと遅かったけどな。
[00:35:23.200] きっとあなたこそ新たな勇
[00:35:28.079] 絶対間に合ったけどな。
[00:35:30.739] [笑い]
[00:35:31.240] 絶対助けられたけどな。
[00:35:33.640] 私が喋ったせいであなたに渡すべきの。
[00:35:43.160] あ、しゃあないしゃあない。お互いお互いそこはあの俺を助けらんだ。お前のこと許してくださるのか?
[00:35:51.000] うん。怒れないよ。だってお前が焼かれるの見てたんだもん。し
[00:35:56.939] [笑い]
[00:35:58.760] 怒れないっすよ。
[00:36:00.359] こっちにも火がありますよ。
[00:36:08.319] ああ、死んじゃった。
[00:36:10.000] どうさ
[00:36:16.280] 1
[00:36:16.480] 例あした。え、メルキドの主催は息を引き取った。チましにくれる資の息子を連れてメルキドへと戻ったのであった。
[00:36:43.800] 悲しい。かわいそう。
[00:36:50.760] あ、じじ
[00:36:54.920] ごめん。お前の友達だったのにな。
[00:36:58.599] なんか助けらんなかったわ。
[00:37:10.200] お主は最善を尽くした。みな分かっておる
[00:37:12.440] ぞ。本当に最前尽くしたんかな?
[00:37:17.480] 絶対助けられたと思うんだけどな。のほん
[00:37:20.960] と見てたら焼かれちゃったんだよ。
[00:37:26.240] あのじいさんどこにいるんだろう?
[00:37:33.839] あ、もう、もうお墓に入るの早。
[00:37:50.720] 様は町の皆を見守ってくれる父親のような人だった。こんにちは。今年もお世話になりました。おさんこんばんお願いします。
[00:38:01.960] うん。ありがとね。俺も配信からずっと
[00:38:05.280] 半年ぶりに復活してるんで、また来年もよろしくお願いします。
[00:38:09.880] 息子より他人の方が大事なのかって。
[00:38:15.200] だけど父さんは全てを投げ出して俺を助け
[00:38:20.560] てくれた。
[00:38:22.640] あんなに俺を愛してくれてたなんて。
[00:38:27.359] ごめんごめんよ。
[00:38:30.839] 俺も愛父さん
[00:38:36.160] 泣いた。
[00:38:43.760] 世にも素晴らしきその根色
[00:38:47.440] 何こいつ急にわけわかんないこと言ったのようにし
[00:38:49.206] [笑い]
[00:38:51.240] おいだなこのGG
[00:38:52.119] わけわかんないこと言ってるぞ気読めよお前
[00:38:55.280] 倒な何言ってんだこいつ
[00:38:58.160] それは
[00:38:59.040] あ
[00:38:59.520] 父さんが好きだった
[00:39:01.440] 勇者を称えるし
[00:39:07.400] 何
[00:39:09.599] ああ世にも素晴らしき
[00:39:12.000] その色バラのようにぐわしく
[00:39:16.160] どうすんだ?
[00:39:17.040] ある風のこと[笑い]
[00:39:20.200] 変な空気だったやんか。ほらじお前
[00:39:24.400] 思う様奏でても怒る魔はもうない。
[00:39:29.200] どこが勇者を称える歌やねん。これの意味わからん。
[00:39:31.640] 魔物が溢れた闇の時代。
[00:39:33.480] はい。
[00:39:34.880] この根は魔物を呼び寄せた。
[00:39:37.720] はあ。
[00:39:39.000] しかし勇者が闇を消し、光と平和が世に満る。心のままに出ても
[00:39:48.760] あ、
[00:39:50.119] 集う魔物は
[00:39:51.160] あ、
[00:39:51.680] もういない。
[00:39:52.319] 銀の建事のこと。これ
[00:39:53.839] 世にも偉大な勇者ロ。ロトは私にこう告げた。つか再び闇が来る。
[00:40:03.400] ああ。
[00:40:04.319] 来る未来に備えよと。
[00:40:07.880] 勇気と光を伝えよと。ああ、
[00:40:11.680] 長
[00:40:12.200] 我の備えよ。
[00:40:14.200] 長いよ。
