[00:00:27.720] ひ
[00:06:31.960] 出勤やおい。下には下がいていいや。安心した。よかった。俺打つなるねんな。
[00:06:33.659] [笑い]
[00:06:40.280] 3連休あの打つなるねん。あの周りの奴ら
[00:06:44.840] が3連休、3連休って言ってる間俺月曜
[00:06:46.960] 仕事なんかよかった。全部仕事のやつがい
[00:06:49.479] て[笑い]
[00:06:51.199] 頑張ろうな。頑張ろうな。頑張ろうな俺
[00:06:54.199] たちな。ま、俺は2年休だけどま、みんな
[00:06:57.000] が頑張れ。え、なんだよお前。めっちゃ
[00:07:00.000] 働いてんじゃん。なんかめちゃめちゃ働い
[00:07:03.039] てない?ま、いいや。はい、やってきます
[00:07:04.720] か。はい、どうも。
[00:07:05.639] え、今日もドラゴンクエストを祝とやってきますけども、
[00:07:09.400] 5
[00:07:09.520] の仕事が地獄が待ってます。
[00:07:11.319] そうもなんだ。そういうもんなんだ。社会あな、そういうもんだよな。あの、何気にそういうなんかやっぱいくら休みとは言え休み明け結構しんどいな。だから
[00:07:22.000] 3
[00:07:22.160] 連休明けに地獄が待ってるやらはなんで地獄が待ってるかって言うと俺たちみたいに
[00:07:27.639] 3
[00:07:27.800] 連休じゃない人間がお前らが休んでる間にメールを全部返すからだよ。
[00:07:31.955] [笑い]
[00:07:32.599] もう俺唯一それだけ祝日はもうてかもう
[00:07:36.800] あの長期連休この間だのフ休みもそうだ
[00:07:39.319] けど長期連休もそうだったけど俺の会社
[00:07:42.160] ブラックだからやっぱ休み少ないのね。
[00:07:43.879] 休み少ないから最後の週の土曜日になんか
[00:07:47.800] 王子当時とかいうなんか謎のその日別に
[00:07:51.599] なんかその土曜日出勤させて大掃除とか
[00:07:54.720] やるのね俺みんなが掃除してる間俺メール
[00:07:56.680] 全部返すね。[笑い]
[00:07:59.400] もう年明けお前らいっぱい休んでるやつら
[00:08:01.360] が地獄見ればいいと思って全部土曜日に
[00:08:04.960] メール返すね。[笑い]
[00:08:07.639] もうそしたらもう年始すっごい楽。
[00:08:10.080] すっごい楽やね。いっぱい休んでるやつが
[00:08:11.919] もう地獄見てるからな。
[00:08:13.720] ま、そんな感じで今日ね、ちょっとな会社、
[00:08:16.759] あの、今日ちょっとね、しまったんやけども、明日私朝ちょっと早くて、ちょっと日光の東にね、あの、家族でね、あの、初詣に行きますので、今日本当にもうパッとやってパッと寝ます。もう、ま、今日で、ま、さすがに
[00:08:32.240] 1時間で短いんで、ちょっと1
[00:08:33.399] 時ぐらいまでやるけど、もう1
[00:08:34.919] 時ちょっと前にはわしもう
[00:08:37.240] 1
[00:08:37.360] 時には寝るという、そういう感じでいいきますんでよろしくお願いします。はい、じゃあやります。
[00:08:45.320] よいしょ。やりまんなね。やりまんな。
[00:08:49.839] もうパッとやってベン。はい。やっていき
[00:08:52.480] ます。
[00:08:54.360] くんくくんくんくんくんくん
[00:08:57.760] 。なんかさ、さっきねあの仕事から帰って
[00:09:02.480] きてゴミ出と思って家の
[00:09:05.360] 家のミちゃんこんばんは。ミちゃん
[00:09:07.279] こんばんは。チネポで願い事決めてんだ。
[00:09:11.880] あの、ゴミ出し言ったら下の貝の人がなん
[00:09:15.640] 、下の下の回にさ、若いカップルが2人、
[00:09:19.200] 若いカップルが2人とかしてな、若い
[00:09:20.959] カップルがなんか引っ越してきたらしくて
[00:09:22.560] さ、ちょうど荷物搬入してて、あ、下の回
[00:09:25.519] に引っ越してきたものですけど、よろしく
[00:09:27.399] お願いしますって言われて、くそ、俺
[00:09:29.079] 挙どってさ、あ、あ、あ、ゴミ、ゴミ、
[00:09:32.600] ゴミつって逃げた。ゴミ出す瞬間だった
[00:09:35.360] から。[笑い]
[00:09:36.640] んでよ。そんなことやった夜中にさ、こんなとこでくンくんくんくん歌ってたらさ、上のやつやばいやつやんて思われるわな。
[00:09:45.160] キモい
[00:09:45.839] ね。どうしよう。ほとごめんね。
[00:09:48.720] だってお前
[00:09:49.920] ブーちゃんわこつ
[00:09:51.120] だって。あ、うんちゃんお疲れ。うんちゃんお疲れ。せって教えよう。
[00:09:53.760] だってさ、だってさ、めっちゃわか。
[00:09:57.800] もう20十歳そこそこのなんかこのこの春
[00:10:02.120] からあの大学卒業ですみたいな感じで超
[00:10:06.000] 訳け2人がさ、なんかさああの間に
[00:10:09.760] 引っ越してきたまるまるるって言います。
[00:10:11.399] あの、これからよろしくお願いしますとかって言われてさ、もう俺もう終わりの格好してたからね、本当に。あの、誰にも会うなんて思ってねえからさ。クソ挙どって
[00:10:18.982] [笑い]
[00:10:23.600] のやつ的。笑笑。[笑い]
[00:10:26.440] あ、あ、ゴミ、ゴミ、ゴミ、ゴミみたいな感じ。聞こえなくてよかったね。
[00:10:29.462] [笑い]
[00:10:31.200] 本当だよな。上下逆じゃなくてよかった。本当に義しギシやられてたらな、たまったもんじゃねえよな。
[00:10:38.440] に今まで始まってたことってあるの?
[00:10:39.287] [音楽]
[00:10:40.839] 何始まってたって何が何たって何が下の会ではしてるのに上の会派
[00:10:48.200] 邪魔してやんべえかなあでかい声出していやだからちょっとあんまりなんかギャーギャー言わない方がいいのかなわかんないけどい前あまから下に人住んでたから大丈夫だと思うけどすんべどンすんべえかなブル
[00:10:50.422] [笑い]
[00:11:07.920] プッぷーとかこれこれが大丈夫かって話でもね、なんかプッぷー
[00:11:08.762] [笑い]
[00:11:13.440] プッぷー言ってんですけどみたいな上のデブプッー言ってるんですけどやだな。彼氏が凸つきたらやだな。うるせえんだよ。
[00:11:23.079] 上のあかほんま
[00:11:25.137] [笑い]
[00:11:26.440] 上のあか
[00:11:28.839] 俺あ岡とか思われんのかな?やだよ。でもそうだよな。外であったらもうまともに会話できねえでさ。
[00:11:36.519] しすぎ。下の人があんまりうるさくなったら布団を叩いて。
[00:11:37.582] [笑い]
[00:11:40.720] いやあ、
[00:11:41.440] 引っ越し。
[00:11:42.279] 俺の方が絶対うるさいから。
[00:11:44.160] え、これ言ってるのあの人?
[00:11:46.098] [笑い]
[00:11:46.959] あ、さっきの挙ってた人みたいなって言って、
[00:11:50.480] 俺もうさ、あまりにもさ、リアルに友達もいないしさ、なんか仕事以外で人と関わることがないからさ、ネット以外で人と喋ることがなさすぎてさ、リアルの人に対してさ、リアルの人に対してなんかもう全然っちゃった。
[00:12:05.600] 挨拶もできなかったわ。ゴミゴミゴミゴミ
[00:12:10.200] ゴミって言って逃げた。[笑い]
[00:12:13.240] 本当にどうしようもねえよな。いやもう1
[00:12:17.880] 回ちゃんと[笑い]もう1回もう1回
[00:12:19.959] やり直さくんねえかな。
[00:12:23.279] もう1回やり直させてくんねえかな。
[00:12:26.760] もう1回きちっとなんか俺こな
[00:12:28.839] んだあのゴミさ普段赤いタグてる[笑い]
[00:12:32.720] 何赤いタグって何赤いタグってハお疲れ赤いタって何なわかんないなんだろうちお疲れちゃん
[00:12:41.320] いやあでもなんかなのが笑してやり直
[00:12:47.680] まやり直してよもう1
[00:12:49.000] 回頭の中ではなんかシュミュレーションできてたんだけどな。
[00:12:53.560] なんかあ、下の回に引っ越してきたんですね。これからよろしくお願いいたしますて言う言え言えると思ってたんだけど言えなかった。
[00:13:03.680] あまりにもなんか
[00:13:04.720] それ
[00:13:05.880] すごいなんか生きる活力に満ちてたわ。
[00:13:08.720] なんかすごい
[00:13:10.079] ワクワクなんか電子レンジなんか運んじゃってさ、なんか男がさ、電子レンジなんか多分金ケチって多分けいから金多分ねえからあの引っ越しのあれをさ、
[00:13:22.040] あのケチって多分自分で運んでたんだな。で、男がこう電子電ジなってあ、どうも下の前に引っ越してきましたとかつってもう俺や俺きたねえゴミ袋見てもう汚ねえ格好して。
[00:13:33.120] スエットできったねえ格好して本当にも
[00:13:34.174] [笑い]
[00:13:36.800] 眩しすぎたのね。
[00:13:38.040] ああ、すっごいなんか、あ、私それ運ぶよみたいな感じでさ、硬っはもう仕事終わりのズタボロのきったねえ格好してゴミ出してゴミごゴミゴミこれこれゴミゴミってもう
[00:13:42.034] [笑い]
[00:13:57.320] 1回挨拶したいな。ちゃんと
[00:14:01.120] 深夜3時に思踏もうぜ。
[00:14:04.440] 俺今何手に入れた?何手に入れてた?今ちょ全然見てなかったや。まっか泣ける。マジで泣けるよな。ペペペのお疲れで。これ俺がさ
[00:14:13.720] ね。ピアスいっぱいしてたねって言うから。
[00:14:16.749] [笑い]
[00:14:18.360] もうもう見た目だけ去性だけ貼って短くね。
[00:14:24.720] そういうこと言われてんのかな。なんかさっきの人足短くねみたいな。何言ってか全然わかんなかったね。悪実際俺もそのタイプだから涙が出そう
[00:14:39.020] [笑い]
[00:14:40.639] な。にお前今いくつだっけ?お前より
[00:14:44.560] 10
[00:14:44.880] 歳ぐらい年下のカップルがもうキャピキャピなんかもう生きる気力がすごかったろ。
[00:14:50.759] なんかこれから人生一緒に生きてくんだ
[00:14:53.880] みたいな。ああ、もう、もう、もう17
[00:14:56.000] ぐらいの
[00:14:57.839] カップルがよ、夜だよ。夜なの。しかも夜
[00:15:01.639] なのに明るいねん。[笑い]
[00:15:04.920] 夜なのになんかすごい元気やねん。なんか
[00:15:07.079] もうやめてくれや。もうこっちもうそんな
[00:15:09.920] ないけてる。そんなないねん。そんなもう
[00:15:12.480] 元気かな[笑い]
[00:15:15.600] 。もう硬いな。
[00:15:17.759] もうクタクタ。もうよれよれのさ[音楽]
[00:15:22.160] すぎる。
[00:15:23.120] よれよれのスきと
[00:15:24.560] 人呼んで上でパーティーするからねっていう。
[00:15:25.525] [笑い]
[00:15:27.399] 27スマホ。
[00:15:28.759] ああ、これラスマホゲットしたって見てて。あ、ありましたよ。ちょっていきますから。そんな話をしながらもね。
[00:15:39.319] てね。
[00:15:41.000] あ、中が、中がやっとスマホゲットしたの。片ですよ。
[00:15:47.140] [笑い]
[00:15:48.079] 片やね。もうスマホで限界です、僕たちは。これは鏡のようですね。どうしてこんなところに?ムーンブルクで聞いた話は声は僕たちをこの鏡の元へ導いてくれたということなんでしょうか。
[00:16:00.399] 番
[00:16:03.279] 何か意味があるはずですよね。持っていきましょう。が
[00:16:09.839] 27歳なんだな。お前お前が
[00:16:12.680] 27歳なんだ。
[00:16:14.560] 明日はお姉さんの高級者で行くの?それ
[00:16:17.926] [笑い]
[00:16:18.560] 姉ちゃんの高級者で行くよ。姉ちゃんの高級車でおろではあのあの実家にしかはいかない。
[00:16:25.800] いいな。
[00:16:28.120] で、もちろんご飯もあの食べに行きます。めちゃんで。でもなんか俺なか情けねえよ、俺。でも俺なんか情けねえよ。
[00:16:38.231] [笑い]
[00:16:40.160] なんか家族仲いいのはいいことだけどよ。メカの料理また
[00:16:46.480] メダカの料理ドカの全の前のなヨトープみたいなスープな。ビオトープみてえなスープ。今日何食ったっけの夜?今日はあも今日マジご飯
[00:16:47.401] [笑い]
[00:17:01.120] 適当だわ。白米に卵をぐシャぐシャぐシャったのを乗せたけ丼ん。
[00:17:10.326] [笑い]
[00:17:12.520] もう本当に情けない。もうなん、もう
[00:17:15.566] [笑い]
[00:17:18.360] 貧乏飯。
[00:17:19.280] 貧乏飯。もうめんどくさすぎてでもいいねん。たまにはそれでうまい。
[00:17:24.736] [笑い]
[00:17:25.520] 刑務所のままうまいもん食ってるわ。
[00:17:27.079] 明日あるしね。
[00:17:27.959] そう、明日あるしね。そうそうそう。あんま食べすぎちゃあかんなということではなんでや。
[00:17:32.720] うる。おいこら。うるせえぞ。うるせえ。
[00:17:40.480] うん。まあでも炭水化物だからね。ま、言うて炭水化物だからね。ラーの鏡を手に入れたんで。あれか。うくんくくんくく。え、本当にちょっとでもさ、心配なんだよね。
[00:17:56.159] うるせえよな、俺のこいつ。多分今までが奇跡だっただけでさ、俺ってうるさいよね、多分。
[00:18:05.559] もしかしてだけどだんくらいは多分平気だと思い普通に喋ってる。めちゃめちゃうるせえなグでビニにされていのかって言おう。
[00:18:09.932] [笑い]
[00:18:13.400] うるさいよ。お気づきになられましたか。
[00:18:16.120] や、なんか今ちょっとね、初めてね、初めてちょっと不安なんだよね。
[00:18:21.640] またさ、これさ、人人のオ、人という動物のオの生体なんだけどさ、やっぱ守る女がいると強気に出るやん。やだで俺こない。
[00:18:33.200] さっきちょっと優しく挨拶してくれたあいつがさ、うるせえんだよこらとかって言われたらマジで俺もうひってなって本当に配信やめる。ほんま配信やめると思う。
[00:18:42.682] [笑い]
[00:18:46.799] それはそう。
[00:18:48.720] えい。
[00:18:49.919] なんか強気にで出そうやん。いいよ。俺が俺が言って俺が言ってくるわ。俺が人俺がガツンと言ってやるぜみたいな感じでさ。
[00:19:00.000] ガチの配送。
[00:19:01.320] うん。
[00:19:01.520] ガチもの配送も男電話に電話してくれな。な
[00:19:04.640] んでだよ。なんでだよ。電話して何してくれんだよ。退治してくれんの?退治してくれんの?悪物っちだからね。悪物っちだからね。だからもう逆に俺どうにか仲良くなってもう理解してもらおうかなと思って。あの僕配信やってましててな。でもねマジで鬼作な若者だったからなんかワンチャンま無理か。俺の方が無理かだって喋れない。あ、やべ死ぬ。
[00:19:22.638] [笑い]
[00:19:32.080] うわ、もうまかんわ、こんな配信者にさせよう。つも
[00:19:38.080] G
[00:19:38.280] 出たら一瞬引くのに彼女いたら夕に立ち向かうから入ってきたやつがごちゃごちゃうるせえんだよって言ってやるよ。まずはじが作りすぎるとこから始めよう。ゴミゴミよ。
[00:19:46.873] [笑い]
[00:19:53.000] でもさ、誰が食いた?誰が食いたいん?
[00:19:56.400] 3029
[00:19:57.760] のおっさん。上のデブのおっさんが作った肉じゃが食うか。絶対捨てるだろ。いや、絶対
[00:20:02.593] [笑い]
[00:20:05.760] 怖すぎ。
[00:20:06.640] 怖すぎだろ。[笑い]
[00:20:09.799] 捨てるよな。絶対俺も絶対食わない。やばないこいつ。
[00:20:14.799] 入ってる。
[00:20:16.159] やばないこいつって思われるよな。ね、これさ、行けるかな?町まで。
[00:20:24.640] ま、行けるべ。頑張ろ。の作った料理店以外だと口にしない。うん。
[00:20:28.559] 俺もさ、人んちのお母さんが作ったおにぎりちょっとき、ちょっとね、これ素って聞くから。ちなみにこれ素って。
[00:20:38.720] お土産。ああ、ありがとうござてかやば。マジで死にそうじゃね。なんか
[00:20:48.120] マンリはまずまでも大丈夫。
[00:20:50.240] あの素だろうが僕を腹減ってないで断る。
[00:20:54.339] [笑い]
[00:20:56.320] 危ねえな。まあでもブーメランのおかげでてかイブーが強すぎる。刃のブーメランが強すぎ。ま、前までもさ、下の階に人住んでてあんだけギャゲ何も言われなかったんだから多分平気なんだよ。多分な。や
[00:21:16.159] くらえ。
[00:21:19.080] もう1
[00:21:19.440] 回ちゃんと挨拶し直してえな。マジでな。絶対陰居だと思われたよな。絶対陰居だと思われたよな。まず夜にゴミ出しするのって退したのかもな。
[00:21:26.434] [笑い]
[00:21:35.039] うん。マジで半年間配信やってなかったんだけど。
[00:21:38.480] て怖くて何も言えなかった説はないの?
[00:21:41.000] そういうことなんかな。
[00:21:46.880] ガ体もいいしな。
[00:21:48.440] 私も夜にゴミ出ししてます。やるボブも朝限りなく楽にしたいよな。
[00:21:54.600] [笑い]
[00:21:54.720] 同じく
[00:21:55.760] なあ。朝って限りなく楽したいもんな。あ、ラッキー。何?なんか行き返ってんじゃん。ラッキー。
[00:22:03.440] とりあえず威嚇程度に車かしとく。
[00:22:04.425] [音楽]
[00:22:06.390] [笑い]
[00:22:07.840] ふかす車がお前タフトじゃんよ。お前そんなんじゃあだろよ。
[00:22:13.799] 千ワがよく吠えるみたいな感じじゃねえかよ。うちのダークトじゃなでさえ朝忙しい。
[00:22:19.159] ほな、朝にゴミまとめて出すほど時間ねえよな。えっと、ワンコにじゃあか、ワンコロにない。
[00:22:32.159] 朝そう、朝1
[00:22:33.279] 秒でもちょっと家にいたいから
[00:22:35.559] 朝起きて近所のババババーと会話してゴミ出さないの?
[00:22:38.919] いや、そんなそんなことしない。
[00:22:43.200] あれ?俺このアパートに来て初めてだもん。なんかその人参人と喋ったのだから気った流しよう。
[00:22:50.279] あ、もうええ。プリンター萌え直にしてかせばいいよ。
[00:22:56.799] ロドこんばんは。何直感ってタクトじゃなくてタ喋べるじゃん。
[00:23:02.159] 絶対
[00:23:03.360] プリンター萌え
[00:23:06.159] ローレシア王子にサマルトリア王子。
[00:23:09.840] そしてチマゲームです。
[00:23:12.320] まさか犬になってたなんて。
[00:23:14.919] 犬のたのに
[00:23:17.131] [笑い]
[00:23:17.480] よかった。どうしてここに
[00:23:21.039] 1
[00:23:21.159] 人いらないね。
[00:23:22.480] 違うわ。[笑い]
[00:23:23.520] 誰かだ。
[00:23:23.960] 私
[00:23:25.240] マフラーのサイレンサーの根本切り飛ばすのが直感。あのくそうるさいやつね。
[00:23:31.440] 襲撃を受けたんです。
[00:23:33.919] 知ってるでしょ。それ
[00:23:35.520] そうそうだわ。父を早く助けに行かないと。
[00:23:39.960] 死んだよ。
[00:23:40.840] すぐに今すぐにムーンブル死んだよ。
[00:23:43.919] 父やが助けを待っています。
[00:23:47.279] くず[笑い]
[00:23:49.679] え、どういうことですか?
[00:23:52.760] ときなさい。
[00:23:53.640] 僕たちもムーンブルクのお城に行ったければ
[00:23:56.840] が1番ゴミ[笑い]
[00:23:58.320] えかも。他の人たちも
[00:24:01.000] 本当に主人公かよ。
[00:24:04.480] いや、でもこういうの誰か言ってやらなあかんからな。
[00:24:07.600] そんなごめんなさい。力が入らなくて
[00:24:16.480] 音部してやろうか。
[00:24:17.760] 無理しないで。今変の呪文が解けたばかりなんです。体を休められるところに移動しましょう。
[00:24:24.600] 休憩できるとこ行こうか。
[00:24:25.799] にショスってアニメ見た?[音楽]
[00:24:27.880] これすごいわ。
[00:24:29.039] お父さん死んだよ。
[00:24:30.600] にっこりじゃない。多分派遣とる。主人公本当にありがとう。
[00:24:35.076] [音楽]
[00:24:36.360] さん、こんばんは。主人公喋らんみたい。
[00:24:38.440] 体の感覚が戻りました。
[00:24:41.320] よかった。一晩休んだらうちに帰りましょう。うわ、
[00:24:46.279] ノレシアもサマルトリアも待って待って。
[00:24:48.559] 全力で君を守りまし。
[00:24:49.799] なんかもうこれもうさ、さっきの構図と一緒。俺ゴミ出ししてる。俺全く喋らんの。もうゴミ出ししてる俺と一緒や。こ、こんな感じやね。もうなんか
[00:24:59.159] 私は
[00:24:59.720] もう
[00:25:00.880] ハーゴンを打つ旅に出ます。
[00:25:02.520] ゴミ。これゴミ。
[00:25:05.207] [笑い]
[00:25:05.880] 聞いたことがあります。確か
[00:25:08.440] そんなペラペラ喋んないから。モンダルキアという国を滅ぼした恐ろしい奴だって。まさか
[00:25:16.520] 今回ムンブルクを襲ったのは
[00:25:19.640] ええ、ハーゴンの手のものです。
[00:25:22.840] 2人に助けていただいたことは
[00:25:25.039] 感謝します。
[00:25:25.799] マーロン
[00:25:26.399] ですが私は[音楽]
[00:25:27.960] ただ守ってもらうために生きびたのではないと考えます。そういうやつ怒らせたら何するかわからんから。
[00:25:31.407] [音楽]
[00:25:35.600] それ
[00:25:36.440] ジャックナイフって言われさんこんばんは。
[00:25:38.679] 次はいつローレシアやサマルトリアに魔の手が迫るかわかりませんですから私はハーゴンを打つ旅へ出ます。
[00:25:39.267] [音楽]
[00:25:47.279] お前1人じゃ無理だろ。
[00:25:50.120] そうだよね。
[00:25:52.039] ドラクエありがとう。
[00:25:53.360] ドラクエ大好き。
[00:25:54.039] 君の言う通りだよね。
[00:25:55.720] 千原ジュニアと思
[00:25:57.360] たが守りを固めていても[笑い]
[00:25:59.480] ハーゴンにずっと怯えて暮らすなんておかしいよね。
[00:26:05.080] パ紫神よくやっぱそうなんよ。プリンは紫世界に平和を取り戻さないとみんなが笑って過ごせる日々を
[00:26:14.360] マドのドラクエバーガーとスライムのジュース飲んで
[00:26:17.640] あれ全然ドラクエなくねえかなんなんドラクエバー
[00:26:21.240] 1つ前に1
[00:26:22.320] 度はローレシアとサマルトリアに戻ろう。何があったのかを報告しないと。
[00:26:25.773] [音楽]
[00:26:27.840] 分かりました。
[00:26:30.480] 敬語じゃなくていいぜ。
[00:26:32.039] 無理。俺たち仲間なんやから
[00:26:34.240] ムーンブルクにも行かせてもらって良いですか?
[00:26:37.000] だけなんだ。
[00:26:37.840] 自分の目で見ておきたい。
[00:26:39.960] なんかあのザクザクポテトバーガーみたいなあれエヴァの時もあったよな。エヴァンゲリオンの時と一緒じゃないかメニュー。あれムーンブルクにも行かせてもらってよかですか?え、自分のいいよ。
[00:26:51.200] マックのコラボでコラボに関係まであった。
[00:26:55.679] 明日から長い旅が始まりますからね。
[00:27:01.720] ないね。
[00:27:03.880] もうマックなあ。食ってねえな。ねえねえ、起きて。
[00:27:14.399] おい、なん、余してんじゃねえよお前。おい、こら俺、俺抜きで。おい、
[00:27:17.600] 疲れてるのに。ごめんね。どうしても話しておきたいことがある。
[00:27:22.039] 何?ちんちんってよ。こんばんは。サンピ
[00:27:24.360] ちょっと外まで来た。
[00:27:26.120] 完全にこれどっちをよ、どっちを呼び出してんの?俺か?あ、俺か。あ、は。くんくんくんくんかくんか。スーハーハー。これ起きてますね。これね。プリンターも燃え。オ
[00:27:50.679] 何がやねん。
[00:27:52.440] 何がきついんじゃい。
[00:27:55.799] あんたには分からんでしょうね。あいつ
[00:27:58.159] どこ行った?社会人はな大変なんだよ。
[00:28:02.240] 何かこう
[00:28:04.600] 甘えられる何かが必要なわけ。
[00:28:09.840] ごめんね。起こしちゃって
[00:28:11.399] こう離
[00:28:12.440] 王女様がいないところで話したくて
[00:28:13.194] [笑い]
[00:28:16.519] お前
[00:28:17.399] 僕たち3人は[笑い]
[00:28:18.960] 勇者の地と家の血を継いでいて
[00:28:22.200] これからみんなで一緒にハーゴンを倒すたびに出るじゃないですか。
[00:28:26.559] なれると思うんじゃねえぞ俺に。
[00:28:28.880] でも僕たち
[00:28:30.919] 2
[00:28:31.080] 人と王女様は旅の目的が全然違うって気づいたんです。
[00:28:35.679] そもそも俺の旅の目的って何だっけ?
[00:28:38.679] 僕たちと
[00:28:39.559] おいおいおい
[00:28:40.679] 王女様は僕らは大切な人たちを守るため旅に出ます。だけど彼女は違うじゃないですか。
[00:28:53.080] 深い悲しみとか
[00:28:54.720] 強い憎しみを心に秘めたですよね。
[00:28:57.519] そうですね。
[00:29:01.000] 同じ痛みは背負えないですけれど、でも僕たちは王女様の仲間なんだって分かって欲しくて。あ、そもそもこの呼び方だと一緒に旅をする仲間って感じが出ないですよね。
[00:29:17.840] でもちゃん付けできなり呼んだら怒られちゃいますよね。
[00:29:21.799] いいんじゃない?別に[笑い]
[00:29:24.279] さすがにちょっと図々しいって僕でも思いますよ。うん。
[00:29:29.399] とにかく少しでも笑わせてあげたいなって思っているので、もし僕がまた空気読めなくて変なこと言っちゃってたりしたら注意してくださいね。ありがとうございます。
[00:29:42.000] 2人で支えてあげましょうね。
[00:29:44.159] うわ、なんかこいつらなんか
[00:29:55.880] なんか狙ってるな、多分。あいつ王女様の
[00:29:58.919] こと。そしてヨガけった。これ俺、俺
[00:30:03.600] ちょっとどんくらいの音量で喋ればいいん
[00:30:05.799] だよ。いや、大丈夫なんだけどさ。気持ち
[00:30:08.360] 悪いな。なんだお前ちゃまちゃんって
[00:30:11.960] 気持ち悪いな、急に。
[00:30:14.120] お疲れ。ちゃまちゃんってなんだよお前。
[00:30:20.039] 笑笑
[00:30:23.240] な。何?
[00:30:24.039] それではローレシアサマルトリアそしてムーンブルクのお城へ行きましょう。どこからでもいいと思います。
[00:30:32.679] ちゃまちゃん
[00:30:33.120] わかりました。
[00:30:34.000] チまちゃんてやめて。ましょ。
[00:30:39.916] [笑い]
[00:30:41.559] ついでねえや。
[00:30:45.480] あ、じんちゃんさ、じんちゃんさ、俺んちのアパート呼んでもいいかなって言ってた。
[00:30:51.159] そういうこと。いや、決めた。だめだよ。
[00:30:53.559] あの、これから旅を共にする中ですから、私のことは気軽に呼んでください。
[00:31:07.200] 可愛い。もうええ
[00:31:10.080] いいんだってよかった。
[00:31:13.080] もうこれさ、名前変えられる変えられなく
[00:31:16.720] て固有名詞にしてさ、こう読んで欲しかっ
[00:31:19.919] たな。もう良くないプリンちゃん言って
[00:31:23.600] あげてほしいんだけど。じんちゃんあれ
[00:31:26.480] うちのアパートさ、下の階にさ、なんか
[00:31:28.600] 分けカップルが引っ越してきてさ、じん
[00:31:30.760] ちゃんうちに遊び来た時に車止めてある
[00:31:32.639] とこそこ止め、そこ止めちゃダめね。初め
[00:31:34.880] で[笑い]
[00:31:36.840] そこ止めちゃダメになったからよろしく。
[00:31:39.840] 声ありゲー発想してほしい
[00:31:41.639] ね。別にもういいよね。
[00:31:43.679] わお。マジか。
[00:31:44.919] そうそうそうそうそうそうなんよ。だからもうあのどっか遠くに止めて歩いてきてください。
[00:31:51.966] [笑い]
[00:31:54.919] Zマんこんばんは。Z
[00:31:56.360] さんこんばんは。あれZ
[00:31:57.440] マんこんばんはって言った俺萌えですなあ。ちょ装備挨拶リベンジしよう。
[00:32:05.722] [笑い]
[00:32:08.840] ええ。鱗の盾。あ、鱗の盾装備しとく
[00:32:12.880] に君って呼ばれるの好きだったでしょ。うるさくして追い出して。
[00:32:12.927] [音楽]
[00:32:17.279] うさくしてい。でもユナに君ニドさんこんばんは。ま、あれはめちゃめちゃいい。あれはめちゃめちゃ良かったぶっちゃけ。あ、アクセサリーが何もねえな。まいっか結構金あるやん。ちょっと待って。金のさ、ちょっと装備装備買おうぜ。
[00:32:18.167] [笑い]
[00:32:36.799] なんかねえかな。プリプリプリプリ。
[00:32:47.360] なんか強えやつねえか。
[00:32:50.039] うわ、聖堂の盾とかやっぱ強いねんな。
