[00:00:29.720] ສ
[00:09:07.120] やってるぞ。
[00:09:08.279] 笑笑。
[00:09:08.760] 大期
[00:09:09.519] 笑笑。
[00:09:10.160] 稽古が
[00:09:10.760] 笑笑。
[00:09:11.720] 稽古の煽り。
[00:09:13.200] 笑笑。息子は元気やってるぞ。
[00:09:16.000] 笑。
[00:09:17.720] でもなんか稽古も気使ってさ。
[00:09:20.519] けこも気い使ってさ、なんか俺が配信やんなくなってちょっとして飯行った時にけこもなんかさ、
[00:09:28.480] やっぱ優しいからなんかあの俺が配信嫌になってやめたって思ったらしみたいでなんかすごい気い使って俺にまあでもね、あの配信とかやっぱ疲れるからね、あんたがやりたいって思うまで休めばいいよって言ってくれた。いや、別んじゃないんだけどみたいな。
[00:09:49.040] 別になんかそんななんかや、病んでないんだけどみたいな。いや、別にま、ま、そうなんだけどやりたいと思うまで休むんだけどなんか別になんかなんか
[00:09:59.000] 優しいみたいなママなんで
[00:10:01.040] 優しい。
[00:10:01.600] 優しい。うん。別に病んだわけ。病んでやめた。病んでやってないわけじゃないんだけど。まあ、ま、いいや。ちょっとはい。もうあの、特にあの、久しぶりだけど、特にもうないし。あの、もうやりますわ。ゲームいいすか?ゲームやります。あの、これね。はい。これやりますんで。はい。これ。はい。はい。はい。
[00:10:17.839] お姉ちゃんも元気。お姉ちゃんも元気だよ。お姉ちゃんも元気です。はい。これあのね、あれです。俺が配信休んでる間に
[00:10:25.160] った
[00:10:25.680] 姉ちゃんは車買ったんだよ。車買ったの?車買い行くの?俺もさ、暇だったから俺とお母さん
[00:10:33.079] 3
[00:10:33.240] 人で行ったんだけどさ、その場で一で買ってたわ。どんだけ金アンダーの人怖。あ、じゃあはい。これでって買ってた
[00:10:41.240] かっけ。
[00:10:41.800] はい。ということでやっていきます。
[00:10:44.160] 強。
[00:10:46.440] はい、よろしくお願いします。久々
[00:10:48.880] 強え。
[00:10:49.920] 久々すぎるんだが。ドラグニティークエスティやっていきます。お前ネタバレすんじゃねえぞ。お前らなんかこれ
[00:10:57.120] タフト負けるな。操作わかる?
[00:11:00.079] タフトの3倍ぐらいの
[00:11:01.519] 46%
[00:11:02.680] 値段の車が勝てた。
[00:11:04.839] タストの3
[00:11:05.480] 倍ぐらいのもさ、もうさ、スイッチ
[00:11:09.760] 2
[00:11:10.040] すら触んのめっちゃ久しぶりなんだけどなんかコメントの位置おかしいやろ。これなんだよこれ。
[00:11:16.240] なんかもうさ、ちょっとちょっとさ、拙い配信になったらごめんな。ちょっともう久々すぎて。久々すぎてもう忘れたわ。なんか配信のやり方。配信ってどうやって
[00:11:26.800] の下
[00:11:27.760] 配信って
[00:11:28.240] 何やってんだろ?
[00:11:29.279] 配信ってどうやってやるんだ?
[00:11:30.760] コメント小さ。
[00:11:32.320] コメント小さくてええねん。貴様らに人権だとない。はい。やっていきます。相変わらずですね。チマゲームはね。やっていきますよ。
[00:11:41.440] わあ。
[00:11:43.360] いや、久々。
[00:11:45.959] 久々ゲームやんのも久々だわ。なんかスクアエックスゼンent。いや、これちょっとさ、正月休み中時クリアしたいんだよな。これクリアしたらまた当分ゲームやもう。
[00:11:58.839] 来週も久々だ。
[00:12:01.279] オープニング聞かせてね。
[00:12:02.639] ボーガンガン。え、オープニングとかないの?オープニングとかないの?これ。
[00:12:12.920] え、これ何これ?オープニングムービーとかないわけ。いきなり始ま
[00:12:16.360] て音でかくね?なんかもう覚えてない。音でかいよな、これ。音でかい。
[00:12:21.760] 音でかい?これどわかんない。なんか久しぶりすぎて音でかいね。わかんない。どうやってちっちゃくつんだっけ?ゲームってない。
[00:12:29.839] こうかこうんくらい。こんくらい。こんくらいか。ラボン。
[00:12:36.279] 笑。
[00:12:36.839] え、ちっちゃい。
[00:12:37.680] でかい。
[00:12:39.240] ちっちゃい。
[00:12:41.680] ちょ、わからん。ちっちゃい。音もうちょあげる。久々すぎて覚えてねえよ。なんか配信のやり方。ハイプトレイン
[00:12:51.800] 声が番でかい。
[00:12:52.880] ええ。ゲームはゲームはゲームは
[00:12:55.959] ゲームはゲームはゲームはこんなもんか?こんなもんか。
[00:13:01.880] こんなもんかな。
[00:13:03.240] こんなもんかな。はい。やっていこうじゃないの。
[00:13:07.760] う、あ、なるぽっぽテスト。
[00:13:12.079] あ、なるね。うん。なるほど。ちょっとドラ、ちょっとさ、これどんくらいかんだろ?時間わかんねえんだけどさ、正月休み中にさ、クリアしたいなという気持ちでやっていきます。よろしくお願いします。
[00:13:28.160] クリア耐久?
[00:13:29.240] いや、クリやもう、もう、あの、やめよう。
[00:13:31.360] 耐久とか
[00:13:33.360] ドラはドラ1で
[00:13:34.880] 昔のそんなに長くなさそうな
[00:13:37.600] 時間でもなんかこれ結構色々追加すドラクエ
[00:13:40.480] 270
[00:13:41.279] 時間じゃ丸くなったとかじゃないねんであの不健康がかっこいいって時代はもうやめ終わりですんでやめよそういうのもう俺普通に今日も
[00:13:53.399] 12時で終わるからね
[00:13:55.639] 申し訳ないけど今日朝までとかやらないからね普通に
[00:13:58.160] 12時で終わって俺明日朝早く起きるから
[00:14:00.959] 申し訳ないけど、もう配信やらないだけで肌の調子がもうグー。やってきます。この名を名乗るのも久しぶりだな。私チマゲームと申します。よろしくお願いします。
[00:14:13.120] だよね。
[00:14:14.079] チャ魔ゲームと申します。久しぶりだな、お前ら元気してたか?俺がない。
[00:14:20.519] え、ちゃあ、ま、ま、ま、まどがいない間
[00:14:23.880] なんかおもろいことあったか?なんかこの
[00:14:26.000] 配信界隈
[00:14:28.720] 俺がいない間になんかおもろいことあった
[00:14:30.360] か?チャーマどうもよろしくお願いします
[00:14:33.279] 。ひらがモードを設定しますか設定する
[00:14:35.639] と喉全ての感じがひがで表示されるように
[00:14:37.920] なります。頑張る太郎のこのあ、仕事。あ
[00:14:43.000] 、今来てくれてありがとうね。ありがとう
[00:14:44.160] ね。おディ疲れ。おい、ラディオ、お疲れ
[00:14:47.480] 。何もなかった。
[00:14:50.120] 太郎しそなんかあいつだよ。
[00:14:52.880] あいつ頑張る太郎なんかもう
[00:14:54.959] YouTuber
[00:14:55.560] になってない?なんかもうやっぱさ、あれなんだよな。に人が
[00:15:01.759] だ
[00:15:02.279] ねえ。もう人が集まる方に行っちゃうんだよな。
[00:15:07.279] なんかあんなにもう俺ら友達かと思ったのにもう、ま、俺もやってなかったんだけどさ。俺もやってなかったんだけど。あなちゃんこんばんは。なちゃんお疲れ。ナージお疲れ。久々にやるぞ。久々に。
[00:15:19.720] 目的地マーカーを表示しますか?有効に
[00:15:21.399] すると目的地がマップ上に表示されるんだ
[00:15:23.199] やります。もうこれもう早く終わりにし
[00:15:25.000] たいんで今日早く終わりにじゃってか
[00:15:26.680] なんかその休み中にクリアしてんでこう
[00:15:28.800] いうのもうガンガンオンにしてこうぜ。
[00:15:30.800] ワイプで
[00:15:33.319] こういうのガンガンにオンにしていくわ。
[00:15:35.560] 楽チンプレイばっちり冒険の道だぜ。いや
[00:15:38.920] もうバッチリ。え、どうしようこれ。
[00:15:41.440] これどんくらい違うの?これどんくらい違うの?難易度楽チンプレイばっちり冒険バの道があるけどでこれは多分なんかちょっとね聞いたんだよね。なんかあの配信やる前にさ、サブありがとう。ね、このさね、このさ、変な読み上げどうやって消すの?このなんかなんちゃらバイバイ。
[00:16:03.920] これ何これ?なんちラバイバイ?
[00:16:07.480] 8
[00:16:07.639] 割の怒って配信者がイベントだったりとかキーボードとかかっさくってますはにならん。個人
[00:16:16.920] そう、そう。これあの囚人さん言ってくれてたよね。なんか囚人さんが言ってくれてたけどい原の道めちゃくちゃむずいって言ってたねえ。何何何?
[00:16:25.600] 8割のお猫って配信者が
[00:16:27.279] そんなむずいんだ。笑。
[00:16:29.199] 企画だったりイベントだったりとかキーボードのあ、カメラマンになったらしいじゃん、あいつ。
[00:16:33.600] ま、これこないだあったんだけど、こないだ飲み行ったけど、何気に裏でやってるやつはあってるんだけど、じゃあちょっともうばっちり冒険でいいかな?ストンエッジ
[00:16:43.319] ばっちり冒険でいいかな?何がエッチなの?わかんないんだけど。あんで
[00:16:47.199] 8
[00:16:47.360] 割のおでこれ真ん中に何入んの?教えて。
[00:16:50.279] 飲み行ったの?
[00:16:51.240] 飲み行った。飲み行った。いいだろ。
[00:16:54.600] あ、な、ま、そのね、何人かとは合ってるけど、やっぱお猫とハとじちゃんと
[00:17:01.079] 何人かわかんなくなって追しなくなった。チム
[00:17:05.360] 森うがな何人かわかんなくなって。何もう森って何?森、森ゆてかなんかさ、だからあんまり期間飽きすぎてあれだけどさ、森事件があってから俺配信してないんだよね、まだ。
[00:17:22.079] 俺そこも今日語んなきゃいけねえじゃん。色々あったで、あいつと俺
[00:17:26.760] 色々あったねん。
[00:17:28.400] 笑笑
[00:17:29.120] 森俺配信さ
[00:17:32.600] やんなくなってからもう
[00:17:34.520] 事件だったんか
[00:17:35.840] でデ暴走したべ。あいつ色々あったねんな。
[00:17:43.679] 笑笑
[00:17:44.360] 色々あった懐かしいまであるよな。
[00:17:48.840] あ、ガ、ガチっていうか、ま、だからね、もうはい、やってきます。
[00:17:54.280] かったね。
[00:17:54.880] 森来てくんねえかな。なんか別にもうもう何もないねんで。
[00:17:59.000] 聞こえますか?
[00:17:59.840] あ、聞こえます。はい、聞こえます。
[00:18:03.320] 私の声に
[00:18:04.559] コメントしてほしいね。最近見かけない気が。
[00:18:07.799] あ、そうなんだ。なんかちょっとろんな人の配信行ってたの見たけど
[00:18:11.919] 世界を追い尽くそうとし。
[00:18:15.240] これ誰の声やねん?これ。
[00:18:16.559] まずまず名乗れや。お前誰やねん。
[00:18:19.440] 止めることはできないかもしれ。
[00:18:21.520] 俺が止める。てかこも画面戻していいか?見たいでかい画面でこれを
[00:18:28.360] あなたなら
[00:18:30.039] あれかこっちに俺映そうかな。
[00:18:31.400] お願いします。ラダトームの城を目指して。そしてどうか。
[00:18:42.159] まずなのよ。女。
[00:18:43.320] 本当だ。女。女。
[00:18:45.520] この世界を
[00:18:46.960] あの今日最初に言っとくけど、俺別になんか配信
[00:18:51.120] 笑笑
[00:18:52.120] 配信がどうだとかじゃなくて普通にこのゲームやりたくて今日来てるからあの普通に楽しむだけなんで別になんかその変な期待しないでください。変な期待しないで欲しい俺に。
[00:19:04.960] バナナンザは終わらせたん?
[00:19:06.440] 全くええぜ。
[00:19:08.720] 全くバナンザあれ以来
[00:19:10.919] 1回もやってないよ。
[00:19:11.720] これ俺の最後の配信がバナンザだったけど。
[00:19:16.280] 一般参加チマゲーム。笑。
[00:19:18.480] そうだ。一般参加です。もうちょっともう画面戻そう。チャンネルポイントとかどうでもええわ。
[00:19:25.559] たってこと
[00:19:26.799] どうでもええわ。いや、ダらもちょっとやりたかったんだよな。ローラ姫の近りキ戦います。ちょっとダめ出した。もうダめです。隊長。
[00:19:42.320] 中めだ。わしらがやられたら誰が魔物から
[00:19:45.919] 皆を守るのだ。
[00:19:49.039] ペプシじゃねえよ。何だって言いた。
[00:19:53.799] おお
[00:19:56.480] 君は力を貸してくれるのか。
[00:20:00.919] なんかちょわ
[00:20:04.039] セリフ全部読むの。なんか当てれすんのに
[00:20:06.840] ボイス出てるわけないね。
[00:20:09.240] か前はさ、当たり前のようにやってたけどさ、冷静になって考えてごらん。年末に
[00:20:16.039] 1
[00:20:16.159] 人で家でさ、う、やられそうです。隊長とか言ってんだぜ。やべえじゃん。なんか久々にで
[00:20:24.360] はずいわ。なんか変な汗書いてきたわ。
[00:20:28.760] あ、ルラ。満金で行くか。満金で。
[00:20:37.280] 満金で。ありがとう。おかげで命したよ。
[00:20:44.200] 1人で1人こ女かこいつ男かな?1人で
[00:20:47.640] 魔物の群れを倒すなんてた物じゃないね。
[00:20:50.919] いや、それほどでもじゃなくてなぜ1人で
[00:20:54.440] こんな森に旅をしていたのか?
[00:21:02.640] 何?君はロートの血を引いてるだって。
[00:21:08.880] あの伝説の通りで強いわけだもはずいわ。もうなんかも俺もうやめよっかな。やっぱなんかこれ配信でやんの裏でやろっか。これはずい。これ全部読むのこれ。だから俺ようやったら今まで
[00:21:22.640] だよ。つので俺くれよくよくやってたな。これなんかこんななんか
[00:21:29.240] 1
[00:21:29.360] 人でさなんか声使い分けてこれが当たり前なのか。
[00:21:36.799] そして夢の中でラットに行くようにつけられたと。
[00:21:41.960] ちゃまさんだ。お久しぶ。
[00:21:44.440] お散歩。久しぶり。久しぶり。久しぶり。久しぶりにやるわ。普通にゲームやりたくて帰ってきたわ。
[00:21:49.679] うえ。
[00:21:50.480] お、エアブ。エアブどもお疲れ。久しぶりじゃん。元気?バカな。そんな話信じられるか?
[00:21:57.360] 生きとったんかわれ。
[00:21:58.760] 生きとったんか。れ。生きとったぞ。生きとったぞ。このゲームやりたくて帰ってきたわ。よせ。御人に失礼だぞ。
[00:22:07.520] こんばんは。お久しぶり。
[00:22:09.159] おにさん、こんばんは。久しぶり。
[00:22:10.600] 帰ってきた。日本戻って何してたん?日本戻ってま言うてね、そんなにインドもね、あの、なんつうか、
[00:22:18.440] 1ヶ月も行ってないからね。2、3
[00:22:19.840] 週間しか行ってないから。そんな長くなかった。普通に日本帰ってきてな、なんかうん。まあ、なんかうん、なんかね。はい。わしらは思毛につえ使えるこの兵だ。
[00:22:33.400] 助けてもらった俺に街まで案内しよう。
[00:22:37.640] 仕事めでメール一斉に送ったの走ってる?
[00:22:40.679] 夕方5時5時25
[00:22:42.559] 分になってるメール全部返始年明け地獄見ろ。
[00:22:50.039] 大丈夫だったん?
[00:22:51.279] お腹はね、何回か壊した。何回か壊したね。
[00:22:55.440] やっぱね、なんかインド行ったけど飯はね、味はうまいんだけど、やっぱね、体には合わないんだよな。味は普通にうまかったよね。タンドリーチキンがバカうめえ。タンドリーチキンがバカうまくて何回かホテルの近くのインドオリア行ってたんだけど
[00:23:12.960] は美味しいのね。
[00:23:13.840] インドリオリア行って最初そのチキンおいおいありがとう。
[00:23:21.919] ありがとう。
[00:23:24.400] めっちゃサブスクやっぱ半年配信休むとさ、サブスクもらえんだな。送り
[00:23:29.400] ありがとう。また半年休の話。あ、タリーチキンか。タリーチキンの店があってさ、タリーチキンの店行ってたんだけど、
[00:23:43.240] 最初はなんか気い使ってナイフとフォーク出してくれんだけど
[00:23:46.559] 3回目あたりでそれなくなるからな。
[00:23:49.960] 3
[00:23:50.200] 回目あたりでもうお前はインド人だからな。送りました。飯
[00:23:54.760] いやい飯は食えんかったな。久しぶり。
[00:23:58.000] あさんこんばんは。久しぶり。久しぶり。そうだいぶ久しぶりになった。
[00:24:02.120] やたい飯はね、さすがに食えんかった。もうだって匂いがやばくてハエとかやばくてちょっとさすがにね、
[00:24:08.679] あれはちょっとね、食えないわ。ありがとう。サブギフ
[00:24:12.039] 5
[00:24:12.240] 個もめっちゃ今日でめっちゃお金もらってますわ。ありがとうござ
[00:24:17.919] ありがとうございます。
[00:24:18.960] 日本バカ野郎。帰ってきたんだよ、こっちに。こぶり、こんばんは。久しぶり。
[00:24:24.039] 笑笑。
[00:24:25.440] そしてあれが魔の島じゃ。魔物たちを従える伊豆ず豆子と仲現れたま悪魔の化。竜王が住む城だ。久しぶり。なんか久しぶりやな。ドラクエやんの。
[00:24:41.440] 大丈夫。今日の収益調整に間に合う。
[00:24:45.880] 余計なこと言わいいんだ。
[00:24:48.200] 余計なことじゃなくて
[00:24:48.919] わあの発音通じないのめっちゃ笑ってたわ。
[00:24:53.760] あの、笑ね、笑プリーズって言ったらなんかあとか言われてで、なんか普通にあの、普通にウォーターで通じたらしいで、めっちゃなんかインド人ニコニコ水持ってきて笑とかってめっちゃバカにして、あいつほとぶん殴ったやろかなと思っ。え、君のことはわしから王に伝えておこう。是非ラルツ
[00:25:14.559] 16世陛下に会ってみてくれ。
[00:25:16.760] 基本的にイギリス英語がいいよ。笑笑
[00:25:20.440] イギリス英語。
[00:25:21.480] あ、普通のあのあれを気にしないやつね。あ、発音をね。もう、ま、もう、もうインド行くことないんですけど。別にもう行かないからいいんですけど。え、隊長本気なのですか?ロトネンが今も残ってるなんて聞いたことがありません。
[00:25:35.559] インドはイギリス参加だったし。
[00:25:37.559] へえ。真わからん。だがこの少年は魔物と戦う力と人を助ける勇気を持っている。今ラダトームや世界は彼のような若者を必要としてるのだ。
[00:25:51.840] ラン
[00:25:56.240] 、神曲。もっとちょっとゲームをもっと
[00:25:58.159] あげていいか?もっとゲーム音をあげね。
[00:26:00.919] もっとゲーム音をあげようぜ。神局堪能
[00:26:03.320] しようぜ。おっと、まだ名前を聞いてい
[00:26:06.440] なかったな。
[00:26:13.880] え、今名前言ったの俺。なんか無言で
[00:26:18.440] 終わったけど。なんかなんだ今の
[00:26:24.480] 言うてもうこのゲームももう出て2ヶ月
[00:26:26.880] 経ってんだよな。最新ゲームみたいなノり
[00:26:29.720] でやってるけど。
[00:26:37.080] 早く冒険出させてくれよ。
[00:26:41.279] おお
[00:26:41.919] お喋った。
[00:26:43.000] 勇敢なう若者よ。
[00:26:45.440] そなたが来るのを待って。
[00:26:46.840] ちょっと声ちっちゃえかな。
[00:26:48.240] この江隊長から話は聞いたぞ。たった
[00:26:51.919] 1人で魔物を倒し
[00:26:54.080] 喋った。
[00:26:54.640] 兵たちを救ってくれたそうだ。だからもう喉痛いわ。今日もなんかこんなでかい子出してないから
[00:27:02.159] なんかもう喉痛ってきた。
[00:27:03.520] そなたもロトの伝説は聞いたことがあろう。
[00:27:06.640] わしがそのわしじゃい。ロトは
[00:27:11.120] そう
[00:27:11.559] なんか
[00:27:12.640] 幼い子供でも知っている伝説だ。
[00:27:15.960] ロ子は母な将光の玉を授かり
[00:27:20.200] なんかラダムをちょっとなんかしったらずじゃねなんかを封じ込めた
[00:27:24.919] 鈴木服君かと思ったわ。
[00:27:28.039] 鈴木服君かと思った。
[00:27:29.360] なんかのことロトの子孫がいるなど
[00:27:34.279] 初めて聞いた。
[00:27:35.240] なんかなんかなんかしったらずだよな。
[00:27:38.679] 本当に自分が勇者ロの血を引くものだと信じておるのか。
[00:27:46.840] 本当に自分が勇者ロトの血を引くものとい信じて信じてるというかそうなんだよ。この人年取ってしまった。あ、有名な人なの?この人。
[00:27:56.559] おお。
[00:27:58.240] それは頼もしい。しかし
[00:28:01.919] 証拠はあるのか?
[00:28:04.559] 夢の中で不思議な声にそう言われただけな
[00:28:08.640] のであろう。
[00:28:20.080] 素直な青年だな。気に入った。ありがとう
[00:28:23.200] ございます。年上に気に入られるの得意だ
[00:28:25.840] から。
[00:28:26.640] は
[00:28:27.799] 我がラダラダームを
[00:28:29.279] 友達おじさんしかいないんだから俺繋がりが
[00:28:33.120] おじさんしか友達いないんだからさ俺
[00:28:35.240] 勇者ロト不思議な夢の導きを受けて大友したという
[00:28:42.039] 同年代の友達かの秘伝を軽々しく明かしては
[00:28:47.600] 良いのだものが本当にロトの子孫かどうかはまだ分からぬがわし
[00:28:55.519] はかけてみたい。
[00:28:58.880] ちょっと待って。
[00:29:01.120] この世にまだ希望が残っている。
[00:29:03.960] え、なんか名前変えた。ごめん。なんか
[00:29:08.840] あ、どうもこんばんは。レナルにさ、俺何て読んでたっけ?ごめんなごと出てこなかった。
[00:29:21.279] え、なんか決まずなんかごめん。
[00:29:23.159] 雨の誇を知られてみるが良い。
[00:29:28.679] いや、こういうこともあるやん。
[00:29:31.440] こういうこともあるやん。
[00:29:36.600] まままえやんけ。こういうことあるや。
[00:29:42.720] なるちゃん。連ナルさんて呼んでた気がする。
[00:29:45.960] また会お。
[00:29:47.200] 半年。半年の弊害だな、これ。
[00:29:52.399] ま、今日からまたさ、絆深めていけばええやん。今日から絆深めていけばええやん。変なとかに来た。
[00:30:01.240] よみせど、よみせど、よみせど。
[00:30:05.960] でもさ、偉くない俺。
