[00:00:13.910] んで裏地を
[00:04:53.390] 入った減った
[00:04:55.180] 減ったと思うは本当にや本気本気本気本気
[00:04:58.509] 減ったよ
[00:04:59.860] まあをねあの日ず具体名は出さないけどぞ
[00:05:03.280] まあまあな仲良い人でもそちらほらねやめてってくる人もいるし忙しくなっていった人
[00:05:09.040] もいるし
[00:05:10.150] ねえそんなからやっぱさー1年続けてるって凄いことであ
[00:05:15.420] まあそうですね叢書
[00:05:19.170] はい我々ラジオもこれねー
[00:05:21.910] 8回目ですか8解明やお薬やってるな分といいなぁ
[00:05:27.190] なんなんあのその台本も用意せず
[00:05:31.660] でもないもんね迷いですないですね1ミリもないです今日も何も話すなに話すとか何も
[00:05:37.630] 用意しているんですけどそうだね
[00:05:40.700] アートりっちん的には思ってないと言ってくれてますねあとへじゃあね結構いつも見て
[00:05:44.060] 母に作れるんである
[00:05:45.680] まあわかってくれてると言うんス思うんですけどねまあねその twitter とか
[00:05:49.639] でまぁ
[00:05:50.210] をてって哀れなんだねそう俺思うんだよ
[00:05:53.780] 何ツイッターでさあたもうお互いに
[00:05:56.940] 意識してる奴っている者
[00:05:59.880] ああああ彼がこんなから特にいいんですもう
[00:06:03.610] あのリップとかしないし
[00:06:06.729] ねアイシンにも3行かないし見に来ないし何にもないんだけどなんかこいつちょっと
[00:06:13.840] きりなんだよなあっていうのがたバーン
[00:06:16.500] いるじゃんそっちだいたいながら俺の上俺のなんているから被害これまたの勝手な妄想
[00:06:22.200] かもしれないんだけどそれが思ってる人たぶんあっちも
[00:06:26.590] なんかでて俺ほど
[00:06:29.180] がこいつ
[00:06:30.920] 気になるなタブを持ってると思うんだよなるほどわかんないけどあんまりオレガノ
[00:06:35.810] モテねーやつ特有のなんか俺が好きだからこれから見て中に数えている
[00:06:40.700] 恥ずかしいアレみたいな感じになってるけどそうじゃなくてなんかだ
[00:06:43.760] なんかそんな感じすんだよねーなんか
[00:06:47.540] 例えば俺がとは気まぐれでねイイネ4
[00:06:51.479] するじゃん生んだ大雑魚あああああこいつのツイートチョコ何いつも月ツイッター
[00:06:56.280] アルミてキーあるんだよね
[00:06:58.349] こいつヨーヨーいるなぁこいつらみたいな奴にいいね数じゃんだいたいすると
[00:07:04.319] ってくるにょ1か
[00:07:08.900] あーそんな漏油奴ともっと仲良くなりた方がどうすればいいだろね
[00:07:14.270] どうせないかなりあればいいじゃないどういえばいいつでは分かんないもんだ通れそう
[00:07:18.680] いうの
[00:07:19.100] 仲良くなれない肌シップ恥ずかしいリップを送ればいいじゃんおま俺の事好きだろう
[00:07:24.410] って
[00:07:25.460] バーサーカーそれ行け名宿やっちゃいけないんでしょそれじゃあそういうんじゃないす
[00:07:32.180] んじゃねーよそその人が
[00:07:33.979] ぽん酢木なんか
[00:07:36.340] ねカー本10ツイートするじゃんうんその時に嫌でもさーやばかり夜店ランナー
[00:07:43.590] コメントポンッと入れ場合やはかんだけどそれはわかるよ
[00:07:47.870] でもそねもうあのなんぞの便宜上初対面じゃん
[00:07:53.740] 俺はそうなお互いに同じ通勤電車ではいる
[00:07:57.759] いるけどを涙外しってるけど
[00:08:01.440] 声掛け布ってヤバそまえん
[00:08:04.350] やっ箱正解
[00:08:08.700] 意識しているのはいるよね色んな人と食べる前でのは彼らの可能なんですよね
[00:08:13.689] そうなんですよん
[00:08:15.569] ねだからそうなんですよね相手が生放送レナ
[00:08:20.460] 生麩の放送にの時に行くのが一番良いてわかってんだけどさあ
[00:08:24.449] いやー
[00:08:25.340] なかなか妹塚人だら
[00:08:27.940] 俺自分がねどんだけなんていうかとの卵つのかな真剣に向き合ってる訳あってないとか
[00:08:34.990] じゃなくてさまー
[00:08:37.250] 配信してない時って
[00:08:41.340] ほんと俺が配信しているときって手が空いてる時なんだよね
[00:08:45.120] で配信してない時って忙しい時本当に居るその2曲でしか生活してないからさ
[00:08:51.610] なんて言わなそう配信忙しくない時は自分の配信に回したいし
[00:08:56.709] 配信していない時は作業に回したりしながらどうしてもなんかその人の廃止に見に行く
[00:09:02.380] 時間というのはないんだな
[00:09:04.780] 人の愛人に興味ないんですよ
[00:09:07.160] そうだ
[00:09:08.649] んぞそうだねうん楽はない
[00:09:11.709] なんかね何なにはなんか図星突かれたヤーだから絡むなきゃだいたいなって今言ってん
[00:09:17.980] のにそう言ってちょっとはリアーナ
[00:09:19.389] イヤーにゃんかあぁまぁそんなことを言ったじゃんネイチャー京見なきゃいいんだけど
[00:09:25.899] いいなあああ
[00:09:27.939] エレベルなら分からないですねえっなんだよねわからんだろうな
[00:09:33.500] ルーン中毎日似合う人って知り合い気分やそうなんだよ
[00:09:37.100] そうそうそうそう会いたい仕事終わりにコンビニ行くと
[00:09:41.540] ろ本読んでるおっさんとかね
[00:09:44.790] あああん
[00:09:46.630] あっちは完全に知らないだろうけど俺は俺の中ではもう有名人みたいな
[00:09:51.740] i 入る
[00:09:53.320] それ言ったらじゃあ今民の定員なんかさぁ毎回この銘柄やそうそれはあるかへ買いに
[00:10:00.400] くれるそんな感覚で処理があるよね俺もうあのコンビニ店員だったから昔
[00:10:04.660] 僧僧僧タバコで人のこと覚えたし
[00:10:07.720] はいはい
[00:10:08.780] 今日給料日になるとめちゃくちゃエロ本買って午後8時とかね
[00:10:12.310] へろ本の話ばっかりそうですね
[00:10:16.120] いるんだよいたんだよそういうのがいたぬ
[00:10:19.370] [音楽]
[00:10:20.910] 俺ももしかして言われてをもそうは思われたくないね
[00:10:24.120] なんか twitter いっつも生き道だしている底部とかさ
[00:10:27.420] 思われたくないんですけどね何方向に思われたいですけどね
[00:10:30.910] なるほどね負けだね完全に被害妄想ですよねアース以外も損ではあると思うんだけど
[00:10:36.600] うんそうねそれ大丈夫なんじゃないですか
[00:10:40.079] どうかな
[00:10:41.520] まあ自分が思っている以上に俺のことなんでみんな見てないよっていうことでねそれは
[00:10:46.410] あるそれはあるともあの
[00:10:48.150] 気にしすぎなとこあるね俺ってこういうふうに見られてんじゃねーか俺って嫌われてん
[00:10:52.800] じゃねえかとかさ
[00:10:53.910] 自分が想像以上に他人って自分に関心持ってないよね
[00:10:58.550] まあそうなんだけど同社やっぱり人間まあ配信なんかやってる人間なんかみんなそうだ
[00:11:04.310] と思うんだけど
[00:11:05.360] 注目されたい訳じゃ
[00:11:07.270] まあだから配信やってるそうねうん今日
[00:11:10.430] んですよね
[00:11:11.660] なんねぇこれ
[00:11:13.540] まあない部分もいいんだかななんか言って花って感じなんだけど
[00:11:19.089] ここでデーそう俺がねドアの言いたいことにつながるんだけど
[00:11:24.100] はい
[00:11:25.150] なぜばもまあもう目毎回愛人に来てくれてる人は知ってると思うけど
[00:11:29.800] db ゲームズがこのたび奪われ変わりますと
[00:11:33.700] ない生まれ変わる悪いへ
[00:11:36.790] わー
[00:11:39.600] 生まれがありますとまずやブーブーが逆なんだけどた間違えちゃった
[00:11:44.100] いやー生まれ変わるんですよね
[00:11:47.240] めっちゃを洗われてるんですやもういい
[00:11:50.330] そうそうそうね
[00:11:52.460] なんてのはなぁあのまあ
[00:11:55.610] 愛しで簡単なところで言えば配信背景待機ラメとかねそういうみてくれよ見てくれね
[00:12:02.930] 外見はもちろん全部ガラッと変わるし統一感を立てるし
[00:12:07.250] ん
[00:12:07.740] そして dba むすいう名前も本旅ね変わりましてもうちゃま一本でいきますとちゃ
[00:12:12.540] まーねじゃあまああの確定なんだもうそれでいいかっ
[00:12:15.480] メルヘンで売れできますあー本で4本でぞ俺はそれを見てくれの覇者そこまでねみて
[00:12:21.090] くればもちろん大事ですからねみてくればまあこいつかしっかり持たせてね担い
[00:12:25.650] 作り込んでがやりますはいそこ
[00:12:27.730] で中身の話になりますね中に七海重要じゃねこれらしか74ですけどそうですねあの
[00:12:35.200] まあねあのそうですけどねあのだからいろんな人と仲良くなりたいなとなる思うんです
[00:12:40.990] 言ってましたね
[00:12:41.830] なのでまだね色んなコラボとかねうんなんかさ
[00:12:46.810] ちょっと前にさアマン月とかさんじゃないでも10人とかでさ
[00:12:52.279] 外だローンとまたガンガンやっていきたいなと思っとるんですよ僕を揉んで取るあの大
[00:12:58.670] トルボクもんですよあのねあの
[00:13:01.320] なんとかな
[00:13:03.529] そのそのそれをねやっちゃ頃がねぇ
[00:13:07.810] 一番遠くさを見せたあっはぁそうなんですよね
[00:13:14.140] それはのどっちあんなに合う
[00:13:17.750] みんなでやりたいからえそうやるのか
[00:13:22.370] 数字が見てたらやりたいのかどっちもえっはもうイヤーよやっぱからね所望ねまた一緒
[00:13:37.279] に何かやりましょうね
[00:13:39.440] やりましょうね word 人るをやり10大予想
[00:13:43.250] スパーパッドジーノやりたくれワード神農
[00:13:46.550] カレーとかね
[00:13:49.000] たらまたねあのみんなでなんかゲームやりましょうよあの頃は確かに大変だったんで
[00:13:53.860] あの
[00:13:54.910] 10人5様止めて住人にスケジュール聞いてさあ
[00:13:58.449] 住人にさあの
[00:14:00.579] で中そのサムネ作ってあのーなんだっけあれあの説明部作ってと火災
[00:14:07.779] うん
[00:14:08.240] 脱げ代などで誰やってる時が俺配信者してんなー可でしたかそれにまだ戻りたいなと
[00:14:13.850] 7あ心機一転ねでそうでこれはまたねだいぶ先の話になるんだけど
[00:14:20.700] その後ちょっとまだ音でかいことをしたいなと思うっている僕がいるんですね
[00:14:24.780] なろうねぇなんでかな
[00:14:28.000] ナンデスのかなぁ
[00:14:29.939] そのなんて言ったっけあれ売りエイター集団じゃないけど
[00:14:34.709] はいなんかそういうのを集めたいなーっていう自分の身近な配信者同士でね
[00:14:39.929] 自分夏あふれる能力をあの
[00:14:43.199] 歓迎し合える場所じゃないけどう
[00:14:46.019] 俺は動画が作れるし動画ねこういう配信背景とか作ってそれをみんなに還元できる
[00:14:51.749] a かける奴は a それあのね例えばそこのさあ何か
[00:14:56.040] discord なぁと言ってなんか誰かツアーの次のえっと
[00:15:00.350] 配信の企画のさあの写メの絵書いてくんないとかそういうところパネルにお互いに
[00:15:07.710] 提供者いるバーを作りたいなっていうのはなるほどねぼく思うんですよねあの配信やっ
[00:15:12.210] てる奴ってさぁみんな20そこそこ
[00:15:14.730] とかさ言ったでしょうんそこへそんくらい入ってる大人たちがさ
[00:15:20.490] ねっ大人たちが10人も集まればデカイことできると思うんだよね
[00:15:25.170] 真面目にさやれれば卍
[00:15:27.699] 夢にやればいいどうしても僕ら the rival 視点がちんなり
[00:15:31.959] なるっていうかさなあそう会津の登録者が1人伸びたからあーだこーだーね足引っ張っ
[00:15:38.410] て蔑みあってねえそうじゃにょ協力してノーバせていけるようなてぃ
[00:15:47.690] が多くねあのバカにされるのを承知で考えているんですよね
[00:15:51.900] いいんじゃないするんでしょ終わったからそのねあのちょっと
[00:15:56.329] 皆さんにも声をかけるかもしれないんですけど願いしますてことでね
[00:16:00.200] やりましょう
[00:16:02.180] 3人こともありもさん俺登録者9人たいいでを埋めるとですおめでとうおめでとう
[00:16:07.279] ございまーすねー
[00:16:08.660] 登録102すごいことだと思いませんか
[00:16:12.180] 僕の地元の小学校の全校生徒くらいで校長先生マジで美人小校長を挙げた
[00:16:21.300] 転校生とお値打ちの地元小学校100人ぐらい居なかったがまぁ入魂
[00:16:26.680] 俺あじゃあ俺が言った言葉もうちょっと持っていたけどその場所によってはエアー
[00:16:31.060] アーマーなる地元の
[00:16:33.270] そもそもその競争相手目線で見てる後ろあるな人間なんてさ
[00:16:37.480] どうしてもさあの嫉妬深い生き物じゃないですか
[00:16:41.260] まぁまぁまぁ水ごとに感謝もそうそうそう
[00:16:45.190] 年か俺よりあいつのほうがいい出来てる俺よりあいつのショーところがの他のヴィラ
[00:16:51.279] う
[00:16:52.690] 記事とねあの
[00:16:55.640] ハンカチーフ尾根幹デー
[00:16:58.230] 悔しいなぁと思う沼ハンカチに振って言ったら
[00:17:02.100] ハンドれハンカチーフだろまあハンカチと安価中は違うだろう
[00:17:06.420] イヤホン徒であるハンカチーフハンカチーフの根間でマグラーグラス日々そんなのを
[00:17:10.980] 卒業しませんかと
[00:17:13.360] ならに手を取り合ってね
[00:17:16.130] なお互いにを耐えられるを占断してましてそうそうそうそう予想
[00:17:21.100] そういうことです反基地でも入れ反基地反基地を彼の人生もそんなにやばい設置
[00:17:26.890] 7ああ
[00:17:28.480] そうそうそうだからそのなんていうかなそういう能力をね
[00:17:33.460] a 半減できるパただ僕であればなんかその
[00:17:38.710] まあ企画打ったときのさ
[00:17:40.930] オープニングの動画度か作ったりあと配信画面作ったりね
[00:17:47.180] 雨がた例えば10人でやるって言ったら漫画つの廃止背景を動く背景をつくって皆さん
[00:17:53.030] にそれを共有して同じ配信画面でやってもらうといかにもコラボ感があっていいでしょ
[00:17:59.510] なるほどうーん
[00:18:00.900] そう言うとかねあと a かける人にいがいればその
[00:18:05.680] コラボん時のサムネは任せたとか
[00:18:09.500] 7名ができた後は何だろうねぇ
[00:18:12.750] パパッと編集できる人がいるのであればそれの切り抜きのデータ渡してショート動画を
[00:18:17.070] 挙げてもらうとかねうんまぁどこであげるかってのはまぁちょっとまああるになっ
[00:18:21.360] ちゃうと思うんだけどまぁどこで上げてかれたとしてもまあさ
[00:18:24.060] その戦前にはなるからこういうことをやってますよ
[00:18:27.510] そうだねこの人は作ってくれてえっ自分があげましたみたいさんもそう
[00:18:33.770] ああ
[00:18:35.360] なんだよね
[00:18:36.970] 一人でやるよりはずっといいわけよ
[00:18:39.879] そうだねうん
[00:18:41.770] またはいったようななんかちょっとそんな版つきたいなっていうのはまあまあ構想段階
[00:18:46.900] ではあるけどさ
[00:18:48.370] まあまあそうねぇ具体的に何だねぇ
[00:18:52.860] そんな構想練っていければいいねそういう話は多そう
[00:18:58.169] 4音住宅もあるだろうからまぁねぇ
[00:19:01.630] そうそうそう the 様もなんていう花その能力
[00:19:06.600] なんか提供できる力を持った人たちが集まってその覚えた家の中だけで共有しちゃうん
[00:19:11.220] では今朝は外にファ
[00:19:13.040] 違う配信した子にも声をかけてそのこういうのを作って欲しいしてみませんか
[00:19:17.510] とかねっあ描けます俺たちだった a かけます頭が作れます
[00:19:20.840] なんかそれがありますよみたいな感じでは大きくしていけたらいいな
[00:19:25.160] みたいな音止めんなら案外なりに1るんですよ
[00:19:30.390] そこでケンカしないでほしいけどねうーんあそうなんだよねそうなんですよねそうなん
[00:19:36.390] ですよね
[00:19:36.990] どこの世界っても者のやっぱりますかーーーん
[00:19:40.800] まぁねぇねぇ
[00:19:42.360] まぁそこはまぁそんなの見てたら何もできないですね
[00:19:47.640] そうなんだけどねまあそれよりはまずそれよりよってかそれに行くマネーにますね
[00:19:53.240] はーいあのー僕が人を集められるある程度さ人を集められるようにならなきゃいけない
[00:19:58.560] とにょのための3ターンみてくれマー坊って youtube なんて目でみるもんだ
[00:20:04.860] からさ
[00:20:05.929] 今山最初で
[00:20:08.450] あのやっぱねチャンネルの香リティ度も見られるし
[00:20:11.780] そういうのはまず整えている段階なんですよ今うーん
[00:20:16.540] そうそうそう
[00:20:17.789] ねえまあ配信のやり方も
[00:20:21.149] まぁまぁまぁまぁまぁ何ある帰るの早い真のその夏のあの日割は顔のユリン実で月下
[00:20:29.369] 月水木へ
[00:20:30.629] 通り市で適当にあるみたいな感じよな
[00:20:33.190] ちゃんと週に1回月曜日ね配信予定の画像をスケジュール表だしますとなろうの色で
[00:20:41.620] ストーリー系のやつ自分がやりたいのをやるみたいな感じでガッツリあったんだけど
[00:20:45.490] うん
[00:20:46.380] 例えばそんなず月水金のうちに
[00:20:49.620] うーん
[00:20:50.640] 夏の花22個ぐらいゲームやりたいと
[00:20:54.269] そのずっと続けてやらなくてもいいんじゃないかなその方がいろんな人が見に来て
[00:20:58.619] くれるんじゃないか例えば
[00:20:59.789] で月曜日ドラクやって早う日は何なに行って
[00:21:04.220] 消えるがんだけど金曜日は会参加型でペックスやります masa
[00:21:10.070] なるほどああ
[00:21:11.490] いろんなゲーム溢れて行っていろんな人に見てきてほしいなと
[00:21:15.240] 参加型もやれましょうあるみんな場所
[00:21:20.309] さんギャランだもやりましょうそういやあ
[00:21:24.440] そうですか方なんですよね人は詰めなきゃ話になんないんだよ
[00:21:29.149] アンダーであるんだろうなんだよ偉そうなも口叩くのもさあ
[00:21:33.080] 台に声の聞こえない部屋にこもってえらそうなことベラベラいうより
[00:21:38.300] 1人届くところで言わなきゃ意味ないんだよ
[00:21:41.610] でをマンスいい
[00:21:44.010] つまりはなどういうことかなあっはいあそういう事なんだけど
[00:21:48.720] ああ
[00:21:50.140] 組合組合ですよそれ会社経営みたいなもんだよなんだから
[00:21:53.990] 担当部署が一定
[00:21:55.850] お互いにそうの相乗効果をアレしていけるみたいな
[00:21:59.870] まあ草案ん
[00:22:02.150] そういうのがあればやりやすいんじゃないかなと思うんですよね今のなんか
[00:22:06.590] youtube 見てはまあ俺の周りの人間だけかもしれないけど
[00:22:10.160] なんつーかみんな結構
[00:22:13.890] あんまりいさーまーコラボやってるか俺が誘われないだけか
[00:22:17.400] あっ墓で言うわからないよなんでもいいんだけどこれはいいんだけどなんか前ほど
[00:22:23.990] ジャンプとかなぁ
[00:22:26.090] キャッキャ感がなくなったっていうか
[00:22:28.530] 姉御キャラなんかあのフレッシュカーヌーンフレッシュパドドゥだーっなんかアーマー
[00:22:41.790] はさぁみんなてぃよし俺たちで折れちゃっなんかその界隈
[00:22:48.550] のなんていうのが
[00:22:51.340] 暖機掴みだがあったんで前はああ
[00:22:54.500] 7なんかさあ漫画二やるぞつってもさ自ずとやも尾根やろうぜやろうぜ俺達の俺たち
[00:23:01.670] 世代がみたいな感じになってるけどもうなんつーかもうざまぁみんな仲良くなかなり
[00:23:07.220] 仲良くなってもう身内感が凄いれているっていうかまぁそれはいいことだと思うんだ
[00:23:11.780] まぁねぇ異なる側面
[00:23:14.520] そこで完結しちゃうんだよねー
[00:23:17.710] なんというか
[00:23:19.820] 視聴者ももう
[00:23:22.330] か祝いごとに分かれちゃうていく早い
[00:23:25.110] それをどうにか打破したいなっていうのはある
[00:23:28.260] それをもっとこううんパティマース同じ ki 大きく見ぬふりで同じグループである
[00:23:45.100] んだけどなんていうかなあっを誓い c ところにいうだ
[00:23:49.080] 俺そのまぁそこで閉鎖感があるとどうしても視聴者もその周りから来ないんだね他の其
[00:23:55.710] 以
[00:23:56.220] 白いところからさ
[00:23:59.280] 何をお互いの名を台座時か来ないとか
[00:24:05.270] わかんないけどは zune まあ完全にそうなってるわけじゃないんだけどなんて
[00:24:09.410] いうかそうひとくくりにされるのもあるよねまあそうだからもっといろんな
[00:24:15.600] ことでいいんじゃないかなと思うんだよね
[00:24:17.740] なろうねそれの中具体的な
[00:24:21.549] 谷原もうガンガン声かべくしかないかなって思って
[00:24:25.720] それこそ全部生まれ変わってみてくれも整えてバーってやってますまっ弄ったらぬふり
[00:24:32.320] だけどらを知ってくれませんかぁーみたいなソロ外にちょっとに行きって声かけそう
[00:24:41.539] をそうだね day
[00:24:43.130] 今やるじゃない分
[00:24:45.900] で
[00:24:46.690] 結局それを続けるとまぁじゃあもうまたミンチ神田トレを続けていくしかないよね
[00:24:53.380] ダウンそうだよねそれからねそうそれをもうずっと続けていくしかないと結局身内はが
[00:24:58.630] 広がるだけの話でしょ
[00:25:00.430] 要は長い目で考え全部身内になる理由
[00:25:03.880] つながっている園生あれを披露
[00:25:06.710] 出ていかなきゃなっていう
[00:25:08.450] なるほどホーム世界が身内のちゃまですって言っ
[00:25:15.500] はいはいねはいえてよくわかんないんだけど
[00:25:19.980] 何ヘアのんんはからさなんつーとかなぁ
[00:25:24.909] 何すんだなぁ何よとしたからやったよ意味わかんないことがれたかな
[00:25:29.200] あっはぁえっ
[00:25:32.020] そういうことだろうまあまあそういうことで10ことってそういうこと大かな
[00:25:37.250] うんんねもうみんなもあんまり交友関係を広げようっていう感じもないじゃないも
[00:25:43.720] なんかもう今
[00:25:45.600] で何長く出せ
[00:25:48.340] 配信しているところあるじゃん俺もそ俺もダメだなんてだから思った
[00:25:53.409] マインドるどらーゲートがやってマインちゃってさ
[00:25:56.529] なんとなく惰性でやってるけどなんかこれじゃだめかな
[00:25:59.710] だらだらやってるだけじゃダメなんだなって思って
[00:26:03.269] だろうねもうちょっと戦略的に
[00:26:06.210] って言ったら格好をつけてるけどうんはまあまあ
[00:26:10.810] [音楽]
[00:26:12.240] まぁちょっともうちょっといっ
[00:26:14.010] 玉やって豪華な耳市議会体内でも俺が言ってる自分の右がすごいたから
[00:26:19.500] あぁそうだらだらしすぎだなと惰性でとりあえずつけてさなんかペラペラ喋ってファ
[00:26:26.820] 寝るだけとんだだめだなーって思ってさもちろんそれもダイスっ
[00:26:30.930] 楽しい
[00:26:32.290] なんである側面もあるじゃん
[00:26:35.020] その面をこれから一切なくしますこれはもう店皿
[00:26:38.380] この調子ではしゃべりませんって言ってるんじゃなくてそれももちろんあるし
[00:26:41.740] 人間的な部分は俺は多分なすぐに彼は得られないと思うから
[00:26:45.010] はいじゃあベリーがたねトークスキルとかそういうのは急に変え路線変わるもんじゃ
[00:26:49.390] ないからそこ玲音そんなに変わらないなあの蓋を開けてみればもちろん俺なんだけど
[00:26:55.010] ます
[00:26:55.440] ただもうちょっと色んなことをやれるよっていうところを見てないなと思うんですよ
[00:26:59.879] 味の神くんを使う例今後に期待ではダラダラ苦しそうなんだからとだろう俺はいくら
[00:27:04.559] 頑張っても多分
[00:27:06.040] 頑張りすぎると思うわもういい狙っちゃう人じゃんだからね
[00:27:10.300] その誰かどっかでもうみたいなだ恐れ配信枠でてるけどね
[00:27:15.869] まあ生きにくいっていうねそうなんですよ
[00:27:19.029] まず方を見てもらえないと面白さは分かってもらえそうなんですね
[00:27:22.239] ボンボン面白いですもう僕は面白いですから
[00:27:40.010] [笑い]
[00:27:44.990] ブーブー言っ
[00:27:48.490] いろんな人意味当然だな
[00:27:51.380] なるほどそうそうそうそうそうまあながら
[00:27:55.220] まあ難しいと思うけどねどうなるかわかんないけど
[00:27:58.840] まあまあやらないそうやらないよりはやらなきゃ何もなのでかやんないと何もわかん
[00:28:04.270] ないけどそう
[00:28:05.830] スーダラ俺が船なんか creator 土地集めてあれしちゃうよみたいな事言って
[00:28:11.140] もバカに触れて競っているんだよ
[00:28:13.600] うん全然とはまあまあ100人はいると思う web 歴史スってらんないなと思って
[00:28:19.110] 読解俺なんか俺なんかなー
[00:28:21.920] 俺のいつものキャラこんなんじゃ
[00:28:24.290] そうだねうでーぷ戦前ぐでたまじゃん俺って
[00:28:28.610] まあ
[00:28:29.860] グレ魂のがうんいい案
[00:28:32.920] ウエブイッターのギャラもないかさ
[00:28:35.430] だーらーとしているけどそれからパリッとさ
[00:28:39.360] パリッとこうちょっと真面目にさあね企画のツイートとかだったら1週間前に告知し
[00:28:47.400] たりとかしたいな
[00:28:48.929] しようと思っているわけですよそれを形の時にしようって思っているそうなったときに
[00:28:54.390] 絶対いい
[00:28:55.770] なんかそのまあ
[00:28:58.279] なんつーのかなアレじゃんその
[00:29:00.850] どのや普及に急にこいつ頑張っちゃって年チャーミだけで笑う奴出ていると思うんだよ
[00:29:07.630] アーマー
[00:29:09.280] まあ2笑わすとケットお前は誰はだろうかな
[00:29:14.110] 矢羽最大の敵は身内なんですよ
[00:29:18.370] ああああっ
[00:29:20.060] なってもいいと笑いたい奴は笑えよと
[00:29:23.570] なぁありがとうございますあぁありがとう木田セレド
[00:29:27.680] ねーからあのーなんてよなぁその
[00:29:31.670] いっすよ笑ってくださいどんどんてやんぜ
[00:29:34.400] そうですねあのん
