[00:00:07.480] あれこれ行ってる
[00:03:44.480] YouTubeでねあのあのゲーム実況
[00:03:47.120] やってたんだけどこの1ヶ月はずっと
[00:03:50.760] ゲーム配信ってのを始めて生ライブああ
[00:03:54.840] やってましたねいうの始めてそうあの編集
[00:03:57.720] してあげるっていうのをあんましなくなっ
[00:04:00.400] たんだよねこの1ヶ月でその変化というか
[00:04:02.959] はい知てますうんなんか着々ま見に来て
[00:04:05.640] くれてたけどじュさんもさうんそうそう
[00:04:07.920] そんな感じでさこうなんていうの今まで
[00:04:09.799] 撮ったものを編集してあげるっていう感じ
[00:04:12.280] でやってたんだけどやっぱさ生配信になる
[00:04:15.120] とさそのまぶっちゃけ1人で収録してる時
[00:04:19.759] ね生配信じゃなくて収録であげる時はあの
[00:04:23.680] なんて言うのかなま喋んなくてもいい
[00:04:26.479] ところてあるじゃんやっぱりまあまあ
[00:04:29.880] したい時とかねとかあとまその戻し作業と
[00:04:32.800] かレベル上げとかしてる時にはいはいはい
[00:04:34.880] はいまいいかここはカットできるからな
[00:04:36.960] みたいなそうですねあるんだけど生配信は
[00:04:39.720] そうはいかなくてさ常にやっぱ喋って
[00:04:42.039] なきゃなんないだからこうトク力っていう
[00:04:44.560] のもまなんつうのかな多少は前回ラジオ
[00:04:48.280] やった時よりはどうかな上がってるのかな
[00:04:50.840] なんて思いつつ今日このラジオに望んでる
[00:04:52.960] わけですけどもはいいいと思い
[00:04:55.759] ますあいいと思いますかはいえじゃじさん
[00:04:59.360] は何してた
[00:05:01.039] んあのラジオポッドキャスト用のはいはい
[00:05:05.160] はいえっと音声の方かうんうんうんあれを
[00:05:11.039] ま色々処理あれで処理してましたなんか
[00:05:14.400] やってくれたねそっち側にあのそっち側に
[00:05:17.600] あ転んでましたそういうことねまあまあ
[00:05:20.240] そう確かに俺もそのまこのねグータラジオ
[00:05:23.199] というの第2回なんだけど第1回目の録画
[00:05:26.280] 録画じゃないその生放送したものの音声を
[00:05:29.520] え編集してポッドキャストにてねえなん
[00:05:33.160] だっけあのSpotifyやら
[00:05:36.560] Googleポッドキャストやら
[00:05:39.479] Appleなんなんちゃらやらねなんで
[00:05:42.440] あのそれにあのまあげてるのでね是非あの
[00:05:45.600] 皆さんもそちらの方もま聞いてくれたらな
[00:05:47.759] なんと思うんだけどあれ編集頑張ってたね
[00:05:50.639] あ頑張ってたうんなんか思ったよりラジ
[00:05:54.759] オっぽかったわあ本当にあのねなんか
[00:06:00.360] なんつうのあのまこの生ライブだからさ
[00:06:04.280] こっち側はどうしてもなんていうの
[00:06:06.000] あんまりなんていうのかなまぐるところも
[00:06:10.160] なきにしもあらずじゃないまあまあそう
[00:06:11.960] ですよねそれをうまいことこうなんかね
[00:06:16.199] 言葉に詰まったところをこうカットして
[00:06:18.599] たりそうそうそうね話ことになんていうか
[00:06:21.919] アイキャッチというかそんなのが入って
[00:06:24.400] たりなんかちょっとま聞きやすいような
[00:06:27.840] 内容もまあなんつうんだろうこっちよりは
[00:06:31.919] ちょっと分かりやすいみたいなねま俺らが
[00:06:34.880] 頑張ってね生放送でもこうもっとレベル
[00:06:37.479] あげろよっていう話なんだけどもまそんな
[00:06:40.400] 感じ1人であの1人でナレーション入れ
[00:06:43.199] たりとかうんうん頑張ってたよねあとは
[00:06:47.240] そっかま音楽は元々あったのを使ったりと
[00:06:51.039] かうんうんま色々表にあげるものって問題
[00:06:56.319] あるやつはあるじゃないですか
[00:06:58.400] うんあるからまそういうところをちょっと
[00:07:01.879] 考慮しながら意外と考えてたんだ考え
[00:07:05.840] ながらそっちあれであの前回の休憩入った
[00:07:11.360] 前うん休憩入ったじゃない途中うんうん
[00:07:15.199] うん3時間か4時間ぐらいやった後にはい
[00:07:18.560] はい
[00:07:19.319] はいそこまでだからねまだ上がりきって
[00:07:22.479] ないもんね前回の分上がりきて上がりきて
[00:07:24.759] ないいやこれがさもうこれ前回の放送聞い
[00:07:27.319] てくれた人もいるかわかんないんだけどま
[00:07:29.840] あの僕的に前回のラジオは最後の方が
[00:07:33.319] めちゃくちゃ面白かったの
[00:07:35.120] ようん是非ねあのそれが上がりしあのま
[00:07:39.199] この後ねじさんが頑張って編集するのか
[00:07:41.800] カットするのかまじさんに任せるんだけど
[00:07:44.879] まそれが上がったら聞いてほしいねあれ
[00:07:46.599] 面白い本当
[00:07:48.440] にうんえじさんうんあのジャマの方のね
[00:07:53.720] あのそっちのなんだっけYouTubeの
[00:07:56.680] 方でもねうん全全編まあまあそうそうそう
[00:08:00.240] あのノーカットのあアーカイブが上がって
[00:08:03.199] ますのでまもう死ぬほど暇な方は聞いてみ
[00:08:05.800] てください5時間6時間弱あるので6時間
[00:08:08.960] すね
[00:08:09.879] あそうそうそうそうえ何体の調子はこんな
[00:08:15.800] こといきなりいきなり聞くもんじゃないか
[00:08:19.120] もしんないけど体の調子はまあどうよここ
[00:08:23.520] 1ヶ月でちょっとま体調ある時に2回
[00:08:26.840] ぐらいあったかないマジでうん体悪かった
[00:08:30.680] のあの不正脈が出ちゃってマジじゃんそれ
[00:08:35.120] ガチのやつじゃんガチのやつですあの安静
[00:08:40.000] にしてなきゃいけないやつか入院とかじゃ
[00:08:42.800] なくてうんまあまあまあねうん安全してろ
[00:08:46.080] ていうやつね
[00:08:48.519] へえそうそうそうでその原因がうん
[00:08:52.760] ちゃんと自分でやっぱ判明したいじゃん
[00:08:55.880] 判明したいっておかしいけどま分かりたい
[00:08:58.360] よね分かりたいですうんなんだろうなと
[00:09:01.440] 思ったらま飯食ってない
[00:09:05.440] ええあとま寝不足もうんまあるんだけど
[00:09:10.680] ええなんかさそんなこと言われたらさ編集
[00:09:13.640] 任せっきりにしてる俺が悪もじゃん
[00:09:15.959] いやいや悪いいんだよ寝ながらやって
[00:09:19.640] ください寝ながらやるのは無理でしょ寝
[00:09:22.720] ながらやるっていうかその無理せずやって
[00:09:25.560] よ無理あ無理せずやってるよもちろんいや
[00:09:27.800] 無理してるから脈出たでしょ今さ楽しい
[00:09:31.040] から無理しちゃうっていうことも世の中に
[00:09:34.200] はあると思うんですよねいやそれで倒れて
[00:09:36.640] も俺のせいにしないでねしないよ絶対する
[00:09:39.320] から違う世間がそうする世間がだからだ
[00:09:43.399] から言ってんじゃんチャマ戦えるた方が
[00:09:45.560] いいてなんでだこんな全頭な人間がなんで
[00:09:49.440] 戦れなきゃいけねえんだよいやいや
[00:09:51.279] いやいやあの口も悪い
[00:09:55.120] し生配信の時の俺の口の悪さやばいよな
[00:09:59.600] やばいあねやば分かるわかるすいやだ違う
[00:10:02.839] 違うなこれはねちょっと理由があってうん
[00:10:06.160] あの俺生配信でさま色々ゲームやってる
[00:10:10.200] じゃないなんでねあんなにこう口が悪く
[00:10:15.279] なっちゃうかって言う
[00:10:17.240] とあの僕まやっぱさこうゲーム配信とかさ
[00:10:22.399] ゲーム実況者にやりたいなと思った
[00:10:25.279] きっかけてやっぱあるじゃん誰でもあ誰で
[00:10:28.160] もありますねやっぱりさ好きなゲーム実況
[00:10:30.360] 者がいてうん面白そうだなやってみたいな
[00:10:33.680] みたいなうん感じでやるじゃんで俺がね
[00:10:36.440] うん好きなもう崇拝してるレベルで好きな
[00:10:39.360] 実況者というか配信者がいるんだけど誰
[00:10:42.079] うんこ
[00:10:43.079] ちゃん別に名前出そうとしてなかったのに
[00:10:45.760] お前はさままままそうそうなんねその人が
[00:10:49.079] もう本お前さ言うたな今なうんまいうん
[00:10:52.639] まあまあまねあのそれが好きなの好きなの
[00:10:56.360] ようんうんだから要はさあのあのなんて
[00:10:59.440] 言うの語学と一緒でうん俺たちがさ日本語
[00:11:03.959] をこうやってマスターしてるのってうん
[00:11:06.959] ちっちゃい頃からね親がさそういうね日本
[00:11:10.920] 語教えてくれた周りが日本まそれを見て
[00:11:13.920] 育ってきたから
[00:11:15.279] じゃんそうだねうんだそれと一緒であの俺
[00:11:18.560] も実況このゲーム配信実況ってものを
[00:11:21.680] 初めて知ったね時はいにもうそのうんこ
[00:11:25.839] ちゃんてのがいてはい
[00:11:27.959] はいからそういうもんだと思ってるわけ
[00:11:31.519] 名前出したじゃ今自分でもういいもういい
[00:11:34.160] いいどうでもいいどうでもいいんだけど
[00:11:36.639] なるほどそうそうそうだからもうそういう
[00:11:38.440] 風に育ってしまうわけようんうんあの親の
[00:11:42.240] 背中を見て育つじゃないですけどもはい
[00:11:44.480] はいはいだからもうゲームやってるともう
[00:11:48.200] 口も悪くなっちゃうしこれね意識して寄せ
[00:11:51.480] てるとかじゃないんだよ本当になんかなっ
[00:11:53.560] ちゃうああいう風にあれ本当すごいよね
[00:11:57.959] うんだからねまで多分みんなそうだと思う
[00:12:01.920] んだよねあの意識しないでうんやってる人
[00:12:07.880] だと
[00:12:09.000] うんいや絶対さ配信とかじゃなくてさうん
[00:12:13.519] 普通に家でゲーム普通にやってんじゃん
[00:12:16.440] うん時ってああいう風になってると思うの
[00:12:20.279] だどうだあんなに喋るかでもいやいや喋ん
[00:12:24.160] ないけどそのうにゃとかさうんだとかって
[00:12:28.120] いうのは言うよねそんくらいはねうん言う
[00:12:31.600] と思うんだけどうんだ俺は違う俺もその
[00:12:34.560] その人もあのまありのままじゃないけどさ
[00:12:38.880] もう魂の叫びなわけそういう悪口も何でも
[00:12:43.279] はいはいはいそれがリアルなのリアルに
[00:12:45.600] リアルさに繋がってる俺はだからありの
[00:12:47.760] ままの俺
[00:12:48.839] を嘘つきたくないわけ俺はみんなに見て
[00:12:52.920] くれてる人にこれはこういう人間ですよね
[00:12:56.320] そうそうそうそうあのあれそれねあの作っ
[00:12:59.120] てさもうめちゃくちゃ丁寧にさあDB
[00:13:01.560] ゲームズのチマと申しますみたいな
[00:13:04.680] あのチャンネル登録よろしくお願いいたし
[00:13:07.560] ますみたいなうんうんうん今日やらせて
[00:13:10.480] いただくやらせていただくゲームはみたい
[00:13:12.560] なはいはいはいうんそういうのやってても
[00:13:15.519] いずれボロ出るわけよま出るよねこれさ
[00:13:19.279] ヤンキー理論と一緒であのね普段
[00:13:22.800] めちゃくちゃいい子で超優等生メガネして
[00:13:26.120] 単発ではい
[00:13:29.279] あのね道端に1個ポゴミ捨てをポイ捨てし
[00:13:33.680] たらめちゃくちゃイメージ悪くなるでしょ
[00:13:37.320] そうだねでさヤンキーめちゃくちゃね
[00:13:40.040] いっつもね
[00:13:42.000] あのめちゃくちゃ
[00:13:44.000] そのなんていうの喧嘩とかしてるヤンキー
[00:13:47.000] 悪悪よめちゃくちゃ悪がね雨の日にさ傘も
[00:13:51.959] 刺さずにさあの自分の学にさ捨ててる猫
[00:13:55.720] 抱えてたらさそれだけでめちゃくちゃさ
[00:13:58.880] 好感度上がるじゃん上がるね要はそれと
[00:14:01.240] 一緒
[00:14:02.519] よヤンキー猫うんうん拾うですね理論そう
[00:14:08.600] そうそうそギャップ
[00:14:10.959] ギャップあ猫さん
[00:14:13.800] こんばんはあはい
[00:14:17.759] こんばんは言わんとすることは分か
[00:14:19.759] るってさやっぱそういうことだよねそう
[00:14:21.959] そうそうだからだから俺はもう普段から
[00:14:24.839] そのなんて言うの別にキャラもなんての
[00:14:29.079] あのなんて言うのかな聞かざらない俺
[00:14:32.199] みたい
[00:14:33.440] な
[00:14:35.040] え聞かざらないそうそうそうそうあのら
[00:14:39.040] ざらないねうんだから俺は別に別に俺の
[00:14:41.839] この配信を見てさまたねあんまりなんての
[00:14:45.519] うわこいつの口悪いなとかさ思う人絶対
[00:14:49.160] いると思うのもう俺も思ってるもんだっ
[00:14:52.519] てまあまあねあなたはリアルの俺も知っ
[00:14:55.240] てるから余計そうだろうけどまあまあまで
[00:14:57.880] もまそこねあのそれでもまおもしれえじゃ
[00:15:01.279] んって言ってくれる人と俺は仲良くなり
[00:15:02.959] たい
[00:15:05.279] うんそうなうんそうだからあの人間さこう
[00:15:10.839] 発砲美人って言葉があるでしょはい発砲
[00:15:13.720] 美人ま誰にでもいい顔するみたいな意味
[00:15:15.720] じゃんうんまそういう意味があるねうんで
[00:15:18.600] もさそれって俺不可能だと思う
[00:15:20.920] のなぜにだってさ人間がねこうじゃ周りに
[00:15:24.759] 八方に8人周りに人がいるとするでしょで
[00:15:28.800] の方に向いて喋ったら絶対その後ろの人に
[00:15:31.360] は背中向けなきゃいけないわけ
[00:15:34.759] でしょなるほどなんかさレスポンス遅いの
[00:15:39.319] 何脳の処理が間に合ってなくないなんか
[00:15:41.880] 大丈夫今ねちょ脳の処理が間に合ってな
[00:15:45.240] いっていうのとうんあと発砲美人の8人
[00:15:48.920] って今並べたじゃんうん自分の周りに8人
[00:15:52.399] 並べたでしょ今違う違違まま聞いてあげる
[00:15:55.000] 何うん勝手に
[00:15:57.600] 勝並べたやんかうん並べたな並べたでしょ
[00:16:01.800] うんけど前1列に8人並んだらさうん別に
[00:16:07.839] 大丈夫じゃ大丈夫じゃおいおい待たせるか
[00:16:12.160] 発砲ってご
[00:16:13.959] 存知8個の
[00:16:16.880] 方向あともみちゃん
[00:16:19.600] こんばんはばんはいらっしゃいゆっくりし
[00:16:22.880] ててください俺は初めましてかなそうそう
[00:16:26.800] そうそうそうはいでさ生あのななんだっけ
[00:16:30.759] 発砲美人だから発砲って8個の方向
[00:16:34.040] でしょうよ8個の方向だからあの分かる
[00:16:37.839] でしょあの何発砲塞がりって言う
[00:16:41.519] じゃんうん言うねだから東西南北南東とか
[00:16:46.040] さととなんかわかんない馬鹿だからわかん
[00:16:49.680] ないけど南北そうそうそうそれのさ砲だ
[00:16:52.920] 周りに人がいてさはいはいはいだから誰か
[00:16:55.720] に向けてこう何かを話してる時は誰かに背
[00:16:58.120] を向けそれネットも一緒でTwitter
[00:17:00.839] で何かを発言したらねそれをいい面白いな
[00:17:03.880] と思ってくれる人もいればねってかま
[00:17:06.839] 面白くないな面白くないなと思う人もいる
[00:17:08.839] じゃんそれを俺はねあの全員に好れるのは
[00:17:11.839] 無理だからうんもういいじゃんて俺はこう
[00:17:15.120] いう感じでビッグダディみたいにもう
[00:17:17.559] ビッグダディだから俺俺はこういう人間
[00:17:21.079] だっていう今ちょうど時ですね何だろその
[00:17:26.319] そのあえあ来たあれ今行きましたねこれさ
[00:17:30.720] 分かっての俺2人しかこれね説明すると
[00:17:32.960] もうあの前回のねあの前回のラジオでも
[00:17:35.880] 説明したからもう別にあのなんて言うの
[00:17:39.240] 重大な告白みたいな感じなしでさらっと
[00:17:41.320] 言っちゃうけど僕の相方のこのじさんあの
[00:17:43.919] 心臓にあのペースメーカーが入っててね
[00:17:48.200] はいそういうまそういうあれなんだ別にね
[00:17:50.880] もうそれは本人も笑うとこだからそうそう
[00:17:54.960] 本人も別にそれを
[00:17:57.400] まん言えばいい
[00:17:59.720] のまあまあ別になんとも何とも思ってない
[00:18:03.159] そうそうそうだからまこういうのカミング
[00:18:05.440] アウト前回したんだけどでそのね心臓の
[00:18:08.960] ペースメーカーってすごくてあのね一時に
[00:18:12.240] なるとわかんだよねそそういう設定になっ
[00:18:14.840] てましてねそれすごいよね1時になると
[00:18:18.200] なんだどうなんだっけんであのドゥンって
[00:18:21.120] くドンってすごくないこれって昨日ドンっ
[00:18:25.559] てきてなんか計測し始めんでしょその脈今
[00:18:29.000] 今継続中なんじゃないえすごくないそれを
[00:18:32.120] データ取りしてんだあのそう今分のデータ
[00:18:35.520] を取ってんだと思うすごいよね本当にね
[00:18:39.840] 多分1時半前ぐらいにちょっと気持ち悪く
[00:18:43.039] なるかもしんないええそななんでそれ
[00:18:46.360] 終わる頃は気持ち悪くなんの多分ねなんか
[00:18:48.600] あるんだよわかんないけどこれペース
[00:18:51.120] メーカーのせいじゃないかもしんない
[00:18:53.280] けど大体そ大体その時間なのええ
[00:18:59.280] すなんかあると思うすごいねうん今気分
[00:19:04.240] 悪くないんだじゃあうん
[00:19:06.559] うんすげえなでも本当1時ちょうどで
[00:19:09.840] 分かったねうん今分かったすごいわ
[00:19:14.320] やっぱすごいあのやっぱ高機能というか
[00:19:18.679] さ高性能だよね高性能ですねますげえ
[00:19:23.640] ちっちゃいでしょだってそ入ってる機械ま
[00:19:26.440] ちっちゃいつってもねま速攻速攻だけどね
[00:19:30.440] うんでもすごいわそれでさ10年以上動い
[00:19:33.000] てるわけでしょ10年以上はない10年
[00:19:36.440] くらい今大体6年7年目ぐらいかなすごい
[00:19:41.440] わうんま寿命が10年なんであと232年
[00:19:46.440] ぐらいかなでかいやそれすごいわうんまあ
[00:19:50.159] ねそんなようなあのじさんのあの申しこれ
[00:19:53.400] ね本これあんまり言いたくないんだよ
[00:19:54.880] ラジオでさあのねこうまさん言っちゃえば
[00:19:59.200] さ心臓にペースメーカーが入ってるじゃ
[00:20:01.039] ないねうんねそれをさま俺とかさ俺らの
[00:20:05.360] 共通のリアルの友達で共通の人ださまその
[00:20:09.280] じさんがね超面白おかしく話してくれる
[00:20:12.720] から笑ってんだけどね笑わせてもらってる
[00:20:16.799] けどそれをねこのラジオ聞いてる人がね
[00:20:20.320] 聞いたら俺最低な人間じゃんだって
[00:20:23.010] [音楽]
[00:20:24.679] それぜ相手相手っていうかいや大丈夫って
[00:20:29.880] 言ってるんだから大丈夫なんじゃないとは
[00:20:31.840] いえさうんだから逆に俺はそういうの
[00:20:35.039] みんなになくして欲しいよねじさんもそう
[00:20:37.840] 思ってると思うんだけどその腫れ物に触る
[00:20:40.679] ようなのって嫌だよねだそれをあれだよね
[00:20:44.760] 腫れ物って判断してるのって逆にねもしか
[00:20:47.760] したらそうそう逆に失礼じゃないけどうん
[00:20:52.200] だ皆さんもこのラジオ聞いてる人に言う
[00:20:54.440] けどあのまじさんがそういう話をするわけ
[00:20:57.400] よそういう面白いねあのなんて言うん
[00:21:01.240] だろうま体なまこれあのなんて説明して
[00:21:05.320] いいかわかんないけどま普通の人より
[00:21:07.360] やっぱりハンディキャップがあるじゃん
[00:21:09.919] 多少はさそれをじさんはねすごい面白い
[00:21:13.559] 笑いに変えてくれるからその遠慮しないで
[00:21:15.880] 笑ってあげてほしいうんで普通俺もじさん
[00:21:19.039] のことを別にそういうのあるからって普通
[00:21:20.919] の友達と変わんないからね変にさ気使っ
[00:21:24.919] たりもしない
[00:21:26.200] しそうそう
[00:21:29.840] のなんかすいんだからみたないだろうさん
[00:21:34.080] の体なんか北斗の剣のね歴戦の戦士みたい
[00:21:37.320] なもう傷だらけ手術のねまそう
[00:21:42.000] ねこれで俺笑ってたら俺もキャラ
[00:21:45.159] めちゃくちゃもうあれ下んじゃないのあの
[00:21:47.480] 好感度真ん中ばっくり言われてるからあの
[00:21:51.559] 傷がねあるこういう風になんか自分で言っ
[00:21:54.880] てくるから笑うしかない
[00:21:57.039] じゃんいろんな話があ今日もねいずれその
[00:22:00.080] 医療トーク聞ければななんて思ってます
[00:22:02.400] トークはきないすちょっとコメント返そう
[00:22:05.039] かなあそうですね一瞬寝てたって猫さん
[00:22:08.240] もうあのねこれ猫さんとねともみちゃんね
[00:22:10.679] あのね俺が最近あのまもう僕バカなんで
[00:22:13.840] あの次の日仕事なのにあのなんて言うの
[00:22:17.080] あれあれなんて言うんだっけフールガイズ
[00:22:19.200] で1位取らなきゃ寝れませんみたいな企画
[00:22:21.640] やってるわけああ取れねえやつな
[00:22:24.440] そうそう今まで3回やってまで1回も取れ
[00:22:27.000] てないんだけどえそん時に前回の放送で来
[00:22:30.640] てくれて2人ともでめちゃくちゃさあそう
[00:22:33.360] なんだそうそうそうで最後までいてくれて
[00:22:35.679] あんな5時とか66時手前ぐらいまでさい
[00:22:38.200] てくれてさいや本当にありがたくてそん時
[00:22:40.559] 仲良くなってさ今こうやってまた来て
[00:22:42.240] くれるんだけどそう生配信やって思ったん
[00:22:44.880] だけどあのなんて言うんだろう動画を編集
[00:22:48.240] してさ投稿型のYouTuberとして俺
[00:22:51.279] やってたけどそん時よりもそのリスナーと
[00:22:53.720] か見てくれてる人とのあの関わり方がなん
[00:22:57.760] うんなんかダイレクトなのはすげえいいま
[00:23:00.880] 生だからね生ってるからそううんそうだ
[00:23:04.799] からなんかすごいしかもそのこ本当にね
[00:23:08.080] こんなもうみんなわかんないこれ聞いてる
[00:23:10.120] 人がねどんだけYouTubeやってる人
[00:23:11.919] がいるかわかんないだけど本当しょぼいっ
[00:23:13.320] て思われるかもしんないけど今月に入って
[00:23:16.200] も10何人伸びてるわけよ登録者が生配信
[00:23:19.520] 始めてからおめでとうございます
[00:23:21.440] ありがとうござぜひぜひぜほBGMBGM
[00:23:25.400] ほら早くBGMあ間違えた
[00:23:30.200] イエーイそんな感じでさあのいやじゃねえ
[00:23:33.520] し増えたのよだからま生配信ってすごいな
[00:23:36.919] と思ってさああま別にね投稿型のその何
[00:23:41.240] 動画編集して投稿するのにもまそれなりの
[00:23:43.720] そっちの味もあるけどねうんうんうんうん
[00:23:46.480] そのそれこそ編集してさま自分の出現と
[00:23:49.240] いうか言っちゃいけないこと言ったなとか
[00:23:51.159] カット全部できるからみたいなもあるかも
[00:23:53.120] しんないけどま俺そそこら辺は俺気にし
[00:23:54.840] ないから別にねなん何を話してね別に叩か
[00:23:57.480] れようが痛くも痒くもないわけ別に俺はだ
[00:24:00.720] から俺はこっちの方が合ってるなと思った
[00:24:02.279] わけようんじゃもうちゃま生配信がガだね
[00:24:06.720] なんか思ったわうんだね編集も嫌いだしね
[00:24:10.000] めんどくさくてけどあなたあれじゃない
[00:24:13.200] 編集の実力は持ってるじゃないまま技術は
[00:24:16.679] あるんだよこれあまこあまく俺に言われ
[00:24:19.320] せんなってそういうの自分で言わせないだ
[00:24:21.960] よいや邪魔は技術はあるんだよねあるん
[00:24:25.840] これねいつか見せてあげたいな俺がさ今
[00:24:28.240] までねま僕とじさんあの元々バンドマン
[00:24:31.000] ですからそういうね音楽界隈にいたんだ
[00:24:33.000] けどそうすねでま俺は音楽自分のバンドも
[00:24:37.039] やりつつまその今になんて言うのかな
[00:24:39.919] バンドのミュージックビデオをはい撮って
[00:24:42.480] 編集したりそうですねミックビデオ作っ
[00:24:44.919] たりとかそういうなんて言うのかなま一応
[00:24:46.960] お金をもらってやってたんだけどそういう
[00:24:48.640] ことをしてた時期もあったんだけどだから
[00:24:51.120] そう皆さんがこの今ご覧になってるま前回
[00:24:53.559] も言ったんだけどこのねグータラジオって
[00:24:55.279] このね画面ま生放送でしかま見れないと
[00:24:58.120] 思うんだけどもこの背景とかも俺が作った
[00:25:00.520] わけこれすごないおしゃれでしょこれこの
[00:25:02.720] さネオンにこの電気ピカピカみたいなこれ
[00:25:07.360] 俺前回聞いたからとりあえずあのCCね何
[00:25:11.039] がいやいや今見てる今見てる人がさいる
[00:25:14.760] でしょうかああそっかそっかうんまあまあ
[00:25:17.520] まそういうま技術的にはまあ多少はある
[00:25:20.799] わけでもめちゃくちゃ
[00:25:23.799] 嫌いそういう作業強られるのが中がねそう
[00:25:28.080] そう子供の頃からねあの夏休みの宿題も
[00:25:30.760] 最終日までやらないむしろ最終日にもやら
[00:25:32.840] ずに行くみたいなそんくらいのまガキだっ
[00:25:34.880] たのであのまそういうお金をもらってね
[00:25:37.799] 納期があって1ヶ月以内に編集して
[00:25:40.240] くださいみたいなそういうのなるとそう
[00:25:42.640] 最後の3日間まで何もできないんだよ俺
[00:25:45.440] はそうだからそういう動画の編集もさ撮る
[00:25:49.039] のは簡単じゃんゲーム好きだから遊ぶ
[00:25:51.120] じゃんねうんそれをさ編集してあげるのに
[00:25:54.880] もう1週間に1本が俺限界になっちゃって
[00:25:58.360] なるほどあんな別に正直さゲーム実況の
[00:26:02.159] そのまあなんていうの凝ってる人はすごい
[00:26:04.919] 凝ってるけど俺がしてる編集なんてま
[00:26:06.919] カットしてちょっとテロップ入れて
[00:26:09.080] オープニングとエンディング入れてぐらい
[00:26:10.919] の1時間2時間あれば終わるのにそれも
[00:26:13.840] めどくさくて俺できなくなっちゃうのね
[00:26:16.080] なるほどねうんだったらもう最初から生
[00:26:18.279] 配信でいいんじゃねて思ってもう嫌いなん
[00:26:21.320] だな嫌いなんです編集俺編集好きだけどね
[00:26:25.720] あさんねいんラジオの音声の編集とかも
