[00:00:15.210] 持った
[00:02:22.210] 休みだし夜遅くまで喋ってもいいんじゃ
[00:02:24.340] ないかなみたいな
[00:02:25.780] そうだねそんなレアン出る予定だねうん
[00:02:28.060] ラジオでございますなラジオという名目の
[00:02:31.890] 何だろうただのべっだべってるだけなんだ
[00:02:35.069] けど
[00:02:35.700] あっはぁ
[00:02:37.530] うわぁゲルラジオってだべってるだけじゃ
[00:02:39.810] なわけねーだろラジオに謝れ
[00:02:42.890] 全ごめんなさいラジオでしたねもらってる
[00:02:46.160] 人に謝れはいごめんなさいダベってるだけ
[00:02:48.650] ちゃうから
[00:02:49.640] あっはーちゃんとあれからやってるんかで
[00:02:53.060] もまぁ俺は我々もそうよあの神根だべっ
[00:02:56.150] てるだけへとか言いつつもねえ皆さんもね
[00:02:58.459] 見てくれてるからこの
[00:03:00.180] 見てこの画面作った画像とかさ動画とかね
[00:03:03.900] こういうところ裏で酒匂
[00:03:05.670] 見えないところでこう準備をたくさんして
[00:03:07.890] 今日に至っているわけだからまあね
[00:03:10.769] ぐだぐだでグータラ塩なんて言ってるけど
[00:03:13.400] まぁそこはねまあプロとしてじゃないです
[00:03:16.349] けどべくプロじゃないけどまぁある一定の
[00:03:19.140] やっぱクオリティ女何ね届けたいなー
[00:03:21.340] なんて思いつつ
[00:03:23.470] やってますが
[00:03:26.490] どうしましょうかじゃああれだねあの
[00:03:29.710] まとりあえずねコメントはいつでも
[00:03:31.360] 受け付けてるんでこんな感じでいつまでも
[00:03:33.640] いつまでもっていうか
[00:03:35.200] いつでも
[00:03:36.350] 越前も大丈夫大丈夫なんだけど
[00:03:39.300] そしてこれがあのぐうたら塩エイコー今生
[00:03:42.840] 放送でえっと収録っていうかまぁ生配信し
[00:03:46.230] つつバー株も残しつつで後日それをえっと
[00:03:50.810] データ化して編集したものを
[00:03:54.630] あれね潤さんが頑張って編集して
[00:03:59.400] あの
[00:04:00.770] 上げますポッドキャストとして配信するん
[00:04:03.260] でぜひぜひねそちらも
[00:04:05.430] こちらはの無駄な部分とか僕らのなんて
[00:04:07.980] いうのかなムダ毛な部分をカットした聞き
[00:04:10.739] やすいものになる予定なので
[00:04:12.890] よってねうんぜひぜひ後日そちらも見て
[00:04:16.310] くださいそんな感じで
[00:04:17.989] やっていきましょうかぐうたら強えぇ
[00:04:20.269] あー山ローゼじゃあ
[00:04:22.490] いわゆるのであらゆる来ていいんだけどさ
[00:04:24.530] 別にぐうたら状だから言えるいやんって
[00:04:27.550] 早速ね俺ねこれあのなんていうんだろ
[00:04:31.460] ぐうたら g を始めるってなっていき
[00:04:34.699] たかったことがあって
[00:04:36.520] はぁ
[00:04:37.569] このさあぐうたら塩音やるってジュンさん
[00:04:39.910] とちゃまー俺でねふたりでや
[00:04:41.889] るってなったときに
[00:04:43.389] あの正淳さんから声をかけてくれたじゃん
[00:04:46.889] そうだってポッドキャス4ないみたいな
[00:04:49.650] 感じでねアー
[00:04:51.830] カスかこの声で言ってきたじゃんそう
[00:04:54.539] なければに酒やけじゃないからね
[00:04:57.689] まあカスカスの声で誘ってくれたでしょ
[00:05:00.120] なんでさぁ俺とさあネットラジオやろうと
[00:05:02.759] 思った
[00:05:04.330] いやなんとなく winner のんな
[00:05:06.819] ギアラベアっといろいろさあ何かしゃべっ
[00:05:10.180] てるじゃんいろんな人とうーんそりゃ
[00:05:12.099] ありがたいことに僕も最近あのいろんな
[00:05:14.560] ユーチューバーさんというか結構このね
[00:05:16.659] トークで退院対談って言うから何かまぁ
[00:05:19.599] 動画一緒に生配信やらせてもらうことがね
[00:05:22.030] 最近あって
[00:05:24.610] じゃあも喋ってるじゃんそれでなんか
[00:05:28.500] ああ何か良いんじゃねぇんだ
[00:05:32.150] はっはっはライブ俺のトーク力を乱した
[00:05:36.120] 矢部済みだしてはいないで見いだすやそこ
[00:05:38.520] は
[00:05:39.440] the 見出した
[00:05:40.700] うーん
[00:05:41.480] 山根俺もねこう自分のトーク力を鍛えたい
[00:05:45.020] と常々思って
[00:05:47.470] そうねそう自分で一人であの雑談枠とって
[00:05:50.470] ツイキャスでやってみてるとかもしてるん
[00:05:52.120] だけど
[00:05:53.020] うーん
[00:05:54.080] そうねだから俺もこういう機会でラジオ
[00:05:56.270] ネットラジオ始められるっていうのは結構
[00:05:58.849] 嬉しいかったかなぁ
[00:06:00.770] うーんタイミング的にありがとうござい
[00:06:02.960] ますはいえいえこちらこそああっああん
[00:06:06.879] にょどんな罪てる人に聞いてる人にかな
[00:06:10.699] 聞いて見ぬふり僕と jun jun さん
[00:06:13.280] は
[00:06:14.100] リア友だからね
[00:06:15.900] 2早々普通に普通にリアルの友達ででお
[00:06:18.990] 互いちょっとあの付き合いも長いしねお
[00:06:22.860] 互い youtube もやってるんだ
[00:06:24.900] けど
[00:06:25.620] まあオレはーんん
[00:06:28.169] なぜ正淳さんはかなりなんてだろうマイ
[00:06:31.710] ペースというかね
[00:06:33.230] マイペースすぎるようなうーんあなた最近
[00:06:35.720] 全然やっちゃいませんあ
[00:06:37.690] 一緒にはじめ一緒に始めたっていうかねぇ
[00:06:40.640] まあ一緒くらいに始めたんだけどまあそう
[00:06:42.530] だね尚早で僕もあの
[00:06:44.900] ポッドキャストでもしこれ聴いてる人が
[00:06:46.790] 入ったらアレなんだよと僕の自己紹介と
[00:06:49.370] いうか
[00:06:50.700] ちょっとやっておこうかな
[00:06:52.430] やるの jr あるまあ自分の
[00:06:55.340] podcast がーから来てくれた人の
[00:06:57.320] ためにちょっと言う時誰なんだろうな
[00:06:59.900] じゃあ僕はの db ゲームスという
[00:07:02.570] チャンネルでねゲーム実況とかええまあ
[00:07:05.600] ちょっと顔出しねこんなブサイクな顔なん
[00:07:07.670] ですけどもっぺら長尺ゾーンたいけどそれ
[00:07:11.240] が救いだけどさ
[00:07:12.940] 救いか
[00:07:13.930] 瞼いくらかを生んだけど顔出ししてねあの
[00:07:16.810] まぁちょっとユーチューバー的なことを
[00:07:18.610] やらせていただいてます db ゲーム
[00:07:20.500] ちゃまと申します
[00:07:22.420] よろしくー
[00:07:23.530] よろしくねえええ
[00:07:25.490] どうコレ
[00:07:27.830] far
[00:07:29.240] ブルー
[00:07:30.289] 焼いた鯛潤さんもゆなんかで人に
[00:07:34.260] お礼
[00:07:35.600] 僕は僕の所持ご紹介そうでなぜ上神田
[00:07:39.920] now
[00:07:41.180] 蓮
[00:07:42.310] 8特に考えて来てなかったじゃなんでも
[00:07:44.590] いいんだよ適当で
[00:07:46.120] いやたらあれねちゃまと一緒にやってる順
[00:07:49.120] です魂と一緒には行ってないけどねそし
[00:07:51.760] たら俺らから
[00:07:52.870] グループ輸注バーディなグループ実況者的
[00:07:55.900] な感じの追われちゃうと思うけど別にそう
[00:07:57.639] じゃないんだよね
[00:07:58.910] そうじゃあ一緒にあのなんかやってるわけ
[00:08:01.400] じゃないんだけど
[00:08:03.040] マコーレラジオでリア友だし
[00:08:06.080] youtube お互いやってるしじゃ
[00:08:08.330] なんかちょっと一緒にラジオやろうかな
[00:08:09.830] みたいな感じでねブータラジオやってます
[00:08:12.409] けども
[00:08:13.660] 僕の上場がいそうな感じですねありゃー
[00:08:15.700] ムーン
[00:08:16.590] そうなんだ
[00:08:19.409] 丸のチャンネルとか別にほんと気まぐれで
[00:08:23.940] 動かしてるくらいうーんね
[00:08:26.790] まあでもこのさぐうたら子はこう定期的に
[00:08:29.280] じゃないけど
[00:08:30.570] 月1回
[00:08:31.950] こんな感じで何放送してそれをなんていう
[00:08:35.909] のから次の月の生報道の間に編集して
[00:08:39.720] ポッドキャストとして出してっていう感じ
[00:08:41.669] で定期的に行ってきたよねそうねそれね
[00:08:44.440] このねーブータラジオってこの企画という
[00:08:47.380] か粗塩
[00:08:48.710] ちょっと zepp ね大きくしていき
[00:08:50.420] たい俺の中で大きくしてきたいいイベント
[00:08:53.450] というか
[00:08:54.860] イベントねなんていうかこれはねー大きく
[00:08:57.530] 育てていきたいから
[00:08:59.620] イベント大好きだもんねイベント大好き
[00:09:02.410] ああそれはある
[00:09:03.970] あの
[00:09:05.720] だからこう皆さんもこうコメントなり何
[00:09:08.629] なり
[00:09:09.410] ねポッドキャストの方はあの僕らにメール
[00:09:12.290] とかでお便りくれたりとかしてくれたら
[00:09:14.120] ありがたいです
[00:09:15.790] そうですねうんいや大きくしていきたいな
[00:09:18.220] よ私これ
[00:09:19.920] 成婚ゆくゆくはねあのなんていうのゲイ
[00:09:23.310] ストとかさ
[00:09:24.810] 同じ試合中やってる人でもいいしそういう
[00:09:29.130] ことを我々もともとバンドマンですから
[00:09:32.420] まあねバウンドマンの人を招いてみたりと
[00:09:34.760] か
[00:09:37.089] ねゲームと呼んだり後 cm 俺ねこれ
[00:09:39.670] 関係こう考えたんだけどこれけっこうねぇ
[00:09:41.350] あの
[00:09:42.759] 画期的というか
[00:09:44.350] 画期的なんかちょっとこれいいんじゃない
[00:09:46.959] かなと思ったんだけどまぁラジオって
[00:09:49.300] 名乗ってるじゃん
[00:09:50.750] ダラ子さ cm
[00:09:53.300] まあねそれこそ俺らのこの視聴者というか
[00:09:56.029] 俺らがどんどん有名になってこの宮て
[00:09:57.649] ラジオってものが
[00:09:58.930] 大きくなっていかないと意味ないけど
[00:10:01.550] んある程度さあそれでもしかしてね視聴者
[00:10:04.700] が来てくれるようになったりしたら
[00:10:07.089] cm なんか流したいなと思ってんだよ
[00:10:10.560] パレット例えばどういう cm もちろん
[00:10:12.930] あのお金を払ってとかじゃなくて
[00:10:15.150] 企業のなんか商品を紹介するとかじゃなく
[00:10:17.310] て
[00:10:18.190] 例えばなんでメジャー生放送実況者があ
[00:10:22.380] 事前にね俺らにそのまあ音声データなり
[00:10:25.740] なんなりでいいけど自分を pr する
[00:10:28.650] pr する何かをつくって穴俺らに贈る
[00:10:32.790] じゃんそれを俺ら合間合間に流す俺らの頃
[00:10:36.330] もういたラジオでうくっていただいて
[00:10:38.700] そうそうそうそうそう
[00:10:41.190] それよくない
[00:10:42.540] いいねバウンドだったらさあね俺らも曲と
[00:10:45.480] か流したいし
[00:10:47.910] それはバンド側の告知にもまあなるじゃ
[00:10:50.790] ないん
[00:10:51.920] そうだねだからそんなことをしてきたい
[00:10:54.200] なぁなんて思ってるんですそしてもう一個
[00:10:57.470] 考えてるのかって方
[00:10:59.529] 体も曲作りだ
[00:11:02.079] あーテーマ曲作ろう
[00:11:03.999] ああ
[00:11:04.779] 曲がりなりにも私たちあのもっとバンド
[00:11:07.329] マンなのでね
[00:11:08.810] それは俺も作りたいなと思ってね2人で
[00:11:11.930] 作って
[00:11:13.370] でさぁなんかさーまー曲なんてさすぐ
[00:11:15.980] できるもんじゃないじゃない
[00:11:17.600] できないねぇだからさあそれそのなんて
[00:11:20.180] いうのあの
[00:11:23.209] 進行具合みたいの
[00:11:25.610] ん
[00:11:26.550] このラジオで発表していきたいんだよ
[00:11:29.290] ここまでなに a メロできまし鳥葬
[00:11:31.509] ちょっと聞いてみて様みたいでもうでも
[00:11:33.310] いいからだデモの段階でもいいから
[00:11:37.310] なるほどめっちゃ良くない
[00:11:39.200] それダメだしされたらどうするっだから
[00:11:41.540] みんなで作っていくのはダメだしされたら
[00:11:43.370] 頑張って全部直す
[00:11:46.540] それこそ菓子とかさえらにみんなでつくる
[00:11:50.270] っていうのはどういうアレやらがまあ言っ
[00:11:52.730] ても俺らが作るわけだけど
[00:11:54.620] ここ困難がいいんじゃないみたいな
[00:11:56.540] コメントであったらさ
[00:11:58.320] それ拾ってあぁなるほどアルザ曲が
[00:12:00.930] とりあえずを気ができたら
[00:12:03.090] を決定中のボーカルだしの音音源のことね
[00:12:06.060] からを芸うまく溝 ok ができたら
[00:12:09.750] みんなで歌詞を考えるコメントって
[00:12:13.790] た a メロの歌詞になるので俺らが実際
[00:12:15.980] 歌いながら
[00:12:17.990] はいこれハマるねハマンないねーみたいな
[00:12:19.910] 曲げずに俺ら2人どっちも歌が下手くそだ
[00:12:21.860] けど
[00:12:22.780] いやそしたら勝手に何か大きいみたいな家
[00:12:25.420] なって言っちゃだろうどうぞな
[00:12:28.030] まあそれはそれだよ
[00:12:29.800] あっはいそれはうちらのラジオのあのー
[00:12:33.340] なんて色民度というか
[00:12:35.650] 治安というか
[00:12:37.390] また使用したくらえっ見てくれるかわかん
[00:12:39.640] ないけど
[00:12:40.750] あっあぁまぁいいんじゃないでもそろそろ
[00:12:46.140] なんかだからオレはオレは二人じゃなくて
[00:12:48.830] podcast を聴いてくれる人もそう
[00:12:50.880] だしこの生放送を聴いてくれる人もみんな
[00:12:53.850] でこのコンテンツをピックしていきたいな
[00:12:55.860] と
[00:12:56.940] そうだね思ってるわけ
[00:13:00.520] いいと思ういいと思うじゃねーんだよいい
[00:13:03.640] さっきからああいうどっちばっかりへ
[00:13:06.780] もっと喋れねえ
[00:13:08.540] チャレア
[00:13:09.940] チョー怒られてるんじゃ何か違うなんか
[00:13:12.830] ねえ
[00:13:13.700] 何年あの
[00:13:15.820] マーズが俺らしか知らないことだけど
[00:13:18.820] 先週ね
[00:13:20.560] やったじゃんテスト歯医者行ったでしょ
[00:13:23.290] 第0スカイ案も出ているか想像第0回ての
[00:13:26.470] 正起公開やけどあの音量の音なの放送の
[00:13:29.860] 音量の確認を調整しながらとかで非公開で
[00:13:33.520] なの放送をつけてお互いにお互いに入って
[00:13:36.100] から二人でね高調整しながらやってたんだ
[00:13:37.990] けどそのときにしたテスト投稿というか
[00:13:41.450] 年後とトークしてみようかみたいな感じで
[00:13:43.160] トークしたのがポッドキャストに上がって
[00:13:45.290] いるのでそちらも公開中なのでねぜ弾いて
[00:13:47.420] くださいという告知をするのとんねそん時
[00:13:51.830] の純さんの運転しょん金剛あああれよね今
[00:13:58.590] 2番は違うよねー
[00:14:01.520] マジか
[00:14:02.600] やっぱテンションはちがくないんだけど
[00:14:04.000] なんかもっときたじゃんあの日は運
[00:14:08.660] あの日はもっとグイグイ来たジャン俺に
[00:14:11.560] なるほどねもっと the ガッツが尽き
[00:14:14.320] てよ
[00:14:15.340] ガツガツとかの自分を出して来ていい
[00:14:19.270] 自分を出すなぁ自分を出すぞ
[00:14:22.240] 4出すか
[00:14:23.930] じゃああの思ったと思ったんだけど
[00:14:27.240] まあ
[00:14:28.050] ジャパンもう自分もだけどさ本いろいろ
[00:14:30.660] いろいろというかまぁ動画とかさん
[00:14:34.140] なんかホームページとかそういう製作側
[00:14:38.700] はちょっとかじってるじゃないそうだね
[00:14:41.040] 我々もっともっとバンドもやりつつその
[00:14:43.680] バンドの裏方というかうんそのね m v
[00:14:47.130] 作りだったりカメラマーラウェバーな
[00:14:49.710] ライブのカメラマンだったりとかお互いね
[00:14:51.990] したりしてたことねうんん
[00:14:54.690] そうそうそういうなかであの
[00:14:58.520] 音声の編集に入ったわけだ
[00:15:01.340] 恩来てる大丈夫彼の時にはいはいはいはい
[00:15:04.660] その時ねあのやっぱね難しいなと思って
[00:15:09.120] 何がん
[00:15:11.000] あの音で伝えるってん
[00:15:14.380] いやほんと難しいかあああああそうだよ
[00:15:17.530] ねぇラジオなんつっアーマー姉御からの
[00:15:21.100] 情報しかないじゃん染田ないかなぁいいね
[00:15:24.160] 一応
[00:15:25.830] 殺す気
[00:15:27.810] だよねあーねメーカーの情報がないから耳
[00:15:31.480] だけで楽しませなきゃいけないったよね
[00:15:33.700] えっ
[00:15:34.400] そうそうそうそうそうだから俺らも何て
[00:15:36.890] 言うんだろうねあのただまぁぐうたら所と
[00:15:39.800] 言ってるけどもねただグダグダ喋ってる
[00:15:42.860] だけじゃなくてこうマナーンっていうのか
[00:15:44.990] なそれができているかといったらまた別だ
[00:15:46.730] けど
[00:15:47.500] ちょっと意識したというかね
[00:15:50.230] なそうだねみたいな会話はしていかないと
[00:15:52.750] なーなんてを包むぬ
[00:15:55.490] そうで
[00:15:58.400] でいやだからそこでまあ他の人のラジオと
[00:16:02.870] かまぁちゃんとしてる人とかちゃんとし
[00:16:05.300] クエストって何でアンチレッツところ
[00:16:08.610] まあまあ
[00:16:09.970] ラジオ聞くじゃないああ
[00:16:12.070] どうぞやっぱみんなアレなんだろう
[00:16:14.830] ためになる話的なバーン
[00:16:18.180] ことを結構しゃべってる人が
[00:16:21.310] まあやっぱポッドキャストって多いのか
[00:16:23.050] なって
[00:16:24.130] そうだねポットにはことで見るとねその
[00:16:27.100] youtube のなね俺は
[00:16:28.900] youtube で俺らは生配信をして
[00:16:31.180] それはポッドキャストに上げてるけど
[00:16:33.010] podcast 専門でねやってる人でも
[00:16:35.710] まあごまんといるわけでまあまあそうね
[00:16:38.290] 確かにポッドキャストで見ると本当に
[00:16:40.840] みんなのなんていうかね頭のいい人たちと
[00:16:43.150] いうかね
[00:16:44.120] をめっちゃ頭いいよねぇうーんなのね本当
[00:16:47.210] に語学とかね英語しゃべったりとか
[00:16:50.840] あとなんだあのなんかな講演会に行きまし
[00:16:54.350] た3でまだ好きだけどなんかたすごい
[00:16:57.890] やっぱポッドキャストっていうもの自体
[00:16:59.720] 多分そこまでなんていうんだろうあのまあ
[00:17:02.990] 頭いい人たちはなーふぁみすっていうのか
[00:17:05.960] なまあある一定のねそうはやってるけど
[00:17:09.500] まぁまだいい番かしてないよね
[00:17:13.449] うーんまんいいなんかねえそうね
[00:17:17.110] そのはい宇宙ぶらりたりさあそういうもの
[00:17:19.809] を見たいには流行ってないじゃんんそれで
[00:17:22.659] もこれから来ると思うんだけど
[00:17:24.630] そんな中さ俺らがさあここでさあぐうたら
[00:17:27.420] g をなんてさあただ雑談トークしてる
[00:17:30.930] だけ
[00:17:33.400] うん
[00:17:34.270] になるわけじゃんだよそれはね結構厳しい
[00:17:37.150] 戦いと言えるか戦いじゃないんだけど
[00:17:40.700] はその辺がねちょっとそう
[00:17:43.860] ナマズそういう中で行
[00:17:47.220] やっぱコルト強香そうねおりたよねだから
[00:17:49.980] この画像とかを目指し凝ったもねそうそう
[00:17:52.530] そうそう
[00:17:55.040] っていうのは
[00:17:57.290] ありますね
[00:17:59.770] あれあの話しだけなんか近くない
[00:18:03.260] なんだっけ
[00:18:04.850] 作家2人して上がって年彼はこれ
[00:18:07.190] podcast 武器とが聞いたらこれ
[00:18:10.150] アダーレベルヒックとマルチマグ
[00:18:13.680] でもエレベーター買い物そもそもの
[00:18:16.620] 求めてるかって言われるまぁほっときゃす
[00:18:19.980] とぅのお客さんというか podcast
[00:18:23.160] のニーズを考えたらうんポッドキャストを
[00:18:27.000] 聴く人はそのポッドキャストで何かを得
[00:18:29.670] たいわけじゃん自分の知識なり
[00:18:32.380] なるほど我々のこのトーク知識得られます
[00:18:37.280] 知識
[00:18:38.770] 矢竹どっちあのポッドキャストって多分
[00:18:41.890] 知識を得られる
[00:18:43.990] がわぁの人とん
[00:18:46.150] 前られる配信をできる人と
[00:18:49.210] あとはまあ要は怖い話したさん面白い話と
[00:18:54.220] かたうんそうだね
[00:18:55.659] まあそれをポッドキャストに多分
[00:18:57.940] でかあるんだよ
[00:18:59.870] そういうポッドキャストがうーん
[00:19:02.700] だから
[00:19:04.110] 面白いからいいんじゃねっていうふうによ
[00:19:06.299] なんだねああ俺は別に踏んだねここで知識
[00:19:09.210] 4日披露したりとかしたいわけじゃない
[00:19:12.210] からね
[00:19:13.170] ただじゃあなーブックマーカー聴いてる人
[00:19:15.090] が楽しんでもらえればみたいな
[00:19:17.420] まあそんな感じでやってはいますけども
[00:19:19.670] そうそう
[00:19:20.730] [音楽]
[00:19:22.640] まあ美味いは何なんだと工品すっ大人だろ
[00:19:27.650] なおっ
[00:19:29.210] は耳折れねパイナップルジュースな
[00:19:31.880] こそ本あった大江小レッドけどラッキー
[00:19:35.390] てる人に言うとけど木刀純さーん一回り
[00:19:38.270] ぐらい年齢差があります
[00:19:40.880] あらあらじぇねえん
[00:19:43.779] けっこうこれもまあ俺らが二人でやる
[00:19:47.109] 味になるなぁと思って今年齢さんじゃあ様
[00:19:49.869] はカラー年メイサがある分
[00:19:51.909] ジェネレーションギャップじゃないけど
[00:19:53.799] それぞれの世代の目線があるじゃん
[00:19:56.360] そうだねそういうのも交えてねなんか遠く
[00:19:59.090] できたらね
[00:20:00.110] いいんじゃないかなと
[00:20:02.190] nj あっ j いいねーっ
[00:20:05.559] 邪霊ジョンからすごい
[00:20:09.759] 号ちなみにちなみにねじゅんさん方が上
[00:20:12.340] です
[00:20:14.480] ね ok らをしてる起きてるあ起きてる
[00:20:17.000] じゃなくてじゅんさんの方が年上ね
[00:20:21.650] r
[00:20:22.710] はい邪念ポケラバです上なんですこれでも
[00:20:26.520] ね第二でだいぶだねええマジでねえこれ
[00:20:30.390] 13州は年齢非公開な
[00:20:33.059] 特に
[00:20:34.909] うんボクサー
[00:20:36.739] ネイラーよっちゃん北ちゃん今何歳に
[00:20:39.049] なろう
[00:20:39.620] [音楽]
[00:20:40.809] 越冬
[00:20:41.799] もうすぐ10インサイツジャムそういうん
[00:20:44.350] じゃないわいい
[00:20:46.059] そういうんじゃないわ
[00:20:47.740] それじゃない
[00:20:48.700] えーんそんな時ペッ
[00:20:51.519] ウヨやろあ
[00:20:55.100] いうか blunt 何上でへだらさあ非
[00:20:57.919] 公開だろう年名
[00:21:00.809] 玉井互いんだおじさんにやるとおじさんに
[00:21:03.779] なるとあんまり言いたくなくなるんだって
[00:21:05.549] 言えるのはんじゃっていうのはあるんじゃ
[00:21:07.950] ないっていうのはね自分のおれオレは
[00:21:09.690] ちなみに今年24です
[00:21:12.240] 若いね
[00:21:14.490] german 業者 jun さんはいい
[00:21:16.230] よ別に年度言わなくても連盟4なくても
[00:21:18.510] いいけど10歳ぐらいは離れてるよって
[00:21:20.790] ことをねまあ30代ですよね
[00:21:24.470] なんじゃないですね
[00:21:26.299] 30だよ a 2ほへ殺到ししたらたにん
[00:21:30.470] 俺叩かれないから
[00:21:33.110] ブーブーへの人に遺恨ヌー
[00:21:49.300] [笑い]
[00:21:51.860] ぐうたらじゃあこれ最終回になるぞ
[00:21:54.080] 二人の仲をこれ取り持って
[00:21:57.260] 仲良く進んでいかないと
[00:21:59.840] いやけど叩かれるのは俺じゃないから
[00:22:02.210] いやー
[00:22:03.260] 悲しいだろうが一緒にラジオやってる奴が
[00:22:06.909] 叩かれたら悲しいだろう
[00:22:09.620] 往路便庁舎も a
[00:22:12.330] やべぇやっぱりだなあー
[00:22:15.970] 近い人間あらねば一番の敵はやっぱ近しい
[00:22:20.200] ところに居るねどこそう
[00:22:22.240] 相続者言って
[00:22:24.010] いやけど本当にあのあの
[00:22:27.400] 財源壊れ気に話を見てマジで何声話を見て
[00:22:31.630] 会えが映画ああや位
[00:22:34.260] うんで
[00:22:36.130] 再充電そのメッセージ性というのはん一番
[00:22:39.790] 光栄な人間だよってメッセージツアー
[00:22:42.880] うんそうだねわかるわかる
[00:22:44.650] 俺もサーん濃い話とか怖い映画ってかまあ
[00:22:49.030] そういうのでやっぱさー心霊的なものより
[00:22:52.020] 人間の恐ろしさだよねやっぱ強いの
[00:22:56.120] 一番強いと思う元はがあるわかる
[00:22:59.480] うーんで
[00:23:01.549] いやだから言ってる人間
[00:23:03.679] 一番公園今日はね
[00:23:05.840] なみそ南部子立形だ
[00:23:08.710] 落ち着けやねぇ
[00:23:11.210] 30歳
[00:23:12.760] だ結びつけるとしたららー
[00:23:15.750] が位置と案外身近にいる人
[00:23:18.660] バーン脳は講演者そうだねあの人間の距離
[00:23:22.410] が近すぎるがゆえにねこう
[00:23:25.260] 恐ろしいこととおきますから
[00:23:27.140] 怖いね
[00:23:29.090] っていうのは死後あるうーん
[00:23:33.570] まあそういうのやれたことはないですけど
[00:23:36.480] 正准さんにそんなことはしないんじゃ
[00:23:40.190] 選んでれするメリットはないと思ううーん
[00:23:43.440] なんか
[00:23:44.970] 別に113て
[00:23:47.760] なんか一から恨み買わなそうアー
[00:23:52.500] 買わないよだって多分ほぼみんなジュン
[00:23:54.720] さんのことを下に見る
[00:23:56.890] はっはいそういうパターン
[00:24:02.840] なる本のうーんこれは非常に悪い意味じゃ
[00:24:04.909] ないと思うけどねぇ
[00:24:06.509] 下にいるからかなり言い方悪いけど悪い
[00:24:09.899] 意味じゃないかなって多分かなりおりの
[00:24:11.789] 捉えかもしれん
[00:24:12.740] [笑い]
[00:24:14.759] いやーなんか違うジュンサンは
[00:24:17.760] 優しいからん
[00:24:19.929] っていう言葉でまとめるかな
[00:24:22.899] バレたやろねぇ
[00:24:25.149] 優しいですよほんとにね僕もうこんなね
[00:24:27.940] 24で言えば10歳以上上野ね実際以上と
[00:24:31.509] かってちょっとやれあーやべまぁ実際10
[00:24:34.389] 歳わからんやんだけど純正8次会の絵
[00:24:38.909] お兄さんにね
[00:24:41.020] こんな生意気な口いただけるの正准さんの
[00:24:43.840] 懐がね低い低いじゃね拾い始めたあっ
[00:24:47.700] 広いの影だなぁなんて思ってますけどね壁
[00:24:51.370] て三者にマッハ
[00:24:54.090] いやでもありがたいですよねいや
[00:24:57.100] 最近会えてないね遊んでないねぇ
[00:25:00.410] マッソーべないいないけどねぇいつまで
[00:25:03.260] 続くかねこの猫ろなぁかコロナ
[00:25:06.200] corona この中この中
[00:25:09.980] このまたがこの中
[00:25:13.830] じゃあこの中村うーん
[00:25:17.330] あの頃中っていうかっていう感じある
[00:25:21.320] じゃん
[00:25:23.020] あれよね
[00:25:24.890] 俺結構最近までなんだけど
[00:25:28.630] あの鍋っていう
[00:25:31.150] モロ
[00:25:32.350] 感じに見えてて
[00:25:35.200] あるかがそう
